Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0326,271,129,400,736,54.35%,289,289
"State Senator, District 6",0328,425,286,711,1631,43.59%,526,526
"State Senator, District 6",0329,589,260,849,1621,52.38%,646,646
"State Senator, District 6",0339,704,303,1007,1909,52.75%,854,854
"State Senator, District 6",0341,380,278,658,1372,47.96%,532,532
"State Senator, District 6",0343,722,370,1092,2099,52.02%,895,895
"State Senator, District 6",0344,381,207,588,1225,48.00%,544,544
"State Senator, District 6",0358,775,376,1151,2634,43.70%,1031,1031
"State Senator, District 6",0371,210,78,288,537,53.63%,272,272
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0373,61,13,74,163,45.40%,70,70
"State Senator, District 6",0374,176,165,341,720,47.36%,281,281
"State Senator, District 6",0375,745,510,1255,2836,44.25%,903,903
"State Senator, District 6",0379,857,388,1245,2149,57.93%,1118,1118
"State Senator, District 6",0381,1185,432,1617,3141,51.48%,1115,1115
"State Senator, District 6",0394,236,126,362,914,39.61%,254,254
"State Senator, District 6",0397,204,117,321,796,40.33%,220,220
"State Senator, District 6",0404,1033,445,1478,2717,54.40%,860,860
"State Senator, District 6",0408,520,313,833,1740,47.87%,585,585
"State Senator, District 6",0409,501,280,781,1608,48.57%,567,567
"State Senator, District 6",0411,699,418,1117,2426,46.04%,863,863
"State Senator, District 6",0417,1104,397,1501,2589,57.98%,950,950
"State Senator, District 6",0418,1336,663,1999,3940,50.74%,1408,1408
"State Senator, District 6",0423,316,288,604,1423,42.45%,506,506
"State Senator, District 6",0475,791,261,1052,1936,54.34%,671,671
"State Senator, District 6",0497,916,281,1197,2148,55.73%,1119,1119
"State Senator, District 6",0526,235,157,392,820,47.80%,319,319
"State Senator, District 6",0527,156,38,194,580,33.45%,131,131
"State Senator, District 6",0530,375,212,587,1236,47.49%,484,484
"State Senator, District 6",0533,352,169,521,1164,44.76%,276,276
"State Senator, District 6",0535,132,62,194,413,46.97%,146,146
"State Senator, District 6",0536,2104,1053,3157,5637,56.00%,2253,2253
"State Senator, District 6",0543,553,321,874,1658,52.71%,692,692
"State Senator, District 6",0544,84,54,138,313,44.09%,124,124
"State Senator, District 6",0560,290,247,537,1141,47.06%,462,462
"State Senator, District 6",0571,521,314,835,1950,42.82%,625,625
"State Senator, District 6",0579,287,181,468,1139,41.09%,392,392
"State Senator, District 6",0591,651,462,1113,2274,48.94%,880,880
"State Senator, District 6",0595,600,299,899,1833,49.05%,766,766
"State Senator, District 6",0605,1711,599,2310,4217,54.78%,1874,1874
"State Senator, District 6",0608,156,77,233,570,40.88%,178,178
"State Senator, District 6",0637,1095,423,1518,2591,58.59%,1230,1230
"State Senator, District 6",0653,185,110,295,604,48.84%,226,226
"State Senator, District 6",0664,909,513,1422,2992,47.53%,1173,1173
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0677,423,259,682,1300,52.46%,542,542
"State Senator, District 6",0681,e,0,6,4,150.00%,3,3
"State Senator, District 6",0683,82,5,87,302,28.81%,72,72
"State Senator, District 6",0702,183,69,252,550,45.82%,218,218
"State Senator, District 6",0708,162,98,260,592,43.92%,189,189
"State Senator, District 6",0714,102,28,130,306,42.48%,81,81
"State Senator, District 6",0719,624,223,847,1644,51.52%,497,497
"State Senator, District 6",0733,55,25,80,303,26.40%,60,60
"State Senator, District 6",0736,14,3,17,42,40.48%,12,12
"State Senator, District 6",0740,280,169,449,1005,44.68%,235,235
"State Senator, District 6",0741,923,262,1185,1895,62.53%,952,952
"State Senator, District 6",0743,54,60,114,234,48.72%,82,82
"State Senator, District 6",0749,115,1,116,432,26.85%,98,98
"State Senator, District 6",0755,1782,955,2737,5015,54.58%,1924,1924
"State Senator, District 6",0763,370,264,634,1249,50.76%,479,479
"State Senator, District 6",0766,126,59,185,428,43.22%,158,158
"State Senator, District 6",0770,103,42,145,388,37.37%,103,103
"State Senator, District 6",0774,150,66,216,426,50.70%,170,170
"State Senator, District 6",0775,50,1,51,102,50.00%,49,49
"State Senator, District 6",0777,201,105,306,767,39.90%,243,243
"State Senator, District 6",0778,0,3,3,0,0.00%,3,3
"State Senator, District 6",0779,263,160,423,1019,41.51%,324,324
"State Senator, District 6",0780,170,130,300,666,45.05%,205,205
"State Senator, District 6",0786,396,177,573,1258,45.55%,419,419
"State Senator, District 6",0787,180,83,263,542,48.52%,198,198
"State Senator, District 6",0791,9,3,12,29,41.38%,11,11
"State Senator, District 6",0792,548,415,1063,1954,54.40%,851,851
"State Senator, District 6",0794,626,411,1037,3208,32.33%,936,936
"State Senator, District 6",0795,396,2,398,1281,31.07%,289,289
"State Senator, District 6",0797,0,0,0,0,0.00%,0,0
"State Senator, District 6",0798,222,142,364,521,69.87%,242,242
"State Senator, District 6",0801,90,44,134,261,51.34%,102,102
"State Senator, District 6",0810,47,31,78,197,39.59%,66,66
"State Senator, District 6",0811,82,68,150,277,54.15%,126,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0812,0,0,0,0,0.00%,0,0
"State Senator, District 6",0816,23,10,33,64,51.56%,27,27
"State Senator, District 6",0821,362,188,550,1295,42.47%,486,486
"State Senator, District 6",0824,1057,410,1467,2762,53.11%,1203,1203
"State Senator, District 6",0827,218,234,452,1042,43.38%,337,337
"State Senator, District 6",0831,8,5,13,36,36.11%,7,7
"State Senator, District 6",0832,124,50,174,364,47.80%,133,133
"State Senator, District 6",0833,3,2,5,20,25.00%,3,3
"State Senator, District 6",0835,87,71,158,311,50.80%,125,125
"State Senator, District 6",0838,0,0,0,0,0.00%,0,0
