Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Keith Liggett,Frank Renard Bryant,Totals
"Channelview |.S.D., Trustee, Position No. 1",0141,217,153,370,904,40.93%,141,82,223
"Channelview |.S.D., Trustee, Position No. 1",0220,726,296,1022,2149,47.56%,513,178,691
"Channelview |.S.D., Trustee, Position No. 1",0381,1185,432,1617,3141,51.48%,550,453,1003
"Channelview |.S.D., Trustee, Position No. 1",0460,292,70,362,504,71.83%,111,84,195
"Channelview |.S.D., Trustee, Position No. 1",0605,1711,599,2310,4217,54.78%,694,724,1418
"Channelview |.S.D., Trustee, Position No. 1",0719,624,223,847,1644,51.52%,317,191,508
"Channelview |.S.D., Trustee, Position No. 1",0740,3,2,5,16,31.25%,1,1,2
"Channelview |.S.D., Trustee, Position No. 1",0741,923,262,1185,1895,62.53%,309,374,683
"Channelview |.S.D., Trustee, Position No. 1",Totals:,5681,2037,7718,14470,2636,2087,4723
