Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0107,584,403,987,2216,44.54%,299,371,670
"Houston |.S.D., Proposition 1",0109,0,23,23,0,0.00%,8,6,14
"Houston |.S.D., Proposition 1",0115,609,272,881,1843,47.80%,257,343,600
"Houston |.S.D., Proposition 1",0117,443,275,718,1387,51.77%,220,308,528
"Houston |.S.D., Proposition 1",0122,732,284,1016,1904,53.36%,273,468,741
"Houston |.S.D., Proposition 1",0123,749,287,1036,1585,65.36%,287,485,772
"Houston |.S.D., Proposition 1",0128,1107,612,1719,2322,74.03%,582,906,1488
"Houston |.S.D., Proposition 1",0129,2540,1052,3592,5172,69.45%,936,1720,2656
"Houston |.S.D., Proposition 1",0130,1271,433,1704,2221,76.72%,441,856,1297
"Houston |.S.D., Proposition 1",0131,798,371,1169,2147,54.45%,369,525,894
"Houston |.S.D., Proposition 1",0132,1028,322,1350,2378,56.77%,389,661,1050
"Houston |.S.D., Proposition 1",0133,1411,746,2157,2690,80.19%,583,1186,1769
"Houston |.S.D., Proposition 1",0134,593,343,936,1513,61.86%,253,447,700
"Houston |.S.D., Proposition 1",0135,1614,551,2165,2777,77.96%,583,1068,1651
"Houston |.S.D., Proposition 1",0136,982,352,1334,2116,63.04%,372,692,1064
"Houston |.S.D., Proposition 1",0137,0,1,1,0,0.00%,0,0,0
"Houston |.S.D., Proposition 1",0138,500,228,828,1723,48.06%,205,362,567
"Houston |.S.D., Proposition 1",0139,1939,601,2540,3435,73.94%,677,1179,1856
"Houston |.S.D., Proposition 1",0140,1513,510,2023,3270,61.87%,574,1018,1592
"Houston |.S.D., Proposition 1",0142,293,140,433,933,46.41%,125,185,310
"Houston |.S.D., Proposition 1",0144,442,125,567,1086,52.21%,157,241,398
"Houston |.S.D., Proposition 1",0145,550,256,815,1564,52.17%,195,349,544
"Houston |.S.D., Proposition 1",0146,1000,494,1494,2073,72.07%,376,856,1232
"Houston |.S.D., Proposition 1",0148,1265,652,1917,2571,74.56%,563,984,1547
"Houston |.S.D., Proposition 1",0150,582,223,805,1574,51.14%,221,350,571
"Houston |.S.D., Proposition 1",0151,282,107,389,826,47.09%,98,139,237
"Houston |.S.D., Proposition 1",0152,825,518,1343,2883,46.58%,394,522,916
"Houston |.S.D., Proposition 1",0153,544,399,943,1873,50.35%,343,406,749
"Houston |.S.D., Proposition 1",0154,913,289,1202,2293,52.42%,347,522,869
"Houston |.S.D., Proposition 1",0156,1413,403,1816,3223,56.35%,457,893,1350
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0158,1143,365,1508,3049,49.46%,429,721,1150
"Houston |.S.D., Proposition 1",0159,348,147,495,997,49.65%,133,250,383
"Houston |.S.D., Proposition 1",0160,286,67,353,717,49.23%,107,153,260
"Houston |.S.D., Proposition 1",0161,378,173,551,992,55.54%,151,243,394
"Houston |.S.D., Proposition 1",0162,35,21,56,155,36.13%,18,16,34
"Houston |.S.D., Proposition 1",0163,3,0,3,0,0.00%,0,0,0
"Houston |.S.D., Proposition 1",0164,219,182,401,691,58.03%,119,181,300
"Houston |.S.D., Proposition 1",0166,562,261,823,1171,70.28%,258,426,684
"Houston |.S.D., Proposition 1",0167,5,2,7,24,29.17%,3,3,6
"Houston |.S.D., Proposition 1",0168,196,59,255,512,49.80%,48,116,164
"Houston |.S.D., Proposition 1",0169,398,118,516,1168,44.18%,139,237,376
"Houston |.S.D., Proposition 1",0171,482,283,765,1648,46.42%,201,313,514
"Houston |.S.D., Proposition 1",0172,245,103,348,661,52.65%,102,161,263
