Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0218,1099,457,1556,2467,63.07%,352,1076,1428
"County School Trustee, Position 1, Precinct 2",0220,832,306,1138,2362,48.18%,696,375,1071
"County School Trustee, Position 1, Precinct 2",0221,1032,473,1505,2598,57.93%,474,940,1414
"County School Trustee, Position 1, Precinct 2",0226,840,421,1261,2554,49.37%,240,961,1201
"County School Trustee, Position 1, Precinct 2",0229,227,168,395,828,47.71%,99,271,370
"County School Trustee, Position 1, Precinct 2",0231,801,445,1246,2376,52.44%,251,931,1182
"County School Trustee, Position 1, Precinct 2",0241,651,383,1034,2466,41.93%,329,664,993
"County School Trustee, Position 1, Precinct 2",0242,506,314,820,1744,47.02%,351,414,765
"County School Trustee, Position 1, Precinct 2",0248,453,347,800,2147,37.26%,180,578,758
"County School Trustee, Position 1, Precinct 2",0249,1124,365,1489,2825,52.71%,902,548,1450
"County School Trustee, Position 1, Precinct 2",0250,288,183,471,925,50.92%,19,442,461
"County School Trustee, Position 1, Precinct 2",0251,806,378,1184,2132,55.53%,66,1075,1141
"County School Trustee, Position 1, Precinct 2",0254,411,280,691,1675,41.25%,148,503,651
"County School Trustee, Position 1, Precinct 2",0261,442,531,973,1457,66.78%,258,657,915
"County School Trustee, Position 1, Precinct 2",0266,737,443,1180,2147,54.96%,420,694,1114
"County School Trustee, Position 1, Precinct 2",0267,421,293,714,1433,49.83%,254,424,678
"County School Trustee, Position 1, Precinct 2",0275,585,334,919,2059,44.63%,152,732,884
"County School Trustee, Position 1, Precinct 2",0277,573,338,911,1898,48.00%,302,570,872
"County School Trustee, Position 1, Precinct 2",0278,1059,469,1528,2602,58.72%,626,821,1447
"County School Trustee, Position 1, Precinct 2",0279,789,314,1103,2073,53.21%,593,460,1053
"County School Trustee, Position 1, Precinct 2",0280,444,362,806,1656,48.67%,216,541,757
"County School Trustee, Position 1, Precinct 2",0289,481,352,833,1584,52.59%,298,480,778
"County School Trustee, Position 1, Precinct 2",0290,705,332,1037,1623,63.89%,727,275,1002
"County School Trustee, Position 1, Precinct 2",0301,737,392,1129,2337,48.31%,380,692,1072
"County School Trustee, Position 1, Precinct 2",0302,1197,591,1788,3277,54.56%,880,835,1715
"County School Trustee, Position 1, Precinct 2",0306,1,’095,299,1395,1896,73.58%,893,433,1326
"County School Trustee, Position 1, Precinct 2",0307,1456,801,2257,3270,69.02%,1393,744,2137
"County School Trustee, Position 1, Precinct 2",0308,526,225,751,1457,51.54%,182,517,699
"County School Trustee, Position 1, Precinct 2",0326,271,129,400,736,54.35%,136,233,369
"County School Trustee, Position 1, Precinct 2",0328,425,286,711,1631,43.59%,205,467,672
"County School Trustee, Position 1, Precinct 2",0329,589,260,849,1621,52.38%,242,560,802
"County School Trustee, Position 1, Precinct 2",0333,1385,942,2327,3296,70.60%,1576,633,2209
"County School Trustee, Position 1, Precinct 2",0339,704,303,1007,1909,52.75%,171,774,945
"County School Trustee, Position 1, Precinct 2",0341,380,278,658,1372,47.96%,146,475,621
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0343,722,370,1092,2099,52.02%,194,825,1019
"County School Trustee, Position 1, Precinct 2",0346,1,0,1,1,100.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0347,1461,618,2079,3614,57.53%,1149,848,1997
"County School Trustee, Position 1, Precinct 2",0348,830,242,1072,1796,59.69%,701,326,1027
"County School Trustee, Position 1, Precinct 2",0351,2855,570,3425,4799,71.37%,2495,788,3283
"County School Trustee, Position 1, Precinct 2",0352,2023,538,2561,4278,59.86%,1714,739,2453
"County School Trustee, Position 1, Precinct 2",0354,1569,429,1998,3520,56.76%,439,1463,1902
"County School Trustee, Position 1, Precinct 2",0369,132,29,161,678,23.75%,54,93,147
"County School Trustee, Position 1, Precinct 2",0374,176,165,341,720,47.36%,79,247,326
"County School Trustee, Position 1, Precinct 2",0375,745,510,1255,2836,44.25%,416,763,1179
"County School Trustee, Position 1, Precinct 2",0377,1381,643,2024,3137,64.52%,1483,454,1937
"County School Trustee, Position 1, Precinct 2",0381,1185,432,1617,3141,51.48%,598,939,1537
"County School Trustee, Position 1, Precinct 2",0386,1658,419,2077,3105,66.89%,1444,569,2013
"County School Trustee, Position 1, Precinct 2",0387,1,1702,780,2482,4340,57.19%,1603,770,2373
