Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0323,700,296,996,1793,55.55%,362,590,952
"District Judge, 129th Judicial District",0324,1444,560,2004,2607,76.87%,1150,721,1871
"District Judge, 129th Judicial District",0325,802,257,1059,2176,48.67%,178,817,995
"District Judge, 129th Judicial District",0326,271,129,400,736,54.35%,136,234,370
"District Judge, 129th Judicial District",0327,738,141,879,1758,50.00%,23,825,848
"District Judge, 129th Judicial District",0328,425,286,711,1631,43.59%,196,477,673
"District Judge, 129th Judicial District",0329,589,260,849,1621,52.38%,228,579,807
"District Judge, 129th Judicial District",0330,863,326,1189,2146,55.41%,512,609,1121
"District Judge, 129th Judicial District",0331,884,234,1118,1612,69.35%,677,381,1058
"District Judge, 129th Judicial District",0332,1355,503,1858,2926,63.50%,173,1609,1782
"District Judge, 129th Judicial District",0333,1385,942,2327,3296,70.60%,1590,608,2198
"District Judge, 129th Judicial District",0334,246,104,350,786,44.53%,54,281,335
"District Judge, 129th Judicial District",0335,489,293,782,1679,46.58%,185,542,727
"District Judge, 129th Judicial District",0336,2489,689,3178,4771,66.61%,318,2767,3085
"District Judge, 129th Judicial District",0337,367,155,522,1108,47.11%,65,426,491
"District Judge, 129th Judicial District",0338,1626,632,2258,5001,45.15%,548,1589,2137
"District Judge, 129th Judicial District",0339,704,303,1007,1909,52.75%,166,783,949
"District Judge, 129th Judicial District",0340,2040,654,2694,4012,67.15%,1839,721,2560
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0341,380,278,658,1372,47.96%,140,486,626
"District Judge, 129th Judicial District",0342,311,225,536,1092,49.08%,106,401,507
"District Judge, 129th Judicial District",0343,722,370,1092,2099,52.02%,172,851,1023
"District Judge, 129th Judicial District",0344,381,207,588,1225,48.00%,21,539,560
"District Judge, 129th Judicial District",0345,575,349,924,1945,47.51%,178,692,870
"District Judge, 129th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 129th Judicial District",0347,1461,618,2079,3614,57.53%,1151,845,1996
"District Judge, 129th Judicial District",0348,830,242,1072,1796,59.69%,701,326,1027
"District Judge, 129th Judicial District",0349,458,369,827,1372,60.28%,475,322,797
"District Judge, 129th Judicial District",0350,1674,582,2256,3269,69.01%,762,1314,2076
"District Judge, 129th Judicial District",0351,2855,570,3425,4799,71.37%,2493,785,3278
"District Judge, 129th Judicial District",0352,2023,538,2561,4278,59.86%,1714,746,2460
"District Judge, 129th Judicial District",0353,1715,659,2374,4156,57.12%,373,1908,2281
"District Judge, 129th Judicial District",0354,1569,429,1998,3520,56.76%,445,1460,1905
"District Judge, 129th Judicial District",0355,821,239,1060,1714,61.84%,105,922,1027
"District Judge, 129th Judicial District",0356,1542,582,2124,3126,67.95%,1110,897,2007
"District Judge, 129th Judicial District",0357,1882,557,2439,3685,66.19%,1692,632,2324
"District Judge, 129th Judicial District",0358,775,376,1151,2634,43.70%,121,984,1105
"District Judge, 129th Judicial District",0359,803,496,1299,3320,39.13%,132,1127,1259
"District Judge, 129th Judicial District",0360,1858,597,2455,3309,74.19%,1098,1184,2282
"District Judge, 129th Judicial District",0361,323,688,1011,1808,55.92%,140,769,909
"District Judge, 129th Judicial District",0362,2865,553,3418,5161,66.23%,2305,963,3268
"District Judge, 129th Judicial District",0363,1826,635,2461,4160,59.16%,927,1454,2381
"District Judge, 129th Judicial District",0364,1190,528,1718,2827,60.77%,733,877,1610
"District Judge, 129th Judicial District",0365,827,174,1001,1348,74.26%,109,861,970
"District Judge, 129th Judicial District",0366,988,524,1512,2887,52.37%,297,1146,1443
"District Judge, 129th Judicial District",0367,453,204,657,1256,52.31%,140,484,624
"District Judge, 129th Judicial District",0368,433,122,555,1024,54.20%,137,397,534
"District Judge, 129th Judicial District",0369,132,29,161,678,23.75%,56,92,148
"District Judge, 129th Judicial District",0370,2525,627,3152,4531,69.57%,2189,827,3016
"District Judge, 129th Judicial District",0371,210,78,288,537,53.63%,11,271,282
"District Judge, 129th Judicial District",0372,509,180,689,1274,54.08%,76,588,664
"District Judge, 129th Judicial District",0373,61,13,74,163,45.40%,0,72,72
"District Judge, 129th Judicial District",0374,176,165,341,720,47.36%,69,256,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0375,745,510,1255,2836,44.25%,402,780,1182
"District Judge, 129th Judicial District",0376,753,344,1097,2060,53.25%,380,646,1026
"District Judge, 129th Judicial District",0377,1381,643,2024,3137,64.52%,1490,436,1926
"District Judge, 129th Judicial District",0378,621,447,1068,1856,57.54%,639,380,1019
"District Judge, 129th Judicial District",0379,857,388,1245,2149,57.93%,106,1103,1209
"District Judge, 129th Judicial District",0380,2732,551,3283,4380,74.95%,1658,1501,3159
"District Judge, 129th Judicial District",0381,1185,432,1517,3141,51.48%,575,961,1536
"District Judge, 129th Judicial District",0382,429,206,635,1035,61.35%,377,230,607
"District Judge, 129th Judicial District",0383,722,458,1180,2373,49.73%,335,784,1119
"District Judge, 129th Judicial District",0384,1152,444,1596,2725,58.57%,310,1212,1522
"District Judge, 129th Judicial District",0385,1141,561,1702,2207,77.12%,1215,393,1608
"District Judge, 129th Judicial District",0386,1658,419,2077,3105,66.89%,1435,576,2011
"District Judge, 129th Judicial District",0387,1702,780,2482,4340,57.19%,1594,774,2368
"District Judge, 129th Judicial District",0388,2899,711,3510,5413,66.69%,1662,1812,3474
"District Judge, 129th Judicial District",0389,397,293,690,1359,50.77%,88,560,648
"District Judge, 129th Judicial District",0390,698,271,969,1482,65.38%,122,813,935
"District Judge, 129th Judicial District",0391,986,336,1322,1978,66.84%,748,510,1258
"District Judge, 129th Judicial District",0392,652,145,797,1426,55.89%,17,753,770
"District Judge, 129th Judicial District",0393,427,257,684,1274,53.69%,306,341,647
"District Judge, 129th Judicial District",0394,236,126,362,914,39.61%,110,232,342
"District Judge, 129th Judicial District",0395,1007,371,1378,1875,73.49%,876,422,1298
"District Judge, 129th Judicial District",0396,1035,204,1239,2072,59.80%,35,1163,1198
"District Judge, 129th Judicial District",0397,204,117,321,796,40.33%,109,190,299
"District Judge, 129th Judicial District",0398,1761,654,2415,4200,57.50%,1048,1257,2305
"District Judge, 129th Judicial District",0399,1291,546,1837,3340,55.00%,684,1088,1772
"District Judge, 129th Judicial District",0400,1457,372,1839,2661,69.11%,1154,612,1766
"District Judge, 129th Judicial District",0401,703,257,960,1971,48.71%,46,866,912
"District Judge, 129th Judicial District",0402,897,262,1159,1911,60.65%,71,1053,1124
"District Judge, 129th Judicial District",0403,959,387,1346,1719,78.30%,653,588,1241
"District Judge, 129th Judicial District",0404,1033,445,1478,2717,54.40%,670,753,1423
"District Judge, 129th Judicial District",0405,1910,457,2367,3067,77.18%,1731,565,2296
"District Judge, 129th Judicial District",0406,275,65,340,649,52.39%,11,316,327
"District Judge, 129th Judicial District",0407,1703,860,2563,3969,64.58%,1461,960,2421
"District Judge, 129th Judicial District",0408,520,313,833,1740,47.87%,241,540,781
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0409,501,280,781,1608,48.57%,212,527,739
"District Judge, 129th Judicial District",0410,381,96,477,934,51.07%,84,374,458
"District Judge, 129th Judicial District",0411,699,418,1117,2426,46.04%,247,809,1056
"District Judge, 129th Judicial District",0412,156,80,236,478,49.37%,15,212,227
"District Judge, 129th Judicial District",0413,1546,456,2002,3081,64.98%,689,1213,1902
"District Judge, 129th Judicial District",0414,1573,514,2087,3586,58.20%,1467,536,2003
"District Judge, 129th Judicial District",0415,1076,573,1649,2284,72.20%,1077,488,1565
"District Judge, 129th Judicial District",0416,1443,845,2288,4009,57.07%,1069,1096,2165
"District Judge, 129th Judicial District",0417,1104,397,1501,2589,57.98%,594,840,1434
"District Judge, 129th Judicial District",0418,1336,663,1999,3940,50.74%,617,1263,1880
"District Judge, 129th Judicial District",0419,1166,477,1643,2702,60.81%,896,671,1567
"District Judge, 129th Judicial District",0420,2687,731,3418,4946,69.11%,2698,584,3282
"District Judge, 129th Judicial District",0421,1240,273,1513,2023,74.79%,682,773,1455
"District Judge, 129th Judicial District",0422,1357,401,1768,3348,52.81%,59,1656,1715
"District Judge, 129th Judicial District",0423,316,288,604,1423,42.45%,113,465,578
"District Judge, 129th Judicial District",0424,548,158,706,1079,65.43%,350,319,669
"District Judge, 129th Judicial District",0425,257,139,396,878,45.10%,107,271,378
"District Judge, 129th Judicial District",0426,485,228,713,1266,56.32%,340,334,674
"District Judge, 129th Judicial District",0427,437,155,592,1120,52.86%,182,366,548
"District Judge, 129th Judicial District",0428,1588,865,2553,5151,49.56%,609,1803,2412
"District Judge, 129th Judicial District",0429,947,649,1596,3311,48.20%,318,1197,1515
"District Judge, 129th Judicial District",0430,524,291,815,1794,45.43%,128,630,758
"District Judge, 129th Judicial District",0431,1218,604,1822,3860,47.20%,363,1367,1730
"District Judge, 129th Judicial District",0432,456,249,705,1568,44.96%,203,454,657
"District Judge, 129th Judicial District",0433,163,88,251,561,44.74%,58,179,237
"District Judge, 129th Judicial District",0434,831,293,1124,1557,72.19%,589,454,1043
"District Judge, 129th Judicial District",0435,1951,567,2518,3363,74.87%,1469,904,2373
"District Judge, 129th Judicial District",0436,2008,678,2686,3809,70.52%,1403,1120,2523
"District Judge, 129th Judicial District",0437,1148,425,1573,2094,75.12%,993,501,1494
"District Judge, 129th Judicial District",0438,2288,475,2763,3789,72.92%,1803,807,2610
"District Judge, 129th Judicial District",0439,1854,749,2603,3701,70.33%,1671,785,2456
"District Judge, 129th Judicial District",0440,1498,749,2247,2973,75.58%,1631,500,2131
"District Judge, 129th Judicial District",0441,824,408,1232,1695,72.68%,818,348,1166
"District Judge, 129th Judicial District",0442,2441,685,3126,4315,72.44%,2454,535,2989
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0443,415,83,498,642,77.57%,337,132,469
"District Judge, 129th Judicial District",0444,1620,679,2299,3625,63.42%,1181,978,2159
"District Judge, 129th Judicial District",0445,1036,382,1418,2134,66.45%,809,534,1343
"District Judge, 129th Judicial District",0446,89,45,134,309,43.37%,41,87,128
"District Judge, 129th Judicial District",0447,2411,464,2875,3727,77.14%,1817,924,2741
"District Judge, 129th Judicial District",0448,1763,529,2292,3155,72.65%,1201,914,2115
"District Judge, 129th Judicial District",0449,73,26,99,225,44.00%,12,85,97
"District Judge, 129th Judicial District",0450,1104,394,1498,2890,51.83%,373,1064,1437
"District Judge, 129th Judicial District",0451,1719,367,2086,2771,75.28%,1605,406,2011
"District Judge, 129th Judicial District",0452,1871,662,2533,3789,66.85%,1644,779,2423
"District Judge, 129th Judicial District",0453,661,417,1078,2039,52.87%,270,742,1012
"District Judge, 129th Judicial District",0454,1043,288,1331,2509,53.05%,24,1262,1286
"District Judge, 129th Judicial District",0455,669,173,842,1713,49.15%,33,779,812
"District Judge, 129th Judicial District",0456,1404,553,1957,3793,51.60%,1002,859,1861
"District Judge, 129th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0458,914,253,1167,2025,57.63%,75,1047,1122
"District Judge, 129th Judicial District",0459,2362,432,2794,3942,70.88%,2055,622,2677
"District Judge, 129th Judicial District",0460,1613,472,2085,3280,63.57%,478,1531,2009
"District Judge, 129th Judicial District",0461,2242,669,2911,4054,71.81%,1687,1036,2723
"District Judge, 129th Judicial District",0462,1474,738,2212,3507,63.07%,713,1406,2119
"District Judge, 129th Judicial District",0463,1573,564,2237,3773,59.29%,828,1341,2169
"District Judge, 129th Judicial District",0464,967,582,1549,2343,66.11%,914,544,1458
"District Judge, 129th Judicial District",0465,1628,594,2222,3778,58.81%,961,1168,2129
"District Judge, 129th Judicial District",0466,2274,509,2783,4327,64.32%,1351,1323,2674
"District Judge, 129th Judicial District",0467,501,225,726,1320,55.00%,143,549,692
"District Judge, 129th Judicial District",0468,1379,747,2125,4040,52.62%,481,1542,2023
"District Judge, 129th Judicial District",0469,1857,462,2329,3257,71.51%,1729,502,2231
"District Judge, 129th Judicial District",0470,555,232,787,1358,57.95%,553,194,747
"District Judge, 129th Judicial District",0471,1057,458,1515,2473,61.26%,1107,346,1453
"District Judge, 129th Judicial District",0472,463,339,802,1131,70.91%,303,444,747
"District Judge, 129th Judicial District",0473,944,390,1334,1787,74.65%,869,394,1263
"District Judge, 129th Judicial District",0474,1417,624,2041,3127,65.27%,1289,663,1952
"District Judge, 129th Judicial District",0475,791,251,1052,1936,54.34%,392,603,995
"District Judge, 129th Judicial District",0476,1077,405,1482,2458,60.29%,726,688,1414
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0477,2027,640,2667,4010,66.51%,1766,774,2540
"District Judge, 129th Judicial District",0478,2271,683,2954,4696,62.90%,1775,1044,2819
"District Judge, 129th Judicial District",0479,1978,755,2733,3851,70.97%,1927,704,2631
"District Judge, 129th Judicial District",0480,1445,538,1983,2978,66.59%,1298,609,1907
"District Judge, 129th Judicial District",0481,1756,667,2423,3609,67.14%,1686,615,2301
"District Judge, 129th Judicial District",0482,2259,618,2877,4405,65.31%,1863,896,2759
"District Judge, 129th Judicial District",0483,2305,538,2843,4495,63.25%,1386,1303,2689
"District Judge, 129th Judicial District",0484,2020,700,2720,3981,68.32%,1644,964,2608
"District Judge, 129th Judicial District",0485,2118,567,2685,4051,66.28%,1846,735,2581
"District Judge, 129th Judicial District",0486,2310,721,3031,4195,72.25%,2227,666,2893
"District Judge, 129th Judicial District",0487,1405,527,1932,4142,46.64%,452,1317,1769
"District Judge, 129th Judicial District",0488,842,511,1353,2382,56.80%,351,933,1284
"District Judge, 129th Judicial District",0489,865,344,1209,1958,61.75%,311,839,1150
"District Judge, 129th Judicial District",0490,980,346,1326,2105,62.99%,381,871,1252
"District Judge, 129th Judicial District",0491,937,488,1425,2110,67.54%,724,620,1344
"District Judge, 129th Judicial District",0492,1217,396,1613,2552,63.21%,781,761,1542
"District Judge, 129th Judicial District",0493,1404,555,1959,3338,58.69%,675,1163,1838
"District Judge, 129th Judicial District",0494,1079,419,1498,2787,53.75%,174,1267,1441
"District Judge, 129th Judicial District",0495,1414,376,1790,2488,71.95%,1162,534,1696
"District Judge, 129th Judicial District",0496,687,549,1235,2325,53.16%,391,788,1179
"District Judge, 129th Judicial District",0497,915,281,1197,2148,55.73%,52,1105,1157
"District Judge, 129th Judicial District",0498,1069,423,1492,2527,59.04%,494,922,1416
"District Judge, 129th Judicial District",0499,1433,397,1830,2336,78.34%,1236,510,1746
"District Judge, 129th Judicial District",0500,1869,651,2520,3698,68.14%,1514,896,2410
"District Judge, 129th Judicial District",0501,1146,406,1552,2016,76.98%,592,857,1449
"District Judge, 129th Judicial District",0502,1355,293,1559,2595,63.93%,1231,345,1576
"District Judge, 129th Judicial District",0503,1397,306,1703,2236,76.16%,1216,400,1616
"District Judge, 129th Judicial District",0504,1270,482,1752,2318,75.58%,1049,611,1660
"District Judge, 129th Judicial District",0505,1750,735,2485,4076,60.97%,1012,1304,2316
"District Judge, 129th Judicial District",0506,1513,696,2209,3544,62.33%,317,1816,2133
"District Judge, 129th Judicial District",0507,599,319,918,2562,35.83%,192,624,816
"District Judge, 129th Judicial District",0508,1519,828,2347,4767,49.23%,612,1567,2179
"District Judge, 129th Judicial District",0509,2504,669,3173,5153,61.58%,1935,1102,3037
"District Judge, 129th Judicial District",0510,1701,666,2367,3822,61.93%,944,1329,2273
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0511,2933,574,3507,4620,75.91%,2061,1323,3384
"District Judge, 129th Judicial District",0512,1668,871,2539,4559,55.69%,904,1528,2432
"District Judge, 129th Judicial District",0513,1754,413,2187,3003,72.16%,1492,580,2072
"District Judge, 129th Judicial District",0514,2288,613,2899,4378,66.22%,1927,842,2769
"District Judge, 129th Judicial District",0515,1836,468,2304,3182,72.41%,1762,444,2206
"District Judge, 129th Judicial District",0516,1316,363,1679,2799,59.99%,779,830,1609
"District Judge, 129th Judicial District",0517,1610,509,2119,3744,56.60%,864,1156,2020
"District Judge, 129th Judicial District",0518,1886,676,2562,4049,63.27%,1427,1013,2440
"District Judge, 129th Judicial District",0519,1421,518,1939,3098,62.59%,1284,571,1855
"District Judge, 129th Judicial District",0520,1788,670,2456,5202,47.21%,358,2026,2384
"District Judge, 129th Judicial District",0521,1350,578,1928,3070,62.80%,874,977,1851
"District Judge, 129th Judicial District",0522,1508,464,1972,2815,70.05%,1400,512,1912
"District Judge, 129th Judicial District",0523,1978,537,2515,4027,62.45%,1465,910,2375
"District Judge, 129th Judicial District",0524,1392,637,2029,3598,56.39%,512,1424,1936
"District Judge, 129th Judicial District",0525,1440,574,2014,3260,61.78%,403,1510,1913
"District Judge, 129th Judicial District",0526,235,157,392,820,47.80%,77,291,368
"District Judge, 129th Judicial District",0527,156,38,194,580,33.45%,69,114,183
"District Judge, 129th Judicial District",0528,17,8,25,78,32.05%,3,21,24
"District Judge, 129th Judicial District",0529,2107,434,2541,3842,66.14%,2049,381,2430
"District Judge, 129th Judicial District",0530,375,212,587,1236,47.49%,99,441,540
"District Judge, 129th Judicial District",0531,1234,166,1400,2250,62.22%,1001,321,1322
"District Judge, 129th Judicial District",0532,478,140,618,1058,58.41%,402,204,606
"District Judge, 129th Judicial District",0533,352,169,521,1164,44.76%,245,242,487
"District Judge, 129th Judicial District",0534,1895,577,2472,3918,63.09%,1658,689,2347
"District Judge, 129th Judicial District",0535,132,62,194,413,46.97%,50,130,180
"District Judge, 129th Judicial District",0536,2104,1053,3157,5637,56.00%,937,2046,2983
"District Judge, 129th Judicial District",0537,1958,464,2422,3174,76.31%,1645,679,2324
"District Judge, 129th Judicial District",0538,371,203,574,1332,43.09%,10,549,559
"District Judge, 129th Judicial District",0539,811,234,1045,1535,68.08%,540,450,990
"District Judge, 129th Judicial District",0540,997,349,1346,1759,76.52%,428,816,1244
"District Judge, 129th Judicial District",0541,2157,761,2918,5001,58.35%,453,2327,2780
"District Judge, 129th Judicial District",0542,1156,406,1562,2654,58.85%,94,1410,1504
"District Judge, 129th Judicial District",0543,553,321,874,1658,52.71%,185,646,831
"District Judge, 129th Judicial District",0544,84,54,138,313,44.09%,15,120,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0545,2015,468,2483,3949,62.88%,1047,1303,2350
"District Judge, 129th Judicial District",0546,1524,278,1802,2471,72.93%,1470,281,1751
"District Judge, 129th Judicial District",0547,1413,270,1683,2534,66.42%,1073,534,1607
"District Judge, 129th Judicial District",0548,882,395,1277,2339,54.60%,537,699,1236
"District Judge, 129th Judicial District",0549,1105,447,1552,2786,55.71%,182,1323,1505
"District Judge, 129th Judicial District",0550,1171,553,1724,3245,53.13%,692,973,1665
"District Judge, 129th Judicial District",0551,2588,793,3379,4428,76.31%,2468,764,3232
"District Judge, 129th Judicial District",0552,2090,784,2874,3762,76.40%,2240,523,2763
"District Judge, 129th Judicial District",0553,982,317,1279,2193,58.32%,460,776,1236
"District Judge, 129th Judicial District",0554,597,271,868,1774,48.93%,167,665,832
"District Judge, 129th Judicial District",0555,839,390,1029,2286,45.01%,164,818,982
"District Judge, 129th Judicial District",0556,759,435,1194,2491,47.93%,234,909,1143
"District Judge, 129th Judicial District",0557,925,460,1385,2955,46.87%,365,909,1274
"District Judge, 129th Judicial District",0558,1812,721,2533,4718,53.69%,722,1708,2430
"District Judge, 129th Judicial District",0559,1901,701,2602,4984,52.21%,561,1929,2490
"District Judge, 129th Judicial District",0560,290,247,537,1141,47.06%,80,429,509
"District Judge, 129th Judicial District",0561,1023,624,1647,3138,52.49%,915,648,1563
"District Judge, 129th Judicial District",0562,222,116,338,691,48.91%,36,273,309
"District Judge, 129th Judicial District",0563,2089,337,2406,3468,69.38%,1786,521,2307
"District Judge, 129th Judicial District",0564,1551,526,2077,3240,64.10%,533,1433,1966
"District Judge, 129th Judicial District",0565,338,148,484,1414,34.23%,74,388,462
"District Judge, 129th Judicial District",0566,1183,441,1624,3029,53.62%,387,1166,1553
"District Judge, 129th Judicial District",0567,985,390,1355,2851,47.53%,311,948,1259
"District Judge, 129th Judicial District",0568,1833,697,2530,3638,69.54%,1506,855,2361
"District Judge, 129th Judicial District",0569,2027,747,2774,4125,67.25%,1258,1340,2598
"District Judge, 129th Judicial District",0570,788,278,1044,1598,65.33%,364,604,968
"District Judge, 129th Judicial District",0571,521,314,835,1950,42.82%,213,577,790
"District Judge, 129th Judicial District",0572,1522,444,1966,3308,59.43%,807,1068,1875
"District Judge, 129th Judicial District",0573,489,215,704,1625,43.32%,15,676,691
"District Judge, 129th Judicial District",0574,112,74,186,391,47.57%,20,158,178
"District Judge, 129th Judicial District",0575,1905,535,2440,3557,68.60%,1286,1040,2326
"District Judge, 129th Judicial District",0576,1107,375,1482,2830,52.37%,80,1356,1436
"District Judge, 129th Judicial District",0577,885,205,1090,1586,68.73%,597,431,1028
"District Judge, 129th Judicial District",0578,1028,405,1431,1862,76.85%,818,506,1324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0579,287,181,468,1139,41.09%,74,369,443
"District Judge, 129th Judicial District",0580,366,108,474,985,48.12%,19,446,465
"District Judge, 129th Judicial District",0581,456,137,593,1033,57.41%,19,552,571
"District Judge, 129th Judicial District",0582,543,232,775,1607,48.23%,48,695,743
"District Judge, 129th Judicial District",0583,433,155,588,1286,45.72%,19,555,574
"District Judge, 129th Judicial District",0584,367,120,487,1062,45.86%,34,432,466
"District Judge, 129th Judicial District",0585,829,280,1109,2346,47.27%,46,1029,1075
"District Judge, 129th Judicial District",0586,1790,790,2580,4521,57.07%,1403,1067,2470
"District Judge, 129th Judicial District",0587,1204,431,1635,2870,56.97%,501,1068,1569
"District Judge, 129th Judicial District",0588,1940,606,2546,3780,67.35%,1619,827,2446
"District Judge, 129th Judicial District",0589,1539,545,2084,3780,55.13%,958,1042,2000
"District Judge, 129th Judicial District",0590,1230,400,1630,2176,74.91%,1172,378,1550
"District Judge, 129th Judicial District",0591,651,462,1113,2274,48.94%,248,805,1053
"District Judge, 129th Judicial District",0592,449,272,721,1446,49.86%,141,543,684
"District Judge, 129th Judicial District",0593,1581,755,2316,4179,55.42%,862,1333,2195
"District Judge, 129th Judicial District",0594,1243,316,1559,2578,60.47%,402,1114,1516
"District Judge, 129th Judicial District",0595,600,299,899,1833,49.05%,125,739,864
"District Judge, 129th Judicial District",0596,1377,501,1878,3574,52.55%,813,964,1777
"District Judge, 129th Judicial District",0597,1204,609,1813,3587,50.54%,592,1127,1719
"District Judge, 129th Judicial District",0598,2389,731,3120,5253,59.39%,1021,1965,2986
"District Judge, 129th Judicial District",0599,1378,493,1871,3005,62.26%,603,1205,1808
"District Judge, 129th Judicial District",0600,1602,776,2378,4204,56.57%,747,1510,2257
"District Judge, 129th Judicial District",0601,2220,670,2890,4151,69.62%,2001,778,2779
"District Judge, 129th Judicial District",0602,754,234,988,1441,68.56%,639,309,948
"District Judge, 129th Judicial District",0603,2335,725,3060,4666,65.58%,1679,1256,2935
"District Judge, 129th Judicial District",0604,1816,375,2191,3189,68.70%,1765,324,2089
"District Judge, 129th Judicial District",0605,1711,599,2310,4217,54.78%,484,1712,2196
"District Judge, 129th Judicial District",0606,319,111,430,970,44.33%,8,409,417
"District Judge, 129th Judicial District",0607,163,51,214,712,30.06%,23,183,206
"District Judge, 129th Judicial District",0608,156,77,233,570,40.88%,69,151,220
"District Judge, 129th Judicial District",0609,2037,729,2766,4305,64.25%,1506,1133,2639
"District Judge, 129th Judicial District",0610,665,343,1008,2086,48.32%,389,559,948
"District Judge, 129th Judicial District",0611,980,229,1209,2527,47.84%,47,1133,1180
"District Judge, 129th Judicial District",0612,1927,431,2358,3388,69.60%,1702,545,2247
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0613,937,339,1276,2368,53.89%,199,1020,1219
"District Judge, 129th Judicial District",0614,1949,645,2594,4566,56.81%,727,1749,2476
"District Judge, 129th Judicial District",0615,1075,301,1376,2086,65.96%,680,636,1316
"District Judge, 129th Judicial District",0616,1809,611,2420,3516,68.83%,1521,771,2292
"District Judge, 129th Judicial District",0617,1704,650,2354,4179,56.33%,740,1516,2256
"District Judge, 129th Judicial District",0618,1698,545,2243,3801,59.01%,874,1288,2162
"District Judge, 129th Judicial District",0619,2792,663,3455,4916,70.28%,2443,905,3348
"District Judge, 129th Judicial District",0620,1747,333,2080,3318,62.69%,1023,956,1979
"District Judge, 129th Judicial District",0621,536,200,736,1272,57.86%,288,406,694
"District Judge, 129th Judicial District",0622,2129,591,2720,4562,59.62%,1383,1210,2593
"District Judge, 129th Judicial District",0623,1960,461,2421,3919,61.78%,1452,859,2311
"District Judge, 129th Judicial District",0624,297,59,356,456,78.07%,261,80,341
"District Judge, 129th Judicial District",0625,924,372,1296,1864,69.53%,664,563,1227
"District Judge, 129th Judicial District",0626,2280,784,3054,4816,63.62%,1526,1382,2908
"District Judge, 129th Judicial District",0627,935,649,1584,3235,48.96%,392,1107,1499
"District Judge, 129th Judicial District",0628,716,545,1261,2420,52.11%,403,782,1185
"District Judge, 129th Judicial District",0629,162,96,258,750,34.40%,30,220,250
"District Judge, 129th Judicial District",0630,2662,541,3203,4738,67.60%,310,2804,3114
"District Judge, 129th Judicial District",0631,1841,398,2239,3263,68.62%,1425,712,2137
"District Judge, 129th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 129th Judicial District",0633,2285,601,2887,3912,73.80%,1891,882,2773
"District Judge, 129th Judicial District",0634,1435,499,1934,3259,59.34%,1047,807,1854
"District Judge, 129th Judicial District",0635,1645,520,2165,3512,61.65%,1540,525,2065
"District Judge, 129th Judicial District",0636,2303,922,3225,4569,70.58%,2730,380,3110
"District Judge, 129th Judicial District",0637,1095,423,1518,2591,58.59%,286,1116,1402
"District Judge, 129th Judicial District",0638,850,348,1198,2310,51.86%,96,1073,1169
"District Judge, 129th Judicial District",0639,1385,284,1670,2560,65.23%,1243,354,1597
"District Judge, 129th Judicial District",0640,1619,615,2234,3927,56.89%,1202,942,2144
"District Judge, 129th Judicial District",0641,1637,683,2320,3840,60.42%,1303,915,2218
"District Judge, 129th Judicial District",0642,1030,270,1300,1783,72.91%,985,268,1253
"District Judge, 129th Judicial District",0643,1948,593,2541,4189,60.66%,1128,1314,2442
"District Judge, 129th Judicial District",0644,2087,689,2776,4446,62.44%,1544,1115,2659
"District Judge, 129th Judicial District",0645,2145,769,2914,4517,64.51%,1144,1616,2760
"District Judge, 129th Judicial District",0646,925,399,1324,2422,54.67%,322,930,1252
