Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Brian Brown,Brenton Spry,Larry Millican,Totals
"City of League City, Council, Position #3 (Four Year Term)",0655,1,0,1,0,0.00%,0,1,0,1
"City of League City, Council, Position #3 (Four Year Term)",0742,470,198,668,950,70.32%,110,45,154,309
