Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0057,2043,567,2610,3325,78.50%,1090,1304,2394
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0058,1716,484,2200,3031,72.58%,1003,1038,2041
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0059,1589,439,2028,2671,75.93%,868,1022,1890
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0060,1473,537,2010,2766,72.67%,569,1302,1871
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0061,519,423,942,1847,51.00%,236,640,876
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0062,689,452,1141,2195,51.98%,198,855,1053
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0063,767,391,1158,1903,60.85%,893,208,1101
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0064,678,368,1046,2220,47.12%,187,774,961
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0065,638,435,1073,2178,49.27%,153,858,1011
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0066,247,255,502,1135,44.23%,85,381,466
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0067,942,521,1463,3019,48.46%,269,1075,1344
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0068,1171,430,1601,3096,51.71%,66,1468,1534
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0069,375,222,597,1309,45.61%,84,457,541
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0070,2288,670,2958,3815,77.54%,1704,1060,2764
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0071,2703,947,3650,5016,72.77%,1777,1635,3412
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0072,736,418,1154,2029,56.88%,264,804,1068
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0073,813,282,1095,1621,67.55%,552,464,1016
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0074,2503,268,2771,3578,77.45%,2046,590,2636
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0075,1000,286,1286,1684,76.37%,561,630,1191
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0076,1015,427,1442,2441,59.07%,673,680,1353
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0077,2,5,7,17,41.18%,1,6,7
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0078,618,254,872,1608,54.23%,214,588,802
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0079,831,602,1433,2963,48.36%,235,1079,1314
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0080,1174,466,1640,2840,57.75%,343,1202,1545
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0081,776,273,1049,1964,53.41%,283,707,990
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0082,1585,756,2341,3539,66.15%,1644,595,2239
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0083,1829,540,2369,4174,56.76%,863,1406,2269
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0084,573,257,830,1421,58.41%,566,232,798
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0085,587,329,916,2169,42.23%,44,831,875
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0086,2032,493,2525,3449,73.21%,1179,1182,2361
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0087,1451,719,2170,2839,76.44%,1389,641,2030
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0088,338,141,479,784,61.10%,299,154,453
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0089,398,424,822,1094,75.14%,463,294,757
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0090,1856,890,2746,3883,70.72%,1983,633,2616
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0091,673,339,1012,1724,58.70%,552,390,942
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0092,1263,474,1737,2260,76.86%,1104,519,1623
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0093,1048,619,1667,3536,47.14%,460,1116,1576
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0094,202,53,255,580,45.69%,43,208,251
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0095,2022,534,2556,3394,75.31%,1632,791,2423
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0096,828,306,1134,2060,55.05%,149,931,1080
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0097,2511,467,2978,4414,67.47%,2180,658,2838
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0098,1385,594,1979,3161,62.61%,1591,311,1902
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0099,681,295,976,2192,44.53%,391,534,925
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0100,529,276,805,1825,44.11%,311,462,773
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0101,221,129,350,988,35.43%,79,258,337
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0102,580,227,807,1907,42.32%,195,567,762
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0103,2140,985,3125,5097,61.31%,1470,1540,3010
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0104,913,211,1124,1920,58.54%,29,1059,1088
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0105,709,433,1142,2304,49.57%,265,792,1057
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0106,73,59,132,299,44.15%,42,87,129
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0107,592,403,995,2230,44.62%,140,807,947
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0108,1461,448,1909,3674,51.96%,877,911,1788
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0109,1098,278,1376,2909,47.30%,43,1285,1328
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0110,1661,481,2142,3222,66.48%,1198,847,2045
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0111,2699,866,3565,4792,74.39%,2446,952,3398
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0112,1507,598,2105,3188,66.03%,1352,654,2006
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0113,1307,418,1725,2718,63.47%,888,771,1659
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0114,2290,506,2796,3885,71.97%,1987,686,2673
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0115,609,272,881,1843,47.80%,83,759,842
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0116,1898,599,2497,3194,78.18%,1856,519,2375
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0117,573,379,952,1900,50.11%,312,576,888
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0118,1823,530,2353,3181,73.97%,1211,1017,2228
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0119,2755,409,3164,4682,67.58%,2428,584,3012
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0120,1804,588,2392,3732,64.09%,1389,877,2266
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0121,354,221,575,966,59.52%,352,207,559
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0122,732,284,1016,1904,53.36%,58,918,976
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0123,749,287,1036,1585,65.36%,304,679,983
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0124,3136,888,4024,5393,74.62%,3112,783,3895
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0125,1207,400,1607,2593,61.97%,834,702,1536
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0126,2017,427,2444,3380,72.31%,2025,315,2340
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0127,978,214,1192,2091,57.01%,812,314,1126
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0128,1107,612,1719,2322,74.03%,1061,509,1570
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0129,2540,1052,3592,5172,69.45%,2078,1306,3384
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0130,1310,433,1743,2289,76.15%,1231,430,1661
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0131,798,371,1169,2147,54.45%,252,883,1135
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0132,1028,322,1350,2378,56.77%,49,1269,1318
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0133,1411,746,2157,2690,80.19%,1206,781,1987
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0134,593,345,938,1513,62.00%,350,523,873
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0135,1614,551,2165,2777,77.96%,1387,632,2019
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0136,982,352,1334,2116,63.04%,100,1175,1275
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0137,993,259,1252,1986,63.04%,803,392,1195
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0138,600,228,828,1723,48.06%,42,763,805
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0139,1939,601,2540,3435,73.94%,1181,1158,2339
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0140,1513,510,2023,3270,61.87%,333,1567,1900
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0141,217,153,370,904,40.93%,191,151,342
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0142,293,140,433,933,46.41%,82,318,400
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0143,1868,267,2135,2582,82.69%,1376,689,2065
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0144,442,125,567,1086,52.21%,18,526,544
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0145,560,256,816,1564,52.17%,16,772,788
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0146,1000,494,1494,2073,72.07%,634,763,1397
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0147,1411,354,1765,3211,54.97%,224,1481,1705
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0148,1265,652,1917,2571,74.56%,809,959,1768
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0149,2938,573,3511,4756,73.82%,1906,1475,3381
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0150,582,223,805,1574,51.14%,29,746,775
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0151,282,107,389,826,47.09%,18,353,371
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0152,838,524,1362,3059,44.52%,256,1023,1279
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0153,544,399,943,1873,50.35%,195,697,892
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0154,913,289,1202,2293,52.42%,221,884,1105
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0155,2275,576,2851,4065,70.14%,1753,945,2698
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0156,1413,403,1816,3223,56.35%,98,1634,1732
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0157,880,278,1158,2265,51.13%,71,1052,1123
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0158,1143,365,1508,3049,49.46%,63,1402,1465
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0159,348,147,495,997,49.65%,72,404,476
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0160,286,67,353,717,49.23%,17,323,340
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0161,378,173,551,992,55.54%,19,507,526
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0162,364,267,631,1312,48.09%,142,440,582
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0163,1080,524,1604,3075,52.16%,405,1029,1434
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0164,441,258,699,1407,49.68%,24,647,671
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0165,1169,469,1638,2460,66.59%,912,615,1527
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0166,562,261,823,1171,70.28%,266,498,764
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0167,5,2,7,24,29.17%,1,6,7
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0168,196,59,255,512,49.80%,4,245,249
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0169,985,247,1232,2548,48.35%,54,1136,1190
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0170,663,262,925,1958,47.24%,395,464,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0171,482,283,765,1648,46.42%,37,687,724
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0172,245,103,348,661,52.65%,81,247,328
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0173,2259,683,2942,3966,74.18%,2135,667,2802
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0174,1718,707,2423,3389,71.50%,1577,690,2267
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0175,1402,691,2093,2711,77.20%,1065,858,1923
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0176,767,375,1142,1533,74.49%,567,478,1045
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0177,937,333,1270,1715,74.05%,677,497,1174
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0178,1116,273,1389,1795,77.38%,912,367,1279
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0179,771,244,1015,1673,60.67%,466,478,944
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0180,928,463,1391,2914,47.74%,59,1267,1326
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0181,697,439,1136,2195,51.75%,241,834,1075
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0182,1943,994,2937,4071,72.14%,1574,1115,2689
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0183,1286,715,2001,2535,78.93%,1285,568,1853
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0184,278,219,497,1048,47.42%,116,346,462
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0185,709,444,1153,2054,56.13%,283,797,1080
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0186,252,150,402,798,50.38%,31,351,382
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0187,98,51,147,309,47.57%,21,113,134
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0188,499,306,805,1711,47.05%,236,530,766
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0189,804,279,1083,1505,71.96%,599,412,1011
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0190,571,326,897,1849,48.51%,244,600,844
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0191,327,259,586,1408,41.62%,165,392,557
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0192,757,259,1016,1959,51.86%,59,915,974
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0193,375,211,586,1099,53.32%,22,541,563
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0194,1138,449,1587,2172,73.07%,458,1029,1487
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0195,606,344,950,1739,54.63%,51,851,902
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0196,132,37,169,313,53.99%,13,144,157
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0197,998,372,1368,2969,46.08%,47,1273,1320
