Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0244,1409,538,1947,3296,59.07%,895,962,1857
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0245,2100,811,2911,4679,62.21%,1769,988,2757
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0246,2209,482,2691,3971,67.77%,1645,935,2580
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0247,440,376,816,1595,51.16%,31,766,797
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0248,453,347,800,2147,37.26%,170,582,752
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0249,1124,365,1489,2825,52.71%,906,535,1441
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0250,288,183,471,925,50.92%,20,440,460
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0251,806,378,1184,2132,55.53%,62,1078,1140
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0252,925,309,1235,2292,53.88%,29,1168,1197
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0253,759,311,1070,2154,49.68%,37,1007,1044
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0254,411,280,691,1675,41.25%,136,514,650
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0255,1253,586,1839,2489,73.89%,820,873,1693
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0256,1398,583,1981,3321,59.65%,645,1211,1856
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0257,997,622,1619,3497,46.30%,351,1196,1547
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0258,1948,608,2555,3346,76.39%,1816,589,2405
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0259,1030,414,1444,2312,62.46%,45,1359,1404
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0260,547,227,774,1300,59.54%,368,361,729
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0261,442,531,973,1457,66.78%,252,658,910
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0262,1847,676,2523,4397,57.38%,1332,1035,2367
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0263,2208,665,2873,4016,71.54%,2009,724,2733
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0264,1110,627,1737,3101,56.01%,850,785,1635
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0265,1991,608,2599,3582,72.56%,1818,606,2424
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0266,737,443,1180,2147,54.96%,416,698,1114
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0267,421,293,714,1433,49.83%,251,422,673
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0268,1174,689,1863,2528,73.69%,1043,653,1696
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0269,1305,365,1670,2114,79.00%,1232,335,1567
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0270,1816,688,2504,3985,62.84%,1197,1141,2338
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0271,1150,346,1496,2558,58.48%,49,1411,1460
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0272,870,415,1285,2334,55.06%,446,764,1210
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0273,1175,647,1822,2485,73.32%,1391,346,1737
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0274,1261,311,1572,2223,70.72%,968,491,1459
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0275,585,334,919,2059,44.63%,153,732,885
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0276,1027,255,1282,2458,52.16%,46,1205,1251
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0277,573,338,911,1898,48.00%,303,569,872
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0278,1059,469,1528,2602,58.72%,615,829,1444
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0279,789,314,1103,2073,53.21%,595,455,1050
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0280,444,362,806,1656,48.67%,206,549,755
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0281,1287,590,1877,2507,74.87%,893,809,1702
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0282,773,604,1377,2144,64.23%,764,540,1304
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0283,2351,1143,3494,6365,54.89%,472,2885,3357
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0284,1585,574,2159,4079,52.93%,692,1347,2039
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0285,1077,431,1508,2680,56.27%,115,1342,1457
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0286,1708,545,2253,3757,59.97%,222,1942,2164
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0287,851,408,1259,1658,75.93%,597,574,1171
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0288,881,314,1195,2208,54.12%,34,1128,1162
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0289,481,352,833,1584,52.59%,291,483,774
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0290,705,332,1037,1623,63.89%,741,257,998
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0291,603,233,836,1218,68.64%,358,425,783
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0292,549,178,727,1379,52.72%,93,606,699
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0293,778,475,1253,1811,69.19%,514,643,1157
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0294,852,198,1050,2054,51.12%,22,1007,1029
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0295,270,111,381,894,42.62%,14,356,370
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0296,701,385,1086,1705,63.70%,535,473,1008
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0297,729,341,1070,2055,52.07%,364,644,1008
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0298,1095,387,1482,2236,66.28%,728,676,1404
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0299,499,236,735,1506,48.80%,212,474,686
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0300,3385,728,4113,5480,75.05%,3046,872,3918
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0301,737,392,1129,2337,48.31%,365,701,1066
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0302,1197,591,1788,3277,54.56%,859,847,1706
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0303,1896,692,2588,3375,76.68%,1966,497,2463
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0304,1190,474,1664,2326,71.54%,912,618,1530
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0305,2154,645,2799,4838,57.85%,879,1803,2682
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0306,1096,299,1395,1896,73.58%,970,331,1301
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0307,1456,801,2257,3270,69.02%,1486,629,2115
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0308,526,225,751,1457,51.54%,178,520,698
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0309,2160,591,2751,3495,78.71%,2089,512,2601
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0310,709,326,1035,1464,70.70%,618,352,970
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0311,930,643,1573,3222,48.82%,709,751,1460
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0312,1705,552,2257,3724,60.61%,1156,975,2131
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0313,23,8,31,61,50.82%,15,8,23
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0314,2997,817,3814,5606,68.03%,2132,1540,3672
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0315,801,353,1154,1636,70.54%,647,424,1071
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0316,739,340,1079,1513,71.32%,577,417,994
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0317,593,252,845,1661,50.87%,215,580,795
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0318,1726,529,2255,3776,59.72%,169,2006,2175
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0319,994,271,1265,2199,57.53%,94,1131,1225
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0320,554,238,792,1570,50.45%,274,472,746
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0321,867,363,1230,2483,49.54%,316,816,1132
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0322,426,124,550,1210,45.45%,158,374,532
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0323,700,296,996,1793,55.55%,366,573,939
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0324,1444,560,2004,2607,76.87%,1228,645,1873
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0325,802,257,1059,2176,48.67%,185,806,991
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0326,271,129,400,736,54.35%,140,229,369
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0327,738,141,879,1758,50.00%,28,818,846
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0328,425,286,711,1631,43.59%,203,466,669
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0329,589,260,849,1621,52.38%,240,560,800
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0330,863,326,1189,2146,55.41%,513,608,1121
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0331,884,234,1118,1612,69.35%,685,370,1055
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0332,1355,503,1858,2926,63.50%,196,1584,1780
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0333,1385,942,2327,3296,70.60%,1615,576,2191
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0334,246,104,350,786,44.53%,54,278,332
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0335,489,293,782,1679,46.58%,187,541,728
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0336,2489,689,3178,4771,66.61%,348,2731,3079
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0337,367,155,522,1108,47.11%,70,416,486
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0338,1626,632,2258,5001,45.15%,565,1576,2141
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0339,704,303,1007,1909,52.75%,184,752,936
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0340,2040,654,2694,4012,67.15%,1867,686,2553
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0341,380,278,658,1372,47.96%,148,472,620
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0342,311,225,536,1092,49.08%,110,397,507
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0343,722,370,1092,2099,52.02%,201,807,1008
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0344,381,207,588,1225,48.00%,22,535,557
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0345,575,349,924,1945,47.51%,177,687,864
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0346,1,0,1,1,100.00%,0,0,0
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0347,1461,618,2079,3614,57.53%,1163,824,1987
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0348,830,242,1072,1796,59.69%,706,318,1024
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0349,458,369,827,1372,60.28%,475,321,796
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0350,1674,582,2256,3269,69.01%,831,1243,2074
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0351,2855,570,3425,4799,71.37%,2542,733,3275
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0352,2023,538,2561,4278,59.86%,1732,720,2452
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0353,1715,659,2374,4156,57.12%,390,1890,2280
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0354,1569,429,1998,3520,56.76%,439,1453,1892
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0355,821,239,1060,1714,61.84%,117,907,1024
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0356,1542,582,2124,3126,67.95%,1154,844,1998
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0357,1882,557,2439,3685,66.19%,1714,599,2313
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0358,775,376,1151,2634,43.70%,117,984,1101
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0359,803,496,1299,3320,39.13%,128,1128,1256
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0360,1858,597,2455,3309,74.19%,1151,1111,2262
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0361,323,688,1011,1808,55.92%,150,755,905
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0362,2865,553,3418,5161,66.23%,2336,927,3263
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0363,1826,635,2461,4160,59.16%,954,1424,2378
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0364,1190,528,1718,2827,60.77%,751,863,1614
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0365,827,174,1001,1348,74.26%,126,840,966
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0366,988,524,1512,2887,52.37%,304,1139,1443
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0367,453,204,657,1256,52.31%,150,475,625
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0368,433,122,555,1024,54.20%,141,390,531
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0369,132,29,161,678,23.75%,62,84,146
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0370,2525,627,3152,4531,69.57%,2217,802,3019
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0371,210,78,288,537,53.63%,14,269,283
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0372,509,180,689,1274,54.08%,69,589,658
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0373,61,13,74,163,45.40%,3,67,70
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0374,176,165,341,720,47.36%,73,251,324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0375,745,510,1255,2836,44.25%,402,772,1174
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0376,753,344,1097,2060,53.25%,392,637,1029
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0377,1381,643,2024,3137,64.52%,1492,433,1925
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0378,621,447,1068,1856,57.54%,633,384,1017
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0379,857,388,1245,2149,57.93%,119,1087,1206
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0380,2732,551,3283,4380,74.95%,1689,1464,3153
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0381,1185,432,1617,3141,51.48%,587,945,1532
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0382,429,206,635,1035,61.35%,388,219,607
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0383,722,458,1180,2373,49.73%,344,769,1113
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0384,1152,444,1596,2725,58.57%,363,1156,1519
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0385,1141,561,1702,2207,77.12%,1291,313,1604
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0386,1658,419,2077,3105,66.89%,1444,563,2007
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0387,1702,780,2482,4340,57.19%,1604,753,2357
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0388,2899,711,3510,5413,66.69%,1676,1792,3468
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0389,397,293,690,1359,50.77%,101,541,642
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0390,698,271,969,1482,65.38%,157,778,935
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0391,986,336,1322,1978,66.84%,761,491,1252
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0392,652,145,797,1426,55.89%,20,748,768
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0393,427,257,684,1274,53.69%,307,336,643
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0394,236,126,362,914,39.61%,109,231,340
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0395,1007,371,1378,1875,73.49%,921,376,1297
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0396,1035,204,1239,2072,59.80%,47,1152,1199
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0397,204,117,321,796,40.33%,108,191,299
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0398,1761,654,2415,4200,57.50%,1047,1251,2298
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0399,1291,546,1837,3340,55.00%,679,1088,1767
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0400,1457,372,1839,2661,69.11%,1166,599,1765
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0401,703,257,960,1971,48.71%,46,869,915
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0402,897,262,1159,1911,60.65%,80,1041,1121
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0403,959,387,1346,1719,78.30%,726,511,1237
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0404,1033,445,1478,2717,54.40%,678,743,1421
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0405,1910,457,2367,3067,77.18%,1740,556,2296
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0406,275,65,340,649,52.39%,8,321,329
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0407,1703,860,2563,3969,64.58%,1493,914,2407
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0408,520,313,833,1740,47.87%,241,531,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0409,501,280,781,1608,48.57%,225,509,734
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0410,381,96,477,934,51.07%,84,374,458
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0411,699,418,1117,2426,46.04%,264,783,1047
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0412,156,80,236,478,49.37%,14,215,229
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0413,1546,456,2002,3081,64.98%,707,1183,1890
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0414,1573,514,2087,3586,58.20%,1481,511,1992
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0415,1076,573,1649,2284,72.20%,1100,458,1558
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0416,1443,845,2288,4009,57.07%,1083,1072,2155
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0417,1104,397,1501,2589,57.98%,607,813,1420
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0418,1336,663,1999,3940,50.74%,609,1258,1867
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0419,1166,477,1643,2702,60.81%,921,645,1566
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0420,2687,731,3418,4946,69.11%,2694,581,3275
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0421,1240,273,1513,2023,74.79%,694,752,1446
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0422,1357,401,1768,3348,52.81%,92,1618,1710
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0423,316,288,604,1423,42.45%,122,454,576
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0424,548,158,706,1079,65.43%,366,301,667
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0425,257,139,396,878,45.10%,110,264,374
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0426,485,228,713,1266,56.32%,354,317,671
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0427,437,155,592,1120,52.86%,186,365,551
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0428,1588,865,2553,5151,49.56%,605,1808,2413
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0429,947,649,1596,3311,48.20%,318,1202,1520
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0430,524,291,815,1794,45.43%,136,622,758
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0431,1218,604,1822,3860,47.20%,362,1370,1732
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0432,456,249,705,1568,44.96%,207,446,653
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0433,163,88,251,561,44.74%,52,184,236
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0434,831,293,1124,1557,72.19%,636,401,1037
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0435,1951,567,2518,3363,74.87%,1538,809,2347
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0436,2008,678,2686,3809,70.52%,1461,1045,2506
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0437,1148,425,1573,2094,75.12%,1035,454,1489
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0438,2288,475,2763,3789,72.92%,1893,704,2597
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0439,1854,749,2603,3701,70.33%,1738,709,2447
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0440,1498,749,2247,2973,75.58%,1695,427,2122
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0441,824,408,1232,1695,72.68%,842,315,1157
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0442,2441,685,3126,4315,72.44%,2505,483,2988
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0443,415,83,498,642,77.57%,361,109,470
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0444,1620,679,2299,3625,63.42%,1215,932,2147
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0445,1036,382,1418,2134,66.45%,832,513,1345
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0446,89,45,134,309,43.37%,45,84,129
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0447,2411,464,2875,3727,77.14%,1844,884,2728
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0448,1763,529,2292,3155,72.65%,1242,859,2101
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0449,73,26,99,225,44.00%,11,86,97
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0450,1104,394,1498,2890,51.83%,388,1047,1435
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0451,1719,367,2086,2771,75.28%,1638,365,2003
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0452,1871,662,2533,3789,66.85%,1655,762,2417
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0453,661,417,1078,2039,52.87%,281,729,1010
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0454,1043,288,1331,2509,53.05%,33,1257,1290
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0455,669,173,842,1713,49.15%,31,780,811
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0456,1404,553,1957,3793,51.60%,1004,851,1855
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0458,914,253,1167,2025,57.63%,88,1029,1117
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0459,2362,432,2794,3942,70.88%,2086,586,2672
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0460,1613,472,2085,3280,63.57%,493,1510,2003
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0461,2242,669,2911,4054,71.81%,1772,939,2711
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0462,1474,738,2212,3507,63.07%,739,1381,2120
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0463,1573,564,2237,3773,59.29%,837,1329,2166
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0464,967,582,1549,2343,66.11%,937,514,1451
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0465,1628,594,2222,3778,58.81%,976,1148,2124
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0466,2274,509,2783,4327,64.32%,1375,1297,2672
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0467,501,225,726,1320,55.00%,152,537,689
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0468,1379,747,2125,4040,52.62%,504,1514,2018
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0469,1857,462,2329,3257,71.51%,1767,455,2222
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0470,555,232,787,1358,57.95%,556,195,751
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0471,1057,458,1515,2473,61.26%,1114,344,1458
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0472,463,339,802,1131,70.91%,351,395,746
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0473,944,390,1334,1787,74.65%,900,360,1260
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0474,1417,624,2041,3127,65.27%,1294,657,1951
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0475,791,261,1052,1936,54.34%,399,594,993
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0476,1077,405,1482,2458,60.29%,739,671,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0477,2027,640,2667,4010,66.51%,1771,758,2529
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0478,2271,683,2954,4696,62.90%,1791,1015,2806
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0479,1978,755,2733,3851,70.97%,1959,665,2624
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0480,1445,538,1983,2978,66.59%,1323,591,1914
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0481,1756,667,2423,3609,67.14%,1701,601,2302
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0482,2259,618,2877,4405,65.31%,1888,862,2750
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0483,2305,538,2843,4495,63.25%,1414,1272,2686
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0484,2020,700,2720,3981,68.32%,1673,941,2614
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0485,2118,567,2685,4051,66.28%,1853,721,2574
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0486,2310,721,3031,4195,72.25%,2256,633,2889
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0487,1405,527,1932,4142,46.64%,463,1304,1767
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0488,842,511,1353,2382,56.80%,353,933,1286
