Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0427,437,155,592,1120,52.86%,186,368,554
"Justice of the Peace, Precinct 5, Place 1",0428,1688,865,2553,5151,49.56%,628,1788,2416
"Justice of the Peace, Precinct 5, Place 1",0429,947,649,1596,3311,48.20%,326,1194,1520
"Justice of the Peace, Precinct 5, Place 1",0430,524,291,815,1794,45.43%,134,626,760
"Justice of the Peace, Precinct 5, Place 1",0431,1218,604,1822,3860,47.20%,368,1370,1738
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0432,456,249,705,1568,44.96%,194,462,656
"Justice of the Peace, Precinct 5, Place 1",0433,163,88,251,561,44.74%,53,185,238
"Justice of the Peace, Precinct 5, Place 1",0435,1951,567,2518,3363,74.87%,1464,904,2368
"Justice of the Peace, Precinct 5, Place 1",0436,2008,678,2686,3809,70.52%,1399,1113,2512
"Justice of the Peace, Precinct 5, Place 1",0437,1148,425,1573,2094,75.12%,970,552,1522
"Justice of the Peace, Precinct 5, Place 1",0438,2288,475,2763,3789,72.92%,1724,908,2632
"Justice of the Peace, Precinct 5, Place 1",0439,1854,749,2603,3701,70.33%,1642,820,2462
"Justice of the Peace, Precinct 5, Place 1",0440,1498,749,2247,2973,75.58%,1643,489,2132
"Justice of the Peace, Precinct 5, Place 1",0441,824,408,1232,1695,72.68%,816,348,1164
"Justice of the Peace, Precinct 5, Place 1",0443,415,83,498,642,77.57%,346,123,469
"Justice of the Peace, Precinct 5, Place 1",0444,1620,679,2299,3625,63.42%,1195,963,2158
"Justice of the Peace, Precinct 5, Place 1",0445,1036,382,1418,2134,66.45%,822,532,1354
"Justice of the Peace, Precinct 5, Place 1",0453,661,417,1078,2039,52.87%,275,745,1020
"Justice of the Peace, Precinct 5, Place 1",0461,2242,669,2911,4054,71.81%,1656,1093,2749
"Justice of the Peace, Precinct 5, Place 1",0463,1573,564,2237,3773,59.29%,832,1338,2170
"Justice of the Peace, Precinct 5, Place 1",0483,2305,538,2843,4495,63.25%,1354,1371,2725
"Justice of the Peace, Precinct 5, Place 1",0487,1405,527,1932,4142,46.64%,467,1310,1777
"Justice of the Peace, Precinct 5, Place 1",0488,842,511,1353,2382,56.80%,362,923,1285
"Justice of the Peace, Precinct 5, Place 1",0490,980,346,1326,2105,62.99%,381,871,1252
"Justice of the Peace, Precinct 5, Place 1",0491,937,488,1425,2110,67.54%,728,615,1343
"Justice of the Peace, Precinct 5, Place 1",0492,1217,396,1613,2552,63.21%,766,782,1548
"Justice of the Peace, Precinct 5, Place 1",0499,1433,397,1830,2336,78.34%,1236,515,1751
"Justice of the Peace, Precinct 5, Place 1",0504,1270,482,1752,2318,75.58%,1014,659,1673
"Justice of the Peace, Precinct 5, Place 1",0507,599,319,918,2562,35.83%,198,623,821
"Justice of the Peace, Precinct 5, Place 1",0508,1519,828,2347,4767,49.23%,639,1529,2168
"Justice of the Peace, Precinct 5, Place 1",0509,2504,669,3173,5153,61.58%,1904,1156,3060
"Justice of the Peace, Precinct 5, Place 1",0510,1701,666,2367,3822,61.93%,940,1345,2285
"Justice of the Peace, Precinct 5, Place 1",0511,2933,574,3507,4620,75.91%,2066,1328,3394
"Justice of the Peace, Precinct 5, Place 1",0512,1668,871,2539,4559,55.69%,923,1512,2435
"Justice of the Peace, Precinct 5, Place 1",0517,1610,509,2119,3744,56.60%,861,1163,2024
"Justice of the Peace, Precinct 5, Place 1",0521,1350,578,1928,3070,62.80%,866,997,1863
"Justice of the Peace, Precinct 5, Place 1",0522,1508,464,1972,2815,70.05%,1393,524,1917
"Justice of the Peace, Precinct 5, Place 1",0523,1978,537,2515,4027,62.45%,1469,918,2387
"Justice of the Peace, Precinct 5, Place 1",0524,1392,637,2029,3598,56.39%,531,1417,1948
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0547,1413,270,1683,2534,66.42%,1079,538,1617
"Justice of the Peace, Precinct 5, Place 1",0553,962,317,1279,2193,58.32%,465,771,1236
"Justice of the Peace, Precinct 5, Place 1",0556,759,435,1194,2491,47.93%,230,913,1143
"Justice of the Peace, Precinct 5, Place 1",0557,925,460,1385,2955,46.87%,373,899,1272
"Justice of the Peace, Precinct 5, Place 1",0558,1812,721,2533,4718,53.69%,727,1715,2442
"Justice of the Peace, Precinct 5, Place 1",0559,1901,701,2602,4984,52.21%,555,1936,2491
"Justice of the Peace, Precinct 5, Place 1",0565,336,148,484,1414,34.23%,78,382,460
"Justice of the Peace, Precinct 5, Place 1",0566,1183,441,1624,3029,53.62%,396,1166,1562
"Justice of the Peace, Precinct 5, Place 1",0567,965,390,1355,2851,47.53%,329,933,1262
"Justice of the Peace, Precinct 5, Place 1",0569,2027,747,2774,4125,67.25%,1233,1364,2597
"Justice of the Peace, Precinct 5, Place 1",0572,1522,444,1966,3308,59.43%,816,1058,1874
"Justice of the Peace, Precinct 5, Place 1",0589,1539,545,2084,3780,55.13%,943,1062,2005
"Justice of the Peace, Precinct 5, Place 1",0598,2389,731,3120,5253,59.39%,1010,1979,2989
"Justice of the Peace, Precinct 5, Place 1",0600,1502,775,2378,4204,56.57%,760,1506,2266
"Justice of the Peace, Precinct 5, Place 1",0603,2335,725,3060,4666,65.58%,1678,1272,2950
"Justice of the Peace, Precinct 5, Place 1",0616,1809,611,2420,3516,68.83%,1543,757,2300
"Justice of the Peace, Precinct 5, Place 1",0617,1704,650,2354,4179,56.33%,738,1525,2263
"Justice of the Peace, Precinct 5, Place 1",0618,1698,545,2243,3801,59.01%,864,1304,2168
"Justice of the Peace, Precinct 5, Place 1",0619,2792,663,3455,4916,70.28%,2430,938,3368
"Justice of the Peace, Precinct 5, Place 1",0620,1747,333,2080,3318,62.69%,1010,965,1975
"Justice of the Peace, Precinct 5, Place 1",0621,535,200,736,1272,57.86%,292,408,700
"Justice of the Peace, Precinct 5, Place 1",0622,2129,591,2720,4562,59.62%,1388,1211,2599
"Justice of the Peace, Precinct 5, Place 1",0624,297,59,356,456,78.07%,266,78,344
"Justice of the Peace, Precinct 5, Place 1",0625,924,372,1296,1864,69.53%,649,591,1240
"Justice of the Peace, Precinct 5, Place 1",0626,2280,784,3064,4816,63.62%,1469,1453,2922
"Justice of the Peace, Precinct 5, Place 1",0627,935,549,1584,3235,48.96%,406,1099,1505
"Justice of the Peace, Precinct 5, Place 1",0639,1385,284,1670,2560,65.23%,1240,360,1600
"Justice of the Peace, Precinct 5, Place 1",0642,1030,270,1300,1783,72.91%,973,288,1261
"Justice of the Peace, Precinct 5, Place 1",0643,1948,593,2541,4189,60.66%,1142,1303,2445
"Justice of the Peace, Precinct 5, Place 1",0644,2087,689,2776,4446,62.44%,1535,1139,2674
"Justice of the Peace, Precinct 5, Place 1",0645,2145,769,2914,4517,64.51%,1087,1691,2778
"Justice of the Peace, Precinct 5, Place 1",0646,925,399,1324,2422,54.67%,322,933,1255
"Justice of the Peace, Precinct 5, Place 1",0647,1372,526,1898,4349,43.64%,395,1381,1776
"Justice of the Peace, Precinct 5, Place 1",0649,1549,775,2324,4755,48.87%,551,1662,2213
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0850,2033,819,2852,4039,70.81%,1838,902,2738
"Justice of the Peace, Precinct 5, Place 1",0851,1734,551,2285,3873,59.00%,1188,1028,2192
"Justice of the Peace, Precinct 5, Place 1",0887,1109,400,1509,2175,89.38%,1081,384,1445
"Justice of the Peace, Precinct 5, Place 1",0878,1087,485,1552,2978,52.15%,587,914,1481
"Justice of the Peace, Precinct 5, Place 1",0885,139,28,187,285,58.80%,72,78,150
"Justice of the Peace, Precinct 5, Place 1",0888,53,5,58,221,28.24%,14,42,58
"Justice of the Peace, Precinct 5, Place 1",0889,728,804,1330,2449,54.31%,539,708,1245
