Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Harris County M.U.D. 61, PROPOSITION |",0603,0,1,1,0,0.00%,1,0,1
"Harris County M.U.D. 61, PROPOSITION |",061,8,1,0,1,1,1,00.00%,0,0,0
"Harris County M.U.D. 61, PROPOSITION |",0720,625,243,868,1239,70.06%,363,319,682
