Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0065,639,435,1074,2178,49.31%,157,838,21,20,1036
"Justice, Supreme Court, Place 5",0066,247,255,502,1135,44.23%,80,374,8,10,472
"Justice, Supreme Court, Place 5",0067,944,521,1465,3019,48.53%,246,1096,24,21,1387
"Justice, Supreme Court, Place 5",0068,1172,430,1602,3096,51.74%,45,1487,14,11,1557
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0069,375,222,597,1309,45.61%,85,461,7,9,562
"Justice, Supreme Court, Place 5",0070,2297,670,2967,3815,77.77%,1587,1165,78,26,2856
"Justice, Supreme Court, Place 5",0071,2719,947,3666,5016,73.09%,1611,1692,206,32,3541
"Justice, Supreme Court, Place 5",0072,737,418,1155,2029,56.92%,261,808,18,22,1109
"Justice, Supreme Court, Place 5",0073,813,282,1095,1621,67.55%,528,461,34,27,1050
"Justice, Supreme Court, Place 5",0074,2503,268,2771,3578,77.45%,2013,597,61,12,2683
"Justice, Supreme Court, Place 5",0075,1002,286,1288,1684,76.48%,520,621,65,31,1237
"Justice, Supreme Court, Place 5",0076,1015,427,1442,2441,59.07%,652,688,26,19,1385
"Justice, Supreme Court, Place 5",0077,2,5,7,17,41.18%,1,6,0,0,7
"Justice, Supreme Court, Place 5",0078,619,254,873,1608,54.29%,190,597,25,17,829
"Justice, Supreme Court, Place 5",0079,831,602,1433,2963,48.36%,218,1089,19,33,1359
"Justice, Supreme Court, Place 5",0080,1175,466,1641,2840,57.78%,335,1192,16,28,1571
"Justice, Supreme Court, Place 5",0081,776,273,1049,1964,53.41%,279,684,16,18,997
"Justice, Supreme Court, Place 5",0082,1588,756,2344,3539,66.23%,1603,574,90,17,2284
"Justice, Supreme Court, Place 5",0083,1834,540,2374,4174,56.88%,841,1402,48,32,2323
"Justice, Supreme Court, Place 5",0084,573,257,830,1421,58.41%,564,219,17,8,808
"Justice, Supreme Court, Place 5",0085,603,329,932,2169,42.97%,37,826,20,19,902
