Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0273,1176,647,1823,2485,73.36%,1367,369,35,8,1779
"Justice, Supreme Court, Place 5",0274,1263,311,1574,2223,70.81%,929,505,44,30,1508
"Justice, Supreme Court, Place 5",0275,586,334,920,2059,44.68%,139,723,17,16,895
"Justice, Supreme Court, Place 5",0276,1027,255,1282,2458,52.16%,18,1216,12,15,1261
"Justice, Supreme Court, Place 5",0277,573,338,911,1898,48.00%,299,549,20,13,881
"Justice, Supreme Court, Place 5",0278,1059,469,1528,2602,58.72%,588,824,30,22,1464
"Justice, Supreme Court, Place 5",0279,790,314,1104,2073,53.26%,592,439,29,11,1071
"Justice, Supreme Court, Place 5",0280,444,362,806,1656,48.67%,217,533,18,11,779
"Justice, Supreme Court, Place 5",0281,1287,590,1877,2507,74.87%,801,890,49,15,1755
"Justice, Supreme Court, Place 5",0282,777,604,1381,2144,64.41%,719,549,50,15,1333
"Justice, Supreme Court, Place 5",0283,2353,1143,3496,6365,54.93%,437,2851,68,57,3413
"Justice, Supreme Court, Place 5",0284,1592,574,2166,4079,53.10%,667,1317,50,38,2072
"Justice, Supreme Court, Place 5",0285,1080,431,1511,2680,56.38%,122,1313,13,15,1463
"Justice, Supreme Court, Place 5",0286,1714,545,2259,3757,60.13%,179,1968,28,19,2194
"Justice, Supreme Court, Place 5",0287,853,408,1261,1658,76.06%,556,594,38,27,1215
"Justice, Supreme Court, Place 5",0288,883,314,1197,2208,54.21%,28,1126,7,9,1170
"Justice, Supreme Court, Place 5",0289,481,352,833,1584,52.59%,276,489,21,8,794
"Justice, Supreme Court, Place 5",0290,705,332,1037,1623,63.89%,736,245,31,6,1018
"Justice, Supreme Court, Place 5",0291,604,233,837,1218,68.72%,341,434,23,6,804
"Justice, Supreme Court, Place 5",0292,549,178,727,1379,52.72%,72,622,5,5,704
"Justice, Supreme Court, Place 5",0293,778,475,1253,1811,69.19%,482,648,40,17,1187
"Justice, Supreme Court, Place 5",0294,852,198,1050,2054,51.12%,16,997,13,10,1036
"Justice, Supreme Court, Place 5",0295,270,111,381,894,42.62%,8,358,2,3,371
"Justice, Supreme Court, Place 5",0296,701,385,1086,1705,63.70%,521,464,28,12,1025
"Justice, Supreme Court, Place 5",0297,730,341,1071,2055,52.12%,352,630,26,22,1030
"Justice, Supreme Court, Place 5",0298,1096,387,1483,2236,66.32%,681,680,51,25,1437
"Justice, Supreme Court, Place 5",0299,499,236,735,1506,48.80%,209,458,16,22,705
"Justice, Supreme Court, Place 5",0300,3386,728,4114,5480,75.07%,2959,918,112,26,4015
"Justice, Supreme Court, Place 5",0301,737,392,1129,2337,48.31%,368,681,28,9,1086
"Justice, Supreme Court, Place 5",0302,1199,591,1790,3277,54.62%,859,812,43,26,1740
"Justice, Supreme Court, Place 5",0303,1902,692,2594,3375,76.86%,1900,553,47,11,2511
"Justice, Supreme Court, Place 5",0304,1190,474,1664,2326,71.54%,810,694,59,19,1582
"Justice, Supreme Court, Place 5",0305,2156,645,2801,4838,57.90%,822,1775,64,37,2698
"Justice, Supreme Court, Place 5",0306,1096,299,1395,1896,73.58%,907,384,41,14,1346
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0307,1458,801,2259,3270,69.08%,1381,662,89,33,2165
"Justice, Supreme Court, Place 5",0308,527,225,752,1457,51.61%,158,537,12,11,718
"Justice, Supreme Court, Place 5",0309,2161,591,2752,3495,78.74%,2015,594,47,14,2670
"Justice, Supreme Court, Place 5",0310,710,326,1036,1464,70.77%,602,354,30,9,995
"Justice, Supreme Court, Place 5",0311,932,643,1575,3222,48.88%,678,752,32,20,1482
"Justice, Supreme Court, Place 5",0312,1713,552,2265,3724,60.82%,1092,972,82,34,2180
"Justice, Supreme Court, Place 5",0313,23,8,31,61,50.82%,15,10,0,1,26
"Justice, Supreme Court, Place 5",0314,3000,817,3817,5606,68.09%,2051,1512,107,42,3712
"Justice, Supreme Court, Place 5",0315,803,353,1158,1636,70.66%,606,461,25,13,1105
"Justice, Supreme Court, Place 5",0316,741,340,1081,1513,71.45%,526,458,39,11,1034
"Justice, Supreme Court, Place 5",0317,594,252,846,1661,50.93%,199,573,21,13,806
"Justice, Supreme Court, Place 5",0318,1729,529,2258,3776,59.80%,132,2020,28,25,2205
"Justice, Supreme Court, Place 5",0319,996,271,1267,2199,57.62%,68,1132,15,16,1231
"Justice, Supreme Court, Place 5",0320,556,238,794,1570,50.57%,268,462,22,8,760
"Justice, Supreme Court, Place 5",0321,887,363,1230,2483,49.54%,305,818,24,18,1165
"Justice, Supreme Court, Place 5",0322,426,124,550,1210,45.45%,149,370,12,10,541
"Justice, Supreme Court, Place 5",0323,700,296,996,1793,55.55%,350,550,41,15,956
"Justice, Supreme Court, Place 5",0324,1445,560,2005,2607,76.91%,1148,699,69,18,1934
"Justice, Supreme Court, Place 5",0325,802,257,1059,2176,48.67%,176,790,17,21,1004
"Justice, Supreme Court, Place 5",0326,271,129,400,736,54.35%,136,236,2,5,379
"Justice, Supreme Court, Place 5",0327,740,141,881,1758,50.11%,26,803,8,14,851
"Justice, Supreme Court, Place 5",0328,425,286,711,1631,43.59%,194,475,13,8,690
"Justice, Supreme Court, Place 5",0329,592,260,852,1621,52.56%,219,576,13,11,819
"Justice, Supreme Court, Place 5",0330,864,326,1190,2146,55.45%,494,598,38,13,1143
"Justice, Supreme Court, Place 5",0331,888,234,1122,1612,69.60%,668,366,39,12,1085
"Justice, Supreme Court, Place 5",0332,1359,503,1862,2926,63.64%,182,1583,17,24,1806
"Justice, Supreme Court, Place 5",0333,1387,942,2329,3296,70.66%,1544,583,91,34,2252
"Justice, Supreme Court, Place 5",0334,247,104,351,786,44.66%,55,272,6,6,339
"Justice, Supreme Court, Place 5",0335,489,293,782,1679,46.58%,185,516,15,16,732
"Justice, Supreme Court, Place 5",0336,2496,689,3185,4771,66.76%,304,2718,54,38,3114
"Justice, Supreme Court, Place 5",0337,371,155,526,1108,47.47%,69,414,7,4,494
"Justice, Supreme Court, Place 5",0338,1627,632,2259,5001,45.17%,561,1534,39,23,2157
"Justice, Supreme Court, Place 5",0339,705,303,1008,1909,52.80%,162,759,25,16,962
"Justice, Supreme Court, Place 5",0340,2042,654,2696,4012,67.20%,1814,688,76,32,2610
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0341,380,278,658,1372,47.96%,139,480,7,7,633
"Justice, Supreme Court, Place 5",0342,312,225,537,1092,49.18%,108,398,7,5,518
"Justice, Supreme Court, Place 5",0343,723,370,1093,2099,52.07%,192,820,11,19,1042
"Justice, Supreme Court, Place 5",0344,381,207,588,1225,48.00%,23,530,9,6,568
"Justice, Supreme Court, Place 5",0345,580,349,929,1945,47.76%,164,670,38,13,885
"Justice, Supreme Court, Place 5",0346,1,0,1,1,100.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0347,1462,618,2080,3614,57.55%,1134,799,50,33,2016
"Justice, Supreme Court, Place 5",0348,832,242,1074,1796,59.80%,690,317,28,5,1040
"Justice, Supreme Court, Place 5",0349,459,369,828,1372,60.35%,457,299,34,16,806
"Justice, Supreme Court, Place 5",0350,1590,582,2272,3269,69.50%,744,1294,81,38,2157
"Justice, Supreme Court, Place 5",0351,2857,570,3427,4799,71.41%,2484,741,87,25,3337
"Justice, Supreme Court, Place 5",0352,2025,538,2563,4278,59.91%,1698,709,59,30,2496
"Justice, Supreme Court, Place 5",0353,1715,659,2374,4156,57.12%,367,1883,29,23,2302
"Justice, Supreme Court, Place 5",0354,1572,429,2001,3520,56.85%,448,1415,37,38,1938
"Justice, Supreme Court, Place 5",0355,821,239,1050,1714,61.84%,101,902,17,10,1030
"Justice, Supreme Court, Place 5",0356,1544,582,2126,3126,68.01%,1081,871,77,26,2055
"Justice, Supreme Court, Place 5",0357,1886,557,2443,3685,66.30%,1683,594,70,24,2371
"Justice, Supreme Court, Place 5",0358,775,376,1151,2634,43.70%,118,972,17,10,1117
"Justice, Supreme Court, Place 5",0359,805,496,1301,3320,39.19%,132,1098,20,17,1267
"Justice, Supreme Court, Place 5",0360,1867,597,2464,3309,74.46%,1058,1186,75,31,2350
"Justice, Supreme Court, Place 5",0361,332,688,1020,1808,56.42%,128,778,38,11,955
"Justice, Supreme Court, Place 5",0362,2865,553,3418,5161,66.23%,2284,929,94,28,3335
"Justice, Supreme Court, Place 5",0363,1826,635,2461,4160,59.16%,934,1407,44,28,2413
"Justice, Supreme Court, Place 5",0364,1190,528,1718,2827,60.77%,729,837,53,29,1648
"Justice, Supreme Court, Place 5",0365,828,174,1002,1348,74.33%,103,853,13,11,980
"Justice, Supreme Court, Place 5",0366,989,524,1513,2887,52.41%,292,1112,29,25,1458
"Justice, Supreme Court, Place 5",0367,455,204,659,1256,52.47%,136,468,21,11,636
"Justice, Supreme Court, Place 5",0368,433,122,555,1024,54.20%,138,394,6,4,542
"Justice, Supreme Court, Place 5",0369,136,29,165,678,24.34%,47,87,17,6,157
"Justice, Supreme Court, Place 5",0370,2525,627,3152,4531,69.57%,2164,780,90,40,3074
"Justice, Supreme Court, Place 5",0371,210,78,288,537,53.63%,16,261,2,5,284
"Justice, Supreme Court, Place 5",0372,510,180,690,1274,54.16%,75,582,4,9,670
"Justice, Supreme Court, Place 5",0373,61,13,74,163,45.40%,1,68,2,0,71
"Justice, Supreme Court, Place 5",0374,175,165,341,720,47.36%,75,253,4,1,333
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0375,747,510,1257,2836,44.32%,402,760,24,14,1200
"Justice, Supreme Court, Place 5",0376,755,344,1099,2060,53.35%,391,629,21,8,1049
"Justice, Supreme Court, Place 5",0377,1382,643,2025,3137,64.55%,1456,401,79,29,1965
"Justice, Supreme Court, Place 5",0378,622,447,1069,1856,57.60%,621,365,41,13,1040
"Justice, Supreme Court, Place 5",0379,857,388,1245,2149,57.93%,105,1070,19,21,1215
"Justice, Supreme Court, Place 5",0380,2736,551,3287,4380,75.05%,1618,1464,95,37,3214
"Justice, Supreme Court, Place 5",0381,1185,432,1518,3141,51.51%,591,919,31,16,1557
"Justice, Supreme Court, Place 5",0382,429,206,635,1035,61.35%,379,215,16,9,619
"Justice, Supreme Court, Place 5",0383,723,458,1181,2373,49.77%,334,750,32,24,1140
"Justice, Supreme Court, Place 5",0384,1153,444,1597,2725,58.61%,339,1171,18,12,1540
"Justice, Supreme Court, Place 5",0385,1142,561,1703,2207,77.16%,1228,369,32,12,1641
"Justice, Supreme Court, Place 5",0386,1658,419,2077,3105,66.89%,1420,545,44,19,2028
"Justice, Supreme Court, Place 5",0387,1706,780,2486,4340,57.28%,1616,708,56,29,2409
"Justice, Supreme Court, Place 5",0388,2899,711,3510,5413,66.69%,1634,1767,81,33,3515
"Justice, Supreme Court, Place 5",0389,408,293,701,1359,51.58%,82,546,27,20,675
"Justice, Supreme Court, Place 5",0390,708,271,979,1482,66.06%,114,803,20,18,955
"Justice, Supreme Court, Place 5",0391,992,336,1328,1978,67.14%,733,497,41,16,1287
"Justice, Supreme Court, Place 5",0392,653,145,798,1426,55.96%,16,741,11,8,776
"Justice, Supreme Court, Place 5",0393,427,257,684,1274,53.69%,291,322,33,13,659
"Justice, Supreme Court, Place 5",0394,236,126,362,914,39.61%,118,216,10,5,349
"Justice, Supreme Court, Place 5",0395,1007,371,1378,1875,73.49%,869,394,57,16,1336
"Justice, Supreme Court, Place 5",0396,1036,204,1240,2072,59.85%,39,1147,10,13,1209
"Justice, Supreme Court, Place 5",0397,204,117,321,796,40.33%,105,192,7,3,307
"Justice, Supreme Court, Place 5",0398,1762,654,2416,4200,57.52%,1025,1212,65,41,2343
"Justice, Supreme Court, Place 5",0399,1294,546,1840,3340,55.09%,652,1076,42,23,1793
"Justice, Supreme Court, Place 5",0400,1467,372,1839,2661,69.11%,1109,603,61,19,1792
"Justice, Supreme Court, Place 5",0401,703,257,960,1971,48.71%,47,869,5,8,929
"Justice, Supreme Court, Place 5",0402,898,262,1160,1911,60.70%,77,1031,12,7,1127
"Justice, Supreme Court, Place 5",0403,959,387,1346,1719,78.30%,652,573,38,15,1278
"Justice, Supreme Court, Place 5",0404,1034,445,1479,2717,54.44%,661,731,30,17,1439
"Justice, Supreme Court, Place 5",0405,1914,457,2371,3067,77.31%,1716,556,46,10,2328
"Justice, Supreme Court, Place 5",0406,275,65,340,649,52.39%,7,315,3,5,330
"Justice, Supreme Court, Place 5",0407,1704,860,2564,3969,64.60%,1440,925,78,32,2475
"Justice, Supreme Court, Place 5",0408,521,313,834,1740,47.93%,246,522,22,5,795
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0409,501,280,781,1608,48.57%,214,497,24,12,747
"Justice, Supreme Court, Place 5",0410,382,96,478,934,51.18%,83,366,11,5,465
"Justice, Supreme Court, Place 5",0411,699,418,1117,2426,46.04%,253,785,26,13,1077
"Justice, Supreme Court, Place 5",0412,156,80,236,478,49.37%,12,212,4,3,231
"Justice, Supreme Court, Place 5",0413,1549,456,2005,3081,65.08%,698,1178,34,27,1937
"Justice, Supreme Court, Place 5",0414,1577,514,2091,3586,58.31%,1476,495,54,15,2040
"Justice, Supreme Court, Place 5",0415,1076,573,1649,2284,72.20%,1049,468,62,19,1598
"Justice, Supreme Court, Place 5",0416,1444,845,2289,4009,57.10%,1046,1036,87,37,2206
"Justice, Supreme Court, Place 5",0417,1105,397,1502,2589,58.01%,596,792,46,22,1456
"Justice, Supreme Court, Place 5",0418,1337,663,2000,3940,50.76%,609,1229,48,36,1922
"Justice, Supreme Court, Place 5",0419,1166,477,1643,2702,60.81%,894,642,41,17,1594
"Justice, Supreme Court, Place 5",0420,2690,731,3421,4946,69.17%,2675,556,81,25,3337
"Justice, Supreme Court, Place 5",0421,1242,273,1515,2023,74.89%,659,759,38,21,1477
"Justice, Supreme Court, Place 5",0422,1367,401,1768,3348,52.81%,67,1618,19,20,1724
"Justice, Supreme Court, Place 5",0423,316,288,604,1423,42.45%,122,447,7,8,584
"Justice, Supreme Court, Place 5",0424,548,158,706,1079,65.43%,349,304,22,12,687
"Justice, Supreme Court, Place 5",0425,257,139,396,878,45.10%,106,261,11,4,382
"Justice, Supreme Court, Place 5",0426,487,228,715,1266,56.48%,333,316,21,10,680
"Justice, Supreme Court, Place 5",0427,439,155,594,1120,53.04%,179,366,7,2,554
"Justice, Supreme Court, Place 5",0428,1689,865,2554,5151,49.58%,622,1741,34,24,2421
"Justice, Supreme Court, Place 5",0429,948,649,1597,3311,48.23%,310,1142,36,19,1507
"Justice, Supreme Court, Place 5",0430,527,291,818,1794,45.60%,126,609,16,23,774
"Justice, Supreme Court, Place 5",0431,1222,604,1826,3860,47.31%,348,1330,37,33,1748
"Justice, Supreme Court, Place 5",0432,458,249,707,1568,45.09%,198,432,30,9,669
"Justice, Supreme Court, Place 5",0433,163,88,251,561,44.74%,46,180,8,8,242
"Justice, Supreme Court, Place 5",0434,834,293,1127,1557,72.38%,586,444,31,15,1076
"Justice, Supreme Court, Place 5",0435,1952,567,2519,3363,74.90%,1456,863,80,24,2423
"Justice, Supreme Court, Place 5",0436,2013,678,2691,3809,70.65%,1384,1067,90,40,2581
"Justice, Supreme Court, Place 5",0437,1148,425,1573,2094,75.12%,981,487,43,13,1524
"Justice, Supreme Court, Place 5",0438,2292,475,2767,3789,73.03%,1788,781,80,20,2669
"Justice, Supreme Court, Place 5",0439,1856,749,2605,3701,70.39%,1634,764,82,18,2498
"Justice, Supreme Court, Place 5",0440,1499,749,2248,2973,75.61%,1650,468,44,12,2174
"Justice, Supreme Court, Place 5",0441,824,408,1232,1695,72.68%,815,329,38,8,1190
"Justice, Supreme Court, Place 5",0442,2442,685,3127,4315,72.47%,2420,507,96,20,3043
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0443,415,83,498,642,77.57%,338,123,14,4,479
"Justice, Supreme Court, Place 5",0444,1623,679,2302,3625,63.50%,1177,924,74,34,2209
"Justice, Supreme Court, Place 5",0445,1036,382,1418,2134,66.45%,799,522,38,9,1368
"Justice, Supreme Court, Place 5",0446,89,45,134,309,43.37%,45,79,3,3,130
"Justice, Supreme Court, Place 5",0447,2416,464,2880,3727,77.27%,1793,905,84,21,2803
"Justice, Supreme Court, Place 5",0448,1766,529,2295,3155,72.74%,1169,900,93,30,2192
"Justice, Supreme Court, Place 5",0449,73,26,99,225,44.00%,11,86,0,1,98
"Justice, Supreme Court, Place 5",0450,1106,394,1500,2890,51.90%,347,1063,32,25,1467
"Justice, Supreme Court, Place 5",0451,1720,367,2087,2771,75.32%,1604,381,32,11,2028
"Justice, Supreme Court, Place 5",0452,1875,662,2537,3789,66.96%,1610,727,84,30,2451
"Justice, Supreme Court, Place 5",0453,663,417,1080,2039,52.97%,270,715,19,25,1029
"Justice, Supreme Court, Place 5",0454,1043,288,1331,2509,53.05%,30,1240,7,13,1290
"Justice, Supreme Court, Place 5",0455,669,173,842,1713,49.15%,31,771,6,13,821
"Justice, Supreme Court, Place 5",0456,1407,553,1960,3793,51.67%,980,833,58,25,1896
"Justice, Supreme Court, Place 5",0457,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0458,918,253,1171,2025,57.83%,74,1036,10,16,1136
"Justice, Supreme Court, Place 5",0459,2362,432,2794,3942,70.88%,2026,604,89,14,2733
"Justice, Supreme Court, Place 5",0460,1615,472,2087,3280,63.63%,464,1494,48,26,2032
"Justice, Supreme Court, Place 5",0461,2244,669,2913,4054,71.85%,1667,1006,72,24,2769
"Justice, Supreme Court, Place 5",0462,1478,738,2216,3507,63.19%,691,1378,44,35,2148
"Justice, Supreme Court, Place 5",0463,1575,564,2239,3773,59.34%,797,1303,50,35,2185
"Justice, Supreme Court, Place 5",0464,967,582,1549,2343,66.11%,918,515,54,16,1503
"Justice, Supreme Court, Place 5",0465,1629,594,2223,3778,58.84%,943,1125,53,36,2157
"Justice, Supreme Court, Place 5",0466,2278,509,2787,4327,64.41%,1357,1273,57,33,2720
"Justice, Supreme Court, Place 5",0467,502,225,727,1320,55.08%,149,531,16,4,700
"Justice, Supreme Court, Place 5",0468,1380,747,2127,4040,52.65%,470,1513,40,27,2050
"Justice, Supreme Court, Place 5",0469,1858,462,2330,3257,71.54%,1725,471,57,20,2273
"Justice, Supreme Court, Place 5",0470,555,232,787,1358,57.95%,546,175,26,7,754
"Justice, Supreme Court, Place 5",0471,1057,458,1515,2473,61.26%,1091,321,42,20,1474
"Justice, Supreme Court, Place 5",0472,463,339,802,1131,70.91%,317,416,25,13,771
"Justice, Supreme Court, Place 5",0473,944,390,1334,1787,74.65%,854,381,40,14,1289
"Justice, Supreme Court, Place 5",0474,1421,624,2045,3127,65.40%,1261,635,72,16,1984
"Justice, Supreme Court, Place 5",0475,791,261,1052,1936,54.34%,382,594,21,14,1011
"Justice, Supreme Court, Place 5",0476,1078,405,1483,2458,60.33%,721,670,31,18,1440
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0477,2032,640,2672,4010,66.63%,1750,737,85,17,2589
"Justice, Supreme Court, Place 5",0478,2273,683,2956,4696,62.95%,1743,989,91,42,2865
"Justice, Supreme Court, Place 5",0479,1978,755,2733,3851,70.97%,1886,671,79,31,2667
"Justice, Supreme Court, Place 5",0480,1448,538,1986,2978,66.69%,1296,574,53,15,1938
"Justice, Supreme Court, Place 5",0481,1759,667,2426,3609,67.22%,1663,578,74,34,2349
"Justice, Supreme Court, Place 5",0482,2260,618,2878,4405,65.33%,1837,840,107,27,2811
"Justice, Supreme Court, Place 5",0483,2312,538,2850,4495,63.40%,1377,1231,98,44,2750
"Justice, Supreme Court, Place 5",0484,2021,700,2721,3981,68.35%,1642,909,72,31,2654
"Justice, Supreme Court, Place 5",0485,2121,567,2688,4051,66.35%,1804,694,95,24,2617
"Justice, Supreme Court, Place 5",0486,2310,721,3031,4195,72.25%,2179,647,92,26,2944
"Justice, Supreme Court, Place 5",0487,1407,527,1934,4142,46.69%,463,1278,19,24,1784
"Justice, Supreme Court, Place 5",0488,843,511,1354,2382,56.84%,355,896,23,17,1291
"Justice, Supreme Court, Place 5",0489,865,344,1209,1958,61.75%,304,817,24,19,1164
"Justice, Supreme Court, Place 5",0490,982,346,1328,2105,63.09%,382,844,36,14,1276
"Justice, Supreme Court, Place 5",0491,947,488,1435,2110,68.01%,707,612,44,17,1380
"Justice, Supreme Court, Place 5",0492,1222,396,1618,2552,63.40%,768,744,41,12,1565
"Justice, Supreme Court, Place 5",0493,1404,555,1959,3338,58.69%,677,1127,50,23,1877
"Justice, Supreme Court, Place 5",0494,1079,419,1498,2787,53.75%,173,1240,18,25,1456
"Justice, Supreme Court, Place 5",0495,1414,376,1790,2488,71.95%,1155,501,50,17,1723
"Justice, Supreme Court, Place 5",0496,687,549,1236,2325,53.16%,393,767,18,17,1195
"Justice, Supreme Court, Place 5",0497,915,281,1197,2148,55.73%,55,1086,14,6,1161
"Justice, Supreme Court, Place 5",0498,1072,423,1495,2527,59.16%,482,879,54,30,1445
"Justice, Supreme Court, Place 5",0499,1434,397,1831,2336,78.38%,1238,492,37,15,1782
"Justice, Supreme Court, Place 5",0500,1870,651,2521,3698,68.17%,1484,862,77,31,2454
"Justice, Supreme Court, Place 5",0501,1149,406,1555,2016,77.13%,572,821,78,14,1485
"Justice, Supreme Court, Place 5",0502,1355,293,1559,2595,63.93%,1243,316,33,9,1601
"Justice, Supreme Court, Place 5",0503,1398,306,1704,2236,76.21%,1212,392,36,15,1655
"Justice, Supreme Court, Place 5",0504,1271,482,1753,2318,75.63%,1029,588,70,12,1699
"Justice, Supreme Court, Place 5",0505,1755,735,2490,4076,61.09%,1010,1256,78,49,2393
"Justice, Supreme Court, Place 5",0506,1513,696,2209,3544,62.33%,315,1767,40,18,2140
"Justice, Supreme Court, Place 5",0507,599,319,918,2562,35.83%,202,602,13,5,822
"Justice, Supreme Court, Place 5",0508,1520,828,2348,4767,49.26%,627,1490,50,29,2196
"Justice, Supreme Court, Place 5",0509,2507,669,3175,5153,61.63%,1879,1062,107,33,3081
"Justice, Supreme Court, Place 5",0510,1707,666,2373,3822,62.09%,912,1282,83,36,2313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0511,2935,574,3509,4620,75.95%,2021,1295,92,31,3439
"Justice, Supreme Court, Place 5",0512,1669,871,2540,4559,55.71%,905,1448,71,27,2451
"Justice, Supreme Court, Place 5",0513,1758,413,2171,3003,72.29%,1495,555,48,14,2112
"Justice, Supreme Court, Place 5",0514,2289,613,2902,4378,66.29%,1908,796,96,24,2824
"Justice, Supreme Court, Place 5",0515,1838,468,2306,3182,72.47%,1764,421,51,17,2253
"Justice, Supreme Court, Place 5",0516,1317,363,1680,2799,60.02%,776,791,48,28,1643
"Justice, Supreme Court, Place 5",0517,1612,509,2121,3744,56.65%,857,1095,66,34,2052
"Justice, Supreme Court, Place 5",0518,1887,676,2563,4049,63.30%,1400,988,74,20,2482
"Justice, Supreme Court, Place 5",0519,1423,518,1941,3098,62.65%,1259,548,64,32,1903
"Justice, Supreme Court, Place 5",0520,1798,670,2468,5202,47.44%,368,1978,37,36,2419
"Justice, Supreme Court, Place 5",0521,1352,578,1930,3070,62.87%,844,955,60,25,1884
"Justice, Supreme Court, Place 5",0522,1508,464,1972,2815,70.05%,1356,479,76,22,1933
"Justice, Supreme Court, Place 5",0523,1978,537,2515,4027,62.45%,1444,875,77,42,2438
"Justice, Supreme Court, Place 5",0524,1396,637,2033,3598,56.50%,516,1384,34,26,1960
"Justice, Supreme Court, Place 5",0525,1442,574,2016,3260,61.84%,406,1468,33,25,1932
"Justice, Supreme Court, Place 5",0526,236,157,393,820,47.93%,80,282,13,6,381
"Justice, Supreme Court, Place 5",0527,156,38,194,580,33.45%,67,109,6,1,183
"Justice, Supreme Court, Place 5",0528,17,8,25,78,32.05%,1,20,1,2,24
"Justice, Supreme Court, Place 5",0529,2108,434,2542,3842,66.16%,2024,346,80,30,2480
"Justice, Supreme Court, Place 5",0530,376,212,588,1236,47.57%,99,439,10,11,559
"Justice, Supreme Court, Place 5",0531,1235,166,1401,2250,62.27%,1008,303,19,7,1337
"Justice, Supreme Court, Place 5",0532,478,140,618,1058,58.41%,399,188,15,6,608
"Justice, Supreme Court, Place 5",0533,353,169,522,1164,44.85%,245,231,14,7,497
"Justice, Supreme Court, Place 5",0534,1898,577,2475,3918,63.17%,1640,664,48,30,2382
"Justice, Supreme Court, Place 5",0535,132,62,194,413,46.97%,60,120,3,4,187
"Justice, Supreme Court, Place 5",0536,2107,1053,3180,5637,56.06%,938,1978,70,37,3023
"Justice, Supreme Court, Place 5",0537,1959,464,2423,3174,76.34%,1662,648,38,9,2357
"Justice, Supreme Court, Place 5",0538,372,203,575,1332,43.17%,17,534,5,6,562
"Justice, Supreme Court, Place 5",0539,811,234,1045,1535,68.08%,539,431,20,13,1003
"Justice, Supreme Court, Place 5",0540,1008,349,1357,1759,77.15%,447,782,40,19,1288
"Justice, Supreme Court, Place 5",0541,2172,761,2933,5001,58.65%,428,2293,65,45,2831
"Justice, Supreme Court, Place 5",0542,1156,406,1562,2654,58.85%,94,1389,16,13,1512
"Justice, Supreme Court, Place 5",0543,554,321,875,1658,52.77%,187,624,16,16,843
"Justice, Supreme Court, Place 5",0544,84,54,138,313,44.09%,15,117,3,1,136
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0545,2020,468,2488,3949,63.00%,1030,1276,66,21,2393
"Justice, Supreme Court, Place 5",0546,1524,278,1802,2471,72.93%,1462,269,30,8,1769
"Justice, Supreme Court, Place 5",0547,1414,270,1684,2534,66.46%,1037,498,70,20,1625
"Justice, Supreme Court, Place 5",0548,882,395,1277,2339,54.60%,534,662,29,23,1248
"Justice, Supreme Court, Place 5",0549,1106,447,1553,2786,55.74%,176,1307,17,23,1523
"Justice, Supreme Court, Place 5",0550,1175,553,1728,3245,53.25%,688,932,44,30,1694
"Justice, Supreme Court, Place 5",0551,2588,793,3381,4428,76.36%,2442,762,68,20,3292
"Justice, Supreme Court, Place 5",0552,2093,784,2877,3762,76.48%,2232,493,69,15,2809
"Justice, Supreme Court, Place 5",0553,964,317,1281,2193,58.41%,447,755,35,15,1252
