Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0069,375,222,597,1309,45.61%,90,459,549
"Chief Justice, 1st Court of Appeals",0070,2288,670,2958,3815,77.54%,1745,1067,2812
"Chief Justice, 1st Court of Appeals",0071,2708,947,3655,5016,72.87%,1800,1671,3471
"Chief Justice, 1st Court of Appeals",0072,736,418,1154,2029,56.88%,268,811,1079
"Chief Justice, 1st Court of Appeals",0073,813,282,1095,1621,67.55%,577,457,1034
"Chief Justice, 1st Court of Appeals",0074,2503,268,2771,3578,77.45%,2079,585,2664
"Chief Justice, 1st Court of Appeals",0075,1001,286,1287,1684,76.43%,589,622,1211
"Chief Justice, 1st Court of Appeals",0076,1015,427,1442,2441,59.07%,689,679,1368
"Chief Justice, 1st Court of Appeals",0077,2,5,7,17,41.18%,1,6,7
"Chief Justice, 1st Court of Appeals",0078,618,254,872,1608,54.23%,224,576,800
"Chief Justice, 1st Court of Appeals",0079,831,602,1433,2963,48.36%,242,1087,1329
"Chief Justice, 1st Court of Appeals",0080,1175,466,1641,2840,57.78%,362,1194,1556
"Chief Justice, 1st Court of Appeals",0081,776,273,1049,1964,53.41%,286,702,988
"Chief Justice, 1st Court of Appeals",0082,1585,756,2341,3539,66.15%,1662,589,2251
"Chief Justice, 1st Court of Appeals",0083,1831,540,2371,4174,56.80%,884,1401,2285
"Chief Justice, 1st Court of Appeals",0084,573,257,830,1421,58.41%,576,230,806
"Chief Justice, 1st Court of Appeals",0085,588,329,917,2169,42.28%,44,842,886
"Chief Justice, 1st Court of Appeals",0086,2034,493,2527,3449,73.27%,1200,1183,2383
"Chief Justice, 1st Court of Appeals",0087,1451,719,2170,2839,76.44%,1419,649,2068
"Chief Justice, 1st Court of Appeals",0088,338,141,479,784,61.10%,308,148,456
"Chief Justice, 1st Court of Appeals",0089,398,424,822,1094,75.14%,502,278,780
