Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0293,778,475,1253,1811,69.19%,538,640,1178
"Chief Justice, 1st Court of Appeals",0294,852,198,1050,2054,51.12%,22,1008,1030
"Chief Justice, 1st Court of Appeals",0295,270,111,381,894,42.62%,12,360,372
"Chief Justice, 1st Court of Appeals",0296,701,385,1086,1705,63.70%,554,468,1022
"Chief Justice, 1st Court of Appeals",0297,730,341,1071,2055,52.12%,378,641,1019
"Chief Justice, 1st Court of Appeals",0298,1095,387,1482,2236,66.28%,736,686,1422
"Chief Justice, 1st Court of Appeals",0299,499,236,735,1506,48.80%,226,459,685
"Chief Justice, 1st Court of Appeals",0300,3385,728,4113,5480,75.05%,3068,900,3968
"Chief Justice, 1st Court of Appeals",0301,737,392,1129,2337,48.31%,377,690,1067
"Chief Justice, 1st Court of Appeals",0302,1199,591,1790,3277,54.62%,876,845,1721
"Chief Justice, 1st Court of Appeals",0303,1896,692,2588,3375,76.68%,1988,503,2491
"Chief Justice, 1st Court of Appeals",0304,1190,474,1664,2326,71.54%,969,607,1576
"Chief Justice, 1st Court of Appeals",0305,2154,645,2799,4838,57.85%,888,1785,2673
"Chief Justice, 1st Court of Appeals",0306,1096,299,1395,1896,73.58%,982,347,1329
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0307,1456,801,2257,3270,69.02%,1474,663,2137
"Chief Justice, 1st Court of Appeals",0308,526,225,751,1457,51.54%,186,518,704
"Chief Justice, 1st Court of Appeals",0309,2160,591,2751,3495,78.71%,2141,515,2656
"Chief Justice, 1st Court of Appeals",0310,709,326,1035,1464,70.70%,631,348,979
"Chief Justice, 1st Court of Appeals",0311,932,643,1575,3222,48.88%,725,742,1467
"Chief Justice, 1st Court of Appeals",0312,1709,552,2261,3724,60.71%,1178,973,2151
"Chief Justice, 1st Court of Appeals",0313,23,8,31,61,50.82%,17,6,23
"Chief Justice, 1st Court of Appeals",0314,2998,817,3815,5606,68.05%,2153,1530,3683
"Chief Justice, 1st Court of Appeals",0315,802,353,1155,1636,70.60%,680,425,1105
"Chief Justice, 1st Court of Appeals",0316,741,340,1081,1513,71.45%,601,418,1019
"Chief Justice, 1st Court of Appeals",0317,593,252,845,1661,50.87%,230,573,803
"Chief Justice, 1st Court of Appeals",0318,1728,529,2257,3776,59.77%,140,2049,2189
"Chief Justice, 1st Court of Appeals",0319,995,271,1266,2199,57.57%,71,1157,1228
"Chief Justice, 1st Court of Appeals",0320,554,238,792,1570,50.45%,278,470,748
"Chief Justice, 1st Court of Appeals",0321,867,363,1230,2483,49.54%,343,797,1140
"Chief Justice, 1st Court of Appeals",0322,426,124,550,1210,45.45%,166,368,534
"Chief Justice, 1st Court of Appeals",0323,700,296,996,1793,55.55%,373,581,954
"Chief Justice, 1st Court of Appeals",0324,1445,560,2005,2607,76.91%,1258,644,1902
"Chief Justice, 1st Court of Appeals",0325,802,257,1059,2176,48.67%,190,810,1000
"Chief Justice, 1st Court of Appeals",0326,271,129,400,736,54.35%,147,223,370
"Chief Justice, 1st Court of Appeals",0327,739,141,880,1758,50.06%,24,825,849
"Chief Justice, 1st Court of Appeals",0328,425,286,711,1631,43.59%,204,463,667
"Chief Justice, 1st Court of Appeals",0329,590,260,850,1621,52.44%,252,553,805
"Chief Justice, 1st Court of Appeals",0330,864,326,1190,2146,55.45%,529,601,1130
"Chief Justice, 1st Court of Appeals",0331,885,234,1119,1612,69.42%,688,380,1068
"Chief Justice, 1st Court of Appeals",0332,1358,503,1861,2926,63.60%,190,1594,1784
"Chief Justice, 1st Court of Appeals",0333,1387,942,2329,3296,70.66%,1622,598,2220
"Chief Justice, 1st Court of Appeals",0334,246,104,350,786,44.53%,55,281,336
"Chief Justice, 1st Court of Appeals",0335,489,293,782,1679,46.58%,193,534,727
"Chief Justice, 1st Court of Appeals",0336,2490,689,3179,4771,66.63%,331,2758,3089
"Chief Justice, 1st Court of Appeals",0337,369,155,524,1108,47.29%,75,417,492
"Chief Justice, 1st Court of Appeals",0338,1627,632,2259,5001,45.17%,577,1565,2142
"Chief Justice, 1st Court of Appeals",0339,704,303,1007,1909,52.75%,198,746,944
"Chief Justice, 1st Court of Appeals",0340,2041,654,2695,4012,67.17%,1882,702,2584
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0341,380,278,658,1372,47.96%,147,471,618
"Chief Justice, 1st Court of Appeals",0342,311,225,536,1092,49.08%,116,392,508
"Chief Justice, 1st Court of Appeals",0343,722,370,1092,2099,52.02%,210,810,1020
"Chief Justice, 1st Court of Appeals",0344,381,207,588,1225,48.00%,26,531,557
"Chief Justice, 1st Court of Appeals",0345,576,349,925,1945,47.56%,192,679,871
"Chief Justice, 1st Court of Appeals",0346,1,0,1,1,100.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0347,1462,618,2080,3614,57.55%,1177,825,2002
"Chief Justice, 1st Court of Appeals",0348,831,242,1073,1796,59.74%,710,319,1029
"Chief Justice, 1st Court of Appeals",0349,459,369,828,1372,60.35%,489,316,805
"Chief Justice, 1st Court of Appeals",0350,1678,582,2260,3269,69.13%,840,1261,2101
"Chief Justice, 1st Court of Appeals",0351,2856,570,3426,4799,71.39%,2560,746,3306
"Chief Justice, 1st Court of Appeals",0352,2024,538,2562,4278,59.89%,1755,716,2471
"Chief Justice, 1st Court of Appeals",0353,1715,659,2374,4156,57.12%,399,1882,2281
"Chief Justice, 1st Court of Appeals",0354,1569,429,1998,3520,56.76%,448,1461,1909
"Chief Justice, 1st Court of Appeals",0355,821,239,1060,1714,61.84%,113,915,1028
"Chief Justice, 1st Court of Appeals",0356,1543,582,2125,3126,67.98%,1188,843,2031
"Chief Justice, 1st Court of Appeals",0357,1886,557,2443,3685,66.30%,1730,614,2344
"Chief Justice, 1st Court of Appeals",0358,775,376,1151,2634,43.70%,128,980,1108
"Chief Justice, 1st Court of Appeals",0359,804,496,1300,3320,39.16%,137,1121,1258
"Chief Justice, 1st Court of Appeals",0360,1859,597,2456,3309,74.22%,1187,1120,2307
"Chief Justice, 1st Court of Appeals",0361,323,688,1011,1808,55.92%,154,768,922
"Chief Justice, 1st Court of Appeals",0362,2865,553,3418,5161,66.23%,2381,919,3300
"Chief Justice, 1st Court of Appeals",0363,1826,635,2461,4160,59.16%,967,1422,2389
"Chief Justice, 1st Court of Appeals",0364,1190,528,1718,2827,60.77%,777,844,1621
"Chief Justice, 1st Court of Appeals",0365,827,174,1001,1348,74.26%,129,843,972
"Chief Justice, 1st Court of Appeals",0366,988,524,1512,2887,52.37%,329,1122,1451
"Chief Justice, 1st Court of Appeals",0367,453,204,657,1256,52.31%,154,465,619
"Chief Justice, 1st Court of Appeals",0368,433,122,555,1024,54.20%,143,391,534
"Chief Justice, 1st Court of Appeals",0369,135,29,164,678,24.19%,62,85,147
"Chief Justice, 1st Court of Appeals",0370,2525,627,3152,4531,69.57%,2229,801,3030
"Chief Justice, 1st Court of Appeals",0371,210,78,288,537,53.63%,11,271,282
"Chief Justice, 1st Court of Appeals",0372,510,180,690,1274,54.16%,80,590,670
"Chief Justice, 1st Court of Appeals",0373,61,13,74,163,45.40%,2,70,72
"Chief Justice, 1st Court of Appeals",0374,176,165,341,720,47.36%,82,243,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0375,745,510,1255,2836,44.25%,420,764,1184
"Chief Justice, 1st Court of Appeals",0376,753,344,1097,2060,53.25%,387,650,1037
"Chief Justice, 1st Court of Appeals",0377,1381,643,2024,3137,64.52%,1505,427,1932
"Chief Justice, 1st Court of Appeals",0378,621,447,1068,1856,57.54%,632,391,1023
"Chief Justice, 1st Court of Appeals",0379,857,388,1245,2149,57.93%,109,1096,1205
"Chief Justice, 1st Court of Appeals",0380,2734,551,3285,4380,75.00%,1686,1483,3169
"Chief Justice, 1st Court of Appeals",0381,1185,432,1517,3141,51.48%,603,940,1543
"Chief Justice, 1st Court of Appeals",0382,429,206,635,1035,61.35%,381,228,609
"Chief Justice, 1st Court of Appeals",0383,722,458,1180,2373,49.73%,350,767,1117
"Chief Justice, 1st Court of Appeals",0384,1153,444,1597,2725,58.61%,364,1172,1536
"Chief Justice, 1st Court of Appeals",0385,1141,561,1702,2207,77.12%,1310,317,1627
"Chief Justice, 1st Court of Appeals",0386,1658,419,2077,3105,66.89%,1452,567,2019
"Chief Justice, 1st Court of Appeals",0387,1704,780,2484,4340,57.24%,1625,753,2378
"Chief Justice, 1st Court of Appeals",0388,2899,711,3510,5413,66.69%,1674,1807,3481
"Chief Justice, 1st Court of Appeals",0389,397,293,690,1359,50.77%,105,550,655
"Chief Justice, 1st Court of Appeals",0390,701,271,972,1482,65.59%,138,803,941
"Chief Justice, 1st Court of Appeals",0391,990,336,1326,1978,67.04%,785,490,1275
"Chief Justice, 1st Court of Appeals",0392,653,145,798,1426,55.96%,17,760,777
"Chief Justice, 1st Court of Appeals",0393,427,257,684,1274,53.69%,311,336,647
"Chief Justice, 1st Court of Appeals",0394,236,126,362,914,39.61%,124,223,347
"Chief Justice, 1st Court of Appeals",0395,1007,371,1378,1875,73.49%,929,396,1325
"Chief Justice, 1st Court of Appeals",0396,1035,204,1239,2072,59.80%,35,1164,1199
"Chief Justice, 1st Court of Appeals",0397,204,117,321,796,40.33%,109,193,302
"Chief Justice, 1st Court of Appeals",0398,1761,654,2415,4200,57.50%,1074,1229,2303
"Chief Justice, 1st Court of Appeals",0399,1293,546,1839,3340,55.06%,698,1079,1777
"Chief Justice, 1st Court of Appeals",0400,1457,372,1839,2661,69.11%,1182,599,1781
"Chief Justice, 1st Court of Appeals",0401,703,257,960,1971,48.71%,45,865,910
"Chief Justice, 1st Court of Appeals",0402,898,262,1160,1911,60.70%,69,1056,1125
"Chief Justice, 1st Court of Appeals",0403,959,387,1346,1719,78.30%,758,508,1266
"Chief Justice, 1st Court of Appeals",0404,1034,445,1479,2717,54.44%,682,740,1422
"Chief Justice, 1st Court of Appeals",0405,1910,457,2367,3067,77.18%,1765,544,2309
"Chief Justice, 1st Court of Appeals",0406,275,65,340,649,52.39%,9,317,326
"Chief Justice, 1st Court of Appeals",0407,1703,860,2563,3969,64.58%,1521,909,2430
"Chief Justice, 1st Court of Appeals",0408,521,313,834,1740,47.93%,240,544,784
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0409,501,280,781,1608,48.57%,234,499,733
"Chief Justice, 1st Court of Appeals",0410,381,96,477,934,51.07%,88,372,460
"Chief Justice, 1st Court of Appeals",0411,699,418,1117,2426,46.04%,274,778,1052
"Chief Justice, 1st Court of Appeals",0412,156,80,236,478,49.37%,14,213,227
"Chief Justice, 1st Court of Appeals",0413,1547,456,2003,3081,65.01%,722,1191,1913
"Chief Justice, 1st Court of Appeals",0414,1576,514,2090,3586,58.28%,1495,512,2007
"Chief Justice, 1st Court of Appeals",0415,1076,573,1649,2284,72.20%,1113,470,1583
"Chief Justice, 1st Court of Appeals",0416,1444,845,2289,4009,57.10%,1103,1079,2182
"Chief Justice, 1st Court of Appeals",0417,1104,397,1501,2589,57.98%,622,814,1436
"Chief Justice, 1st Court of Appeals",0418,1336,663,1999,3940,50.74%,643,1240,1883
"Chief Justice, 1st Court of Appeals",0419,1166,477,1643,2702,60.81%,917,654,1571
"Chief Justice, 1st Court of Appeals",0420,2688,731,3419,4946,69.13%,2737,566,3303
"Chief Justice, 1st Court of Appeals",0421,1241,273,1514,2023,74.84%,708,754,1462
"Chief Justice, 1st Court of Appeals",0422,1357,401,1768,3348,52.81%,70,1644,1714
"Chief Justice, 1st Court of Appeals",0423,316,288,604,1423,42.45%,121,455,576
"Chief Justice, 1st Court of Appeals",0424,548,158,706,1079,65.43%,380,298,678
"Chief Justice, 1st Court of Appeals",0425,257,139,396,878,45.10%,111,266,377
"Chief Justice, 1st Court of Appeals",0426,486,228,714,1266,56.40%,364,319,683
"Chief Justice, 1st Court of Appeals",0427,437,155,592,1120,52.86%,192,360,552
"Chief Justice, 1st Court of Appeals",0428,1588,865,2553,5151,49.56%,626,1785,2411
"Chief Justice, 1st Court of Appeals",0429,948,649,1597,3311,48.23%,328,1190,1518
"Chief Justice, 1st Court of Appeals",0430,525,291,816,1794,45.48%,135,628,763
"Chief Justice, 1st Court of Appeals",0431,1219,604,1823,3860,47.23%,379,1356,1735
"Chief Justice, 1st Court of Appeals",0432,457,249,706,1568,45.03%,205,455,660
"Chief Justice, 1st Court of Appeals",0433,163,88,251,561,44.74%,55,182,237
"Chief Justice, 1st Court of Appeals",0434,832,293,1125,1557,72.25%,650,406,1056
"Chief Justice, 1st Court of Appeals",0435,1952,567,2519,3363,74.90%,1578,809,2387
"Chief Justice, 1st Court of Appeals",0436,2011,678,2689,3809,70.60%,1517,1035,2552
"Chief Justice, 1st Court of Appeals",0437,1148,425,1573,2094,75.12%,1042,470,1512
"Chief Justice, 1st Court of Appeals",0438,2289,475,2764,3789,72.95%,1927,711,2638
"Chief Justice, 1st Court of Appeals",0439,1854,749,2603,3701,70.33%,1746,736,2482
"Chief Justice, 1st Court of Appeals",0440,1498,749,2247,2973,75.58%,1729,430,2159
"Chief Justice, 1st Court of Appeals",0441,824,408,1232,1695,72.68%,870,310,1180
"Chief Justice, 1st Court of Appeals",0442,2441,685,3126,4315,72.44%,2518,482,3000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0443,415,83,498,642,77.57%,370,110,480
"Chief Justice, 1st Court of Appeals",0444,1621,679,2300,3625,63.45%,1222,946,2168
"Chief Justice, 1st Court of Appeals",0445,1036,382,1418,2134,66.45%,850,512,1362
"Chief Justice, 1st Court of Appeals",0446,89,45,134,309,43.37%,47,82,129
"Chief Justice, 1st Court of Appeals",0447,2413,464,2877,3727,77.19%,1852,911,2763
"Chief Justice, 1st Court of Appeals",0448,1763,529,2292,3155,72.65%,1293,855,2148
"Chief Justice, 1st Court of Appeals",0449,73,26,99,225,44.00%,10,88,98
"Chief Justice, 1st Court of Appeals",0450,1105,394,1499,2890,51.87%,397,1046,1443
"Chief Justice, 1st Court of Appeals",0451,1719,367,2086,2771,75.28%,1666,355,2021
"Chief Justice, 1st Court of Appeals",0452,1874,662,2536,3789,66.93%,1681,759,2440
"Chief Justice, 1st Court of Appeals",0453,661,417,1078,2039,52.87%,295,726,1021
"Chief Justice, 1st Court of Appeals",0454,1043,288,1331,2509,53.05%,25,1261,1286
"Chief Justice, 1st Court of Appeals",0455,669,173,842,1713,49.15%,32,777,809
"Chief Justice, 1st Court of Appeals",0456,1405,553,1958,3793,51.62%,1019,843,1862
"Chief Justice, 1st Court of Appeals",0457,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0458,917,253,1170,2025,57.78%,85,1040,1125
"Chief Justice, 1st Court of Appeals",0459,2362,432,2794,3942,70.88%,2105,586,2691
"Chief Justice, 1st Court of Appeals",0460,1613,472,2085,3280,63.57%,503,1510,2013
"Chief Justice, 1st Court of Appeals",0461,2243,669,2912,4054,71.83%,1821,935,2756
"Chief Justice, 1st Court of Appeals",0462,1476,738,2214,3507,63.13%,752,1379,2131
"Chief Justice, 1st Court of Appeals",0463,1573,564,2237,3773,59.29%,848,1325,2173
"Chief Justice, 1st Court of Appeals",0464,967,582,1549,2343,66.11%,948,530,1478
"Chief Justice, 1st Court of Appeals",0465,1628,594,2222,3778,58.81%,1008,1127,2135
"Chief Justice, 1st Court of Appeals",0466,2274,509,2783,4327,64.32%,1396,1296,2692
"Chief Justice, 1st Court of Appeals",0467,502,225,727,1320,55.08%,150,541,691
"Chief Justice, 1st Court of Appeals",0468,1380,747,2127,4040,52.65%,521,1507,2028
"Chief Justice, 1st Court of Appeals",0469,1858,462,2330,3257,71.54%,1765,475,2240
"Chief Justice, 1st Court of Appeals",0470,555,232,787,1358,57.95%,557,194,751
"Chief Justice, 1st Court of Appeals",0471,1057,458,1515,2473,61.26%,1117,346,1463
"Chief Justice, 1st Court of Appeals",0472,463,339,802,1131,70.91%,362,393,755
"Chief Justice, 1st Court of Appeals",0473,944,390,1334,1787,74.65%,905,366,1271
"Chief Justice, 1st Court of Appeals",0474,1420,624,2044,3127,65.37%,1306,662,1968
"Chief Justice, 1st Court of Appeals",0475,791,251,1052,1936,54.34%,407,586,993
"Chief Justice, 1st Court of Appeals",0476,1078,405,1483,2458,60.33%,754,666,1420
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0477,2028,640,2668,4010,66.53%,1793,766,2559
"Chief Justice, 1st Court of Appeals",0478,2272,683,2955,4696,62.93%,1835,1006,2841
"Chief Justice, 1st Court of Appeals",0479,1978,755,2733,3851,70.97%,1985,655,2640
"Chief Justice, 1st Court of Appeals",0480,1448,538,1984,2978,66.62%,1331,590,1921
"Chief Justice, 1st Court of Appeals",0481,1757,667,2424,3609,67.17%,1723,585,2308
"Chief Justice, 1st Court of Appeals",0482,2259,618,2877,4405,65.31%,1906,869,2775
"Chief Justice, 1st Court of Appeals",0483,2310,538,2848,4495,63.36%,1446,1257,2703
"Chief Justice, 1st Court of Appeals",0484,2020,700,2720,3981,68.32%,1701,926,2627
"Chief Justice, 1st Court of Appeals",0485,2121,567,2688,4051,66.35%,1886,713,2599
"Chief Justice, 1st Court of Appeals",0486,2310,721,3031,4195,72.25%,2283,639,2922
"Chief Justice, 1st Court of Appeals",0487,1406,527,1933,4142,46.67%,462,1312,1774
"Chief Justice, 1st Court of Appeals",0488,842,511,1353,2382,56.80%,374,915,1289
"Chief Justice, 1st Court of Appeals",0489,865,344,1209,1958,61.75%,332,826,1158
"Chief Justice, 1st Court of Appeals",0490,981,346,1327,2105,63.04%,420,850,1270
"Chief Justice, 1st Court of Appeals",0491,942,488,1430,2110,67.77%,758,593,1351
"Chief Justice, 1st Court of Appeals",0492,1220,396,1616,2552,63.32%,843,719,1562
"Chief Justice, 1st Court of Appeals",0493,1404,555,1959,3338,58.69%,706,1137,1843
"Chief Justice, 1st Court of Appeals",0494,1079,419,1498,2787,53.75%,191,1253,1444
"Chief Justice, 1st Court of Appeals",0495,1414,376,1790,2488,71.95%,1191,520,1711
"Chief Justice, 1st Court of Appeals",0496,687,549,1238,2325,53.16%,421,760,1181
"Chief Justice, 1st Court of Appeals",0497,918,281,1197,2148,55.73%,53,1109,1162
"Chief Justice, 1st Court of Appeals",0498,1069,423,1492,2527,59.04%,514,915,1429
"Chief Justice, 1st Court of Appeals",0499,1433,397,1830,2336,78.34%,1317,446,1763
"Chief Justice, 1st Court of Appeals",0500,1870,651,2521,3698,68.17%,1554,869,2423
"Chief Justice, 1st Court of Appeals",0501,1147,406,1553,2016,77.03%,673,797,1470
"Chief Justice, 1st Court of Appeals",0502,1365,293,1859,2595,63.93%,1252,339,1591
"Chief Justice, 1st Court of Appeals",0503,1397,306,1703,2236,76.16%,1255,380,1635
"Chief Justice, 1st Court of Appeals",0504,1270,482,1752,2318,75.58%,1150,531,1681
"Chief Justice, 1st Court of Appeals",0505,1751,735,2486,4076,60.99%,1103,1249,2352
"Chief Justice, 1st Court of Appeals",0506,1513,696,2209,3544,62.33%,337,1793,2130
"Chief Justice, 1st Court of Appeals",0507,599,319,918,2562,35.83%,208,611,819
"Chief Justice, 1st Court of Appeals",0508,1519,828,2347,4767,49.23%,655,1518,2173
"Chief Justice, 1st Court of Appeals",0509,2504,889,3173,5153,61.58%,1970,1089,3059
"Chief Justice, 1st Court of Appeals",0510,1703,666,2369,3822,61.98%,1006,1283,2289
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0511,2935,574,3509,4620,75.95%,2099,1297,3396
"Chief Justice, 1st Court of Appeals",0512,1668,871,2539,4559,55.69%,968,1464,2432
"Chief Justice, 1st Court of Appeals",0513,1756,413,2169,3003,72.23%,1554,542,2096
"Chief Justice, 1st Court of Appeals",0514,2288,613,2899,4378,66.22%,1974,816,2790
"Chief Justice, 1st Court of Appeals",0515,1836,468,2304,3182,72.41%,1819,419,2238
"Chief Justice, 1st Court of Appeals",0516,1316,363,1679,2799,59.99%,824,796,1620
"Chief Justice, 1st Court of Appeals",0517,1612,509,2121,3744,56.65%,896,1135,2031
"Chief Justice, 1st Court of Appeals",0518,1886,676,2562,4049,63.27%,1456,1008,2464
"Chief Justice, 1st Court of Appeals",0519,1421,518,1939,3098,62.59%,1298,560,1858
"Chief Justice, 1st Court of Appeals",0520,1790,670,2460,5202,47.29%,386,2009,2395
"Chief Justice, 1st Court of Appeals",0521,1350,578,1928,3070,62.80%,895,967,1862
"Chief Justice, 1st Court of Appeals",0522,1508,464,1972,2815,70.05%,1449,472,1921
"Chief Justice, 1st Court of Appeals",0523,1978,537,2515,4027,62.45%,1525,870,2395
"Chief Justice, 1st Court of Appeals",0524,1395,637,2032,3598,56.48%,540,1412,1952
"Chief Justice, 1st Court of Appeals",0525,1442,574,2016,3260,61.84%,434,1494,1928
"Chief Justice, 1st Court of Appeals",0526,235,157,392,820,47.80%,79,286,365
"Chief Justice, 1st Court of Appeals",0527,156,38,194,580,33.45%,73,110,183
"Chief Justice, 1st Court of Appeals",0528,17,8,25,78,32.05%,1,23,24
"Chief Justice, 1st Court of Appeals",0529,2107,434,2541,3842,66.14%,2062,379,2441
"Chief Justice, 1st Court of Appeals",0530,376,212,588,1236,47.57%,114,424,538
"Chief Justice, 1st Court of Appeals",0531,1235,166,1401,2250,62.27%,1003,318,1321
"Chief Justice, 1st Court of Appeals",0532,478,140,618,1058,58.41,%,404,199,603
"Chief Justice, 1st Court of Appeals",0533,353,169,522,1164,44.85%,248,242,490
"Chief Justice, 1st Court of Appeals",0534,1896,577,2473,3918,63.12%,1691,672,2363
"Chief Justice, 1st Court of Appeals",0535,132,62,194,413,46.97%,59,122,181
"Chief Justice, 1st Court of Appeals",0536,2104,1053,3157,5637,56.00%,1010,1975,2985
"Chief Justice, 1st Court of Appeals",0537,1959,464,2423,3174,76.34%,1703,639,2342
"Chief Justice, 1st Court of Appeals",0538,371,203,574,1332,43.09%,20,541,561
"Chief Justice, 1st Court of Appeals",0539,811,234,1045,1535,68.08%,560,433,993
"Chief Justice, 1st Court of Appeals",0540,1001,349,1350,1759,76.75%,516,750,1266
"Chief Justice, 1st Court of Appeals",0541,2160,761,2921,5001,58.41%,477,2313,2790
"Chief Justice, 1st Court of Appeals",0542,1156,406,1562,2654,58.85%,106,1399,1505
"Chief Justice, 1st Court of Appeals",0543,553,321,874,1658,52.71%,221,609,830
"Chief Justice, 1st Court of Appeals",0544,84,54,138,313,44.09%,13,121,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0545,2019,468,2487,3949,62.98%,1077,1288,2365
"Chief Justice, 1st Court of Appeals",0546,1524,278,1802,2471,72.93%,1516,243,1759
"Chief Justice, 1st Court of Appeals",0547,1414,270,1684,2534,66.46%,1086,525,1611
"Chief Justice, 1st Court of Appeals",0548,882,395,1277,2339,54.60%,550,686,1236
"Chief Justice, 1st Court of Appeals",0549,1106,447,1553,2786,55.74%,201,1310,1511
"Chief Justice, 1st Court of Appeals",0550,1171,553,1724,3245,53.13%,731,939,1670
"Chief Justice, 1st Court of Appeals",0551,2586,793,3379,4428,76.31%,2521,734,3255
"Chief Justice, 1st Court of Appeals",0552,2090,784,2874,3762,76.40%,2282,499,2781
"Chief Justice, 1st Court of Appeals",0553,962,317,1279,2193,58.32%,476,759,1235
"Chief Justice, 1st Court of Appeals",0554,597,271,868,1774,48.93%,170,666,836
"Chief Justice, 1st Court of Appeals",0555,642,390,1032,2286,45.14%,174,817,991
"Chief Justice, 1st Court of Appeals",0556,760,435,1195,2491,47.97%,237,902,1139
"Chief Justice, 1st Court of Appeals",0557,925,460,1385,2955,46.87%,385,894,1279
"Chief Justice, 1st Court of Appeals",0558,1815,721,2536,4718,53.75%,755,1690,2445
"Chief Justice, 1st Court of Appeals",0559,1909,701,2610,4984,52.37%,580,1923,2503
"Chief Justice, 1st Court of Appeals",0560,290,247,537,1141,47.06%,90,410,500
"Chief Justice, 1st Court of Appeals",0561,1024,624,1648,3138,52.52%,938,633,1571
"Chief Justice, 1st Court of Appeals",0562,222,116,338,691,48.91%,41,267,308
"Chief Justice, 1st Court of Appeals",0563,2072,337,2409,3468,69.46%,1822,496,2318
"Chief Justice, 1st Court of Appeals",0564,1552,526,2078,3240,64.14%,568,1410,1978
"Chief Justice, 1st Court of Appeals",0565,336,148,484,1414,34.23%,79,386,465
"Chief Justice, 1st Court of Appeals",0566,1185,441,1626,3029,53.68%,405,1153,1558
"Chief Justice, 1st Court of Appeals",0567,966,390,1356,2851,47.56%,342,924,1266
"Chief Justice, 1st Court of Appeals",0568,1836,697,2533,3638,69.63%,1592,793,2385
"Chief Justice, 1st Court of Appeals",0569,2031,747,2778,4125,67.35%,1329,1288,2617
"Chief Justice, 1st Court of Appeals",0570,769,278,1047,1598,65.52%,374,605,979
"Chief Justice, 1st Court of Appeals",0571,521,314,835,1950,42.82%,240,551,791
"Chief Justice, 1st Court of Appeals",0572,1523,444,1967,3308,59.46%,852,1029,1881
"Chief Justice, 1st Court of Appeals",0573,489,215,704,1625,43.32%,17,672,689
"Chief Justice, 1st Court of Appeals",0574,112,74,186,391,47.57%,24,152,176
"Chief Justice, 1st Court of Appeals",0575,1905,535,2440,3557,68.60%,1320,1019,2339
"Chief Justice, 1st Court of Appeals",0576,1108,375,1483,2830,52.40%,92,1345,1437
"Chief Justice, 1st Court of Appeals",0577,885,205,1090,1586,68.73%,644,397,1041
"Chief Justice, 1st Court of Appeals",0578,1026,405,1431,1862,76.85%,887,459,1346
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0579,287,181,468,1139,41.09%,77,361,438
"Chief Justice, 1st Court of Appeals",0580,366,108,474,985,48.12%,19,448,467
"Chief Justice, 1st Court of Appeals",0581,456,137,593,1033,57.41%,17,556,573
"Chief Justice, 1st Court of Appeals",0582,543,232,775,1607,48.23%,53,693,746
"Chief Justice, 1st Court of Appeals",0583,433,155,588,1286,45.72%,18,553,571
"Chief Justice, 1st Court of Appeals",0584,367,120,487,1062,45.86%,33,434,467
"Chief Justice, 1st Court of Appeals",0585,829,280,1109,2346,47.27%,61,1011,1072
"Chief Justice, 1st Court of Appeals",0586,1792,790,2582,4521,57.11%,1432,1043,2475
"Chief Justice, 1st Court of Appeals",0587,1204,431,1635,2870,56.97%,523,1055,1578
"Chief Justice, 1st Court of Appeals",0588,1940,606,2546,3780,67.35%,1658,801,2459
"Chief Justice, 1st Court of Appeals",0589,1540,545,2085,3780,55.16%,983,1029,2012
