Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0319,994,271,1265,2199,57.53%,84,1141,1225
"District Judge, 11th Judicial District",0320,554,238,792,1570,50.45%,287,462,749
"District Judge, 11th Judicial District",0321,867,363,1230,2483,49.54%,331,808,1139
"District Judge, 11th Judicial District",0322,426,124,550,1210,45.45%,153,381,534
"District Judge, 11th Judicial District",0323,700,296,996,1793,55.55%,368,581,949
"District Judge, 11th Judicial District",0324,1444,560,2004,2607,76.87%,1191,691,1882
"District Judge, 11th Judicial District",0325,802,257,1059,2176,48.67%,193,805,998
"District Judge, 11th Judicial District",0326,271,129,400,736,54.35%,141,228,369
"District Judge, 11th Judicial District",0327,738,141,879,1758,50.00%,34,817,851
"District Judge, 11th Judicial District",0328,425,286,711,1631,43.59%,201,469,670
"District Judge, 11th Judicial District",0329,589,260,849,1621,52.38%,240,563,803
"District Judge, 11th Judicial District",0330,863,326,1189,2146,55.41%,512,609,1121
"District Judge, 11th Judicial District",0331,884,234,1118,1612,69.35%,677,378,1055
"District Judge, 11th Judicial District",0332,1355,503,1858,2926,63.50%,187,1595,1782
"District Judge, 11th Judicial District",0333,1385,942,2327,3296,70.60%,1616,591,2207
"District Judge, 11th Judicial District",0334,246,104,350,786,44.53%,58,276,334
"District Judge, 11th Judicial District",0335,489,293,782,1679,46.58%,189,534,723
"District Judge, 11th Judicial District",0336,2489,689,3178,4771,66.61%,344,2743,3087
"District Judge, 11th Judicial District",0337,367,155,522,1108,47.11%,71,415,486
"District Judge, 11th Judicial District",0338,1626,632,2258,5001,45.15%,579,1570,2149
"District Judge, 11th Judicial District",0339,704,303,1007,1909,52.75%,193,749,942
"District Judge, 11th Judicial District",0340,2040,654,2694,4012,67.15%,1868,694,2562
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0341,380,278,658,1372,47.96%,155,464,619
"District Judge, 11th Judicial District",0342,311,225,536,1092,49.08%,111,394,505
"District Judge, 11th Judicial District",0343,722,370,1092,2099,52.02%,205,811,1016
"District Judge, 11th Judicial District",0344,381,207,588,1225,48.00%,25,533,558
"District Judge, 11th Judicial District",0345,575,349,924,1945,47.51%,183,681,864
"District Judge, 11th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 11th Judicial District",0347,1461,618,2079,3614,57.53%,1175,818,1993
"District Judge, 11th Judicial District",0348,830,242,1072,1796,59.69%,704,320,1024
"District Judge, 11th Judicial District",0349,458,369,827,1372,60.28%,482,316,798
"District Judge, 11th Judicial District",0350,1674,582,2256,3269,69.01%,802,1282,2084
"District Judge, 11th Judicial District",0351,2855,570,3425,4799,71.37%,2537,759,3296
"District Judge, 11th Judicial District",0352,2023,538,2561,4278,59.86%,1728,734,2462
"District Judge, 11th Judicial District",0353,1715,659,2374,4156,57.12%,395,1889,2284
"District Judge, 11th Judicial District",0354,1569,429,1998,3520,56.76%,449,1448,1897
"District Judge, 11th Judicial District",0355,821,239,1060,1714,61.84%,116,910,1026
"District Judge, 11th Judicial District",0356,1542,582,2124,3126,67.95%,1148,868,2016
"District Judge, 11th Judicial District",0357,1882,557,2439,3685,66.19%,1725,612,2337
"District Judge, 11th Judicial District",0358,775,376,1151,2634,43.70%,133,976,1109
"District Judge, 11th Judicial District",0359,803,496,1299,3320,39.13%,135,1123,1258
"District Judge, 11th Judicial District",0360,1858,597,2455,3309,74.19%,1117,1176,2293
"District Judge, 11th Judicial District",0361,323,688,1011,1808,55.92%,142,767,909
"District Judge, 11th Judicial District",0362,2865,553,3418,5161,66.23%,2328,956,3284
"District Judge, 11th Judicial District",0363,1826,635,2461,4160,59.16%,966,1419,2385
"District Judge, 11th Judicial District",0364,1190,528,1718,2827,60.77%,757,861,1618
"District Judge, 11th Judicial District",0365,827,174,1001,1348,74.26%,114,859,973
"District Judge, 11th Judicial District",0366,988,524,1512,2887,52.37%,307,1142,1449
"District Judge, 11th Judicial District",0367,453,204,657,1256,52.31%,159,464,623
"District Judge, 11th Judicial District",0368,433,122,555,1024,54.20%,143,392,535
"District Judge, 11th Judicial District",0369,132,29,161,678,23.75%,59,88,147
"District Judge, 11th Judicial District",0370,2525,627,3152,4531,69.57%,2215,810,3025
"District Judge, 11th Judicial District",0371,210,78,288,537,53.63%,16,267,283
"District Judge, 11th Judicial District",0372,509,180,689,1274,54.08%,72,594,666
"District Judge, 11th Judicial District",0373,61,13,74,163,45.40%,2,69,71
"District Judge, 11th Judicial District",0374,176,165,341,720,47.36%,74,252,326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0375,745,510,1255,2836,44.25%,411,772,1183
"District Judge, 11th Judicial District",0376,753,344,1097,2060,53.25%,393,641,1034
"District Judge, 11th Judicial District",0377,1381,643,2024,3137,64.52%,1487,439,1926
"District Judge, 11th Judicial District",0378,621,447,1068,1856,57.54%,645,376,1021
"District Judge, 11th Judicial District",0379,857,388,1245,2149,57.93%,112,1100,1212
"District Judge, 11th Judicial District",0380,2732,551,3283,4380,74.95%,1672,1488,3160
"District Judge, 11th Judicial District",0381,1185,432,1617,3141,51.48%,607,927,1534
"District Judge, 11th Judicial District",0382,429,206,635,1035,61.35%,379,226,605
"District Judge, 11th Judicial District",0383,722,458,1180,2373,49.73%,357,766,1123
"District Judge, 11th Judicial District",0384,1152,444,1596,2725,58.57%,337,1181,1518
"District Judge, 11th Judicial District",0385,1141,561,1702,2207,77.12%,1260,354,1614
"District Judge, 11th Judicial District",0386,1658,419,2077,3105,66.89%,1451,559,2010
"District Judge, 11th Judicial District",0387,1702,780,2482,4340,57.19%,1615,757,2372
"District Judge, 11th Judicial District",0388,2899,711,3510,5413,66.69%,1682,1788,3470
"District Judge, 11th Judicial District",0389,397,293,690,1359,50.77%,99,552,651
"District Judge, 11th Judicial District",0390,698,271,969,1482,65.38%,132,807,939
"District Judge, 11th Judicial District",0391,986,336,1322,1978,66.84%,760,507,1267
"District Judge, 11th Judicial District",0392,652,145,797,1426,55.89%,19,753,772
"District Judge, 11th Judicial District",0393,427,257,684,1274,53.69%,311,336,647
"District Judge, 11th Judicial District",0394,236,126,362,914,39.61%,116,229,345
"District Judge, 11th Judicial District",0395,1007,371,1378,1875,73.49%,899,402,1301
"District Judge, 11th Judicial District",0396,1035,204,1239,2072,59.80%,42,1160,1202
"District Judge, 11th Judicial District",0397,204,117,321,796,40.33%,111,190,301
"District Judge, 11th Judicial District",0398,1761,654,2415,4200,57.50%,1051,1251,2302
"District Judge, 11th Judicial District",0399,1291,546,1837,3340,55.00%,687,1083,1770
"District Judge, 11th Judicial District",0400,1457,372,1839,2661,69.11%,1166,604,1770
"District Judge, 11th Judicial District",0401,703,257,960,1971,48.71%,46,871,917
"District Judge, 11th Judicial District",0402,897,262,1159,1911,60.65%,75,1049,1124
"District Judge, 11th Judicial District",0403,959,387,1346,1719,78.30%,691,559,1250
"District Judge, 11th Judicial District",0404,1033,445,1478,2717,54.40%,684,738,1422
"District Judge, 11th Judicial District",0405,1910,457,2367,3067,77.18%,1747,558,2305
"District Judge, 11th Judicial District",0406,275,65,340,649,52.39%,9,322,331
"District Judge, 11th Judicial District",0407,1703,860,2563,3969,64.58%,1485,928,2413
"District Judge, 11th Judicial District",0408,520,313,833,1740,47.87%,242,535,777
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0409,501,280,781,1608,48.57%,226,511,737
"District Judge, 11th Judicial District",0410,381,96,477,934,51.07%,88,371,459
"District Judge, 11th Judicial District",0411,699,418,1117,2426,46.04%,277,775,1052
"District Judge, 11th Judicial District",0412,156,80,236,478,49.37%,12,215,227
"District Judge, 11th Judicial District",0413,1546,456,2002,3081,64.98%,713,1188,1901
"District Judge, 11th Judicial District",0414,1573,514,2087,3586,58.20%,1474,526,2000
"District Judge, 11th Judicial District",0415,1076,573,1649,2284,72.20%,1097,472,1569
"District Judge, 11th Judicial District",0416,1443,845,2288,4009,57.07%,1083,1086,2169
"District Judge, 11th Judicial District",0417,1104,397,1501,2589,57.98%,602,826,1428
"District Judge, 11th Judicial District",0418,1336,663,1999,3940,50.74%,629,1252,1881
"District Judge, 11th Judicial District",0419,1166,477,1643,2702,60.81%,922,647,1569
"District Judge, 11th Judicial District",0420,2687,731,3418,4946,69.11%,2706,575,3281
"District Judge, 11th Judicial District",0421,1240,273,1513,2023,74.79%,692,767,1459
"District Judge, 11th Judicial District",0422,1357,401,1758,3348,52.81%,79,1636,1715
"District Judge, 11th Judicial District",0423,31,e,288,604,1423,42.45%,127,452,579
"District Judge, 11th Judicial District",0424,548,158,706,1079,65.43%,360,313,673
"District Judge, 11th Judicial District",0425,257,139,396,878,45.10%,112,265,377
"District Judge, 11th Judicial District",0426,485,228,713,1266,56.32%,352,321,673
"District Judge, 11th Judicial District",0427,437,155,592,1120,52.86%,191,359,550
"District Judge, 11th Judicial District",0428,1588,855,2553,5151,49.56%,630,1780,2410
"District Judge, 11th Judicial District",0429,947,649,1596,3311,48.20%,329,1190,1519
"District Judge, 11th Judicial District",0430,524,291,815,1794,45.43%,128,632,760
"District Judge, 11th Judicial District",0431,1218,604,1822,3860,47.20%,376,1360,1736
"District Judge, 11th Judicial District",0432,456,249,705,1568,44.96%,199,459,658
"District Judge, 11th Judicial District",0433,163,88,251,561,44.74%,55,179,234
"District Judge, 11th Judicial District",0434,831,293,1124,1557,72.19%,609,434,1043
"District Judge, 11th Judicial District",0435,1951,567,2518,3363,74.87%,1517,849,2366
"District Judge, 11th Judicial District",0436,2008,678,2686,3809,70.52%,1418,1102,2520
"District Judge, 11th Judicial District",0437,1148,425,1573,2094,75.12%,1020,479,1499
"District Judge, 11th Judicial District",0438,2288,475,2763,3789,72.92%,1858,754,2612
"District Judge, 11th Judicial District",0439,1854,749,2603,3701,70.33%,1712,749,2461
"District Judge, 11th Judicial District",0440,1498,749,2247,2973,75.58%,1650,478,2128
"District Judge, 11th Judicial District",0441,824,408,1232,1695,72.68%,827,341,1168
"District Judge, 11th Judicial District",0442,2441,685,3126,4315,72.44%,2498,492,2990
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0443,415,83,498,642,77.57%,350,124,474
"District Judge, 11th Judicial District",0444,1620,679,2299,3625,63.42%,1197,955,2152
"District Judge, 11th Judicial District",0445,1036,382,1418,2134,66.45%,819,532,1351
"District Judge, 11th Judicial District",0446,89,45,134,309,43.37%,50,80,130
"District Judge, 11th Judicial District",0447,2411,464,2875,3727,77.14%,1854,903,2757
"District Judge, 11th Judicial District",0448,1763,529,2292,3155,72.65%,1217,902,2119
"District Judge, 11th Judicial District",0449,73,26,99,225,44.00%,12,85,97
"District Judge, 11th Judicial District",0450,1104,394,1498,2890,51.83%,391,1052,1443
"District Judge, 11th Judicial District",0451,1719,367,2086,2771,75.28%,1642,371,2013
"District Judge, 11th Judicial District",0452,1871,662,2533,3789,66.85%,1669,762,2431
"District Judge, 11th Judicial District",0453,661,417,1078,2039,52.87%,277,738,1015
"District Judge, 11th Judicial District",0454,1043,288,1331,2509,53.05%,36,1252,1288
"District Judge, 11th Judicial District",0455,669,173,842,1713,49.15%,33,779,812
"District Judge, 11th Judicial District",0456,1404,553,1957,3793,51.60%,1015,850,1865
"District Judge, 11th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0458,914,253,1167,2025,57.63%,80,1040,1120
"District Judge, 11th Judicial District",0459,2362,432,2794,3942,70.88%,2068,622,2690
"District Judge, 11th Judicial District",0460,1613,472,2085,3280,63.57%,509,1505,2014
"District Judge, 11th Judicial District",0461,2242,669,2911,4054,71.81%,1749,977,2726
"District Judge, 11th Judicial District",0462,1474,738,2212,3507,63.07%,719,1401,2120
"District Judge, 11th Judicial District",0463,1573,564,2237,3773,59.29%,832,1335,2167
"District Judge, 11th Judicial District",0464,967,582,1549,2343,66.11%,947,517,1464
"District Judge, 11th Judicial District",0465,1628,594,2222,3778,58.81%,976,1149,2125
"District Judge, 11th Judicial District",0466,2274,509,2783,4327,64.32%,1382,1301,2683
"District Judge, 11th Judicial District",0467,501,225,726,1320,55.00%,154,535,689
"District Judge, 11th Judicial District",0468,1379,747,2125,4040,52.62%,506,1516,2022
"District Judge, 11th Judicial District",0469,1857,462,2329,3257,71.51%,1761,471,2232
"District Judge, 11th Judicial District",0470,555,232,787,1358,57.95%,555,197,752
"District Judge, 11th Judicial District",0471,1057,458,1515,2473,61.26%,1118,342,1460
"District Judge, 11th Judicial District",0472,463,339,802,1131,70.91%,336,417,753
"District Judge, 11th Judicial District",0473,944,390,1334,1787,74.65%,891,377,1268
"District Judge, 11th Judicial District",0474,1417,624,2041,3127,65.27%,1289,671,1960
"District Judge, 11th Judicial District",0475,791,251,1052,1936,54.34%,398,600,998
"District Judge, 11th Judicial District",0476,1077,405,1482,2458,60.29%,742,669,1411
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0477,2027,640,2667,4010,66.51%,1787,763,2550
"District Judge, 11th Judicial District",0478,2271,683,2954,4696,62.90%,1800,1027,2827
"District Judge, 11th Judicial District",0479,1978,755,2733,3851,70.97%,1938,696,2634
"District Judge, 11th Judicial District",0480,1445,538,1983,2978,66.59%,1302,608,1910
"District Judge, 11th Judicial District",0481,1756,667,2423,3609,67.14%,1692,604,2296
"District Judge, 11th Judicial District",0482,2259,618,2877,4405,65.31%,1896,874,2770
"District Judge, 11th Judicial District",0483,2305,538,2843,4495,63.25%,1404,1287,2691
"District Judge, 11th Judicial District",0484,2020,700,2720,3981,68.32%,1677,940,2617
"District Judge, 11th Judicial District",0485,2118,567,2685,4051,66.28%,1876,718,2594
"District Judge, 11th Judicial District",0486,2310,721,3031,4195,72.25%,2261,646,2907
"District Judge, 11th Judicial District",0487,1405,527,1932,4142,46.64%,455,1318,1773
"District Judge, 11th Judicial District",0488,842,511,1353,2382,56.80%,362,925,1287
"District Judge, 11th Judicial District",0489,865,344,1209,1958,61.75%,330,820,1150
"District Judge, 11th Judicial District",0490,980,346,1326,2105,62.99%,391,864,1255
"District Judge, 11th Judicial District",0491,937,488,1425,2110,67.54%,734,608,1342
"District Judge, 11th Judicial District",0492,1217,396,1613,2552,63.21%,810,730,1540
"District Judge, 11th Judicial District",0493,1404,555,1959,3338,58.69%,704,1146,1850
"District Judge, 11th Judicial District",0494,1079,419,1498,2787,53.75%,182,1265,1447
"District Judge, 11th Judicial District",0495,1414,376,1790,2488,71.95%,1184,513,1697
"District Judge, 11th Judicial District",0496,687,549,1235,2325,53.16%,408,771,1179
"District Judge, 11th Judicial District",0497,915,281,1197,2148,55.73%,56,1103,1159
"District Judge, 11th Judicial District",0498,1069,423,1492,2527,59.04%,504,919,1423
"District Judge, 11th Judicial District",0499,1433,397,1830,2336,78.34%,1270,483,1753
"District Judge, 11th Judicial District",0500,1869,651,2520,3698,68.14%,1531,882,2413
"District Judge, 11th Judicial District",0501,1146,406,1552,2016,76.98%,624,835,1459
"District Judge, 11th Judicial District",0502,1,355,293,1559,2595,63.93%,1252,329,1581
"District Judge, 11th Judicial District",0503,1397,306,1703,2236,76.16%,1230,392,1622
"District Judge, 11th Judicial District",0504,1270,482,1752,2318,75.58%,1098,568,1666
"District Judge, 11th Judicial District",0505,1750,735,2485,4076,60.97%,1059,1268,2327
"District Judge, 11th Judicial District",0506,1513,696,2209,3544,62.33%,332,1799,2131
"District Judge, 11th Judicial District",0507,599,319,918,2562,35.83%,200,616,816
"District Judge, 11th Judicial District",0508,1519,828,2347,4767,49.23%,635,1542,2177
"District Judge, 11th Judicial District",0509,2504,669,3173,5153,61.58%,1925,1117,3042
"District Judge, 11th Judicial District",0510,1701,666,2367,3822,61.93%,963,1312,2275
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0511,2933,574,3507,4620,75.91%,2081,1296,3377
"District Judge, 11th Judicial District",0512,1668,871,2539,4559,55.69%,947,1483,2430
"District Judge, 11th Judicial District",0513,1754,413,2187,3003,72.16%,1526,554,2080
"District Judge, 11th Judicial District",0514,2288,613,2899,4378,66.22%,1929,849,2778
"District Judge, 11th Judicial District",0515,1836,468,2304,3182,72.41%,1783,441,2224
"District Judge, 11th Judicial District",0516,1316,363,1679,2799,59.99%,806,807,1613
"District Judge, 11th Judicial District",0517,1610,509,2119,3744,56.60%,868,1151,2019
"District Judge, 11th Judicial District",0518,1886,676,2562,4049,63.27%,1450,997,2447
"District Judge, 11th Judicial District",0519,1421,518,1939,3098,62.59%,1279,581,1860
"District Judge, 11th Judicial District",0520,1788,670,2456,5202,47.21%,373,2022,2395
"District Judge, 11th Judicial District",0521,1350,578,1928,3070,62.80%,877,977,1854
"District Judge, 11th Judicial District",0522,1508,464,1972,2815,70.05%,1417,499,1916
"District Judge, 11th Judicial District",0523,1978,537,2515,4027,62.45%,1503,875,2378
"District Judge, 11th Judicial District",0524,1392,637,2029,3598,56.39%,529,1409,1938
"District Judge, 11th Judicial District",0525,1440,574,2014,3260,61.78%,425,1498,1923
"District Judge, 11th Judicial District",0526,235,157,392,820,47.80%,85,281,366
"District Judge, 11th Judicial District",0527,156,38,194,580,33.45%,70,112,182
"District Judge, 11th Judicial District",0528,17,8,25,78,32.05%,1,23,24
"District Judge, 11th Judicial District",0529,2107,434,2541,3842,66.14%,2062,373,2435
"District Judge, 11th Judicial District",0530,375,212,587,1236,47.49%,112,424,536
"District Judge, 11th Judicial District",0531,1234,166,1400,2250,62.22%,1007,314,1321
"District Judge, 11th Judicial District",0532,478,140,618,1058,58.41%,407,199,606
"District Judge, 11th Judicial District",0533,352,169,521,1164,44.76%,254,235,489
"District Judge, 11th Judicial District",0534,1895,577,2472,3918,63.09%,1675,683,2358
"District Judge, 11th Judicial District",0535,132,62,194,413,46.97%,62,119,181
"District Judge, 11th Judicial District",0536,2104,1053,3157,5637,56.00%,979,1993,2972
"District Judge, 11th Judicial District",0537,1958,464,2422,3174,76.31%,1682,641,2323
"District Judge, 11th Judicial District",0538,371,203,574,1332,43.09%,15,546,561
"District Judge, 11th Judicial District",0539,811,234,1045,1535,68.08%,557,436,993
"District Judge, 11th Judicial District",0540,997,349,1346,1759,76.52%,466,780,1246
"District Judge, 11th Judicial District",0541,2157,761,2918,5001,58.35%,454,2341,2795
"District Judge, 11th Judicial District",0542,1156,406,1562,2654,58.85%,109,1396,1505
"District Judge, 11th Judicial District",0543,553,321,874,1658,52.71%,208,624,832
"District Judge, 11th Judicial District",0544,84,54,138,313,44.09%,17,116,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0545,2015,468,2483,3949,62.88%,1052,1299,2351
"District Judge, 11th Judicial District",0546,1524,278,1802,2471,72.93%,1489,265,1754
"District Judge, 11th Judicial District",0547,1413,270,1683,2534,66.42%,1079,526,1605
"District Judge, 11th Judicial District",0548,882,395,1277,2339,54.60%,550,690,1240
"District Judge, 11th Judicial District",0549,1105,447,1552,2786,55.71%,195,1309,1504
"District Judge, 11th Judicial District",0550,1171,553,1724,3245,53.13%,714,956,1670
"District Judge, 11th Judicial District",0551,2585,793,3379,4428,76.31%,2482,762,3244
"District Judge, 11th Judicial District",0552,2090,784,2874,3762,76.40%,2264,505,2769
"District Judge, 11th Judicial District",0553,982,317,1279,2193,58.32%,465,773,1238
"District Judge, 11th Judicial District",0554,597,271,868,1774,48.93%,170,661,831
"District Judge, 11th Judicial District",0555,839,390,1029,2286,45.01%,179,808,987
"District Judge, 11th Judicial District",0556,759,435,1194,2491,47.93%,229,912,1141
"District Judge, 11th Judicial District",0557,925,460,1385,2955,46.87%,372,901,1273
"District Judge, 11th Judicial District",0558,1812,721,2533,4718,53.69%,726,1705,2431
"District Judge, 11th Judicial District",0559,1901,701,2602,4984,52.21%,567,1922,2489
"District Judge, 11th Judicial District",0560,290,247,537,1141,47.06%,88,412,500
"District Judge, 11th Judicial District",0561,1023,624,1647,3138,52.49%,926,636,1562
"District Judge, 11th Judicial District",0562,222,116,338,691,48.91%,37,270,307
"District Judge, 11th Judicial District",0563,2089,337,2406,3468,69.38%,1800,510,2310
"District Judge, 11th Judicial District",0564,1551,526,2077,3240,64.10%,551,1417,1968
"District Judge, 11th Judicial District",0565,338,148,484,1414,34.23%,74,389,463
"District Judge, 11th Judicial District",0566,1183,441,1624,3029,53.62%,392,1165,1557
"District Judge, 11th Judicial District",0567,985,390,1355,2851,47.53%,343,918,1261
"District Judge, 11th Judicial District",0568,1833,697,2530,3638,69.54%,1548,823,2371
"District Judge, 11th Judicial District",0569,2027,747,2774,4125,67.25%,1275,1325,2600
"District Judge, 11th Judicial District",0570,788,278,1044,1598,65.33%,363,609,972
"District Judge, 11th Judicial District",0571,521,314,835,1950,42.82%,231,559,790
"District Judge, 11th Judicial District",0572,1522,444,1966,3308,59.43%,822,1052,1874
"District Judge, 11th Judicial District",0573,489,215,704,1625,43.32%,17,677,694
"District Judge, 11th Judicial District",0574,112,74,186,391,47.57%,23,153,176
"District Judge, 11th Judicial District",0575,1905,535,2440,3557,68.60%,1311,1016,2327
"District Judge, 11th Judicial District",0576,1107,375,1482,2830,52.37%,109,1327,1436
"District Judge, 11th Judicial District",0577,885,205,1090,1586,68.73%,613,417,1030
"District Judge, 11th Judicial District",0578,1028,405,1431,1862,76.85%,843,485,1328
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0579,287,181,468,1139,41.09%,77,364,441
"District Judge, 11th Judicial District",0580,366,108,474,985,48.12%,20,446,466
"District Judge, 11th Judicial District",0581,456,137,593,1033,57.41%,14,559,573
"District Judge, 11th Judicial District",0582,543,232,775,1607,48.23%,50,694,744
"District Judge, 11th Judicial District",0583,433,155,588,1286,45.72%,25,548,573
"District Judge, 11th Judicial District",0584,367,120,487,1062,45.86%,39,426,465
"District Judge, 11th Judicial District",0585,829,280,1109,2346,47.27%,61,1015,1076
"District Judge, 11th Judicial District",0586,1790,790,2580,4521,57.07%,1418,1054,2472
"District Judge, 11th Judicial District",0587,1204,431,1635,2870,56.97%,519,1054,1573
"District Judge, 11th Judicial District",0588,1940,606,2546,3780,67.35%,1635,816,2451
"District Judge, 11th Judicial District",0589,1539,545,2084,3780,55.13%,957,1050,2007
"District Judge, 11th Judicial District",0590,1230,400,1630,2176,74.91%,1218,332,1550
"District Judge, 11th Judicial District",0591,651,462,1113,2274,48.94%,265,780,1045
"District Judge, 11th Judicial District",0592,449,272,721,1446,49.86%,147,537,684
"District Judge, 11th Judicial District",0593,1551,755,2316,4179,55.42%,897,1290,2187
"District Judge, 11th Judicial District",0594,1243,316,1559,2578,60.47%,406,1110,1516
"District Judge, 11th Judicial District",0595,600,299,899,1833,49.05%,132,732,864
"District Judge, 11th Judicial District",0596,1377,501,1878,3574,52.55%,822,957,1779
"District Judge, 11th Judicial District",0597,1204,609,1813,3587,50.54%,602,1118,1720
"District Judge, 11th Judicial District",0598,2389,731,3120,5253,59.39%,1034,1955,2989
"District Judge, 11th Judicial District",0599,1378,493,1871,3005,62.26%,632,1180,1812
"District Judge, 11th Judicial District",0600,1602,776,2378,4204,56.57%,757,1499,2256
"District Judge, 11th Judicial District",0601,2220,670,2890,4151,69.62%,2036,761,2797
"District Judge, 11th Judicial District",0602,754,234,988,1441,68.56%,658,289,947
"District Judge, 11th Judicial District",0603,2335,725,3060,4666,65.58%,1688,1248,2936
"District Judge, 11th Judicial District",0604,1816,375,2191,3189,68.70%,1786,309,2095
"District Judge, 11th Judicial District",0605,1711,599,2310,4217,54.78%,502,1691,2193
"District Judge, 11th Judicial District",0606,319,111,430,970,44.33%,8,411,419
"District Judge, 11th Judicial District",0607,163,51,214,712,30.06%,24,183,207
"District Judge, 11th Judicial District",0608,156,77,233,570,40.88%,74,145,219
"District Judge, 11th Judicial District",0609,2037,729,2766,4305,64.25%,1532,1109,2641
"District Judge, 11th Judicial District",0610,665,343,1008,2086,48.32%,400,546,946
"District Judge, 11th Judicial District",0611,980,229,1209,2527,47.84%,53,1126,1179
"District Judge, 11th Judicial District",0612,1927,431,2358,3388,69.60%,1722,539,2261
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0613,937,339,1276,2368,53.89%,209,1012,1221
"District Judge, 11th Judicial District",0614,1949,645,2594,4566,56.81%,744,1738,2482
"District Judge, 11th Judicial District",0615,1075,301,1376,2086,65.96%,692,626,1318
"District Judge, 11th Judicial District",0616,1809,611,2420,3516,68.83%,1543,757,2300
"District Judge, 11th Judicial District",0617,1704,650,2354,4179,56.33%,751,1509,2260
"District Judge, 11th Judicial District",0618,1698,545,2243,3801,59.01%,884,1281,2165
"District Judge, 11th Judicial District",0619,2792,663,3455,4916,70.28%,2460,892,3352
"District Judge, 11th Judicial District",0620,1747,333,2080,3318,62.69%,1024,961,1985
"District Judge, 11th Judicial District",0621,536,200,736,1272,57.86%,291,401,692
"District Judge, 11th Judicial District",0622,2129,591,2720,4562,59.62%,1405,1190,2595
"District Judge, 11th Judicial District",0623,1960,461,2421,3919,61.78%,1469,850,2319
"District Judge, 11th Judicial District",0624,297,59,356,456,78.07%,269,74,343
"District Judge, 11th Judicial District",0625,924,372,1296,1864,69.53%,681,550,1231
"District Judge, 11th Judicial District",0626,2280,784,3064,4816,63.62%,1536,1368,2904
"District Judge, 11th Judicial District",0627,935,649,1584,3235,48.96%,396,1109,1505
"District Judge, 11th Judicial District",0628,716,545,1261,2420,52.11%,424,760,1184
"District Judge, 11th Judicial District",0629,162,96,258,750,34.40%,30,219,249
"District Judge, 11th Judicial District",0630,2662,541,3203,4738,67.60%,324,2798,3122
"District Judge, 11th Judicial District",0631,1841,398,2239,3263,68.62%,1437,703,2140
"District Judge, 11th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 11th Judicial District",0633,2286,601,2887,3912,73.80%,1915,868,2783
"District Judge, 11th Judicial District",0634,1435,499,1934,3259,59.34%,1063,793,1856
"District Judge, 11th Judicial District",0635,1645,520,2165,3512,61.65%,1545,523,2068
"District Judge, 11th Judicial District",0636,2303,922,3225,4569,70.58%,2754,357,3111
"District Judge, 11th Judicial District",0637,1095,423,1518,2591,58.59%,320,1079,1399
"District Judge, 11th Judicial District",0638,850,348,1198,2310,51.86%,97,1073,1170
"District Judge, 11th Judicial District",0639,1386,284,1670,2560,65.23%,1245,348,1593
"District Judge, 11th Judicial District",0640,1619,615,2234,3927,56.89%,1224,926,2150
"District Judge, 11th Judicial District",0641,1637,683,2320,3840,60.42%,1319,901,2220
"District Judge, 11th Judicial District",0642,1030,270,1300,1783,72.91%,984,268,1252
"District Judge, 11th Judicial District",0643,1948,593,2541,4189,60.66%,1152,1296,2448
