Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0074,2503,268,2771,3578,77.45%,2015,631,2646
"District Judge, 11th Judicial District",0075,1000,286,1286,1684,76.37%,557,649,1206
"District Judge, 11th Judicial District",0076,1015,427,1442,2441,59.07%,675,686,1361
"District Judge, 11th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 11th Judicial District",0078,618,254,872,1608,54.23%,214,586,800
"District Judge, 11th Judicial District",0079,831,602,1433,2963,48.36%,235,1092,1327
"District Judge, 11th Judicial District",0080,1174,466,1640,2840,57.75%,346,1203,1549
"District Judge, 11th Judicial District",0081,776,273,1049,1964,53.41%,294,692,986
"District Judge, 11th Judicial District",0082,1585,756,2341,3539,66.15%,1644,604,2248
"District Judge, 11th Judicial District",0083,1829,540,2369,4174,56.76%,865,1414,2279
"District Judge, 11th Judicial District",0084,573,257,830,1421,58.41%,572,232,804
"District Judge, 11th Judicial District",0085,587,329,916,2169,42.23%,43,846,889
"District Judge, 11th Judicial District",0086,2032,493,2525,3449,73.21%,1157,1214,2371
"District Judge, 11th Judicial District",0087,1451,719,2170,2839,76.44%,1273,768,2041
"District Judge, 11th Judicial District",0088,338,141,479,784,61.10%,298,157,455
"District Judge, 11th Judicial District",0089,398,424,822,1094,75.14%,437,328,765
"District Judge, 11th Judicial District",0090,1856,890,2746,3883,70.72%,1972,650,2622
"District Judge, 11th Judicial District",0091,673,339,1012,1724,58.70%,547,401,948
"District Judge, 11th Judicial District",0092,1263,474,1737,2260,76.86%,1095,547,1642
"District Judge, 11th Judicial District",0093,1048,619,1667,3536,47.14%,468,1117,1585
"District Judge, 11th Judicial District",0094,202,63,265,580,45.69%,45,206,251
"District Judge, 11th Judicial District",0095,2022,534,2556,3394,75.31%,1616,820,2436
"District Judge, 11th Judicial District",0096,828,306,1134,2060,55.05%,156,922,1078
"District Judge, 11th Judicial District",0097,2511,467,2978,4414,67.47%,2176,669,2845
"District Judge, 11th Judicial District",0098,1385,594,1979,3161,62.61%,1597,307,1904
"District Judge, 11th Judicial District",0099,681,295,976,2192,44.53%,403,531,934
"District Judge, 11th Judicial District",0100,529,276,805,1825,44.11%,315,459,774
"District Judge, 11th Judicial District",0101,221,129,350,988,35.43%,83,254,337
"District Judge, 11th Judicial District",0102,580,227,807,1907,42.32%,202,561,763
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0103,2140,985,3125,5097,61.31%,1475,1542,3017
"District Judge, 11th Judicial District",0104,913,211,1124,1920,58.54%,40,1058,1098
"District Judge, 11th Judicial District",0105,709,433,1142,2304,49.57%,282,784,1066
"District Judge, 11th Judicial District",0106,73,59,132,299,44.15%,40,89,129
"District Judge, 11th Judicial District",0107,592,403,995,2230,44.62%,152,800,952
"District Judge, 11th Judicial District",0108,1461,448,1909,3674,51.96%,891,904,1795
"District Judge, 11th Judicial District",0109,1098,278,1376,2909,47.30%,39,1289,1328
"District Judge, 11th Judicial District",0110,1661,481,2142,3222,66.48%,1198,854,2052
"District Judge, 11th Judicial District",0111,2699,866,3565,4792,74.39%,2426,981,3407
"District Judge, 11th Judicial District",0112,1507,598,2105,3188,66.03%,1353,659,2012
"District Judge, 11th Judicial District",0113,1307,418,1725,2718,63.47%,866,795,1661
"District Judge, 11th Judicial District",0114,2290,506,2796,3885,71.97%,1986,704,2690
"District Judge, 11th Judicial District",0115,609,272,881,1843,47.80%,83,761,844
"District Judge, 11th Judicial District",0116,1898,599,2497,3194,78.18%,1830,552,2382
"District Judge, 11th Judicial District",0117,573,379,952,1900,50.11%,311,575,886
"District Judge, 11th Judicial District",0118,1823,530,2353,3181,73.97%,1199,1042,2241
"District Judge, 11th Judicial District",0119,2755,409,3164,4682,67.58%,2421,603,3024
"District Judge, 11th Judicial District",0120,1804,588,2392,3732,64.09%,1373,901,2274
"District Judge, 11th Judicial District",0121,354,221,575,966,59.52%,352,205,557
"District Judge, 11th Judicial District",0122,732,284,1016,1904,53.36%,52,924,976
"District Judge, 11th Judicial District",0123,749,287,1036,1585,65.36%,287,697,984
"District Judge, 11th Judicial District",0124,3136,888,4024,5393,74.62%,3104,800,3904
"District Judge, 11th Judicial District",0125,1207,400,1607,2593,61.97%,828,711,1539
"District Judge, 11th Judicial District",0126,2017,427,2444,3380,72.31%,2029,321,2350
"District Judge, 11th Judicial District",0127,978,214,1192,2091,57.01%,820,311,1131
"District Judge, 11th Judicial District",0128,1107,612,1719,2322,74.03%,1011,577,1588
"District Judge, 11th Judicial District",0129,2540,1052,3592,5172,69.45%,2009,1393,3402
"District Judge, 11th Judicial District",0130,1310,433,1743,2289,76.15%,1211,451,1662
"District Judge, 11th Judicial District",0131,798,371,1169,2147,54.45%,235,899,1134
"District Judge, 11th Judicial District",0132,1028,322,1350,2378,56.77%,50,1271,1321
"District Judge, 11th Judicial District",0133,1411,746,2157,2690,80.19%,1146,857,2003
"District Judge, 11th Judicial District",0134,593,345,938,1513,62.00%,364,524,888
"District Judge, 11th Judicial District",0135,1614,551,2165,2777,77.96%,1330,701,2031
"District Judge, 11th Judicial District",0136,982,352,1334,2116,63.04%,88,1198,1286
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0137,993,259,1252,1986,63.04%,819,386,1205
"District Judge, 11th Judicial District",0138,600,228,828,1723,48.06%,34,769,803
"District Judge, 11th Judicial District",0139,1939,601,2540,3435,73.94%,1130,1232,2362
"District Judge, 11th Judicial District",0140,1513,510,2023,3270,61.87%,307,1611,1918
"District Judge, 11th Judicial District",0141,217,153,370,904,40.93%,192,150,342
"District Judge, 11th Judicial District",0142,293,140,433,933,46.41%,88,315,403
"District Judge, 11th Judicial District",0143,1868,267,2135,2582,82.69%,1376,692,2068
"District Judge, 11th Judicial District",0144,442,125,567,1086,52.21%,21,523,544
"District Judge, 11th Judicial District",0145,560,256,816,1564,52.17%,26,767,793
"District Judge, 11th Judicial District",0146,1000,494,1494,2073,72.07%,600,804,1404
"District Judge, 11th Judicial District",0147,1411,354,1765,3211,54.97%,224,1483,1707
"District Judge, 11th Judicial District",0148,1265,652,1917,2571,74.56%,703,1095,1798
"District Judge, 11th Judicial District",0149,2938,573,3511,4756,73.82%,1889,1506,3395
"District Judge, 11th Judicial District",0150,582,223,805,1574,51.14%,29,748,777
"District Judge, 11th Judicial District",0151,282,107,389,826,47.09%,18,354,372
"District Judge, 11th Judicial District",0152,838,524,1362,3059,44.52%,251,1023,1274
"District Judge, 11th Judicial District",0153,544,399,943,1873,50.35%,202,694,896
"District Judge, 11th Judicial District",0154,913,289,1202,2293,52.42%,240,873,1113
"District Judge, 11th Judicial District",0155,2275,576,2851,4065,70.14%,1759,960,2719
"District Judge, 11th Judicial District",0156,1413,403,1815,3223,56.35%,100,1648,1748
"District Judge, 11th Judicial District",0157,880,278,1158,2265,51.13%,70,1052,1122
"District Judge, 11th Judicial District",0158,1143,365,1508,3049,49.46%,47,1422,1469
"District Judge, 11th Judicial District",0159,348,147,495,997,49.65%,76,399,475
"District Judge, 11th Judicial District",0160,286,67,353,717,49.23%,14,324,338
"District Judge, 11th Judicial District",0161,378,173,551,992,55.54%,18,513,531
"District Judge, 11th Judicial District",0162,364,267,631,1312,48.09%,150,438,588
"District Judge, 11th Judicial District",0163,1080,524,1604,3075,52.16%,430,1013,1443
"District Judge, 11th Judicial District",0164,441,258,699,1407,49.68%,21,648,669
"District Judge, 11th Judicial District",0165,1169,469,1638,2460,66.59%,906,637,1543
"District Judge, 11th Judicial District",0166,562,261,823,1171,70.28%,263,509,772
"District Judge, 11th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 11th Judicial District",0168,196,59,255,512,49.80%,5,246,251
"District Judge, 11th Judicial District",0169,985,247,1232,2548,48.35%,50,1144,1194
"District Judge, 11th Judicial District",0170,553,262,925,1958,47.24%,401,457,858
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0171,482,283,765,1648,46.42%,42,690,732
"District Judge, 11th Judicial District",0172,245,103,348,661,52.65%,82,248,330
"District Judge, 11th Judicial District",0173,2259,683,2942,3966,74.18%,2138,674,2812
"District Judge, 11th Judicial District",0174,171,5,707,2423,3389,71.50%,1567,717,2284
"District Judge, 11th Judicial District",0175,1402,691,2093,2711,77.20%,1019,926,1945
"District Judge, 11th Judicial District",0176,767,375,1142,1533,74.49%,528,521,1049
"District Judge, 11th Judicial District",0177,937,333,1270,1715,74.05%,668,514,1182
"District Judge, 11th Judicial District",0178,1116,273,1389,1795,77.38%,878,410,1288
"District Judge, 11th Judicial District",0179,771,244,1015,1673,60.67%,469,484,953
"District Judge, 11th Judicial District",0180,928,463,1391,2914,47.74%,53,1279,1332
"District Judge, 11th Judicial District",0181,697,439,1136,2195,51.75%,235,840,1075
"District Judge, 11th Judicial District",0182,1943,994,2937,4071,72.14%,1498,1222,2720
"District Judge, 11th Judicial District",0183,1286,715,2001,2535,78.93%,1193,665,1858
"District Judge, 11th Judicial District",0184,278,219,497,1048,47.42%,134,332,466
"District Judge, 11th Judicial District",0185,709,444,1153,2054,56.13%,300,788,1088
"District Judge, 11th Judicial District",0186,252,150,402,798,50.38%,36,354,390
"District Judge, 11th Judicial District",0187,95,51,147,309,47.57%,27,109,136
