Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Bellaire, PROPOSITION THREE",0128,1107,612,1719,2322,74.03%,1254,284,1538
"City of Bellaire, PROPOSITION THREE",0182,1663,895,2558,3451,74.12%,1917,408,2325
"City of Bellaire, PROPOSITION THREE",0214,1015,418,1434,1911,75.04%,1014,232,1246
"City of Bellaire, PROPOSITION THREE",0215,1095,636,1732,2286,75.77%,1237,270,1507
"City of Bellaire, PROPOSITION THREE",0268,1174,689,1863,2528,73.69%,1423,236,1659
"City of Bellaire, PROPOSITION THREE",Totals;,6056,3250,9306,12498,6845,1430,8275
