Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0321,867,363,1230,2483,49.54%,334,807,1141
"District Judge, 80th Judicial District",0322,426,124,550,1210,45.45%,154,380,534
"District Judge, 80th Judicial District",0323,700,296,996,1793,55.55%,351,595,946
"District Judge, 80th Judicial District",0324,1444,560,2004,2607,76.87%,1148,733,1881
"District Judge, 80th Judicial District",0325,802,257,1059,2176,48.67%,186,808,994
"District Judge, 80th Judicial District",0326,271,129,400,736,54.35%,137,233,370
"District Judge, 80th Judicial District",0327,738,141,879,1758,50.00%,25,823,848
"District Judge, 80th Judicial District",0328,425,286,711,1631,43.59%,203,467,670
"District Judge, 80th Judicial District",0329,589,260,849,1621,52.38%,250,553,803
"District Judge, 80th Judicial District",0330,863,326,1189,2146,55.41%,513,610,1123
"District Judge, 80th Judicial District",0331,884,234,1118,1612,69.35%,690,368,1058
"District Judge, 80th Judicial District",0332,1355,503,1858,2926,63.50%,195,1588,1783
"District Judge, 80th Judicial District",0333,1385,942,2327,3296,70.60%,1587,618,2205
"District Judge, 80th Judicial District",0334,246,104,350,786,44.53%,57,277,334
"District Judge, 80th Judicial District",0335,489,293,782,1679,46.58%,186,541,727
"District Judge, 80th Judicial District",0336,2489,689,3178,4771,66.61%,312,2769,3081
"District Judge, 80th Judicial District",0337,367,155,522,1108,47.11%,78,411,489
"District Judge, 80th Judicial District",0338,1626,632,2258,5001,45.15%,575,1568,2143
"District Judge, 80th Judicial District",0339,704,303,1007,1909,52.75%,190,746,936
"District Judge, 80th Judicial District",0340,2040,654,2694,4012,67.15%,1844,711,2555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0341,380,278,658,1372,47.96%,147,471,618
"District Judge, 80th Judicial District",0342,311,225,536,1092,49.08%,116,392,508
"District Judge, 80th Judicial District",0343,722,370,1092,2099,52.02%,198,822,1020
"District Judge, 80th Judicial District",0344,381,207,588,1225,48.00%,20,538,558
"District Judge, 80th Judicial District",0345,575,349,924,1945,47.51%,180,688,868
"District Judge, 80th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 80th Judicial District",0347,1461,618,2079,3614,57.53%,1189,805,1994
"District Judge, 80th Judicial District",0348,830,242,1072,1796,59.69%,707,320,1027
"District Judge, 80th Judicial District",0349,458,369,827,1372,60.28%,482,316,798
"District Judge, 80th Judicial District",0350,1674,582,2256,3269,69.01%,740,1338,2078
"District Judge, 80th Judicial District",0351,2855,570,3425,4799,71.37%,2504,782,3286
"District Judge, 80th Judicial District",0352,2023,538,2561,4278,59.86%,1721,744,2465
"District Judge, 80th Judicial District",0353,1715,659,2374,4156,57.12%,400,1878,2278
"District Judge, 80th Judicial District",0354,1569,429,1998,3520,56.76%,449,1445,1894
"District Judge, 80th Judicial District",0355,821,239,1060,1714,61.84%,106,919,1025
"District Judge, 80th Judicial District",0356,1542,582,2124,3126,67.95%,1112,904,2016
"District Judge, 80th Judicial District",0357,1882,557,2439,3685,66.19%,1711,619,2330
"District Judge, 80th Judicial District",0358,775,376,1151,2634,43.70%,124,986,1110
"District Judge, 80th Judicial District",0359,803,496,1299,3320,39.13%,133,1124,1257
"District Judge, 80th Judicial District",0360,1858,597,2455,3309,74.19%,1075,1216,2291
"District Judge, 80th Judicial District",0361,323,688,1011,1808,55.92%,143,766,909
"District Judge, 80th Judicial District",0362,2865,553,3418,5161,66.23%,2339,945,3284
"District Judge, 80th Judicial District",0363,1826,635,2461,4160,59.16%,965,1424,2389
"District Judge, 80th Judicial District",0364,1190,528,1718,2827,60.77%,751,864,1615
"District Judge, 80th Judicial District",0365,827,174,1001,1348,74.26%,108,862,970
"District Judge, 80th Judicial District",0366,988,524,1512,2887,52.37%,317,1131,1448
"District Judge, 80th Judicial District",0367,453,204,657,1256,52.31%,146,478,624
"District Judge, 80th Judicial District",0368,433,122,555,1024,54.20%,139,396,535
"District Judge, 80th Judicial District",0369,132,29,161,678,23.75%,56,93,149
"District Judge, 80th Judicial District",0370,2525,627,3152,4531,69.57%,2219,812,3031
"District Judge, 80th Judicial District",0371,210,78,288,537,53.63%,12,271,283
"District Judge, 80th Judicial District",0372,509,180,689,1274,54.08%,77,586,663
"District Judge, 80th Judicial District",0373,61,13,74,163,45.40%,1,70,71
"District Judge, 80th Judicial District",0374,176,165,341,720,47.36%,77,249,326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0375,745,510,1255,2836,44.25%,428,751,1179
"District Judge, 80th Judicial District",0376,753,344,1097,2060,53.25%,384,648,1032
"District Judge, 80th Judicial District",0377,1381,643,2024,3137,64.52%,1487,435,1922
"District Judge, 80th Judicial District",0378,621,447,1068,1856,57.54%,641,377,1018
"District Judge, 80th Judicial District",0379,857,388,1245,2149,57.93%,108,1102,1210
"District Judge, 80th Judicial District",0380,2732,551,3283,4380,74.95%,1692,1476,3168
"District Judge, 80th Judicial District",0381,1185,432,1617,3141,51.48%,598,938,1536
"District Judge, 80th Judicial District",0382,429,206,635,1035,61.35%,385,223,608
"District Judge, 80th Judicial District",0383,722,458,1180,2373,49.73%,350,774,1124
"District Judge, 80th Judicial District",0384,1152,444,1596,2725,58.57%,325,1197,1522
"District Judge, 80th Judicial District",0385,1141,561,1702,2207,77.12%,1169,449,1618
"District Judge, 80th Judicial District",0386,1658,419,2077,3105,66.89%,1440,570,2010
"District Judge, 80th Judicial District",0387,1702,780,2482,4340,57.19%,1626,746,2372
"District Judge, 80th Judicial District",0388,2899,711,3510,5413,66.69%,1676,1795,3471
"District Judge, 80th Judicial District",0389,397,293,690,1359,50.77%,93,555,648
"District Judge, 80th Judicial District",0390,698,271,969,1482,65.38%,126,806,932
"District Judge, 80th Judicial District",0391,986,336,1322,1978,66.84%,744,516,1260
"District Judge, 80th Judicial District",0392,652,145,797,1426,55.89%,15,756,771
"District Judge, 80th Judicial District",0393,427,257,684,1274,53.69%,307,341,648
"District Judge, 80th Judicial District",0394,236,126,362,914,39.61%,115,228,343
"District Judge, 80th Judicial District",0395,1007,371,1378,1875,73.49%,884,422,1306
"District Judge, 80th Judicial District",0396,1035,204,1239,2072,59.80%,34,1165,1199
"District Judge, 80th Judicial District",0397,204,117,321,796,40.33%,111,189,300
"District Judge, 80th Judicial District",0398,1761,654,2415,4200,57.50%,1069,1236,2305
"District Judge, 80th Judicial District",0399,1291,546,1837,3340,55.00%,687,1084,1771
"District Judge, 80th Judicial District",0400,1457,372,1839,2661,69.11%,1148,621,1769
"District Judge, 80th Judicial District",0401,703,257,960,1971,48.71%,46,867,913
"District Judge, 80th Judicial District",0402,897,262,1159,1911,60.65%,66,1058,1124
"District Judge, 80th Judicial District",0403,959,387,1346,1719,78.30%,638,617,1255
"District Judge, 80th Judicial District",0404,1033,445,1478,2717,54.40%,684,734,1418
"District Judge, 80th Judicial District",0405,1910,457,2367,3067,77.18%,1742,561,2303
"District Judge, 80th Judicial District",0406,275,65,340,649,52.39%,8,320,328
"District Judge, 80th Judicial District",0407,1703,860,2563,3969,64.58%,1478,954,2432
"District Judge, 80th Judicial District",0408,520,313,833,1740,47.87%,246,537,783
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0409,501,280,781,1608,48.57%,231,504,735
"District Judge, 80th Judicial District",0410,381,96,477,934,51.07%,80,377,457
"District Judge, 80th Judicial District",0411,699,418,1117,2426,46.04%,274,776,1050
"District Judge, 80th Judicial District",0412,156,80,236,478,49.37%,13,217,230
"District Judge, 80th Judicial District",0413,1546,456,2002,3081,64.98%,718,1186,1904
"District Judge, 80th Judicial District",0414,1573,514,2087,3586,58.20%,1477,521,1998
"District Judge, 80th Judicial District",0415,1076,573,1649,2284,72.20%,1070,498,1568
"District Judge, 80th Judicial District",0416,1443,845,2288,4009,57.07%,1079,1090,2169
"District Judge, 80th Judicial District",0417,1104,397,1501,2589,57.98%,616,815,1431
"District Judge, 80th Judicial District",0418,1336,663,1999,3940,50.74%,628,1249,1877
"District Judge, 80th Judicial District",0419,1166,477,1643,2702,60.81%,914,657,1571
"District Judge, 80th Judicial District",0420,2687,731,3418,4946,69.11%,2717,571,3288
"District Judge, 80th Judicial District",0421,1240,273,1513,2023,74.79%,692,765,1457
"District Judge, 80th Judicial District",0422,1357,401,1768,3348,52.81%,58,1654,1712
"District Judge, 80th Judicial District",0423,316,288,604,1423,42.45%,124,456,580
"District Judge, 80th Judicial District",0424,548,158,706,1079,65.43%,351,325,676
"District Judge, 80th Judicial District",0425,257,139,396,878,45.10%,114,263,377
"District Judge, 80th Judicial District",0426,485,228,713,1266,56.32%,347,328,675
"District Judge, 80th Judicial District",0427,437,155,592,1120,52.86%,183,366,549
"District Judge, 80th Judicial District",0428,1588,865,2553,5151,49.56%,626,1782,2408
"District Judge, 80th Judicial District",0429,947,649,1596,3311,48.20%,330,1184,1514
"District Judge, 80th Judicial District",0430,524,291,815,1794,45.43%,138,620,758
"District Judge, 80th Judicial District",0431,1218,604,1822,3860,47.20%,374,1359,1733
"District Judge, 80th Judicial District",0432,456,249,705,1568,44.96%,209,449,658
"District Judge, 80th Judicial District",0433,163,88,251,561,44.74%,55,180,235
"District Judge, 80th Judicial District",0434,831,293,1124,1557,72.19%,576,475,1051
"District Judge, 80th Judicial District",0435,1951,567,2518,3363,74.87%,1454,919,2373
"District Judge, 80th Judicial District",0436,2008,678,2686,3809,70.52%,1385,1144,2529
"District Judge, 80th Judicial District",0437,1148,425,1573,2094,75.12%,985,519,1504
"District Judge, 80th Judicial District",0438,2288,475,2763,3789,72.92%,1785,831,2616
"District Judge, 80th Judicial District",0439,1854,749,2603,3701,70.33%,1650,812,2462
"District Judge, 80th Judicial District",0440,1498,749,2247,2973,75.58%,1584,546,2130
"District Judge, 80th Judicial District",0441,824,408,1232,1695,72.68%,807,365,1172
"District Judge, 80th Judicial District",0442,2441,685,3126,4315,72.44%,2476,516,2992
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0443,415,83,498,642,77.57%,341,131,472
"District Judge, 80th Judicial District",0444,1620,679,2299,3625,63.42%,1210,954,2164
"District Judge, 80th Judicial District",0445,1036,382,1418,2134,66.45%,814,540,1354
"District Judge, 80th Judicial District",0446,89,45,134,309,43.37%,50,79,129
"District Judge, 80th Judicial District",0447,2411,464,2875,3727,77.14%,1839,902,2741
"District Judge, 80th Judicial District",0448,1763,529,2292,3155,72.65%,1200,916,2116
"District Judge, 80th Judicial District",0449,73,26,99,225,44.00%,11,86,97
"District Judge, 80th Judicial District",0450,1104,394,1498,2890,51.83%,366,1072,1438
"District Judge, 80th Judicial District",0451,1719,367,2086,2771,75.28%,1588,427,2015
"District Judge, 80th Judicial District",0452,1871,662,2533,3789,66.85%,1663,761,2424
"District Judge, 80th Judicial District",0453,661,417,1078,2039,52.87%,281,733,1014
"District Judge, 80th Judicial District",0454,1043,288,1331,2509,53.05%,24,1265,1289
"District Judge, 80th Judicial District",0455,669,173,842,1713,49.15%,32,778,810
"District Judge, 80th Judicial District",0456,1404,553,1957,3793,51.60%,1012,848,1860
"District Judge, 80th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0458,914,253,1167,2025,57.63%,73,1047,1120
"District Judge, 80th Judicial District",0459,2362,432,2794,3942,70.88%,2065,618,2683
"District Judge, 80th Judicial District",0460,1613,472,2085,3280,63.57%,491,1522,2013
"District Judge, 80th Judicial District",0461,2242,669,2911,4054,71.81%,1682,1047,2729
"District Judge, 80th Judicial District",0462,1474,738,2212,3507,63.07%,713,1409,2122
"District Judge, 80th Judicial District",0463,1573,564,2237,3773,59.29%,834,1333,2167
"District Judge, 80th Judicial District",0464,967,582,1549,2343,66.11%,928,544,1472
"District Judge, 80th Judicial District",0465,1628,594,2222,3778,58.81%,965,1164,2129
"District Judge, 80th Judicial District",0466,2274,509,2783,4327,64.32%,1378,1306,2684
"District Judge, 80th Judicial District",0467,501,225,726,1320,55.00%,151,538,689
"District Judge, 80th Judicial District",0468,1379,747,2125,4040,52.62%,502,1522,2024
"District Judge, 80th Judicial District",0469,1857,462,2329,3257,71.51%,1727,502,2229
"District Judge, 80th Judicial District",0470,555,232,787,1358,57.95%,558,194,752
"District Judge, 80th Judicial District",0471,1057,458,1515,2473,61.26%,1119,338,1457
"District Judge, 80th Judicial District",0472,463,339,802,1131,70.91%,303,449,752
"District Judge, 80th Judicial District",0473,944,390,1334,1787,74.65%,865,400,1265
"District Judge, 80th Judicial District",0474,1417,624,2041,3127,65.27%,1291,665,1956
"District Judge, 80th Judicial District",0475,791,251,1052,1936,54.34%,407,587,994
"District Judge, 80th Judicial District",0476,1077,405,1482,2458,60.29%,748,660,1408
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0477,2027,640,2667,4010,66.51%,1792,764,2556
"District Judge, 80th Judicial District",0478,2271,683,2954,4696,62.90%,1800,1023,2823
"District Judge, 80th Judicial District",0479,1978,755,2733,3851,70.97%,1947,693,2640
"District Judge, 80th Judicial District",0480,1445,538,1983,2978,66.59%,1320,595,1915
"District Judge, 80th Judicial District",0481,1756,667,2423,3609,67.14%,1699,602,2301
"District Judge, 80th Judicial District",0482,2259,618,2877,4405,65.31%,1894,876,2770
"District Judge, 80th Judicial District",0483,2305,538,2843,4495,63.25%,1416,1283,2699
"District Judge, 80th Judicial District",0484,2020,700,2720,3981,68.32%,1651,960,2611
"District Judge, 80th Judicial District",0485,2118,567,2685,4051,66.28%,1876,717,2593
"District Judge, 80th Judicial District",0486,2310,721,3031,4195,72.25%,2233,675,2908
"District Judge, 80th Judicial District",0487,1405,527,1932,4142,46.64%,467,1307,1774
"District Judge, 80th Judicial District",0488,842,511,1353,2382,56.80%,362,926,1288
"District Judge, 80th Judicial District",0489,865,344,1209,1958,61.75%,315,834,1149
"District Judge, 80th Judicial District",0490,980,346,1326,2105,62.99%,379,873,1252
"District Judge, 80th Judicial District",0491,937,488,1425,2110,67.54%,713,630,1343
"District Judge, 80th Judicial District",0492,1217,396,1613,2552,63.21%,770,774,1544
"District Judge, 80th Judicial District",0493,1404,555,1959,3338,58.69%,702,1137,1839
"District Judge, 80th Judicial District",0494,1079,419,1498,2787,53.75%,179,1263,1442
"District Judge, 80th Judicial District",0495,1414,376,1790,2488,71.95%,1162,536,1698
"District Judge, 80th Judicial District",0496,687,549,1235,2325,53.16%,421,760,1181
"District Judge, 80th Judicial District",0497,915,281,1197,2148,55.73%,52,1104,1156
"District Judge, 80th Judicial District",0498,1069,423,1492,2527,59.04%,501,923,1424
"District Judge, 80th Judicial District",0499,1433,397,1830,2336,78.34%,1213,538,1751
"District Judge, 80th Judicial District",0500,1869,651,2520,3698,68.14%,1531,881,2412
"District Judge, 80th Judicial District",0501,1146,406,1552,2016,76.98%,609,843,1452
"District Judge, 80th Judicial District",0502,1355,293,1559,2595,63.93%,1253,329,1582
"District Judge, 80th Judicial District",0503,1397,306,1703,2236,76.16%,1238,383,1621
"District Judge, 80th Judicial District",0504,1270,482,1752,2318,75.58%,1065,604,1669
"District Judge, 80th Judicial District",0505,1750,735,2485,4076,60.97%,1046,1277,2323
"District Judge, 80th Judicial District",0506,1513,696,2209,3544,62.33%,321,1812,2133
"District Judge, 80th Judicial District",0507,599,319,918,2562,35.83%,198,615,813
"District Judge, 80th Judicial District",0508,1519,828,2347,4767,49.23%,630,1542,2172
"District Judge, 80th Judicial District",0509,2504,669,3173,5153,61.58%,1941,1105,3046
"District Judge, 80th Judicial District",0510,1701,666,2367,3822,61.93%,971,1303,2274
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0511,2933,574,3507,4620,75.91%,2100,1279,3379
"District Judge, 80th Judicial District",0512,1668,871,2539,4559,55.69%,943,1483,2426
"District Judge, 80th Judicial District",0513,1754,413,2187,3003,72.16%,1511,564,2075
"District Judge, 80th Judicial District",0514,2288,613,2899,4378,66.22%,1940,841,2781
"District Judge, 80th Judicial District",0515,1836,468,2304,3182,72.41%,1761,450,2211
"District Judge, 80th Judicial District",0516,1316,363,1679,2799,59.99%,791,818,1609
"District Judge, 80th Judicial District",0517,1610,509,2119,3744,56.60%,909,1119,2028
"District Judge, 80th Judicial District",0518,1886,676,2562,4049,63.27%,1442,1003,2445
"District Judge, 80th Judicial District",0519,1421,518,1939,3098,62.59%,1297,567,1864
"District Judge, 80th Judicial District",0520,1788,670,2456,5202,47.21%,364,2025,2389
"District Judge, 80th Judicial District",0521,1350,578,1928,3070,62.80%,876,976,1852
"District Judge, 80th Judicial District",0522,1508,464,1972,2815,70.05%,1401,513,1914
"District Judge, 80th Judicial District",0523,1978,537,2515,4027,62.45%,1501,885,2386
"District Judge, 80th Judicial District",0524,1392,637,2029,3598,56.39%,521,1418,1939
"District Judge, 80th Judicial District",0525,1440,574,2014,3260,61.78%,404,1512,1916
"District Judge, 80th Judicial District",0526,235,157,392,820,47.80%,78,286,364
"District Judge, 80th Judicial District",0527,156,38,194,580,33.45%,70,111,181
"District Judge, 80th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 80th Judicial District",0529,2107,434,2541,3842,66.14%,2068,368,2436
"District Judge, 80th Judicial District",0530,375,212,587,1236,47.49%,115,424,539
"District Judge, 80th Judicial District",0531,1234,166,1400,2250,62.22%,997,327,1324
"District Judge, 80th Judicial District",0532,478,140,618,1058,58.41%,411,195,606
"District Judge, 80th Judicial District",0533,352,169,521,1164,44.76%,251,239,490
"District Judge, 80th Judicial District",0534,1895,577,2472,3918,63.09%,1670,687,2357
"District Judge, 80th Judicial District",0535,132,62,194,413,46.97%,59,124,183
"District Judge, 80th Judicial District",0536,2104,1053,3157,5637,56.00%,1001,1973,2974
"District Judge, 80th Judicial District",0537,1958,464,2422,3174,76.31%,1667,656,2323
"District Judge, 80th Judicial District",0538,371,203,574,1332,43.09%,17,543,560
"District Judge, 80th Judicial District",0539,811,234,1045,1535,68.08%,552,439,991
"District Judge, 80th Judicial District",0540,997,349,1346,1759,76.52%,420,827,1247
"District Judge, 80th Judicial District",0541,2157,761,2918,5001,58.35%,445,2346,2791
"District Judge, 80th Judicial District",0542,1156,406,1562,2654,58.85%,102,1398,1500
"District Judge, 80th Judicial District",0543,553,321,874,1658,52.71%,209,617,826
"District Judge, 80th Judicial District",0544,84,54,138,313,44.09%,15,119,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0545,2015,468,2483,3949,62.88%,1063,1291,2354
"District Judge, 80th Judicial District",0546,1524,278,1802,2471,72.93%,1476,279,1755
"District Judge, 80th Judicial District",0547,1413,270,1683,2534,66.42%,1091,521,1612
"District Judge, 80th Judicial District",0548,882,395,1277,2339,54.60%,543,688,1231
"District Judge, 80th Judicial District",0549,1105,447,1552,2786,55.71%,192,1317,1509
"District Judge, 80th Judicial District",0550,1171,553,1724,3245,53.13%,695,972,1667
"District Judge, 80th Judicial District",0551,2586,793,3379,4428,76.31%,2471,766,3237
"District Judge, 80th Judicial District",0552,2090,784,2874,3762,76.40%,2258,517,2775
"District Judge, 80th Judicial District",0553,962,317,1279,2193,58.32%,484,751,1235
"District Judge, 80th Judicial District",0554,597,271,868,1774,48.93%,160,670,830
"District Judge, 80th Judicial District",0555,639,390,1029,2286,45.01%,168,815,983
"District Judge, 80th Judicial District",0556,759,435,1194,2491,47.93%,225,917,1142
"District Judge, 80th Judicial District",0557,925,460,1385,2955,46.87%,383,893,1276
"District Judge, 80th Judicial District",0558,1812,721,2533,4718,53.69%,722,1711,2433
"District Judge, 80th Judicial District",0559,1901,701,2602,4984,52.21%,573,1912,2485
"District Judge, 80th Judicial District",0560,290,247,537,1141,47.06%,94,408,502
"District Judge, 80th Judicial District",0561,1023,624,1647,3138,52.49%,941,622,1563
"District Judge, 80th Judicial District",0562,222,116,338,691,48.91%,39,269,308
"District Judge, 80th Judicial District",0563,2069,337,2406,3468,69.38%,1777,535,2312
"District Judge, 80th Judicial District",0564,1551,526,2077,3240,64.10%,516,1446,1962
"District Judge, 80th Judicial District",0565,336,148,484,1414,34.23%,76,385,461
"District Judge, 80th Judicial District",0566,1183,441,1624,3029,53.62%,393,1157,1550
"District Judge, 80th Judicial District",0567,965,390,1355,2851,47.53%,317,940,1257
"District Judge, 80th Judicial District",0568,1833,697,2530,3638,69.54%,1518,848,2366
"District Judge, 80th Judicial District",0569,2027,747,2774,4125,67.25%,1226,1375,2601
"District Judge, 80th Judicial District",0570,766,278,1044,1598,65.33%,364,604,968
"District Judge, 80th Judicial District",0571,521,314,835,1950,42.82%,242,543,785
"District Judge, 80th Judicial District",0572,1522,444,1966,3308,59.43%,814,1058,1872
"District Judge, 80th Judicial District",0573,489,215,704,1625,43.32%,15,676,691
"District Judge, 80th Judicial District",0574,112,74,186,391,47.57%,20,156,176
"District Judge, 80th Judicial District",0575,1905,535,2440,3557,68.60%,1304,1022,2326
"District Judge, 80th Judicial District",0576,1107,375,1482,2830,52.37%,79,1358,1437
"District Judge, 80th Judicial District",0577,885,205,1090,1586,68.73%,615,419,1034
"District Judge, 80th Judicial District",0578,1026,405,1431,1862,76.85%,802,533,1335
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0579,287,181,468,1139,41.09%,74,367,441
"District Judge, 80th Judicial District",0580,366,108,474,985,48.12%,17,450,467
"District Judge, 80th Judicial District",0581,456,137,593,1033,57.41%,16,556,572
"District Judge, 80th Judicial District",0582,543,232,775,1607,48.23%,48,698,746
"District Judge, 80th Judicial District",0583,433,155,588,1286,45.72%,13,562,575
"District Judge, 80th Judicial District",0584,367,120,487,1062,45.86%,33,434,467
"District Judge, 80th Judicial District",0585,829,280,1109,2346,47.27%,55,1022,1077
"District Judge, 80th Judicial District",0586,1790,790,2580,4521,57.07%,1417,1046,2463
"District Judge, 80th Judicial District",0587,1204,431,1635,2870,56.97%,524,1049,1573
"District Judge, 80th Judicial District",0588,1940,606,2546,3780,67.35%,1643,814,2457
"District Judge, 80th Judicial District",0589,1539,545,2084,3780,55.13%,959,1045,2004
"District Judge, 80th Judicial District",0590,1230,400,1630,2176,74.91%,1181,371,1552
"District Judge, 80th Judicial District",0591,651,462,1113,2274,48.94%,266,782,1048
"District Judge, 80th Judicial District",0592,449,272,721,1446,49.86%,155,531,686
"District Judge, 80th Judicial District",0593,1551,755,2316,4179,55.42%,877,1311,2188
"District Judge, 80th Judicial District",0594,1243,316,1559,2578,60.47%,409,1105,1514
"District Judge, 80th Judicial District",0595,600,299,899,1833,49.05%,134,733,867
"District Judge, 80th Judicial District",0596,1377,501,1878,3574,52.55%,827,952,1779
"District Judge, 80th Judicial District",0597,1204,609,1813,3587,50.54%,597,1119,1716
"District Judge, 80th Judicial District",0598,2389,731,3120,5253,59.39%,1038,1943,2981
"District Judge, 80th Judicial District",0599,1378,493,1871,3005,62.26%,623,1189,1812
"District Judge, 80th Judicial District",0600,1602,776,2378,4204,56.57%,763,1494,2257
"District Judge, 80th Judicial District",0601,2220,670,2890,4151,69.62%,2034,754,2788
"District Judge, 80th Judicial District",0602,754,234,988,1441,68.56%,655,299,954
"District Judge, 80th Judicial District",0603,2335,725,3060,4666,65.58%,1707,1236,2943
"District Judge, 80th Judicial District",0604,1816,375,2191,3189,68.70%,1785,306,2091
"District Judge, 80th Judicial District",0605,1711,599,2310,4217,54.78%,506,1689,2195
"District Judge, 80th Judicial District",0606,319,111,430,970,44.33%,8,410,418
"District Judge, 80th Judicial District",0607,163,51,214,712,30.06%,22,183,205
"District Judge, 80th Judicial District",0608,156,77,233,570,40.88%,75,145,220
"District Judge, 80th Judicial District",0609,2037,729,2766,4305,64.25%,1525,1125,2650
"District Judge, 80th Judicial District",0610,665,343,1008,2086,48.32%,391,557,948
"District Judge, 80th Judicial District",0611,980,229,1209,2527,47.84%,48,1133,1181
"District Judge, 80th Judicial District",0612,1927,431,2358,3388,69.60%,1707,548,2255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0613,937,339,1276,2368,53.89%,209,1013,1222
"District Judge, 80th Judicial District",0614,1949,645,2594,4566,56.81%,728,1743,2471
"District Judge, 80th Judicial District",0615,1075,301,1376,2086,65.96%,684,632,1316
"District Judge, 80th Judicial District",0616,1809,611,2420,3516,68.83%,1543,753,2296
"District Judge, 80th Judicial District",0617,1704,650,2354,4179,56.33%,757,1503,2260
"District Judge, 80th Judicial District",0618,1698,545,2243,3801,59.01%,892,1273,2165
"District Judge, 80th Judicial District",0619,2792,663,3455,4916,70.28%,2454,903,3357
"District Judge, 80th Judicial District",0620,1747,333,2080,3318,62.69%,1012,970,1982
"District Judge, 80th Judicial District",0621,536,200,736,1272,57.86%,302,397,699
"District Judge, 80th Judicial District",0622,2129,591,2720,4562,59.62%,1410,1189,2599
"District Judge, 80th Judicial District",0623,1960,461,2421,3919,61.78%,1459,858,2317
"District Judge, 80th Judicial District",0624,297,59,356,456,78.07%,265,80,345
"District Judge, 80th Judicial District",0625,924,372,1296,1864,69.53%,662,573,1235
"District Judge, 80th Judicial District",0626,2280,784,3064,4816,63.62%,1511,1398,2909
"District Judge, 80th Judicial District",0627,935,649,1584,3235,48.96%,389,1114,1503
"District Judge, 80th Judicial District",0628,716,545,1261,2420,52.11%,422,759,1181
"District Judge, 80th Judicial District",0629,162,96,258,750,34.40%,31,218,249
"District Judge, 80th Judicial District",0630,2662,541,3203,4738,67.60%,321,2793,3114
"District Judge, 80th Judicial District",0631,1841,398,2239,3263,68.62%,1423,722,2145
"District Judge, 80th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 80th Judicial District",0633,2286,601,2887,3912,73.80%,1910,872,2782
"District Judge, 80th Judicial District",0634,1435,499,1934,3259,59.34%,1069,793,1862
"District Judge, 80th Judicial District",0635,1645,520,2165,3512,61.65%,1548,515,2063
"District Judge, 80th Judicial District",0636,2303,922,3225,4569,70.58%,2747,364,3111
"District Judge, 80th Judicial District",0637,1095,423,1518,2591,58.59%,312,1081,1393
"District Judge, 80th Judicial District",0638,850,348,1198,2310,51.86%,93,1074,1167
"District Judge, 80th Judicial District",0639,1386,284,1670,2560,65.23%,1253,342,1595
"District Judge, 80th Judicial District",0640,1619,615,2234,3927,56.89%,1218,931,2149
"District Judge, 80th Judicial District",0641,1637,683,2320,3840,60.42%,1308,916,2224
"District Judge, 80th Judicial District",0642,1030,270,1300,1783,72.91%,980,276,1256
"District Judge, 80th Judicial District",0643,1948,593,2541,4189,60.66%,1159,1288,2447
"District Judge, 80th Judicial District",0644,2087,689,2776,4446,62.44%,1541,1122,2663
"District Judge, 80th Judicial District",0645,2145,769,2914,4517,64.51%,1156,1612,2768
"District Judge, 80th Judicial District",0646,925,399,1324,2422,54.67%,334,918,1252
