Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0075,1000,286,1286,1684,76.37%,533,668,1201
"District Judge, 80th Judicial District",0076,1015,427,1442,2441,59.07%,683,678,1361
"District Judge, 80th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 80th Judicial District",0078,618,254,872,1608,54.23%,209,591,800
"District Judge, 80th Judicial District",0079,831,602,1433,2963,48.36%,242,1077,1319
"District Judge, 80th Judicial District",0080,1174,466,1640,2840,57.75%,341,1205,1546
"District Judge, 80th Judicial District",0081,776,273,1049,1964,53.41%,293,696,989
"District Judge, 80th Judicial District",0082,1585,756,2341,3539,66.15%,1647,599,2246
"District Judge, 80th Judicial District",0083,1829,540,2369,4174,56.76%,869,1408,2277
"District Judge, 80th Judicial District",0084,573,257,830,1421,58.41%,570,233,803
"District Judge, 80th Judicial District",0085,587,329,916,2169,42.23%,40,838,878
"District Judge, 80th Judicial District",0086,2032,493,2525,3449,73.21%,1130,1242,2372
"District Judge, 80th Judicial District",0087,1451,719,2170,2839,76.44%,1198,845,2043
"District Judge, 80th Judicial District",0088,338,141,479,784,61.10%,305,149,454
"District Judge, 80th Judicial District",0089,398,424,822,1094,75.14%,412,354,766
"District Judge, 80th Judicial District",0090,1856,890,2746,3883,70.72%,1951,672,2623
"District Judge, 80th Judicial District",0091,673,339,1012,1724,58.70%,550,396,946
"District Judge, 80th Judicial District",0092,1263,474,1737,2260,76.86%,1072,565,1637
"District Judge, 80th Judicial District",0093,1048,619,1667,3536,47.14%,473,1111,1584
"District Judge, 80th Judicial District",0094,202,83,285,580,45.69%,47,203,250
"District Judge, 80th Judicial District",0095,2022,534,2556,3394,75.31%,1569,869,2438
"District Judge, 80th Judicial District",0096,828,306,1134,2060,55.05%,153,929,1082
"District Judge, 80th Judicial District",0097,2511,467,2978,4414,67.47%,2189,655,2844
"District Judge, 80th Judicial District",0098,1385,594,1979,3161,62.61%,1599,306,1905
"District Judge, 80th Judicial District",0099,681,295,976,2192,44.53%,401,536,937
"District Judge, 80th Judicial District",0100,529,276,805,1825,44.11%,312,460,772
"District Judge, 80th Judicial District",0101,221,129,350,988,35.43%,83,254,337
"District Judge, 80th Judicial District",0102,580,227,807,1907,42.32%,199,562,761
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0103,2140,985,3125,5097,61.31%,1472,1542,3014
"District Judge, 80th Judicial District",0104,913,211,1124,1920,58.54%,24,1074,1098
"District Judge, 80th Judicial District",0105,709,433,1142,2304,49.57%,278,785,1063
"District Judge, 80th Judicial District",0106,73,59,132,299,44.15%,45,85,130
"District Judge, 80th Judicial District",0107,592,403,995,2230,44.62%,147,805,952
"District Judge, 80th Judicial District",0108,1461,448,1909,3674,51.96%,887,910,1797
"District Judge, 80th Judicial District",0109,1098,278,1376,2909,47.30%,38,1290,1328
"District Judge, 80th Judicial District",0110,1661,481,2142,3222,66.48%,1203,854,2057
"District Judge, 80th Judicial District",0111,2699,866,3565,4792,74.39%,2450,973,3423
"District Judge, 80th Judicial District",0112,1507,598,2105,3188,66.03%,1363,649,2012
"District Judge, 80th Judicial District",0113,1307,418,1725,2718,63.47%,863,796,1659
"District Judge, 80th Judicial District",0114,2290,506,2796,3885,71.97%,2001,687,2688
"District Judge, 80th Judicial District",0115,609,272,881,1843,47.80%,78,764,842
"District Judge, 80th Judicial District",0116,1898,599,2497,3194,78.18%,1761,627,2388
"District Judge, 80th Judicial District",0117,573,379,952,1900,50.11%,325,562,887
"District Judge, 80th Judicial District",0118,1823,530,2353,3181,73.97%,1180,1056,2236
"District Judge, 80th Judicial District",0119,2755,409,3164,4682,67.58%,2421,610,3031
"District Judge, 80th Judicial District",0120,1804,588,2392,3732,64.09%,1373,904,2277
"District Judge, 80th Judicial District",0121,354,221,575,966,59.52%,350,207,557
"District Judge, 80th Judicial District",0122,732,284,1016,1904,53.36%,51,923,974
"District Judge, 80th Judicial District",0123,749,287,1036,1585,65.36%,255,726,981
"District Judge, 80th Judicial District",0124,3136,888,4024,5393,74.62%,3110,800,3910
"District Judge, 80th Judicial District",0125,1207,400,1607,2593,61.97%,835,700,1535
"District Judge, 80th Judicial District",0126,2017,427,2444,3380,72.31%,2036,321,2357
"District Judge, 80th Judicial District",0127,978,214,1192,2091,57.01%,814,316,1130
"District Judge, 80th Judicial District",0128,1107,612,1719,2322,74.03%,947,643,1590
"District Judge, 80th Judicial District",0129,2540,1052,3592,5172,69.45%,1950,1462,3412
"District Judge, 80th Judicial District",0130,1310,433,1743,2289,76.15%,1169,494,1663
"District Judge, 80th Judicial District",0131,798,371,1169,2147,54.45%,240,893,1133
"District Judge, 80th Judicial District",0132,1028,322,1350,2378,56.77%,44,1278,1322
"District Judge, 80th Judicial District",0133,1411,746,2157,2690,80.19%,1078,928,2006
"District Judge, 80th Judicial District",0134,593,345,938,1513,62.00%,358,527,885
"District Judge, 80th Judicial District",0135,1614,551,2165,2777,77.96%,1251,792,2043
"District Judge, 80th Judicial District",0136,982,352,1334,2116,63.04%,76,1201,1277
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0137,993,259,1252,1986,63.04%,817,384,1201
"District Judge, 80th Judicial District",0138,600,228,828,1723,48.06%,32,772,804
"District Judge, 80th Judicial District",0139,1939,601,2540,3435,73.94%,1068,1300,2368
"District Judge, 80th Judicial District",0140,1513,510,2023,3270,61.87%,305,1610,1915
"District Judge, 80th Judicial District",0141,217,153,370,904,40.93%,191,152,343
"District Judge, 80th Judicial District",0142,293,140,433,933,46.41%,90,308,398
"District Judge, 80th Judicial District",0143,1868,267,2135,2582,82.69%,1368,700,2068
"District Judge, 80th Judicial District",0144,442,125,567,1086,52.21%,19,528,547
"District Judge, 80th Judicial District",0145,560,256,816,1564,52.17%,17,776,793
"District Judge, 80th Judicial District",0146,1000,494,1494,2073,72.07%,581,831,1412
"District Judge, 80th Judicial District",0147,1411,354,1765,3211,54.97%,207,1498,1705
"District Judge, 80th Judicial District",0148,1265,652,1917,2571,74.56%,655,1129,1784
"District Judge, 80th Judicial District",0149,2938,573,3511,4756,73.82%,1887,1504,3391
"District Judge, 80th Judicial District",0150,582,223,805,1574,51.14%,34,740,774
"District Judge, 80th Judicial District",0151,282,107,389,826,47.09%,18,353,371
"District Judge, 80th Judicial District",0152,838,524,1362,3059,44.52%,264,1016,1280
"District Judge, 80th Judicial District",0153,544,399,943,1873,50.35%,202,691,893
"District Judge, 80th Judicial District",0154,913,289,1202,2293,52.42%,223,884,1107
"District Judge, 80th Judicial District",0155,2275,576,2851,4065,70.14%,1732,991,2723
"District Judge, 80th Judicial District",0156,1413,403,1816,3223,56.35%,92,1640,1732
"District Judge, 80th Judicial District",0157,880,278,1158,2265,51.13%,65,1058,1123
"District Judge, 80th Judicial District",0158,1143,365,1508,3049,49.46%,39,1426,1465
"District Judge, 80th Judicial District",0159,348,147,495,997,49.65%,70,407,477
"District Judge, 80th Judicial District",0160,286,67,353,717,49.23%,12,327,339
"District Judge, 80th Judicial District",0161,378,173,551,992,55.54%,14,517,531
