Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Bellaire, PROPOSITION TWO",0128,1107,612,1719,2322,74.03%,1022,504,1526
"City of Bellaire, PROPOSITION TWO",0182,1663,895,2558,3451,74.12%,1549,756,2305
"City of Bellaire, PROPOSITION TWO",0214,1015,418,1434,1911,75.04%,826,411,1237
"City of Bellaire, PROPOSITION TWO",0215,1095,636,1732,2286,75.77%,978,513,1491
"City of Bellaire, PROPOSITION TWO",0268,1174,689,1863,2528,73.69%,1160,487,1647
"City of Bellaire, PROPOSITION TWO",Totals;,6056,3250,9306,12498,5535,2671,8206
