Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Jo Ann Delgado,Totals
"Justice of the Peace, Precinct 2, Place 1",0811,82,68,150,277,54.15%,126,126
"Justice of the Peace, Precinct 2, Place 1",0812,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0815,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0816,23,10,33,64,51.56%,26,26
"Justice of the Peace, Precinct 2, Place 1",0818,208,104,312,737,42.33%,245,245
"Justice of the Peace, Precinct 2, Place 1",0821,362,188,550,1295,42.47%,484,484
"Justice of the Peace, Precinct 2, Place 1",0838,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0842,1338,513,1851,3390,54.60%,1258,1258
"Justice of the Peace, Precinct 2, Place 1",0843,595,298,893,1387,64.38%,729,729
"Justice of the Peace, Precinct 2, Place 1",0845,151,13,164,218,75.23%,64,64
"Justice of the Peace, Precinct 2, Place 1",0849,731,455,1186,2272,52.20%,886,886
"Justice of the Peace, Precinct 2, Place 1",0850,129,19,148,208,71.15%,102,102
"Justice of the Peace, Precinct 2, Place 1",0857,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0860,1,1,2,0,0.00%,2,2
"Justice of the Peace, Precinct 2, Place 1",0905,390,136,526,946,55.60%,369,369
"Justice of the Peace, Precinct 2, Place 1",0908,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0925,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 1",0935,12,9,21,55,38.18%,13,13
"Justice of the Peace, Precinct 2, Place 1",0996,403,70,473,708,66.81%,288,288
"Justice of the Peace, Precinct 2, Place 1",Totals:,50863,23243,74106,135882,51107,51107
