Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0503,1397,306,1703,2236,76.16%,1244,386,1630
"Justice of the Peace, Precinct 4, Place 1",0513,1754,413,2167,3003,72.16%,1540,532,2072
"Justice of the Peace, Precinct 4, Place 1",0514,2286,613,2899,4378,66.22%,1967,819,2786
"Justice of the Peace, Precinct 4, Place 1",0515,1835,468,2304,3182,72.41%,1805,415,2220
"Justice of the Peace, Precinct 4, Place 1",0516,1316,363,1679,2799,59.99%,811,805,1616
"Justice of the Peace, Precinct 4, Place 1",0518,1886,676,2562,4049,63.27%,1448,993,2441
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0519,1421,518,1939,3098,62.59%,1291,568,1859
"Justice of the Peace, Precinct 4, Place 1",0520,1786,670,2456,5202,47.21%,373,2027,2400
"Justice of the Peace, Precinct 4, Place 1",0529,2107,434,2541,3842,66.14%,2059,374,2433
"Justice of the Peace, Precinct 4, Place 1",0539,811,234,1045,1535,68.08%,554,441,995
"Justice of the Peace, Precinct 4, Place 1",0546,1524,278,1802,2471,72.93%,1508,243,1751
"Justice of the Peace, Precinct 4, Place 1",0548,882,395,1277,2339,54.60%,557,678,1235
"Justice of the Peace, Precinct 4, Place 1",0549,1105,447,1552,2786,55.71%,189,1318,1507
"Justice of the Peace, Precinct 4, Place 1",0550,1171,553,1724,3245,53.13%,714,953,1667
"Justice of the Peace, Precinct 4, Place 1",0551,2586,793,3379,4428,76.31%,2614,657,3271
"Justice of the Peace, Precinct 4, Place 1",0552,2090,784,2874,3762,76.40%,2270,494,2764
"Justice of the Peace, Precinct 4, Place 1",0563,2069,337,2406,3468,69.38%,1806,497,2303
"Justice of the Peace, Precinct 4, Place 1",0575,1905,535,2440,3557,68.60%,1323,1002,2325
"Justice of the Peace, Precinct 4, Place 1",0586,1790,790,2580,4521,57.07%,1406,1061,2467
"Justice of the Peace, Precinct 4, Place 1",0587,1204,431,1535,2870,56.97%,522,1051,1573
"Justice of the Peace, Precinct 4, Place 1",0588,1940,606,2546,3780,67.35%,1645,812,2457
"Justice of the Peace, Precinct 4, Place 1",0590,1230,400,1630,2176,74.91%,1245,307,1552
"Justice of the Peace, Precinct 4, Place 1",0592,449,272,721,1446,49.86%,148,540,688
"Justice of the Peace, Precinct 4, Place 1",0596,1377,501,1878,3574,52.55%,805,977,1782
"Justice of the Peace, Precinct 4, Place 1",0597,1204,609,1813,3587,50.54%,614,1113,1727
"Justice of the Peace, Precinct 4, Place 1",0599,1378,493,1871,3005,62.26%,619,1192,1811
"Justice of the Peace, Precinct 4, Place 1",0601,2220,670,2890,4151,69.62%,2073,727,2800
"Justice of the Peace, Precinct 4, Place 1",0602,754,234,988,1441,68.56%,658,292,950
"Justice of the Peace, Precinct 4, Place 1",0609,2037,729,2766,4305,64.25%,1561,1073,2634
"Justice of the Peace, Precinct 4, Place 1",0612,1927,431,2358,3388,69.60%,1730,519,2249
"Justice of the Peace, Precinct 4, Place 1",0613,937,339,1276,2368,53.89%,206,1019,1225
"Justice of the Peace, Precinct 4, Place 1",0614,1949,645,2594,4566,56.81%,742,1749,2491
"Justice of the Peace, Precinct 4, Place 1",0615,1075,301,1376,2086,65.96%,711,605,1316
"Justice of the Peace, Precinct 4, Place 1",0623,1960,461,2421,3919,61.78%,1480,831,2311
