Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0066,247,255,502,1135,44.23%,104,364,6,7,481
"Justice, Supreme Court, Place 9",0067,944,521,1465,3019,48.53%,348,988,26,16,1378
"Justice, Supreme Court, Place 9",0068,1172,430,1602,3096,51.74%,41,1488,10,15,1554
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0069,375,222,597,1309,45.61%,136,400,9,11,556
"Justice, Supreme Court, Place 9",0070,2297,670,2967,3815,77.77%,1742,1003,87,24,2856
"Justice, Supreme Court, Place 9",0071,2719,947,3666,5016,73.09%,1744,1523,221,36,3524
"Justice, Supreme Court, Place 9",0072,737,418,1155,2029,56.92%,357,707,22,20,1106
"Justice, Supreme Court, Place 9",0073,813,282,1095,1621,67.55%,577,406,37,23,1043
"Justice, Supreme Court, Place 9",0074,2503,268,2771,3578,77.45%,2039,561,60,21,2681
"Justice, Supreme Court, Place 9",0075,1002,286,1288,1684,76.48%,567,570,68,27,1232
"Justice, Supreme Court, Place 9",0076,1015,427,1442,2441,59.07%,717,624,30,18,1389
"Justice, Supreme Court, Place 9",0077,2,5,7,17,41.18%,2,5,0,0,7
"Justice, Supreme Court, Place 9",0078,619,254,873,1608,54.29%,260,517,28,13,818
"Justice, Supreme Court, Place 9",0079,831,602,1433,2963,48.36%,318,977,29,29,1353
"Justice, Supreme Court, Place 9",0080,1175,466,1641,2840,57.78%,391,1145,18,14,1568
"Justice, Supreme Court, Place 9",0081,776,273,1049,1964,53.41%,316,648,13,17,994
"Justice, Supreme Court, Place 9",0082,1588,756,2344,3539,66.23%,1611,555,88,24,2278
"Justice, Supreme Court, Place 9",0083,1834,540,2374,4174,56.88%,895,1335,53,22,2305
"Justice, Supreme Court, Place 9",0084,573,257,830,1421,58.41%,567,214,20,12,813
"Justice, Supreme Court, Place 9",0085,603,329,932,2169,42.97%,40,838,11,18,907
"Justice, Supreme Court, Place 9",0086,2040,493,2533,3449,73.44%,1165,1088,131,43,2427
"Justice, Supreme Court, Place 9",0087,1452,719,2171,2839,76.47%,1408,615,54,11,2088
"Justice, Supreme Court, Place 9",0088,338,141,479,784,61.10%,292,143,17,6,458
"Justice, Supreme Court, Place 9",0089,399,424,823,1094,75.23%,490,255,28,11,784
"Justice, Supreme Court, Place 9",0090,1860,890,2750,3883,70.82%,1940,598,108,31,2677
"Justice, Supreme Court, Place 9",0091,673,339,1012,1724,58.70%,546,354,36,30,966
"Justice, Supreme Court, Place 9",0092,1266,474,1740,2260,76.99%,1099,501,67,18,1685
"Justice, Supreme Court, Place 9",0093,1049,619,1668,3536,47.17%,525,1039,25,23,1612
"Justice, Supreme Court, Place 9",0094,202,63,265,580,45.69%,57,185,10,4,256
"Justice, Supreme Court, Place 9",0095,2025,534,2560,3394,75.43%,1629,741,92,28,2490
"Justice, Supreme Court, Place 9",0096,828,306,1134,2060,55.05%,171,887,22,11,1091
"Justice, Supreme Court, Place 9",0097,2515,467,2982,4414,67.56%,2142,622,89,40,2893
"Justice, Supreme Court, Place 9",0098,1385,594,1979,3161,62.61%,1557,285,54,24,1920
"Justice, Supreme Court, Place 9",0099,681,295,976,2192,44.53%,402,492,23,22,939
"Justice, Supreme Court, Place 9",0100,531,276,807,1825,44.22%,319,426,24,14,783
"Justice, Supreme Court, Place 9",0101,221,129,350,988,35.43%,86,238,8,8,340
"Justice, Supreme Court, Place 9",0102,581,227,808,1907,42.37%,209,529,16,19,773
