Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0078,618,254,872,1608,54.23%,251,571,822
County Tax Assessor-Collector,0079,831,602,1433,2963,48.36%,307,1042,1349
County Tax Assessor-Collector,0080,1174,466,1640,2840,57.75%,397,1174,1571
County Tax Assessor-Collector,0081,776,273,1049,1964,53.41%,329,670,999
County Tax Assessor-Collector,0082,1585,756,2341,3539,66.15%,1687,583,2270
County Tax Assessor-Collector,0083,1829,540,2369,4174,56.76%,927,1374,2301
County Tax Assessor-Collector,0084,573,257,830,1421,58.41%,583,223,806
County Tax Assessor-Collector,0085,587,329,916,2169,42.23%,54,836,890
County Tax Assessor-Collector,0086,2032,493,2525,3449,73.21%,1270,1149,2419
County Tax Assessor-Collector,0087,1451,719,2170,2839,76.44%,1345,742,2087
County Tax Assessor-Collector,0088,338,141,479,784,61.10%,323,138,461
County Tax Assessor-Collector,0089,398,424,822,1094,75.14%,464,323,787
County Tax Assessor-Collector,0090,1856,890,2746,3883,70.72%,2042,623,2665
County Tax Assessor-Collector,0091,673,339,1012,1724,58.70%,571,391,962
County Tax Assessor-Collector,0092,1263,474,1737,2260,76.86%,1176,515,1691
County Tax Assessor-Collector,0093,1048,619,1667,3536,47.14%,522,1071,1593
County Tax Assessor-Collector,0094,202,63,265,580,45.69%,55,200,255
County Tax Assessor-Collector,0095,2022,534,2556,3394,75.31%,1676,809,2485
County Tax Assessor-Collector,0096,828,306,1134,2060,55.05%,193,906,1099
County Tax Assessor-Collector,0097,2511,467,2978,4414,67.47%,2239,651,2890
County Tax Assessor-Collector,0098,1385,594,1979,3161,62.61%,1648,284,1932
County Tax Assessor-Collector,0099,681,295,976,2192,44.53%,411,529,940
County Tax Assessor-Collector,0100,529,276,805,1825,44.11%,337,447,784
County Tax Assessor-Collector,0101,221,129,350,988,35.43%,87,251,338
County Tax Assessor-Collector,0102,580,227,807,1907,42.32%,221,551,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0103,2140,985,3125,5097,61.31%,1567,1486,3053
County Tax Assessor-Collector,0104,913,211,1124,1920,58.54%,46,1056,1102
County Tax Assessor-Collector,0105,709,433,1142,2304,49.57%,332,756,1088
County Tax Assessor-Collector,0106,73,59,132,299,44.15%,46,85,131
County Tax Assessor-Collector,0107,592,403,995,2230,44.62%,184,778,962
County Tax Assessor-Collector,0108,1461,448,1909,3674,51.96%,939,879,1818
County Tax Assessor-Collector,0109,1098,278,1376,2909,47.30%,49,1290,1339
County Tax Assessor-Collector,0110,1661,481,2142,3222,66.48%,1266,823,2089
County Tax Assessor-Collector,0111,2699,866,3565,4792,74.39%,2502,951,3453
County Tax Assessor-Collector,0112,1507,598,2105,3188,66.03%,1398,635,2033
County Tax Assessor-Collector,0113,1307,418,1725,2718,63.47%,927,749,1676
County Tax Assessor-Collector,0114,2290,506,2796,3885,71.97%,2053,653,2706
County Tax Assessor-Collector,0115,609,272,881,1843,47.80%,96,745,841
County Tax Assessor-Collector,0116,1898,599,2497,3194,78.18%,1906,520,2426
County Tax Assessor-Collector,0117,573,379,952,1900,50.11%,359,547,906
County Tax Assessor-Collector,0118,1823,530,2353,3181,73.97%,1306,979,2285
County Tax Assessor-Collector,0119,2755,409,3164,4682,67.58%,2486,584,3070
County Tax Assessor-Collector,0120,1804,588,2392,3732,64.09%,1438,872,2310
County Tax Assessor-Collector,0121,354,221,575,966,59.52%,362,200,562
County Tax Assessor-Collector,0122,732,284,1016,1904,53.36%,61,918,979
County Tax Assessor-Collector,0123,749,287,1036,1585,65.36%,286,710,996
County Tax Assessor-Collector,0124,3136,888,4024,5393,74.62%,3188,757,3945
County Tax Assessor-Collector,0125,1207,400,1607,2593,61.97%,866,690,1556
County Tax Assessor-Collector,0126,2017,427,2444,3380,72.31%,2081,297,2378
County Tax Assessor-Collector,0127,978,214,1192,2091,57.01%,844,305,1149
County Tax Assessor-Collector,0128,1107,612,1719,2322,74.03%,1076,566,1642
County Tax Assessor-Collector,0129,2540,1052,3592,5172,69.45%,2125,1334,3459
County Tax Assessor-Collector,0130,1310,433,1743,2289,76.15%,1235,454,1689
County Tax Assessor-Collector,0131,798,371,1169,2147,54.45%,263,878,1141
County Tax Assessor-Collector,0132,1028,322,1350,2378,56.77%,65,1260,1325
County Tax Assessor-Collector,0133,1411,746,2157,2690,80.19%,1226,833,2059
County Tax Assessor-Collector,0134,593,345,938,1513,62.00%,399,501,900
County Tax Assessor-Collector,0135,1514,551,2165,2777,77.96%,1393,683,2076
County Tax Assessor-Collector,0136,982,352,1334,2116,63.04%,108,1183,1291
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0137,993,259,1252,1986,63.04%,832,380,1212
County Tax Assessor-Collector,0138,600,228,828,1723,48.06%,51,758,809
County Tax Assessor-Collector,0139,1939,601,2540,3435,73.94%,1240,1170,2410
County Tax Assessor-Collector,0140,1513,510,2023,3270,61.87%,356,1577,1933
County Tax Assessor-Collector,0141,217,153,370,904,40.93%,210,143,353
County Tax Assessor-Collector,0142,293,140,433,933,46.41%,104,302,406
County Tax Assessor-Collector,0143,1868,267,2135,2582,82.69%,1413,678,2091
County Tax Assessor-Collector,0144,442,125,567,1086,52.21%,26,525,551
County Tax Assessor-Collector,0145,560,256,816,1564,52.17%,21,768,789
County Tax Assessor-Collector,0146,1000,494,1494,2073,72.07%,683,764,1447
County Tax Assessor-Collector,0147,1411,354,1765,3211,54.97%,248,1471,1719
County Tax Assessor-Collector,0148,1265,652,1917,2571,74.56%,786,1035,1821
County Tax Assessor-Collector,0149,2938,573,3511,4756,73.82%,1961,1461,3422
County Tax Assessor-Collector,0150,582,223,805,1574,51.14%,43,734,777
County Tax Assessor-Collector,0151,282,107,389,826,47.09%,22,353,375
County Tax Assessor-Collector,0152,838,524,1362,3059,44.52%,319,977,1296
County Tax Assessor-Collector,0153,544,399,943,1873,50.35%,235,672,907
County Tax Assessor-Collector,0154,913,289,1202,2293,52.42%,291,846,1137
County Tax Assessor-Collector,0155,2275,576,2851,4065,70.14%,1780,975,2755
County Tax Assessor-Collector,0156,1413,403,1815,3223,56.35%,134,1626,1760
County Tax Assessor-Collector,0157,880,278,1158,2265,51.13%,77,1052,1129
County Tax Assessor-Collector,0158,1143,365,1508,3049,49.46%,55,1419,1474
County Tax Assessor-Collector,0159,348,147,495,997,49.65%,81,397,478
County Tax Assessor-Collector,0160,286,67,353,717,49.23%,15,324,339
County Tax Assessor-Collector,0161,378,173,551,992,55.54%,24,510,534
County Tax Assessor-Collector,0162,364,267,631,1312,48.09%,174,421,595
County Tax Assessor-Collector,0163,1080,524,1604,3075,52.16%,502,965,1467
County Tax Assessor-Collector,0164,441,258,699,1407,49.68%,37,642,679
County Tax Assessor-Collector,0165,1169,469,1638,2460,66.59%,957,612,1569
County Tax Assessor-Collector,0166,562,261,823,1171,70.28%,310,482,792
County Tax Assessor-Collector,0167,5,2,7,24,29.17%,0,6,6
County Tax Assessor-Collector,0168,196,59,255,512,49.80%,5,246,251
County Tax Assessor-Collector,0169,985,247,1232,2548,48.35%,60,1140,1200
County Tax Assessor-Collector,0170,553,262,925,1958,47.24%,428,436,864
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0171,482,283,765,1648,46.42%,59,677,736
County Tax Assessor-Collector,0172,245,103,348,661,52.65%,105,232,337
County Tax Assessor-Collector,0173,2259,683,2942,3966,74.18%,2216,635,2851
County Tax Assessor-Collector,0174,1718,707,2423,3389,71.50%,1639,698,2337
County Tax Assessor-Collector,0175,1402,691,2093,2711,77.20%,1100,913,2013
County Tax Assessor-Collector,0176,767,375,1142,1533,74.49%,591,493,1084
County Tax Assessor-Collector,0177,937,333,1270,1715,74.05%,720,484,1204
County Tax Assessor-Collector,0178,1116,273,1389,1795,77.38%,930,396,1326
County Tax Assessor-Collector,0179,771,244,1015,1673,60.67%,495,468,963
County Tax Assessor-Collector,0180,928,463,1391,2914,47.74%,74,1265,1339
County Tax Assessor-Collector,0181,697,439,1136,2195,51.75%,290,800,1090
County Tax Assessor-Collector,0182,1943,994,2937,4071,72.14%,1639,1148,2787
County Tax Assessor-Collector,0183,1286,715,2001,2535,78.93%,1296,618,1914
County Tax Assessor-Collector,0184,278,219,497,1048,47.42%,145,328,473
County Tax Assessor-Collector,0185,709,444,1153,2054,56.13%,329,770,1099
County Tax Assessor-Collector,0186,252,150,402,798,50.38%,45,345,390
County Tax Assessor-Collector,0187,96,51,147,309,47.57%,29,107,136
County Tax Assessor-Collector,0188,499,306,805,1711,47.05%,276,497,773
County Tax Assessor-Collector,0189,804,279,1083,1505,71.96%,627,411,1038
