Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0338,1626,632,2258,5001,45.15%,621,1546,2167
County Tax Assessor-Collector,0339,704,303,1007,1909,52.75%,225,734,959
County Tax Assessor-Collector,0340,2040,654,2694,4012,67.15%,1940,679,2619
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0341,380,278,658,1372,47.96%,172,452,624
County Tax Assessor-Collector,0342,311,225,536,1092,49.08%,129,381,510
County Tax Assessor-Collector,0343,722,370,1092,2099,52.02%,249,793,1042
County Tax Assessor-Collector,0344,381,207,588,1225,48.00%,43,522,565
County Tax Assessor-Collector,0345,575,349,924,1945,47.51%,202,670,872
County Tax Assessor-Collector,0346,1,0,1,1,100.00%,0,0,0
County Tax Assessor-Collector,0347,1461,618,2079,3614,57.53%,1230,789,2019
County Tax Assessor-Collector,0348,830,242,1072,1796,59.69%,741,303,1044
County Tax Assessor-Collector,0349,458,369,827,1372,60.28%,497,307,804
County Tax Assessor-Collector,0350,1674,582,2256,3269,69.01%,861,1259,2120
County Tax Assessor-Collector,0351,2855,570,3425,4799,71.37%,2603,730,3333
County Tax Assessor-Collector,0352,2023,538,2561,4278,59.86%,1797,679,2476
County Tax Assessor-Collector,0353,1715,659,2374,4156,57.12%,465,1844,2309
County Tax Assessor-Collector,0354,1569,429,1998,3520,56.76%,534,1397,1931
County Tax Assessor-Collector,0355,821,239,1060,1714,61.84%,134,900,1034
County Tax Assessor-Collector,0356,1542,582,2124,3126,67.95%,1201,835,2036
County Tax Assessor-Collector,0357,1882,557,2439,3685,66.19%,1782,576,2358
County Tax Assessor-Collector,0358,775,376,1151,2634,43.70%,150,962,1112
County Tax Assessor-Collector,0359,803,496,1299,3320,39.13%,151,1111,1262
County Tax Assessor-Collector,0360,1858,597,2455,3309,74.19%,1198,1138,2336
County Tax Assessor-Collector,0361,323,688,1011,1808,55.92%,163,751,914
County Tax Assessor-Collector,0362,2865,553,3418,5161,66.23%,2398,919,3317
County Tax Assessor-Collector,0363,1826,635,2461,4160,59.16%,1021,1389,2410
County Tax Assessor-Collector,0364,1190,528,1718,2827,60.77%,813,837,1650
County Tax Assessor-Collector,0365,827,174,1001,1348,74.26%,139,840,979
County Tax Assessor-Collector,0366,988,524,1512,2887,52.37%,341,1114,1455
County Tax Assessor-Collector,0367,453,204,657,1256,52.31%,165,463,628
County Tax Assessor-Collector,0368,433,122,555,1024,54.20%,155,384,539
County Tax Assessor-Collector,0369,132,29,161,678,23.75%,60,93,153
County Tax Assessor-Collector,0370,2525,627,3152,4531,69.57%,2295,779,3074
County Tax Assessor-Collector,0371,210,78,288,537,53.63%,16,267,283
County Tax Assessor-Collector,0372,509,180,689,1274,54.08%,95,573,668
County Tax Assessor-Collector,0373,61,13,74,163,45.40%,3,67,70
County Tax Assessor-Collector,0374,176,165,341,720,47.36%,88,243,331
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0375,745,510,1255,2836,44.25%,476,725,1201
County Tax Assessor-Collector,0376,753,344,1097,2060,53.25%,431,620,1051
County Tax Assessor-Collector,0377,1381,643,2024,3137,64.52%,1537,424,1961
County Tax Assessor-Collector,0378,621,447,1068,1856,57.54%,658,386,1044
County Tax Assessor-Collector,0379,857,388,1245,2149,57.93%,135,1076,1211
County Tax Assessor-Collector,0380,2732,551,3283,4380,74.95%,1782,1417,3199
County Tax Assessor-Collector,0381,1185,432,1517,3141,51.48%,669,891,1560
County Tax Assessor-Collector,0382,429,206,635,1035,61.35%,398,217,615
County Tax Assessor-Collector,0383,722,458,1180,2373,49.73%,384,748,1132
County Tax Assessor-Collector,0384,1152,444,1596,2725,58.57%,388,1154,1542
County Tax Assessor-Collector,0385,1141,561,1702,2207,77.12%,1289,356,1645
County Tax Assessor-Collector,0386,1658,419,2077,3105,66.89%,1492,542,2034
County Tax Assessor-Collector,0387,1702,780,2482,4340,57.19%,1687,724,2411
County Tax Assessor-Collector,0388,2899,711,3510,5413,66.69%,1728,1770,3498
County Tax Assessor-Collector,0389,397,293,690,1359,50.77%,108,545,653
County Tax Assessor-Collector,0390,698,271,969,1482,65.38%,151,791,942
County Tax Assessor-Collector,0391,986,336,1322,1978,66.84%,792,489,1281
County Tax Assessor-Collector,0392,652,145,797,1426,55.89%,30,745,775
County Tax Assessor-Collector,0393,427,257,684,1274,53.69%,337,322,659
County Tax Assessor-Collector,0394,236,126,362,914,39.61%,130,215,345
County Tax Assessor-Collector,0395,1007,371,1378,1875,73.49%,938,404,1342
County Tax Assessor-Collector,0396,1035,204,1239,2072,59.80%,51,1157,1208
County Tax Assessor-Collector,0397,204,117,321,796,40.33%,120,185,305
County Tax Assessor-Collector,0398,1761,654,2415,4200,57.50%,1102,1233,2335
County Tax Assessor-Collector,0399,1291,546,1837,3340,55.00%,712,1078,1790
County Tax Assessor-Collector,0400,1457,372,1839,2661,69.11%,1185,604,1789
County Tax Assessor-Collector,0401,703,257,960,1971,48.71%,66,856,922
County Tax Assessor-Collector,0402,897,262,1159,1911,60.65%,87,1044,1131
County Tax Assessor-Collector,0403,959,387,1346,1719,78.30%,729,560,1289
County Tax Assessor-Collector,0404,1033,445,1478,2717,54.40%,731,706,1437
County Tax Assessor-Collector,0405,1910,457,2367,3067,77.18%,1791,538,2329
County Tax Assessor-Collector,0406,275,65,340,649,52.39%,10,319,329
County Tax Assessor-Collector,0407,1703,860,2563,3969,64.58%,1560,905,2465
County Tax Assessor-Collector,0408,520,313,833,1740,47.87%,293,495,788
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0409,501,280,781,1608,48.57%,251,493,744
County Tax Assessor-Collector,0410,381,96,477,934,51.07%,95,368,463
County Tax Assessor-Collector,0411,699,418,1117,2426,46.04%,322,748,1070
County Tax Assessor-Collector,0412,156,80,236,478,49.37%,15,215,230
County Tax Assessor-Collector,0413,1546,456,2002,3081,64.98%,801,1135,1936
County Tax Assessor-Collector,0414,1573,514,2087,3586,58.20%,1530,502,2032
County Tax Assessor-Collector,0415,1076,573,1649,2284,72.20%,1138,457,1595
County Tax Assessor-Collector,0416,1443,845,2288,4009,57.07%,1155,1047,2202
County Tax Assessor-Collector,0417,1104,397,1501,2589,57.98%,664,785,1449
County Tax Assessor-Collector,0418,1336,663,1999,3940,50.74%,684,1208,1892
County Tax Assessor-Collector,0419,1166,477,1643,2702,60.81%,969,626,1595
County Tax Assessor-Collector,0420,2687,731,3418,4946,69.11%,2793,547,3340
County Tax Assessor-Collector,0421,1240,273,1513,2023,74.79%,737,733,1470
County Tax Assessor-Collector,0422,1357,401,1768,3348,52.81%,95,1639,1734
County Tax Assessor-Collector,0423,316,288,604,1423,42.45%,139,446,585
County Tax Assessor-Collector,0424,548,158,706,1079,65.43%,383,299,682
County Tax Assessor-Collector,0425,257,139,396,878,45.10%,120,258,378
County Tax Assessor-Collector,0426,485,228,713,1266,56.32%,375,311,686
County Tax Assessor-Collector,0427,437,155,592,1120,52.86%,209,353,562
County Tax Assessor-Collector,0428,1588,865,2553,5151,49.56%,662,1765,2427
County Tax Assessor-Collector,0429,947,649,1596,3311,48.20%,362,1165,1527
County Tax Assessor-Collector,0430,524,291,815,1794,45.43%,143,622,765
County Tax Assessor-Collector,0431,1218,604,1822,3860,47.20%,394,1348,1742
County Tax Assessor-Collector,0432,456,249,705,1568,44.96%,228,437,665
County Tax Assessor-Collector,0433,163,88,251,561,44.74%,61,179,240
County Tax Assessor-Collector,0434,831,293,1124,1557,72.19%,652,410,1062
County Tax Assessor-Collector,0435,1951,567,2518,3363,74.87%,1589,831,2420
County Tax Assessor-Collector,0436,2008,678,2686,3809,70.52%,1518,1051,2569
County Tax Assessor-Collector,0437,1148,425,1573,2094,75.12%,1039,483,1522
County Tax Assessor-Collector,0438,2288,475,2763,3789,72.92%,1903,761,2664
County Tax Assessor-Collector,0439,1854,749,2603,3701,70.33%,1749,752,2501
County Tax Assessor-Collector,0440,1498,749,2247,2973,75.58%,1724,447,2171
County Tax Assessor-Collector,0441,824,408,1232,1695,72.68%,872,319,1191
County Tax Assessor-Collector,0442,2441,685,3126,4315,72.44%,2537,504,3041
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0443,415,83,498,642,77.57%,362,122,484
County Tax Assessor-Collector,0444,1620,679,2299,3625,63.42%,1289,912,2201
County Tax Assessor-Collector,0445,1036,382,1418,2134,66.45%,870,515,1385
County Tax Assessor-Collector,0446,89,45,134,309,43.37%,58,71,129
County Tax Assessor-Collector,0447,2411,464,2875,3727,77.14%,1903,877,2780
County Tax Assessor-Collector,0448,1763,529,2292,3155,72.65%,1312,870,2182
County Tax Assessor-Collector,0449,73,26,99,225,44.00%,12,85,97
County Tax Assessor-Collector,0450,1104,394,1498,2890,51.83%,402,1050,1452
County Tax Assessor-Collector,0451,1719,367,2086,2771,75.28%,1671,361,2032
County Tax Assessor-Collector,0452,1871,662,2533,3789,66.85%,1710,749,2459
County Tax Assessor-Collector,0453,661,417,1078,2039,52.87%,318,713,1031
County Tax Assessor-Collector,0454,1043,288,1331,2509,53.05%,29,1267,1296
County Tax Assessor-Collector,0455,669,173,842,1713,49.15%,45,773,818
County Tax Assessor-Collector,0456,1,1404,553,1957,3793,51.60%,1054,832,1886
County Tax Assessor-Collector,0457,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0458,914,253,1167,2025,57.63%,99,1029,1128
County Tax Assessor-Collector,0459,2362,432,2794,3942,70.88%,2137,589,2726
County Tax Assessor-Collector,0460,1613,472,2085,3280,63.57%,569,1456,2025
County Tax Assessor-Collector,0461,2242,669,2911,4054,71.81%,1812,975,2787
County Tax Assessor-Collector,0462,1474,738,2212,3507,63.07%,786,1369,2155
County Tax Assessor-Collector,0463,1673,564,2237,3773,59.29%,898,1286,2184
County Tax Assessor-Collector,0464,967,582,1549,2343,66.11%,994,496,1490
County Tax Assessor-Collector,0465,1628,594,2222,3778,58.81%,1034,1111,2145
County Tax Assessor-Collector,0466,2274,509,2783,4327,64.32%,1460,1250,2710
County Tax Assessor-Collector,0467,501,225,726,1320,55.00%,171,530,701
County Tax Assessor-Collector,0468,1379,747,2126,4040,52.62%,549,1490,2039
County Tax Assessor-Collector,0469,1867,462,2329,3257,71.51%,1806,469,2275
County Tax Assessor-Collector,0470,555,232,787,1358,57.95%,585,176,761
County Tax Assessor-Collector,0471,1057,458,1515,2473,61.26%,1146,326,1472
County Tax Assessor-Collector,0472,463,339,802,1131,70.91%,356,404,760
County Tax Assessor-Collector,0473,944,390,1334,1787,74.65%,936,362,1298
County Tax Assessor-Collector,0474,1417,624,2041,3127,65.27%,1341,638,1979
County Tax Assessor-Collector,0475,791,261,1052,1936,54.34%,432,581,1013
County Tax Assessor-Collector,0476,1077,405,1482,2458,60.29%,797,641,1438
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0477,2027,640,2667,4010,66.51%,1863,713,2576
County Tax Assessor-Collector,0478,2271,683,2954,4696,62.90%,1866,988,2854
County Tax Assessor-Collector,0479,1978,755,2733,3851,70.97%,2025,654,2679
County Tax Assessor-Collector,0480,1445,538,1983,2978,66.59%,1345,597,1942
County Tax Assessor-Collector,0481,1756,667,2423,3609,67.14%,1757,587,2344
County Tax Assessor-Collector,0482,2259,618,2877,4405,65.31%,1963,823,2786
County Tax Assessor-Collector,0483,2305,538,2843,4495,63.25%,1465,1268,2733
County Tax Assessor-Collector,0484,2020,700,2720,3981,68.32%,1737,907,2644
County Tax Assessor-Collector,0485,2118,567,2685,4051,66.28%,1930,680,2610
County Tax Assessor-Collector,0486,2310,721,3031,4195,72.25%,2319,628,2947
County Tax Assessor-Collector,0487,1405,527,1932,4142,46.64%,504,1290,1794
County Tax Assessor-Collector,0488,842,511,1353,2382,56.80%,398,902,1300
County Tax Assessor-Collector,0489,865,344,1209,1958,61.75%,355,811,1166
County Tax Assessor-Collector,0490,980,346,1326,2105,62.99%,434,840,1274
County Tax Assessor-Collector,0491,937,488,1425,2110,67.54%,770,596,1366
County Tax Assessor-Collector,0492,1217,396,1613,2552,63.21%,826,739,1565
County Tax Assessor-Collector,0493,1404,555,1959,3338,58.69%,747,1128,1875
County Tax Assessor-Collector,0494,1079,419,1498,2787,53.75%,214,1232,1446
County Tax Assessor-Collector,0495,1414,376,1790,2488,71.95%,1229,498,1727
County Tax Assessor-Collector,0496,687,549,1236,2325,53.16%,448,739,1187
County Tax Assessor-Collector,0497,91,e,281,1197,2148,55.73%,73,1090,1163
County Tax Assessor-Collector,0498,1069,423,1492,2527,59.04%,550,885,1435
County Tax Assessor-Collector,0499,1433,397,1830,2336,78.34%,1314,466,1780
County Tax Assessor-Collector,0500,1869,651,2520,3698,68.14%,1595,848,2443
County Tax Assessor-Collector,0501,1146,406,1552,2016,76.98%,691,788,1479
County Tax Assessor-Collector,0502,1,355,293,1559,2595,63.93%,1287,322,1609
County Tax Assessor-Collector,0503,1397,306,1703,2236,76.16%,1276,378,1654
County Tax Assessor-Collector,0504,1270,482,1752,2318,75.58%,1141,559,1700
County Tax Assessor-Collector,0505,1750,735,2485,4076,60.97%,1156,1216,2372
County Tax Assessor-Collector,0506,1513,696,2209,3544,62.33%,376,1767,2143
County Tax Assessor-Collector,0507,599,319,918,2562,35.83%,208,621,829
County Tax Assessor-Collector,0508,1519,828,2347,4767,49.23%,691,1505,2196
County Tax Assessor-Collector,0509,2504,569,3173,5153,61.58%,2010,1070,3080
County Tax Assessor-Collector,0510,1701,666,2367,3822,61.93%,1034,1270,2304
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0511,2933,574,3507,4620,75.91%,2126,1293,3419
County Tax Assessor-Collector,0512,1668,871,2539,4559,55.69%,1004,1443,2447
County Tax Assessor-Collector,0513,1754,413,2187,3003,72.16%,1570,537,2107
County Tax Assessor-Collector,0514,2288,613,2899,4378,66.22%,2005,812,2817
County Tax Assessor-Collector,0515,1836,468,2304,3182,72.41%,1847,407,2254
County Tax Assessor-Collector,0516,1316,363,1679,2799,59.99%,824,805,1629
County Tax Assessor-Collector,0517,1610,509,2119,3744,56.60%,946,1098,2044
County Tax Assessor-Collector,0518,1886,676,2562,4049,63.27%,1519,961,2480
County Tax Assessor-Collector,0519,1421,518,1939,3098,62.59%,1321,557,1878
County Tax Assessor-Collector,0520,1785,670,2456,5202,47.21%,432,1980,2412
County Tax Assessor-Collector,0521,1350,578,1928,3070,62.80%,948,932,1880
County Tax Assessor-Collector,0522,1508,464,1972,2815,70.05%,1447,487,1934
County Tax Assessor-Collector,0523,1978,537,2515,4027,62.45%,1568,854,2422
County Tax Assessor-Collector,0524,1392,637,2029,3598,56.39%,578,1380,1958
County Tax Assessor-Collector,0525,1440,574,2014,3260,61.78%,475,1460,1935
County Tax Assessor-Collector,0526,235,157,392,820,47.80%,95,278,373
County Tax Assessor-Collector,0527,156,38,194,580,33.45%,76,107,183
County Tax Assessor-Collector,0528,17,8,25,78,32.05%,2,22,24
County Tax Assessor-Collector,0529,2107,434,2541,3842,66.14%,2094,360,2454
County Tax Assessor-Collector,0530,375,212,587,1236,47.49%,130,413,543
County Tax Assessor-Collector,0531,1234,166,1400,2250,62.22%,1032,310,1342
County Tax Assessor-Collector,0532,478,140,618,1058,58.41%,416,191,607
County Tax Assessor-Collector,0533,352,169,521,1164,44.76%,268,225,493
County Tax Assessor-Collector,0534,1895,577,2472,3918,63.09%,1724,661,2385
County Tax Assessor-Collector,0535,132,62,194,413,46.97%,66,117,183
County Tax Assessor-Collector,0536,2104,1053,3157,5637,56.00%,1128,1892,3020
County Tax Assessor-Collector,0537,1958,464,2422,3174,76.31%,1734,621,2355
County Tax Assessor-Collector,0538,371,203,574,1332,43.09%,22,540,562
County Tax Assessor-Collector,0539,811,234,1045,1535,68.08%,579,433,1012
County Tax Assessor-Collector,0540,997,349,1346,1759,76.52%,494,785,1279
County Tax Assessor-Collector,0541,2157,761,2918,5001,58.35%,529,2274,2803
County Tax Assessor-Collector,0542,1156,406,1562,2654,58.85%,128,1389,1517
County Tax Assessor-Collector,0543,553,321,874,1658,52.71%,236,605,841
County Tax Assessor-Collector,0544,84,54,138,313,44.09%,19,115,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0545,2015,468,2483,3949,62.88%,1137,1255,2392
County Tax Assessor-Collector,0546,1524,278,1802,2471,72.93%,1530,249,1779
County Tax Assessor-Collector,0547,1413,270,1683,2534,66.42%,1115,509,1624
County Tax Assessor-Collector,0548,882,395,1277,2339,54.60%,594,656,1250
County Tax Assessor-Collector,0549,1105,447,1552,2786,55.71%,232,1285,1517
County Tax Assessor-Collector,0550,1171,553,1724,3245,53.13%,748,937,1685
County Tax Assessor-Collector,0551,2586,793,3379,4428,76.31%,2556,720,3276
County Tax Assessor-Collector,0552,2090,784,2874,3762,76.40%,2319,482,2801
County Tax Assessor-Collector,0553,962,317,1279,2193,58.32%,487,757,1244
County Tax Assessor-Collector,0554,597,271,868,1774,48.93%,185,661,846
County Tax Assessor-Collector,0555,639,390,1029,2286,45.01%,179,812,991
County Tax Assessor-Collector,0556,759,435,1194,2491,47.93%,260,896,1156
County Tax Assessor-Collector,0557,925,460,1385,2955,46.87%,403,886,1289
County Tax Assessor-Collector,0558,1812,721,2533,4718,53.69%,782,1673,2455
County Tax Assessor-Collector,0559,1901,701,2602,4984,52.21%,626,1884,2510
County Tax Assessor-Collector,0560,290,247,537,1141,47.06%,116,390,506
County Tax Assessor-Collector,0561,1023,624,1647,3138,52.49%,965,613,1578
County Tax Assessor-Collector,0562,222,116,338,691,48.91%,54,255,309
County Tax Assessor-Collector,0563,2069,337,2406,3468,69.38%,1858,486,2344
County Tax Assessor-Collector,0564,1551,526,2077,3240,64.10%,625,1363,1988
County Tax Assessor-Collector,0565,336,148,484,1414,34.23%,79,384,463
County Tax Assessor-Collector,0566,1183,441,1624,3029,53.62%,435,1131,1566
County Tax Assessor-Collector,0567,965,390,1355,2851,47.53%,363,915,1278
County Tax Assessor-Collector,0568,1833,697,2530,3638,69.54%,1654,774,2428
County Tax Assessor-Collector,0569,2027,747,2774,4125,67.25%,1365,1276,2641
County Tax Assessor-Collector,0570,766,278,1044,1598,65.33%,405,587,992
County Tax Assessor-Collector,0571,521,314,835,1950,42.82%,270,531,801
County Tax Assessor-Collector,0572,1522,444,1966,3308,59.43%,887,1016,1903
County Tax Assessor-Collector,0573,489,215,704,1625,43.32%,25,671,696
County Tax Assessor-Collector,0574,112,74,186,391,47.57%,23,152,175
County Tax Assessor-Collector,0575,1905,535,2440,3557,68.60%,1380,977,2357
County Tax Assessor-Collector,0576,1107,375,1482,2830,52.37%,110,1334,1444
County Tax Assessor-Collector,0577,885,205,1090,1586,68.73%,661,396,1057
County Tax Assessor-Collector,0578,1026,405,1431,1862,76.85%,907,466,1373
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0579,287,181,468,1139,41.09%,89,362,451
County Tax Assessor-Collector,0580,366,108,474,985,48.12%,27,443,470
County Tax Assessor-Collector,0581,456,137,593,1033,57.41%,32,545,577
County Tax Assessor-Collector,0582,543,232,775,1607,48.23%,59,687,746
County Tax Assessor-Collector,0583,433,155,588,1286,45.72%,32,545,577
County Tax Assessor-Collector,0584,367,120,487,1062,45.86%,44,426,470
County Tax Assessor-Collector,0585,829,280,1109,2346,47.27%,74,998,1072
County Tax Assessor-Collector,0586,1790,790,2580,4521,57.07%,1472,1024,2496
County Tax Assessor-Collector,0587,1204,431,1635,2870,56.97%,563,1026,1589
County Tax Assessor-Collector,0588,1940,606,2546,3780,67.35%,1685,802,2487
County Tax Assessor-Collector,0589,1539,545,2084,3780,55.13%,1016,1005,2021
County Tax Assessor-Collector,0590,1230,400,1630,2176,74.91%,1275,310,1585
County Tax Assessor-Collector,0591,651,462,1113,2274,48.94%,313,751,1064
County Tax Assessor-Collector,0592,449,272,721,1446,49.86%,157,535,692
County Tax Assessor-Collector,0593,1581,755,2316,4179,55.42%,950,1273,2223
County Tax Assessor-Collector,0594,1243,316,1559,2578,60.47%,445,1076,1521
County Tax Assessor-Collector,0595,600,299,899,1833,49.05%,153,719,872
County Tax Assessor-Collector,0596,1377,501,1878,3574,52.55%,863,930,1793
County Tax Assessor-Collector,0597,1204,609,1813,3587,50.54%,637,1097,1734
County Tax Assessor-Collector,0598,2389,731,3120,5253,59.39%,1068,1934,3002
County Tax Assessor-Collector,0599,1378,493,1871,3005,62.26%,672,1151,1823
County Tax Assessor-Collector,0600,1602,776,2378,4204,56.57%,812,1466,2278
County Tax Assessor-Collector,0601,2220,670,2890,4151,69.62%,2108,714,2822
County Tax Assessor-Collector,0602,754,234,988,1441,68.56%,670,290,960
County Tax Assessor-Collector,0603,2335,725,3060,4666,65.58%,1746,1216,2962
County Tax Assessor-Collector,0604,1816,375,2191,3189,68.70%,1839,292,2131
County Tax Assessor-Collector,0605,1711,599,2310,4217,54.78%,592,1623,2215
County Tax Assessor-Collector,0606,319,111,430,970,44.33%,12,408,420
County Tax Assessor-Collector,0607,163,51,214,712,30.06%,28,179,207
County Tax Assessor-Collector,0608,156,77,233,570,40.88%,81,142,223
County Tax Assessor-Collector,0609,2037,729,2766,4305,64.25%,1599,1067,2666
County Tax Assessor-Collector,0610,665,343,1008,2086,48.32%,433,526,959
County Tax Assessor-Collector,0611,980,229,1209,2527,47.84%,68,1120,1188
County Tax Assessor-Collector,0612,1927,431,2358,3388,69.60%,1790,503,2293
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0613,937,339,1276,2368,53.89%,242,990,1232
County Tax Assessor-Collector,0614,1949,645,2594,4566,56.81%,793,1718,2511
County Tax Assessor-Collector,0615,1075,301,1376,2086,65.96%,725,605,1330
County Tax Assessor-Collector,0616,1809,611,2420,3516,68.83%,1604,728,2332
County Tax Assessor-Collector,0617,1704,650,2354,4179,56.33%,798,1478,2276
County Tax Assessor-Collector,0618,1698,545,2243,3801,59.01%,925,1255,2180
County Tax Assessor-Collector,0619,2792,663,3455,4916,70.28%,2533,857,3390
County Tax Assessor-Collector,0620,1747,333,2080,3318,62.69%,1088,911,1999
County Tax Assessor-Collector,0621,536,200,736,1272,57.86%,316,388,704
County Tax Assessor-Collector,0622,2129,591,2720,4562,59.62%,1466,1163,2629
County Tax Assessor-Collector,0623,1960,461,2421,3919,61.78%,1537,816,2353
County Tax Assessor-Collector,0624,297,59,356,456,78.07%,274,74,348
County Tax Assessor-Collector,0625,924,372,1296,1864,69.53%,710,540,1250
County Tax Assessor-Collector,0626,2280,784,3064,4816,63.62%,1628,1337,2965
County Tax Assessor-Collector,0627,935,649,1584,3235,48.96%,438,1080,1518
County Tax Assessor-Collector,0628,716,545,1261,2420,52.11%,439,756,1195
County Tax Assessor-Collector,0629,162,96,258,750,34.40%,32,218,250
County Tax Assessor-Collector,0630,2662,541,3203,4738,67.60%,403,2732,3135
County Tax Assessor-Collector,0631,1841,398,2239,3263,68.62%,1486,678,2164
County Tax Assessor-Collector,0632,4,1,5,241,2.07%,0,5,5
County Tax Assessor-Collector,0633,2286,601,2887,3912,73.80%,1999,815,2814
County Tax Assessor-Collector,0634,1435,499,1934,3259,59.34%,1120,763,1883
County Tax Assessor-Collector,0635,1645,520,2165,3512,61.65%,1597,496,2093
County Tax Assessor-Collector,0636,2303,922,3225,4569,70.58%,2814,346,3160
County Tax Assessor-Collector,0637,1095,423,1518,2591,58.59%,363,1064,1427
County Tax Assessor-Collector,0638,850,348,1198,2310,51.86%,120,1053,1173
County Tax Assessor-Collector,0639,1386,284,1670,2560,65.23%,1281,333,1614
County Tax Assessor-Collector,0640,1619,615,2234,3927,56.89%,1284,889,2173
County Tax Assessor-Collector,0641,1637,683,2320,3840,60.42%,1372,869,2241
County Tax Assessor-Collector,0642,1030,270,1300,1783,72.91%,1020,254,1274
County Tax Assessor-Collector,0643,1948,593,2541,4189,60.66%,1213,1257,2470
County Tax Assessor-Collector,0644,2087,689,2776,4446,62.44%,1609,1076,2685
County Tax Assessor-Collector,0645,2145,769,2914,4517,64.51%,1241,1567,2808
County Tax Assessor-Collector,0646,925,399,1324,2422,54.67%,354,912,1266
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0647,1372,526,1898,4349,43.64%,418,1367,1785
County Tax Assessor-Collector,0648,1859,500,2359,3487,67.65%,1646,661,2307
County Tax Assessor-Collector,0649,1549,775,2324,4755,48.87%,626,1619,2245
County Tax Assessor-Collector,0650,2033,819,2852,4039,70.61%,1919,850,2769
County Tax Assessor-Collector,0651,1734,551,2285,3873,59.00%,1219,986,2205
County Tax Assessor-Collector,0652,1165,545,1710,2979,57.40%,288,1383,1671
County Tax Assessor-Collector,0653,185,110,295,604,48.84%,69,217,286
County Tax Assessor-Collector,0654,2381,698,3079,5063,60.81%,1656,1334,2990
County Tax Assessor-Collector,0655,1959,761,2720,4495,60.51%,1499,1117,2616
County Tax Assessor-Collector,0656,1106,401,1507,2737,55.06%,90,1375,1465
County Tax Assessor-Collector,0657,683,276,959,1487,64.49%,340,585,925
County Tax Assessor-Collector,0658,1299,494,1793,2901,61.81%,1098,650,1748
County Tax Assessor-Collector,0659,2806,733,3539,5161,68.57%,2441,999,3440
County Tax Assessor-Collector,0660,1575,345,1920,3087,62.20%,240,1633,1873
County Tax Assessor-Collector,0661,1945,774,2720,4363,62.34%,1381,1245,2626
County Tax Assessor-Collector,0662,2267,571,2838,4002,70.91%,2312,470,2782
County Tax Assessor-Collector,0663,1338,448,1786,2340,76.32%,962,744,1706
County Tax Assessor-Collector,0664,909,513,1422,2992,47.53%,306,1059,1365
County Tax Assessor-Collector,0665,1327,360,1687,2354,71.67%,1360,285,1645
County Tax Assessor-Collector,0666,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0667,1109,400,1509,2175,69.38%,1118,346,1464
County Tax Assessor-Collector,0668,1552,719,2271,3669,61.90%,1364,837,2201
County Tax Assessor-Collector,0669,1889,702,2591,3585,72.27%,1763,755,2518
County Tax Assessor-Collector,0670,1996,416,2412,3335,72.32%,1911,444,2355
County Tax Assessor-Collector,0671,1398,588,1986,3198,62.10%,1085,830,1915
County Tax Assessor-Collector,0672,1724,489,2213,3433,64.46%,1536,631,2167
County Tax Assessor-Collector,0673,1525,467,2092,3051,68.57%,1680,365,2045
County Tax Assessor-Collector,0674,2354,610,2964,4228,70.10%,2153,732,2885
County Tax Assessor-Collector,0675,0,0,0,0,0.00%,0,0,0
