Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0275,585,334,919,2059,44.63%,146,737,883
"Justice, 1st Court of Appeals District, Place 4",0276,1027,255,1282,2458,52.16%,17,1240,1257
"Justice, 1st Court of Appeals District, Place 4",0277,573,338,911,1898,48.00%,306,568,874
"Justice, 1st Court of Appeals District, Place 4",0278,1059,469,1528,2602,58.72%,623,816,1439
"Justice, 1st Court of Appeals District, Place 4",0279,789,314,1103,2073,53.21%,612,447,1059
"Justice, 1st Court of Appeals District, Place 4",0280,444,362,806,1656,48.67%,222,537,759
"Justice, 1st Court of Appeals District, Place 4",0281,1287,590,1877,2507,74.87%,822,898,1720
"Justice, 1st Court of Appeals District, Place 4",0282,774,604,1378,2144,64.27%,752,560,1312
"Justice, 1st Court of Appeals District, Place 4",0283,2352,1143,3495,6365,54.91%,491,2880,3371
"Justice, 1st Court of Appeals District, Place 4",0284,1585,574,2159,4079,52.93%,688,1367,2055
"Justice, 1st Court of Appeals District, Place 4",0285,1078,431,1509,2680,56.31%,119,1338,1457
"Justice, 1st Court of Appeals District, Place 4",0286,1712,545,2257,3757,60.07%,178,2005,2183
"Justice, 1st Court of Appeals District, Place 4",0287,851,408,1259,1658,75.93%,569,626,1195
"Justice, 1st Court of Appeals District, Place 4",0288,883,314,1197,2208,54.21%,30,1142,1172
"Justice, 1st Court of Appeals District, Place 4",0289,481,352,833,1584,52.59%,290,489,779
"Justice, 1st Court of Appeals District, Place 4",0290,705,332,1037,1623,63.89%,751,254,1005
"Justice, 1st Court of Appeals District, Place 4",0291,504,233,837,1218,68.72%,340,447,787
"Justice, 1st Court of Appeals District, Place 4",0292,549,178,727,1379,52.72%,75,625,700
"Justice, 1st Court of Appeals District, Place 4",0293,778,475,1253,1811,69.19%,505,663,1168
"Justice, 1st Court of Appeals District, Place 4",0294,852,198,1050,2054,51.12%,13,1021,1034
"Justice, 1st Court of Appeals District, Place 4",0295,270,111,381,894,42.62%,12,360,372
"Justice, 1st Court of Appeals District, Place 4",0296,701,385,1086,1705,63.70%,535,477,1012
"Justice, 1st Court of Appeals District, Place 4",0297,730,341,1071,2055,52.12%,360,661,1021
"Justice, 1st Court of Appeals District, Place 4",0298,1095,387,1482,2236,66.28%,709,708,1417
"Justice, 1st Court of Appeals District, Place 4",0299,499,236,735,1506,48.80%,215,470,685
"Justice, 1st Court of Appeals District, Place 4",0300,3385,728,4113,5480,75.05%,3018,943,3961
"Justice, 1st Court of Appeals District, Place 4",0301,737,392,1129,2337,48.31%,371,696,1067
"Justice, 1st Court of Appeals District, Place 4",0302,1199,591,1790,3277,54.62%,864,851,1715
"Justice, 1st Court of Appeals District, Place 4",0303,1896,692,2588,3375,76.68%,1943,539,2482
"Justice, 1st Court of Appeals District, Place 4",0304,1190,474,1664,2326,71.54%,857,695,1552
"Justice, 1st Court of Appeals District, Place 4",0305,2154,645,2799,4838,57.85%,871,1804,2675
"Justice, 1st Court of Appeals District, Place 4",0306,1095,299,1395,1896,73.58%,924,394,1318
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0307,1456,801,2257,3270,69.02%,1441,689,2130
"Justice, 1st Court of Appeals District, Place 4",0308,526,225,751,1457,51.54%,177,526,703
"Justice, 1st Court of Appeals District, Place 4",0309,2160,591,2751,3495,78.71%,2026,610,2636
"Justice, 1st Court of Appeals District, Place 4",0310,709,326,1035,1464,70.70%,603,369,972
"Justice, 1st Court of Appeals District, Place 4",0311,932,643,1575,3222,48.88%,684,771,1455
"Justice, 1st Court of Appeals District, Place 4",0312,1709,552,2261,3724,60.71%,1126,1017,2143
"Justice, 1st Court of Appeals District, Place 4",0313,23,8,31,61,50.82%,15,8,23
"Justice, 1st Court of Appeals District, Place 4",0314,2998,817,3815,5606,68.05%,2117,1562,3679
"Justice, 1st Court of Appeals District, Place 4",0315,802,353,1155,1636,70.60%,613,473,1086
"Justice, 1st Court of Appeals District, Place 4",0316,741,340,1081,1513,71.45%,529,475,1004
"Justice, 1st Court of Appeals District, Place 4",0317,593,252,845,1661,50.87%,205,594,799
"Justice, 1st Court of Appeals District, Place 4",0318,1728,529,2257,3776,59.77%,128,2057,2185
"Justice, 1st Court of Appeals District, Place 4",0319,995,271,1266,2199,57.57%,71,1154,1225
"Justice, 1st Court of Appeals District, Place 4",0320,554,238,792,1570,50.45%,280,467,747
"Justice, 1st Court of Appeals District, Place 4",0321,867,363,1230,2483,49.54%,332,813,1145
"Justice, 1st Court of Appeals District, Place 4",0322,426,124,550,1210,45.45%,155,378,533
"Justice, 1st Court of Appeals District, Place 4",0323,700,296,996,1793,55.55%,358,588,946
"Justice, 1st Court of Appeals District, Place 4",0324,1445,560,2005,2607,76.91%,1181,708,1889
"Justice, 1st Court of Appeals District, Place 4",0325,802,257,1059,2176,48.67%,188,809,997
"Justice, 1st Court of Appeals District, Place 4",0326,271,129,400,736,54.35%,142,227,369
"Justice, 1st Court of Appeals District, Place 4",0327,739,141,880,1758,50.06%,22,828,850
"Justice, 1st Court of Appeals District, Place 4",0328,425,286,711,1631,43.59%,207,461,668
"Justice, 1st Court of Appeals District, Place 4",0329,590,260,850,1621,52.44%,242,561,803
"Justice, 1st Court of Appeals District, Place 4",0330,864,326,1190,2146,55.45%,508,613,1121
"Justice, 1st Court of Appeals District, Place 4",0331,885,234,1119,1612,69.42%,689,377,1066
"Justice, 1st Court of Appeals District, Place 4",0332,1358,503,1861,2926,63.60%,192,1594,1786
"Justice, 1st Court of Appeals District, Place 4",0333,1387,942,2329,3296,70.66%,1599,618,2217
"Justice, 1st Court of Appeals District, Place 4",0334,246,104,350,786,44.53%,57,277,334
"Justice, 1st Court of Appeals District, Place 4",0335,489,293,782,1679,46.58%,189,541,730
"Justice, 1st Court of Appeals District, Place 4",0336,2490,689,3179,4771,66.63%,311,2776,3087
"Justice, 1st Court of Appeals District, Place 4",0337,369,155,524,1108,47.29%,73,420,493
"Justice, 1st Court of Appeals District, Place 4",0338,1627,632,2259,5001,45.17%,567,1581,2148
"Justice, 1st Court of Appeals District, Place 4",0339,704,303,1007,1909,52.75%,185,759,944
"Justice, 1st Court of Appeals District, Place 4",0340,2041,654,2695,4012,67.17%,1854,716,2570
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0341,380,278,658,1372,47.96%,146,470,616
"Justice, 1st Court of Appeals District, Place 4",0342,311,225,536,1092,49.08%,114,395,509
"Justice, 1st Court of Appeals District, Place 4",0343,722,370,1092,2099,52.02%,194,827,1021
"Justice, 1st Court of Appeals District, Place 4",0344,381,207,588,1225,48.00%,20,536,556
"Justice, 1st Court of Appeals District, Place 4",0345,576,349,925,1945,47.56%,174,694,868
"Justice, 1st Court of Appeals District, Place 4",0346,1,0,1,1,100.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0347,1462,618,2080,3614,57.55%,1169,825,1994
"Justice, 1st Court of Appeals District, Place 4",0348,831,242,1073,1796,59.74%,708,319,1027
"Justice, 1st Court of Appeals District, Place 4",0349,459,369,828,1372,60.35%,484,315,799
"Justice, 1st Court of Appeals District, Place 4",0350,1678,582,2260,3269,69.13%,771,1323,2094
"Justice, 1st Court of Appeals District, Place 4",0351,2856,570,3426,4799,71.39%,2522,776,3298
"Justice, 1st Court of Appeals District, Place 4",0352,2024,538,2562,4278,59.89%,1742,721,2463
"Justice, 1st Court of Appeals District, Place 4",0353,1715,659,2374,4156,57.12%,380,1901,2281
"Justice, 1st Court of Appeals District, Place 4",0354,1569,429,1998,3520,56.76%,448,1454,1902
"Justice, 1st Court of Appeals District, Place 4",0355,821,239,1060,1714,61.84%,102,922,1024
"Justice, 1st Court of Appeals District, Place 4",0356,1543,582,2125,3126,67.98%,1131,888,2019
"Justice, 1st Court of Appeals District, Place 4",0357,1886,557,2443,3685,66.30%,1720,621,2341
"Justice, 1st Court of Appeals District, Place 4",0358,775,376,1151,2634,43.70%,120,992,1112
"Justice, 1st Court of Appeals District, Place 4",0359,804,496,1300,3320,39.16%,137,1124,1261
"Justice, 1st Court of Appeals District, Place 4",0360,1859,597,2456,3309,74.22%,1099,1184,2283
"Justice, 1st Court of Appeals District, Place 4",0361,323,688,1011,1808,55.92%,144,771,915
"Justice, 1st Court of Appeals District, Place 4",0362,2865,553,3418,5161,66.23%,2327,958,3285
"Justice, 1st Court of Appeals District, Place 4",0363,1826,635,2461,4160,59.16%,953,1435,2388
"Justice, 1st Court of Appeals District, Place 4",0364,1190,528,1718,2827,60.77%,754,865,1619
"Justice, 1st Court of Appeals District, Place 4",0365,827,174,1001,1348,74.26%,113,862,975
"Justice, 1st Court of Appeals District, Place 4",0366,988,524,1512,2887,52.37%,315,1139,1454
"Justice, 1st Court of Appeals District, Place 4",0367,453,204,657,1256,52.31%,143,478,621
"Justice, 1st Court of Appeals District, Place 4",0368,433,122,555,1024,54.20%,138,397,535
"Justice, 1st Court of Appeals District, Place 4",0369,135,29,164,678,24.19%,54,94,148
"Justice, 1st Court of Appeals District, Place 4",0370,2525,627,3152,4531,69.57%,2217,808,3025
"Justice, 1st Court of Appeals District, Place 4",0371,210,78,288,537,53.63%,13,269,282
"Justice, 1st Court of Appeals District, Place 4",0372,510,180,690,1274,54.16%,78,587,665
"Justice, 1st Court of Appeals District, Place 4",0373,61,13,74,163,45.40%,2,69,71
"Justice, 1st Court of Appeals District, Place 4",0374,176,165,341,720,47.36%,81,244,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0375,745,510,1255,2836,44.25%,422,767,1189
"Justice, 1st Court of Appeals District, Place 4",0376,753,344,1097,2060,53.25%,397,638,1035
"Justice, 1st Court of Appeals District, Place 4",0377,1381,643,2024,3137,64.52%,1486,446,1932
"Justice, 1st Court of Appeals District, Place 4",0378,621,447,1068,1856,57.54%,639,385,1024
"Justice, 1st Court of Appeals District, Place 4",0379,857,388,1245,2149,57.93%,108,1104,1212
"Justice, 1st Court of Appeals District, Place 4",0380,2734,551,3285,4380,75.00%,1680,1483,3163
"Justice, 1st Court of Appeals District, Place 4",0381,1185,432,1617,3141,51.48%,602,935,1537
"Justice, 1st Court of Appeals District, Place 4",0382,429,206,635,1035,61.35%,382,227,609
"Justice, 1st Court of Appeals District, Place 4",0383,722,458,1180,2373,49.73%,351,772,1123
"Justice, 1st Court of Appeals District, Place 4",0384,1153,444,1597,2725,58.61%,336,1190,1526
"Justice, 1st Court of Appeals District, Place 4",0385,1141,561,1702,2207,77.12%,1243,377,1620
"Justice, 1st Court of Appeals District, Place 4",0386,1658,419,2077,3105,66.89%,1453,554,2007
"Justice, 1st Court of Appeals District, Place 4",0387,1704,780,2484,4340,57.24%,1627,752,2379
"Justice, 1st Court of Appeals District, Place 4",0388,2899,711,3510,5413,66.69%,1660,1817,3477
"Justice, 1st Court of Appeals District, Place 4",0389,397,293,690,1359,50.77%,91,561,652
"Justice, 1st Court of Appeals District, Place 4",0390,701,271,972,1482,65.59%,128,812,940
"Justice, 1st Court of Appeals District, Place 4",0391,990,336,1326,1978,67.04%,749,521,1270
"Justice, 1st Court of Appeals District, Place 4",0392,653,145,798,1426,55.96%,13,761,774
"Justice, 1st Court of Appeals District, Place 4",0393,427,257,684,1274,53.69%,306,341,647
"Justice, 1st Court of Appeals District, Place 4",0394,236,126,362,914,39.61%,121,225,346
"Justice, 1st Court of Appeals District, Place 4",0395,1007,371,1378,1875,73.49%,893,417,1310
"Justice, 1st Court of Appeals District, Place 4",0396,1035,204,1239,2072,59.80%,32,1172,1204
"Justice, 1st Court of Appeals District, Place 4",0397,204,117,321,796,40.33%,111,190,301
"Justice, 1st Court of Appeals District, Place 4",0398,1761,654,2415,4200,57.50%,1055,1249,2304
"Justice, 1st Court of Appeals District, Place 4",0399,1293,546,1839,3340,55.06%,672,1104,1776
"Justice, 1st Court of Appeals District, Place 4",0400,1457,372,1839,2661,69.11%,1151,625,1776
"Justice, 1st Court of Appeals District, Place 4",0401,703,257,960,1971,48.71%,44,870,914
"Justice, 1st Court of Appeals District, Place 4",0402,898,262,1160,1911,60.70%,70,1054,1124
"Justice, 1st Court of Appeals District, Place 4",0403,959,387,1346,1719,78.30%,663,582,1245
"Justice, 1st Court of Appeals District, Place 4",0404,1034,445,1479,2717,54.44%,682,743,1425
"Justice, 1st Court of Appeals District, Place 4",0405,1910,457,2367,3067,77.18%,1747,556,2303
"Justice, 1st Court of Appeals District, Place 4",0406,275,65,340,649,52.39%,8,320,328
"Justice, 1st Court of Appeals District, Place 4",0407,1703,860,2563,3969,64.58%,1466,953,2419
"Justice, 1st Court of Appeals District, Place 4",0408,521,313,834,1740,47.93%,241,538,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0409,501,280,781,1608,48.57%,224,512,736
"Justice, 1st Court of Appeals District, Place 4",0410,381,96,477,934,51.07%,84,375,459
"Justice, 1st Court of Appeals District, Place 4",0411,699,418,1117,2426,46.04%,264,789,1053
"Justice, 1st Court of Appeals District, Place 4",0412,156,80,236,478,49.37%,12,217,229
"Justice, 1st Court of Appeals District, Place 4",0413,1547,456,2003,3081,65.01%,710,1191,1901
"Justice, 1st Court of Appeals District, Place 4",0414,1576,514,2090,3586,58.28%,1485,523,2008
"Justice, 1st Court of Appeals District, Place 4",0415,1076,573,1649,2284,72.20%,1073,500,1573
"Justice, 1st Court of Appeals District, Place 4",0416,1444,845,2289,4009,57.10%,1076,1096,2172
"Justice, 1st Court of Appeals District, Place 4",0417,1104,397,1501,2589,57.98%,613,819,1432
"Justice, 1st Court of Appeals District, Place 4",0418,1336,663,1999,3940,50.74%,629,1252,1881
"Justice, 1st Court of Appeals District, Place 4",0419,1166,477,1643,2702,60.81%,914,657,1571
"Justice, 1st Court of Appeals District, Place 4",0420,2688,731,3419,4946,69.13%,2706,586,3292
"Justice, 1st Court of Appeals District, Place 4",0421,1241,273,1514,2023,74.84%,690,773,1463
"Justice, 1st Court of Appeals District, Place 4",0422,1357,401,1758,3348,52.81%,62,1654,1716
"Justice, 1st Court of Appeals District, Place 4",0423,31,e,288,604,1423,42.45%,120,457,577
"Justice, 1st Court of Appeals District, Place 4",0424,548,158,706,1079,65.43%,362,313,675
"Justice, 1st Court of Appeals District, Place 4",0425,257,139,396,878,45.10%,114,267,381
"Justice, 1st Court of Appeals District, Place 4",0426,486,228,714,1266,56.40%,344,329,673
"Justice, 1st Court of Appeals District, Place 4",0427,437,155,592,1120,52.86%,185,367,552
"Justice, 1st Court of Appeals District, Place 4",0428,1588,855,2553,5151,49.56%,606,1803,2409
"Justice, 1st Court of Appeals District, Place 4",0429,948,649,1597,3311,48.23%,313,1202,1515
"Justice, 1st Court of Appeals District, Place 4",0430,525,291,816,1794,45.48%,134,625,759
"Justice, 1st Court of Appeals District, Place 4",0431,1219,604,1823,3860,47.23%,370,1367,1737
"Justice, 1st Court of Appeals District, Place 4",0432,457,249,706,1568,45.03%,204,455,659
"Justice, 1st Court of Appeals District, Place 4",0433,163,88,251,561,44.74%,53,182,235
"Justice, 1st Court of Appeals District, Place 4",0434,832,293,1125,1557,72.25%,603,448,1051
"Justice, 1st Court of Appeals District, Place 4",0435,1952,567,2519,3363,74.90%,1499,884,2383
"Justice, 1st Court of Appeals District, Place 4",0436,2011,678,2689,3809,70.60%,1420,1115,2535
"Justice, 1st Court of Appeals District, Place 4",0437,1148,425,1573,2094,75.12%,1006,497,1503
"Justice, 1st Court of Appeals District, Place 4",0438,2289,475,2764,3789,72.95%,1821,798,2619
"Justice, 1st Court of Appeals District, Place 4",0439,1854,749,2603,3701,70.33%,1686,783,2469
"Justice, 1st Court of Appeals District, Place 4",0440,1498,749,2247,2973,75.58%,1661,481,2142
"Justice, 1st Court of Appeals District, Place 4",0441,824,408,1232,1695,72.68%,835,337,1172
"Justice, 1st Court of Appeals District, Place 4",0442,2441,685,3126,4315,72.44%,2462,528,2990
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0443,415,83,498,642,77.57%,346,126,472
"Justice, 1st Court of Appeals District, Place 4",0444,1621,679,2300,3625,63.45%,1195,960,2155
"Justice, 1st Court of Appeals District, Place 4",0445,1036,382,1418,2134,66.45%,807,543,1350
"Justice, 1st Court of Appeals District, Place 4",0446,89,45,134,309,43.37%,45,84,129
"Justice, 1st Court of Appeals District, Place 4",0447,2413,464,2877,3727,77.19%,1836,923,2759
"Justice, 1st Court of Appeals District, Place 4",0448,1763,529,2292,3155,72.65%,1216,911,2127
"Justice, 1st Court of Appeals District, Place 4",0449,73,26,99,225,44.00%,11,87,98
"Justice, 1st Court of Appeals District, Place 4",0450,1105,394,1499,2890,51.87%,364,1077,1441
"Justice, 1st Court of Appeals District, Place 4",0451,1719,367,2086,2771,75.28%,1620,394,2014
"Justice, 1st Court of Appeals District, Place 4",0452,1874,662,2536,3789,66.93%,1660,774,2434
"Justice, 1st Court of Appeals District, Place 4",0453,661,417,1078,2039,52.87%,280,737,1017
"Justice, 1st Court of Appeals District, Place 4",0454,1043,288,1331,2509,53.05%,24,1264,1288
"Justice, 1st Court of Appeals District, Place 4",0455,669,173,842,1713,49.15%,31,783,814
"Justice, 1st Court of Appeals District, Place 4",0456,1405,553,1958,3793,51.62%,1021,842,1863
"Justice, 1st Court of Appeals District, Place 4",0457,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0458,917,253,1170,2025,57.78%,77,1047,1124
"Justice, 1st Court of Appeals District, Place 4",0459,2362,432,2794,3942,70.88%,2073,616,2689
"Justice, 1st Court of Appeals District, Place 4",0460,1613,472,2085,3280,63.57%,496,1519,2015
"Justice, 1st Court of Appeals District, Place 4",0461,2243,669,2912,4054,71.83%,1703,1030,2733
"Justice, 1st Court of Appeals District, Place 4",0462,1475,738,2214,3507,63.13%,719,1406,2125
"Justice, 1st Court of Appeals District, Place 4",0463,1573,564,2237,3773,59.29%,825,1343,2168
"Justice, 1st Court of Appeals District, Place 4",0464,967,582,1549,2343,66.11%,937,531,1468
"Justice, 1st Court of Appeals District, Place 4",0465,1628,594,2222,3778,58.81%,969,1159,2128
"Justice, 1st Court of Appeals District, Place 4",0466,2274,509,2783,4327,64.32%,1386,1303,2689
"Justice, 1st Court of Appeals District, Place 4",0467,502,225,727,1320,55.08%,145,548,693
"Justice, 1st Court of Appeals District, Place 4",0468,1380,747,2127,4040,52.65%,509,1516,2025
"Justice, 1st Court of Appeals District, Place 4",0469,1858,462,2330,3257,71.54%,1748,487,2235
"Justice, 1st Court of Appeals District, Place 4",0470,555,232,787,1358,57.95%,557,195,752
"Justice, 1st Court of Appeals District, Place 4",0471,1057,458,1515,2473,61.26%,1111,348,1459
"Justice, 1st Court of Appeals District, Place 4",0472,463,339,802,1131,70.91%,322,431,753
"Justice, 1st Court of Appeals District, Place 4",0473,944,390,1334,1787,74.65%,882,392,1274
"Justice, 1st Court of Appeals District, Place 4",0474,1420,624,2044,3127,65.37%,1296,669,1965
"Justice, 1st Court of Appeals District, Place 4",0475,791,251,1052,1936,54.34%,401,597,998
"Justice, 1st Court of Appeals District, Place 4",0476,1078,405,1483,2458,60.33%,745,669,1414
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0477,2028,640,2668,4010,66.53%,1776,773,2549
"Justice, 1st Court of Appeals District, Place 4",0478,2272,683,2955,4696,62.93%,1793,1042,2835
"Justice, 1st Court of Appeals District, Place 4",0479,1978,755,2733,3851,70.97%,1950,691,2641
"Justice, 1st Court of Appeals District, Place 4",0480,1448,538,1984,2978,66.62%,1307,609,1916
"Justice, 1st Court of Appeals District, Place 4",0481,1757,667,2424,3609,67.17%,1696,609,2305
"Justice, 1st Court of Appeals District, Place 4",0482,2259,618,2877,4405,65.31%,1895,878,2773
"Justice, 1st Court of Appeals District, Place 4",0483,2310,538,2848,4495,63.36%,1415,1285,2700
"Justice, 1st Court of Appeals District, Place 4",0484,2020,700,2720,3981,68.32%,1675,950,2625
"Justice, 1st Court of Appeals District, Place 4",0485,2121,567,2688,4051,66.35%,1873,727,2600
"Justice, 1st Court of Appeals District, Place 4",0486,2310,721,3031,4195,72.25%,2237,676,2913
"Justice, 1st Court of Appeals District, Place 4",0487,1406,527,1933,4142,46.67%,453,1319,1772
"Justice, 1st Court of Appeals District, Place 4",0488,842,511,1353,2382,56.80%,368,919,1287
"Justice, 1st Court of Appeals District, Place 4",0489,865,344,1209,1958,61.75%,315,837,1152
"Justice, 1st Court of Appeals District, Place 4",0490,981,346,1327,2105,63.04%,389,871,1260
"Justice, 1st Court of Appeals District, Place 4",0491,942,488,1430,2110,67.77%,729,619,1348
"Justice, 1st Court of Appeals District, Place 4",0492,1220,396,1616,2552,63.32%,797,753,1550
"Justice, 1st Court of Appeals District, Place 4",0493,1404,555,1959,3338,58.69%,691,1149,1840
"Justice, 1st Court of Appeals District, Place 4",0494,1079,419,1498,2787,53.75%,176,1265,1441
"Justice, 1st Court of Appeals District, Place 4",0495,1414,376,1790,2488,71.95%,1177,525,1702
"Justice, 1st Court of Appeals District, Place 4",0496,687,549,1236,2325,53.16%,406,774,1180
"Justice, 1st Court of Appeals District, Place 4",0497,918,281,1197,2148,55.73%,46,1112,1158
"Justice, 1st Court of Appeals District, Place 4",0498,1069,423,1492,2527,59.04%,495,925,1420
"Justice, 1st Court of Appeals District, Place 4",0499,1433,397,1830,2336,78.34%,1252,502,1754
"Justice, 1st Court of Appeals District, Place 4",0500,1870,651,2521,3698,68.17%,1538,880,2418
"Justice, 1st Court of Appeals District, Place 4",0501,1147,406,1553,2016,77.03%,625,837,1462
"Justice, 1st Court of Appeals District, Place 4",0502,1355,293,1859,2595,63.93%,1238,346,1584
"Justice, 1st Court of Appeals District, Place 4",0503,1397,306,1703,2236,76.16%,1236,391,1627
"Justice, 1st Court of Appeals District, Place 4",0504,1270,482,1752,2318,75.58%,1064,606,1670
"Justice, 1st Court of Appeals District, Place 4",0505,1751,735,2486,4076,60.99%,1031,1303,2334
"Justice, 1st Court of Appeals District, Place 4",0506,1513,696,2209,3544,62.33%,315,1816,2131
"Justice, 1st Court of Appeals District, Place 4",0507,599,319,918,2562,35.83%,194,623,817
"Justice, 1st Court of Appeals District, Place 4",0508,1519,828,2347,4767,49.23%,634,1546,2180
"Justice, 1st Court of Appeals District, Place 4",0509,2504,889,3173,5153,61.58%,1945,1106,3051
"Justice, 1st Court of Appeals District, Place 4",0510,1703,666,2369,3822,61.98%,961,1324,2285
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0511,2935,574,3509,4620,75.95%,2089,1296,3385
"Justice, 1st Court of Appeals District, Place 4",0512,1668,871,2539,4559,55.69%,940,1488,2428
"Justice, 1st Court of Appeals District, Place 4",0513,1756,413,2169,3003,72.23%,1522,563,2085
"Justice, 1st Court of Appeals District, Place 4",0514,2288,613,2899,4378,66.22%,1939,847,2786
"Justice, 1st Court of Appeals District, Place 4",0515,1836,468,2304,3182,72.41%,1780,443,2223
"Justice, 1st Court of Appeals District, Place 4",0516,1316,363,1679,2799,59.99%,785,829,1614
"Justice, 1st Court of Appeals District, Place 4",0517,1612,509,2121,3744,56.65%,885,1143,2028
"Justice, 1st Court of Appeals District, Place 4",0518,1886,676,2562,4049,63.27%,1444,1006,2450
"Justice, 1st Court of Appeals District, Place 4",0519,1421,518,1939,3098,62.59%,1292,569,1861
"Justice, 1st Court of Appeals District, Place 4",0520,1790,670,2460,5202,47.29%,372,2021,2393
"Justice, 1st Court of Appeals District, Place 4",0521,1350,578,1928,3070,62.80%,882,973,1855
"Justice, 1st Court of Appeals District, Place 4",0522,1508,464,1972,2815,70.05%,1413,504,1917
"Justice, 1st Court of Appeals District, Place 4",0523,1978,537,2515,4027,62.45%,1470,913,2383
"Justice, 1st Court of Appeals District, Place 4",0524,1395,637,2032,3598,56.48%,517,1423,1940
"Justice, 1st Court of Appeals District, Place 4",0525,1442,574,2016,3260,61.84%,401,1521,1922
"Justice, 1st Court of Appeals District, Place 4",0526,235,157,392,820,47.80%,81,288,369
"Justice, 1st Court of Appeals District, Place 4",0527,156,38,194,580,33.45%,70,111,181
"Justice, 1st Court of Appeals District, Place 4",0528,17,8,25,78,32.05%,2,22,24
"Justice, 1st Court of Appeals District, Place 4",0529,2107,434,2541,3842,66.14%,2052,385,2437
"Justice, 1st Court of Appeals District, Place 4",0530,376,212,588,1236,47.57%,115,423,538
"Justice, 1st Court of Appeals District, Place 4",0531,1235,166,1401,2250,62.27%,1012,313,1325
"Justice, 1st Court of Appeals District, Place 4",0532,478,140,618,1058,58.41%,410,196,606
"Justice, 1st Court of Appeals District, Place 4",0533,353,169,522,1164,44.85%,256,231,487
"Justice, 1st Court of Appeals District, Place 4",0534,1896,577,2473,3918,63.12%,1661,694,2355
"Justice, 1st Court of Appeals District, Place 4",0535,132,62,194,413,46.97%,59,122,181
"Justice, 1st Court of Appeals District, Place 4",0536,2104,1053,3157,5637,56.00%,996,1992,2988
"Justice, 1st Court of Appeals District, Place 4",0537,1959,464,2423,3174,76.34%,1685,649,2334
"Justice, 1st Court of Appeals District, Place 4",0538,371,203,574,1332,43.09%,15,548,563
"Justice, 1st Court of Appeals District, Place 4",0539,811,234,1045,1535,68.08%,542,449,991
"Justice, 1st Court of Appeals District, Place 4",0540,1001,349,1350,1759,76.75%,447,802,1249
"Justice, 1st Court of Appeals District, Place 4",0541,2160,761,2921,5001,58.41%,450,2350,2800
"Justice, 1st Court of Appeals District, Place 4",0542,1156,406,1562,2654,58.85%,102,1406,1508
"Justice, 1st Court of Appeals District, Place 4",0543,553,321,874,1658,52.71%,207,622,829
"Justice, 1st Court of Appeals District, Place 4",0544,84,54,138,313,44.09%,14,119,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0545,2019,468,2487,3949,62.98%,1057,1298,2355
"Justice, 1st Court of Appeals District, Place 4",0546,1524,278,1802,2471,72.93%,1487,267,1754
"Justice, 1st Court of Appeals District, Place 4",0547,1414,270,1684,2534,66.46%,1075,532,1607
"Justice, 1st Court of Appeals District, Place 4",0548,882,395,1277,2339,54.60%,554,682,1236
"Justice, 1st Court of Appeals District, Place 4",0549,1108,447,1553,2786,55.74%,186,1326,1512
"Justice, 1st Court of Appeals District, Place 4",0550,1171,553,1724,3245,53.13%,710,961,1671
"Justice, 1st Court of Appeals District, Place 4",0551,2588,793,3379,4428,76.31%,2472,777,3249
"Justice, 1st Court of Appeals District, Place 4",0552,2090,784,2874,3762,76.40%,2252,522,2774
"Justice, 1st Court of Appeals District, Place 4",0553,982,317,1279,2193,58.32%,474,760,1234
