Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0065,638,435,1073,2178,49.27%,159,853,1012
"Justice, 1st Court of Appeals District, Place 4",0066,247,255,502,1135,44.23%,86,385,471
"Justice, 1st Court of Appeals District, Place 4",0067,942,521,1463,3019,48.46%,259,1099,1358
"Justice, 1st Court of Appeals District, Place 4",0068,1172,430,1602,3096,51.74%,39,1511,1550
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0069,375,222,597,1309,45.61%,92,455,547
"Justice, 1st Court of Appeals District, Place 4",0070,2288,670,2958,3815,77.54%,1621,1177,2798
"Justice, 1st Court of Appeals District, Place 4",0071,2708,947,3655,5016,72.87%,1742,1708,3450
"Justice, 1st Court of Appeals District, Place 4",0072,736,418,1154,2029,56.88%,259,820,1079
"Justice, 1st Court of Appeals District, Place 4",0073,813,282,1095,1621,67.55%,543,482,1025
"Justice, 1st Court of Appeals District, Place 4",0074,2503,268,2771,3578,77.45%,2027,624,2651
"Justice, 1st Court of Appeals District, Place 4",0075,1001,286,1287,1684,76.43%,563,640,1203
"Justice, 1st Court of Appeals District, Place 4",0076,1015,427,1442,2441,59.07%,680,684,1364
"Justice, 1st Court of Appeals District, Place 4",0077,2,5,7,17,41.18%,1,6,7
"Justice, 1st Court of Appeals District, Place 4",0078,618,254,872,1608,54.23%,213,586,799
"Justice, 1st Court of Appeals District, Place 4",0079,831,602,1433,2963,48.36%,229,1094,1323
"Justice, 1st Court of Appeals District, Place 4",0080,1175,466,1641,2840,57.78%,335,1220,1555
"Justice, 1st Court of Appeals District, Place 4",0081,776,273,1049,1964,53.41%,289,698,987
"Justice, 1st Court of Appeals District, Place 4",0082,1585,756,2341,3539,66.15%,1643,603,2246
"Justice, 1st Court of Appeals District, Place 4",0083,1831,540,2371,4174,56.80%,868,1415,2283
"Justice, 1st Court of Appeals District, Place 4",0084,573,257,830,1421,58.41%,571,233,804
"Justice, 1st Court of Appeals District, Place 4",0085,588,329,917,2169,42.28%,42,844,886
"Justice, 1st Court of Appeals District, Place 4",0086,2034,493,2527,3449,73.27%,1148,1230,2378
"Justice, 1st Court of Appeals District, Place 4",0087,1451,719,2170,2839,76.44%,1293,753,2046
"Justice, 1st Court of Appeals District, Place 4",0088,338,141,479,784,61.10%,302,152,454
"Justice, 1st Court of Appeals District, Place 4",0089,398,424,822,1094,75.14%,448,322,770
"Justice, 1st Court of Appeals District, Place 4",0090,1859,890,2749,3883,70.80%,1965,666,2631
"Justice, 1st Court of Appeals District, Place 4",0091,673,339,1012,1724,58.70%,545,404,949
"Justice, 1st Court of Appeals District, Place 4",0092,1263,474,1737,2260,76.86%,1077,567,1644
"Justice, 1st Court of Appeals District, Place 4",0093,1048,619,1667,3536,47.14%,473,1117,1590
"Justice, 1st Court of Appeals District, Place 4",0094,202,63,265,580,45.69%,45,206,251
"Justice, 1st Court of Appeals District, Place 4",0095,2022,534,2556,3394,75.31%,1581,865,2446
"Justice, 1st Court of Appeals District, Place 4",0096,828,306,1134,2060,55.05%,160,921,1081
"Justice, 1st Court of Appeals District, Place 4",0097,2513,467,2980,4414,67.51%,2160,690,2850
"Justice, 1st Court of Appeals District, Place 4",0098,1385,594,1979,3161,62.61%,1591,309,1900
"Justice, 1st Court of Appeals District, Place 4",0099,681,295,976,2192,44.53%,400,534,934
"Justice, 1st Court of Appeals District, Place 4",0100,529,276,805,1825,44.11%,318,456,774
"Justice, 1st Court of Appeals District, Place 4",0101,221,129,350,988,35.43%,82,255,337
"Justice, 1st Court of Appeals District, Place 4",0102,581,227,808,1907,42.37%,199,564,763
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0103,2146,985,3131,5097,61.43%,1477,1551,3028
"Justice, 1st Court of Appeals District, Place 4",0104,914,211,1125,1920,58.59%,29,1068,1097
"Justice, 1st Court of Appeals District, Place 4",0105,709,433,1142,2304,49.57%,273,794,1067
"Justice, 1st Court of Appeals District, Place 4",0106,73,59,132,299,44.15%,40,88,128
"Justice, 1st Court of Appeals District, Place 4",0107,592,403,995,2230,44.62%,147,804,951
"Justice, 1st Court of Appeals District, Place 4",0108,1463,448,1911,3674,52.01%,882,916,1798
"Justice, 1st Court of Appeals District, Place 4",0109,1098,278,1376,2909,47.30%,36,1291,1327
"Justice, 1st Court of Appeals District, Place 4",0110,1662,481,2143,3222,66.51%,1194,863,2057
"Justice, 1st Court of Appeals District, Place 4",0111,2700,866,3566,4792,74.42%,2425,997,3422
"Justice, 1st Court of Appeals District, Place 4",0112,1507,598,2105,3188,66.03%,1348,662,2010
"Justice, 1st Court of Appeals District, Place 4",0113,1307,418,1725,2718,63.47%,868,795,1663
"Justice, 1st Court of Appeals District, Place 4",0114,2290,506,2796,3885,71.97%,1986,702,2688
"Justice, 1st Court of Appeals District, Place 4",0115,609,272,881,1843,47.80%,81,762,843
"Justice, 1st Court of Appeals District, Place 4",0116,1898,599,2497,3194,78.18%,1826,567,2393
"Justice, 1st Court of Appeals District, Place 4",0117,573,379,952,1900,50.11%,317,570,887
"Justice, 1st Court of Appeals District, Place 4",0118,1823,530,2353,3181,73.97%,1196,1049,2245
"Justice, 1st Court of Appeals District, Place 4",0119,2761,409,3170,4682,67.71%,2415,624,3039
"Justice, 1st Court of Appeals District, Place 4",0120,1807,588,2395,3732,64.17%,1371,907,2278
"Justice, 1st Court of Appeals District, Place 4",0121,354,221,575,966,59.52%,351,206,557
"Justice, 1st Court of Appeals District, Place 4",0122,732,284,1016,1904,53.36%,50,926,976
"Justice, 1st Court of Appeals District, Place 4",0123,749,287,1036,1585,65.36%,268,713,981
"Justice, 1st Court of Appeals District, Place 4",0124,3136,888,4024,5393,74.62%,3094,809,3903
"Justice, 1st Court of Appeals District, Place 4",0125,1207,400,1607,2593,61.97%,827,710,1537
"Justice, 1st Court of Appeals District, Place 4",0126,2017,427,2444,3380,72.31%,2034,316,2350
"Justice, 1st Court of Appeals District, Place 4",0127,978,214,1192,2091,57.01%,811,319,1130
"Justice, 1st Court of Appeals District, Place 4",0128,1107,612,1719,2322,74.03%,1006,589,1595
"Justice, 1st Court of Appeals District, Place 4",0129,2543,1052,3595,5172,69.51%,2026,1389,3415
"Justice, 1st Court of Appeals District, Place 4",0130,1312,433,1745,2289,76.23%,1193,478,1671
"Justice, 1st Court of Appeals District, Place 4",0131,798,371,1169,2147,54.45%,231,902,1133
"Justice, 1st Court of Appeals District, Place 4",0132,1030,322,1352,2378,56.85%,38,1288,1326
"Justice, 1st Court of Appeals District, Place 4",0133,1411,746,2157,2690,80.19%,1148,862,2010
"Justice, 1st Court of Appeals District, Place 4",0134,593,345,938,1513,62.00%,362,526,888
"Justice, 1st Court of Appeals District, Place 4",0135,1615,551,2166,2777,78.00%,1348,699,2047
"Justice, 1st Court of Appeals District, Place 4",0136,982,352,1334,2116,63.04%,74,1211,1285
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0137,993,259,1252,1986,63.04%,820,386,1206
"Justice, 1st Court of Appeals District, Place 4",0138,600,228,828,1723,48.06%,32,772,804
"Justice, 1st Court of Appeals District, Place 4",0139,1940,601,2541,3435,73.97%,1102,1264,2366
"Justice, 1st Court of Appeals District, Place 4",0140,1518,510,2028,3270,62.02%,312,1609,1921
"Justice, 1st Court of Appeals District, Place 4",0141,217,153,370,904,40.93%,190,155,345
"Justice, 1st Court of Appeals District, Place 4",0142,293,140,433,933,46.41%,88,313,401
"Justice, 1st Court of Appeals District, Place 4",0143,1868,267,2135,2582,82.69%,1359,712,2071
"Justice, 1st Court of Appeals District, Place 4",0144,442,125,567,1086,52.21%,18,528,546
"Justice, 1st Court of Appeals District, Place 4",0145,560,256,816,1564,52.17%,19,772,791
"Justice, 1st Court of Appeals District, Place 4",0146,1000,494,1494,2073,72.07%,592,814,1406
"Justice, 1st Court of Appeals District, Place 4",0147,1412,354,1766,3211,55.00%,217,1493,1710
"Justice, 1st Court of Appeals District, Place 4",0148,1266,652,1918,2571,74.60%,737,1065,1802
"Justice, 1st Court of Appeals District, Place 4",0149,2939,573,3512,4756,73.84%,1894,1508,3402
"Justice, 1st Court of Appeals District, Place 4",0150,582,223,805,1574,51.14%,31,745,776
"Justice, 1st Court of Appeals District, Place 4",0151,282,107,389,826,47.09%,15,356,371
"Justice, 1st Court of Appeals District, Place 4",0152,838,524,1362,3059,44.52%,264,1014,1278
"Justice, 1st Court of Appeals District, Place 4",0153,544,399,943,1873,50.35%,193,700,893
"Justice, 1st Court of Appeals District, Place 4",0154,913,289,1202,2293,52.42%,227,881,1108
"Justice, 1st Court of Appeals District, Place 4",0155,2275,576,2851,4065,70.14%,1715,1009,2724
"Justice, 1st Court of Appeals District, Place 4",0156,1415,403,1818,3223,56.41%,88,1656,1744
"Justice, 1st Court of Appeals District, Place 4",0157,880,278,1158,2265,51.13%,61,1062,1123
"Justice, 1st Court of Appeals District, Place 4",0158,1144,365,1509,3049,49.49%,39,1431,1470
"Justice, 1st Court of Appeals District, Place 4",0159,348,147,495,997,49.65%,74,404,478
"Justice, 1st Court of Appeals District, Place 4",0160,286,67,353,717,49.23%,15,322,337
"Justice, 1st Court of Appeals District, Place 4",0161,378,173,551,992,55.54%,14,515,529
"Justice, 1st Court of Appeals District, Place 4",0162,364,267,631,1312,48.09%,152,434,586
"Justice, 1st Court of Appeals District, Place 4",0163,1080,524,1604,3075,52.16%,420,1029,1449
"Justice, 1st Court of Appeals District, Place 4",0164,441,258,699,1407,49.68%,22,646,668
"Justice, 1st Court of Appeals District, Place 4",0165,1171,469,1640,2460,66.67%,899,650,1549
