Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0159,350,147,497,997,49.85%,71,397,13,481
"Judge, Court of Criminal Appeals, Place 6",0160,286,67,353,717,49.23%,16,318,4,338
"Judge, Court of Criminal Appeals, Place 6",0161,378,173,551,992,55.54%,16,511,5,532
"Judge, Court of Criminal Appeals, Place 6",0162,364,267,631,1312,48.09%,143,429,19,591
"Judge, Court of Criminal Appeals, Place 6",0163,1083,524,1607,3075,52.26%,420,998,47,1465
"Judge, Court of Criminal Appeals, Place 6",0164,441,258,699,1407,49.68%,21,636,8,665
"Judge, Court of Criminal Appeals, Place 6",0165,1172,469,1641,2460,66.71%,885,609,70,1564
"Judge, Court of Criminal Appeals, Place 6",0166,563,261,824,1171,70.37%,247,480,46,773
"Judge, Court of Criminal Appeals, Place 6",0167,5,2,7,24,29.17%,0,6,0,6
"Judge, Court of Criminal Appeals, Place 6",0168,196,59,255,512,49.80%,4,246,2,252
"Judge, Court of Criminal Appeals, Place 6",0169,985,247,1232,2548,48.35%,33,1151,12,1196
"Judge, Court of Criminal Appeals, Place 6",0170,554,262,925,1958,47.29%,394,447,33,874
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0171,482,283,765,1648,46.42%,36,677,16,729
"Judge, Court of Criminal Appeals, Place 6",0172,245,103,348,661,52.65%,78,241,14,333
"Judge, Court of Criminal Appeals, Place 6",0173,2262,683,2945,3966,74.26%,2092,647,105,2844
"Judge, Court of Criminal Appeals, Place 6",0174,1718,707,2425,3389,71.56%,1513,698,86,2297
"Judge, Court of Criminal Appeals, Place 6",0175,1403,691,2094,2711,77.24%,980,908,65,1953
"Judge, Court of Criminal Appeals, Place 6",0176,767,375,1142,1533,74.49%,508,515,39,1062
"Judge, Court of Criminal Appeals, Place 6",0177,943,333,1276,1715,74.40%,636,500,58,1194
"Judge, Court of Criminal Appeals, Place 6",0178,1116,273,1389,1795,77.38%,866,396,47,1309
"Judge, Court of Criminal Appeals, Place 6",0179,773,244,1017,1673,60.79%,445,472,52,969
"Judge, Court of Criminal Appeals, Place 6",0180,930,463,1393,2914,47.80%,46,1264,19,1329
"Judge, Court of Criminal Appeals, Place 6",0181,698,439,1137,2195,51.80%,236,809,39,1084
"Judge, Court of Criminal Appeals, Place 6",0182,1952,994,2946,4071,72.37%,1489,1182,85,2756
"Judge, Court of Criminal Appeals, Place 6",0183,1289,715,2004,2535,79.05%,1202,638,50,1890
"Judge, Court of Criminal Appeals, Place 6",0184,278,219,497,1048,47.42%,124,329,10,463
"Judge, Court of Criminal Appeals, Place 6",0185,709,444,1153,2054,56.13%,286,773,32,1091
"Judge, Court of Criminal Appeals, Place 6",0186,252,150,402,798,50.38%,32,352,7,391
"Judge, Court of Criminal Appeals, Place 6",0187,95,51,147,309,47.57%,22,110,4,136
"Judge, Court of Criminal Appeals, Place 6",0188,499,306,805,1711,47.05%,238,505,26,769
"Judge, Court of Criminal Appeals, Place 6",0189,805,279,1084,1505,72.03%,566,406,58,1030
"Judge, Court of Criminal Appeals, Place 6",0190,571,326,897,1849,48.51%,241,573,33,847
"Judge, Court of Criminal Appeals, Place 6",0191,327,259,586,1408,41.62%,162,375,20,557
"Judge, Court of Criminal Appeals, Place 6",0192,757,259,1016,1959,51.86%,57,904,20,981
"Judge, Court of Criminal Appeals, Place 6",0193,376,211,587,1099,53.41%,16,531,16,563
"Judge, Court of Criminal Appeals, Place 6",0194,1144,449,1593,2172,73.34%,387,1044,74,1505
"Judge, Court of Criminal Appeals, Place 6",0195,606,344,950,1739,54.63%,48,842,17,907
"Judge, Court of Criminal Appeals, Place 6",0196,133,37,170,313,54.31%,15,140,6,161
"Judge, Court of Criminal Appeals, Place 6",0197,995,372,1368,2969,46.08%,34,1275,19,1328
"Judge, Court of Criminal Appeals, Place 6",0198,161,82,243,619,39.26%,8,222,4,234
"Judge, Court of Criminal Appeals, Place 6",0199,1932,815,2747,4063,67.61%,1986,557,116,2659
"Judge, Court of Criminal Appeals, Place 6",0200,2317,377,2694,3692,72.97%,1128,1327,102,2557
"Judge, Court of Criminal Appeals, Place 6",0201,222,105,327,773,42.30%,9,305,6,320
"Judge, Court of Criminal Appeals, Place 6",0202,421,233,654,1410,46.38%,21,600,9,630
"Judge, Court of Criminal Appeals, Place 6",0203,298,111,409,988,41.40%,61,312,16,389
"Judge, Court of Criminal Appeals, Place 6",0204,2104,577,2681,3568,75.14%,1325,1061,133,2519
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0205,772,171,943,1724,54.70%,21,882,16,919
"Judge, Court of Criminal Appeals, Place 6",0206,1278,494,1772,2965,59.76%,477,1087,106,1670
"Judge, Court of Criminal Appeals, Place 6",0207,606,212,818,1166,70.15%,245,497,33,775
"Judge, Court of Criminal Appeals, Place 6",0208,910,338,1248,2256,55.32%,267,870,33,1170
"Judge, Court of Criminal Appeals, Place 6",0209,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 6",0210,1269,489,1758,2781,63.21%,240,1379,74,1693
"Judge, Court of Criminal Appeals, Place 6",0211,965,595,1551,3130,49.87%,401,1015,56,1472
"Judge, Court of Criminal Appeals, Place 6",0212,309,323,632,1370,46.13%,96,487,15,598
"Judge, Court of Criminal Appeals, Place 6",0213,1782,795,2577,3406,75.66%,1924,507,57,2488
"Judge, Court of Criminal Appeals, Place 6",0214,1017,418,1435,1911,75.09%,793,505,50,1348
"Judge, Court of Criminal Appeals, Place 6",0215,1097,636,1733,2286,75.81%,924,657,55,1636
"Judge, Court of Criminal Appeals, Place 6",0216,778,244,1022,1966,51.98%,60,900,27,987
"Judge, Court of Criminal Appeals, Place 6",0217,1547,618,2165,2736,79.13%,1289,712,60,2061
"Judge, Court of Criminal Appeals, Place 6",0218,1101,457,1558,2467,63.15%,358,1023,53,1434
"Judge, Court of Criminal Appeals, Place 6",0219,1125,515,1641,2868,57.22%,138,1389,38,1565
"Judge, Court of Criminal Appeals, Place 6",0220,833,306,1139,2362,48.22%,690,356,42,1088
"Judge, Court of Criminal Appeals, Place 6",0221,1032,473,1505,2598,57.93%,472,903,43,1418
"Judge, Court of Criminal Appeals, Place 6",0222,1461,671,2132,2728,78.15%,927,1025,51,2003
"Judge, Court of Criminal Appeals, Place 6",0223,1766,517,2283,3664,62.31%,536,1521,108,2165
"Judge, Court of Criminal Appeals, Place 6",0224,1155,495,1551,2313,71.81%,677,826,61,1564
"Judge, Court of Criminal Appeals, Place 6",0225,1357,596,1953,3689,52.94%,797,1025,64,1886
"Judge, Court of Criminal Appeals, Place 6",0226,840,421,1261,2554,49.37%,221,950,37,1208
"Judge, Court of Criminal Appeals, Place 6",0227,1071,359,1430,1810,79.01%,983,342,34,1359
"Judge, Court of Criminal Appeals, Place 6",0228,628,159,787,1175,66.98%,44,718,11,773
"Judge, Court of Criminal Appeals, Place 6",0229,229,168,397,828,47.95%,102,259,14,375
"Judge, Court of Criminal Appeals, Place 6",0230,354,155,519,1094,47.44%,21,469,13,503
"Judge, Court of Criminal Appeals, Place 6",0231,802,445,1247,2376,52.48%,238,909,40,1187
"Judge, Court of Criminal Appeals, Place 6",0232,942,438,1380,1826,75.58%,688,565,39,1292
"Judge, Court of Criminal Appeals, Place 6",0233,2583,703,3286,4713,69.72%,1383,1529,179,3091
"Judge, Court of Criminal Appeals, Place 6",0234,2425,728,3153,4042,78.01%,2211,734,63,3008
"Judge, Court of Criminal Appeals, Place 6",0235,461,203,664,1421,46.73%,23,600,17,640
"Judge, Court of Criminal Appeals, Place 6",0236,555,308,964,2104,45.82%,42,874,21,937
"Judge, Court of Criminal Appeals, Place 6",0237,740,312,1052,2146,49.02%,23,991,15,1029
"Judge, Court of Criminal Appeals, Place 6",0238,607,317,924,1948,47.43%,27,850,12,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0239,694,334,1028,1984,51.81%,38,956,13,1007
"Judge, Court of Criminal Appeals, Place 6",0240,1008,292,1300,2601,49.98%,32,1222,15,1269
"Judge, Court of Criminal Appeals, Place 6",0241,652,383,1035,2466,41.97%,313,647,32,992
"Judge, Court of Criminal Appeals, Place 6",0242,507,314,821,1744,47.08%,344,404,27,775
"Judge, Court of Criminal Appeals, Place 6",0243,245,42,287,475,60.42%,4,276,4,284
"Judge, Court of Criminal Appeals, Place 6",0244,1412,538,1950,3296,59.16%,877,916,73,1866
"Judge, Court of Criminal Appeals, Place 6",0245,2103,811,2914,4679,62.28%,1725,949,125,2799
"Judge, Court of Criminal Appeals, Place 6",0246,2214,482,2696,3971,67.89%,1618,913,74,2605
"Judge, Court of Criminal Appeals, Place 6",0247,441,376,817,1595,51.22%,21,771,12,804
"Judge, Court of Criminal Appeals, Place 6",0248,454,347,801,2147,37.31%,171,567,26,764
"Judge, Court of Criminal Appeals, Place 6",0249,1127,365,1492,2825,52.81%,892,522,42,1456
"Judge, Court of Criminal Appeals, Place 6",0250,288,183,471,925,50.92%,18,440,3,461
"Judge, Court of Criminal Appeals, Place 6",0251,806,378,1184,2132,55.53%,53,1080,13,1146
"Judge, Court of Criminal Appeals, Place 6",0252,927,309,1236,2292,53.93%,23,1161,13,1197
"Judge, Court of Criminal Appeals, Place 6",0253,760,311,1071,2154,49.72%,31,1002,15,1048
"Judge, Court of Criminal Appeals, Place 6",0254,411,280,691,1675,41.25%,136,501,24,661
"Judge, Court of Criminal Appeals, Place 6",0255,1257,586,1843,2489,74.05%,747,927,66,1740
"Judge, Court of Criminal Appeals, Place 6",0256,1398,583,1981,3321,59.65%,635,1189,54,1878
"Judge, Court of Criminal Appeals, Place 6",0257,999,622,1621,3497,46.35%,353,1161,44,1558
"Judge, Court of Criminal Appeals, Place 6",0258,1948,608,2556,3346,76.39%,1756,618,70,2444
"Judge, Court of Criminal Appeals, Place 6",0259,1031,414,1445,2312,62.50%,27,1359,19,1405
"Judge, Court of Criminal Appeals, Place 6",0260,548,227,775,1300,59.62%,368,356,17,741
"Judge, Court of Criminal Appeals, Place 6",0261,442,531,973,1457,66.78%,254,642,22,918
"Judge, Court of Criminal Appeals, Place 6",0262,1849,676,2525,4397,57.43%,1250,1032,123,2405
"Judge, Court of Criminal Appeals, Place 6",0263,2212,665,2877,4016,71.64%,1962,722,81,2765
"Judge, Court of Criminal Appeals, Place 6",0264,1114,627,1741,3101,56.14%,822,762,72,1656
"Judge, Court of Criminal Appeals, Place 6",0265,1995,608,2603,3582,72.67%,1746,653,71,2470
"Judge, Court of Criminal Appeals, Place 6",0266,737,443,1180,2147,54.96%,414,673,39,1126
"Judge, Court of Criminal Appeals, Place 6",0267,421,293,714,1433,49.83%,242,409,22,673
"Judge, Court of Criminal Appeals, Place 6",0268,1178,689,1867,2528,73.85%,995,702,54,1751
"Judge, Court of Criminal Appeals, Place 6",0269,1307,365,1672,2114,79.09%,1209,351,34,1594
"Judge, Court of Criminal Appeals, Place 6",0270,1816,688,2504,3985,62.84%,1176,1086,103,2365
"Judge, Court of Criminal Appeals, Place 6",0271,1150,346,1496,2558,58.48%,32,1415,18,1465
"Judge, Court of Criminal Appeals, Place 6",0272,871,415,1286,2334,55.10%,416,756,54,1226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0273,1176,647,1823,2485,73.36%,1367,363,40,1770
"Judge, Court of Criminal Appeals, Place 6",0274,1263,311,1574,2223,70.81%,915,510,56,1481
"Judge, Court of Criminal Appeals, Place 6",0275,586,334,920,2059,44.68%,143,717,29,889
"Judge, Court of Criminal Appeals, Place 6",0276,1027,255,1282,2458,52.16%,17,1233,10,1260
"Judge, Court of Criminal Appeals, Place 6",0277,573,338,911,1898,48.00%,304,540,33,877
"Judge, Court of Criminal Appeals, Place 6",0278,1059,469,1528,2602,58.72%,619,782,44,1445
"Judge, Court of Criminal Appeals, Place 6",0279,790,314,1104,2073,53.26%,593,428,40,1061
"Judge, Court of Criminal Appeals, Place 6",0280,444,362,806,1656,48.67%,213,517,32,762
"Judge, Court of Criminal Appeals, Place 6",0281,1287,590,1877,2507,74.87%,796,873,55,1724
"Judge, Court of Criminal Appeals, Place 6",0282,777,604,1381,2144,64.41%,721,549,51,1321
"Judge, Court of Criminal Appeals, Place 6",0283,2353,1143,3496,6365,54.93%,460,2830,103,3393
"Judge, Court of Criminal Appeals, Place 6",0284,1592,574,2166,4079,53.10%,672,1321,63,2056
"Judge, Court of Criminal Appeals, Place 6",0285,1080,431,1511,2680,56.38%,111,1328,29,1468
"Judge, Court of Criminal Appeals, Place 6",0286,1714,545,2259,3757,60.13%,175,1978,36,2189
"Judge, Court of Criminal Appeals, Place 6",0287,853,408,1261,1658,76.06%,566,587,48,1201
"Judge, Court of Criminal Appeals, Place 6",0288,883,314,1197,2208,54.21%,27,1126,13,1166
"Judge, Court of Criminal Appeals, Place 6",0289,481,352,833,1584,52.59%,295,465,22,782
"Judge, Court of Criminal Appeals, Place 6",0290,705,332,1037,1623,63.89%,736,246,33,1015
"Judge, Court of Criminal Appeals, Place 6",0291,604,233,837,1218,68.72%,329,433,31,793
"Judge, Court of Criminal Appeals, Place 6",0292,549,178,727,1379,52.72%,80,608,15,703
"Judge, Court of Criminal Appeals, Place 6",0293,778,475,1253,1811,69.19%,483,638,52,1173
"Judge, Court of Criminal Appeals, Place 6",0294,852,198,1050,2054,51.12%,13,1005,16,1034
"Judge, Court of Criminal Appeals, Place 6",0295,270,111,381,894,42.62%,10,358,4,372
"Judge, Court of Criminal Appeals, Place 6",0296,701,385,1086,1705,63.70%,524,461,33,1018
"Judge, Court of Criminal Appeals, Place 6",0297,730,341,1071,2055,52.12%,354,635,37,1026
"Judge, Court of Criminal Appeals, Place 6",0298,1096,387,1483,2236,66.32%,690,675,65,1430
"Judge, Court of Criminal Appeals, Place 6",0299,499,236,735,1506,48.80%,212,466,18,696
"Judge, Court of Criminal Appeals, Place 6",0300,3386,728,4114,5480,75.07%,3000,860,123,3983
"Judge, Court of Criminal Appeals, Place 6",0301,737,392,1129,2337,48.31%,362,666,42,1070
"Judge, Court of Criminal Appeals, Place 6",0302,1199,591,1790,3277,54.62%,844,815,69,1728
"Judge, Court of Criminal Appeals, Place 6",0303,1902,692,2594,3375,76.86%,1899,550,46,2495
"Judge, Court of Criminal Appeals, Place 6",0304,1190,474,1664,2326,71.54%,839,663,67,1569
"Judge, Court of Criminal Appeals, Place 6",0305,2156,645,2801,4838,57.90%,850,1753,90,2693
"Judge, Court of Criminal Appeals, Place 6",0306,1096,299,1395,1896,73.58%,923,362,42,1327
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0307,1458,801,2259,3270,69.08%,1402,632,111,2145
"Judge, Court of Criminal Appeals, Place 6",0308,527,225,752,1457,51.61%,174,515,14,703
"Judge, Court of Criminal Appeals, Place 6",0309,2151,591,2752,3495,78.74%,2005,576,62,2643
"Judge, Court of Criminal Appeals, Place 6",0310,710,326,1036,1464,70.77%,602,349,29,980
"Judge, Court of Criminal Appeals, Place 6",0311,932,643,1575,3222,48.88%,673,749,42,1464
"Judge, Court of Criminal Appeals, Place 6",0312,1713,552,2265,3724,60.82%,1097,976,84,2157
"Judge, Court of Criminal Appeals, Place 6",0313,23,8,31,61,50.82%,16,8,0,24
"Judge, Court of Criminal Appeals, Place 6",0314,3000,817,3817,5606,68.09%,2080,1500,117,3697
"Judge, Court of Criminal Appeals, Place 6",0315,803,353,1156,1636,70.66%,613,443,35,1091
"Judge, Court of Criminal Appeals, Place 6",0316,741,340,1081,1513,71.45%,534,441,40,1015
"Judge, Court of Criminal Appeals, Place 6",0317,594,252,846,1661,50.93%,201,578,25,804
"Judge, Court of Criminal Appeals, Place 6",0318,1729,529,2258,3776,59.80%,111,2042,44,2197
"Judge, Court of Criminal Appeals, Place 6",0319,996,271,1267,2199,57.62%,68,1134,28,1230
"Judge, Court of Criminal Appeals, Place 6",0320,556,238,794,1570,50.57%,268,467,20,755
"Judge, Court of Criminal Appeals, Place 6",0321,887,363,1230,2483,49.54%,333,785,33,1151
"Judge, Court of Criminal Appeals, Place 6",0322,426,124,550,1210,45.45%,144,372,20,536
"Judge, Court of Criminal Appeals, Place 6",0323,700,296,996,1793,55.55%,343,571,42,956
"Judge, Court of Criminal Appeals, Place 6",0324,1445,560,2005,2607,76.91%,1177,665,65,1907
"Judge, Court of Criminal Appeals, Place 6",0325,802,257,1059,2176,48.67%,173,799,30,1002
"Judge, Court of Criminal Appeals, Place 6",0326,271,129,400,736,54.35%,144,215,15,374
"Judge, Court of Criminal Appeals, Place 6",0327,740,141,881,1758,50.11%,17,819,11,847
"Judge, Court of Criminal Appeals, Place 6",0328,425,286,711,1631,43.59%,195,456,25,676
"Judge, Court of Criminal Appeals, Place 6",0329,592,260,852,1621,52.56%,232,548,29,809
"Judge, Court of Criminal Appeals, Place 6",0330,864,326,1190,2146,55.45%,500,588,46,1134
"Judge, Court of Criminal Appeals, Place 6",0331,888,234,1122,1612,69.60%,674,361,49,1084
"Judge, Court of Criminal Appeals, Place 6",0332,1359,503,1882,2926,63.64%,178,1571,41,1790
"Judge, Court of Criminal Appeals, Place 6",0333,1387,942,2329,3296,70.66%,1551,583,101,2235
"Judge, Court of Criminal Appeals, Place 6",0334,247,104,351,786,44.66%,58,275,5,338
"Judge, Court of Criminal Appeals, Place 6",0335,489,293,782,1679,46.58%,178,531,23,732
"Judge, Court of Criminal Appeals, Place 6",0336,2496,689,3185,4771,66.76%,308,2725,74,3107
"Judge, Court of Criminal Appeals, Place 6",0337,371,155,526,1108,47.47%,73,412,8,493
"Judge, Court of Criminal Appeals, Place 6",0338,1627,632,2259,5001,45.17%,563,1526,61,2150
"Judge, Court of Criminal Appeals, Place 6",0339,705,303,1008,1909,52.80%,180,739,27,946
"Judge, Court of Criminal Appeals, Place 6",0340,2042,654,2696,4012,67.20%,1812,674,103,2589
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0341,380,278,658,1372,47.96%,142,462,16,620
"Judge, Court of Criminal Appeals, Place 6",0342,312,225,537,1092,49.18%,113,386,15,514
"Judge, Court of Criminal Appeals, Place 6",0343,723,370,1093,2099,52.07%,185,817,29,1031
"Judge, Court of Criminal Appeals, Place 6",0344,381,207,588,1225,48.00%,20,534,10,564
"Judge, Court of Criminal Appeals, Place 6",0345,580,349,929,1945,47.76%,161,675,42,878
"Judge, Court of Criminal Appeals, Place 6",0346,1,0,1,1,100.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 6",0347,1462,618,2080,3614,57.55%,1145,791,76,2012
"Judge, Court of Criminal Appeals, Place 6",0348,832,242,1074,1796,59.80%,689,302,41,1032
"Judge, Court of Criminal Appeals, Place 6",0349,459,369,828,1372,60.35%,463,299,41,803
"Judge, Court of Criminal Appeals, Place 6",0350,1590,582,2272,3269,69.50%,758,1282,84,2124
"Judge, Court of Criminal Appeals, Place 6",0351,2857,570,3427,4799,71.41%,2479,728,103,3310
"Judge, Court of Criminal Appeals, Place 6",0352,2025,538,2563,4278,59.91%,1700,692,89,2481
"Judge, Court of Criminal Appeals, Place 6",0353,1715,659,2374,4156,57.12%,378,1868,45,2291
"Judge, Court of Criminal Appeals, Place 6",0354,1572,429,2001,3520,56.85%,435,1432,48,1915
"Judge, Court of Criminal Appeals, Place 6",0355,821,239,1060,1714,61.84%,103,901,20,1024
"Judge, Court of Criminal Appeals, Place 6",0356,1544,582,2126,3126,68.01%,1094,852,79,2025
"Judge, Court of Criminal Appeals, Place 6",0357,1886,557,2443,3685,66.30%,1688,587,80,2355
"Judge, Court of Criminal Appeals, Place 6",0358,775,376,1151,2634,43.70%,119,977,21,1117
"Judge, Court of Criminal Appeals, Place 6",0359,805,496,1301,3320,39.19%,131,1107,27,1265
"Judge, Court of Criminal Appeals, Place 6",0360,1867,597,2464,3309,74.46%,1081,1149,79,2309
"Judge, Court of Criminal Appeals, Place 6",0361,332,688,1020,1808,56.42%,140,759,32,931
"Judge, Court of Criminal Appeals, Place 6",0362,2865,553,3418,5161,66.23%,2289,913,107,3309
"Judge, Court of Criminal Appeals, Place 6",0363,1826,635,2461,4160,59.16%,949,1386,68,2403
"Judge, Court of Criminal Appeals, Place 6",0364,1190,528,1718,2827,60.77%,736,837,62,1635
"Judge, Court of Criminal Appeals, Place 6",0365,828,174,1002,1348,74.33%,110,849,19,978
"Judge, Court of Criminal Appeals, Place 6",0366,989,524,1513,2887,52.41%,303,1108,48,1459
"Judge, Court of Criminal Appeals, Place 6",0367,455,204,659,1256,52.47%,144,461,26,631
"Judge, Court of Criminal Appeals, Place 6",0368,433,122,555,1024,54.20%,141,384,12,537
"Judge, Court of Criminal Appeals, Place 6",0369,136,29,165,678,24.34%,48,86,18,152
"Judge, Court of Criminal Appeals, Place 6",0370,2525,627,3152,4531,69.57%,2174,779,96,3049
"Judge, Court of Criminal Appeals, Place 6",0371,210,78,288,537,53.63%,10,267,6,283
"Judge, Court of Criminal Appeals, Place 6",0372,510,180,690,1274,54.16%,77,582,8,667
"Judge, Court of Criminal Appeals, Place 6",0373,61,13,74,163,45.40%,0,69,2,71
"Judge, Court of Criminal Appeals, Place 6",0374,175,165,341,720,47.36%,79,240,10,329
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0375,747,510,1257,2836,44.32%,404,746,43,1193
"Judge, Court of Criminal Appeals, Place 6",0376,755,344,1099,2060,53.35%,387,631,26,1044
"Judge, Court of Criminal Appeals, Place 6",0377,1382,643,2025,3137,64.55%,1442,418,91,1951
"Judge, Court of Criminal Appeals, Place 6",0378,622,447,1069,1856,57.60%,615,363,50,1028
"Judge, Court of Criminal Appeals, Place 6",0379,857,388,1245,2149,57.93%,99,1071,38,1208
"Judge, Court of Criminal Appeals, Place 6",0380,2736,551,3287,4380,75.05%,1645,1438,113,3196
"Judge, Court of Criminal Appeals, Place 6",0381,1185,432,1518,3141,51.51%,593,910,45,1548
"Judge, Court of Criminal Appeals, Place 6",0382,429,206,635,1035,61.35%,377,218,21,616
"Judge, Court of Criminal Appeals, Place 6",0383,723,458,1181,2373,49.77%,339,745,48,1132
"Judge, Court of Criminal Appeals, Place 6",0384,1153,444,1597,2725,58.61%,326,1171,28,1525
"Judge, Court of Criminal Appeals, Place 6",0385,1142,561,1703,2207,77.16%,1252,353,23,1628
"Judge, Court of Criminal Appeals, Place 6",0386,1658,419,2077,3105,66.89%,1434,539,52,2025
"Judge, Court of Criminal Appeals, Place 6",0387,1706,780,2486,4340,57.28%,1608,721,73,2402
"Judge, Court of Criminal Appeals, Place 6",0388,2899,711,3510,5413,66.69%,1634,1769,99,3502
"Judge, Court of Criminal Appeals, Place 6",0389,408,293,701,1359,51.58%,87,542,38,667
"Judge, Court of Criminal Appeals, Place 6",0390,708,271,979,1482,66.06%,118,794,34,946
"Judge, Court of Criminal Appeals, Place 6",0391,992,336,1328,1978,67.14%,737,495,45,1277
"Judge, Court of Criminal Appeals, Place 6",0392,653,145,798,1426,55.96%,10,750,15,775
"Judge, Court of Criminal Appeals, Place 6",0393,427,257,684,1274,53.69%,288,329,37,654
"Judge, Court of Criminal Appeals, Place 6",0394,236,126,362,914,39.61%,113,223,8,344
"Judge, Court of Criminal Appeals, Place 6",0395,1007,371,1378,1875,73.49%,863,390,61,1314
"Judge, Court of Criminal Appeals, Place 6",0396,1036,204,1240,2072,59.85%,31,1164,8,1203
"Judge, Court of Criminal Appeals, Place 6",0397,204,117,321,796,40.33%,109,187,8,304
"Judge, Court of Criminal Appeals, Place 6",0398,1762,654,2416,4200,57.52%,1022,1221,76,2319
"Judge, Court of Criminal Appeals, Place 6",0399,1294,546,1840,3340,55.09%,656,1078,48,1782
"Judge, Court of Criminal Appeals, Place 6",0400,1457,372,1839,2661,69.11%,1130,589,64,1783
"Judge, Court of Criminal Appeals, Place 6",0401,703,257,960,1971,48.71%,39,867,11,917
"Judge, Court of Criminal Appeals, Place 6",0402,898,262,1160,1911,60.70%,68,1047,13,1128
"Judge, Court of Criminal Appeals, Place 6",0403,959,387,1346,1719,78.30%,660,562,42,1264
"Judge, Court of Criminal Appeals, Place 6",0404,1034,445,1479,2717,54.44%,671,707,46,1424
"Judge, Court of Criminal Appeals, Place 6",0405,1914,457,2371,3067,77.31%,1726,544,47,2317
"Judge, Court of Criminal Appeals, Place 6",0406,275,65,340,649,52.39%,6,319,3,328
"Judge, Court of Criminal Appeals, Place 6",0407,1704,860,2564,3969,64.60%,1418,921,104,2443
"Judge, Court of Criminal Appeals, Place 6",0408,521,313,834,1740,47.93%,247,508,35,790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0409,501,280,781,1608,48.57%,222,486,35,743
"Judge, Court of Criminal Appeals, Place 6",0410,382,96,478,934,51.18%,80,363,16,459
"Judge, Court of Criminal Appeals, Place 6",0411,699,418,1117,2426,46.04%,265,762,36,1063
"Judge, Court of Criminal Appeals, Place 6",0412,156,80,236,478,49.37%,10,216,2,228
"Judge, Court of Criminal Appeals, Place 6",0413,1549,456,2005,3081,65.08%,701,1166,55,1922
"Judge, Court of Criminal Appeals, Place 6",0414,1577,514,2091,3586,58.31%,1451,496,68,2015
"Judge, Court of Criminal Appeals, Place 6",0415,1076,573,1649,2284,72.20%,1041,472,72,1585
"Judge, Court of Criminal Appeals, Place 6",0416,1444,845,2289,4009,57.10%,1039,1041,107,2187
"Judge, Court of Criminal Appeals, Place 6",0417,1105,397,1502,2589,58.01%,590,795,61,1446
"Judge, Court of Criminal Appeals, Place 6",0418,1337,663,2000,3940,50.76%,611,1212,71,1894
"Judge, Court of Criminal Appeals, Place 6",0419,1166,477,1643,2702,60.81%,886,643,55,1584
"Judge, Court of Criminal Appeals, Place 6",0420,2690,731,3421,4946,69.17%,2689,545,93,3327
"Judge, Court of Criminal Appeals, Place 6",0421,1242,273,1515,2023,74.89%,672,739,65,1476
"Judge, Court of Criminal Appeals, Place 6",0422,1357,401,1758,3348,52.81%,57,1645,20,1722
"Judge, Court of Criminal Appeals, Place 6",0423,31,e,288,604,1423,42.45%,118,446,16,580
"Judge, Court of Criminal Appeals, Place 6",0424,548,158,706,1079,65.43%,353,308,21,682
"Judge, Court of Criminal Appeals, Place 6",0425,257,139,396,878,45.10%,107,263,10,380
"Judge, Court of Criminal Appeals, Place 6",0426,487,228,715,1266,56.48%,342,321,20,683
