Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0096,828,306,1134,2060,55.05%,164,930,1094
District Attorney,0097,2511,467,2978,4414,67.47%,2093,780,2873
District Attorney,0098,1385,594,1979,3161,62.61%,1554,372,1926
District Attorney,0099,681,295,976,2192,44.53%,388,546,934
District Attorney,0100,529,276,805,1825,44.11%,312,469,781
District Attorney,0101,221,129,350,988,35.43%,83,252,335
District Attorney,0102,580,227,807,1907,42.32%,202,568,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0103,2140,985,3125,5097,61.31%,1466,1574,3040
District Attorney,0104,913,211,1124,1920,58.54%,36,1060,1096
District Attorney,0105,709,433,1142,2304,49.57%,282,798,1080
District Attorney,0106,73,59,132,299,44.15%,45,86,131
District Attorney,0107,592,403,995,2230,44.62%,164,791,955
District Attorney,0108,1461,448,1909,3674,51.96%,862,947,1809
District Attorney,0109,1098,278,1376,2909,47.30%,55,1284,1339
District Attorney,0110,1661,481,2142,3222,66.48%,1168,903,2071
District Attorney,0111,2699,866,3565,4792,74.39%,2388,1048,3436
District Attorney,0112,1507,598,2105,3188,66.03%,1312,720,2032
District Attorney,0113,1307,418,1725,2718,63.47%,851,828,1679
District Attorney,0114,2290,506,2796,3885,71.97%,1956,747,2703
District Attorney,0115,609,272,881,1843,47.80%,84,764,848
District Attorney,0116,1898,599,2497,3194,78.18%,1743,683,2426
District Attorney,0117,573,379,952,1900,50.11%,318,581,899
District Attorney,0118,1823,530,2353,3181,73.97%,1177,1101,2278
District Attorney,0119,2755,409,3164,4682,67.58%,2368,707,3075
District Attorney,0120,1804,588,2392,3732,64.09%,1359,941,2300
District Attorney,0121,354,221,575,966,59.52%,345,219,564
District Attorney,0122,732,284,1016,1904,53.36%,63,925,988
District Attorney,0123,749,287,1036,1585,65.36%,239,753,992
District Attorney,0124,3136,888,4024,5393,74.62%,3027,904,3931
District Attorney,0125,1207,400,1607,2593,61.97%,814,739,1553
District Attorney,0126,2017,427,2444,3380,72.31%,1980,385,2365
District Attorney,0127,978,214,1192,2091,57.01%,805,335,1140
District Attorney,0128,1107,612,1719,2322,74.03%,955,688,1643
District Attorney,0129,2540,1052,3592,5172,69.45%,1946,1522,3468
District Attorney,0130,1310,433,1743,2289,76.15%,1174,525,1699
District Attorney,0131,798,371,1169,2147,54.45%,235,910,1145
District Attorney,0132,1028,322,1350,2378,56.77%,60,1268,1328
District Attorney,0133,1411,746,2157,2690,80.19%,1095,980,2075
District Attorney,0134,593,345,938,1513,62.00%,349,550,899
District Attorney,0135,1614,551,2165,2777,77.96%,1288,804,2092
District Attorney,0136,982,352,1334,2116,63.04%,93,1206,1299
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0137,993,259,1252,1986,63.04%,805,399,1204
District Attorney,0138,600,228,828,1723,48.06%,42,767,809
District Attorney,0139,1939,601,2540,3435,73.94%,1051,1362,2413
District Attorney,0140,1513,510,2023,3270,61.87%,325,1616,1941
District Attorney,0141,217,153,370,904,40.93%,183,166,349
District Attorney,0142,293,140,433,933,46.41%,92,318,410
District Attorney,0143,1868,267,2135,2582,82.69%,1322,761,2083
District Attorney,0144,442,125,567,1086,52.21%,23,528,551
District Attorney,0145,560,256,816,1564,52.17%,22,774,796
District Attorney,0146,1000,494,1494,2073,72.07%,584,848,1432
District Attorney,0147,1411,354,1765,3211,54.97%,229,1493,1722
District Attorney,0148,1265,652,1917,2571,74.56%,686,1159,1845
District Attorney,0149,2938,573,3511,4756,73.82%,1881,1529,3410
District Attorney,0150,582,223,805,1574,51.14%,39,738,777
District Attorney,0151,282,107,389,826,47.09%,18,355,373
District Attorney,0152,838,524,1362,3059,44.52%,262,1028,1290
District Attorney,0153,544,399,943,1873,50.35%,210,698,908
District Attorney,0154,913,289,1202,2293,52.42%,241,889,1130
District Attorney,0155,2275,576,2851,4065,70.14%,1679,1066,2745
District Attorney,0156,1413,403,1815,3223,56.35%,111,1653,1764
District Attorney,0157,880,278,1158,2265,51.13%,73,1057,1130
District Attorney,0158,1143,365,1508,3049,49.46%,53,1425,1478
District Attorney,0159,348,147,495,997,49.65%,75,405,480
District Attorney,0160,286,67,353,717,49.23%,16,324,340
District Attorney,0161,378,173,551,992,55.54%,20,516,536
District Attorney,0162,364,267,631,1312,48.09%,146,442,588
District Attorney,0163,1080,524,1604,3075,52.16%,423,1045,1468
District Attorney,0164,441,258,699,1407,49.68%,32,647,679
District Attorney,0165,1169,469,1638,2460,66.59%,863,708,1571
District Attorney,0166,562,261,823,1171,70.28%,254,536,790
District Attorney,0167,5,2,7,24,29.17%,2,5,7
District Attorney,0168,196,59,255,512,49.80%,9,241,250
District Attorney,0169,985,247,1232,2548,48.35%,58,1142,1200
District Attorney,0170,553,262,925,1958,47.24%,393,474,867
