Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0409,501,280,781,1608,48.57%,223,517,740
District Attorney,0410,381,96,477,934,51.07%,89,369,458
District Attorney,0411,699,418,1117,2426,46.04%,263,793,1056
District Attorney,0412,156,80,236,478,49.37%,16,214,230
District Attorney,0413,1546,456,2002,3081,64.98%,733,1206,1939
District Attorney,0414,1573,514,2087,3586,58.20%,1440,586,2026
District Attorney,0415,1076,573,1649,2284,72.20%,1049,530,1579
District Attorney,0416,1443,845,2288,4009,57.07%,1055,1136,2191
District Attorney,0417,1104,397,1501,2589,57.98%,583,857,1440
District Attorney,0418,1336,663,1999,3940,50.74%,623,1276,1899
District Attorney,0419,1166,477,1643,2702,60.81%,897,693,1590
District Attorney,0420,2687,731,3418,4946,69.11%,2630,691,3321
District Attorney,0421,1240,273,1513,2023,74.79%,669,795,1464
District Attorney,0422,1357,401,1768,3348,52.81%,84,1643,1727
District Attorney,0423,316,288,604,1423,42.45%,123,460,583
District Attorney,0424,548,158,706,1079,65.43%,347,328,675
District Attorney,0425,257,139,396,878,45.10%,110,270,380
District Attorney,0426,485,228,713,1266,56.32%,341,343,684
District Attorney,0427,437,155,592,1120,52.86%,175,387,562
District Attorney,0428,1588,865,2553,5151,49.56%,605,1823,2428
District Attorney,0429,947,649,1596,3311,48.20%,307,1219,1526
District Attorney,0430,524,291,815,1794,45.43%,131,635,766
District Attorney,0431,1218,604,1822,3860,47.20%,370,1371,1741
District Attorney,0432,456,249,705,1568,44.96%,193,472,665
District Attorney,0433,163,88,251,561,44.74%,54,190,244
District Attorney,0434,831,293,1124,1557,72.19%,557,503,1060
District Attorney,0435,1951,567,2518,3363,74.87%,1458,963,2421
District Attorney,0436,2008,678,2686,3809,70.52%,1364,1220,2584
District Attorney,0437,1148,425,1573,2094,75.12%,968,551,1519
District Attorney,0438,2288,475,2763,3789,72.92%,1751,908,2659
District Attorney,0439,1854,749,2603,3701,70.33%,1639,872,2511
District Attorney,0440,1498,749,2247,2973,75.58%,1626,539,2165
District Attorney,0441,824,408,1232,1695,72.68%,797,400,1197
District Attorney,0442,2441,685,3126,4315,72.44%,2405,621,3026
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0443,415,83,498,642,77.57%,336,145,481
District Attorney,0444,1820,679,2299,3625,63.42%,1167,1030,2197
District Attorney,0445,1038,382,1418,2134,66.45%,789,592,1381
District Attorney,0446,89,45,134,309,43.37%,47,82,129
District Attorney,0447,2411,464,2875,3727,77.14%,1784,969,2753
District Attorney,0448,1783,529,2292,3155,72.65%,1190,995,2185
District Attorney,0449,73,26,99,225,44.00%,11,86,97
District Attorney,0450,1104,394,1498,2890,51.83%,365,1082,1447
District Attorney,0451,1719,367,2086,2771,75.28%,1585,450,2035
District Attorney,0452,1871,662,2533,3789,66.85%,1602,841,2443
District Attorney,0453,661,417,1078,2039,52.87%,285,746,1031
District Attorney,0454,1043,288,1331,2509,53.05%,35,1266,1301
District Attorney,0455,669,173,842,1713,49.15%,41,771,812
District Attorney,0456,1,1404,553,1957,3793,51.60%,988,886,1874
District Attorney,0457,0,0,0,0,0.00%,0,0,0
District Attorney,0458,914,253,1167,2025,57.63%,88,1037,1125
District Attorney,0459,2382,432,2794,3942,70.88%,2011,696,2707
District Attorney,0460,1813,472,2085,3280,63.57%,520,1495,2015
District Attorney,0461,2242,669,2911,4054,71.81%,1675,1107,2782
District Attorney,0462,1474,738,2212,3507,63.07%,712,1429,2141
District Attorney,0463,1573,564,2237,3773,59.29%,824,1353,2177
District Attorney,0464,967,582,1549,2343,66.11%,895,583,1478
District Attorney,0465,1828,594,2222,3778,58.81%,930,1206,2136
District Attorney,0466,2274,509,2783,4327,64.32%,1336,1355,2691
District Attorney,0467,501,225,726,1320,55.00%,154,544,698
District Attorney,0468,1379,747,2125,4040,52.62%,508,1525,2033
District Attorney,0469,1857,462,2329,3257,71.51%,1694,568,2262
District Attorney,0470,555,232,787,1358,57.95%,543,222,765
District Attorney,0471,1057,458,1515,2473,61.26%,1088,384,1472
District Attorney,0472,463,339,802,1131,70.91%,309,455,764
District Attorney,0473,944,390,1334,1787,74.65%,843,442,1285
District Attorney,0474,1417,624,2041,3127,65.27%,1266,705,1971
District Attorney,0475,791,261,1052,1936,54.34%,392,614,1006
District Attorney,0476,1077,405,1482,2458,60.29%,733,702,1435
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0477,2027,640,2667,4010,66.51%,1704,849,2553
District Attorney,0478,2271,683,2954,4696,62.90%,1745,1104,2849
District Attorney,0479,1978,755,2733,3851,70.97%,1869,789,2658
District Attorney,0480,1445,538,1983,2978,66.59%,1288,647,1935
District Attorney,0481,1756,667,2423,3609,67.14%,1646,687,2333
District Attorney,0482,2259,618,2877,4405,65.31%,1853,930,2783
District Attorney,0483,2305,538,2843,4495,63.25%,1359,1381,2740
District Attorney,0484,2020,700,2720,3981,68.32%,1610,1025,2635
District Attorney,0485,2118,567,2685,4051,66.28%,1805,802,2607
District Attorney,0486,2310,721,3031,4195,72.25%,2175,744,2919
District Attorney,0487,1405,527,1932,4142,46.64%,459,1323,1782
District Attorney,0488,842,511,1353,2382,56.80%,342,952,1294
District Attorney,0489,865,344,1209,1958,61.75%,306,862,1168
District Attorney,0490,980,346,1326,2105,62.99%,380,905,1285
District Attorney,0491,937,488,1425,2110,67.54%,703,669,1372
District Attorney,0492,1217,396,1613,2552,63.21%,777,782,1559
District Attorney,0493,1404,555,1959,3338,58.69%,688,1178,1866
District Attorney,0494,1079,419,1498,2787,53.75%,187,1264,1451
District Attorney,0495,1414,376,1790,2488,71.95%,1106,614,1720
District Attorney,0496,687,549,1236,2325,53.16%,404,784,1188
District Attorney,0497,915,281,1197,2148,55.73%,61,1104,1165
District Attorney,0498,1069,423,1492,2527,59.04%,504,931,1435
District Attorney,0499,1433,397,1830,2336,78.34%,1200,585,1785
District Attorney,0500,1869,651,2520,3698,68.14%,1485,954,2439
District Attorney,0501,1146,406,1552,2016,76.98%,581,894,1475
District Attorney,0502,1,355,293,1559,2595,63.93%,1214,391,1605
District Attorney,0503,1397,306,1703,2236,76.16%,1195,434,1629
District Attorney,0504,1270,482,1752,2318,75.58%,1024,678,1702
District Attorney,0505,1750,735,2485,4076,60.97%,997,1370,2367
District Attorney,0506,1513,696,2209,3544,62.33%,355,1786,2141
District Attorney,0507,599,319,918,2562,35.83%,194,627,821
District Attorney,0508,1519,828,2347,4767,49.23%,636,1545,2181
District Attorney,0509,2504,669,3173,5153,61.58%,1883,1186,3069
District Attorney,0510,1701,666,2367,3822,61.93%,935,1366,2301
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0511,2933,574,3507,4620,75.91%,2057,1342,3399
District Attorney,0512,1668,871,2539,4559,55.69%,937,1506,2443
District Attorney,0513,1754,413,2187,3003,72.16%,1461,640,2101
District Attorney,0514,2288,613,2899,4378,66.22%,1860,940,2800
District Attorney,0515,1836,468,2304,3182,72.41%,1731,504,2235
District Attorney,0516,1316,363,1679,2799,59.99%,772,859,1631
District Attorney,0517,1610,509,2119,3744,56.60%,845,1191,2036
District Attorney,0518,1886,676,2562,4049,63.27%,1407,1068,2475
District Attorney,0519,1421,518,1939,3098,62.59%,1237,630,1867
District Attorney,0520,1788,670,2456,5202,47.21%,373,2030,2403
District Attorney,0521,1350,578,1928,3070,62.80%,862,1003,1865
District Attorney,0522,1508,464,1972,2815,70.05%,1370,564,1934
District Attorney,0523,1978,537,2515,4027,62.45%,1454,958,2412
District Attorney,0524,1392,637,2029,3598,56.39%,513,1446,1959
District Attorney,0525,1440,574,2014,3260,61.78%,430,1497,1927
District Attorney,0526,235,157,392,820,47.80%,85,280,365
District Attorney,0527,156,38,194,580,33.45%,71,112,183
District Attorney,0528,17,8,25,78,32.05%,1,23,24
District Attorney,0529,2107,434,2541,3842,66.14%,2012,436,2448
District Attorney,0530,375,212,587,1236,47.49%,117,424,541
District Attorney,0531,1234,166,1400,2250,62.22%,975,368,1343
District Attorney,0532,478,140,618,1058,58.41%,394,210,604
District Attorney,0533,352,169,521,1164,44.76%,244,252,496
District Attorney,0534,1895,577,2472,3918,63.09%,1627,761,2388
District Attorney,0535,132,62,194,413,46.97%,57,124,181
District Attorney,0536,2104,1053,3157,5637,56.00%,977,2018,2995
District Attorney,0537,1958,464,2422,3174,76.31%,1616,744,2360
District Attorney,0538,371,203,574,1332,43.09%,22,538,560
District Attorney,0539,811,234,1045,1535,68.08%,543,455,998
District Attorney,0540,997,349,1346,1759,76.52%,431,854,1285
District Attorney,0541,2157,761,2918,5001,58.35%,458,2347,2805
District Attorney,0542,1156,406,1562,2654,58.85%,128,1386,1514
District Attorney,0543,553,321,874,1658,52.71%,210,631,841
District Attorney,0544,84,54,138,313,44.09%,20,115,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0545,2015,468,2483,3949,62.88%,1039,1334,2373
District Attorney,0546,1524,278,1802,2471,72.93%,1451,317,1768
District Attorney,0547,1413,270,1683,2534,66.42%,1050,571,1621
District Attorney,0548,882,395,1277,2339,54.60%,528,723,1251
District Attorney,0549,1105,447,1552,2786,55.71%,193,1317,1510
District Attorney,0550,1171,553,1724,3245,53.13%,709,973,1682
District Attorney,0551,2586,793,3379,4428,76.31%,2392,874,3266
District Attorney,0552,2090,784,2874,3762,76.40%,2178,607,2785
District Attorney,0553,962,317,1279,2193,58.32%,454,784,1238
District Attorney,0554,597,271,868,1774,48.93%,157,679,836
District Attorney,0555,639,390,1029,2286,45.01%,168,822,990
District Attorney,0556,759,435,1194,2491,47.93%,228,917,1145
District Attorney,0557,925,460,1385,2955,46.87%,374,916,1290
District Attorney,0558,1812,721,2533,4718,53.69%,731,1731,2462
District Attorney,0559,1901,701,2602,4984,52.21%,560,1951,2511
District Attorney,0560,290,247,537,1141,47.06%,89,418,507
District Attorney,0561,1023,624,1647,3138,52.49%,896,680,1576
District Attorney,0562,222,116,338,691,48.91%,43,267,310
District Attorney,0563,2069,337,2406,3468,69.38%,1750,593,2343
District Attorney,0564,1551,526,2077,3240,64.10%,533,1452,1985
District Attorney,0565,336,148,484,1414,34.23%,75,390,465
District Attorney,0566,1183,441,1624,3029,53.62%,389,1181,1570
District Attorney,0567,965,390,1355,2851,47.53%,317,961,1278
District Attorney,0568,1833,697,2530,3638,69.54%,1518,903,2421
District Attorney,0569,2027,747,2774,4125,67.25%,1232,1419,2651
District Attorney,0570,766,278,1044,1598,65.33%,360,627,987
District Attorney,0571,521,314,835,1950,42.82%,233,562,795
District Attorney,0572,1522,444,1966,3308,59.43%,788,1107,1895
District Attorney,0573,489,215,704,1625,43.32%,19,678,697
District Attorney,0574,112,74,186,391,47.57%,27,151,178
District Attorney,0575,1905,535,2440,3557,68.60%,1299,1052,2351
District Attorney,0576,1107,375,1482,2830,52.37%,104,1336,1440
District Attorney,0577,885,205,1090,1586,68.73%,603,454,1057
District Attorney,0578,1026,405,1431,1862,76.85%,814,561,1375
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0579,287,181,468,1139,41.09%,77,368,445
District Attorney,0580,366,108,474,985,48.12%,21,446,467
District Attorney,0581,456,137,593,1033,57.41%,25,553,578
District Attorney,0582,543,232,775,1607,48.23%,54,693,747
District Attorney,0583,433,155,588,1286,45.72%,23,553,576
District Attorney,0584,367,120,487,1062,45.86%,39,431,470
District Attorney,0585,829,280,1109,2346,47.27%,62,1017,1079
District Attorney,0586,1790,790,2580,4521,57.07%,1369,1116,2485
District Attorney,0587,1204,431,1635,2870,56.97%,507,1074,1581
District Attorney,0588,1940,606,2546,3780,67.35%,1596,878,2474
District Attorney,0589,1539,545,2084,3780,55.13%,939,1066,2005
District Attorney,0590,1230,400,1630,2176,74.91%,1191,384,1575
District Attorney,0591,651,462,1113,2274,48.94%,262,796,1058
District Attorney,0592,449,272,721,1446,49.86%,154,538,692
District Attorney,0593,1581,755,2316,4179,55.42%,871,1335,2206
District Attorney,0594,1243,316,1559,2578,60.47%,403,1118,1521
District Attorney,0595,600,299,899,1833,49.05%,132,737,869
District Attorney,0596,1377,501,1878,3574,52.55%,791,1001,1792
District Attorney,0597,1204,609,1813,3587,50.54%,594,1142,1736
District Attorney,0598,2389,731,3120,5253,59.39%,1033,1954,2987
District Attorney,0599,1378,493,1871,3005,62.26%,594,1229,1823
District Attorney,0600,1602,776,2378,4204,56.57%,747,1520,2267
District Attorney,0601,2220,670,2890,4151,69.62%,1959,854,2813
District Attorney,0602,754,234,988,1441,68.56%,625,329,954
District Attorney,0603,2335,725,3060,4666,65.58%,1631,1320,2951
District Attorney,0604,1816,375,2191,3189,68.70%,1724,389,2113
District Attorney,0605,1711,599,2310,4217,54.78%,513,1687,2200
District Attorney,0606,319,111,430,970,44.33%,12,407,419
District Attorney,0607,163,51,214,712,30.06%,24,182,206
District Attorney,0608,156,77,233,570,40.88%,70,151,221
District Attorney,0609,2037,729,2766,4305,64.25%,1496,1161,2657
District Attorney,0610,665,343,1008,2086,48.32%,372,578,950
District Attorney,0611,980,229,1209,2527,47.84%,54,1129,1183
District Attorney,0612,1927,431,2358,3388,69.60%,1663,608,2271
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0613,937,339,1276,2368,53.89%,216,1009,1225
District Attorney,0614,1949,645,2594,4566,56.81%,734,1756,2490
District Attorney,0615,1075,301,1376,2086,65.96%,685,644,1329
District Attorney,0616,1809,611,2420,3516,68.83%,1493,834,2327
District Attorney,0617,1704,650,2354,4179,56.33%,742,1530,2272
District Attorney,0618,1698,545,2243,3801,59.01%,856,1314,2170
District Attorney,0619,2792,663,3455,4916,70.28%,2389,989,3378
District Attorney,0620,1747,333,2080,3318,62.69%,984,1023,2007
District Attorney,0621,536,200,736,1272,57.86%,282,414,696
District Attorney,0622,2129,591,2720,4562,59.62%,1361,1262,2623
District Attorney,0623,1960,461,2421,3919,61.78%,1430,917,2347
District Attorney,0624,297,59,356,456,78.07%,259,90,349
District Attorney,0625,924,372,1296,1864,69.53%,661,597,1258
District Attorney,0626,2280,784,3064,4816,63.62%,1494,1472,2966
District Attorney,0627,935,649,1584,3235,48.96%,400,1119,1519
District Attorney,0628,716,545,1261,2420,52.11%,402,779,1181
District Attorney,0629,162,96,258,750,34.40%,33,217,250
District Attorney,0630,2662,541,3203,4738,67.60%,357,2769,3126
District Attorney,0631,1841,398,2239,3263,68.62%,1395,755,2150
District Attorney,0632,4,1,5,241,2.07%,0,5,5
District Attorney,0633,2286,601,2887,3912,73.80%,1858,937,2795
District Attorney,0634,1435,499,1934,3259,59.34%,1053,821,1874
District Attorney,0635,1645,520,2165,3512,61.65%,1497,585,2082
District Attorney,0636,2303,922,3225,4569,70.58%,2678,446,3124
District Attorney,0637,1095,423,1518,2591,58.59%,316,1117,1433
District Attorney,0638,850,348,1198,2310,51.86%,104,1064,1168
District Attorney,0639,1386,284,1670,2560,65.23%,1213,398,1611
District Attorney,0640,1619,615,2234,3927,56.89%,1183,980,2163
District Attorney,0641,1637,683,2320,3840,60.42%,1253,979,2232
District Attorney,0642,1030,270,1300,1783,72.91%,969,302,1271
District Attorney,0643,1948,593,2541,4189,60.66%,1117,1349,2466
District Attorney,0644,2087,689,2776,4446,62.44%,1505,1177,2682
District Attorney,0645,2145,769,2914,4517,64.51%,1102,1706,2808
District Attorney,0646,925,399,1324,2422,54.67%,330,932,1262
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0647,1372,526,1898,4349,43.64%,403,1373,1776
District Attorney,0648,1859,500,2359,3487,67.65%,1553,743,2296
District Attorney,0649,1549,775,2324,4755,48.87%,555,1681,2236
District Attorney,0650,2033,819,2852,4039,70.61%,1805,966,2771
District Attorney,0651,1734,551,2285,3873,59.00%,1140,1059,2199
District Attorney,0652,1165,545,1710,2979,57.40%,266,1403,1669
District Attorney,0653,185,110,295,604,48.84%,66,220,286
District Attorney,0654,2381,698,3079,5063,60.81%,1492,1477,2969
District Attorney,0655,1959,761,2720,4495,60.51%,1394,1202,2596
District Attorney,0656,1106,401,1507,2737,55.06%,80,1385,1465
District Attorney,0657,683,276,959,1487,64.49%,317,605,922
District Attorney,0658,1299,494,1793,2901,61.81%,1009,725,1734
District Attorney,0659,2806,733,3539,5161,68.57%,2286,1139,3425
District Attorney,0660,1575,345,1920,3087,62.20%,210,1660,1870
District Attorney,0661,1945,774,2720,4363,62.34%,1273,1335,2608
District Attorney,0662,2267,571,2838,4002,70.91%,2177,593,2770
District Attorney,0663,1338,448,1786,2340,76.32%,841,854,1695
District Attorney,0664,909,513,1422,2992,47.53%,257,1101,1358
District Attorney,0665,1327,360,1687,2354,71.67%,1290,349,1639
District Attorney,0666,0,0,0,0,0.00%,0,0,0
District Attorney,0667,1109,400,1509,2175,69.38%,1062,402,1464
District Attorney,0668,1552,719,2271,3669,61.90%,1265,933,2198
District Attorney,0669,1889,702,2591,3585,72.27%,1654,852,2506
District Attorney,0670,1996,416,2412,3335,72.32%,1768,572,2340
District Attorney,0671,1398,588,1986,3198,62.10%,1007,907,1914
District Attorney,0672,1724,489,2213,3433,64.46%,1467,690,2157
District Attorney,0673,1525,467,2092,3051,68.57%,1571,466,2037
District Attorney,0674,2354,610,2964,4228,70.10%,2037,838,2875
District Attorney,0675,0,0,0,0,0.00%,0,0,0
District Attorney,0676,1087,465,1552,2976,52.15%,546,936,1482
District Attorney,0677,423,259,682,1300,52.46%,165,478,643
District Attorney,0678,1164,294,1458,2660,54.81%,171,1241,1412
District Attorney,0679,1718,529,2247,3542,63.44%,1475,685,2160
District Attorney,0680,98,17,115,179,64.25%,45,68,113
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0681,e,0,6,4,150.00%,4,2,6
District Attorney,0682,2112,690,2802,4313,64.97%,1909,804,2713
District Attorney,0683,82,5,87,302,28.81%,18,64,82
District Attorney,0684,1580,640,2320,3559,65.19%,1343,887,2230
District Attorney,0685,139,28,167,285,58.60%,75,82,157
District Attorney,0686,53,5,58,221,26.24%,14,42,56
District Attorney,0687,1510,400,1910,2713,70.40%,1173,666,1839
District Attorney,0688,2333,594,2927,3922,74.63%,2175,677,2852
District Attorney,0689,725,604,1330,2449,54.31%,530,720,1250
District Attorney,0690,1957,553,2520,3614,69.73%,1829,604,2433
District Attorney,0691,2131,551,2682,3690,72.68%,1958,646,2604
District Attorney,0692,1278,678,1956,3118,62.73%,1314,567,1881
District Attorney,0693,309,110,419,681,61.53%,97,310,407
District Attorney,0694,1005,319,1324,2478,53.43%,492,781,1273
District Attorney,0695,628,315,943,1842,51.19%,520,379,899
District Attorney,0696,723,312,1035,2027,51.06%,577,429,1006
District Attorney,0697,1299,552,1851,3238,57.16%,437,1348,1785
District Attorney,0698,1275,520,1795,3339,53.76%,212,1524,1736
District Attorney,0699,1276,398,1674,2387,70.13%,998,593,1591
District Attorney,0700,726,247,973,1536,63.35%,768,179,947
District Attorney,0701,208,73,281,614,45.77%,119,142,261
District Attorney,0702,183,69,252,550,45.82%,36,206,242
District Attorney,0703,899,528,1427,1943,73.44%,952,425,1377
District Attorney,0704,1698,512,2210,3121,70.81%,1714,444,2158
District Attorney,0705,331,206,537,1513,35.49%,53,469,522
District Attorney,0706,1248,372,1620,2821,57.43%,557,974,1531
District Attorney,0707,377,69,446,757,58.92%,247,180,427
District Attorney,0708,162,98,260,592,43.92%,80,173,253
District Attorney,0709,2257,528,2785,4136,67.34%,1391,1310,2701
District Attorney,0710,1132,450,1582,2096,75.48%,798,717,1515
District Attorney,0711,1978,599,2577,3820,67.46%,1253,1228,2481
District Attorney,0712,1720,627,2347,4002,58.65%,797,1485,2282
District Attorney,0713,770,365,1135,2006,56.58%,500,598,1098
District Attorney,0714,102,28,130,306,42.48%,49,74,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0715,553,239,792,1549,51.13%,355,412,767
District Attorney,0716,1215,419,1635,2720,60.11%,1084,503,1587
District Attorney,0717,974,232,1206,2082,57.93%,174,989,1163
District Attorney,0718,2243,872,3115,4412,70.60%,1909,1093,3002
District Attorney,0719,624,223,847,1644,51.52%,399,414,813
District Attorney,0720,2498,709,3207,4709,68.10%,2035,1053,3088
District Attorney,0721,1455,603,2059,2926,70.71%,1252,730,1982
District Attorney,0722,1929,609,2538,4638,54.72%,193,2275,2468
District Attorney,0723,897,261,1158,1959,59.11%,219,897,1116
District Attorney,0724,395,146,541,800,67.63%,339,184,523
District Attorney,0725,976,294,1270,2336,54.37%,474,737,1211
District Attorney,0726,1271,321,1592,2207,72.13%,1323,232,1555
District Attorney,0727,981,415,1396,2708,51.55%,368,1000,1368
District Attorney,0728,399,198,597,942,63.38%,327,244,571
District Attorney,0729,235,49,284,471,60.30%,151,126,277
District Attorney,0730,1360,406,1766,2435,72.53%,1037,659,1696
District Attorney,0731,2087,624,2711,4834,56.08%,1075,1545,2620
District Attorney,0732,791,449,1240,1943,63.82%,679,509,1188
District Attorney,0733,55,25,80,303,26.40%,25,52,77
District Attorney,0734,2307,556,2863,4294,66.67%,1782,992,2774
District Attorney,0735,157,61,218,251,86.85%,110,102,212
District Attorney,0736,14,3,17,42,40.48%,0,14,14
District Attorney,0737,21,6,27,56,48.21%,19,8,27
District Attorney,0738,435,214,649,1497,43.35%,110,524,634
District Attorney,0739,978,440,1418,2971,47.73%,591,777,1368
District Attorney,0740,280,159,449,1005,44.68%,215,214,429
District Attorney,0741,923,262,1185,1895,62.53%,296,833,1129
District Attorney,0742,1532,498,2030,2859,71.00%,1200,757,1957
District Attorney,0743,54,60,114,234,48.72%,41,65,106
District Attorney,0744,1009,444,1453,2103,69.09%,806,594,1400
District Attorney,0745,1213,446,1659,2543,65.24%,936,667,1603
District Attorney,0746,244,121,365,732,49.86%,165,175,340
District Attorney,0747,1746,693,2439,4096,59.55%,987,1356,2343
District Attorney,0748,563,245,808,1556,51.93%,361,419,780
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0749,115,1,116,432,26.85%,19,93,112
District Attorney,0750,294,122,416,809,51.42%,215,179,394
District Attorney,0751,2931,1013,3944,5893,66.93%,2245,1556,3801
District Attorney,0752,659,227,886,1484,59.70%,553,298,851
District Attorney,0753,258,53,311,512,60.74%,119,179,298
District Attorney,0754,386,262,648,1590,40.75%,32,596,628
District Attorney,0755,1782,955,2737,5015,54.58%,916,1705,2621
District Attorney,0756,687,309,996,1723,57.81%,312,648,960
District Attorney,0757,1867,601,2468,4792,51.50%,402,1994,2396
District Attorney,0758,2104,595,2699,3803,70.97%,1960,645,2605
District Attorney,0759,1389,375,1764,2779,63.48%,960,740,1700
District Attorney,0760,1219,268,1487,2162,68.78%,1129,320,1449
District Attorney,0761,1088,167,1255,1598,78.54%,830,390,1220
District Attorney,0762,924,303,1227,1828,67.12%,529,656,1185
District Attorney,0763,370,264,634,1249,50.76%,184,417,601
District Attorney,0764,2472,677,3149,4827,65.24%,1791,1236,3027
District Attorney,0765,2051,874,2925,5742,50.94%,759,2076,2835
District Attorney,0766,126,59,185,428,43.22%,26,143,169
District Attorney,0767,31,15,46,92,50.00%,20,24,44
District Attorney,0768,1479,387,1866,2643,70.60%,1367,437,1804
District Attorney,0769,85,14,99,184,53.80%,6,92,98
District Attorney,0770,103,42,145,388,37.37%,48,93,141
District Attorney,0771,572,210,782,1588,49.24%,310,445,755
District Attorney,0772,2805,477,3282,4606,71.25%,2287,889,3176
District Attorney,0773,1693,638,2331,4414,52.81%,550,1639,2189
District Attorney,0774,150,66,216,426,50.70%,49,161,210
District Attorney,0775,50,1,51,102,50.00%,1,49,50
District Attorney,0776,1432,538,1970,3276,60.13%,1062,838,1900
District Attorney,0777,201,105,306,767,39.90%,69,226,295
District Attorney,0778,0,3,3,0,0.00%,0,3,3
District Attorney,0779,263,160,423,1019,41.51%,101,284,385
District Attorney,0780,170,130,300,666,45.05%,100,178,278
District Attorney,0781,1235,612,1847,3782,48.84%,538,1177,1715
District Attorney,0782,1048,368,1416,2355,60.13%,789,564,1353
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0783,197,90,287,520,55.19%,20,259,279
District Attorney,0784,408,119,527,1062,49.62%,22,490,512
District Attorney,0785,1229,357,1586,1896,83.65%,780,744,1524
District Attorney,0786,396,177,573,1258,45.55%,172,373,545
District Attorney,0787,180,83,263,542,48.52%,79,173,252
District Attorney,0788,2,0,2,13,15.38%,2,0,2
District Attorney,0789,1377,420,1797,2998,59.94%,980,765,1745
District Attorney,0790,1143,329,1472,2523,58.34%,476,940,1416
District Attorney,0791,9,3,12,29,41.38%,2,10,12
District Attorney,0792,548,415,1063,1954,54.40%,246,778,1024
District Attorney,0793,984,416,1400,2620,53.44%,685,657,1342
District Attorney,0794,626,411,1037,3208,32.33%,107,898,1005
District Attorney,0795,396,2,398,1281,31.07%,120,251,371
District Attorney,0796,1371,455,1835,3041,60.37%,729,1059,1788
District Attorney,0797,0,0,0,0,0.00%,0,0,0
District Attorney,0798,222,142,364,521,69.87%,126,224,350
District Attorney,0799,58,26,84,171,49.12%,16,67,83
District Attorney,0800,1934,730,2664,4216,63.19%,1519,1063,2582
District Attorney,0801,90,44,134,261,51.34%,41,88,129
District Attorney,0802,54,21,75,224,33.48%,12,55,67
District Attorney,0803,2555,547,3212,4514,71.16%,2109,1001,3110
District Attorney,0804,2703,682,3385,5303,63.83%,1701,1585,3286
District Attorney,0805,1597,454,2051,2874,71.36%,1512,478,1990
District Attorney,0806,1001,324,1325,1889,70.14%,785,506,1291
District Attorney,0807,792,349,1141,2163,52.75%,200,908,1108
District Attorney,0808,142,57,199,232,85.78%,76,112,188
District Attorney,0809,19,7,26,98,26.53%,12,13,25
District Attorney,0810,47,31,78,197,39.59%,12,58,70
District Attorney,0811,82,68,150,277,54.15%,31,114,145
District Attorney,0812,0,0,0,0,0.00%,0,0,0
District Attorney,0813,1742,434,2176,3488,62.39%,898,1205,2103
District Attorney,0814,1968,827,2795,5483,50.98%,550,2155,2705
District Attorney,0815,0,0,0,0,0.00%,0,0,0
District Attorney,0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0817,2787,550,3337,4700,71.00%,2228,1020,3248
District Attorney,0818,208,104,312,737,42.33%,67,236,303
District Attorney,0819,108,31,139,228,60.96%,65,72,137
