Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0323,700,296,996,1793,55.55%,361,594,955
"District Judge, 127th Judicial District",0324,1444,560,2004,2607,76.87%,1127,750,1877
"District Judge, 127th Judicial District",0325,802,257,1059,2176,48.67%,177,819,996
"District Judge, 127th Judicial District",0326,271,129,400,736,54.35%,142,228,370
"District Judge, 127th Judicial District",0327,738,141,879,1758,50.00%,23,827,850
"District Judge, 127th Judicial District",0328,425,286,711,1631,43.59%,205,466,671
"District Judge, 127th Judicial District",0329,589,260,849,1621,52.38%,247,558,805
"District Judge, 127th Judicial District",0330,863,326,1189,2146,55.41%,509,612,1121
"District Judge, 127th Judicial District",0331,884,234,1118,1612,69.35%,680,375,1055
"District Judge, 127th Judicial District",0332,1355,503,1858,2926,63.50%,179,1598,1777
"District Judge, 127th Judicial District",0333,1385,942,2327,3296,70.60%,1573,630,2203
"District Judge, 127th Judicial District",0334,246,104,350,786,44.53%,55,280,335
"District Judge, 127th Judicial District",0335,489,293,782,1679,46.58%,186,540,726
"District Judge, 127th Judicial District",0336,2489,689,3178,4771,66.61%,317,2764,3081
"District Judge, 127th Judicial District",0337,367,155,522,1108,47.11%,68,419,487
"District Judge, 127th Judicial District",0338,1626,632,2258,5001,45.15%,559,1576,2135
"District Judge, 127th Judicial District",0339,704,303,1007,1909,52.75%,185,750,935
"District Judge, 127th Judicial District",0340,2040,654,2694,4012,67.15%,1837,719,2556
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0341,380,278,658,1372,47.96%,150,468,618
"District Judge, 127th Judicial District",0342,311,225,536,1092,49.08%,110,394,504
"District Judge, 127th Judicial District",0343,722,370,1092,2099,52.02%,188,824,1012
"District Judge, 127th Judicial District",0344,381,207,588,1225,48.00%,23,535,558
"District Judge, 127th Judicial District",0345,575,349,924,1945,47.51%,177,689,866
"District Judge, 127th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 127th Judicial District",0347,1461,618,2079,3614,57.53%,1160,831,1991
"District Judge, 127th Judicial District",0348,830,242,1072,1796,59.69%,701,324,1025
"District Judge, 127th Judicial District",0349,458,369,827,1372,60.28%,478,320,798
"District Judge, 127th Judicial District",0350,1674,582,2256,3269,69.01%,755,1324,2079
"District Judge, 127th Judicial District",0351,2855,570,3425,4799,71.37%,2497,780,3277
"District Judge, 127th Judicial District",0352,2023,538,2561,4278,59.86%,1733,725,2458
"District Judge, 127th Judicial District",0353,1715,659,2374,4156,57.12%,391,1889,2280
"District Judge, 127th Judicial District",0354,1569,429,1998,3520,56.76%,435,1455,1890
"District Judge, 127th Judicial District",0355,821,239,1060,1714,61.84%,103,922,1025
"District Judge, 127th Judicial District",0356,1542,582,2124,3126,67.95%,1107,901,2008
"District Judge, 127th Judicial District",0357,1882,557,2439,3685,66.19%,1711,613,2324
"District Judge, 127th Judicial District",0358,775,376,1151,2634,43.70%,122,983,1105
"District Judge, 127th Judicial District",0359,803,496,1299,3320,39.13%,134,1124,1258
"District Judge, 127th Judicial District",0360,1858,597,2455,3309,74.19%,1078,1206,2284
"District Judge, 127th Judicial District",0361,323,688,1011,1808,55.92%,145,765,910
"District Judge, 127th Judicial District",0362,2865,553,3418,5161,66.23%,2295,970,3265
"District Judge, 127th Judicial District",0363,1826,635,2461,4160,59.16%,955,1427,2382
"District Judge, 127th Judicial District",0364,1190,528,1718,2827,60.77%,741,866,1607
"District Judge, 127th Judicial District",0365,827,174,1001,1348,74.26%,109,859,968
"District Judge, 127th Judicial District",0366,988,524,1512,2887,52.37%,314,1129,1443
"District Judge, 127th Judicial District",0367,453,204,657,1256,52.31%,149,473,622
"District Judge, 127th Judicial District",0368,433,122,555,1024,54.20%,144,392,536
"District Judge, 127th Judicial District",0369,132,29,161,678,23.75%,56,90,146
"District Judge, 127th Judicial District",0370,2525,627,3152,4531,69.57%,2193,818,3011
"District Judge, 127th Judicial District",0371,210,78,288,537,53.63%,11,270,281
"District Judge, 127th Judicial District",0372,509,180,689,1274,54.08%,76,589,665
"District Judge, 127th Judicial District",0373,61,13,74,163,45.40%,0,70,70
"District Judge, 127th Judicial District",0374,176,165,341,720,47.36%,75,250,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0375,745,510,1255,2836,44.25%,416,764,1180
"District Judge, 127th Judicial District",0376,753,344,1097,2060,53.25%,389,639,1028
"District Judge, 127th Judicial District",0377,1381,643,2024,3137,64.52%,1490,434,1924
"District Judge, 127th Judicial District",0378,621,447,1068,1856,57.54%,636,385,1021
"District Judge, 127th Judicial District",0379,857,388,1245,2149,57.93%,113,1093,1206
"District Judge, 127th Judicial District",0380,2732,551,3283,4380,74.95%,1673,1481,3154
"District Judge, 127th Judicial District",0381,1185,432,1617,3141,51.48%,596,939,1535
"District Judge, 127th Judicial District",0382,429,206,635,1035,61.35%,388,220,608
"District Judge, 127th Judicial District",0383,722,458,1180,2373,49.73%,335,779,1114
"District Judge, 127th Judicial District",0384,1152,444,1596,2725,58.57%,329,1189,1518
"District Judge, 127th Judicial District",0385,1141,561,1702,2207,77.12%,1199,411,1610
"District Judge, 127th Judicial District",0386,1658,419,2077,3105,66.89%,1439,572,2011
"District Judge, 127th Judicial District",0387,1702,780,2482,4340,57.19%,1604,768,2372
"District Judge, 127th Judicial District",0388,2899,711,3510,5413,66.69%,1666,1802,3468
"District Judge, 127th Judicial District",0389,397,293,690,1359,50.77%,95,552,647
"District Judge, 127th Judicial District",0390,698,271,969,1482,65.38%,122,812,934
"District Judge, 127th Judicial District",0391,986,336,1322,1978,66.84%,740,522,1262
"District Judge, 127th Judicial District",0392,652,145,797,1426,55.89%,18,751,769
"District Judge, 127th Judicial District",0393,427,257,684,1274,53.69%,303,345,648
"District Judge, 127th Judicial District",0394,236,126,362,914,39.61%,114,229,343
"District Judge, 127th Judicial District",0395,1007,371,1378,1875,73.49%,880,415,1295
"District Judge, 127th Judicial District",0396,1035,204,1239,2072,59.80%,30,1172,1202
"District Judge, 127th Judicial District",0397,204,117,321,796,40.33%,111,189,300
"District Judge, 127th Judicial District",0398,1761,654,2415,4200,57.50%,1051,1246,2297
"District Judge, 127th Judicial District",0399,1291,546,1837,3340,55.00%,688,1081,1769
"District Judge, 127th Judicial District",0400,1457,372,1839,2661,69.11%,1140,628,1768
"District Judge, 127th Judicial District",0401,703,257,960,1971,48.71%,45,869,914
"District Judge, 127th Judicial District",0402,897,262,1159,1911,60.65%,77,1048,1125
"District Judge, 127th Judicial District",0403,959,387,1346,1719,78.30%,642,603,1245
"District Judge, 127th Judicial District",0404,1033,445,1478,2717,54.40%,686,736,1422
"District Judge, 127th Judicial District",0405,1910,457,2367,3067,77.18%,1731,565,2296
"District Judge, 127th Judicial District",0406,275,65,340,649,52.39%,7,323,330
"District Judge, 127th Judicial District",0407,1703,860,2563,3969,64.58%,1448,968,2416
"District Judge, 127th Judicial District",0408,520,313,833,1740,47.87%,244,535,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0409,501,280,781,1608,48.57%,223,509,732
"District Judge, 127th Judicial District",0410,381,96,477,934,51.07%,84,373,457
"District Judge, 127th Judicial District",0411,699,418,1117,2426,46.04%,265,786,1051
"District Judge, 127th Judicial District",0412,156,80,236,478,49.37%,13,213,226
"District Judge, 127th Judicial District",0413,1546,456,2002,3081,64.98%,700,1196,1896
"District Judge, 127th Judicial District",0414,1573,514,2087,3586,58.20%,1458,538,1996
"District Judge, 127th Judicial District",0415,1076,573,1649,2284,72.20%,1067,502,1569
"District Judge, 127th Judicial District",0416,1443,845,2288,4009,57.07%,1073,1092,2165
"District Judge, 127th Judicial District",0417,1104,397,1501,2589,57.98%,608,821,1429
"District Judge, 127th Judicial District",0418,1336,663,1999,3940,50.74%,631,1246,1877
"District Judge, 127th Judicial District",0419,1166,477,1643,2702,60.81%,904,665,1569
"District Judge, 127th Judicial District",0420,2687,731,3418,4946,69.11%,2696,587,3283
"District Judge, 127th Judicial District",0421,1240,273,1513,2023,74.79%,685,767,1452
"District Judge, 127th Judicial District",0422,1357,401,1768,3348,52.81%,65,1651,1716
"District Judge, 127th Judicial District",0423,316,288,604,1423,42.45%,115,460,575
"District Judge, 127th Judicial District",0424,548,158,706,1079,65.43%,346,324,670
"District Judge, 127th Judicial District",0425,257,139,396,878,45.10%,111,265,376
"District Judge, 127th Judicial District",0426,485,228,713,1266,56.32%,339,329,668
"District Judge, 127th Judicial District",0427,437,155,592,1120,52.86%,182,369,551
"District Judge, 127th Judicial District",0428,1588,865,2553,5151,49.56%,623,1793,2416
"District Judge, 127th Judicial District",0429,947,649,1596,3311,48.20%,327,1190,1517
"District Judge, 127th Judicial District",0430,524,291,815,1794,45.43%,124,633,757
"District Judge, 127th Judicial District",0431,1218,604,1822,3860,47.20%,376,1355,1731
"District Judge, 127th Judicial District",0432,456,249,705,1568,44.96%,202,455,657
"District Judge, 127th Judicial District",0433,163,88,251,561,44.74%,54,182,236
"District Judge, 127th Judicial District",0434,831,293,1124,1557,72.19%,583,465,1048
"District Judge, 127th Judicial District",0435,1951,567,2518,3363,74.87%,1451,918,2369
"District Judge, 127th Judicial District",0436,2008,678,2686,3809,70.52%,1371,1152,2523
"District Judge, 127th Judicial District",0437,1148,425,1573,2094,75.12%,979,517,1496
"District Judge, 127th Judicial District",0438,2288,475,2763,3789,72.92%,1781,830,2611
"District Judge, 127th Judicial District",0439,1854,749,2603,3701,70.33%,1651,812,2463
"District Judge, 127th Judicial District",0440,1498,749,2247,2973,75.58%,1607,519,2126
"District Judge, 127th Judicial District",0441,824,408,1232,1695,72.68%,806,362,1168
"District Judge, 127th Judicial District",0442,2441,685,3126,4315,72.44%,2458,531,2989
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0443,415,83,498,642,77.57%,340,132,472
"District Judge, 127th Judicial District",0444,1620,679,2299,3625,63.42%,1177,973,2150
"District Judge, 127th Judicial District",0445,1036,382,1418,2134,66.45%,812,531,1343
"District Judge, 127th Judicial District",0446,89,45,134,309,43.37%,44,85,129
"District Judge, 127th Judicial District",0447,2411,464,2875,3727,77.14%,1831,907,2738
"District Judge, 127th Judicial District",0448,1763,529,2292,3155,72.65%,1183,932,2115
"District Judge, 127th Judicial District",0449,73,26,99,225,44.00%,10,87,97
"District Judge, 127th Judicial District",0450,1104,394,1498,2890,51.83%,365,1067,1432
"District Judge, 127th Judicial District",0451,1719,367,2086,2771,75.28%,1597,411,2008
"District Judge, 127th Judicial District",0452,1871,662,2533,3789,66.85%,1652,769,2421
"District Judge, 127th Judicial District",0453,661,417,1078,2039,52.87%,269,745,1014
"District Judge, 127th Judicial District",0454,1043,288,1331,2509,53.05%,24,1265,1289
"District Judge, 127th Judicial District",0455,669,173,842,1713,49.15%,28,783,811
"District Judge, 127th Judicial District",0456,1404,553,1957,3793,51.60%,1003,848,1851
"District Judge, 127th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0458,914,253,1167,2025,57.63%,73,1045,1118
"District Judge, 127th Judicial District",0459,2362,432,2794,3942,70.88%,2054,627,2681
"District Judge, 127th Judicial District",0460,1613,472,2085,3280,63.57%,507,1503,2010
"District Judge, 127th Judicial District",0461,2242,669,2911,4054,71.81%,1672,1054,2726
"District Judge, 127th Judicial District",0462,1474,738,2212,3507,63.07%,703,1417,2120
"District Judge, 127th Judicial District",0463,1673,564,2237,3773,59.29%,832,1330,2162
"District Judge, 127th Judicial District",0464,967,582,1549,2343,66.11%,918,540,1458
"District Judge, 127th Judicial District",0465,1628,594,2222,3778,58.81%,971,1148,2119
"District Judge, 127th Judicial District",0466,2274,509,2783,4327,64.32%,1360,1315,2675
"District Judge, 127th Judicial District",0467,501,225,726,1320,55.00%,147,543,690
"District Judge, 127th Judicial District",0468,1379,747,2126,4040,52.62%,506,1511,2017
"District Judge, 127th Judicial District",0469,1867,462,2329,3257,71.51%,1722,505,2227
"District Judge, 127th Judicial District",0470,555,232,787,1358,57.95%,553,197,750
"District Judge, 127th Judicial District",0471,1057,458,1515,2473,61.26%,1099,358,1457
"District Judge, 127th Judicial District",0472,463,339,802,1131,70.91%,299,447,746
"District Judge, 127th Judicial District",0473,944,390,1334,1787,74.65%,862,405,1267
"District Judge, 127th Judicial District",0474,1417,624,2041,3127,65.27%,1284,672,1956
"District Judge, 127th Judicial District",0475,791,261,1052,1936,54.34%,398,597,995
"District Judge, 127th Judicial District",0476,1077,405,1482,2458,60.29%,741,670,1411
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0477,2027,640,2667,4010,66.51%,1764,774,2538
"District Judge, 127th Judicial District",0478,2271,683,2954,4696,62.90%,1785,1032,2817
"District Judge, 127th Judicial District",0479,1978,755,2733,3851,70.97%,1940,695,2635
"District Judge, 127th Judicial District",0480,1445,538,1983,2978,66.59%,1302,605,1907
"District Judge, 127th Judicial District",0481,1756,667,2423,3609,67.14%,1690,608,2298
"District Judge, 127th Judicial District",0482,2259,618,2877,4405,65.31%,1891,868,2759
"District Judge, 127th Judicial District",0483,2305,538,2843,4495,63.25%,1394,1291,2685
"District Judge, 127th Judicial District",0484,2020,700,2720,3981,68.32%,1665,942,2607
"District Judge, 127th Judicial District",0485,2118,567,2685,4051,66.28%,1861,724,2585
"District Judge, 127th Judicial District",0486,2310,721,3031,4195,72.25%,2238,661,2899
"District Judge, 127th Judicial District",0487,1405,527,1932,4142,46.64%,458,1309,1767
"District Judge, 127th Judicial District",0488,842,511,1353,2382,56.80%,363,923,1286
"District Judge, 127th Judicial District",0489,865,344,1209,1958,61.75%,311,840,1151
"District Judge, 127th Judicial District",0490,980,346,1326,2105,62.99%,378,871,1249
"District Judge, 127th Judicial District",0491,937,488,1425,2110,67.54%,724,619,1343
"District Judge, 127th Judicial District",0492,1217,396,1613,2552,63.21%,763,773,1536
"District Judge, 127th Judicial District",0493,1404,555,1959,3338,58.69%,699,1140,1839
"District Judge, 127th Judicial District",0494,1079,419,1498,2787,53.75%,181,1259,1440
"District Judge, 127th Judicial District",0495,1414,376,1790,2488,71.95%,1157,536,1693
"District Judge, 127th Judicial District",0496,687,549,1235,2325,53.16%,407,772,1179
"District Judge, 127th Judicial District",0497,915,281,1197,2148,55.73%,46,1107,1153
"District Judge, 127th Judicial District",0498,1069,423,1492,2527,59.04%,495,921,1416
"District Judge, 127th Judicial District",0499,1433,397,1830,2336,78.34%,1213,535,1748
"District Judge, 127th Judicial District",0500,1869,651,2520,3698,68.14%,1508,894,2402
"District Judge, 127th Judicial District",0501,1146,406,1552,2016,76.98%,594,857,1451
"District Judge, 127th Judicial District",0502,1355,293,1559,2595,63.93%,1234,343,1577
"District Judge, 127th Judicial District",0503,1397,306,1703,2236,76.16%,1220,394,1614
"District Judge, 127th Judicial District",0504,1270,482,1752,2318,75.58%,1047,612,1659
"District Judge, 127th Judicial District",0505,1750,735,2485,4076,60.97%,1031,1282,2313
"District Judge, 127th Judicial District",0506,1513,696,2209,3544,62.33%,328,1801,2129
"District Judge, 127th Judicial District",0507,599,319,918,2562,35.83%,196,617,813
"District Judge, 127th Judicial District",0508,1519,828,2347,4767,49.23%,627,1538,2165
"District Judge, 127th Judicial District",0509,2504,669,3173,5153,61.58%,1920,1115,3035
"District Judge, 127th Judicial District",0510,1701,666,2367,3822,61.93%,961,1315,2276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0511,2933,574,3507,4620,75.91%,2060,1320,3380
"District Judge, 127th Judicial District",0512,1668,871,2539,4559,55.69%,944,1478,2422
"District Judge, 127th Judicial District",0513,1754,413,2187,3003,72.16%,1496,573,2069
"District Judge, 127th Judicial District",0514,2288,613,2899,4378,66.22%,1917,852,2769
"District Judge, 127th Judicial District",0515,1836,468,2304,3182,72.41%,1759,446,2205
"District Judge, 127th Judicial District",0516,1316,363,1679,2799,59.99%,784,822,1606
"District Judge, 127th Judicial District",0517,1610,509,2119,3744,56.60%,880,1136,2016
"District Judge, 127th Judicial District",0518,1886,676,2562,4049,63.27%,1439,1002,2441
"District Judge, 127th Judicial District",0519,1421,518,1939,3098,62.59%,1270,587,1857
"District Judge, 127th Judicial District",0520,1788,670,2456,5202,47.21%,370,2012,2382
"District Judge, 127th Judicial District",0521,1350,578,1928,3070,62.80%,878,978,1856
"District Judge, 127th Judicial District",0522,1508,464,1972,2815,70.05%,1404,504,1908
"District Judge, 127th Judicial District",0523,1978,537,2515,4027,62.45%,1473,899,2372
"District Judge, 127th Judicial District",0524,1392,637,2029,3598,56.39%,531,1404,1935
"District Judge, 127th Judicial District",0525,1440,574,2014,3260,61.78%,402,1515,1917
"District Judge, 127th Judicial District",0526,235,157,392,820,47.80%,84,277,361
"District Judge, 127th Judicial District",0527,156,38,194,580,33.45%,70,111,181
"District Judge, 127th Judicial District",0528,17,8,25,78,32.05%,1,23,24
"District Judge, 127th Judicial District",0529,2107,434,2541,3842,66.14%,2044,384,2428
"District Judge, 127th Judicial District",0530,375,212,587,1236,47.49%,113,423,536
"District Judge, 127th Judicial District",0531,1234,166,1400,2250,62.22%,1001,320,1321
"District Judge, 127th Judicial District",0532,478,140,618,1058,58.41%,409,198,607
"District Judge, 127th Judicial District",0533,352,169,521,1164,44.76%,250,239,489
"District Judge, 127th Judicial District",0534,1895,577,2472,3918,63.09%,1648,701,2349
"District Judge, 127th Judicial District",0535,132,62,194,413,46.97%,55,124,179
"District Judge, 127th Judicial District",0536,2104,1053,3157,5637,56.00%,977,1993,2970
"District Judge, 127th Judicial District",0537,1958,464,2422,3174,76.31%,1663,660,2323
"District Judge, 127th Judicial District",0538,371,203,574,1332,43.09%,16,544,560
"District Judge, 127th Judicial District",0539,811,234,1045,1535,68.08%,555,436,991
"District Judge, 127th Judicial District",0540,997,349,1346,1759,76.52%,423,821,1244
"District Judge, 127th Judicial District",0541,2157,761,2918,5001,58.35%,457,2328,2785
"District Judge, 127th Judicial District",0542,1156,406,1562,2654,58.85%,104,1397,1501
"District Judge, 127th Judicial District",0543,553,321,874,1658,52.71%,209,620,829
"District Judge, 127th Judicial District",0544,84,54,138,313,44.09%,14,120,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0545,2015,468,2483,3949,62.88%,1054,1293,2347
"District Judge, 127th Judicial District",0546,1524,278,1802,2471,72.93%,1472,283,1755
"District Judge, 127th Judicial District",0547,1413,270,1683,2534,66.42%,1076,530,1606
"District Judge, 127th Judicial District",0548,882,395,1277,2339,54.60%,543,690,1233
"District Judge, 127th Judicial District",0549,1105,447,1552,2786,55.71%,183,1321,1504
"District Judge, 127th Judicial District",0550,1171,553,1724,3245,53.13%,711,955,1666
"District Judge, 127th Judicial District",0551,2586,793,3379,4428,76.31%,2461,770,3231
"District Judge, 127th Judicial District",0552,2090,784,2874,3762,76.40%,2235,526,2761
"District Judge, 127th Judicial District",0553,962,317,1279,2193,58.32%,483,752,1235
"District Judge, 127th Judicial District",0554,597,271,868,1774,48.93%,167,664,831
"District Judge, 127th Judicial District",0555,639,390,1029,2286,45.01%,166,818,984
"District Judge, 127th Judicial District",0556,759,435,1194,2491,47.93%,228,910,1138
"District Judge, 127th Judicial District",0557,925,460,1385,2955,46.87%,372,903,1275
"District Judge, 127th Judicial District",0558,1812,721,2533,4718,53.69%,716,1710,2426
"District Judge, 127th Judicial District",0559,1901,701,2602,4984,52.21%,558,1925,2483
"District Judge, 127th Judicial District",0560,290,247,537,1141,47.06%,86,416,502
"District Judge, 127th Judicial District",0561,1023,624,1647,3138,52.49%,921,637,1558
"District Judge, 127th Judicial District",0562,222,116,338,691,48.91%,37,271,308
"District Judge, 127th Judicial District",0563,2069,337,2406,3468,69.38%,1782,524,2306
"District Judge, 127th Judicial District",0564,1551,526,2077,3240,64.10%,519,1445,1964
"District Judge, 127th Judicial District",0565,336,148,484,1414,34.23%,77,381,458
"District Judge, 127th Judicial District",0566,1183,441,1624,3029,53.62%,395,1155,1550
"District Judge, 127th Judicial District",0567,965,390,1355,2851,47.53%,321,938,1259
"District Judge, 127th Judicial District",0568,1833,697,2530,3638,69.54%,1513,851,2364
"District Judge, 127th Judicial District",0569,2027,747,2774,4125,67.25%,1248,1346,2594
"District Judge, 127th Judicial District",0570,766,278,1044,1598,65.33%,351,617,968
"District Judge, 127th Judicial District",0571,521,314,835,1950,42.82%,242,547,789
"District Judge, 127th Judicial District",0572,1522,444,1966,3308,59.43%,811,1061,1872
"District Judge, 127th Judicial District",0573,489,215,704,1625,43.32%,19,671,690
"District Judge, 127th Judicial District",0574,112,74,186,391,47.57%,18,159,177
"District Judge, 127th Judicial District",0575,1905,535,2440,3557,68.60%,1306,1024,2330
"District Judge, 127th Judicial District",0576,1107,375,1482,2830,52.37%,87,1347,1434
"District Judge, 127th Judicial District",0577,885,205,1090,1586,68.73%,607,420,1027
"District Judge, 127th Judicial District",0578,1026,405,1431,1862,76.85%,805,517,1322
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0579,287,181,468,1139,41.09%,77,362,439
"District Judge, 127th Judicial District",0580,366,108,474,985,48.12%,21,446,467
"District Judge, 127th Judicial District",0581,456,137,593,1033,57.41%,17,553,570
"District Judge, 127th Judicial District",0582,543,232,775,1607,48.23%,47,697,744
"District Judge, 127th Judicial District",0583,433,155,588,1286,45.72%,17,557,574
"District Judge, 127th Judicial District",0584,367,120,487,1062,45.86%,34,434,468
"District Judge, 127th Judicial District",0585,829,280,1109,2346,47.27%,56,1015,1071
"District Judge, 127th Judicial District",0586,1790,790,2580,4521,57.07%,1408,1057,2465
"District Judge, 127th Judicial District",0587,1204,431,1635,2870,56.97%,519,1045,1564
"District Judge, 127th Judicial District",0588,1940,606,2546,3780,67.35%,1621,825,2446
"District Judge, 127th Judicial District",0589,1539,545,2084,3780,55.13%,954,1047,2001
"District Judge, 127th Judicial District",0590,1230,400,1630,2176,74.91%,1169,380,1549
"District Judge, 127th Judicial District",0591,651,462,1113,2274,48.94%,264,780,1044
"District Judge, 127th Judicial District",0592,449,272,721,1446,49.86%,140,544,684
"District Judge, 127th Judicial District",0593,1581,755,2316,4179,55.42%,869,1311,2180
"District Judge, 127th Judicial District",0594,1243,316,1559,2578,60.47%,400,1111,1511
"District Judge, 127th Judicial District",0595,600,299,899,1833,49.05%,134,733,867
"District Judge, 127th Judicial District",0596,1377,501,1878,3574,52.55%,826,948,1774
"District Judge, 127th Judicial District",0597,1204,609,1813,3587,50.54%,594,1124,1718
"District Judge, 127th Judicial District",0598,2389,731,3120,5253,59.39%,1022,1962,2984
"District Judge, 127th Judicial District",0599,1378,493,1871,3005,62.26%,623,1184,1807
"District Judge, 127th Judicial District",0600,1602,776,2378,4204,56.57%,754,1501,2255
"District Judge, 127th Judicial District",0601,2220,670,2890,4151,69.62%,2005,780,2785
"District Judge, 127th Judicial District",0602,754,234,988,1441,68.56%,645,300,945
"District Judge, 127th Judicial District",0603,2335,725,3060,4666,65.58%,1690,1242,2932
"District Judge, 127th Judicial District",0604,1816,375,2191,3189,68.70%,1774,313,2087
"District Judge, 127th Judicial District",0605,1711,599,2310,4217,54.78%,507,1682,2189
"District Judge, 127th Judicial District",0606,319,111,430,970,44.33%,8,411,419
"District Judge, 127th Judicial District",0607,163,51,214,712,30.06%,24,181,205
"District Judge, 127th Judicial District",0608,156,77,233,570,40.88%,76,145,221
"District Judge, 127th Judicial District",0609,2037,729,2766,4305,64.25%,1517,1114,2631
"District Judge, 127th Judicial District",0610,665,343,1008,2086,48.32%,392,554,946
"District Judge, 127th Judicial District",0611,980,229,1209,2527,47.84%,45,1135,1180
"District Judge, 127th Judicial District",0612,1927,431,2358,3388,69.60%,1702,546,2248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0613,937,339,1276,2368,53.89%,214,1003,1217
"District Judge, 127th Judicial District",0614,1949,645,2594,4566,56.81%,732,1740,2472
"District Judge, 127th Judicial District",0615,1075,301,1376,2086,65.96%,678,636,1314
"District Judge, 127th Judicial District",0616,1809,611,2420,3516,68.83%,1531,758,2289
"District Judge, 127th Judicial District",0617,1704,650,2354,4179,56.33%,753,1507,2260
"District Judge, 127th Judicial District",0618,1698,545,2243,3801,59.01%,883,1280,2163
"District Judge, 127th Judicial District",0619,2792,663,3455,4916,70.28%,2449,896,3345
"District Judge, 127th Judicial District",0620,1747,333,2080,3318,62.69%,1010,969,1979
"District Judge, 127th Judicial District",0621,536,200,736,1272,57.86%,285,406,691
"District Judge, 127th Judicial District",0622,2129,591,2720,4562,59.62%,1403,1186,2589
"District Judge, 127th Judicial District",0623,1960,461,2421,3919,61.78%,1449,860,2309
"District Judge, 127th Judicial District",0624,297,59,356,456,78.07%,263,78,341
"District Judge, 127th Judicial District",0625,924,372,1296,1864,69.53%,660,563,1223
"District Judge, 127th Judicial District",0626,2280,784,3054,4816,63.62%,1517,1385,2902
"District Judge, 127th Judicial District",0627,935,649,1584,3235,48.96%,393,1115,1508
"District Judge, 127th Judicial District",0628,716,545,1261,2420,52.11%,411,773,1184
"District Judge, 127th Judicial District",0629,162,96,258,750,34.40%,32,215,247
"District Judge, 127th Judicial District",0630,2662,541,3203,4738,67.60%,319,2789,3108
"District Judge, 127th Judicial District",0631,1841,398,2239,3263,68.62%,1426,711,2137
"District Judge, 127th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 127th Judicial District",0633,2285,601,2887,3912,73.80%,1892,879,2771
"District Judge, 127th Judicial District",0634,1435,499,1934,3259,59.34%,1051,803,1854
"District Judge, 127th Judicial District",0635,1645,520,2165,3512,61.65%,1544,516,2060
"District Judge, 127th Judicial District",0636,2303,922,3225,4569,70.58%,2735,369,3104
"District Judge, 127th Judicial District",0637,1095,423,1518,2591,58.59%,322,1066,1388
"District Judge, 127th Judicial District",0638,850,348,1198,2310,51.86%,100,1072,1172
"District Judge, 127th Judicial District",0639,1385,284,1670,2560,65.23%,1231,360,1591
"District Judge, 127th Judicial District",0640,1619,615,2234,3927,56.89%,1220,922,2142
"District Judge, 127th Judicial District",0641,1637,683,2320,3840,60.42%,1295,919,2214
"District Judge, 127th Judicial District",0642,1030,270,1300,1783,72.91%,975,275,1250
"District Judge, 127th Judicial District",0643,1948,593,2541,4189,60.66%,1151,1289,2440
"District Judge, 127th Judicial District",0644,2087,689,2776,4446,62.44%,1539,1120,2659
"District Judge, 127th Judicial District",0645,2145,769,2914,4517,64.51%,1144,1613,2757
"District Judge, 127th Judicial District",0646,925,399,1324,2422,54.67%,323,932,1255
