Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0074,2503,268,2771,3578,77.45%,2001,639,2640
"District Judge, 127th Judicial District",0075,1000,286,1286,1684,76.37%,527,669,1196
"District Judge, 127th Judicial District",0076,1015,427,1442,2441,59.07%,694,669,1363
"District Judge, 127th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 127th Judicial District",0078,618,254,872,1608,54.23%,213,580,793
"District Judge, 127th Judicial District",0079,831,602,1433,2963,48.36%,245,1075,1320
"District Judge, 127th Judicial District",0080,1174,466,1640,2840,57.75%,331,1210,1541
"District Judge, 127th Judicial District",0081,776,273,1049,1964,53.41%,284,705,989
"District Judge, 127th Judicial District",0082,1585,756,2341,3539,66.15%,1634,610,2244
"District Judge, 127th Judicial District",0083,1829,540,2369,4174,56.76%,863,1413,2276
"District Judge, 127th Judicial District",0084,573,257,830,1421,58.41%,567,231,798
"District Judge, 127th Judicial District",0085,587,329,916,2169,42.23%,41,836,877
"District Judge, 127th Judicial District",0086,2032,493,2525,3449,73.21%,1112,1252,2364
"District Judge, 127th Judicial District",0087,1451,719,2170,2839,76.44%,1223,821,2044
"District Judge, 127th Judicial District",0088,338,141,479,784,61.10%,303,150,453
"District Judge, 127th Judicial District",0089,398,424,822,1094,75.14%,413,352,765
"District Judge, 127th Judicial District",0090,1856,890,2746,3883,70.72%,1960,662,2622
"District Judge, 127th Judicial District",0091,673,339,1012,1724,58.70%,543,401,944
"District Judge, 127th Judicial District",0092,1263,474,1737,2260,76.86%,1063,571,1634
"District Judge, 127th Judicial District",0093,1048,619,1667,3536,47.14%,462,1118,1580
"District Judge, 127th Judicial District",0094,202,63,265,580,45.69%,46,205,251
"District Judge, 127th Judicial District",0095,2022,534,2556,3394,75.31%,1565,865,2430
"District Judge, 127th Judicial District",0096,828,306,1134,2060,55.05%,157,924,1081
"District Judge, 127th Judicial District",0097,2511,467,2978,4414,67.47%,2165,673,2838
"District Judge, 127th Judicial District",0098,1385,594,1979,3161,62.61%,1579,321,1900
"District Judge, 127th Judicial District",0099,681,295,976,2192,44.53%,396,531,927
"District Judge, 127th Judicial District",0100,529,276,805,1825,44.11%,321,450,771
"District Judge, 127th Judicial District",0101,221,129,350,988,35.43%,82,253,335
"District Judge, 127th Judicial District",0102,580,227,807,1907,42.32%,197,563,760
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0103,2140,985,3125,5097,61.31%,1462,1546,3008
"District Judge, 127th Judicial District",0104,913,211,1124,1920,58.54%,27,1070,1097
"District Judge, 127th Judicial District",0105,709,433,1142,2304,49.57%,277,782,1059
"District Judge, 127th Judicial District",0106,73,59,132,299,44.15%,42,87,129
"District Judge, 127th Judicial District",0107,592,403,995,2230,44.62%,159,793,952
"District Judge, 127th Judicial District",0108,1461,448,1909,3674,51.96%,886,903,1789
"District Judge, 127th Judicial District",0109,1098,278,1376,2909,47.30%,37,1290,1327
"District Judge, 127th Judicial District",0110,1661,481,2142,3222,66.48%,1201,854,2055
"District Judge, 127th Judicial District",0111,2699,866,3565,4792,74.39%,2419,976,3395
"District Judge, 127th Judicial District",0112,1507,598,2105,3188,66.03%,1358,646,2004
"District Judge, 127th Judicial District",0113,1307,418,1725,2718,63.47%,861,789,1650
"District Judge, 127th Judicial District",0114,2290,506,2796,3885,71.97%,1991,687,2678
"District Judge, 127th Judicial District",0115,609,272,881,1843,47.80%,82,762,844
"District Judge, 127th Judicial District",0116,1898,599,2497,3194,78.18%,1763,625,2388
"District Judge, 127th Judicial District",0117,573,379,952,1900,50.11%,317,571,888
"District Judge, 127th Judicial District",0118,1823,530,2353,3181,73.97%,1164,1073,2237
"District Judge, 127th Judicial District",0119,2755,409,3164,4682,67.58%,2404,615,3019
"District Judge, 127th Judicial District",0120,1804,588,2392,3732,64.09%,1353,915,2268
"District Judge, 127th Judicial District",0121,354,221,575,966,59.52%,356,202,558
"District Judge, 127th Judicial District",0122,732,284,1016,1904,53.36%,52,921,973
"District Judge, 127th Judicial District",0123,749,287,1036,1585,65.36%,254,727,981
"District Judge, 127th Judicial District",0124,3136,888,4024,5393,74.62%,3088,804,3892
"District Judge, 127th Judicial District",0125,1207,400,1607,2593,61.97%,832,708,1540
"District Judge, 127th Judicial District",0126,2017,427,2444,3380,72.31%,2003,340,2343
"District Judge, 127th Judicial District",0127,978,214,1192,2091,57.01%,807,316,1123
"District Judge, 127th Judicial District",0128,1107,612,1719,2322,74.03%,939,647,1586
"District Judge, 127th Judicial District",0129,2540,1052,3592,5172,69.45%,1998,1404,3402
"District Judge, 127th Judicial District",0130,1310,433,1743,2289,76.15%,1176,487,1663
"District Judge, 127th Judicial District",0131,798,371,1169,2147,54.45%,238,895,1133
"District Judge, 127th Judicial District",0132,1028,322,1350,2378,56.77%,49,1270,1319
"District Judge, 127th Judicial District",0133,1411,746,2157,2690,80.19%,1075,934,2009
"District Judge, 127th Judicial District",0134,593,345,938,1513,62.00%,357,527,884
"District Judge, 127th Judicial District",0135,1614,551,2165,2777,77.96%,1233,815,2048
"District Judge, 127th Judicial District",0136,982,352,1334,2116,63.04%,82,1194,1276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0137,993,259,1252,1986,63.04%,825,375,1200
"District Judge, 127th Judicial District",0138,600,228,828,1723,48.06%,34,769,803
"District Judge, 127th Judicial District",0139,1939,601,2540,3435,73.94%,1069,1280,2349
"District Judge, 127th Judicial District",0140,1513,510,2023,3270,61.87%,298,1609,1907
"District Judge, 127th Judicial District",0141,217,153,370,904,40.93%,190,152,342
"District Judge, 127th Judicial District",0142,293,140,433,933,46.41%,86,316,402
"District Judge, 127th Judicial District",0143,1868,267,2135,2582,82.69%,1359,704,2063
"District Judge, 127th Judicial District",0144,442,125,567,1086,52.21%,15,530,545
"District Judge, 127th Judicial District",0145,560,256,816,1564,52.17%,16,776,792
"District Judge, 127th Judicial District",0146,1000,494,1494,2073,72.07%,582,829,1411
"District Judge, 127th Judicial District",0147,1411,354,1765,3211,54.97%,215,1492,1707
"District Judge, 127th Judicial District",0148,1265,652,1917,2571,74.56%,666,1122,1788
"District Judge, 127th Judicial District",0149,2938,573,3511,4756,73.82%,1892,1492,3384
"District Judge, 127th Judicial District",0150,582,223,805,1574,51.14%,28,747,775
"District Judge, 127th Judicial District",0151,282,107,389,826,47.09%,14,357,371
"District Judge, 127th Judicial District",0152,838,524,1362,3059,44.52%,260,1019,1279
"District Judge, 127th Judicial District",0153,544,399,943,1873,50.35%,208,685,893
"District Judge, 127th Judicial District",0154,913,289,1202,2293,52.42%,234,871,1105
"District Judge, 127th Judicial District",0155,2275,576,2851,4065,70.14%,1719,993,2712
