Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0939,1,1,2,4,50.00%,1,1,0,0,2
"Justice, Supreme Court, Place 3",0940,9,3,12,28,42.86%,1,11,0,0,12
"Justice, Supreme Court, Place 3",0941,286,144,430,870,49.43%,188,194,21,10,413
"Justice, Supreme Court, Place 3",0942,102,16,118,152,77.63%,80,33,3,0,116
"Justice, Supreme Court, Place 3",0943,192,28,220,774,28.42%,49,146,2,9,206
"Justice, Supreme Court, Place 3",0944,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 3",0945,8,6,14,21,66.67%,2,7,0,4,13
"Justice, Supreme Court, Place 3",0946,4,2,e,14,42.86%,1,5,0,0,6
"Justice, Supreme Court, Place 3",0947,428,198,626,820,76.34%,302,257,29,9,597
"Justice, Supreme Court, Place 3",0948,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0949,84,61,145,210,69.05%,67,57,9,5,138
"Justice, Supreme Court, Place 3",0950,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0951,114,62,176,304,57.89%,39,118,2,7,166
"Justice, Supreme Court, Place 3",0952,32,15,47,65,72.31%,29,15,3,0,47
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0953,4,0,4,8,50.00%,0,4,0,0,4
"Justice, Supreme Court, Place 3",0954,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0955,3541,572,4113,5108,80.52%,2825,1023,111,32,3991
"Justice, Supreme Court, Place 3",0956,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0957,284,39,323,585,55.21%,40,253,6,11,310
"Justice, Supreme Court, Place 3",0958,431,231,662,1202,55.07%,120,468,17,37,642
"Justice, Supreme Court, Place 3",0959,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0960,831,235,1066,1471,72.47%,217,782,20,21,1040
"Justice, Supreme Court, Place 3",0961,821,318,1139,2369,48.08%,163,870,29,31,1093
"Justice, Supreme Court, Place 3",0962,33,12,45,88,51.14%,7,28,7,2,44
"Justice, Supreme Court, Place 3",0963,225,91,316,528,59.85%,118,157,9,22,306
"Justice, Supreme Court, Place 3",0964,2148,325,2473,3179,77.79%,1372,931,62,38,2403
"Justice, Supreme Court, Place 3",0965,102,35,137,345,39.71%,86,36,6,5,133
"Justice, Supreme Court, Place 3",0966,368,189,557,1332,41.82%,120,368,28,15,531
"Justice, Supreme Court, Place 3",0967,82,24,106,186,56.99%,38,56,5,4,103
"Justice, Supreme Court, Place 3",0968,455,127,582,906,64.24%,121,421,15,10,567
"Justice, Supreme Court, Place 3",0969,299,71,370,624,59.29%,6,347,6,5,364
"Justice, Supreme Court, Place 3",0970,224,102,326,810,40.25%,30,261,5,8,304
"Justice, Supreme Court, Place 3",0971,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0972,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0973,505,138,643,999,64.36%,396,191,23,13,623
"Justice, Supreme Court, Place 3",0974,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 3",0975,104,26,130,190,68.42%,57,58,7,2,124
"Justice, Supreme Court, Place 3",0976,190,152,342,712,48.03%,152,145,7,19,323
"Justice, Supreme Court, Place 3",0977,160,108,268,617,43.44%,89,152,5,15,261
"Justice, Supreme Court, Place 3",0978,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0979,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0980,686,333,1019,1412,72.17%,691,244,30,17,982
"Justice, Supreme Court, Place 3",0981,12,2,14,31,45.16%,1,12,0,0,13
"Justice, Supreme Court, Place 3",0982,1900,501,2401,2916,82.34%,1745,471,94,37,2347
"Justice, Supreme Court, Place 3",0983,55,17,82,198,41.41,%,38,32,8,2,80
"Justice, Supreme Court, Place 3",0984,76,57,133,341,39.00%,11,116,2,2,131
"Justice, Supreme Court, Place 3",0985,222,56,278,355,78.31%,128,130,9,5,272
"Justice, Supreme Court, Place 3",0986,154,78,232,537,43.20%,20,192,5,9,226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0987,477,130,607,1183,51.31%,40,521,5,21,587
"Justice, Supreme Court, Place 3",0988,52,15,77,117,65.81%,68,6,1,1,76
"Justice, Supreme Court, Place 3",0989,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0990,5,6,11,66,16.67%,3,6,1,1,11
"Justice, Supreme Court, Place 3",0991,0,1,1,2,50.00%,0,1,0,0,1
"Justice, Supreme Court, Place 3",0992,456,106,562,1075,52.28%,244,254,27,11,536
"Justice, Supreme Court, Place 3",0993,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0994,55,12,68,75,90.67%,19,39,1,8,67
"Justice, Supreme Court, Place 3",0995,754,193,947,1576,60.09%,93,780,17,29,919
"Justice, Supreme Court, Place 3",0996,403,70,473,708,66.81%,245,178,15,16,454
"Justice, Supreme Court, Place 3",0997,525,283,808,1909,42.33%,133,624,22,14,793
"Justice, Supreme Court, Place 3",0998,24,12,36,68,52.94%,24,9,2,0,35
"Justice, Supreme Court, Place 3",0999,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",1000,123,22,145,428,33.88%,24,106,1,10,141
"Justice, Supreme Court, Place 3",1001,519,280,799,1654,48.31%,148,580,14,13,755
"Justice, Supreme Court, Place 3",1002,481,270,751,1804,41.63%,97,585,13,20,715
"Justice, Supreme Court, Place 3",1003,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",1004,351,114,465,691,67.29%,223,192,21,13,449
"Justice, Supreme Court, Place 3",1005,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",1006,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",1007,595,306,1002,1775,56.45%,208,702,20,43,973
"Justice, Supreme Court, Place 3",1008,520,107,727,1011,71.91%,545,128,25,7,705
"Justice, Supreme Court, Place 3",1009,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",1010,293,96,389,647,60.12%,64,286,10,14,374
"Justice, Supreme Court, Place 3",1011,9,6,15,31,48.39%,10,5,0,0,15
"Justice, Supreme Court, Place 3",1012,545,362,907,1633,55.54%,205,608,15,38,866
"Justice, Supreme Court, Place 3",Totals;,983140,353327,1336467,2182980,596486,618898,41292,33880,1290556
