Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0767,31,15,46,92,50.00%,19,20,0,5,44
"Justice, Supreme Court, Place 3",0768,1479,387,1866,2643,70.60%,1394,337,66,22,1819
"Justice, Supreme Court, Place 3",0769,85,14,99,184,53.80%,6,92,1,0,99
"Justice, Supreme Court, Place 3",0770,103,42,145,388,37.37%,43,86,4,5,138
"Justice, Supreme Court, Place 3",0771,572,210,782,1588,49.24%,315,387,29,25,756
"Justice, Supreme Court, Place 3",0772,2808,477,3285,4606,71.32%,2377,700,103,20,3200
"Justice, Supreme Court, Place 3",0773,1696,638,2334,4414,52.88%,547,1553,46,53,2199
"Justice, Supreme Court, Place 3",0774,154,66,220,426,51.64%,51,152,8,4,215
"Justice, Supreme Court, Place 3",0775,50,1,51,102,50.00%,1,49,0,0,50
"Justice, Supreme Court, Place 3",0776,1436,538,1974,3276,60.26%,1059,729,76,51,1915
"Justice, Supreme Court, Place 3",0777,202,105,307,767,40.03%,68,202,7,16,293
"Justice, Supreme Court, Place 3",0778,0,3,3,0,0.00%,0,2,0,1,3
"Justice, Supreme Court, Place 3",0779,263,160,423,1019,41.51%,91,267,10,28,396
"Justice, Supreme Court, Place 3",0780,170,130,300,666,45.05%,83,172,6,13,274
"Justice, Supreme Court, Place 3",0781,1236,612,1848,3782,48.86%,539,1079,46,60,1724
"Justice, Supreme Court, Place 3",0782,1048,368,1416,2355,60.13%,804,465,71,26,1366
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0783,197,90,287,520,55.19%,17,249,6,6,278
"Justice, Supreme Court, Place 3",0784,408,119,527,1062,49.62%,11,484,5,11,511
"Justice, Supreme Court, Place 3",0785,1234,357,1591,1896,83.91%,769,646,77,50,1542
"Justice, Supreme Court, Place 3",0786,397,177,574,1258,45.63%,166,342,13,31,552
"Justice, Supreme Court, Place 3",0787,180,83,263,542,48.52%,65,157,6,23,251
"Justice, Supreme Court, Place 3",0788,2,0,2,13,15.38%,2,0,0,0,2
"Justice, Supreme Court, Place 3",0789,1377,420,1797,2998,59.94%,1009,645,54,36,1744
"Justice, Supreme Court, Place 3",0790,1143,329,1472,2523,58.34%,468,864,58,44,1434
"Justice, Supreme Court, Place 3",0791,9,3,12,29,41.38%,1,7,1,3,12
"Justice, Supreme Court, Place 3",0792,648,415,1063,1954,54.40%,229,723,16,46,1014
"Justice, Supreme Court, Place 3",0793,985,416,1401,2620,53.47%,674,580,31,58,1343
"Justice, Supreme Court, Place 3",0794,626,411,1037,3208,32.33%,97,858,24,28,1007
"Justice, Supreme Court, Place 3",0795,396,2,398,1281,31.07%,107,237,8,23,375
"Justice, Supreme Court, Place 3",0796,1372,465,1837,3041,60.41%,701,981,67,39,1788
"Justice, Supreme Court, Place 3",0797,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0798,222,142,364,521,69.87%,130,188,8,23,349
"Justice, Supreme Court, Place 3",0799,58,26,84,171,49.12%,15,63,2,4,84
"Justice, Supreme Court, Place 3",0800,1935,730,2665,4216,63.21%,1544,862,122,63,2591
"Justice, Supreme Court, Place 3",0801,90,44,134,261,51.34%,42,81,4,4,131
"Justice, Supreme Court, Place 3",0802,54,21,75,224,33.48%,15,49,3,2,69
"Justice, Supreme Court, Place 3",0803,2557,547,3214,4514,71.20%,2151,850,86,42,3129
"Justice, Supreme Court, Place 3",0804,2703,682,3385,5303,63.83%,1704,1401,125,79,3309
"Justice, Supreme Court, Place 3",0805,1599,454,2053,2874,71.43%,1552,351,61,19,1983
"Justice, Supreme Court, Place 3",0806,1003,324,1327,1889,70.25%,763,448,49,30,1290
"Justice, Supreme Court, Place 3",0807,797,349,1146,2163,52.98%,182,863,39,33,1117
"Justice, Supreme Court, Place 3",0808,143,57,200,232,86.21%,68,105,17,4,194
"Justice, Supreme Court, Place 3",0809,19,7,26,98,26.53%,11,13,1,0,25
"Justice, Supreme Court, Place 3",0810,47,31,78,197,39.59%,11,53,2,7,73
"Justice, Supreme Court, Place 3",0811,82,68,150,277,54.15%,27,100,1,18,146
"Justice, Supreme Court, Place 3",0812,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0813,1742,434,2176,3488,62.39%,897,1086,69,60,2112
"Justice, Supreme Court, Place 3",0814,1976,827,2803,5483,51.12%,518,2047,70,82,2717
"Justice, Supreme Court, Place 3",0815,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0816,23,10,33,64,51.56%,5,22,1,2,30
