Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0487,1405,527,1932,4142,46.64%,669,669
"Constable, Precinct 5",0488,842,511,1353,2382,56.80%,498,498
"Constable, Precinct 5",0490,980,346,1326,2105,62.99%,520,520
"Constable, Precinct 5",0491,937,488,1425,2110,67.54%,874,874
"Constable, Precinct 5",0492,1217,396,1613,2552,63.21%,963,963
"Constable, Precinct 5",0499,1433,397,1830,2336,78.34%,1395,1395
"Constable, Precinct 5",0504,1270,482,1752,2318,75.58%,1235,1235
"Constable, Precinct 5",0507,599,319,918,2562,35.83%,283,283
"Constable, Precinct 5",0508,1519,828,2347,4767,49.23%,871,871
"Constable, Precinct 5",0509,2504,669,3173,5153,61.58%,2251,2251
"Constable, Precinct 5",0510,1701,666,2367,3822,61.93%,1231,1231
"Constable, Precinct 5",0511,2933,574,3507,4620,75.91%,2385,2385
"Constable, Precinct 5",0512,1668,871,2539,4559,55.69%,1245,1245
"Constable, Precinct 5",0517,1610,509,2119,3744,56.60%,1086,1086
"Constable, Precinct 5",0521,1350,578,1928,3070,62.80%,1082,1082
"Constable, Precinct 5",0522,1508,464,1972,2815,70.05%,1567,1567
"Constable, Precinct 5",0523,1978,537,2515,4027,62.45%,1736,1736
"Constable, Precinct 5",0524,1392,637,2029,3598,56.39%,740,740
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0547,1413,270,1683,2534,66.42%,1226,1226
"Constable, Precinct 5",0553,962,317,1279,2193,58.32%,596,596
"Constable, Precinct 5",0556,759,435,1194,2491,47.93%,351,351
"Constable, Precinct 5",0557,925,460,1385,2955,46.87%,524,524
"Constable, Precinct 5",0558,1812,721,2533,4718,53.69%,1019,1019
"Constable, Precinct 5",0559,1901,701,2602,4984,52.21%,923,923
"Constable, Precinct 5",0565,336,148,484,1414,34.23%,116,116
"Constable, Precinct 5",0566,1183,441,1624,3029,53.62%,590,590
"Constable, Precinct 5",0567,965,390,1355,2851,47.53%,460,460
"Constable, Precinct 5",0569,2027,747,2774,4125,67.25%,1613,1613
"Constable, Precinct 5",0572,1522,444,1966,3308,59.43%,1037,1037
"Constable, Precinct 5",0589,1539,545,2084,3780,55.13%,1168,1168
"Constable, Precinct 5",0598,2389,731,3120,5253,59.39%,1431,1431
"Constable, Precinct 5",0600,1602,776,2378,4204,56.57%,1008,1008
"Constable, Precinct 5",0603,2335,725,3060,4666,65.58%,1974,1974
"Constable, Precinct 5",0616,1809,611,2420,3516,68.83%,1737,1737
"Constable, Precinct 5",0617,1704,650,2354,4179,56.33%,1065,1065
"Constable, Precinct 5",0618,1698,545,2243,3801,59.01%,1159,1159
"Constable, Precinct 5",0619,2792,663,3455,4916,70.28%,2694,2694
"Constable, Precinct 5",0620,1747,333,2080,3318,62.69%,1230,1230
"Constable, Precinct 5",0621,535,200,736,1272,57.86%,405,405
"Constable, Precinct 5",0622,2129,591,2720,4562,59.62%,1662,1662
"Constable, Precinct 5",0624,297,59,356,456,78.07%,287,287
"Constable, Precinct 5",0625,924,372,1296,1864,69.53%,800,800
"Constable, Precinct 5",0626,2280,784,3064,4816,63.62%,1876,1876
"Constable, Precinct 5",0627,935,649,1584,3235,48.96%,557,557
"Constable, Precinct 5",0639,1385,284,1670,2560,65.23%,1336,1336
"Constable, Precinct 5",0642,1030,270,1300,1783,72.91%,1062,1062
"Constable, Precinct 5",0643,1948,593,2541,4189,60.66%,1377,1377
"Constable, Precinct 5",0644,2087,689,2776,4446,62.44%,1860,1860
"Constable, Precinct 5",0645,2145,769,2914,4517,64.51%,1497,1497
"Constable, Precinct 5",0646,925,399,1324,2422,54.67%,471,471
"Constable, Precinct 5",0647,1372,526,1898,4349,43.64%,568,568
"Constable, Precinct 5",0649,1549,775,2324,4755,48.87%,814,814
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0650,2033,819,2852,4039,70.61%,2058,2058
"Constable, Precinct 5",0651,1734,551,2285,3873,59.00%,1418,1418
"Constable, Precinct 5",0667,1109,400,1509,2175,69.38%,1198,1198
"Constable, Precinct 5",0676,1087,465,1552,2976,52.15%,754,754
"Constable, Precinct 5",0685,139,28,167,285,58.60%,93,93
"Constable, Precinct 5",0686,53,5,58,221,26.24%,23,23
"Constable, Precinct 5",0689,726,604,1330,2449,54.31%,682,682
"Constable, Precinct 5",0706,1248,372,1620,2821,57.43%,751,751
"Constable, Precinct 5",0709,2257,528,2785,4136,67.34%,1710,1710
"Constable, Precinct 5",0711,1978,599,2577,3820,67.46%,1562,1562
"Constable, Precinct 5",0712,1720,627,2347,4002,58.65%,1054,1054
"Constable, Precinct 5",0720,2498,709,3207,4709,68.10%,2341,2341
"Constable, Precinct 5",0727,981,415,1396,2708,51.55%,536,536
"Constable, Precinct 5",0730,1360,406,1766,2435,72.53%,1215,1215
