Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0872,16,6,22,68,32.35%,12,9,0,0,21
"Judge, Court of Criminal Appeals, Place 2",0873,296,111,407,778,52.31%,92,291,7,7,397
"Judge, Court of Criminal Appeals, Place 2",0874,1682,670,2352,3294,71.40%,1617,564,70,23,2274
"Judge, Court of Criminal Appeals, Place 2",0875,1950,501,2451,3592,68.23%,1087,1181,73,33,2374
"Judge, Court of Criminal Appeals, Place 2",0876,1947,577,2524,3485,72.42%,1680,680,70,15,2445
"Judge, Court of Criminal Appeals, Place 2",0877,1806,528,2334,3651,63.93%,832,1331,73,37,2273
"Judge, Court of Criminal Appeals, Place 2",0878,685,110,795,1039,76.52%,614,130,20,3,767
"Judge, Court of Criminal Appeals, Place 2",0879,1217,413,1630,2843,57.33%,641,846,64,26,1577
"Judge, Court of Criminal Appeals, Place 2",0880,1357,471,1828,2467,74.10%,1327,411,36,10,1784
"Judge, Court of Criminal Appeals, Place 2",0881,2467,927,3394,5638,60.20%,839,2330,91,40,3300
"Judge, Court of Criminal Appeals, Place 2",0882,1954,595,2549,4317,59.05%,724,1634,54,40,2452
"Judge, Court of Criminal Appeals, Place 2",0883,2253,928,3181,5613,56.67%,510,2459,56,55,3080
"Judge, Court of Criminal Appeals, Place 2",0884,149,55,204,396,51.52%,29,167,1,4,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0885,1573,323,1896,2811,67.45%,1028,762,50,19,1859
"Judge, Court of Criminal Appeals, Place 2",0886,498,152,650,906,71.74%,320,252,42,7,621
"Judge, Court of Criminal Appeals, Place 2",0887,235,95,330,492,67.07%,162,126,25,2,315
"Judge, Court of Criminal Appeals, Place 2",0888,820,289,1109,1867,59.40%,335,689,29,18,1071
"Judge, Court of Criminal Appeals, Place 2",0889,114,28,142,238,59.66%,40,82,11,3,136
"Judge, Court of Criminal Appeals, Place 2",0890,449,98,547,1214,45.06%,210,268,28,10,516
"Judge, Court of Criminal Appeals, Place 2",0891,753,194,947,1376,68.82%,325,547,19,11,902
"Judge, Court of Criminal Appeals, Place 2",0892,428,123,551,900,61.22%,182,299,31,15,527
