Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0014,992,429,1421,1924,73.86%,672,616,43,22,1353
"Judge, Court of Criminal Appeals, Place 2",0015,1490,849,2339,2852,82.01%,1287,862,49,9,2207
"Judge, Court of Criminal Appeals, Place 2",0016,683,189,872,1284,67.91%,375,398,51,18,842
"Judge, Court of Criminal Appeals, Place 2",0017,452,293,745,1198,62.19%,283,383,28,8,702
"Judge, Court of Criminal Appeals, Place 2",0018,744,367,1111,1456,76.30%,501,510,34,12,1057
"Judge, Court of Criminal Appeals, Place 2",0019,652,293,945,1288,73.37%,289,527,72,17,905
"Judge, Court of Criminal Appeals, Place 2",0020,1013,335,1348,2780,48.49%,384,777,80,36,1277
"Judge, Court of Criminal Appeals, Place 2",0021,541,207,748,1229,60.86%,138,504,61,24,727
"Judge, Court of Criminal Appeals, Place 2",0022,936,419,1355,2501,54.18%,198,1058,29,27,1312
"Judge, Court of Criminal Appeals, Place 2",0023,132,74,206,551,37.39%,32,150,10,8,200
"Judge, Court of Criminal Appeals, Place 2",0024,294,36,330,712,46.35%,64,239,6,9,318
"Judge, Court of Criminal Appeals, Place 2",0025,241,292,533,1105,48.24%,23,485,3,5,516
"Judge, Court of Criminal Appeals, Place 2",0026,836,313,1149,1969,58.35%,223,780,38,37,1078
"Judge, Court of Criminal Appeals, Place 2",0027,1394,508,1902,3271,58.15%,365,1299,49,72,1785
"Judge, Court of Criminal Appeals, Place 2",0028,1517,446,1963,3307,59.36%,1076,768,41,22,1907
"Judge, Court of Criminal Appeals, Place 2",0029,648,490,1138,2722,41.81%,312,701,29,36,1078
"Judge, Court of Criminal Appeals, Place 2",0030,1292,546,1838,2818,65.22%,497,1124,92,31,1744
"Judge, Court of Criminal Appeals, Place 2",0031,786,453,1239,2656,46.65%,40,1134,13,8,1195
"Judge, Court of Criminal Appeals, Place 2",0032,1269,504,1773,2728,64.99%,703,841,113,22,1679
"Judge, Court of Criminal Appeals, Place 2",0033,2086,554,2640,3907,67.57%,889,1401,164,38,2492
"Judge, Court of Criminal Appeals, Place 2",0034,1613,517,2130,3044,69.97%,446,1415,122,61,2044
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0035,5,0,5,14,35.71%,2,2,1,0,5
"Judge, Court of Criminal Appeals, Place 2",0036,1032,516,1548,3100,49.94%,323,1093,27,35,1478
"Judge, Court of Criminal Appeals, Place 2",0037,1537,409,1946,2467,78.88%,648,1076,81,34,1839
"Judge, Court of Criminal Appeals, Place 2",0038,1879,436,2315,3081,75.14%,725,1335,99,41,2200
"Judge, Court of Criminal Appeals, Place 2",0039,1711,492,2203,3070,71.76%,550,1399,86,51,2086
"Judge, Court of Criminal Appeals, Place 2",0040,275,107,382,527,72.49%,170,182,9,3,364
"Judge, Court of Criminal Appeals, Place 2",0041,712,264,976,1518,64.30%,396,506,38,11,951
"Judge, Court of Criminal Appeals, Place 2",0042,438,109,547,1062,51.51%,15,517,2,5,539
"Judge, Court of Criminal Appeals, Place 2",0043,817,300,1117,1972,56.64%,442,559,39,24,1064
"Judge, Court of Criminal Appeals, Place 2",0044,729,310,1039,2126,48.87%,207,682,33,34,956
"Judge, Court of Criminal Appeals, Place 2",0045,2263,1021,3284,5740,57.21%,602,2441,65,46,3154
"Judge, Court of Criminal Appeals, Place 2",0046,876,341,1217,2568,47.39%,173,908,32,36,1149
"Judge, Court of Criminal Appeals, Place 2",0047,507,268,775,1618,47.90%,36,703,8,6,753
"Judge, Court of Criminal Appeals, Place 2",0048,348,168,516,967,53.36%,49,425,12,7,493
"Judge, Court of Criminal Appeals, Place 2",0049,1548,731,2279,3709,61.45%,1448,671,61,27,2207
"Judge, Court of Criminal Appeals, Place 2",0050,1838,680,2518,4314,58.37%,1167,1197,59,24,2447
"Judge, Court of Criminal Appeals, Place 2",0051,829,271,1100,1734,63.44%,771,250,36,9,1066
"Judge, Court of Criminal Appeals, Place 2",0052,1408,456,1864,2581,72.22%,807,838,89,30,1764
"Judge, Court of Criminal Appeals, Place 2",0053,1680,613,2293,3083,74.38%,895,1109,103,43,2150
"Judge, Court of Criminal Appeals, Place 2",0054,1056,211,1267,1619,78.26%,591,533,54,14,1192
"Judge, Court of Criminal Appeals, Place 2",0055,1272,410,1682,2094,80.32%,653,793,108,32,1586
"Judge, Court of Criminal Appeals, Place 2",0056,698,283,981,1393,70.42%,535,344,48,18,945
"Judge, Court of Criminal Appeals, Place 2",0057,2045,567,2612,3325,78.56%,1007,1293,122,49,2471
"Judge, Court of Criminal Appeals, Place 2",0058,1717,484,2201,3031,72.62%,954,1001,110,28,2093
"Judge, Court of Criminal Appeals, Place 2",0059,1594,439,2033,2671,76.11%,804,1004,100,29,1937
"Judge, Court of Criminal Appeals, Place 2",0060,1477,537,2014,2766,72.81%,508,1257,97,61,1923
"Judge, Court of Criminal Appeals, Place 2",0061,519,423,942,1847,51.00%,238,610,20,22,890
"Judge, Court of Criminal Appeals, Place 2",0062,689,452,1141,2195,51.98%,203,807,25,32,1067
"Judge, Court of Criminal Appeals, Place 2",0063,767,391,1158,1903,60.85%,875,203,28,6,1112
"Judge, Court of Criminal Appeals, Place 2",0064,678,368,1046,2220,47.12%,181,748,20,27,976
"Judge, Court of Criminal Appeals, Place 2",0065,639,435,1074,2178,49.31%,167,800,25,33,1025
"Judge, Court of Criminal Appeals, Place 2",0066,247,255,502,1135,44.23%,84,367,9,13,473
"Judge, Court of Criminal Appeals, Place 2",0067,944,521,1465,3019,48.53%,253,1054,31,33,1371
"Judge, Court of Criminal Appeals, Place 2",0068,1172,430,1602,3096,51.74%,41,1498,11,5,1555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0069,375,222,597,1309,45.61%,92,437,10,14,553
"Judge, Court of Criminal Appeals, Place 2",0070,2297,670,2967,3815,77.77%,1601,1120,96,23,2840
"Judge, Court of Criminal Appeals, Place 2",0071,2719,947,3666,5016,73.09%,1683,1577,214,34,3508
"Judge, Court of Criminal Appeals, Place 2",0072,737,418,1155,2029,56.92%,263,780,25,30,1098
"Judge, Court of Criminal Appeals, Place 2",0073,813,282,1095,1621,67.55%,549,426,40,20,1035
"Judge, Court of Criminal Appeals, Place 2",0074,2503,268,2771,3578,77.45%,2008,580,66,13,2667
"Judge, Court of Criminal Appeals, Place 2",0075,1002,286,1288,1684,76.48%,539,580,79,27,1225
"Judge, Court of Criminal Appeals, Place 2",0076,1015,427,1442,2441,59.07%,671,648,31,30,1380
"Judge, Court of Criminal Appeals, Place 2",0077,2,5,7,1,7,41.18%,2,5,0,0,7
"Judge, Court of Criminal Appeals, Place 2",0078,619,254,873,1608,54.29%,202,558,30,22,812
"Judge, Court of Criminal Appeals, Place 2",0079,831,602,1433,2963,48.36%,234,1045,24,40,1343
"Judge, Court of Criminal Appeals, Place 2",0080,1175,466,1641,2840,57.78%,350,1172,19,27,1568
"Judge, Court of Criminal Appeals, Place 2",0081,776,273,1049,1964,53.41%,282,672,20,22,996
"Judge, Court of Criminal Appeals, Place 2",0082,1588,756,2344,3539,66.23%,1603,559,90,21,2273
"Judge, Court of Criminal Appeals, Place 2",0083,1834,540,2374,4174,56.88%,862,1362,47,30,2301
"Judge, Court of Criminal Appeals, Place 2",0084,573,257,830,1421,58.41%,562,216,17,12,807
"Judge, Court of Criminal Appeals, Place 2",0085,603,329,932,2169,42.97%,40,837,10,20,907
"Judge, Court of Criminal Appeals, Place 2",0086,2040,493,2533,3449,73.44%,1087,1139,150,44,2420
"Judge, Court of Criminal Appeals, Place 2",0087,1452,719,2171,2839,76.47%,1278,727,57,8,2070
"Judge, Court of Criminal Appeals, Place 2",0088,338,141,479,784,61.10%,298,136,18,7,459
"Judge, Court of Criminal Appeals, Place 2",0089,399,424,823,1094,75.23%,430,307,29,9,775
"Judge, Court of Criminal Appeals, Place 2",0090,1860,890,2750,3883,70.82%,1904,614,112,31,2661
"Judge, Court of Criminal Appeals, Place 2",0091,673,339,1012,1724,58.70%,540,352,36,31,959
"Judge, Court of Criminal Appeals, Place 2",0092,1266,474,1740,2260,76.99%,1086,505,64,22,1677
"Judge, Court of Criminal Appeals, Place 2",0093,1049,619,1668,3536,47.17%,458,1088,31,30,1607
"Judge, Court of Criminal Appeals, Place 2",0094,202,53,255,580,45.69%,46,195,8,8,257
"Judge, Court of Criminal Appeals, Place 2",0095,2025,534,2560,3394,75.43%,1561,780,90,30,2461
"Judge, Court of Criminal Appeals, Place 2",0096,828,306,1134,2060,55.05%,146,903,21,21,1091
"Judge, Court of Criminal Appeals, Place 2",0097,2515,467,2982,4414,67.56%,2131,623,86,30,2870
"Judge, Court of Criminal Appeals, Place 2",0098,1385,594,1979,3161,62.61%,1562,299,43,16,1920
"Judge, Court of Criminal Appeals, Place 2",0099,681,295,976,2192,44.53%,375,516,22,28,941
"Judge, Court of Criminal Appeals, Place 2",0100,531,276,807,1825,44.22%,311,433,21,19,784
"Judge, Court of Criminal Appeals, Place 2",0101,221,129,350,988,35.43%,79,242,7,10,338
"Judge, Court of Criminal Appeals, Place 2",0102,581,227,808,1907,42.37%,195,539,18,18,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0103,2148,985,3133,5097,61.47%,1420,1485,94,46,3045
"Judge, Court of Criminal Appeals, Place 2",0104,915,211,1126,1920,58.65%,28,1060,7,8,1103
"Judge, Court of Criminal Appeals, Place 2",0105,709,433,1142,2304,49.57%,260,765,35,22,1082
"Judge, Court of Criminal Appeals, Place 2",0106,73,59,132,299,44.15%,40,87,0,3,130
"Judge, Court of Criminal Appeals, Place 2",0107,594,403,997,2230,44.71%,150,768,17,23,958
"Judge, Court of Criminal Appeals, Place 2",0108,1464,448,1912,3674,52.04%,869,888,43,28,1828
"Judge, Court of Criminal Appeals, Place 2",0109,1098,278,1376,2909,47.30%,29,1287,7,11,1334
"Judge, Court of Criminal Appeals, Place 2",0110,1664,481,2145,3222,66.57%,1183,824,60,19,2086
"Judge, Court of Criminal Appeals, Place 2",0111,2701,866,3567,4792,74.44%,2359,925,118,40,3442
"Judge, Court of Criminal Appeals, Place 2",0112,1509,598,2107,3188,66.09%,1316,607,91,21,2035
"Judge, Court of Criminal Appeals, Place 2",0113,1308,418,1726,2718,63.50%,857,753,50,15,1675
"Judge, Court of Criminal Appeals, Place 2",0114,2294,506,2800,3885,72.07%,1961,647,88,24,2720
"Judge, Court of Criminal Appeals, Place 2",0115,609,272,881,1843,47.80%,79,744,8,14,845
"Judge, Court of Criminal Appeals, Place 2",0116,1898,599,2497,3194,78.18%,1817,526,57,11,2411
"Judge, Court of Criminal Appeals, Place 2",0117,574,379,953,1900,50.16%,304,539,31,28,902
"Judge, Court of Criminal Appeals, Place 2",0118,1825,530,2355,3181,74.03%,1173,989,83,29,2274
"Judge, Court of Criminal Appeals, Place 2",0119,2763,409,3172,4682,67.75%,2377,577,97,23,3074
"Judge, Court of Criminal Appeals, Place 2",0120,1812,588,2400,3732,64.31%,1364,841,80,22,2307
"Judge, Court of Criminal Appeals, Place 2",0121,354,221,575,966,59.52%,344,192,13,12,561
"Judge, Court of Criminal Appeals, Place 2",0122,733,284,1017,1904,53.41%,49,915,14,4,982
"Judge, Court of Criminal Appeals, Place 2",0123,750,287,1037,1585,65.43%,248,666,52,28,994
"Judge, Court of Criminal Appeals, Place 2",0124,3137,888,4025,5393,74.63%,3043,755,106,30,3934
"Judge, Court of Criminal Appeals, Place 2",0125,1207,400,1607,2593,61.97%,808,675,48,29,1560
"Judge, Court of Criminal Appeals, Place 2",0126,2021,427,2448,3380,72.43%,2000,300,65,14,2379
"Judge, Court of Criminal Appeals, Place 2",0127,979,214,1193,2091,57.05%,806,284,36,14,1140
"Judge, Court of Criminal Appeals, Place 2",0128,1107,612,1719,2322,74.03%,1004,560,41,14,1619
"Judge, Court of Criminal Appeals, Place 2",0129,2549,1052,3601,5172,69.62%,2011,1260,120,52,3443
"Judge, Court of Criminal Appeals, Place 2",0130,1314,433,1747,2289,76.32%,1179,462,27,8,1676
"Judge, Court of Criminal Appeals, Place 2",0131,801,371,1172,2147,54.59%,226,874,19,25,1144
"Judge, Court of Criminal Appeals, Place 2",0132,1030,322,1352,2378,56.85%,44,1267,9,5,1325
"Judge, Court of Criminal Appeals, Place 2",0133,1412,746,2158,2690,80.22%,1148,812,63,20,2043
"Judge, Court of Criminal Appeals, Place 2",0134,594,345,939,1513,62.06%,350,501,20,24,895
"Judge, Court of Criminal Appeals, Place 2",0135,1621,551,2172,2777,78.21%,1310,678,66,14,2068
"Judge, Court of Criminal Appeals, Place 2",0136,985,352,1337,2116,63.19%,67,1165,35,25,1292
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0137,993,259,1252,1986,63.04%,796,363,44,12,1215
"Judge, Court of Criminal Appeals, Place 2",0138,601,228,829,1723,48.11%,31,759,12,5,807
"Judge, Court of Criminal Appeals, Place 2",0139,1947,601,2548,3435,74.18%,1075,1169,110,39,2393
"Judge, Court of Criminal Appeals, Place 2",0140,1525,510,2035,3270,62.23%,305,1541,66,38,1950
"Judge, Court of Criminal Appeals, Place 2",0141,217,153,370,904,40.93%,189,144,10,5,348
"Judge, Court of Criminal Appeals, Place 2",0142,293,140,433,933,46.41%,84,296,12,13,405
"Judge, Court of Criminal Appeals, Place 2",0143,1868,267,2135,2582,82.69%,1362,676,40,11,2089
"Judge, Court of Criminal Appeals, Place 2",0144,442,125,567,1086,52.21%,15,527,1,5,548
"Judge, Court of Criminal Appeals, Place 2",0145,550,256,816,1564,52.17%,16,766,5,9,796
"Judge, Court of Criminal Appeals, Place 2",0146,1000,494,1494,2073,72.07%,588,740,63,35,1426
"Judge, Court of Criminal Appeals, Place 2",0147,1412,354,1766,3211,55.00%,208,1471,23,14,1716
"Judge, Court of Criminal Appeals, Place 2",0148,1266,652,1918,2571,74.60%,704,1041,50,23,1818
"Judge, Court of Criminal Appeals, Place 2",0149,2941,573,3514,4756,73.89%,1849,1438,114,31,3432
"Judge, Court of Criminal Appeals, Place 2",0150,582,223,805,1574,51.14%,28,736,6,10,780
"Judge, Court of Criminal Appeals, Place 2",0151,282,107,389,826,47.09%,15,355,2,2,374
"Judge, Court of Criminal Appeals, Place 2",0152,838,524,1362,3059,44.52%,258,986,27,22,1293
"Judge, Court of Criminal Appeals, Place 2",0153,545,399,944,1873,50.40%,192,668,25,20,905
"Judge, Court of Criminal Appeals, Place 2",0154,913,289,1202,2293,52.42%,226,836,32,28,1122
"Judge, Court of Criminal Appeals, Place 2",0155,2275,576,2851,4065,70.14%,1718,944,63,17,2742
"Judge, Court of Criminal Appeals, Place 2",0156,1415,403,1818,3223,56.41%,83,1615,29,23,1750
"Judge, Court of Criminal Appeals, Place 2",0157,880,278,1158,2265,51.13%,64,1040,19,6,1129
"Judge, Court of Criminal Appeals, Place 2",0158,1145,365,1510,3049,49.52%,37,1420,4,14,1475
"Judge, Court of Criminal Appeals, Place 2",0159,350,147,497,997,49.85%,67,397,6,8,478
"Judge, Court of Criminal Appeals, Place 2",0160,286,67,353,717,49.23%,11,322,6,3,342
"Judge, Court of Criminal Appeals, Place 2",0161,378,173,551,992,55.54%,14,507,7,3,531
"Judge, Court of Criminal Appeals, Place 2",0162,354,267,631,1312,48.09%,149,414,18,16,597
"Judge, Court of Criminal Appeals, Place 2",0163,1083,524,1607,3075,52.26%,432,980,33,28,1473
"Judge, Court of Criminal Appeals, Place 2",0164,441,258,699,1407,49.68%,26,632,7,4,669
"Judge, Court of Criminal Appeals, Place 2",0165,1172,469,1641,2460,66.71%,868,610,65,29,1572
"Judge, Court of Criminal Appeals, Place 2",0166,563,261,824,1171,70.37%,251,471,42,16,780
"Judge, Court of Criminal Appeals, Place 2",0167,5,2,7,24,29.17%,0,6,0,0,6
"Judge, Court of Criminal Appeals, Place 2",0168,196,59,255,512,49.80%,4,241,1,4,250
"Judge, Court of Criminal Appeals, Place 2",0169,985,247,1232,2548,48.35%,34,1142,11,8,1195
"Judge, Court of Criminal Appeals, Place 2",0170,664,262,926,1958,47.29%,395,444,25,12,876
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0171,482,283,765,1648,46.42%,34,682,9,6,731
"Judge, Court of Criminal Appeals, Place 2",0172,245,103,348,661,52.65%,80,234,9,13,336
"Judge, Court of Criminal Appeals, Place 2",0173,2262,683,2945,3966,74.26%,2085,641,108,19,2853
"Judge, Court of Criminal Appeals, Place 2",0174,1718,707,2425,3389,71.56%,1533,668,88,22,2311
"Judge, Court of Criminal Appeals, Place 2",0175,1403,691,2094,2711,77.24%,1006,890,62,14,1972
"Judge, Court of Criminal Appeals, Place 2",0176,767,375,1142,1533,74.49%,527,508,28,9,1072
"Judge, Court of Criminal Appeals, Place 2",0177,943,333,1276,1715,74.40%,628,492,58,22,1200
"Judge, Court of Criminal Appeals, Place 2",0178,1116,273,1389,1795,77.38%,861,394,47,15,1317
"Judge, Court of Criminal Appeals, Place 2",0179,773,244,1017,1673,60.79%,445,452,49,21,967
"Judge, Court of Criminal Appeals, Place 2",0180,930,463,1393,2914,47.80%,43,1255,19,20,1337
"Judge, Court of Criminal Appeals, Place 2",0181,698,439,1137,2195,51.80%,240,794,29,25,1088
"Judge, Court of Criminal Appeals, Place 2",0182,1952,994,2946,4071,72.37%,1514,1170,69,26,2779
"Judge, Court of Criminal Appeals, Place 2",0183,1289,715,2004,2535,79.05%,1218,631,40,11,1900
"Judge, Court of Criminal Appeals, Place 2",0184,278,219,497,1048,47.42%,120,329,12,11,472
"Judge, Court of Criminal Appeals, Place 2",0185,709,444,1153,2054,56.13%,282,764,24,23,1093
"Judge, Court of Criminal Appeals, Place 2",0186,252,150,402,798,50.38%,30,352,6,3,391
"Judge, Court of Criminal Appeals, Place 2",0187,95,51,147,309,47.57%,22,107,3,3,135
"Judge, Court of Criminal Appeals, Place 2",0188,499,306,805,1711,47.05%,237,502,22,13,774
"Judge, Court of Criminal Appeals, Place 2",0189,805,279,1084,1505,72.03%,578,395,42,18,1033
"Judge, Court of Criminal Appeals, Place 2",0190,571,326,897,1849,48.51%,238,566,22,26,852
"Judge, Court of Criminal Appeals, Place 2",0191,327,259,586,1408,41.62%,155,374,18,15,562
"Judge, Court of Criminal Appeals, Place 2",0192,757,259,1016,1959,51.86%,59,893,19,13,984
"Judge, Court of Criminal Appeals, Place 2",0193,376,211,587,1099,53.41%,16,520,17,14,567
"Judge, Court of Criminal Appeals, Place 2",0194,1144,449,1593,2172,73.34%,406,1004,65,36,1511
"Judge, Court of Criminal Appeals, Place 2",0195,606,344,950,1739,54.63%,43,839,12,17,911
"Judge, Court of Criminal Appeals, Place 2",0196,133,37,170,313,54.31%,15,133,6,7,161
"Judge, Court of Criminal Appeals, Place 2",0197,995,372,1368,2969,46.08%,37,1263,10,22,1332
"Judge, Court of Criminal Appeals, Place 2",0198,161,82,243,619,39.26%,9,219,3,4,235
"Judge, Court of Criminal Appeals, Place 2",0199,1932,815,2747,4063,67.61%,1989,535,121,19,2664
"Judge, Court of Criminal Appeals, Place 2",0200,2317,377,2694,3692,72.97%,1158,1260,112,36,2566
"Judge, Court of Criminal Appeals, Place 2",0201,222,105,327,773,42.30%,9,301,3,7,320
"Judge, Court of Criminal Appeals, Place 2",0202,421,233,654,1410,46.38%,22,595,7,5,629
"Judge, Court of Criminal Appeals, Place 2",0203,298,111,409,988,41.40%,62,304,14,7,387
"Judge, Court of Criminal Appeals, Place 2",0204,2104,577,2681,3568,75.14%,1342,1043,113,37,2535
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0205,772,171,943,1724,54.70%,20,886,8,8,922
"Judge, Court of Criminal Appeals, Place 2",0206,1278,494,1772,2965,59.76%,482,1068,92,42,1684
"Judge, Court of Criminal Appeals, Place 2",0207,606,212,818,1166,70.15%,242,489,28,19,778
"Judge, Court of Criminal Appeals, Place 2",0208,910,338,1248,2256,55.32%,274,849,24,26,1173
"Judge, Court of Criminal Appeals, Place 2",0209,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0210,1269,489,1758,2781,63.21%,253,1354,44,48,1699
"Judge, Court of Criminal Appeals, Place 2",0211,965,595,1551,3130,49.87%,407,996,41,39,1483
"Judge, Court of Criminal Appeals, Place 2",0212,309,323,632,1370,46.13%,98,482,8,13,601
"Judge, Court of Criminal Appeals, Place 2",0213,1782,795,2577,3406,75.66%,1952,489,43,16,2500
"Judge, Court of Criminal Appeals, Place 2",0214,1017,418,1435,1911,75.09%,811,484,46,12,1353
"Judge, Court of Criminal Appeals, Place 2",0215,1097,636,1733,2286,75.81%,941,642,40,23,1646
"Judge, Court of Criminal Appeals, Place 2",0216,778,244,1022,1966,51.98%,55,905,12,12,984
"Judge, Court of Criminal Appeals, Place 2",0217,1547,618,2165,2736,79.13%,1315,703,43,19,2080
"Judge, Court of Criminal Appeals, Place 2",0218,1101,457,1558,2467,63.15%,358,1020,45,38,1461
"Judge, Court of Criminal Appeals, Place 2",0219,1125,515,1641,2868,57.22%,140,1378,32,18,1568
"Judge, Court of Criminal Appeals, Place 2",0220,833,306,1139,2362,48.22%,700,356,23,12,1091
"Judge, Court of Criminal Appeals, Place 2",0221,1032,473,1505,2598,57.93%,466,905,26,26,1423
"Judge, Court of Criminal Appeals, Place 2",0222,1461,671,2132,2728,78.15%,933,1011,51,17,2012
"Judge, Court of Criminal Appeals, Place 2",0223,1766,517,2283,3664,62.31%,556,1465,101,50,2172
"Judge, Court of Criminal Appeals, Place 2",0224,1165,495,1551,2313,71.81%,689,816,48,19,1572
"Judge, Court of Criminal Appeals, Place 2",0225,1357,596,1953,3689,52.94%,789,1009,65,26,1889
"Judge, Court of Criminal Appeals, Place 2",0226,840,421,1261,2554,49.37%,234,924,25,30,1213
"Judge, Court of Criminal Appeals, Place 2",0227,1071,359,1430,1810,79.01%,997,338,30,6,1371
"Judge, Court of Criminal Appeals, Place 2",0228,628,159,787,1175,66.98%,43,712,11,9,775
"Judge, Court of Criminal Appeals, Place 2",0229,229,168,397,828,47.95%,108,250,8,6,372
"Judge, Court of Criminal Appeals, Place 2",0230,354,155,519,1094,47.44%,20,473,6,6,505
"Judge, Court of Criminal Appeals, Place 2",0231,802,445,1247,2376,52.48%,240,890,27,30,1187
"Judge, Court of Criminal Appeals, Place 2",0232,942,438,1380,1826,75.58%,708,549,28,17,1302
"Judge, Court of Criminal Appeals, Place 2",0233,2583,703,3286,4713,69.72%,1402,1496,160,53,3111
"Judge, Court of Criminal Appeals, Place 2",0234,2425,728,3153,4042,78.01%,2218,743,52,13,3026
"Judge, Court of Criminal Appeals, Place 2",0235,461,203,664,1421,46.73%,26,591,12,9,638
"Judge, Court of Criminal Appeals, Place 2",0236,555,308,964,2104,45.82%,39,876,12,12,939
"Judge, Court of Criminal Appeals, Place 2",0237,740,312,1052,2146,49.02%,22,987,7,12,1028
"Judge, Court of Criminal Appeals, Place 2",0238,607,317,924,1948,47.43%,32,841,3,12,888
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0239,694,334,1028,1984,51.81%,36,958,7,9,1010
"Judge, Court of Criminal Appeals, Place 2",0240,1008,292,1300,2601,49.98%,29,1224,9,12,1274
"Judge, Court of Criminal Appeals, Place 2",0241,652,383,1035,2466,41.97%,318,641,18,17,994
"Judge, Court of Criminal Appeals, Place 2",0242,507,314,821,1744,47.08%,343,396,17,16,772
"Judge, Court of Criminal Appeals, Place 2",0243,245,42,287,475,60.42%,5,276,1,1,283
"Judge, Court of Criminal Appeals, Place 2",0244,1412,538,1950,3296,59.16%,872,908,62,34,1876
"Judge, Court of Criminal Appeals, Place 2",0245,2103,811,2914,4679,62.28%,1731,937,95,37,2800
"Judge, Court of Criminal Appeals, Place 2",0246,2214,482,2696,3971,67.89%,1625,898,61,29,2613
"Judge, Court of Criminal Appeals, Place 2",0247,441,376,817,1595,51.22%,21,763,7,13,804
"Judge, Court of Criminal Appeals, Place 2",0248,454,347,801,2147,37.31%,175,560,18,14,767
"Judge, Court of Criminal Appeals, Place 2",0249,1127,365,1492,2825,52.81%,898,507,31,22,1458
"Judge, Court of Criminal Appeals, Place 2",0250,288,183,471,925,50.92%,20,439,1,2,462
"Judge, Court of Criminal Appeals, Place 2",0251,806,378,1184,2132,55.53%,56,1067,12,10,1145
"Judge, Court of Criminal Appeals, Place 2",0252,927,309,1235,2292,53.93%,24,1160,6,10,1200
"Judge, Court of Criminal Appeals, Place 2",0253,750,311,1071,2154,49.72%,28,1006,12,5,1051
"Judge, Court of Criminal Appeals, Place 2",0254,411,280,691,1675,41.25%,143,491,17,13,664
"Judge, Court of Criminal Appeals, Place 2",0255,1257,586,1843,2489,74.05%,736,927,60,21,1744
"Judge, Court of Criminal Appeals, Place 2",0256,1398,583,1981,3321,59.65%,637,1163,42,38,1880
"Judge, Court of Criminal Appeals, Place 2",0257,999,622,1621,3497,46.35%,353,1150,21,40,1564
"Judge, Court of Criminal Appeals, Place 2",0258,1948,608,2555,3346,76.39%,1770,595,75,16,2456
"Judge, Court of Criminal Appeals, Place 2",0259,1031,414,1445,2312,62.50%,32,1354,15,6,1407
"Judge, Court of Criminal Appeals, Place 2",0260,548,227,775,1300,59.62%,370,345,19,12,746
"Judge, Court of Criminal Appeals, Place 2",0261,442,531,973,1457,66.78%,242,636,26,16,920
"Judge, Court of Criminal Appeals, Place 2",0262,1849,676,2525,4397,57.43%,1270,1012,99,37,2418
"Judge, Court of Criminal Appeals, Place 2",0263,2212,665,2877,4016,71.64%,1966,706,60,37,2769
"Judge, Court of Criminal Appeals, Place 2",0254,1114,527,1741,3101,56.14%,807,745,75,30,1657
"Judge, Court of Criminal Appeals, Place 2",0265,1995,608,2603,3582,72.67%,1755,649,61,25,2490
"Judge, Court of Criminal Appeals, Place 2",0266,737,443,1180,2147,54.96%,408,665,30,27,1130
"Judge, Court of Criminal Appeals, Place 2",0267,421,293,714,1433,49.83%,245,395,21,16,677
"Judge, Court of Criminal Appeals, Place 2",0268,1178,689,1867,2528,73.85%,1005,696,45,14,1760
