Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0322,426,124,550,1210,45.45%,148,384,532
"District Judge, 178th Judicial District",0323,700,296,996,1793,55.55%,334,611,945
"District Judge, 178th Judicial District",0324,1444,560,2004,2607,76.87%,1111,778,1889
"District Judge, 178th Judicial District",0325,802,257,1059,2176,48.67%,173,817,990
"District Judge, 178th Judicial District",0326,271,129,400,736,54.35%,133,234,367
"District Judge, 178th Judicial District",0327,738,141,879,1758,50.00%,17,828,845
"District Judge, 178th Judicial District",0328,425,286,711,1631,43.59%,197,473,670
"District Judge, 178th Judicial District",0329,589,260,849,1621,52.38%,241,562,803
"District Judge, 178th Judicial District",0330,863,326,1189,2146,55.41%,497,618,1115
"District Judge, 178th Judicial District",0331,884,234,1118,1612,69.35%,676,377,1053
"District Judge, 178th Judicial District",0332,1355,503,1858,2926,63.50%,171,1608,1779
"District Judge, 178th Judicial District",0333,1385,942,2327,3296,70.60%,1570,625,2195
"District Judge, 178th Judicial District",0334,246,104,350,786,44.53%,54,279,333
"District Judge, 178th Judicial District",0335,489,293,782,1679,46.58%,189,535,724
"District Judge, 178th Judicial District",0336,2489,689,3178,4771,66.61%,295,2784,3079
"District Judge, 178th Judicial District",0337,367,155,522,1108,47.11%,67,422,489
"District Judge, 178th Judicial District",0338,1626,632,2258,5001,45.15%,548,1594,2142
"District Judge, 178th Judicial District",0339,704,303,1007,1909,52.75%,174,763,937
"District Judge, 178th Judicial District",0340,2040,654,2694,4012,67.15%,1831,726,2557
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0341,380,278,658,1372,47.96%,147,471,618
"District Judge, 178th Judicial District",0342,311,225,536,1092,49.08%,106,398,504
"District Judge, 178th Judicial District",0343,722,370,1092,2099,52.02%,190,823,1013
"District Judge, 178th Judicial District",0344,381,207,588,1225,48.00%,15,541,556
"District Judge, 178th Judicial District",0345,575,349,924,1945,47.51%,173,696,869
"District Judge, 178th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 178th Judicial District",0347,1461,618,2079,3614,57.53%,1147,847,1994
"District Judge, 178th Judicial District",0348,830,242,1072,1796,59.69%,690,334,1024
"District Judge, 178th Judicial District",0349,458,369,827,1372,60.28%,470,323,793
"District Judge, 178th Judicial District",0350,1674,582,2256,3269,69.01%,743,1326,2069
"District Judge, 178th Judicial District",0351,2855,570,3425,4799,71.37%,2478,796,3274
"District Judge, 178th Judicial District",0352,2023,538,2561,4278,59.86%,1719,733,2452
"District Judge, 178th Judicial District",0353,1715,659,2374,4156,57.12%,377,1910,2287
"District Judge, 178th Judicial District",0354,1569,429,1998,3520,56.76%,429,1458,1887
"District Judge, 178th Judicial District",0355,821,239,1060,1714,61.84%,104,920,1024
"District Judge, 178th Judicial District",0356,1542,582,2124,3126,67.95%,1085,913,1998
"District Judge, 178th Judicial District",0357,1882,557,2439,3685,66.19%,1679,638,2317
"District Judge, 178th Judicial District",0358,775,376,1151,2634,43.70%,118,981,1099
"District Judge, 178th Judicial District",0359,803,496,1299,3320,39.13%,126,1131,1257
"District Judge, 178th Judicial District",0360,1858,597,2455,3309,74.19%,1042,1226,2268
"District Judge, 178th Judicial District",0361,323,688,1011,1808,55.92%,129,773,902
"District Judge, 178th Judicial District",0362,2865,553,3418,5161,66.23%,2286,978,3264
"District Judge, 178th Judicial District",0363,1826,635,2461,4160,59.16%,934,1444,2378
"District Judge, 178th Judicial District",0364,1190,528,1718,2827,60.77%,731,879,1610
"District Judge, 178th Judicial District",0365,827,174,1001,1348,74.26%,105,866,971
"District Judge, 178th Judicial District",0366,988,524,1512,2887,52.37%,298,1147,1445
"District Judge, 178th Judicial District",0367,453,204,657,1256,52.31%,146,479,625
"District Judge, 178th Judicial District",0368,433,122,555,1024,54.20%,137,395,532
"District Judge, 178th Judicial District",0369,132,29,161,678,23.75%,53,94,147
"District Judge, 178th Judicial District",0370,2525,627,3152,4531,69.57%,2182,829,3011
"District Judge, 178th Judicial District",0371,210,78,288,537,53.63%,10,272,282
"District Judge, 178th Judicial District",0372,509,180,689,1274,54.08%,69,594,663
"District Judge, 178th Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 178th Judicial District",0374,176,165,341,720,47.36%,76,249,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0375,745,510,1255,2836,44.25%,406,770,1176
"District Judge, 178th Judicial District",0376,753,344,1097,2060,53.25%,379,652,1031
"District Judge, 178th Judicial District",0377,1381,643,2024,3137,64.52%,1463,456,1919
"District Judge, 178th Judicial District",0378,621,447,1068,1856,57.54%,621,398,1019
"District Judge, 178th Judicial District",0379,857,388,1245,2149,57.93%,101,1110,1211
"District Judge, 178th Judicial District",0380,2732,551,3283,4380,74.95%,1641,1506,3147
"District Judge, 178th Judicial District",0381,1185,432,1617,3141,51.48%,572,959,1531
"District Judge, 178th Judicial District",0382,429,206,635,1035,61.35%,376,231,607
"District Judge, 178th Judicial District",0383,722,458,1180,2373,49.73%,337,781,1118
"District Judge, 178th Judicial District",0384,1152,444,1596,2725,58.57%,319,1194,1513
"District Judge, 178th Judicial District",0385,1141,561,1702,2207,77.12%,1154,453,1607
"District Judge, 178th Judicial District",0386,1658,419,2077,3105,66.89%,1422,585,2007
"District Judge, 178th Judicial District",0387,1702,780,2482,4340,57.19%,1584,774,2358
"District Judge, 178th Judicial District",0388,2899,711,3510,5413,66.69%,1637,1831,3468
"District Judge, 178th Judicial District",0389,397,293,690,1359,50.77%,80,565,645
"District Judge, 178th Judicial District",0390,698,271,969,1482,65.38%,115,821,936
"District Judge, 178th Judicial District",0391,986,336,1322,1978,66.84%,723,531,1254
"District Judge, 178th Judicial District",0392,652,145,797,1426,55.89%,12,759,771
"District Judge, 178th Judicial District",0393,427,257,684,1274,53.69%,298,345,643
"District Judge, 178th Judicial District",0394,236,126,362,914,39.61%,110,231,341
"District Judge, 178th Judicial District",0395,1007,371,1378,1875,73.49%,858,437,1295
"District Judge, 178th Judicial District",0396,1035,204,1239,2072,59.80%,30,1166,1196
"District Judge, 178th Judicial District",0397,204,117,321,796,40.33%,104,194,298
"District Judge, 178th Judicial District",0398,1761,654,2415,4200,57.50%,1033,1268,2301
"District Judge, 178th Judicial District",0399,1291,546,1837,3340,55.00%,656,1110,1766
"District Judge, 178th Judicial District",0400,1457,372,1839,2661,69.11%,1131,629,1760
"District Judge, 178th Judicial District",0401,703,257,960,1971,48.71%,44,867,911
"District Judge, 178th Judicial District",0402,897,262,1159,1911,60.65%,69,1052,1121
"District Judge, 178th Judicial District",0403,959,387,1346,1719,78.30%,630,604,1234
"District Judge, 178th Judicial District",0404,1033,445,1478,2717,54.40%,668,753,1421
"District Judge, 178th Judicial District",0405,1910,457,2367,3067,77.18%,1709,585,2294
"District Judge, 178th Judicial District",0406,275,65,340,649,52.39%,6,322,328
"District Judge, 178th Judicial District",0407,1703,860,2563,3969,64.58%,1422,988,2410
"District Judge, 178th Judicial District",0408,520,313,833,1740,47.87%,241,533,774
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0409,501,280,781,1608,48.57%,221,509,730
"District Judge, 178th Judicial District",0410,381,96,477,934,51.07%,77,379,456
"District Judge, 178th Judicial District",0411,699,418,1117,2426,46.04%,262,786,1048
"District Judge, 178th Judicial District",0412,156,80,236,478,49.37%,9,220,229
"District Judge, 178th Judicial District",0413,1546,456,2002,3081,64.98%,688,1207,1895
"District Judge, 178th Judicial District",0414,1573,514,2087,3586,58.20%,1458,535,1993
"District Judge, 178th Judicial District",0415,1076,573,1649,2284,72.20%,1049,508,1557
"District Judge, 178th Judicial District",0416,1443,845,2288,4009,57.07%,1030,1123,2153
"District Judge, 178th Judicial District",0417,1104,397,1501,2589,57.98%,591,831,1422
"District Judge, 178th Judicial District",0418,1336,663,1999,3940,50.74%,612,1258,1870
"District Judge, 178th Judicial District",0419,1166,477,1643,2702,60.81%,899,667,1566
"District Judge, 178th Judicial District",0420,2687,731,3418,4946,69.11%,2675,601,3276
"District Judge, 178th Judicial District",0421,1240,273,1513,2023,74.79%,666,786,1452
"District Judge, 178th Judicial District",0422,1357,401,1768,3348,52.81%,58,1654,1712
"District Judge, 178th Judicial District",0423,316,288,604,1423,42.45%,116,460,576
"District Judge, 178th Judicial District",0424,548,158,706,1079,65.43%,339,325,664
"District Judge, 178th Judicial District",0425,257,139,396,878,45.10%,103,269,372
"District Judge, 178th Judicial District",0426,485,228,713,1266,56.32%,340,326,666
"District Judge, 178th Judicial District",0427,437,155,592,1120,52.86%,183,367,550
"District Judge, 178th Judicial District",0428,1588,865,2553,5151,49.56%,601,1809,2410
"District Judge, 178th Judicial District",0429,947,649,1596,3311,48.20%,308,1209,1517
"District Judge, 178th Judicial District",0430,524,291,815,1794,45.43%,124,634,758
"District Judge, 178th Judicial District",0431,1218,604,1822,3860,47.20%,356,1375,1731
"District Judge, 178th Judicial District",0432,456,249,705,1568,44.96%,187,466,653
"District Judge, 178th Judicial District",0433,163,88,251,561,44.74%,49,188,237
"District Judge, 178th Judicial District",0434,831,293,1124,1557,72.19%,566,466,1032
"District Judge, 178th Judicial District",0435,1951,567,2518,3363,74.87%,1423,945,2368
"District Judge, 178th Judicial District",0436,2008,678,2686,3809,70.52%,1344,1160,2504
"District Judge, 178th Judicial District",0437,1148,425,1573,2094,75.12%,969,522,1491
"District Judge, 178th Judicial District",0438,2288,475,2763,3789,72.92%,1743,863,2606
"District Judge, 178th Judicial District",0439,1854,749,2603,3701,70.33%,1619,831,2450
"District Judge, 178th Judicial District",0440,1498,749,2247,2973,75.58%,1568,549,2117
"District Judge, 178th Judicial District",0441,824,408,1232,1695,72.68%,781,376,1157
"District Judge, 178th Judicial District",0442,2441,685,3126,4315,72.44%,2418,571,2989
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0443,415,83,498,642,77.57%,324,143,467
"District Judge, 178th Judicial District",0444,1620,679,2299,3625,63.42%,1162,983,2145
"District Judge, 178th Judicial District",0445,1036,382,1418,2134,66.45%,787,554,1341
"District Judge, 178th Judicial District",0446,89,45,134,309,43.37%,45,83,128
"District Judge, 178th Judicial District",0447,2411,464,2875,3727,77.14%,1807,923,2730
"District Judge, 178th Judicial District",0448,1763,529,2292,3155,72.65%,1155,969,2124
"District Judge, 178th Judicial District",0449,73,26,99,225,44.00%,12,85,97
"District Judge, 178th Judicial District",0450,1104,394,1498,2890,51.83%,353,1081,1434
"District Judge, 178th Judicial District",0451,1719,367,2086,2771,75.28%,1582,419,2001
"District Judge, 178th Judicial District",0452,1871,662,2533,3789,66.85%,1629,789,2418
"District Judge, 178th Judicial District",0453,661,417,1078,2039,52.87%,268,741,1009
"District Judge, 178th Judicial District",0454,1043,288,1331,2509,53.05%,21,1267,1288
"District Judge, 178th Judicial District",0455,669,173,842,1713,49.15%,28,783,811
"District Judge, 178th Judicial District",0456,1,1404,553,1957,3793,51.60%,980,876,1856
"District Judge, 178th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",0458,914,253,1167,2025,57.63%,64,1053,1117
"District Judge, 178th Judicial District",0459,2362,432,2794,3942,70.88%,2014,657,2671
"District Judge, 178th Judicial District",0460,1613,472,2085,3280,63.57%,468,1539,2007
"District Judge, 178th Judicial District",0461,2242,669,2911,4054,71.81%,1635,1078,2713
"District Judge, 178th Judicial District",0462,1474,738,2212,3507,63.07%,684,1435,2119
"District Judge, 178th Judicial District",0463,1573,564,2237,3773,59.29%,815,1351,2166
"District Judge, 178th Judicial District",0464,967,582,1549,2343,66.11%,916,536,1452
"District Judge, 178th Judicial District",0465,1628,594,2222,3778,58.81%,944,1177,2121
"District Judge, 178th Judicial District",0466,2274,509,2783,4327,64.32%,1336,1336,2672
"District Judge, 178th Judicial District",0467,501,225,726,1320,55.00%,138,549,687
"District Judge, 178th Judicial District",0468,1379,747,2125,4040,52.62%,480,1532,2012
"District Judge, 178th Judicial District",0469,1857,462,2329,3257,71.51%,1706,518,2224
"District Judge, 178th Judicial District",0470,555,232,787,1358,57.95%,550,202,752
"District Judge, 178th Judicial District",0471,1057,458,1515,2473,61.26%,1096,358,1454
"District Judge, 178th Judicial District",0472,463,339,802,1131,70.91%,294,446,740
"District Judge, 178th Judicial District",0473,944,390,1334,1787,74.65%,847,416,1263
"District Judge, 178th Judicial District",0474,1417,624,2041,3127,65.27%,1269,684,1953
"District Judge, 178th Judicial District",0475,791,261,1052,1936,54.34%,389,604,993
"District Judge, 178th Judicial District",0476,1077,405,1482,2458,60.29%,722,688,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0477,2027,640,2667,4010,66.51%,1726,808,2534
"District Judge, 178th Judicial District",0478,2271,683,2954,4696,62.90%,1731,1081,2812
"District Judge, 178th Judicial District",0479,1978,755,2733,3851,70.97%,1886,744,2630
"District Judge, 178th Judicial District",0480,1445,538,1983,2978,66.59%,1275,633,1908
"District Judge, 178th Judicial District",0481,1756,667,2423,3609,67.14%,1665,625,2290
"District Judge, 178th Judicial District",0482,2259,618,2877,4405,65.31%,1857,891,2748
"District Judge, 178th Judicial District",0483,2305,538,2843,4495,63.25%,1345,1339,2684
"District Judge, 178th Judicial District",0484,2020,700,2720,3981,68.32%,1640,962,2602
"District Judge, 178th Judicial District",0485,2118,567,2685,4051,66.28%,1820,754,2574
"District Judge, 178th Judicial District",0486,2310,721,3031,4195,72.25%,2196,696,2892
"District Judge, 178th Judicial District",0487,1405,527,1932,4142,46.64%,442,1325,1767
"District Judge, 178th Judicial District",0488,842,511,1353,2382,56.80%,346,937,1283
"District Judge, 178th Judicial District",0489,865,344,1209,1958,61.75%,311,837,1148
"District Judge, 178th Judicial District",0490,980,346,1326,2105,62.99%,362,884,1246
"District Judge, 178th Judicial District",0491,937,488,1425,2110,67.54%,695,647,1342
"District Judge, 178th Judicial District",0492,1217,396,1613,2552,63.21%,756,781,1537
"District Judge, 178th Judicial District",0493,1404,555,1959,3338,58.69%,676,1161,1837
"District Judge, 178th Judicial District",0494,1079,419,1498,2787,53.75%,172,1269,1441
"District Judge, 178th Judicial District",0495,1414,376,1790,2488,71.95%,1135,552,1687
"District Judge, 178th Judicial District",0496,687,549,1235,2325,53.16%,397,782,1179
"District Judge, 178th Judicial District",0497,915,281,1197,2148,55.73%,49,1106,1155
"District Judge, 178th Judicial District",0498,1069,423,1492,2527,59.04%,472,945,1417
"District Judge, 178th Judicial District",0499,1433,397,1830,2336,78.34%,1190,553,1743
"District Judge, 178th Judicial District",0500,1869,651,2520,3698,68.14%,1497,903,2400
"District Judge, 178th Judicial District",0501,1146,406,1552,2016,76.98%,585,861,1446
"District Judge, 178th Judicial District",0502,1355,293,1559,2595,63.93%,1216,360,1576
"District Judge, 178th Judicial District",0503,1397,306,1703,2236,76.16%,1207,408,1615
"District Judge, 178th Judicial District",0504,1270,482,1752,2318,75.58%,1025,624,1649
"District Judge, 178th Judicial District",0505,1750,735,2485,4076,60.97%,990,1312,2302
"District Judge, 178th Judicial District",0506,1513,696,2209,3544,62.33%,300,1827,2127
"District Judge, 178th Judicial District",0507,599,319,918,2562,35.83%,201,617,818
"District Judge, 178th Judicial District",0508,1519,828,2347,4767,49.23%,617,1545,2162
"District Judge, 178th Judicial District",0509,2504,669,3173,5153,61.58%,1895,1139,3034
"District Judge, 178th Judicial District",0510,1701,666,2367,3822,61.93%,931,1348,2279
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0511,2933,574,3507,4620,75.91%,2049,1326,3375
"District Judge, 178th Judicial District",0512,1668,871,2539,4559,55.69%,913,1505,2418
"District Judge, 178th Judicial District",0513,1754,413,2187,3003,72.16%,1474,592,2066
"District Judge, 178th Judicial District",0514,2288,613,2899,4378,66.22%,1886,875,2761
"District Judge, 178th Judicial District",0515,1836,468,2304,3182,72.41%,1745,458,2203
"District Judge, 178th Judicial District",0516,1316,363,1679,2799,59.99%,771,839,1610
"District Judge, 178th Judicial District",0517,1610,509,2119,3744,56.60%,855,1166,2021
"District Judge, 178th Judicial District",0518,1886,676,2562,4049,63.27%,1409,1028,2437
"District Judge, 178th Judicial District",0519,1421,518,1939,3098,62.59%,1261,590,1851
"District Judge, 178th Judicial District",0520,1785,670,2456,5202,47.21%,349,2038,2387
"District Judge, 178th Judicial District",0521,1350,578,1928,3070,62.80%,854,998,1852
"District Judge, 178th Judicial District",0522,1508,464,1972,2815,70.05%,1384,525,1909
"District Judge, 178th Judicial District",0523,1978,537,2515,4027,62.45%,1449,930,2379
"District Judge, 178th Judicial District",0524,1392,637,2029,3598,56.39%,509,1423,1932
"District Judge, 178th Judicial District",0525,1440,574,2014,3260,61.78%,398,1512,1910
"District Judge, 178th Judicial District",0526,235,157,392,820,47.80%,74,290,364
"District Judge, 178th Judicial District",0527,156,38,194,580,33.45%,69,112,181
"District Judge, 178th Judicial District",0528,17,8,25,78,32.05%,1,23,24
"District Judge, 178th Judicial District",0529,2107,434,2541,3842,66.14%,2031,398,2429
"District Judge, 178th Judicial District",0530,375,212,587,1236,47.49%,104,432,536
"District Judge, 178th Judicial District",0531,1234,166,1400,2250,62.22%,990,327,1317
"District Judge, 178th Judicial District",0532,478,140,618,1058,58.41%,395,209,604
"District Judge, 178th Judicial District",0533,352,169,521,1164,44.76%,245,240,485
"District Judge, 178th Judicial District",0534,1895,577,2472,3918,63.09%,1633,723,2356
"District Judge, 178th Judicial District",0535,132,62,194,413,46.97%,56,122,178
"District Judge, 178th Judicial District",0536,2104,1053,3157,5637,56.00%,947,2028,2975
"District Judge, 178th Judicial District",0537,1958,464,2422,3174,76.31%,1647,669,2316
"District Judge, 178th Judicial District",0538,371,203,574,1332,43.09%,12,545,557
"District Judge, 178th Judicial District",0539,811,234,1045,1535,68.08%,537,449,986
"District Judge, 178th Judicial District",0540,997,349,1346,1759,76.52%,411,827,1238
"District Judge, 178th Judicial District",0541,2157,761,2918,5001,58.35%,432,2349,2781
"District Judge, 178th Judicial District",0542,1156,406,1562,2654,58.85%,88,1412,1500
"District Judge, 178th Judicial District",0543,553,321,874,1658,52.71%,197,629,826
"District Judge, 178th Judicial District",0544,84,54,138,313,44.09%,15,118,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0545,2015,468,2483,3949,62.88%,1025,1319,2344
"District Judge, 178th Judicial District",0546,1524,278,1802,2471,72.93%,1447,301,1748
"District Judge, 178th Judicial District",0547,1413,270,1683,2534,66.42%,1060,542,1602
"District Judge, 178th Judicial District",0548,882,395,1277,2339,54.60%,538,692,1230
"District Judge, 178th Judicial District",0549,1105,447,1552,2786,55.71%,180,1326,1506
"District Judge, 178th Judicial District",0550,1171,553,1724,3245,53.13%,682,979,1661
"District Judge, 178th Judicial District",0551,2586,793,3379,4428,76.31%,2429,792,3221
"District Judge, 178th Judicial District",0552,2090,784,2874,3762,76.40%,2228,533,2761
"District Judge, 178th Judicial District",0553,962,317,1279,2193,58.32%,449,782,1231
"District Judge, 178th Judicial District",0554,597,271,868,1774,48.93%,159,670,829
"District Judge, 178th Judicial District",0555,639,390,1029,2286,45.01%,162,824,986
"District Judge, 178th Judicial District",0556,759,435,1194,2491,47.93%,225,918,1143
"District Judge, 178th Judicial District",0557,925,460,1385,2955,46.87%,357,918,1275
"District Judge, 178th Judicial District",0558,1812,721,2533,4718,53.69%,702,1727,2429
"District Judge, 178th Judicial District",0559,1901,701,2602,4984,52.21%,545,1937,2482
"District Judge, 178th Judicial District",0560,290,247,537,1141,47.06%,90,411,501
"District Judge, 178th Judicial District",0561,1023,624,1647,3138,52.49%,918,640,1558
"District Judge, 178th Judicial District",0562,222,116,338,691,48.91%,43,267,310
"District Judge, 178th Judicial District",0563,2069,337,2406,3468,69.38%,1753,548,2301
"District Judge, 178th Judicial District",0564,1551,526,2077,3240,64.10%,502,1448,1950
"District Judge, 178th Judicial District",0565,336,148,484,1414,34.23%,74,386,460
"District Judge, 178th Judicial District",0566,1183,441,1624,3029,53.62%,371,1180,1551
"District Judge, 178th Judicial District",0567,965,390,1355,2851,47.53%,318,943,1261
"District Judge, 178th Judicial District",0568,1833,697,2530,3638,69.54%,1492,855,2347
"District Judge, 178th Judicial District",0569,2027,747,2774,4125,67.25%,1191,1390,2581
"District Judge, 178th Judicial District",0570,766,278,1044,1598,65.33%,347,618,965
"District Judge, 178th Judicial District",0571,521,314,835,1950,42.82%,227,564,791
"District Judge, 178th Judicial District",0572,1522,444,1966,3308,59.43%,784,1082,1866
"District Judge, 178th Judicial District",0573,489,215,704,1625,43.32%,15,675,690
"District Judge, 178th Judicial District",0574,112,74,186,391,47.57%,21,156,177
"District Judge, 178th Judicial District",0575,1905,535,2440,3557,68.60%,1277,1045,2322
"District Judge, 178th Judicial District",0576,1107,375,1482,2830,52.37%,79,1357,1436
"District Judge, 178th Judicial District",0577,885,205,1090,1586,68.73%,600,427,1027
"District Judge, 178th Judicial District",0578,1026,405,1431,1862,76.85%,784,543,1327
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0579,287,181,468,1139,41.09%,73,369,442
"District Judge, 178th Judicial District",0580,366,108,474,985,48.12%,16,451,467
"District Judge, 178th Judicial District",0581,456,137,593,1033,57.41%,16,556,572
"District Judge, 178th Judicial District",0582,543,232,775,1607,48.23%,41,701,742
"District Judge, 178th Judicial District",0583,433,155,588,1286,45.72%,14,560,574
"District Judge, 178th Judicial District",0584,367,120,487,1062,45.86%,31,435,466
"District Judge, 178th Judicial District",0585,829,280,1109,2346,47.27%,51,1018,1069
"District Judge, 178th Judicial District",0586,1790,790,2580,4521,57.07%,1384,1080,2464
"District Judge, 178th Judicial District",0587,1204,431,1635,2870,56.97%,503,1060,1563
"District Judge, 178th Judicial District",0588,1940,606,2546,3780,67.35%,1580,862,2442
"District Judge, 178th Judicial District",0589,1539,545,2084,3780,55.13%,929,1064,1993
"District Judge, 178th Judicial District",0590,1230,400,1630,2176,74.91%,1172,375,1547
"District Judge, 178th Judicial District",0591,651,462,1113,2274,48.94%,254,790,1044
"District Judge, 178th Judicial District",0592,449,272,721,1446,49.86%,136,549,685
"District Judge, 178th Judicial District",0593,1581,755,2316,4179,55.42%,847,1339,2186
"District Judge, 178th Judicial District",0594,1243,316,1559,2578,60.47%,390,1120,1510
"District Judge, 178th Judicial District",0595,600,299,899,1833,49.05%,126,739,865
"District Judge, 178th Judicial District",0596,1377,501,1878,3574,52.55%,799,979,1778
"District Judge, 178th Judicial District",0597,1204,609,1813,3587,50.54%,591,1127,1718
"District Judge, 178th Judicial District",0598,2389,731,3120,5253,59.39%,1011,1969,2980
"District Judge, 178th Judicial District",0599,1378,493,1871,3005,62.26%,603,1203,1806
"District Judge, 178th Judicial District",0600,1602,776,2378,4204,56.57%,737,1508,2245
"District Judge, 178th Judicial District",0601,2220,670,2890,4151,69.62%,2000,781,2781
"District Judge, 178th Judicial District",0602,754,234,988,1441,68.56%,646,299,945
"District Judge, 178th Judicial District",0603,2335,725,3060,4666,65.58%,1657,1277,2934
"District Judge, 178th Judicial District",0604,1816,375,2191,3189,68.70%,1755,330,2085
"District Judge, 178th Judicial District",0605,1711,599,2310,4217,54.78%,480,1707,2187
"District Judge, 178th Judicial District",0606,319,111,430,970,44.33%,8,411,419
"District Judge, 178th Judicial District",0607,163,51,214,712,30.06%,22,182,204
"District Judge, 178th Judicial District",0608,156,77,233,570,40.88%,70,150,220
"District Judge, 178th Judicial District",0609,2037,729,2766,4305,64.25%,1488,1140,2628
"District Judge, 178th Judicial District",0610,665,343,1008,2086,48.32%,383,556,939
"District Judge, 178th Judicial District",0611,980,229,1209,2527,47.84%,44,1136,1180
"District Judge, 178th Judicial District",0612,1927,431,2358,3388,69.60%,1675,563,2238
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0613,937,339,1276,2368,53.89%,191,1026,1217
"District Judge, 178th Judicial District",0614,1949,645,2594,4566,56.81%,711,1763,2474
"District Judge, 178th Judicial District",0615,1075,301,1376,2086,65.96%,685,628,1313
"District Judge, 178th Judicial District",0616,1809,611,2420,3516,68.83%,1503,783,2286
"District Judge, 178th Judicial District",0617,1704,650,2354,4179,56.33%,726,1528,2254
"District Judge, 178th Judicial District",0618,1698,545,2243,3801,59.01%,859,1298,2157
"District Judge, 178th Judicial District",0619,2792,663,3455,4916,70.28%,2417,927,3344
"District Judge, 178th Judicial District",0620,1747,333,2080,3318,62.69%,996,979,1975
"District Judge, 178th Judicial District",0621,536,200,736,1272,57.86%,283,412,695
"District Judge, 178th Judicial District",0622,2129,591,2720,4562,59.62%,1370,1217,2587
"District Judge, 178th Judicial District",0623,1960,461,2421,3919,61.78%,1427,882,2309
"District Judge, 178th Judicial District",0624,297,59,356,456,78.07%,266,77,343
"District Judge, 178th Judicial District",0625,924,372,1296,1864,69.53%,648,578,1226
"District Judge, 178th Judicial District",0626,2280,784,3054,4816,63.62%,1471,1426,2897
"District Judge, 178th Judicial District",0627,935,649,1584,3235,48.96%,388,1115,1503
"District Judge, 178th Judicial District",0628,716,545,1261,2420,52.11%,401,777,1178
"District Judge, 178th Judicial District",0629,162,96,258,750,34.40%,27,221,248
"District Judge, 178th Judicial District",0630,2662,541,3203,4738,67.60%,297,2810,3107
"District Judge, 178th Judicial District",0631,1841,398,2239,3263,68.62%,1401,731,2132
"District Judge, 178th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 178th Judicial District",0633,2285,601,2887,3912,73.80%,1851,915,2766
"District Judge, 178th Judicial District",0634,1435,499,1934,3259,59.34%,1021,832,1853
"District Judge, 178th Judicial District",0635,1645,520,2165,3512,61.65%,1529,533,2062
"District Judge, 178th Judicial District",0636,2303,922,3225,4569,70.58%,2713,387,3100
"District Judge, 178th Judicial District",0637,1095,423,1518,2591,58.59%,296,1096,1392
"District Judge, 178th Judicial District",0638,850,348,1198,2310,51.86%,87,1078,1165
"District Judge, 178th Judicial District",0639,1385,284,1670,2560,65.23%,1227,365,1592
"District Judge, 178th Judicial District",0640,1619,615,2234,3927,56.89%,1199,942,2141
"District Judge, 178th Judicial District",0641,1637,683,2320,3840,60.42%,1287,925,2212
"District Judge, 178th Judicial District",0642,1030,270,1300,1783,72.91%,959,285,1244
"District Judge, 178th Judicial District",0643,1948,593,2541,4189,60.66%,1131,1308,2439
"District Judge, 178th Judicial District",0644,2087,689,2776,4446,62.44%,1537,1116,2653
"District Judge, 178th Judicial District",0645,2145,769,2914,4517,64.51%,1118,1637,2755
"District Judge, 178th Judicial District",0646,925,399,1324,2422,54.67%,313,933,1246
