Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0074,2503,268,2771,3578,77.45%,1963,667,2630
"District Judge, 178th Judicial District",0075,1000,286,1286,1684,76.37%,511,681,1192
"District Judge, 178th Judicial District",0076,1015,427,1442,2441,59.07%,653,698,1351
"District Judge, 178th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 178th Judicial District",0078,618,254,872,1608,54.23%,197,597,794
"District Judge, 178th Judicial District",0079,831,602,1433,2963,48.36%,225,1093,1318
"District Judge, 178th Judicial District",0080,1174,466,1640,2840,57.75%,332,1211,1543
"District Judge, 178th Judicial District",0081,776,273,1049,1964,53.41%,282,706,988
"District Judge, 178th Judicial District",0082,1585,756,2341,3539,66.15%,1621,617,2238
"District Judge, 178th Judicial District",0083,1829,540,2369,4174,56.76%,840,1431,2271
"District Judge, 178th Judicial District",0084,573,257,830,1421,58.41%,561,236,797
"District Judge, 178th Judicial District",0085,587,329,916,2169,42.23%,37,843,880
"District Judge, 178th Judicial District",0086,2032,493,2525,3449,73.21%,1077,1286,2363
"District Judge, 178th Judicial District",0087,1451,719,2170,2839,76.44%,1174,861,2035
"District Judge, 178th Judicial District",0088,338,141,479,784,61.10%,300,153,453
"District Judge, 178th Judicial District",0089,398,424,822,1094,75.14%,376,380,756
"District Judge, 178th Judicial District",0090,1856,890,2746,3883,70.72%,1918,700,2618
"District Judge, 178th Judicial District",0091,673,339,1012,1724,58.70%,536,405,941
"District Judge, 178th Judicial District",0092,1263,474,1737,2260,76.86%,1041,588,1629
"District Judge, 178th Judicial District",0093,1048,619,1667,3536,47.14%,460,1117,1577
"District Judge, 178th Judicial District",0094,202,63,265,580,45.69%,44,208,252
"District Judge, 178th Judicial District",0095,2022,534,2556,3394,75.31%,1536,887,2423
"District Judge, 178th Judicial District",0096,828,306,1134,2060,55.05%,140,941,1081
"District Judge, 178th Judicial District",0097,2511,467,2978,4414,67.47%,2143,689,2832
"District Judge, 178th Judicial District",0098,1385,594,1979,3161,62.61%,1578,324,1902
"District Judge, 178th Judicial District",0099,681,295,976,2192,44.53%,383,547,930
"District Judge, 178th Judicial District",0100,529,276,805,1825,44.11%,310,464,774
"District Judge, 178th Judicial District",0101,221,129,350,988,35.43%,77,258,335
"District Judge, 178th Judicial District",0102,580,227,807,1907,42.32%,200,559,759
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0103,2140,985,3125,5097,61.31%,1439,1566,3005
"District Judge, 178th Judicial District",0104,913,211,1124,1920,58.54%,22,1074,1096
"District Judge, 178th Judicial District",0105,709,433,1142,2304,49.57%,257,797,1054
"District Judge, 178th Judicial District",0106,73,59,132,299,44.15%,38,91,129
"District Judge, 178th Judicial District",0107,592,403,995,2230,44.62%,145,806,951
"District Judge, 178th Judicial District",0108,1461,448,1909,3674,51.96%,866,922,1788
"District Judge, 178th Judicial District",0109,1098,278,1376,2909,47.30%,29,1300,1329
"District Judge, 178th Judicial District",0110,1661,481,2142,3222,66.48%,1184,868,2052
"District Judge, 178th Judicial District",0111,2699,866,3565,4792,74.39%,2391,1003,3394
"District Judge, 178th Judicial District",0112,1507,598,2105,3188,66.03%,1321,685,2006
"District Judge, 178th Judicial District",0113,1307,418,1725,2718,63.47%,841,815,1656
"District Judge, 178th Judicial District",0114,2290,506,2796,3885,71.97%,1955,718,2673
"District Judge, 178th Judicial District",0115,609,272,881,1843,47.80%,78,765,843
"District Judge, 178th Judicial District",0116,1898,599,2497,3194,78.18%,1724,654,2378
"District Judge, 178th Judicial District",0117,573,379,952,1900,50.11%,298,590,888
"District Judge, 178th Judicial District",0118,1823,530,2353,3181,73.97%,1155,1076,2231
