Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0075,1002,286,1288,1684,76.48%,487,530,166,50,1233
Railroad Commissioner,0076,1015,427,1442,2441,59.07%,630,629,54,80,1393
Railroad Commissioner,0077,2,5,7,1,7,41.18%,1,5,0,1,7
Railroad Commissioner,0078,519,254,873,1608,54.29%,189,522,38,67,816
Railroad Commissioner,0079,831,602,1433,2963,48.36%,210,972,36,138,1356
Railroad Commissioner,0080,1175,466,1641,2840,57.78%,316,1153,32,69,1570
Railroad Commissioner,0081,776,273,1049,1964,53.41%,260,642,32,61,995
Railroad Commissioner,0082,1588,755,2344,3539,66.23%,1560,544,140,37,2281
Railroad Commissioner,0083,1534,540,2374,4174,56.88%,835,1319,82,76,2312
Railroad Commissioner,0084,573,257,830,1421,58.41%,549,208,23,26,806
Railroad Commissioner,0085,603,329,932,2169,42.97%,32,822,24,28,906
Railroad Commissioner,0086,2040,493,2533,3449,73.44%,1063,978,309,86,2436
Railroad Commissioner,0087,1452,719,2171,2839,76.47%,1158,607,293,30,2088
Railroad Commissioner,0088,338,141,479,784,61.10%,289,136,25,11,461
Railroad Commissioner,0089,399,424,823,1094,75.23%,390,260,111,19,780
Railroad Commissioner,0090,1850,890,2750,3883,70.82%,1839,572,203,48,2662
Railroad Commissioner,0091,673,339,1012,1724,58.70%,514,340,58,51,963
Railroad Commissioner,0092,1255,474,1740,2260,76.99%,1004,485,162,41,1692
Railroad Commissioner,0093,1049,619,1668,3536,47.17%,439,1050,39,89,1617
Railroad Commissioner,0094,202,53,255,580,45.69%,43,184,7,20,254
Railroad Commissioner,0095,2025,534,2550,3394,75.43%,1500,682,254,52,2488
Railroad Commissioner,0096,828,306,1134,2060,55.05%,139,876,32,42,1089
Railroad Commissioner,0097,2515,467,2982,4414,67.56%,2108,610,121,49,2888
Railroad Commissioner,0098,1385,594,1979,3161,62.61%,1536,286,71,24,1917
Railroad Commissioner,0099,581,295,976,2192,44.53%,364,502,24,47,937
Railroad Commissioner,0100,531,276,807,1825,44.22%,293,415,27,44,779
Railroad Commissioner,0101,221,129,350,988,35.43%,77,238,7,15,337
Railroad Commissioner,0102,581,227,808,1907,42.37%,187,515,20,50,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0103,2148,985,3133,5097,61.47%,1401,1428,94,123,3046
Railroad Commissioner,0104,915,211,1126,1920,58.65%,25,1050,9,16,1100
Railroad Commissioner,0105,709,433,1142,2304,49.57%,251,723,34,81,1089
Railroad Commissioner,0106,73,59,132,299,44.15%,38,86,3,3,130
Railroad Commissioner,0107,594,403,997,2230,44.71%,129,743,23,64,959
Railroad Commissioner,0108,1464,448,1912,3674,52.04%,858,866,57,50,1831
Railroad Commissioner,0109,1098,278,1376,2909,47.30%,36,1281,7,15,1339
Railroad Commissioner,0110,1664,481,2145,3222,66.57%,1169,785,85,48,2087
Railroad Commissioner,0111,2701,866,3567,4792,74.44%,2323,879,178,73,3453
Railroad Commissioner,0112,1509,598,2107,3188,66.09%,1272,573,136,46,2027
Railroad Commissioner,0113,1308,418,1726,2718,63.50%,811,742,79,46,1678
Railroad Commissioner,0114,2294,506,2800,3885,72.07%,1909,623,120,60,2712
Railroad Commissioner,0115,609,272,881,1843,47.80%,72,732,9,30,843
Railroad Commissioner,0116,1898,599,2497,3194,78.18%,1737,453,219,25,2434
Railroad Commissioner,0117,574,379,953,1900,50.16%,290,522,35,57,904
Railroad Commissioner,0118,1825,530,2355,3181,74.03%,1143,932,153,53,2281
Railroad Commissioner,0119,2763,409,3172,4682,67.75%,2319,549,172,44,3084
Railroad Commissioner,0120,1812,588,2400,3732,64.31%,1302,787,160,59,2308
Railroad Commissioner,0121,354,221,575,966,59.52%,340,180,22,20,562
Railroad Commissioner,0122,733,284,1017,1904,53.41%,42,910,17,15,984
Railroad Commissioner,0123,750,287,1037,1585,65.43%,228,570,149,56,1003
Railroad Commissioner,0124,3137,888,4025,5393,74.63%,2983,711,177,66,3937
Railroad Commissioner,0125,1207,400,1607,2593,61.97%,783,639,87,49,1558
Railroad Commissioner,0126,2021,427,2448,3380,72.43%,1970,284,110,26,2390
Railroad Commissioner,0127,979,214,1193,2091,57.05%,779,293,50,21,1143
Railroad Commissioner,0128,1107,612,1719,2322,74.03%,894,477,235,24,1630
Railroad Commissioner,0129,2549,1052,3601,5172,69.62%,1918,1161,285,102,3466
Railroad Commissioner,0130,1314,433,1747,2289,76.32%,1134,400,128,31,1693
