Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0323,700,296,996,1793,55.55%,339,537,56,25,957
Railroad Commissioner,0324,1445,560,2005,2607,76.91%,1128,582,202,33,1945
Railroad Commissioner,0325,802,257,1059,2176,48.67%,163,778,23,45,1009
Railroad Commissioner,0326,271,129,400,736,54.35%,129,214,11,25,379
Railroad Commissioner,0327,740,141,881,1758,50.11%,20,804,15,12,851
Railroad Commissioner,0328,425,286,711,1631,43.59%,194,428,22,38,682
Railroad Commissioner,0329,592,260,852,1621,52.56%,218,514,35,55,822
Railroad Commissioner,0330,864,326,1190,2146,55.45%,482,544,76,40,1142
Railroad Commissioner,0331,888,234,1122,1612,69.60%,657,346,56,25,1084
Railroad Commissioner,0332,1359,503,1882,2926,63.64%,166,1520,38,79,1803
Railroad Commissioner,0333,1387,942,2329,3296,70.66%,1508,539,158,50,2255
Railroad Commissioner,0334,247,104,351,786,44.66%,51,271,8,6,336
Railroad Commissioner,0335,489,293,782,1679,46.58%,172,498,25,33,728
Railroad Commissioner,0336,2496,689,3185,4771,66.76%,291,2658,80,83,3112
Railroad Commissioner,0337,371,155,526,1108,47.47%,67,404,5,20,496
Railroad Commissioner,0338,1627,632,2259,5001,45.17%,541,1482,47,79,2149
Railroad Commissioner,0339,705,303,1008,1909,52.80%,165,688,42,58,953
Railroad Commissioner,0340,2042,654,2696,4012,67.20%,1764,624,157,63,2608
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0341,380,278,658,1372,47.96%,128,440,11,43,622
Railroad Commissioner,0342,312,225,537,1092,49.18%,107,380,15,15,517
Railroad Commissioner,0343,723,370,1093,2099,52.07%,175,739,34,85,1033
Railroad Commissioner,0344,381,207,588,1225,48.00%,20,523,11,11,565
Railroad Commissioner,0345,580,349,929,1945,47.76%,156,633,58,36,883
Railroad Commissioner,0346,1,0,1,1,100.00%,0,0,0,0,0
Railroad Commissioner,0347,1462,618,2080,3614,57.55%,1103,742,82,90,2017
Railroad Commissioner,0348,832,242,1074,1796,59.80%,691,283,45,27,1046
Railroad Commissioner,0349,459,369,828,1372,60.35%,453,282,50,23,808
Railroad Commissioner,0350,1590,582,2272,3269,69.50%,724,1123,219,83,2149
Railroad Commissioner,0351,2857,570,3427,4799,71.41%,2410,671,193,52,3326
Railroad Commissioner,0352,2025,538,2563,4278,59.91%,1689,640,91,75,2495
Railroad Commissioner,0353,1715,659,2374,4156,57.12%,355,1832,42,70,2299
Railroad Commissioner,0354,1572,429,2001,3520,56.85%,407,1393,44,75,1919
Railroad Commissioner,0355,821,239,1060,1714,61.84%,94,888,24,26,1032
Railroad Commissioner,0356,1544,582,2126,3126,68.01%,1048,759,190,54,2051
Railroad Commissioner,0357,1886,557,2443,3685,66.30%,1644,559,128,40,2371
Railroad Commissioner,0358,775,376,1151,2634,43.70%,109,955,17,32,1113
Railroad Commissioner,0359,805,496,1301,3320,39.19%,110,1075,32,46,1263
Railroad Commissioner,0360,1867,597,2464,3309,74.46%,1048,1002,224,67,2341
Railroad Commissioner,0361,332,688,1020,1808,56.42%,131,692,79,48,950
Railroad Commissioner,0362,2865,553,3418,5161,66.23%,2213,843,196,63,3315
Railroad Commissioner,0363,1826,635,2461,4160,59.16%,931,1329,75,73,2408
Railroad Commissioner,0364,1190,528,1718,2827,60.77%,707,778,77,81,1643
Railroad Commissioner,0365,828,174,1002,1348,74.33%,105,837,22,18,982
Railroad Commissioner,0366,989,524,1513,2887,52.41%,292,1053,39,75,1459
Railroad Commissioner,0367,455,204,659,1256,52.47%,132,449,29,25,635
Railroad Commissioner,0368,433,122,555,1024,54.20%,130,380,16,15,541
Railroad Commissioner,0369,136,29,165,678,24.34%,48,71,21,12,152
Railroad Commissioner,0370,2525,627,3152,4531,69.57%,2112,726,154,62,3054
Railroad Commissioner,0371,210,78,288,537,53.63%,9,267,6,2,284
Railroad Commissioner,0372,510,180,690,1274,54.16%,70,561,10,27,668
Railroad Commissioner,0373,61,13,74,163,45.40%,2,65,4,1,72
Railroad Commissioner,0374,175,165,341,720,47.36%,74,229,10,17,330
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0375,747,510,1257,2836,44.32%,390,725,39,52,1206
Railroad Commissioner,0376,755,344,1099,2060,53.35%,376,609,25,37,1047
Railroad Commissioner,0377,1382,643,2025,3137,64.55%,1407,394,124,41,1966
Railroad Commissioner,0378,622,447,1069,1856,57.60%,592,349,64,34,1039
Railroad Commissioner,0379,857,388,1245,2149,57.93%,96,1048,20,49,1213
Railroad Commissioner,0380,2736,551,3287,4380,75.05%,1613,1397,149,52,3211
Railroad Commissioner,0381,1185,432,1518,3141,51.51%,561,895,32,73,1561
Railroad Commissioner,0382,429,206,635,1035,61.35%,369,206,28,17,620
Railroad Commissioner,0383,723,458,1181,2373,49.77%,327,719,41,54,1141
Railroad Commissioner,0384,1153,444,1597,2725,58.61%,315,1148,48,31,1542
Railroad Commissioner,0385,1142,561,1703,2207,77.16%,1186,282,158,18,1644
Railroad Commissioner,0386,1658,419,2077,3105,66.89%,1412,500,72,46,2030
Railroad Commissioner,0387,1706,780,2486,4340,57.28%,1558,692,89,73,2412
Railroad Commissioner,0388,2899,711,3510,5413,66.69%,1621,1660,137,83,3501
Railroad Commissioner,0389,408,293,701,1359,51.58%,74,504,56,38,672
Railroad Commissioner,0390,708,271,979,1482,66.06%,102,754,62,37,955
Railroad Commissioner,0391,992,336,1328,1978,67.14%,716,443,87,41,1287
Railroad Commissioner,0392,653,145,798,1426,55.96%,11,746,11,14,782
Railroad Commissioner,0393,427,257,684,1274,53.69%,286,309,45,22,662
Railroad Commissioner,0394,236,125,352,914,39.61%,113,213,8,14,348
Railroad Commissioner,0395,1007,371,1378,1875,73.49%,833,329,154,21,1337
Railroad Commissioner,0396,1036,204,1240,2072,59.85%,31,1159,6,11,1207
Railroad Commissioner,0397,204,117,321,796,40.33%,102,171,13,19,305
Railroad Commissioner,0398,1762,654,2416,4200,57.52%,998,1165,92,69,2324
Railroad Commissioner,0399,1294,546,1840,3340,55.09%,645,1022,77,46,1790
Railroad Commissioner,0400,1467,372,1839,2661,69.11%,1092,513,141,39,1785
Railroad Commissioner,0401,703,257,960,1971,48.71%,42,859,6,17,924
Railroad Commissioner,0402,898,262,1160,1911,60.70%,60,1039,18,15,1132
Railroad Commissioner,0403,959,387,1346,1719,78.30%,618,453,172,28,1271
Railroad Commissioner,0404,1034,445,1479,2717,54.44%,641,691,51,51,1434
Railroad Commissioner,0405,1914,457,2371,3067,77.31%,1688,519,88,25,2320
Railroad Commissioner,0406,275,65,340,649,52.39%,6,316,4,4,330
Railroad Commissioner,0407,1704,860,2564,3969,64.60%,1380,836,167,73,2456
Railroad Commissioner,0408,521,313,834,1740,47.93%,236,489,28,42,795
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0409,501,280,781,1608,48.57%,210,473,25,41,749
Railroad Commissioner,0410,382,96,478,934,51.18%,74,364,8,15,461
Railroad Commissioner,0411,699,418,1117,2426,46.04%,250,735,27,57,1069
Railroad Commissioner,0412,156,80,236,478,49.37%,8,211,3,7,229
Railroad Commissioner,0413,1549,456,2005,3081,65.08%,696,1136,48,63,1943
Railroad Commissioner,0414,1577,514,2091,3586,58.31%,1432,476,83,42,2033
Railroad Commissioner,0415,1076,573,1649,2284,72.20%,1011,418,135,40,1604
Railroad Commissioner,0416,1444,845,2289,4009,57.10%,1004,950,161,91,2206
Railroad Commissioner,0417,1105,397,1502,2589,58.01%,586,752,66,53,1457
Railroad Commissioner,0418,1337,663,2000,3940,50.76%,594,1143,71,99,1907
Railroad Commissioner,0419,1166,477,1643,2702,60.81%,872,607,71,45,1595
Railroad Commissioner,0420,2690,731,3421,4946,69.17%,2646,523,123,53,3345
Railroad Commissioner,0421,1242,273,1515,2023,74.89%,650,711,73,38,1472
Railroad Commissioner,0422,1357,401,1768,3348,52.81%,56,1613,19,32,1720
Railroad Commissioner,0423,316,288,604,1423,42.45%,107,427,15,31,580
Railroad Commissioner,0424,548,158,706,1079,65.43%,343,264,56,25,688
Railroad Commissioner,0425,257,139,396,878,45.10%,101,249,18,11,379
Railroad Commissioner,0426,487,228,715,1266,56.48%,334,295,32,26,687
Railroad Commissioner,0427,439,155,594,1120,53.04%,177,350,18,10,555
Railroad Commissioner,0428,1689,865,2554,5151,49.58%,595,1707,47,61,2410
Railroad Commissioner,0429,948,649,1597,3311,48.23%,297,1117,49,51,1514
Railroad Commissioner,0430,527,291,818,1794,45.60%,115,601,25,32,773
Railroad Commissioner,0431,1222,604,1826,3860,47.31%,337,1246,52,99,1734
Railroad Commissioner,0432,458,249,707,1568,45.09%,188,404,44,32,668
Railroad Commissioner,0433,163,88,251,561,44.74%,43,169,15,11,238
Railroad Commissioner,0434,834,293,1127,1557,72.38%,567,362,111,31,1071
Railroad Commissioner,0435,1952,567,2519,3363,74.90%,1408,731,225,55,2419
Railroad Commissioner,0436,2013,678,2691,3809,70.65%,1339,927,230,76,2572
Railroad Commissioner,0437,1148,425,1573,2094,75.12%,939,397,172,24,1532
Railroad Commissioner,0438,2292,475,2767,3789,73.03%,1725,616,291,33,2665
Railroad Commissioner,0439,1856,749,2605,3701,70.39%,1581,651,231,51,2514
Railroad Commissioner,0440,1499,749,2248,2973,75.61%,1569,388,188,21,2166
Railroad Commissioner,0441,824,408,1232,1695,72.68%,780,287,105,19,1191
Railroad Commissioner,0442,2442,685,3127,4315,72.47%,2346,434,221,40,3041
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0443,415,83,498,642,77.57%,315,91,66,10,482
Railroad Commissioner,0444,1623,679,2302,3625,63.50%,1119,839,166,72,2196
Railroad Commissioner,0445,1036,382,1418,2134,66.45%,755,471,107,40,1373
Railroad Commissioner,0446,89,45,134,309,43.37%,47,73,6,3,129
Railroad Commissioner,0447,2416,464,2880,3727,77.27%,1766,827,141,55,2789
Railroad Commissioner,0448,1766,529,2295,3155,72.74%,1139,750,220,82,2191
Railroad Commissioner,0449,73,26,99,225,44.00%,9,87,1,1,98
Railroad Commissioner,0450,1106,394,1500,2890,51.90%,338,1004,66,48,1456
Railroad Commissioner,0451,1720,367,2087,2771,75.32%,1540,324,140,20,2024
Railroad Commissioner,0452,1875,662,2537,3789,66.96%,1569,688,129,65,2451
Railroad Commissioner,0453,663,417,1080,2039,52.97%,263,662,45,55,1025
Railroad Commissioner,0454,1043,288,1331,2509,53.05%,22,1255,8,9,1294
Railroad Commissioner,0455,669,173,842,1713,49.15%,27,770,8,11,816
Railroad Commissioner,0456,1407,553,1960,3793,51.67%,980,790,65,55,1890
Railroad Commissioner,0457,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0458,918,253,1171,2025,57.83%,66,1023,24,24,1137
Railroad Commissioner,0459,2362,432,2794,3942,70.88%,1967,525,191,41,2724
Railroad Commissioner,0460,1615,472,2087,3280,63.63%,459,1432,57,79,2027
Railroad Commissioner,0461,2244,669,2913,4054,71.85%,1621,848,267,42,2778
Railroad Commissioner,0462,1478,738,2216,3507,63.19%,658,1307,116,69,2150
Railroad Commissioner,0463,1575,564,2239,3773,59.34%,766,1234,101,85,2186
Railroad Commissioner,0464,967,582,1549,2343,66.11%,886,469,96,35,1486
Railroad Commissioner,0465,1629,594,2223,3778,58.84%,917,1055,120,49,2141
Railroad Commissioner,0466,2278,509,2787,4327,64.41%,1303,1227,125,58,2713
Railroad Commissioner,0467,502,225,727,1320,55.08%,141,521,21,18,701
Railroad Commissioner,0468,1380,747,2127,4040,52.65%,467,1418,59,94,2038
Railroad Commissioner,0469,1858,462,2330,3257,71.54%,1672,428,148,26,2274
Railroad Commissioner,0470,555,232,787,1358,57.95%,535,169,31,17,752
Railroad Commissioner,0471,1057,458,1515,2473,61.26%,1072,302,67,35,1476
Railroad Commissioner,0472,463,339,802,1131,70.91%,282,355,101,23,761
Railroad Commissioner,0473,944,390,1334,1787,74.65%,812,337,116,27,1292
Railroad Commissioner,0474,1421,624,2045,3127,65.40%,1211,594,131,45,1981
Railroad Commissioner,0475,791,251,1052,1936,54.34%,362,561,39,39,1001
Railroad Commissioner,0476,1078,405,1483,2458,60.33%,700,628,57,53,1438
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0477,2032,640,2672,4010,66.63%,1706,673,146,55,2580
Railroad Commissioner,0478,2273,683,2956,4696,62.95%,1695,937,144,81,2857
Railroad Commissioner,0479,1978,755,2733,3851,70.97%,1845,602,170,49,2666
Railroad Commissioner,0480,1448,538,1986,2978,66.69%,1250,556,89,33,1928
Railroad Commissioner,0481,1759,667,2426,3609,67.22%,1620,512,145,53,2330
Railroad Commissioner,0482,2260,618,2878,4405,65.33%,1799,791,144,64,2798
Railroad Commissioner,0483,2312,538,2850,4495,63.40%,1297,1140,225,87,2749
Railroad Commissioner,0484,2021,700,2721,3981,68.35%,1597,845,140,59,2641
Railroad Commissioner,0485,2121,567,2588,4051,66.35%,1768,651,136,48,2603
Railroad Commissioner,0486,2310,721,3031,4195,72.25%,2115,590,176,53,2934
Railroad Commissioner,0487,1407,527,1934,4142,46.69%,447,1239,48,55,1789
Railroad Commissioner,0488,843,511,1354,2382,56.84%,336,855,59,50,1300
Railroad Commissioner,0489,865,344,1209,1958,61.75%,295,783,40,50,1168
Railroad Commissioner,0490,982,346,1328,2105,63.09%,355,794,95,37,1281
Railroad Commissioner,0491,947,488,1435,2110,68.01%,702,527,108,46,1383
Railroad Commissioner,0492,1222,396,1618,2552,63.40%,734,672,122,44,1572
Railroad Commissioner,0493,1404,555,1959,3338,58.69%,639,1075,89,61,1864
Railroad Commissioner,0494,1079,419,1498,2787,53.75%,159,1200,25,65,1449
Railroad Commissioner,0495,1414,376,1790,2488,71.95%,1114,471,108,28,1721
Railroad Commissioner,0496,687,549,1236,2325,53.16%,375,723,42,48,1188
Railroad Commissioner,0497,915,281,1197,2148,55.73%,48,1093,12,8,1161
Railroad Commissioner,0498,1072,423,1495,2527,59.16%,455,859,77,47,1438
Railroad Commissioner,0499,1434,397,1831,2336,78.38%,1174,428,154,26,1782
Railroad Commissioner,0500,1870,651,2521,3698,68.17%,1446,800,140,65,2451
Railroad Commissioner,0501,1149,406,1555,2016,77.13%,563,683,195,48,1489
Railroad Commissioner,0502,1366,293,1659,2595,63.93%,1220,316,50,14,1600
Railroad Commissioner,0503,1398,306,1704,2236,76.21%,1186,358,84,26,1654
Railroad Commissioner,0504,1271,482,1753,2318,75.63%,1006,458,203,33,1700
Railroad Commissioner,0505,1755,735,2490,4076,61.09%,965,1149,180,99,2393
Railroad Commissioner,0506,1513,696,2209,3544,62.33%,283,1737,66,52,2138
Railroad Commissioner,0507,599,319,918,2562,35.83%,185,597,19,13,814
Railroad Commissioner,0508,1520,828,2348,4767,49.26%,606,1420,88,84,2198
Railroad Commissioner,0509,2507,669,3175,5153,61.63%,1845,989,190,60,3084
Railroad Commissioner,0510,1707,666,2373,3822,62.09%,897,1166,177,74,2314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0511,2935,574,3509,4620,75.95%,1985,1219,148,61,3413
Railroad Commissioner,0512,1669,871,2540,4559,55.71%,869,1378,114,88,2449
Railroad Commissioner,0513,1758,413,2171,3003,72.29%,1440,510,144,20,2114
Railroad Commissioner,0514,2289,613,2902,4378,66.29%,1842,761,173,49,2825
Railroad Commissioner,0515,1838,468,2306,3182,72.47%,1726,367,128,28,2249
Railroad Commissioner,0516,1317,363,1680,2799,60.02%,742,752,95,42,1631
Railroad Commissioner,0517,1612,509,2121,3744,56.65%,818,1015,120,96,2049
Railroad Commissioner,0518,1887,676,2563,4049,63.30%,1370,907,131,62,2470
Railroad Commissioner,0519,1423,518,1941,3098,62.65%,1217,514,108,50,1889
Railroad Commissioner,0520,1798,670,2468,5202,47.44%,337,1947,65,61,2410
Railroad Commissioner,0521,1352,578,1930,3070,62.87%,816,919,86,52,1873
Railroad Commissioner,0522,1508,464,1972,2815,70.05%,1322,420,145,39,1926
Railroad Commissioner,0523,1978,537,2515,4027,62.45%,1417,780,161,67,2425
Railroad Commissioner,0524,1396,637,2033,3598,56.50%,490,1336,74,62,1962
Railroad Commissioner,0525,1442,574,2016,3260,61.84%,385,1437,67,38,1927
Railroad Commissioner,0526,236,157,393,820,47.93%,74,261,13,27,375
Railroad Commissioner,0527,156,38,194,580,33.45%,67,105,7,4,183
Railroad Commissioner,0528,17,8,25,78,32.05%,2,21,0,1,24
Railroad Commissioner,0529,2108,434,2542,3842,66.16%,1988,326,129,35,2478
Railroad Commissioner,0530,376,212,588,1236,47.57%,99,394,14,46,553
Railroad Commissioner,0531,1235,166,1401,2250,62.27%,996,286,32,24,1338
Railroad Commissioner,0532,478,140,618,1058,58.41%,392,180,18,16,606
Railroad Commissioner,0533,353,169,522,1164,44.85%,235,220,17,20,492
Railroad Commissioner,0534,1898,577,2475,3918,63.17%,1623,603,91,63,2380
Railroad Commissioner,0535,132,62,194,413,46.97%,52,115,4,11,182
Railroad Commissioner,0536,2107,1053,3150,5637,56.06%,903,1842,83,168,2996
Railroad Commissioner,0537,1959,464,2423,3174,76.34%,1623,614,99,21,2357
Railroad Commissioner,0538,372,203,575,1332,43.17%,9,536,11,8,564
Railroad Commissioner,0539,811,234,1045,1535,68.08%,523,417,36,29,1005
Railroad Commissioner,0540,1008,349,1357,1759,77.15%,402,662,190,33,1287
Railroad Commissioner,0541,2172,761,2933,5001,58.65%,412,2167,151,100,2830
Railroad Commissioner,0542,1156,406,1562,2654,58.85%,83,1336,25,69,1513
Railroad Commissioner,0543,554,321,875,1658,52.77%,180,573,26,64,843
Railroad Commissioner,0544,84,54,138,313,44.09%,13,117,3,2,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0545,2020,468,2488,3949,63.00%,1002,1198,102,81,2383
Railroad Commissioner,0546,1524,278,1802,2471,72.93%,1439,217,104,13,1773
Railroad Commissioner,0547,1414,270,1684,2534,66.46%,1038,474,77,38,1627
Railroad Commissioner,0548,882,395,1277,2339,54.60%,517,636,52,43,1248
Railroad Commissioner,0549,1106,447,1553,2786,55.74%,179,1258,31,50,1518
Railroad Commissioner,0550,1175,553,1728,3245,53.25%,664,881,83,55,1683
Railroad Commissioner,0551,2588,793,3381,4428,76.36%,2404,679,173,24,3280
Railroad Commissioner,0552,2093,784,2877,3762,76.48%,2183,452,131,37,2803
Railroad Commissioner,0553,964,317,1281,2193,58.41%,432,709,53,54,1248
Railroad Commissioner,0554,597,271,868,1774,48.93%,160,633,28,21,842
Railroad Commissioner,0555,642,390,1032,2286,45.14%,162,778,28,28,996
Railroad Commissioner,0556,760,435,1195,2491,47.97%,218,869,27,37,1151
Railroad Commissioner,0557,925,460,1385,2955,46.87%,345,824,47,61,1277
Railroad Commissioner,0558,1815,721,2536,4718,53.75%,698,1588,101,72,2459
Railroad Commissioner,0559,1917,701,2618,4984,52.53%,528,1791,119,89,2527
Railroad Commissioner,0560,290,247,537,1141,47.06%,75,364,12,58,509
Railroad Commissioner,0561,1025,624,1649,3138,52.55%,884,587,67,54,1592
Railroad Commissioner,0562,222,116,338,691,48.91%,36,253,4,16,309
Railroad Commissioner,0563,2075,337,2412,3468,69.55%,1746,443,137,25,2351
Railroad Commissioner,0554,1567,526,2093,3240,64.60%,482,1279,156,101,2018
Railroad Commissioner,0565,336,148,484,1414,34.23%,71,370,12,14,467
Railroad Commissioner,0566,1189,441,1630,3029,53.81%,354,1087,73,54,1568
Railroad Commissioner,0567,966,390,1356,2851,47.56%,314,868,55,29,1266
Railroad Commissioner,0568,1836,697,2533,3638,69.63%,1436,713,209,72,2430
Railroad Commissioner,0569,2036,747,2783,4125,67.47%,1177,1150,248,85,2660
Railroad Commissioner,0570,771,278,1049,1598,65.64%,334,531,91,45,1001
Railroad Commissioner,0571,521,314,835,1950,42.82%,206,490,25,70,791
Railroad Commissioner,0572,1531,444,1975,3308,59.70%,753,958,140,64,1915
Railroad Commissioner,0573,490,215,705,1625,43.38%,15,661,6,9,691
Railroad Commissioner,0574,112,74,186,391,47.57%,18,147,1,8,174
Railroad Commissioner,0575,1906,535,2441,3557,68.63%,1241,954,115,51,2361
Railroad Commissioner,0576,1110,375,1485,2830,52.47%,76,1305,28,38,1447
Railroad Commissioner,0577,887,205,1092,1586,68.85%,599,355,72,26,1052
Railroad Commissioner,0578,1026,405,1431,1862,76.85%,781,402,157,34,1374
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0579,287,181,468,1139,41.09%,70,342,10,22,444
Railroad Commissioner,0580,366,108,474,985,48.12%,16,440,8,5,469
Railroad Commissioner,0581,457,137,594,1033,57.50%,16,545,6,11,578
Railroad Commissioner,0582,543,232,775,1607,48.23%,41,680,8,18,747
Railroad Commissioner,0583,434,155,589,1286,45.80%,15,550,5,7,577
Railroad Commissioner,0584,367,120,487,1062,45.86%,31,422,8,10,471
Railroad Commissioner,0585,830,280,1110,2346,47.31%,50,998,13,18,1079
Railroad Commissioner,0586,1793,790,2583,4521,57.13%,1356,955,109,78,2498
Railroad Commissioner,0587,1208,431,1639,2870,57.11%,490,1008,45,46,1589
Railroad Commissioner,0588,1941,606,2547,3780,67.38%,1546,735,131,60,2472
Railroad Commissioner,0589,1540,545,2085,3780,55.16%,904,953,91,77,2025
Railroad Commissioner,0590,1230,400,1630,2176,74.91%,1150,275,129,21,1575
Railroad Commissioner,0591,652,462,1114,2274,48.99%,236,738,19,64,1057
Railroad Commissioner,0592,449,272,721,1446,49.86%,125,502,25,31,683
Railroad Commissioner,0593,1561,755,2316,4179,55.42%,830,1214,86,109,2239
Railroad Commissioner,0594,1244,316,1560,2578,60.51%,381,1032,64,54,1531
Railroad Commissioner,0595,601,299,900,1833,49.10%,112,694,28,40,874
Railroad Commissioner,0596,1380,501,1881,3574,52.63%,753,884,97,79,1813
Railroad Commissioner,0597,1205,609,1814,3587,50.57%,566,1050,59,49,1724
Railroad Commissioner,0598,2389,731,3120,5253,59.39%,944,1822,141,104,3011
Railroad Commissioner,0599,1380,493,1873,3005,62.33%,582,1104,73,67,1826
Railroad Commissioner,0600,1603,776,2379,4204,56.59%,724,1396,93,68,2281
Railroad Commissioner,0601,2223,670,2893,4151,69.69%,1923,682,171,44,2820
Railroad Commissioner,0602,756,234,990,1441,68.70%,627,272,47,19,965
Railroad Commissioner,0603,2344,725,3069,4666,65.77%,1599,1135,153,89,2976
Railroad Commissioner,0604,1818,375,2193,3189,68.77%,1747,281,75,23,2126
Railroad Commissioner,0605,1714,599,2313,4217,54.85%,459,1580,67,116,2222
Railroad Commissioner,0606,319,111,430,970,44.33%,8,407,2,3,420
Railroad Commissioner,0607,163,51,214,712,30.06%,23,174,6,6,209
Railroad Commissioner,0608,156,77,233,570,40.88%,65,130,10,20,225
Railroad Commissioner,0609,2040,729,2769,4305,64.32%,1466,985,150,77,2678
Railroad Commissioner,0610,666,343,1009,2086,48.37%,369,497,49,49,964
Railroad Commissioner,0611,980,229,1209,2527,47.84%,39,1119,9,16,1183
Railroad Commissioner,0612,1930,431,2361,3388,69.69%,1639,439,166,47,2291
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0613,938,339,1277,2368,53.93%,181,984,22,49,1236
Railroad Commissioner,0614,1950,645,2595,4566,56.83%,695,1667,71,74,2507
Railroad Commissioner,0615,1075,301,1377,2086,66.01%,652,570,72,40,1334
Railroad Commissioner,0616,1811,611,2422,3516,68.89%,1471,654,150,64,2339
Railroad Commissioner,0617,1708,650,2358,4179,56.42%,700,1417,84,85,2286
Railroad Commissioner,0618,1701,545,2246,3801,59.09%,839,1184,87,75,2185
Railroad Commissioner,0619,2793,663,3456,4916,70.30%,2285,785,256,59,3385
Railroad Commissioner,0620,1749,333,2082,3318,62.75%,976,854,130,42,2002
Railroad Commissioner,0621,536,200,736,1272,57.86%,272,355,42,29,698
Railroad Commissioner,0622,2133,591,2724,4562,59.71%,1322,1064,145,81,2612
Railroad Commissioner,0623,1962,461,2423,3919,61.83%,1405,760,126,59,2350
Railroad Commissioner,0624,298,59,357,456,78.29%,259,68,17,6,350
Railroad Commissioner,0625,925,372,1297,1864,69.58%,626,479,115,34,1254
Railroad Commissioner,0626,2285,784,3089,4816,63.73%,1426,1205,248,87,2966
Railroad Commissioner,0627,935,649,1584,3235,48.96%,360,1040,46,62,1508
Railroad Commissioner,0628,717,545,1262,2420,52.15%,406,712,24,55,1197
Railroad Commissioner,0629,162,96,258,750,34.40%,24,215,6,8,253
Railroad Commissioner,0630,2680,541,3221,4738,67.98%,290,2674,96,80,3140
Railroad Commissioner,0631,1844,398,2242,3263,68.71%,1373,628,128,33,2162
Railroad Commissioner,0632,4,1,5,241,2.07%,0,5,0,0,5
Railroad Commissioner,0633,2287,601,2888,3912,73.82%,1826,770,165,47,2808
Railroad Commissioner,0634,1439,499,1938,3259,59.47%,1002,739,86,50,1877
Railroad Commissioner,0635,1647,520,2167,3512,61.70%,1468,440,146,41,2095
Railroad Commissioner,0636,2303,922,3225,4569,70.58%,2661,343,117,21,3142
Railroad Commissioner,0637,1098,423,1521,2591,58.70%,282,996,51,100,1429
Railroad Commissioner,0638,850,348,1198,2310,51.86%,84,1028,26,29,1167
Railroad Commissioner,0639,1387,284,1671,2560,65.27%,1201,312,79,29,1621
Railroad Commissioner,0640,1619,615,2234,3927,56.89%,1146,845,110,74,2175
Railroad Commissioner,0641,1637,683,2320,3840,60.42%,1255,835,103,54,2247
Railroad Commissioner,0642,1030,270,1300,1783,72.91%,940,237,75,15,1267
Railroad Commissioner,0643,1951,593,2544,4189,60.73%,1077,1193,116,83,2469
Railroad Commissioner,0644,2090,689,2779,4446,62.51%,1467,1001,141,87,2696
Railroad Commissioner,0645,2156,769,2925,4517,64.76%,1077,1437,221,102,2837
Railroad Commissioner,0646,925,399,1324,2422,54.67%,302,893,40,35,1270
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0647,1373,526,1899,4349,43.67%,394,1311,42,28,1775
Railroad Commissioner,0648,1863,500,2363,3487,67.77%,1529,607,126,39,2301
