Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0072,736,418,1154,2029,56.88%,285,792,1077
"District Judge, 133rd Judicial District",0073,813,282,1095,1621,67.55%,543,475,1018
"District Judge, 133rd Judicial District",0074,2503,268,2771,3578,77.45%,2023,615,2638
"District Judge, 133rd Judicial District",0075,1000,286,1286,1684,76.37%,547,644,1191
"District Judge, 133rd Judicial District",0076,1015,427,1442,2441,59.07%,694,664,1358
"District Judge, 133rd Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 133rd Judicial District",0078,618,254,872,1608,54.23%,214,581,795
"District Judge, 133rd Judicial District",0079,831,602,1433,2963,48.36%,264,1060,1324
"District Judge, 133rd Judicial District",0080,1174,466,1640,2840,57.75%,348,1197,1545
"District Judge, 133rd Judicial District",0081,776,273,1049,1964,53.41%,298,686,984
"District Judge, 133rd Judicial District",0082,1585,756,2341,3539,66.15%,1648,592,2240
"District Judge, 133rd Judicial District",0083,1829,540,2369,4174,56.76%,873,1397,2270
"District Judge, 133rd Judicial District",0084,573,257,830,1421,58.41%,573,226,799
"District Judge, 133rd Judicial District",0085,587,329,916,2169,42.23%,46,836,882
"District Judge, 133rd Judicial District",0086,2032,493,2525,3449,73.21%,1148,1212,2360
"District Judge, 133rd Judicial District",0087,1451,719,2170,2839,76.44%,1241,797,2038
"District Judge, 133rd Judicial District",0088,338,141,479,784,61.10%,306,147,453
"District Judge, 133rd Judicial District",0089,398,424,822,1094,75.14%,434,329,763
"District Judge, 133rd Judicial District",0090,1856,890,2746,3883,70.72%,1975,645,2620
"District Judge, 133rd Judicial District",0091,673,339,1012,1724,58.70%,555,388,943
"District Judge, 133rd Judicial District",0092,1263,474,1737,2260,76.86%,1092,541,1633
"District Judge, 133rd Judicial District",0093,1048,619,1667,3536,47.14%,485,1097,1582
"District Judge, 133rd Judicial District",0094,202,83,285,580,45.69%,53,197,250
"District Judge, 133rd Judicial District",0095,2022,534,2556,3394,75.31%,1582,847,2429
"District Judge, 133rd Judicial District",0096,828,306,1134,2060,55.05%,169,914,1083
"District Judge, 133rd Judicial District",0097,2511,467,2978,4414,67.47%,2187,649,2836
"District Judge, 133rd Judicial District",0098,1385,594,1979,3161,62.61%,1600,299,1899
"District Judge, 133rd Judicial District",0099,681,295,976,2192,44.53%,404,524,928
"District Judge, 133rd Judicial District",0100,529,276,805,1825,44.11%,326,446,772
"District Judge, 133rd Judicial District",0101,221,129,350,988,35.43%,83,253,336
"District Judge, 133rd Judicial District",0102,580,227,807,1907,42.32%,202,560,762
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0103,2140,985,3125,5097,61.31%,1486,1529,3015
"District Judge, 133rd Judicial District",0104,913,211,1124,1920,58.54%,30,1063,1093
"District Judge, 133rd Judicial District",0105,709,433,1142,2304,49.57%,289,772,1061
"District Judge, 133rd Judicial District",0106,73,59,132,299,44.15%,43,86,129
"District Judge, 133rd Judicial District",0107,592,403,995,2230,44.62%,153,800,953
"District Judge, 133rd Judicial District",0108,1461,448,1909,3674,51.96%,895,891,1786
"District Judge, 133rd Judicial District",0109,1098,278,1376,2909,47.30%,38,1286,1324
"District Judge, 133rd Judicial District",0110,1661,481,2142,3222,66.48%,1220,836,2056
"District Judge, 133rd Judicial District",0111,2699,866,3565,4792,74.39%,2445,958,3403
"District Judge, 133rd Judicial District",0112,1507,598,2105,3188,66.03%,1379,627,2006
"District Judge, 133rd Judicial District",0113,1307,418,1725,2718,63.47%,878,777,1655
"District Judge, 133rd Judicial District",0114,2290,506,2796,3885,71.97%,2010,671,2681
"District Judge, 133rd Judicial District",0115,609,272,881,1843,47.80%,81,759,840
"District Judge, 133rd Judicial District",0116,1898,599,2497,3194,78.18%,1800,580,2380
"District Judge, 133rd Judicial District",0117,573,379,952,1900,50.11%,324,564,888
"District Judge, 133rd Judicial District",0118,1823,530,2353,3181,73.97%,1214,1019,2233
"District Judge, 133rd Judicial District",0119,2755,409,3164,4682,67.58%,2418,599,3017
"District Judge, 133rd Judicial District",0120,1804,588,2392,3732,64.09%,1385,883,2268
"District Judge, 133rd Judicial District",0121,354,221,575,966,59.52%,356,201,557
"District Judge, 133rd Judicial District",0122,732,284,1016,1904,53.36%,55,920,975
"District Judge, 133rd Judicial District",0123,749,287,1036,1585,65.36%,264,719,983
"District Judge, 133rd Judicial District",0124,3136,888,4024,5393,74.62%,3098,793,3891
"District Judge, 133rd Judicial District",0125,1207,400,1607,2593,61.97%,843,693,1536
"District Judge, 133rd Judicial District",0126,2017,427,2444,3380,72.31%,2033,310,2343
"District Judge, 133rd Judicial District",0127,978,214,1192,2091,57.01%,817,304,1121
"District Judge, 133rd Judicial District",0128,1107,612,1719,2322,74.03%,973,612,1585
"District Judge, 133rd Judicial District",0129,2540,1052,3592,5172,69.45%,2016,1372,3388
