Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0316,739,340,1079,1513,71.32%,533,462,995
"District Judge, 133rd Judicial District",0317,593,252,845,1661,50.87%,212,585,797
"District Judge, 133rd Judicial District",0318,1726,529,2255,3776,59.72%,135,2042,2177
"District Judge, 133rd Judicial District",0319,994,271,1265,2199,57.53%,75,1157,1232
"District Judge, 133rd Judicial District",0320,554,238,792,1570,50.45%,282,463,745
"District Judge, 133rd Judicial District",0321,857,363,1230,2483,49.54%,342,796,1138
"District Judge, 133rd Judicial District",0322,426,124,550,1210,45.45%,158,374,532
"District Judge, 133rd Judicial District",0323,700,296,996,1793,55.55%,363,586,949
"District Judge, 133rd Judicial District",0324,1444,560,2004,2607,76.87%,1163,706,1869
"District Judge, 133rd Judicial District",0325,802,257,1059,2176,48.67%,188,807,995
"District Judge, 133rd Judicial District",0326,271,129,400,736,54.35%,147,221,368
"District Judge, 133rd Judicial District",0327,738,141,879,1758,50.00%,23,825,848
"District Judge, 133rd Judicial District",0328,425,286,711,1631,43.59%,212,457,669
"District Judge, 133rd Judicial District",0329,589,260,849,1621,52.38%,254,548,802
"District Judge, 133rd Judicial District",0330,863,326,1189,2146,55.41%,520,599,1119
"District Judge, 133rd Judicial District",0331,884,234,1118,1612,69.35%,691,365,1056
"District Judge, 133rd Judicial District",0332,1355,503,1858,2926,63.50%,201,1575,1776
"District Judge, 133rd Judicial District",0333,1385,942,2327,3296,70.60%,1605,594,2199
"District Judge, 133rd Judicial District",0334,246,104,350,786,44.53%,54,279,333
"District Judge, 133rd Judicial District",0335,489,293,782,1679,46.58%,188,537,725
"District Judge, 133rd Judicial District",0336,2489,689,3178,4771,66.61%,330,2751,3081
"District Judge, 133rd Judicial District",0337,367,155,522,1108,47.11%,73,416,489
"District Judge, 133rd Judicial District",0338,1626,632,2258,5001,45.15%,582,1559,2141
"District Judge, 133rd Judicial District",0339,704,303,1007,1909,52.75%,189,751,940
"District Judge, 133rd Judicial District",0340,2040,654,2694,4012,67.15%,1873,685,2558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0341,380,278,658,1372,47.96%,157,458,615
"District Judge, 133rd Judicial District",0342,311,225,536,1092,49.08%,116,390,506
"District Judge, 133rd Judicial District",0343,722,370,1092,2099,52.02%,201,813,1014
"District Judge, 133rd Judicial District",0344,381,207,588,1225,48.00%,22,538,560
"District Judge, 133rd Judicial District",0345,575,349,924,1945,47.51%,185,680,865
"District Judge, 133rd Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 133rd Judicial District",0347,1461,618,2079,3614,57.53%,1185,813,1998
"District Judge, 133rd Judicial District",0348,830,242,1072,1796,59.69%,712,315,1027
"District Judge, 133rd Judicial District",0349,458,369,827,1372,60.28%,488,308,796
"District Judge, 133rd Judicial District",0350,1674,582,2256,3269,69.01%,764,1307,2071
"District Judge, 133rd Judicial District",0351,2855,570,3425,4799,71.37%,2529,747,3276
"District Judge, 133rd Judicial District",0352,2023,538,2561,4278,59.86%,1763,693,2456
"District Judge, 133rd Judicial District",0353,1715,659,2374,4156,57.12%,397,1889,2286
"District Judge, 133rd Judicial District",0354,1569,429,1998,3520,56.76%,464,1431,1895
"District Judge, 133rd Judicial District",0355,821,239,1060,1714,61.84%,107,920,1027
"District Judge, 133rd Judicial District",0356,1542,582,2124,3126,67.95%,1122,885,2007
"District Judge, 133rd Judicial District",0357,1882,557,2439,3685,66.19%,1721,597,2318
"District Judge, 133rd Judicial District",0358,775,376,1151,2634,43.70%,129,974,1103
"District Judge, 133rd Judicial District",0359,803,496,1299,3320,39.13%,137,1122,1259
"District Judge, 133rd Judicial District",0360,1858,597,2455,3309,74.19%,1098,1175,2273
"District Judge, 133rd Judicial District",0361,323,688,1011,1808,55.92%,141,767,908
"District Judge, 133rd Judicial District",0362,2865,553,3418,5161,66.23%,2342,932,3274
"District Judge, 133rd Judicial District",0363,1826,635,2461,4160,59.16%,975,1408,2383
"District Judge, 133rd Judicial District",0364,1190,528,1718,2827,60.77%,767,842,1609
"District Judge, 133rd Judicial District",0365,827,174,1001,1348,74.26%,108,862,970
"District Judge, 133rd Judicial District",0366,988,524,1512,2887,52.37%,319,1126,1445
"District Judge, 133rd Judicial District",0367,453,204,657,1256,52.31%,149,470,619
"District Judge, 133rd Judicial District",0368,433,122,555,1024,54.20%,144,388,532
"District Judge, 133rd Judicial District",0369,132,29,161,678,23.75%,54,92,146
"District Judge, 133rd Judicial District",0370,2525,627,3152,4531,69.57%,2223,792,3015
"District Judge, 133rd Judicial District",0371,210,78,288,537,53.63%,11,271,282
"District Judge, 133rd Judicial District",0372,509,180,689,1274,54.08%,75,590,665
"District Judge, 133rd Judicial District",0373,61,13,74,163,45.40%,0,71,71
"District Judge, 133rd Judicial District",0374,176,165,341,720,47.36%,79,246,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0375,745,510,1255,2836,44.25%,430,751,1181
"District Judge, 133rd Judicial District",0376,753,344,1097,2060,53.25%,400,628,1028
"District Judge, 133rd Judicial District",0377,1381,643,2024,3137,64.52%,1498,426,1924
"District Judge, 133rd Judicial District",0378,621,447,1068,1856,57.54%,644,377,1021
"District Judge, 133rd Judicial District",0379,857,388,1245,2149,57.93%,112,1091,1203
"District Judge, 133rd Judicial District",0380,2732,551,3283,4380,74.95%,1700,1458,3158
"District Judge, 133rd Judicial District",0381,1185,432,1517,3141,51.48%,617,918,1535
"District Judge, 133rd Judicial District",0382,429,206,635,1035,61.35%,385,223,608
"District Judge, 133rd Judicial District",0383,722,458,1180,2373,49.73%,349,770,1119
"District Judge, 133rd Judicial District",0384,1152,444,1596,2725,58.57%,338,1180,1518
"District Judge, 133rd Judicial District",0385,1141,561,1702,2207,77.12%,1216,398,1614
"District Judge, 133rd Judicial District",0386,1658,419,2077,3105,66.89%,1457,555,2012
"District Judge, 133rd Judicial District",0387,1702,780,2482,4340,57.19%,1627,738,2365
"District Judge, 133rd Judicial District",0388,2899,711,3510,5413,66.69%,1690,1776,3466
"District Judge, 133rd Judicial District",0389,397,293,690,1359,50.77%,86,561,647
"District Judge, 133rd Judicial District",0390,698,271,969,1482,65.38%,127,808,935
"District Judge, 133rd Judicial District",0391,986,336,1322,1978,66.84%,750,507,1257
"District Judge, 133rd Judicial District",0392,652,145,797,1426,55.89%,12,761,773
"District Judge, 133rd Judicial District",0393,427,257,684,1274,53.69%,307,338,645
"District Judge, 133rd Judicial District",0394,236,126,362,914,39.61%,121,222,343
"District Judge, 133rd Judicial District",0395,1007,371,1378,1875,73.49%,888,411,1299
"District Judge, 133rd Judicial District",0396,1035,204,1239,2072,59.80%,34,1169,1203
"District Judge, 133rd Judicial District",0397,204,117,321,796,40.33%,113,187,300
"District Judge, 133rd Judicial District",0398,1761,654,2415,4200,57.50%,1081,1221,2302
"District Judge, 133rd Judicial District",0399,1291,546,1837,3340,55.00%,690,1079,1769
"District Judge, 133rd Judicial District",0400,1457,372,1839,2661,69.11%,1163,603,1766
"District Judge, 133rd Judicial District",0401,703,257,960,1971,48.71%,47,865,912
"District Judge, 133rd Judicial District",0402,897,262,1159,1911,60.65%,75,1046,1121
"District Judge, 133rd Judicial District",0403,959,387,1346,1719,78.30%,680,563,1243
"District Judge, 133rd Judicial District",0404,1033,445,1478,2717,54.40%,702,720,1422
"District Judge, 133rd Judicial District",0405,1910,457,2367,3067,77.18%,1750,546,2296
"District Judge, 133rd Judicial District",0406,275,65,340,649,52.39%,11,317,328
"District Judge, 133rd Judicial District",0407,1703,860,2563,3969,64.58%,1478,933,2411
"District Judge, 133rd Judicial District",0408,520,313,833,1740,47.87%,252,527,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0409,501,280,781,1608,48.57%,231,504,735
"District Judge, 133rd Judicial District",0410,381,96,477,934,51.07%,89,369,458
"District Judge, 133rd Judicial District",0411,699,418,1117,2426,46.04%,274,779,1053
"District Judge, 133rd Judicial District",0412,156,80,236,478,49.37%,10,216,226
"District Judge, 133rd Judicial District",0413,1546,456,2002,3081,64.98%,732,1164,1896
"District Judge, 133rd Judicial District",0414,1573,514,2087,3586,58.20%,1490,510,2000
"District Judge, 133rd Judicial District",0415,1076,573,1649,2284,72.20%,1079,485,1564
"District Judge, 133rd Judicial District",0416,1443,845,2288,4009,57.07%,1093,1070,2163
"District Judge, 133rd Judicial District",0417,1104,397,1501,2589,57.98%,617,808,1425
"District Judge, 133rd Judicial District",0418,1336,663,1999,3940,50.74%,643,1231,1874
"District Judge, 133rd Judicial District",0419,1166,477,1643,2702,60.81%,924,645,1569
"District Judge, 133rd Judicial District",0420,2687,731,3418,4946,69.11%,2721,556,3277
"District Judge, 133rd Judicial District",0421,1240,273,1513,2023,74.79%,698,753,1451
"District Judge, 133rd Judicial District",0422,1357,401,1768,3348,52.81%,62,1655,1717
"District Judge, 133rd Judicial District",0423,316,288,604,1423,42.45%,125,452,577
"District Judge, 133rd Judicial District",0424,548,158,706,1079,65.43%,351,318,669
"District Judge, 133rd Judicial District",0425,257,139,396,878,45.10%,112,266,378
"District Judge, 133rd Judicial District",0426,485,228,713,1266,56.32%,351,320,671
"District Judge, 133rd Judicial District",0427,437,155,592,1120,52.86%,184,366,550
"District Judge, 133rd Judicial District",0428,1588,865,2553,5151,49.56%,628,1784,2412
"District Judge, 133rd Judicial District",0429,947,649,1596,3311,48.20%,333,1182,1515
"District Judge, 133rd Judicial District",0430,524,291,815,1794,45.43%,134,625,759
"District Judge, 133rd Judicial District",0431,1218,604,1822,3860,47.20%,387,1349,1736
"District Judge, 133rd Judicial District",0432,456,249,705,1568,44.96%,206,448,654
"District Judge, 133rd Judicial District",0433,163,88,251,561,44.74%,58,178,236
"District Judge, 133rd Judicial District",0434,831,293,1124,1557,72.19%,597,441,1038
"District Judge, 133rd Judicial District",0435,1951,567,2518,3363,74.87%,1498,870,2368
"District Judge, 133rd Judicial District",0436,2008,678,2686,3809,70.52%,1422,1098,2520
"District Judge, 133rd Judicial District",0437,1148,425,1573,2094,75.12%,995,500,1495
"District Judge, 133rd Judicial District",0438,2288,475,2763,3789,72.92%,1834,774,2608
"District Judge, 133rd Judicial District",0439,1854,749,2603,3701,70.33%,1685,767,2452
"District Judge, 133rd Judicial District",0440,1498,749,2247,2973,75.58%,1629,494,2123
"District Judge, 133rd Judicial District",0441,824,408,1232,1695,72.68%,822,342,1164
"District Judge, 133rd Judicial District",0442,2441,685,3126,4315,72.44%,2483,504,2987
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0443,415,83,498,642,77.57%,342,129,471
"District Judge, 133rd Judicial District",0444,1620,679,2299,3625,63.42%,1206,941,2147
"District Judge, 133rd Judicial District",0445,1036,382,1418,2134,66.45%,821,521,1342
"District Judge, 133rd Judicial District",0446,89,45,134,309,43.37%,46,83,129
"District Judge, 133rd Judicial District",0447,2411,464,2875,3727,77.14%,1859,880,2739
"District Judge, 133rd Judicial District",0448,1763,529,2292,3155,72.65%,1233,877,2110
"District Judge, 133rd Judicial District",0449,73,26,99,225,44.00%,10,87,97
"District Judge, 133rd Judicial District",0450,1104,394,1498,2890,51.83%,369,1068,1437
"District Judge, 133rd Judicial District",0451,1719,367,2086,2771,75.28%,1618,391,2009
"District Judge, 133rd Judicial District",0452,1871,662,2533,3789,66.85%,1681,745,2426
"District Judge, 133rd Judicial District",0453,661,417,1078,2039,52.87%,283,726,1009
"District Judge, 133rd Judicial District",0454,1043,288,1331,2509,53.05%,24,1265,1289
"District Judge, 133rd Judicial District",0455,669,173,842,1713,49.15%,33,780,813
"District Judge, 133rd Judicial District",0456,1404,553,1957,3793,51.60%,1019,841,1860
"District Judge, 133rd Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0458,914,253,1167,2025,57.63%,78,1040,1118
"District Judge, 133rd Judicial District",0459,2362,432,2794,3942,70.88%,2074,600,2674
"District Judge, 133rd Judicial District",0460,1613,472,2085,3280,63.57%,500,1503,2003
"District Judge, 133rd Judicial District",0461,2242,669,2911,4054,71.81%,1699,1018,2717
"District Judge, 133rd Judicial District",0462,1474,738,2212,3507,63.07%,715,1404,2119
"District Judge, 133rd Judicial District",0463,1573,564,2237,3773,59.29%,839,1328,2167
"District Judge, 133rd Judicial District",0464,967,582,1549,2343,66.11%,949,507,1456
"District Judge, 133rd Judicial District",0465,1628,594,2222,3778,58.81%,980,1145,2125
"District Judge, 133rd Judicial District",0466,2274,509,2783,4327,64.32%,1372,1306,2678
"District Judge, 133rd Judicial District",0467,501,225,726,1320,55.00%,151,536,687
"District Judge, 133rd Judicial District",0468,1379,747,2125,4040,52.62%,513,1509,2022
"District Judge, 133rd Judicial District",0469,1857,462,2329,3257,71.51%,1755,476,2231
"District Judge, 133rd Judicial District",0470,555,232,787,1358,57.95%,564,186,750
"District Judge, 133rd Judicial District",0471,1057,458,1515,2473,61.26%,1122,333,1455
"District Judge, 133rd Judicial District",0472,463,339,802,1131,70.91%,314,428,742
"District Judge, 133rd Judicial District",0473,944,390,1334,1787,74.65%,871,394,1265
"District Judge, 133rd Judicial District",0474,1417,624,2041,3127,65.27%,1312,637,1949
"District Judge, 133rd Judicial District",0475,791,251,1052,1936,54.34%,406,589,995
"District Judge, 133rd Judicial District",0476,1077,405,1482,2458,60.29%,754,656,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0477,2027,640,2667,4010,66.51%,1780,760,2540
"District Judge, 133rd Judicial District",0478,2271,683,2954,4696,62.90%,1807,1014,2821
"District Judge, 133rd Judicial District",0479,1978,755,2733,3851,70.97%,1966,665,2631
"District Judge, 133rd Judicial District",0480,1445,538,1983,2978,66.59%,1332,578,1910
"District Judge, 133rd Judicial District",0481,1756,667,2423,3609,67.14%,1712,585,2297
"District Judge, 133rd Judicial District",0482,2259,618,2877,4405,65.31%,1905,851,2756
"District Judge, 133rd Judicial District",0483,2305,538,2843,4495,63.25%,1415,1266,2681
"District Judge, 133rd Judicial District",0484,2020,700,2720,3981,68.32%,1677,932,2609
"District Judge, 133rd Judicial District",0485,2118,567,2685,4051,66.28%,1871,710,2581
"District Judge, 133rd Judicial District",0486,2310,721,3031,4195,72.25%,2250,646,2896
"District Judge, 133rd Judicial District",0487,1405,527,1932,4142,46.64%,467,1298,1765
"District Judge, 133rd Judicial District",0488,842,511,1353,2382,56.80%,372,915,1287
"District Judge, 133rd Judicial District",0489,865,344,1209,1958,61.75%,332,818,1150
"District Judge, 133rd Judicial District",0490,980,346,1326,2105,62.99%,393,858,1251
"District Judge, 133rd Judicial District",0491,937,488,1425,2110,67.54%,738,599,1337
"District Judge, 133rd Judicial District",0492,1217,396,1613,2552,63.21%,783,750,1533
"District Judge, 133rd Judicial District",0493,1404,555,1959,3338,58.69%,705,1134,1839
"District Judge, 133rd Judicial District",0494,1079,419,1498,2787,53.75%,188,1253,1441
"District Judge, 133rd Judicial District",0495,1414,376,1790,2488,71.95%,1179,510,1689
"District Judge, 133rd Judicial District",0496,687,549,1235,2325,53.16%,422,758,1180
"District Judge, 133rd Judicial District",0497,915,281,1197,2148,55.73%,53,1106,1159
"District Judge, 133rd Judicial District",0498,1069,423,1492,2527,59.04%,506,910,1416
"District Judge, 133rd Judicial District",0499,1433,397,1830,2336,78.34%,1241,502,1743
"District Judge, 133rd Judicial District",0500,1869,651,2520,3698,68.14%,1542,870,2412
"District Judge, 133rd Judicial District",0501,1146,406,1552,2016,76.98%,614,835,1449
"District Judge, 133rd Judicial District",0502,1355,293,1559,2595,63.93%,1246,331,1577
"District Judge, 133rd Judicial District",0503,1397,306,1703,2236,76.16%,1241,373,1614
"District Judge, 133rd Judicial District",0504,1270,482,1752,2318,75.58%,1070,587,1657
"District Judge, 133rd Judicial District",0505,1750,735,2485,4076,60.97%,1062,1251,2313
"District Judge, 133rd Judicial District",0506,1513,696,2209,3544,62.33%,332,1803,2135
"District Judge, 133rd Judicial District",0507,599,319,918,2562,35.83%,207,610,817
"District Judge, 133rd Judicial District",0508,1519,828,2347,4767,49.23%,657,1513,2170
"District Judge, 133rd Judicial District",0509,2504,669,3173,5153,61.58%,1952,1084,3036
"District Judge, 133rd Judicial District",0510,1701,666,2367,3822,61.93%,972,1302,2274
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0511,2933,574,3507,4620,75.91%,2099,1282,3381
"District Judge, 133rd Judicial District",0512,1668,871,2539,4559,55.69%,953,1469,2422
"District Judge, 133rd Judicial District",0513,1754,413,2187,3003,72.16%,1505,563,2068
"District Judge, 133rd Judicial District",0514,2288,613,2899,4378,66.22%,1942,830,2772
"District Judge, 133rd Judicial District",0515,1836,468,2304,3182,72.41%,1777,428,2205
"District Judge, 133rd Judicial District",0516,1316,363,1679,2799,59.99%,805,803,1608
"District Judge, 133rd Judicial District",0517,1610,509,2119,3744,56.60%,892,1127,2019
"District Judge, 133rd Judicial District",0518,1886,676,2562,4049,63.27%,1456,980,2436
"District Judge, 133rd Judicial District",0519,1421,518,1939,3098,62.59%,1300,557,1857
"District Judge, 133rd Judicial District",0520,1788,670,2456,5202,47.21%,382,2005,2387
"District Judge, 133rd Judicial District",0521,1350,578,1928,3070,62.80%,888,966,1854
"District Judge, 133rd Judicial District",0522,1508,464,1972,2815,70.05%,1413,496,1909
"District Judge, 133rd Judicial District",0523,1978,537,2515,4027,62.45%,1507,871,2378
"District Judge, 133rd Judicial District",0524,1392,637,2029,3598,56.39%,536,1402,1938
"District Judge, 133rd Judicial District",0525,1440,574,2014,3260,61.78%,417,1495,1912
"District Judge, 133rd Judicial District",0526,235,157,392,820,47.80%,87,274,361
"District Judge, 133rd Judicial District",0527,156,38,194,580,33.45%,71,110,181
"District Judge, 133rd Judicial District",0528,17,8,25,78,32.05%,2,21,23
"District Judge, 133rd Judicial District",0529,2107,434,2541,3842,66.14%,2072,360,2432
"District Judge, 133rd Judicial District",0530,375,212,587,1236,47.49%,113,424,537
"District Judge, 133rd Judicial District",0531,1234,166,1400,2250,62.22%,1010,315,1325
"District Judge, 133rd Judicial District",0532,478,140,618,1058,58.41%,406,200,606
"District Judge, 133rd Judicial District",0533,352,169,521,1164,44.76%,252,237,489
"District Judge, 133rd Judicial District",0534,1895,577,2472,3918,63.09%,1689,663,2352
"District Judge, 133rd Judicial District",0535,132,62,194,413,46.97%,60,118,178
"District Judge, 133rd Judicial District",0536,2104,1053,3157,5637,56.00%,1015,1954,2969
"District Judge, 133rd Judicial District",0537,1958,464,2422,3174,76.31%,1675,643,2318
"District Judge, 133rd Judicial District",0538,371,203,574,1332,43.09%,11,550,561
"District Judge, 133rd Judicial District",0539,811,234,1045,1535,68.08%,558,432,990
"District Judge, 133rd Judicial District",0540,997,349,1346,1759,76.52%,440,804,1244
"District Judge, 133rd Judicial District",0541,2157,761,2918,5001,58.35%,476,2305,2781
"District Judge, 133rd Judicial District",0542,1156,406,1562,2654,58.85%,103,1398,1501
"District Judge, 133rd Judicial District",0543,553,321,874,1658,52.71%,202,624,826
"District Judge, 133rd Judicial District",0544,84,54,138,313,44.09%,18,116,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0545,2015,468,2483,3949,62.88%,1078,1269,2347
"District Judge, 133rd Judicial District",0546,1524,278,1802,2471,72.93%,1488,264,1752
"District Judge, 133rd Judicial District",0547,1413,270,1683,2534,66.42%,1091,521,1612
"District Judge, 133rd Judicial District",0548,882,395,1277,2339,54.60%,559,676,1235
"District Judge, 133rd Judicial District",0549,1105,447,1552,2786,55.71%,193,1313,1506
"District Judge, 133rd Judicial District",0550,1171,553,1724,3245,53.13%,714,952,1666
"District Judge, 133rd Judicial District",0551,2586,793,3379,4428,76.31%,2496,734,3230
"District Judge, 133rd Judicial District",0552,2090,784,2874,3762,76.40%,2256,507,2763
"District Judge, 133rd Judicial District",0553,962,317,1279,2193,58.32%,476,757,1233
"District Judge, 133rd Judicial District",0554,597,271,868,1774,48.93%,173,658,831
"District Judge, 133rd Judicial District",0555,639,390,1029,2286,45.01%,172,811,983
"District Judge, 133rd Judicial District",0556,759,435,1194,2491,47.93%,232,906,1138
"District Judge, 133rd Judicial District",0557,925,460,1385,2955,46.87%,386,894,1280
"District Judge, 133rd Judicial District",0558,1812,721,2533,4718,53.69%,737,1692,2429
"District Judge, 133rd Judicial District",0559,1901,701,2602,4984,52.21%,584,1901,2485
"District Judge, 133rd Judicial District",0560,290,247,537,1141,47.06%,98,406,504
"District Judge, 133rd Judicial District",0561,1023,624,1647,3138,52.49%,942,617,1559
"District Judge, 133rd Judicial District",0562,222,116,338,691,48.91%,43,266,309
"District Judge, 133rd Judicial District",0563,2069,337,2406,3468,69.38%,1792,513,2305
"District Judge, 133rd Judicial District",0564,1551,526,2077,3240,64.10%,530,1426,1956
"District Judge, 133rd Judicial District",0565,336,148,484,1414,34.23%,81,379,460
"District Judge, 133rd Judicial District",0566,1183,441,1624,3029,53.62%,409,1142,1551
"District Judge, 133rd Judicial District",0567,965,390,1355,2851,47.53%,327,930,1257
"District Judge, 133rd Judicial District",0568,1833,697,2530,3638,69.54%,1562,797,2359
"District Judge, 133rd Judicial District",0569,2027,747,2774,4125,67.25%,1278,1317,2595
"District Judge, 133rd Judicial District",0570,766,278,1044,1598,65.33%,368,599,967
"District Judge, 133rd Judicial District",0571,521,314,835,1950,42.82%,251,541,792
"District Judge, 133rd Judicial District",0572,1522,444,1966,3308,59.43%,819,1052,1871
"District Judge, 133rd Judicial District",0573,489,215,704,1625,43.32%,16,676,692
"District Judge, 133rd Judicial District",0574,112,74,186,391,47.57%,21,155,176
"District Judge, 133rd Judicial District",0575,1905,535,2440,3557,68.60%,1318,1010,2328
"District Judge, 133rd Judicial District",0576,1107,375,1482,2830,52.37%,86,1351,1437
"District Judge, 133rd Judicial District",0577,885,205,1090,1586,68.73%,611,413,1024
"District Judge, 133rd Judicial District",0578,1026,405,1431,1862,76.85%,822,497,1319
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0579,287,181,468,1139,41.09%,81,360,441
"District Judge, 133rd Judicial District",0580,366,108,474,985,48.12%,20,447,467
"District Judge, 133rd Judicial District",0581,456,137,593,1033,57.41%,24,549,573
"District Judge, 133rd Judicial District",0582,543,232,775,1607,48.23%,51,695,746
"District Judge, 133rd Judicial District",0583,433,155,588,1286,45.72%,19,554,573
"District Judge, 133rd Judicial District",0584,367,120,487,1062,45.86%,38,427,465
"District Judge, 133rd Judicial District",0585,829,280,1109,2346,47.27%,54,1017,1071
"District Judge, 133rd Judicial District",0586,1790,790,2580,4521,57.07%,1438,1030,2468
"District Judge, 133rd Judicial District",0587,1204,431,1635,2870,56.97%,519,1049,1568
"District Judge, 133rd Judicial District",0588,1940,606,2546,3780,67.35%,1643,808,2451
"District Judge, 133rd Judicial District",0589,1539,545,2084,3780,55.13%,968,1029,1997
"District Judge, 133rd Judicial District",0590,1230,400,1630,2176,74.91%,1190,362,1552
"District Judge, 133rd Judicial District",0591,651,462,1113,2274,48.94%,276,771,1047
"District Judge, 133rd Judicial District",0592,449,272,721,1446,49.86%,147,537,684
"District Judge, 133rd Judicial District",0593,1551,755,2316,4179,55.42%,892,1294,2186
"District Judge, 133rd Judicial District",0594,1243,316,1559,2578,60.47%,406,1109,1515
"District Judge, 133rd Judicial District",0595,600,299,899,1833,49.05%,138,730,868
"District Judge, 133rd Judicial District",0596,1377,501,1878,3574,52.55%,849,927,1776
"District Judge, 133rd Judicial District",0597,1204,609,1813,3587,50.54%,607,1109,1716
"District Judge, 133rd Judicial District",0598,2389,731,3120,5253,59.39%,1052,1929,2981
"District Judge, 133rd Judicial District",0599,1378,493,1871,3005,62.26%,631,1177,1808
"District Judge, 133rd Judicial District",0600,1602,776,2378,4204,56.57%,777,1478,2255
"District Judge, 133rd Judicial District",0601,2220,670,2890,4151,69.62%,2039,740,2779
"District Judge, 133rd Judicial District",0602,754,234,988,1441,68.56%,647,299,946
"District Judge, 133rd Judicial District",0603,2335,725,3060,4666,65.58%,1715,1218,2933
"District Judge, 133rd Judicial District",0604,1816,375,2191,3189,68.70%,1797,293,2090
"District Judge, 133rd Judicial District",0605,1711,599,2310,4217,54.78%,521,1670,2191
"District Judge, 133rd Judicial District",0606,319,111,430,970,44.33%,9,410,419
"District Judge, 133rd Judicial District",0607,163,51,214,712,30.06%,25,180,205
"District Judge, 133rd Judicial District",0608,156,77,233,570,40.88%,75,146,221
"District Judge, 133rd Judicial District",0609,2037,729,2766,4305,64.25%,1554,1085,2639
"District Judge, 133rd Judicial District",0610,665,343,1008,2086,48.32%,402,540,942
"District Judge, 133rd Judicial District",0611,980,229,1209,2527,47.84%,45,1134,1179
"District Judge, 133rd Judicial District",0612,1927,431,2358,3388,69.60%,1733,515,2248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0613,937,339,1276,2368,53.89%,214,1006,1220
"District Judge, 133rd Judicial District",0614,1949,645,2594,4566,56.81%,757,1712,2469
"District Judge, 133rd Judicial District",0615,1075,301,1376,2086,65.96%,698,618,1316
"District Judge, 133rd Judicial District",0616,1809,611,2420,3516,68.83%,1555,736,2291
"District Judge, 133rd Judicial District",0617,1704,650,2354,4179,56.33%,771,1486,2257
"District Judge, 133rd Judicial District",0618,1698,545,2243,3801,59.01%,907,1256,2163
"District Judge, 133rd Judicial District",0619,2792,663,3455,4916,70.28%,2468,876,3344
"District Judge, 133rd Judicial District",0620,1747,333,2080,3318,62.69%,1033,947,1980
"District Judge, 133rd Judicial District",0621,536,200,736,1272,57.86%,302,390,692
"District Judge, 133rd Judicial District",0622,2129,591,2720,4562,59.62%,1426,1165,2591
"District Judge, 133rd Judicial District",0623,1960,461,2421,3919,61.78%,1468,845,2313
"District Judge, 133rd Judicial District",0624,297,59,356,456,78.07%,265,77,342
"District Judge, 133rd Judicial District",0625,924,372,1296,1864,69.53%,670,558,1228
"District Judge, 133rd Judicial District",0626,2280,784,3064,4816,63.62%,1528,1370,2898
"District Judge, 133rd Judicial District",0627,935,649,1584,3235,48.96%,401,1104,1505
"District Judge, 133rd Judicial District",0628,716,545,1261,2420,52.11%,429,752,1181
"District Judge, 133rd Judicial District",0629,162,96,258,750,34.40%,34,215,249
"District Judge, 133rd Judicial District",0630,2662,541,3203,4738,67.60%,325,2788,3113
"District Judge, 133rd Judicial District",0631,1841,398,2239,3263,68.62%,1440,702,2142
"District Judge, 133rd Judicial District",0632,4,1,5,241,2.07%,0,5,5
