Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0552,2090,784,2874,3762,76.40%,2282,505,2787
"Constable, Precinct 4",0563,2069,337,2406,3468,69.38%,1800,519,2319
"Constable, Precinct 4",0575,1905,535,2440,3557,68.60%,1339,1012,2351
"Constable, Precinct 4",0586,1790,790,2580,4521,57.07%,1421,1054,2475
"Constable, Precinct 4",0587,1204,431,1535,2870,56.97%,538,1047,1585
"Constable, Precinct 4",0588,1940,606,2546,3780,67.35%,1660,819,2479
"Constable, Precinct 4",0590,1230,400,1630,2176,74.91%,1211,351,1562
"Constable, Precinct 4",0592,449,272,721,1446,49.86%,152,538,690
"Constable, Precinct 4",0596,1377,501,1878,3574,52.55%,829,958,1787
"Constable, Precinct 4",0597,1204,609,1813,3587,50.54%,618,1119,1737
"Constable, Precinct 4",0599,1378,493,1871,3005,62.26%,632,1189,1821
"Constable, Precinct 4",0601,2220,670,2890,4151,69.62%,2063,742,2805
"Constable, Precinct 4",0602,754,234,988,1441,68.56%,661,300,961
"Constable, Precinct 4",0609,2037,729,2766,4305,64.25%,1542,1108,2650
"Constable, Precinct 4",0612,1927,431,2358,3388,69.60%,1745,517,2262
"Constable, Precinct 4",0613,937,339,1276,2368,53.89%,223,1005,1228
"Constable, Precinct 4",0614,1949,645,2594,4566,56.81%,744,1756,2500
"Constable, Precinct 4",0615,1075,301,1376,2086,65.96%,696,629,1325
"Constable, Precinct 4",0623,1960,461,2421,3919,61.78%,1496,847,2343
"Constable, Precinct 4",0629,162,96,258,750,34.40%,29,221,250
"Constable, Precinct 4",0631,1841,398,2239,3263,68.62%,1458,701,2159
"Constable, Precinct 4",0633,2286,601,2887,3912,73.80%,1957,845,2802
"Constable, Precinct 4",0634,1435,499,1934,3259,59.34%,1069,800,1869
"Constable, Precinct 4",0635,1645,520,2165,3512,61.65%,1549,528,2077
"Constable, Precinct 4",0640,1619,615,2234,3927,56.89%,1247,911,2158
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0641,1637,683,2320,3840,60.42%,1324,908,2232
"Constable, Precinct 4",0648,1859,500,2359,3487,67.65%,1633,668,2301
"Constable, Precinct 4",0657,683,276,959,1487,64.49%,325,602,927
"Constable, Precinct 4",0658,1299,494,1793,2901,61.81%,1065,674,1739
"Constable, Precinct 4",0659,2806,733,3539,5161,68.57%,2385,1031,3416
"Constable, Precinct 4",0660,1575,345,1920,3087,62.20%,193,1677,1870
"Constable, Precinct 4",0661,1946,774,2720,4363,62.34%,1293,1316,2609
"Constable, Precinct 4",0666,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0668,1552,719,2271,3669,61.90%,1336,860,2196
"Constable, Precinct 4",0669,1889,702,2591,3585,72.27%,1745,768,2513
"Constable, Precinct 4",0670,1996,416,2412,3335,72.32%,1848,479,2327
"Constable, Precinct 4",0671,1398,588,1986,3198,62.10%,1028,875,1903
"Constable, Precinct 4",0672,1724,489,2213,3433,64.46%,1492,660,2152
"Constable, Precinct 4",0574,2354,510,2954,4228,70.10%,2110,763,2873
"Constable, Precinct 4",0678,1154,294,1458,2660,54.81%,153,1256,1409
"Constable, Precinct 4",0684,1680,640,2320,3559,65.19%,1403,831,2234
"Constable, Precinct 4",0687,1510,400,1910,2713,70.40%,1222,605,1827
"Constable, Precinct 4",0688,2333,594,2927,3922,74.63%,2277,577,2854
"Constable, Precinct 4",0690,1967,553,2520,3614,69.73%,1891,539,2430
"Constable, Precinct 4",0691,2131,551,2682,3690,72.68%,2041,570,2611
"Constable, Precinct 4",0694,1005,319,1324,2478,53.43%,530,756,1286
"Constable, Precinct 4",0698,1275,520,1795,3339,53.76%,208,1533,1741
"Constable, Precinct 4",0705,331,206,537,1513,35.49%,57,466,523
"Constable, Precinct 4",0713,770,365,1135,2006,56.58%,521,577,1098
"Constable, Precinct 4",0717,974,232,1206,2082,57.93%,161,1004,1165
"Constable, Precinct 4",0726,1271,321,1592,2207,72.13%,1354,196,1550
"Constable, Precinct 4",0729,235,49,284,471,60.30%,155,119,274
"Constable, Precinct 4",0734,2307,556,2863,4294,66.67%,1858,908,2766
"Constable, Precinct 4",0735,157,61,218,251,86.85%,118,97,215
"Constable, Precinct 4",0737,21,6,27,56,48.21%,21,6,27
"Constable, Precinct 4",0738,435,214,649,1497,43.35%,104,528,632
"Constable, Precinct 4",0747,1746,693,2439,4096,59.55%,1042,1311,2353
"Constable, Precinct 4",0753,258,53,311,512,60.74%,117,181,298
"Constable, Precinct 4",0756,687,309,996,1723,57.81%,320,641,961
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0757,1867,601,2468,4792,51.50%,406,1977,2383
"Constable, Precinct 4",0758,2104,595,2699,3803,70.97%,2024,575,2599
"Constable, Precinct 4",0759,1389,375,1764,2779,63.48%,989,705,1694
"Constable, Precinct 4",0760,1219,268,1487,2162,68.78%,1191,250,1441
"Constable, Precinct 4",0764,2472,677,3149,4827,65.24%,1864,1172,3036
"Constable, Precinct 4",0767,31,15,46,92,50.00%,19,26,45
"Constable, Precinct 4",0768,1479,387,1866,2643,70.60%,1444,374,1818
"Constable, Precinct 4",0776,1432,538,1970,3276,60.13%,1089,809,1898
"Constable, Precinct 4",0783,197,90,287,520,55.19%,20,258,278
"Constable, Precinct 4",0788,2,0,2,13,15.38%,2,0,2
"Constable, Precinct 4",0794,626,411,1037,3208,32.33%,101,904,1005
"Constable, Precinct 4",0805,1597,454,2051,2874,71.36%,1567,418,1985
"Constable, Precinct 4",0806,1001,324,1325,1889,70.14%,802,490,1292
"Constable, Precinct 4",0817,2787,550,3337,4700,71.00%,2329,927,3256
"Constable, Precinct 4",0823,1339,410,1749,3017,57.97%,935,752,1687
"Constable, Precinct 4",0825,9,7,16,21,76.19%,4,11,15
"Constable, Precinct 4",0828,1174,281,1455,1965,74.05%,1105,300,1405
"Constable, Precinct 4",0834,142,61,203,388,52.32%,20,180,200
"Constable, Precinct 4",0840,829,228,1057,1780,59.38%,337,676,1013
"Constable, Precinct 4",0841,1473,475,1948,3431,56.78%,460,1437,1897
"Constable, Precinct 4",0851,1885,441,2326,3597,64.66%,1547,708,2255
"Constable, Precinct 4",0853,1637,487,2124,2986,71.13%,1575,500,2075
"Constable, Precinct 4",0873,296,111,407,778,52.31%,97,300,397
"Constable, Precinct 4",0874,1681,670,2351,3294,71.37%,1691,591,2282
"Constable, Precinct 4",0876,1945,577,2522,3485,72.37%,1752,697,2449
"Constable, Precinct 4",0878,585,110,795,1039,76.52%,632,137,769
"Constable, Precinct 4",0880,1354,471,1825,2467,73.98%,1358,421,1779
"Constable, Precinct 4",0883,2252,928,3180,5613,56.65%,543,2523,3066
"Constable, Precinct 4",0885,1570,323,1893,2811,67.34%,1053,787,1840
"Constable, Precinct 4",0888,817,289,1106,1867,59.24%,348,717,1065
"Constable, Precinct 4",0894,801,305,1106,2087,52.99%,159,911,1070
"Constable, Precinct 4",0897,812,365,1177,1766,66.65%,608,519,1127
"Constable, Precinct 4",0901,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0903,1314,354,1668,2558,65.21%,1203,412,1615
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Herman,DEM Jeff McGowen,Totals
"Constable, Precinct 4",0904,2,0,2,8,25.00%,1,1,2
"Constable, Precinct 4",0911,237,63,300,576,52.08%,195,99,294
"Constable, Precinct 4",0912,712,167,879,1341,65.55%,515,332,847
"Constable, Precinct 4",091,5,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0916,1472,308,1780,2205,80.73%,1337,376,1713
"Constable, Precinct 4",0926,550,149,699,967,72.29%,468,200,668
"Constable, Precinct 4",0955,3528,572,4100,5108,80.27%,2868,1074,3942
"Constable, Precinct 4",0957,282,39,321,585,54.87%,40,269,309
"Constable, Precinct 4",0958,430,231,661,1202,54.99%,119,512,631
"Constable, Precinct 4",0959,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0960,829,235,1064,1471,72.33%,229,808,1037
"Constable, Precinct 4",0967,82,24,106,186,56.99%,39,62,101
"Constable, Precinct 4",0968,455,127,582,906,64.24%,119,444,563
"Constable, Precinct 4",0979,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 4",0980,686,333,1019,1412,72.17%,705,274,979
"Constable, Precinct 4",0981,12,2,14,31,45.16%,1,13,14
"Constable, Precinct 4",0982,1898,501,2399,2916,82.27%,1799,525,2324
"Constable, Precinct 4",0983,65,17,82,198,41.41,%,44,36,80
"Constable, Precinct 4",0990,5,6,11,66,16.67%,4,7,11
"Constable, Precinct 4",0997,521,283,804,1909,42.12%,141,641,782
"Constable, Precinct 4",0998,24,12,36,68,52.94%,22,12,34
"Constable, Precinct 4",1007,694,306,1000,1775,56.34%,222,745,967
"Constable, Precinct 4",1012,543,362,905,1633,55.42%,216,644,860
"Constable, Precinct 4",Totals:,268025,82810,350835,541890,206575,132374,338949
