Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0071,2703,947,3650,5016,72.77%,1806,1602,3408
"Judge, County Criminal Court No. 16",0072,736,418,1154,2029,56.88%,367,716,1083
"Judge, County Criminal Court No. 16",0073,813,282,1095,1621,67.55%,573,442,1015
"Judge, County Criminal Court No. 16",0074,2503,268,2771,3578,77.45%,2045,596,2641
"Judge, County Criminal Court No. 16",0075,1000,286,1286,1684,76.37%,571,623,1194
"Judge, County Criminal Court No. 16",0076,1015,427,1442,2441,59.07%,721,646,1367
"Judge, County Criminal Court No. 16",0077,2,5,7,17,41.18%,2,5,7
"Judge, County Criminal Court No. 16",0078,618,254,872,1608,54.23%,272,532,804
"Judge, County Criminal Court No. 16",0079,831,602,1433,2963,48.36%,341,988,1329
"Judge, County Criminal Court No. 16",0080,1174,466,1640,2840,57.75%,381,1169,1550
"Judge, County Criminal Court No. 16",0081,776,273,1049,1964,53.41%,322,669,991
"Judge, County Criminal Court No. 16",0082,1585,756,2341,3539,66.15%,1658,580,2238
"Judge, County Criminal Court No. 16",0083,1829,540,2369,4174,56.76%,908,1369,2277
"Judge, County Criminal Court No. 16",0084,573,257,830,1421,58.41%,572,227,799
"Judge, County Criminal Court No. 16",0085,587,329,916,2169,42.23%,48,835,883
"Judge, County Criminal Court No. 16",0086,2032,493,2525,3449,73.21%,1194,1173,2367
"Judge, County Criminal Court No. 16",0087,1451,719,2170,2839,76.44%,1329,702,2031
"Judge, County Criminal Court No. 16",0088,338,141,479,784,61.10%,310,142,452
"Judge, County Criminal Court No. 16",0089,398,424,822,1094,75.14%,440,314,754
"Judge, County Criminal Court No. 16",0090,1856,890,2746,3883,70.72%,2000,618,2618
"Judge, County Criminal Court No. 16",0091,673,339,1012,1724,58.70%,562,383,945
"Judge, County Criminal Court No. 16",0092,1263,474,1737,2260,76.86%,1118,518,1636
"Judge, County Criminal Court No. 16",0093,1048,619,1667,3536,47.14%,522,1059,1581
"Judge, County Criminal Court No. 16",0094,202,53,255,580,45.69%,63,189,252
"Judge, County Criminal Court No. 16",0095,2022,534,2556,3394,75.31%,1595,830,2425
"Judge, County Criminal Court No. 16",0096,828,306,1134,2060,55.05%,180,904,1084
"Judge, County Criminal Court No. 16",0097,2511,467,2978,4414,67.47%,2179,662,2841
"Judge, County Criminal Court No. 16",0098,1385,594,1979,3161,62.61%,1599,304,1903
