Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0307,1456,801,2257,3270,69.02%,1465,653,2118
"Judge, County Criminal Court No. 16",0308,526,225,751,1457,51,54%,200,500,700
"Judge, County Criminal Court No. 16",0309,2160,591,2751,3495,78.71%,2042,558,2600
"Judge, County Criminal Court No. 16",0310,709,326,1035,1464,70.70%,634,335,969
"Judge, County Criminal Court No. 16",0311,930,643,1573,3222,48.82%,714,740,1454
"Judge, County Criminal Court No. 16",0312,1705,552,2257,3724,60.61%,1139,992,2131
"Judge, County Criminal Court No. 16",0313,23,8,31,61,50.82%,16,8,24
"Judge, County Criminal Court No. 16",0314,2997,817,3814,5606,68.03%,2152,1525,3677
"Judge, County Criminal Court No. 16",0315,801,353,1154,1636,70.54%,644,431,1075
"Judge, County Criminal Court No. 16",0316,739,340,1079,1513,71.32%,550,448,998
"Judge, County Criminal Court No. 16",0317,593,252,845,1661,50.87%,214,583,797
"Judge, County Criminal Court No. 16",0318,1726,529,2255,3776,59.72%,154,2030,2184
"Judge, County Criminal Court No. 16",0319,994,271,1265,2199,57.53%,83,1146,1229
"Judge, County Criminal Court No. 16",0320,554,238,792,1570,50.45%,303,443,746
"Judge, County Criminal Court No. 16",0321,857,363,1230,2483,49.54%,380,766,1146
"Judge, County Criminal Court No. 16",0322,426,124,550,1210,45.45%,160,374,534
"Judge, County Criminal Court No. 16",0323,700,296,996,1793,55.55%,380,565,945
"Judge, County Criminal Court No. 16",0324,1444,560,2004,2607,76.87%,1219,659,1878
"Judge, County Criminal Court No. 16",0325,802,257,1059,2176,48.67%,205,795,1000
"Judge, County Criminal Court No. 16",0326,271,129,400,736,54.35%,155,214,369
"Judge, County Criminal Court No. 16",0327,738,141,879,1758,50.00%,25,822,847
"Judge, County Criminal Court No. 16",0328,425,286,711,1631,43.59%,234,438,672
"Judge, County Criminal Court No. 16",0329,589,260,849,1621,52.38%,268,534,802
"Judge, County Criminal Court No. 16",0330,863,326,1189,2146,55.41%,536,591,1127
"Judge, County Criminal Court No. 16",0331,884,234,1118,1612,69.35%,704,351,1055
"Judge, County Criminal Court No. 16",0332,1355,503,1858,2926,63.50%,232,1552,1784
"Judge, County Criminal Court No. 16",0333,1385,942,2327,3296,70.60%,1598,593,2191
"Judge, County Criminal Court No. 16",0334,246,104,350,786,44.53%,62,272,334
"Judge, County Criminal Court No. 16",0335,489,293,782,1679,46.58%,205,522,727
"Judge, County Criminal Court No. 16",0336,2489,689,3178,4771,66.61%,340,2748,3088
"Judge, County Criminal Court No. 16",0337,367,155,522,1108,47.11%,82,408,490
"Judge, County Criminal Court No. 16",0338,1626,632,2258,5001,45.15%,612,1537,2149
"Judge, County Criminal Court No. 16",0339,704,303,1007,1909,52.75%,229,714,943
"Judge, County Criminal Court No. 16",0340,2040,654,2694,4012,67.15%,1879,678,2557
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0341,380,278,658,1372,47.96%,187,439,626
"Judge, County Criminal Court No. 16",0342,311,225,536,1092,49.08%,117,387,504
"Judge, County Criminal Court No. 16",0343,722,370,1092,2099,52.02%,263,762,1025
"Judge, County Criminal Court No. 16",0344,381,207,588,1225,48.00%,32,526,558
"Judge, County Criminal Court No. 16",0345,575,349,924,1945,47.51%,199,666,865
"Judge, County Criminal Court No. 16",0346,1,0,1,1,100.00%,0,0,0
"Judge, County Criminal Court No. 16",0347,1461,618,2079,3614,57.53%,1209,785,1994
"Judge, County Criminal Court No. 16",0348,830,242,1072,1796,59.69%,721,306,1027
"Judge, County Criminal Court No. 16",0349,458,369,827,1372,60.28%,485,311,796
"Judge, County Criminal Court No. 16",0350,1674,582,2256,3269,69.01%,798,1263,2061
"Judge, County Criminal Court No. 16",0351,2855,570,3425,4799,71.37%,2551,726,3277
"Judge, County Criminal Court No. 16",0352,2023,538,2561,4278,59.86%,1772,682,2454
"Judge, County Criminal Court No. 16",0353,1715,659,2374,4156,57.12%,443,1850,2293
"Judge, County Criminal Court No. 16",0354,1569,429,1998,3520,56.76%,487,1416,1903
"Judge, County Criminal Court No. 16",0355,821,239,1060,1714,61.84%,109,918,1027
"Judge, County Criminal Court No. 16",0356,1542,582,2124,3126,67.95%,1149,851,2000
"Judge, County Criminal Court No. 16",0357,1882,557,2439,3685,66.19%,1726,589,2315
"Judge, County Criminal Court No. 16",0358,775,376,1151,2634,43.70%,137,970,1107
"Judge, County Criminal Court No. 16",0359,803,496,1299,3320,39.13%,141,1113,1254
"Judge, County Criminal Court No. 16",0360,1858,597,2455,3309,74.19%,1128,1135,2263
"Judge, County Criminal Court No. 16",0361,323,688,1011,1808,55.92%,159,745,904
"Judge, County Criminal Court No. 16",0362,2865,553,3418,5161,66.23%,2353,919,3272
"Judge, County Criminal Court No. 16",0363,1826,635,2461,4160,59.16%,991,1391,2382
"Judge, County Criminal Court No. 16",0364,1190,528,1718,2827,60.77%,791,823,1614
"Judge, County Criminal Court No. 16",0365,827,174,1001,1348,74.26%,116,858,974
"Judge, County Criminal Court No. 16",0366,988,524,1512,2887,52.37%,359,1088,1447
"Judge, County Criminal Court No. 16",0367,453,204,657,1256,52.31%,161,462,623
"Judge, County Criminal Court No. 16",0368,433,122,555,1024,54.20%,150,384,534
"Judge, County Criminal Court No. 16",0369,132,29,161,678,23.75%,61,87,148
"Judge, County Criminal Court No. 16",0370,2525,627,3152,4531,69.57%,2248,784,3032
"Judge, County Criminal Court No. 16",0371,210,78,288,537,53.63%,14,269,283
"Judge, County Criminal Court No. 16",0372,509,180,689,1274,54.08%,82,577,659
"Judge, County Criminal Court No. 16",0373,61,13,74,163,45.40%,1,68,69
"Judge, County Criminal Court No. 16",0374,176,165,341,720,47.36%,96,229,325
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0375,745,510,1255,2836,44.25%,459,719,1178
"Judge, County Criminal Court No. 16",0376,753,344,1097,2060,53.25%,417,617,1034
"Judge, County Criminal Court No. 16",0377,1381,643,2024,3137,64.52%,1496,426,1922
"Judge, County Criminal Court No. 16",0378,621,447,1068,1856,57.54%,655,364,1019
"Judge, County Criminal Court No. 16",0379,857,388,1245,2149,57.93%,124,1088,1212
"Judge, County Criminal Court No. 16",0380,2732,551,3283,4380,74.95%,1721,1441,3162
"Judge, County Criminal Court No. 16",0381,1185,432,1617,3141,51.48%,630,910,1540
"Judge, County Criminal Court No. 16",0382,429,206,635,1035,61.35%,392,214,606
"Judge, County Criminal Court No. 16",0383,722,458,1180,2373,49.73%,371,745,1116
"Judge, County Criminal Court No. 16",0384,1152,444,1596,2725,58.57%,348,1172,1520
"Judge, County Criminal Court No. 16",0385,1141,561,1702,2207,77.12%,1256,351,1607
"Judge, County Criminal Court No. 16",0386,1658,419,2077,3105,66.89%,1439,571,2010
"Judge, County Criminal Court No. 16",0387,1702,780,2482,4340,57.19%,1627,744,2371
"Judge, County Criminal Court No. 16",0388,2899,711,3510,5413,66.69%,1726,1750,3476
"Judge, County Criminal Court No. 16",0389,397,293,690,1359,50.77%,99,546,645
"Judge, County Criminal Court No. 16",0390,698,271,969,1482,65.38%,140,788,928
"Judge, County Criminal Court No. 16",0391,986,336,1322,1978,66.84%,774,484,1258
"Judge, County Criminal Court No. 16",0392,652,145,797,1426,55.89%,16,755,771
"Judge, County Criminal Court No. 16",0393,427,257,684,1274,53.69%,319,325,644
"Judge, County Criminal Court No. 16",0394,236,126,362,914,39.61%,125,218,343
"Judge, County Criminal Court No. 16",0395,1007,371,1378,1875,73.49%,902,395,1297
"Judge, County Criminal Court No. 16",0396,1035,204,1239,2072,59.80%,34,1166,1200
"Judge, County Criminal Court No. 16",0397,204,117,321,796,40.33%,120,181,301
"Judge, County Criminal Court No. 16",0398,1761,654,2415,4200,57.50%,1084,1224,2308
"Judge, County Criminal Court No. 16",0399,1291,546,1837,3340,55.00%,690,1081,1771
"Judge, County Criminal Court No. 16",0400,1457,372,1839,2661,69.11%,1181,583,1764
"Judge, County Criminal Court No. 16",0401,703,257,960,1971,48.71%,54,862,916
"Judge, County Criminal Court No. 16",0402,897,262,1159,1911,60.65%,82,1040,1122
"Judge, County Criminal Court No. 16",0403,959,387,1346,1719,78.30%,677,559,1236
"Judge, County Criminal Court No. 16",0404,1033,445,1478,2717,54.40%,715,709,1424
"Judge, County Criminal Court No. 16",0405,1910,457,2367,3067,77.18%,1769,530,2299
"Judge, County Criminal Court No. 16",0406,275,65,340,649,52.39%,10,317,327
"Judge, County Criminal Court No. 16",0407,1703,860,2563,3969,64.58%,1506,909,2415
"Judge, County Criminal Court No. 16",0408,520,313,833,1740,47.87%,277,503,780
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0409,501,280,781,1608,48.57%,244,492,736
"Judge, County Criminal Court No. 16",0410,381,96,477,934,51.07%,89,367,456
"Judge, County Criminal Court No. 16",0411,699,418,1117,2426,46.04%,306,750,1056
"Judge, County Criminal Court No. 16",0412,156,80,236,478,49.37%,9,221,230
"Judge, County Criminal Court No. 16",0413,1546,456,2002,3081,64.98%,733,1168,1901
"Judge, County Criminal Court No. 16",0414,1573,514,2087,3586,58.20%,1493,507,2000
"Judge, County Criminal Court No. 16",0415,1076,573,1649,2284,72.20%,1081,476,1557
"Judge, County Criminal Court No. 16",0416,1443,845,2288,4009,57.07%,1113,1051,2164
"Judge, County Criminal Court No. 16",0417,1104,397,1501,2589,57.98%,653,779,1432
"Judge, County Criminal Court No. 16",0418,1336,663,1999,3940,50.74%,689,1191,1880
"Judge, County Criminal Court No. 16",0419,1166,477,1643,2702,60.81%,936,634,1570
"Judge, County Criminal Court No. 16",0420,2687,731,3418,4946,69.11%,2739,550,3289
"Judge, County Criminal Court No. 16",0421,1240,273,1513,2023,74.79%,702,750,1452
"Judge, County Criminal Court No. 16",0422,1357,401,1758,3348,52.81%,66,1651,1717
"Judge, County Criminal Court No. 16",0423,31,e,288,604,1423,42.45%,143,435,578
"Judge, County Criminal Court No. 16",0424,548,158,706,1079,65.43%,360,309,669
"Judge, County Criminal Court No. 16",0425,257,139,396,878,45.10%,115,259,374
"Judge, County Criminal Court No. 16",0426,485,228,713,1266,56.32%,352,318,670
"Judge, County Criminal Court No. 16",0427,437,155,592,1120,52.86%,202,353,555
"Judge, County Criminal Court No. 16",0428,1588,865,2553,5151,49.56%,659,1755,2414
"Judge, County Criminal Court No. 16",0429,947,649,1596,3311,48.20%,336,1182,1518
"Judge, County Criminal Court No. 16",0430,524,291,815,1794,45.43%,139,620,759
"Judge, County Criminal Court No. 16",0431,1218,604,1822,3860,47.20%,409,1324,1733
"Judge, County Criminal Court No. 16",0432,456,249,705,1568,44.96%,217,437,654
"Judge, County Criminal Court No. 16",0433,163,88,251,561,44.74%,58,179,237
"Judge, County Criminal Court No. 16",0434,831,293,1124,1557,72.19%,616,429,1045
"Judge, County Criminal Court No. 16",0435,1951,567,2518,3363,74.87%,1535,822,2357
"Judge, County Criminal Court No. 16",0436,2008,678,2686,3809,70.52%,1465,1052,2517
"Judge, County Criminal Court No. 16",0437,1148,425,1573,2094,75.12%,1014,472,1486
"Judge, County Criminal Court No. 16",0438,2288,475,2763,3789,72.92%,1843,759,2602
"Judge, County Criminal Court No. 16",0439,1854,749,2603,3701,70.33%,1706,742,2448
"Judge, County Criminal Court No. 16",0440,1498,749,2247,2973,75.58%,1659,451,2110
"Judge, County Criminal Court No. 16",0441,824,408,1232,1695,72.68%,843,309,1152
"Judge, County Criminal Court No. 16",0442,2441,685,3126,4315,72.44%,2488,502,2990
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0443,415,83,498,642,77.57%,348,118,466
"Judge, County Criminal Court No. 16",0444,1620,679,2299,3625,63.42%,1240,910,2150
"Judge, County Criminal Court No. 16",0445,1036,382,1418,2134,66.45%,842,504,1346
"Judge, County Criminal Court No. 16",0446,89,45,134,309,43.37%,46,83,129
"Judge, County Criminal Court No. 16",0447,2411,464,2875,3727,77.14%,1869,864,2733
"Judge, County Criminal Court No. 16",0448,1763,529,2292,3155,72.65%,1279,845,2124
"Judge, County Criminal Court No. 16",0449,73,26,99,225,44.00%,12,86,98
"Judge, County Criminal Court No. 16",0450,1104,394,1498,2890,51.83%,387,1053,1440
"Judge, County Criminal Court No. 16",0451,1719,367,2086,2771,75.28%,1616,386,2002
"Judge, County Criminal Court No. 16",0452,1871,662,2533,3789,66.85%,1680,738,2418
"Judge, County Criminal Court No. 16",0453,661,417,1078,2039,52.87%,303,712,1015
"Judge, County Criminal Court No. 16",0454,1043,288,1331,2509,53.05%,27,1263,1290
"Judge, County Criminal Court No. 16",0455,669,173,842,1713,49.15%,34,782,816
"Judge, County Criminal Court No. 16",0456,1404,553,1957,3793,51.60%,1041,823,1864
"Judge, County Criminal Court No. 16",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0458,914,253,1167,2025,57.63%,96,1030,1126
"Judge, County Criminal Court No. 16",0459,2362,432,2794,3942,70.88%,2091,584,2675
"Judge, County Criminal Court No. 16",0460,1613,472,2085,3280,63.57%,547,1462,2009
"Judge, County Criminal Court No. 16",0461,2242,669,2911,4054,71.81%,1738,978,2716
"Judge, County Criminal Court No. 16",0462,1474,738,2212,3507,63.07%,741,1387,2128
"Judge, County Criminal Court No. 16",0463,1673,564,2237,3773,59.29%,867,1300,2167
"Judge, County Criminal Court No. 16",0464,967,582,1549,2343,66.11%,942,515,1457
"Judge, County Criminal Court No. 16",0465,1628,594,2222,3778,58.81%,1002,1131,2133
"Judge, County Criminal Court No. 16",0466,2274,509,2783,4327,64.32%,1400,1283,2683
"Judge, County Criminal Court No. 16",0467,501,225,726,1320,55.00%,159,536,695
"Judge, County Criminal Court No. 16",0468,1379,747,2126,4040,52.62%,544,1476,2020
"Judge, County Criminal Court No. 16",0469,1867,462,2329,3257,71.51%,1752,471,2223
"Judge, County Criminal Court No. 16",0470,555,232,787,1358,57.95%,564,190,754
"Judge, County Criminal Court No. 16",0471,1057,458,1515,2473,61.26%,1122,336,1458
"Judge, County Criminal Court No. 16",0472,463,339,802,1131,70.91%,337,407,744
"Judge, County Criminal Court No. 16",0473,944,390,1334,1787,74.65%,898,369,1267
"Judge, County Criminal Court No. 16",0474,1417,624,2041,3127,65.27%,1315,636,1951
"Judge, County Criminal Court No. 16",0475,791,261,1052,1936,54.34%,426,569,995
"Judge, County Criminal Court No. 16",0476,1077,405,1482,2458,60.29%,791,623,1414
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0477,2027,640,2667,4010,66.51%,1794,740,2534
"Judge, County Criminal Court No. 16",0478,2271,683,2954,4696,62.90%,1817,994,2811
"Judge, County Criminal Court No. 16",0479,1978,755,2733,3851,70.97%,1980,649,2629
"Judge, County Criminal Court No. 16",0480,1445,538,1983,2978,66.59%,1335,579,1914
"Judge, County Criminal Court No. 16",0481,1756,667,2423,3609,67.14%,1723,582,2305
"Judge, County Criminal Court No. 16",0482,2259,618,2877,4405,65.31%,1915,839,2754
"Judge, County Criminal Court No. 16",0483,2305,538,2843,4495,63.25%,1426,1262,2688
"Judge, County Criminal Court No. 16",0484,2020,700,2720,3981,68.32%,1695,907,2602
"Judge, County Criminal Court No. 16",0485,2118,567,2685,4051,66.28%,1876,698,2574
"Judge, County Criminal Court No. 16",0486,2310,721,3031,4195,72.25%,2255,642,2897
"Judge, County Criminal Court No. 16",0487,1405,527,1932,4142,46.64%,485,1287,1772
"Judge, County Criminal Court No. 16",0488,842,511,1353,2382,56.80%,395,893,1288
"Judge, County Criminal Court No. 16",0489,865,344,1209,1958,61.75%,339,810,1149
"Judge, County Criminal Court No. 16",0490,980,346,1326,2105,62.99%,418,836,1254
"Judge, County Criminal Court No. 16",0491,937,488,1425,2110,67.54%,761,585,1346
"Judge, County Criminal Court No. 16",0492,1217,396,1613,2552,63.21%,796,741,1537
"Judge, County Criminal Court No. 16",0493,1404,555,1959,3338,58.69%,730,1113,1843
"Judge, County Criminal Court No. 16",0494,1079,419,1498,2787,53.75%,214,1228,1442
"Judge, County Criminal Court No. 16",0495,1414,376,1790,2488,71.95%,1179,515,1694
"Judge, County Criminal Court No. 16",0496,687,549,1235,2325,53.16%,450,726,1176
"Judge, County Criminal Court No. 16",0497,915,281,1197,2148,55.73%,46,1107,1153
"Judge, County Criminal Court No. 16",0498,1069,423,1492,2527,59.04%,514,905,1419
"Judge, County Criminal Court No. 16",0499,1433,397,1830,2336,78.34%,1268,479,1747
"Judge, County Criminal Court No. 16",0500,1869,651,2520,3698,68.14%,1552,864,2416
"Judge, County Criminal Court No. 16",0501,1146,406,1552,2016,76.98%,650,792,1442
"Judge, County Criminal Court No. 16",0502,1,355,293,1559,2595,63.93%,1235,347,1582
"Judge, County Criminal Court No. 16",0503,1397,306,1703,2236,76.16%,1246,376,1622
"Judge, County Criminal Court No. 16",0504,1270,482,1752,2318,75.58%,1080,572,1652
"Judge, County Criminal Court No. 16",0505,1750,735,2485,4076,60.97%,1081,1231,2312
"Judge, County Criminal Court No. 16",0506,1513,696,2209,3544,62.33%,349,1782,2131
"Judge, County Criminal Court No. 16",0507,599,319,918,2562,35.83%,210,611,821
"Judge, County Criminal Court No. 16",0508,1519,828,2347,4767,49.23%,686,1486,2172
"Judge, County Criminal Court No. 16",0509,2504,669,3173,5153,61.58%,1966,1077,3043
"Judge, County Criminal Court No. 16",0510,1701,666,2367,3822,61.93%,992,1288,2280
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0511,2933,574,3507,4620,75.91%,2111,1278,3389
"Judge, County Criminal Court No. 16",0512,1668,871,2539,4559,55.69%,1006,1422,2428
"Judge, County Criminal Court No. 16",0513,1754,413,2187,3003,72.16%,1522,549,2071
"Judge, County Criminal Court No. 16",0514,2288,613,2899,4378,66.22%,1957,817,2774
"Judge, County Criminal Court No. 16",0515,1836,468,2304,3182,72.41%,1795,408,2203
"Judge, County Criminal Court No. 16",0516,1316,363,1679,2799,59.99%,806,803,1609
"Judge, County Criminal Court No. 16",0517,1610,509,2119,3744,56.60%,937,1084,2021
"Judge, County Criminal Court No. 16",0518,1886,676,2562,4049,63.27%,1471,964,2435
"Judge, County Criminal Court No. 16",0519,1421,518,1939,3098,62.59%,1293,563,1856
"Judge, County Criminal Court No. 16",0520,1788,670,2456,5202,47.21%,395,1997,2392
"Judge, County Criminal Court No. 16",0521,1350,578,1928,3070,62.80%,909,944,1853
"Judge, County Criminal Court No. 16",0522,1508,464,1972,2815,70.05%,1432,480,1912
"Judge, County Criminal Court No. 16",0523,1978,537,2515,4027,62.45%,1512,866,2378
"Judge, County Criminal Court No. 16",0524,1392,637,2029,3598,56.39%,546,1393,1939
"Judge, County Criminal Court No. 16",0525,1440,574,2014,3260,61.78%,419,1488,1907
"Judge, County Criminal Court No. 16",0526,235,157,392,820,47.80%,98,273,371
"Judge, County Criminal Court No. 16",0527,156,38,194,580,33.45%,76,107,183
"Judge, County Criminal Court No. 16",0528,17,8,25,78,32.05%,3,21,24
"Judge, County Criminal Court No. 16",0529,2107,434,2541,3842,66.14%,2068,369,2437
"Judge, County Criminal Court No. 16",0530,375,212,587,1236,47.49%,140,398,538
"Judge, County Criminal Court No. 16",0531,1234,166,1400,2250,62.22%,994,324,1318
"Judge, County Criminal Court No. 16",0532,478,140,618,1058,58.41%,409,196,605
"Judge, County Criminal Court No. 16",0533,352,169,521,1164,44.76%,259,230,489
"Judge, County Criminal Court No. 16",0534,1895,577,2472,3918,63.09%,1701,656,2357
"Judge, County Criminal Court No. 16",0535,132,62,194,413,46.97%,70,113,183
"Judge, County Criminal Court No. 16",0536,2104,1053,3157,5637,56.00%,1126,1855,2981
"Judge, County Criminal Court No. 16",0537,1958,464,2422,3174,76.31%,1692,633,2325
"Judge, County Criminal Court No. 16",0538,371,203,574,1332,43.09%,22,532,554
"Judge, County Criminal Court No. 16",0539,811,234,1045,1535,68.08%,557,431,988
"Judge, County Criminal Court No. 16",0540,997,349,1346,1759,76.52%,452,777,1229
"Judge, County Criminal Court No. 16",0541,2157,761,2918,5001,58.35%,476,2304,2780
"Judge, County Criminal Court No. 16",0542,1156,406,1562,2654,58.85%,132,1382,1514
"Judge, County Criminal Court No. 16",0543,553,321,874,1658,52.71%,255,578,833
"Judge, County Criminal Court No. 16",0544,84,54,138,313,44.09%,15,120,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0545,2015,468,2483,3949,62.88%,1107,1248,2355
"Judge, County Criminal Court No. 16",0546,1524,278,1802,2471,72.93%,1492,254,1748
"Judge, County Criminal Court No. 16",0547,1413,270,1683,2534,66.42%,1090,517,1607
"Judge, County Criminal Court No. 16",0548,882,395,1277,2339,54.60%,571,664,1235
"Judge, County Criminal Court No. 16",0549,1105,447,1552,2786,55.71%,204,1303,1507
"Judge, County Criminal Court No. 16",0550,1171,553,1724,3245,53.13%,730,933,1663
"Judge, County Criminal Court No. 16",0551,2588,793,3379,4428,76.31%,2507,724,3231
"Judge, County Criminal Court No. 16",0552,2090,784,2874,3762,76.40%,2258,501,2759
"Judge, County Criminal Court No. 16",0553,982,317,1279,2193,58.32%,485,748,1233
"Judge, County Criminal Court No. 16",0554,597,271,868,1774,48.93%,170,662,832
"Judge, County Criminal Court No. 16",0555,839,390,1029,2286,45.01%,181,804,985
"Judge, County Criminal Court No. 16",0556,759,435,1194,2491,47.93%,246,896,1142
"Judge, County Criminal Court No. 16",0557,925,460,1385,2955,46.87%,402,873,1275
"Judge, County Criminal Court No. 16",0558,1812,721,2533,4718,53.69%,769,1664,2433
"Judge, County Criminal Court No. 16",0559,1901,701,2602,4984,52.21%,593,1897,2490
"Judge, County Criminal Court No. 16",0560,290,247,537,1141,47.06%,122,381,503
"Judge, County Criminal Court No. 16",0561,1023,624,1647,3138,52.49%,945,611,1556
"Judge, County Criminal Court No. 16",0562,222,116,338,691,48.91%,52,257,309
"Judge, County Criminal Court No. 16",0563,2089,337,2406,3468,69.38%,1803,500,2303
"Judge, County Criminal Court No. 16",0564,1551,526,2077,3240,64.10%,567,1396,1963
"Judge, County Criminal Court No. 16",0565,338,148,484,1414,34.23%,85,375,480
"Judge, County Criminal Court No. 16",0566,1183,441,1624,3029,53.62%,418,1136,1554
"Judge, County Criminal Court No. 16",0567,985,390,1355,2851,47.53%,332,928,1260
"Judge, County Criminal Court No. 16",0568,1833,697,2530,3638,69.54%,1567,790,2357
"Judge, County Criminal Court No. 16",0569,2027,747,2774,4125,67.25%,1290,1300,2590
"Judge, County Criminal Court No. 16",0570,788,278,1044,1598,65.33%,376,591,967
"Judge, County Criminal Court No. 16",0571,521,314,835,1950,42.82%,272,518,790
"Judge, County Criminal Court No. 16",0572,1522,444,1966,3308,59.43%,838,1030,1868
"Judge, County Criminal Court No. 16",0573,489,215,704,1625,43.32%,19,674,693
"Judge, County Criminal Court No. 16",0574,112,74,186,391,47.57%,26,149,175
"Judge, County Criminal Court No. 16",0575,1905,535,2440,3557,68.60%,1329,993,2322
"Judge, County Criminal Court No. 16",0576,1107,375,1482,2830,52.37%,97,1340,1437
"Judge, County Criminal Court No. 16",0577,885,205,1090,1586,68.73%,642,391,1033
"Judge, County Criminal Court No. 16",0578,1028,405,1431,1862,76.85%,863,460,1323
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0579,287,181,468,1139,41.09%,91,354,445
"Judge, County Criminal Court No. 16",0580,366,108,474,985,48.12%,21,446,467
"Judge, County Criminal Court No. 16",0581,456,137,593,1033,57.41%,22,549,571
"Judge, County Criminal Court No. 16",0582,543,232,775,1607,48.23%,54,689,743
"Judge, County Criminal Court No. 16",0583,433,155,588,1286,45.72%,19,558,577
"Judge, County Criminal Court No. 16",0584,367,120,487,1062,45.86%,40,428,468
"Judge, County Criminal Court No. 16",0585,829,280,1109,2346,47.27%,65,1007,1072
"Judge, County Criminal Court No. 16",0586,1790,790,2580,4521,57.07%,1451,1007,2458
"Judge, County Criminal Court No. 16",0587,1204,431,1635,2870,56.97%,540,1028,1568
"Judge, County Criminal Court No. 16",0588,1940,606,2546,3780,67.35%,1658,791,2449
"Judge, County Criminal Court No. 16",0589,1539,545,2084,3780,55.13%,979,1016,1995
"Judge, County Criminal Court No. 16",0590,1230,400,1630,2176,74.91%,1207,340,1547
"Judge, County Criminal Court No. 16",0591,651,462,1113,2274,48.94%,309,746,1055
"Judge, County Criminal Court No. 16",0592,449,272,721,1446,49.86%,158,527,685
"Judge, County Criminal Court No. 16",0593,1551,755,2316,4179,55.42%,951,1243,2194
"Judge, County Criminal Court No. 16",0594,1243,316,1559,2578,60.47%,434,1084,1518
"Judge, County Criminal Court No. 16",0595,600,299,899,1833,49.05%,160,708,868
"Judge, County Criminal Court No. 16",0596,1377,501,1878,3574,52.55%,840,939,1779
"Judge, County Criminal Court No. 16",0597,1204,609,1813,3587,50.54%,634,1092,1726
"Judge, County Criminal Court No. 16",0598,2389,731,3120,5253,59.39%,1077,1906,2983
"Judge, County Criminal Court No. 16",0599,1378,493,1871,3005,62.26%,641,1163,1804
"Judge, County Criminal Court No. 16",0600,1602,776,2378,4204,56.57%,790,1465,2255
"Judge, County Criminal Court No. 16",0601,2220,670,2890,4151,69.62%,2050,724,2774
"Judge, County Criminal Court No. 16",0602,754,234,988,1441,68.56%,663,287,950
"Judge, County Criminal Court No. 16",0603,2335,725,3060,4666,65.58%,1738,1205,2943
"Judge, County Criminal Court No. 16",0604,1816,375,2191,3189,68.70%,1776,315,2091
"Judge, County Criminal Court No. 16",0605,1711,599,2310,4217,54.78%,569,1627,2196
"Judge, County Criminal Court No. 16",0606,319,111,430,970,44.33%,7,414,421
"Judge, County Criminal Court No. 16",0607,163,51,214,712,30.06%,26,180,206
"Judge, County Criminal Court No. 16",0608,156,77,233,570,40.88%,84,135,219
"Judge, County Criminal Court No. 16",0609,2037,729,2766,4305,64.25%,1574,1059,2633
"Judge, County Criminal Court No. 16",0610,665,343,1008,2086,48.32%,414,532,946
"Judge, County Criminal Court No. 16",0611,980,229,1209,2527,47.84%,52,1131,1183
"Judge, County Criminal Court No. 16",0612,1927,431,2358,3388,69.60%,1743,501,2244
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0613,937,339,1276,2368,53.89%,222,997,1219
"Judge, County Criminal Court No. 16",0614,1949,645,2594,4566,56.81%,768,1711,2479
"Judge, County Criminal Court No. 16",0615,1075,301,1376,2086,65.96%,707,609,1316
