Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0525,1446,574,2020,3260,61.96%,412,1524,22,18,0,0,0,0
President and Vice President,0526,238,157,395,820,48.17%,75,287,12,4,0,0,0,0
President and Vice President,0527,156,38,194,580,33.45%,67,117,4,0,0,0,0,0
President and Vice President,0528,17,8,25,78,32.05%,0,23,0,0,0,0,0,0
President and Vice President,0529,2110,434,2544,3842,66.22%,1992,388,80,17,1,1,0,1
President and Vice President,0530,377,212,589,1236,47.65%,95,469,9,5,0,0,0,0
President and Vice President,0531,1235,166,1401,2250,62.27%,1035,313,22,4,0,0,0,0
President and Vice President,0532,481,140,621,1058,58.70%,387,201,15,4,0,0,0,0
President and Vice President,0533,353,169,522,1164,44.85%,246,246,11,3,0,0,0,0
President and Vice President,0534,1901,577,2478,3918,63.25%,1653,712,48,20,0,0,0,0
President and Vice President,0535,132,62,194,413,46.97%,53,122,4,7,0,0,0,0
President and Vice President,0536,2110,1053,3153,5637,56.11%,885,2087,81,26,0,0,0,0
President and Vice President,0537,1951,464,2425,3174,76.40%,1597,725,35,7,0,0,0,0
President and Vice President,0538,372,203,575,1332,43.17%,9,546,4,3,0,0,0,0
President and Vice President,0539,811,234,1045,1535,68.08%,512,480,26,5,0,0,0,0
President and Vice President,0540,1017,349,1366,1759,77.66%,317,950,48,12,0,0,0,0
President and Vice President,0542,1157,406,1563,2654,58.89%,85,1421,22,11,0,0,0,0
President and Vice President,0543,554,321,875,1658,52.77%,198,627,21,9,0,1,0,0
President and Vice President,0544,84,54,138,313,44.09%,13,120,3,1,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0545,2023,468,2491,3949,63.08%,977,1385,50,22,0,0,0,1
President and Vice President,0546,1525,278,1603,2471,72.97%,1305,362,65,4,0,0,0,0
President and Vice President,0547,1416,270,1666,2534,66.54%,1014,526,82,15,1,0,0,2
President and Vice President,0548,883,395,1276,2339,54.64%,507,695,33,16,2,0,0,0
President and Vice President,0549,1106,447,1553,2786,55.74%,166,1327,21,16,0,0,0,0
President and Vice President,0550,1179,553,1732,3245,53.37%,659,986,49,9,2,0,0,0
President and Vice President,0551,2595,793,3366,4428,76.51%,2197,956,112,16,1,0,0,0
President and Vice President,0552,2095,784,2879,3762,76.53%,2162,559,90,12,1,0,0,0
President and Vice President,0553,964,317,1281,2193,58.41%,415,788,34,20,1,0,0,0
President and Vice President,0554,597,271,868,1774,48.93%,152,682,10,5,0,0,0,0
President and Vice President,0555,642,390,1032,2286,45.14%,153,820,17,9,0,0,0,0
President and Vice President,0556,760,435,1195,2491,47.97%,205,935,17,8,2,0,0,0
President and Vice President,0557,925,460,1385,2955,46.87%,346,963,16,13,0,0,0,0
President and Vice President,0558,1621,721,2542,4718,53.88%,659,1735,61,24,1,1,0,0
President and Vice President,0559,1923,701,2624,4984,52.65%,490,1969,75,44,0,0,0,0
President and Vice President,0560,290,247,537,1141,47.06%,88,418,9,15,0,0,0,0
President and Vice President,0561,1027,624,1651,3138,52.61%,926,627,46,20,1,0,0,0
President and Vice President,0562,222,116,338,691,48.91%,35,286,3,6,0,0,0,0
President and Vice President,0563,2063,337,2420,3468,69.78%,1626,621,81,14,0,0,0,0
President and Vice President,0554,1579,526,2105,3240,64.97%,366,1543,87,29,0,0,0,0
President and Vice President,0565,339,148,487,1414,34.44%,73,393,7,4,0,0,0,0
President and Vice President,0566,1192,441,1633,3029,53.91%,356,1174,49,20,0,1,0,0
President and Vice President,0567,967,390,1357,2851,47.60%,306,985,23,9,1,0,0,0
President and Vice President,0568,1841,697,2538,3638,69.76%,1407,933,95,24,0,0,0,0
President and Vice President,0569,2050,747,2797,4125,67.81%,1076,1513,98,30,0,0,0,0
President and Vice President,0570,771,278,1049,1598,65.64%,279,670,60,13,0,0,0,0
President and Vice President,0571,521,314,835,1950,42.82%,217,571,22,13,0,0,0,0
President and Vice President,0572,1542,444,1986,3308,60.04%,712,1129,75,27,1,0,0,0
President and Vice President,0573,490,215,705,1625,43.38%,17,670,6,3,0,0,0,0
President and Vice President,0574,112,74,186,391,47.57%,23,153,2,2,0,0,0,0
President and Vice President,0575,1909,535,2444,3557,68.71%,1206,1069,92,23,0,0,0,2
President and Vice President,0576,1112,375,1487,2830,52.54%,74,1362,18,7,0,0,0,0
President and Vice President,0577,667,205,1092,1586,68.85%,561,463,41,9,0,0,0,0
President and Vice President,0578,1029,405,1434,1862,77.01%,708,598,75,7,2,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0579,287,181,468,1139,41.09%,74,369,8,2,0,0,0,0
President and Vice President,0580,366,108,474,985,48.12%,17,438,4,1,0,0,0,0
President and Vice President,0581,457,137,594,1033,57.50%,12,568,5,3,0,0,0,0
President and Vice President,0582,543,232,775,1607,48.23%,44,690,12,8,0,0,1,0
President and Vice President,0583,434,155,589,1286,45.80%,16,556,0,4,0,0,0,0
President and Vice President,0584,367,120,487,1062,45.86%,37,436,5,2,0,0,0,0
President and Vice President,0585,830,280,1110,2346,47.31%,61,1024,6,4,0,0,0,0
President and Vice President,0586,1794,790,2584,4521,57.16%,1376,1052,72,32,3,0,0,0
President and Vice President,0587,1210,431,1641,2870,57.18%,497,1063,27,17,0,0,0,0
President and Vice President,0588,1946,606,2552,3780,67.51%,1558,831,73,30,2,0,0,0
President and Vice President,0589,1544,545,2089,3780,55.26%,869,1075,74,20,1,0,0,0
President and Vice President,0590,1231,400,1631,2176,74.95%,1125,394,48,8,2,0,0,0
President and Vice President,0591,652,462,1114,2274,48.99%,243,819,19,12,0,0,0,0
President and Vice President,0592,449,272,721,1446,49.86%,120,545,16,9,1,0,0,0
President and Vice President,0593,1582,755,2317,4179,55.44%,826,1351,66,26,1,0,0,0
President and Vice President,0594,1252,316,1568,2578,60.82%,381,1107,36,17,0,0,0,0
President and Vice President,0595,602,299,901,1833,49.15%,108,745,13,19,0,0,0,0
President and Vice President,0596,1381,501,1882,3574,52.66%,749,966,83,31,2,0,0,0
President and Vice President,0597,1207,609,1816,3587,50.63%,554,1143,53,12,0,0,0,0
President and Vice President,0598,2391,731,3122,5253,59.43%,934,1985,79,36,3,0,0,4
President and Vice President,0599,1380,493,1873,3005,62.33%,572,1201,47,11,1,0,0,0
President and Vice President,0600,1604,776,2380,4204,56.61%,715,1541,55,23,0,0,0,0
President and Vice President,0601,2229,670,2899,4151,69.84%,1854,840,86,13,0,0,0,0
President and Vice President,0602,756,234,990,1441,68.70%,614,313,28,7,0,0,0,0
President and Vice President,0603,2349,725,3074,4666,65.88%,1567,1254,128,28,1,0,0,0
President and Vice President,0604,1820,375,2195,3189,68.83%,1777,312,44,9,1,0,0,0
President and Vice President,0605,1714,599,2313,4217,54.85%,473,1727,51,16,0,0,0,0
President and Vice President,0606,319,111,430,970,44.33%,10,403,3,2,0,0,0,0
President and Vice President,0607,163,51,214,712,30.06%,23,182,1,2,0,0,0,0
President and Vice President,0608,156,77,233,570,40.88%,66,151,8,3,0,0,0,0
President and Vice President,0609,2042,729,2771,4305,64.37%,1411,1179,83,35,0,0,0,0
President and Vice President,0610,670,343,1013,2086,48.56%,348,596,29,13,0,0,0,0
President and Vice President,0611,980,229,1209,2527,47.84%,45,1123,10,6,0,0,0,0
President and Vice President,0612,1934,431,2365,3388,69.81%,1593,571,104,16,1,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0613,939,339,1278,2368,53.97%,169,1034,24,14,0,0,0,0
President and Vice President,0614,1953,645,2598,4566,56.90%,658,1815,53,18,1,0,0,0
President and Vice President,0615,1075,301,1377,2086,66.01%,636,647,47,8,0,0,0,0
President and Vice President,0616,1814,611,2425,3516,68.97%,1448,810,97,20,1,0,0,0
President and Vice President,0617,1708,650,2358,4179,56.42%,689,1538,58,32,1,0,0,0
President and Vice President,0618,1701,545,2246,3801,59.09%,817,1298,76,16,0,0,0,0
President and Vice President,0619,2799,663,3462,4916,70.42%,2212,989,126,26,0,0,0,0
President and Vice President,0620,1760,333,2093,3318,63.08%,922,1069,46,12,0,0,0,0
President and Vice President,0621,539,200,739,1272,58.10%,242,432,34,7,0,0,0,0
President and Vice President,0622,2141,591,2732,4562,59.89%,1266,1289,84,17,3,2,0,2
President and Vice President,0623,1965,461,2426,3919,61.90%,1378,888,61,26,1,0,0,0
President and Vice President,0624,299,59,358,456,78.51%,250,86,12,1,1,0,0,0
President and Vice President,0625,932,372,1304,1864,69.96%,592,619,48,13,2,0,0,0
President and Vice President,0626,2310,784,3094,4816,64.24%,1347,1504,132,33,1,0,0,0
President and Vice President,0627,938,649,1587,3235,49.06%,367,1131,23,18,0,0,0,0
President and Vice President,0628,721,545,1266,2420,52.31%,401,805,30,11,0,0,0,0
President and Vice President,0629,162,96,258,750,34.40%,29,219,4,1,0,0,0,0
President and Vice President,0630,2682,541,3223,4738,68.02%,271,2821,55,31,0,0,0,0
President and Vice President,0632,4,1,5,241,2.07%,1,4,0,0,0,0,0,0
President and Vice President,0633,2287,601,2888,3912,73.82%,1721,958,102,20,3,0,0,2
President and Vice President,0634,1439,499,1938,3259,59.47%,1012,807,57,15,4,0,0,0
President and Vice President,0635,1652,520,2172,3512,61.85%,1454,534,94,20,7,0,0,0
President and Vice President,0636,2304,922,3226,4569,70.61%,2746,341,57,6,4,0,0,0
President and Vice President,0637,1100,423,1523,2591,58.78%,292,1147,30,18,0,0,0,0
President and Vice President,0638,855,348,1203,2310,52.08%,91,1061,13,15,0,0,0,0
President and Vice President,0639,1389,284,1673,2560,65.35%,1203,377,49,6,0,0,0,0
President and Vice President,0640,1620,615,2235,3927,56.91%,1159,924,82,25,0,0,0,0
President and Vice President,0641,1640,683,2323,3840,60.49%,1246,958,51,14,5,0,0,3
President and Vice President,0642,1031,270,1301,1783,72.97%,943,292,29,9,0,0,0,0
President and Vice President,0643,1952,593,2545,4189,60.75%,1073,1327,70,20,1,0,0,0
President and Vice President,0644,2097,689,2786,4446,62.66%,1399,1197,103,35,1,0,0,0
President and Vice President,0645,2161,769,2930,4517,64.87%,992,1738,104,38,1,0,0,0
President and Vice President,0646,926,399,1325,2422,54.71%,301,955,23,12,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0647,1375,526,1901,4349,43.71%,394,1440,14,10,0,0,0,0
President and Vice President,0648,1866,500,2366,3487,67.85%,1468,737,80,16,2,0,0,0
President and Vice President,0649,1557,775,2332,4755,49.04%,500,1713,43,25,0,0,0,0
President and Vice President,0650,2042,819,2861,4039,70.83%,1695,972,116,14,0,0,0,0
President and Vice President,0651,1735,551,2286,3873,59.02%,1060,1057,97,24,0,0,0,0
President and Vice President,0652,1167,545,1712,2979,57.47%,220,1428,14,16,0,0,0,0
President and Vice President,0653,187,110,297,604,49.17%,60,222,7,0,0,0,0,0
President and Vice President,0654,2390,698,3088,5063,60.99%,1430,1484,80,25,0,0,0,0
President and Vice President,0655,1964,761,2725,4495,60.62%,1292,1221,114,37,4,0,0,0
President and Vice President,0656,1107,401,1508,2737,55.10%,59,1407,7,8,0,0,0,0
President and Vice President,0657,684,276,960,1487,64.56%,289,611,24,15,0,0,0,0
President and Vice President,0658,1300,494,1794,2901,61.84%,990,674,67,16,0,3,0,0
President and Vice President,0659,2812,733,3545,5161,68.69%,2277,1071,89,18,2,0,0,0
President and Vice President,0660,1576,345,1921,3087,62.23%,158,1693,19,14,0,0,0,0
President and Vice President,0661,1953,774,2727,4363,62.50%,1160,1363,97,30,0,0,0,0
President and Vice President,0662,2269,571,2840,4002,70.96%,2162,554,58,12,0,0,0,0
President and Vice President,0663,1343,448,1791,2340,76.54%,737,905,89,13,2,0,0,0
President and Vice President,0664,910,513,1423,2992,47.56%,251,1087,28,19,0,0,0,0
President and Vice President,0665,1329,360,1689,2354,71.75%,1271,323,53,12,0,0,0,0
President and Vice President,0666,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0667,1115,400,1516,2175,69.70%,993,414,53,11,0,0,0,0
President and Vice President,0668,1558,719,2277,3669,62.06%,1207,895,98,21,4,0,0,0
President and Vice President,0669,1901,702,2603,3585,72.61%,1522,877,94,24,0,0,0,0
President and Vice President,0670,2000,416,2416,3335,72.44%,1717,541,84,9,0,0,0,0
President and Vice President,0671,1405,588,1993,3198,62.32%,945,903,76,22,0,0,0,0
President and Vice President,0672,1730,489,2219,3433,64.64%,1405,671,69,17,1,0,0,0
President and Vice President,0673,1527,467,2094,3051,68.63%,1601,387,54,14,0,1,0,0
President and Vice President,0674,2365,610,2975,4228,70.36%,1950,830,91,22,3,0,0,0
President and Vice President,0675,1,0,1,0,0.00%,1,0,0,0,0,0,0,0
President and Vice President,0677,423,259,682,1300,52.46%,144,500,11,6,1,0,0,0
President and Vice President,0678,1170,294,1464,2660,55.04%,134,1273,18,9,0,0,0,0
President and Vice President,0679,1721,529,2250,3542,63.52%,1452,675,66,16,1,0,0,0
President and Vice President,0680,100,17,117,179,65.36%,32,78,4,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0681,6,0,6,4,150.00%,3,3,0,0,0,0,0,0
President and Vice President,0682,2114,690,2804,4313,65.01%,1918,743,78,12,1,0,0,0
President and Vice President,0683,82,5,87,302,28.81%,19,60,2,3,0,0,0,0
President and Vice President,0684,1686,640,2326,3559,65.36%,1279,868,79,21,3,0,0,0
President and Vice President,0685,139,28,167,285,58.60%,66,90,6,0,0,0,0,0
President and Vice President,0686,53,5,58,221,26.24%,13,40,2,2,0,0,0,0
President and Vice President,0687,1518,400,1918,2713,70.70%,1117,689,49,18,0,0,0,0
President and Vice President,0688,2345,594,2939,3922,74.94%,2078,676,85,22,0,0,0,0
President and Vice President,0689,731,604,1335,2449,54.51%,473,775,39,13,0,0,0,0
President and Vice President,0690,1975,553,2528,3614,69.95%,1759,582,98,15,1,0,0,0
President and Vice President,0691,2134,551,2685,3690,72.76%,1862,649,113,8,0,0,0,0
President and Vice President,0692,1282,678,1960,3118,62.86%,1264,548,89,27,0,0,0,0
President and Vice President,0693,311,110,421,681,61.82%,88,310,11,5,0,0,0,0
President and Vice President,0694,1008,319,1327,2478,53.55%,462,770,37,16,2,0,0,1
President and Vice President,0695,631,315,946,1842,51.36%,529,351,34,10,3,0,0,0
President and Vice President,0696,729,312,1041,2027,51.36%,594,385,33,8,0,0,0,0
President and Vice President,0697,1299,552,1851,3238,57.16%,399,1349,47,14,0,0,0,3
President and Vice President,0698,1276,520,1796,3339,53.79%,169,1553,21,14,0,0,0,0
President and Vice President,0699,1283,398,1681,2387,70.42%,903,647,73,10,1,0,0,0
President and Vice President,0700,728,247,975,1536,63.48%,806,134,16,3,0,0,0,0
President and Vice President,0701,21,0,73,283,614,46.09%,112,153,8,2,0,0,0,0
President and Vice President,0702,183,69,252,550,45.82%,25,212,8,1,0,0,0,0
President and Vice President,0703,902,528,1430,1943,73.60%,895,435,51,10,0,0,0,0
President and Vice President,0704,1700,512,2212,3121,70.87%,1717,387,66,8,0,0,0,0
President and Vice President,0705,331,206,537,1513,35.49%,49,463,4,6,0,0,0,0
President and Vice President,0706,1255,372,1627,2821,57.67%,510,1007,39,28,1,0,0,0
President and Vice President,0707,378,69,447,757,59.05%,241,178,16,3,0,0,0,0
President and Vice President,0708,163,98,261,592,44.09%,84,168,2,2,0,0,0,0
President and Vice President,0709,2261,528,2789,4136,67.43%,1310,1300,101,29,3,0,0,0
President and Vice President,0710,1143,450,1593,2096,76.00%,650,787,100,16,0,0,0,0
President and Vice President,0712,1722,627,2349,4002,58.70%,741,1485,49,37,0,0,0,0
President and Vice President,0713,770,365,1135,2006,56.58%,490,578,40,11,0,0,0,0
President and Vice President,0714,102,28,130,306,42.48%,53,73,1,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0715,553,239,792,1549,51.13%,350,407,15,10,0,0,0,1
President and Vice President,0716,1219,419,1638,2720,60.22%,1104,446,37,15,0,0,0,0
President and Vice President,0717,979,232,1211,2082,58.17%,135,1023,17,6,0,0,0,0
President and Vice President,0718,2251,872,3123,4412,70.78%,1731,1156,112,19,1,0,0,0
President and Vice President,0719,624,223,847,1644,51.52%,404,411,19,7,0,0,0,0
President and Vice President,0720,2506,709,3215,4709,68.27%,1948,1031,127,19,2,0,0,1
President and Vice President,0721,1476,603,2079,2926,71.05%,1146,778,78,24,3,0,0,0
President and Vice President,0722,1931,609,2540,4638,54.76%,142,2306,24,25,1,0,0,0
President and Vice President,0723,899,261,1160,1959,59.21%,193,919,23,10,0,0,0,0
President and Vice President,0724,395,146,541,800,67.63%,292,214,13,4,0,0,0,0
President and Vice President,0725,977,294,1271,2336,54.41%,476,723,23,19,0,0,0,0
President and Vice President,0726,1274,321,1595,2207,72.27%,1291,208,39,4,1,0,0,0
President and Vice President,0727,984,415,1399,2708,51.66%,312,992,46,19,0,0,0,1
President and Vice President,0728,399,198,597,942,63.38%,303,239,25,9,0,0,0,0
President and Vice President,0729,235,49,284,471,60.30%,151,119,6,2,1,0,0,0
President and Vice President,0730,1372,406,1778,2435,73.02%,966,685,55,10,0,0,0,0
President and Vice President,0731,2090,624,2714,4834,56.14%,990,1533,86,23,3,0,0,2
President and Vice President,0732,798,449,1247,1943,64.18%,637,507,42,19,0,0,0,0
President and Vice President,0733,55,25,80,303,26.40%,26,50,1,1,0,0,0,0
President and Vice President,0734,2309,556,2865,4294,66.72%,1703,980,91,19,4,0,0,0
President and Vice President,0735,158,61,219,251,87.25%,110,99,4,1,0,0,0,0
President and Vice President,0736,14,3,17,42,40.48%,1,16,0,0,0,0,0,0
President and Vice President,0737,21,6,27,56,48.21%,18,6,2,0,0,0,0,0
President and Vice President,0738,436,214,650,1497,43.42%,98,528,9,8,0,0,0,0
President and Vice President,0739,981,440,1421,2971,47.83%,590,751,35,16,1,0,0,0
President and Vice President,0740,281,169,450,1005,44.78%,218,213,7,5,0,0,0,0
President and Vice President,0741,925,262,1187,1895,62.64%,260,863,14,15,0,0,0,0
President and Vice President,0742,1542,498,2040,2859,71.35%,1151,784,50,8,1,0,0,0
President and Vice President,0743,54,60,114,234,48.72%,37,75,2,0,0,0,0,0
President and Vice President,0744,1011,444,1455,2103,69.19%,752,591,56,26,0,0,0,0
President and Vice President,0745,1219,446,1665,2543,65.47%,898,657,58,18,0,0,0,0
President and Vice President,0746,245,121,367,732,50.14%,162,181,17,2,0,0,0,0
President and Vice President,0747,1748,693,2441,4096,59.59%,972,1320,70,37,0,0,0,0
President and Vice President,0748,569,245,814,1556,52.31%,345,402,34,10,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0749,115,1,116,432,26.85%,18,96,0,0,0,0,0,0
President and Vice President,0750,295,122,417,809,51.55%,204,182,16,3,0,0,0,0
President and Vice President,0751,2951,1013,3964,5893,67.27%,2174,1494,158,34,0,0,0,0
President and Vice President,0752,660,227,887,1484,59.77%,544,294,25,4,0,0,0,0
President and Vice President,0753,260,53,313,512,61.13%,109,179,9,6,2,0,0,0
President and Vice President,0754,388,262,650,1590,40.88%,31,593,8,7,0,0,0,0
President and Vice President,0755,1786,955,2741,5015,54.66%,816,1743,75,34,1,0,0,0
President and Vice President,0756,688,309,997,1723,57.86%,294,656,18,9,0,0,0,0
President and Vice President,0757,1867,601,2468,4792,51.50%,334,2025,34,24,2,0,0,0
President and Vice President,0758,2109,595,2704,3803,71.10%,1840,658,108,20,0,0,0,0
President and Vice President,0759,1392,375,1767,2779,63.58%,898,739,62,10,3,0,0,0
President and Vice President,0760,1222,268,1490,2162,68.92%,1058,322,62,5,1,0,0,0
President and Vice President,0761,1096,167,1263,1598,79.04%,742,423,51,6,0,0,0,0
President and Vice President,0762,930,303,1233,1828,67.45%,500,658,31,9,0,0,0,0
President and Vice President,0763,370,264,634,1249,50.76%,173,418,17,8,0,0,0,0
President and Vice President,0764,2475,677,3152,4827,65.30%,1721,1232,92,25,3,0,0,0
President and Vice President,0765,2069,874,2943,5742,51.25%,694,2124,37,30,1,2,0,2
President and Vice President,0766,126,59,185,428,43.22%,23,146,3,3,0,0,0,0
President and Vice President,0767,31,15,46,92,50.00%,17,26,2,0,0,0,0,0
President and Vice President,0768,1486,387,1873,2643,70.87%,1318,427,76,11,1,0,0,0
President and Vice President,0769,85,14,99,184,53.80%,7,92,0,0,0,0,0,0
President and Vice President,0770,103,42,145,388,37.37%,43,94,4,1,0,0,0,0
President and Vice President,0771,572,210,782,1588,49.24%,297,432,30,9,0,0,0,0
President and Vice President,0772,2820,477,3297,4606,71.58%,2102,957,133,13,2,0,0,0
President and Vice President,0773,1697,638,2335,4414,52.90%,524,1701,41,18,0,0,0,0
President and Vice President,0774,154,66,220,426,51.64%,50,164,3,1,0,0,0,0
President and Vice President,0775,50,1,51,102,50.00%,2,48,1,0,0,0,0,0
President and Vice President,0776,1437,538,1975,3276,60.29%,1038,798,65,18,0,0,0,0
President and Vice President,0777,202,105,307,767,40.03%,71,224,6,0,0,0,0,0
President and Vice President,0778,0,3,3,0,0.00%,0,3,0,0,0,0,0,0
President and Vice President,0779,263,160,423,1019,41.51%,90,300,11,6,0,0,0,0
President and Vice President,0780,170,130,300,666,45.05%,96,192,4,4,0,0,0,0
President and Vice President,0781,1241,612,1853,3782,49.00%,506,1244,37,17,1,0,0,0
President and Vice President,0782,1049,368,1417,2355,60.17%,748,562,55,11,5,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0783,197,90,287,520,55.19%,17,257,4,1,1,0,0,0
President and Vice President,0784,408,119,527,1062,49.62%,11,502,3,2,0,0,0,0
President and Vice President,0785,1235,357,1593,1896,84.02%,727,742,81,11,0,0,0,0
President and Vice President,0786,397,177,574,1258,45.63%,167,372,11,10,0,0,0,0
President and Vice President,0787,180,83,263,542,48.52%,68,174,13,4,0,0,0,0
President and Vice President,0788,2,0,2,13,15.38%,2,0,0,0,0,0,0,0
President and Vice President,0789,1380,420,1800,2998,60.04%,949,749,48,17,2,0,0,0
President and Vice President,0790,1143,329,1472,2523,58.34%,437,940,40,18,0,0,0,0
President and Vice President,0791,9,3,12,29,41.38%,1,9,1,1,0,0,0,0
President and Vice President,0792,648,415,1063,1954,54.40%,235,780,16,9,0,0,0,0
President and Vice President,0793,985,416,1401,2620,53.47%,663,665,35,10,0,0,0,0
President and Vice President,0794,626,411,1037,3208,32.33%,86,891,22,10,0,0,0,1
President and Vice President,0795,396,2,398,1281,31.07%,99,284,2,7,0,0,0,0
President and Vice President,0796,1373,465,1838,3041,60.44%,652,1071,54,15,0,0,0,0
President and Vice President,0797,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0798,223,142,365,521,70.06%,119,221,5,8,0,0,0,0
President and Vice President,0799,58,26,84,171,49.12%,13,68,2,0,0,0,0,0
President and Vice President,0800,1938,730,2668,4216,63.28%,1469,1012,100,27,1,0,0,0
President and Vice President,0801,90,44,134,261,51.34%,40,88,2,0,0,0,0,0
President and Vice President,0802,54,21,75,224,33.48%,15,50,5,2,0,0,0,0
President and Vice President,0803,2572,547,3219,4514,71.31%,2007,1031,92,15,0,0,0,0
President and Vice President,0804,2704,682,3386,5303,63.85%,1597,1590,105,27,3,0,0,0
President and Vice President,0805,1601,454,2055,2874,71.50%,1453,462,81,11,1,0,0,0
President and Vice President,0807,801,349,1150,2163,53.17%,164,914,25,17,0,0,0,0
President and Vice President,0808,143,57,200,232,86.21%,45,125,21,2,0,0,0,0
President and Vice President,0809,19,7,26,98,26.53%,12,13,0,0,0,0,0,0
President and Vice President,0810,47,31,78,197,39.59%,11,64,3,0,0,0,0,0
President and Vice President,0811,82,68,150,277,54.15%,28,118,2,1,0,0,0,0
President and Vice President,0812,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0813,1747,434,2181,3488,62.53%,841,1214,54,25,0,0,0,0
President and Vice President,0814,1976,827,2803,5483,51.12%,495,2178,55,28,0,1,0,0
President and Vice President,0815,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0816,23,10,33,64,51.56%,3,28,1,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0817,2792,550,3342,4700,71.11%,2142,989,96,24,4,0,0,0
President and Vice President,0818,209,104,313,737,42.4,7%,58,239,4,4,0,0,0,0
