Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0096,828,306,1134,2060,55.05%,147,944,1091
County Attorney,0097,2511,467,2978,4414,67.47%,2162,685,2847
County Attorney,0098,1385,594,1979,3161,62.61%,1580,329,1909
County Attorney,0099,681,295,976,2192,44.53%,388,544,932
County Attorney,0100,529,276,805,1825,44.11%,308,465,773
County Attorney,0101,221,129,350,988,35.43%,81,257,338
County Attorney,0102,580,227,807,1907,42.32%,199,566,765
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0103,2140,985,3125,5097,61.31%,1457,1565,3022
County Attorney,0104,913,211,1124,1920,58.54%,24,1067,1091
County Attorney,0105,709,433,1142,2304,49.57%,261,804,1065
County Attorney,0106,73,59,132,299,44.15%,43,87,130
County Attorney,0107,592,403,995,2230,44.62%,144,806,950
County Attorney,0108,1461,448,1909,3674,51.96%,887,914,1801
County Attorney,0109,1098,278,1376,2909,47.30%,31,1301,1332
County Attorney,0110,1661,481,2142,3222,66.48%,1183,883,2066
County Attorney,0111,2699,866,3565,4792,74.39%,2419,992,3411
County Attorney,0112,1507,598,2105,3188,66.03%,1342,669,2011
County Attorney,0113,1307,418,1725,2718,63.47%,849,812,1661
County Attorney,0114,2290,506,2796,3885,71.97%,1993,698,2691
County Attorney,0115,609,272,881,1843,47.80%,75,768,843
County Attorney,0116,1898,599,2497,3194,78.18%,1777,624,2401
County Attorney,0117,573,379,952,1900,50.11%,312,585,897
County Attorney,0118,1823,530,2353,3181,73.97%,1183,1076,2259
County Attorney,0119,2755,409,3164,4682,67.58%,2393,648,3041
County Attorney,0120,1804,588,2392,3732,64.09%,1361,922,2283
County Attorney,0121,354,221,575,966,59.52%,346,213,559
County Attorney,0122,732,284,1016,1904,53.36%,42,941,983
County Attorney,0123,749,287,1036,1585,65.36%,247,739,986
County Attorney,0124,3136,888,4024,5393,74.62%,3077,831,3908
County Attorney,0125,1207,400,1607,2593,61.97%,822,718,1540
County Attorney,0126,2017,427,2444,3380,72.31%,2016,331,2347
County Attorney,0127,978,214,1192,2091,57.01%,818,316,1134
County Attorney,0128,1107,612,1719,2322,74.03%,943,663,1606
County Attorney,0129,2540,1052,3592,5172,69.45%,1944,1481,3425
County Attorney,0130,1310,433,1743,2289,76.15%,1178,498,1676
County Attorney,0131,798,371,1169,2147,54.45%,229,909,1138
County Attorney,0132,1028,322,1350,2378,56.77%,39,1283,1322
County Attorney,0133,1411,746,2157,2690,80.19%,1078,954,2032
County Attorney,0134,593,345,938,1513,62.00%,348,532,880
County Attorney,0135,1614,551,2165,2777,77.96%,1279,772,2051
County Attorney,0136,982,352,1334,2116,63.04%,76,1210,1286
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0137,993,259,1252,1986,63.04%,817,382,1199
County Attorney,0138,600,228,828,1723,48.06%,34,771,805
County Attorney,0139,1939,601,2540,3435,73.94%,1072,1308,2380
County Attorney,0140,1513,510,2023,3270,61.87%,297,1622,1919
County Attorney,0141,217,153,370,904,40.93%,191,153,344
County Attorney,0142,293,140,433,933,46.41%,81,321,402
County Attorney,0143,1868,267,2135,2582,82.69%,1365,706,2071
County Attorney,0144,442,125,567,1086,52.21%,16,530,546
County Attorney,0145,560,256,816,1564,52.17%,16,773,789
County Attorney,0146,1000,494,1494,2073,72.07%,577,847,1424
County Attorney,0147,1411,354,1765,3211,54.97%,208,1503,1711
County Attorney,0148,1265,652,1917,2571,74.56%,662,1144,1806
County Attorney,0149,2938,573,3511,4756,73.82%,1864,1522,3386
County Attorney,0150,582,223,805,1574,51.14%,32,746,778
County Attorney,0151,282,107,389,826,47.09%,13,359,372
County Attorney,0152,838,524,1362,3059,44.52%,249,1035,1284
County Attorney,0153,544,399,943,1873,50.35%,203,693,896
County Attorney,0154,913,289,1202,2293,52.42%,221,894,1115
County Attorney,0155,2275,576,2851,4065,70.14%,1727,992,2719
County Attorney,0156,1413,403,1816,3223,56.35%,76,1673,1749
County Attorney,0157,880,278,1158,2265,51.13%,56,1071,1127
County Attorney,0158,1143,365,1508,3049,49.46%,37,1434,1471
County Attorney,0159,348,147,495,997,49.65%,76,401,477
County Attorney,0160,286,67,353,717,49.23%,11,330,341
County Attorney,0161,378,173,551,992,55.54%,15,515,530
County Attorney,0162,364,267,631,1312,48.09%,146,439,585
County Attorney,0163,1080,524,1604,3075,52.16%,412,1030,1442
County Attorney,0164,441,258,699,1407,49.68%,23,651,674
County Attorney,0165,1169,469,1638,2460,66.59%,885,662,1547
County Attorney,0166,562,261,823,1171,70.28%,257,517,774
County Attorney,0167,5,2,7,24,29.17%,0,7,7
County Attorney,0168,196,59,255,512,49.80%,5,245,250
County Attorney,0169,985,247,1232,2548,48.35%,37,1157,1194
County Attorney,0170,663,262,925,1958,47.24%,400,460,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0171,482,283,765,1648,46.42%,33,698,731
County Attorney,0172,245,103,348,661,52.65%,82,250,332
County Attorney,0173,2259,683,2942,3966,74.18%,2128,693,2821
County Attorney,0174,171,5,707,2423,3389,71.50%,1523,774,2297
County Attorney,0175,1402,691,2093,2711,77.20%,907,1079,1986
County Attorney,0176,767,375,1142,1533,74.49%,482,593,1075
County Attorney,0177,937,333,1270,1715,74.05%,603,577,1180
County Attorney,0178,1116,273,1389,1795,77.38%,823,483,1306
County Attorney,0179,771,244,1015,1673,60.67%,448,502,950
County Attorney,0180,928,463,1391,2914,47.74%,47,1289,1336
County Attorney,0181,697,439,1136,2195,51.75%,236,843,1079
County Attorney,0182,1943,994,2937,4071,72.14%,1414,1324,2738
County Attorney,0183,1286,715,2001,2535,78.93%,1115,772,1887
County Attorney,0184,278,219,497,1048,47.42%,118,348,466
County Attorney,0185,709,444,1153,2054,56.13%,271,822,1093
County Attorney,0186,252,150,402,798,50.38%,30,353,383
County Attorney,0187,95,51,147,309,47.57%,24,110,134
County Attorney,0188,499,306,805,1711,47.05%,239,529,768
County Attorney,0189,804,279,1083,1505,71.96%,566,467,1033
County Attorney,0190,571,326,897,1849,48.51%,245,602,847
County Attorney,0191,327,259,586,1408,41.62%,167,393,560
County Attorney,0192,757,259,1016,1959,51.86%,55,922,977
County Attorney,0193,375,211,586,1099,53.32%,18,542,560
County Attorney,0194,1138,449,1587,2172,73.07%,393,1099,1492
County Attorney,0195,606,344,950,1739,54.63%,48,855,903
County Attorney,0196,132,37,169,313,53.99%,12,148,160
County Attorney,0197,995,372,1368,2969,46.08%,34,1289,1323
County Attorney,0198,161,82,243,619,39.26%,9,223,232
County Attorney,0199,1929,815,2744,4063,67.54%,1996,634,2630
County Attorney,0200,2307,377,2684,3692,72.70%,1113,1434,2547
County Attorney,0201,221,105,326,773,42.17%,14,305,319
County Attorney,0202,421,233,654,1410,46.38%,23,602,625
County Attorney,0203,298,111,409,988,41.40%,57,325,382
County Attorney,0204,2099,577,2676,3568,75.00%,1318,1182,2500
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0205,771,171,942,1724,54.64%,20,899,919
County Attorney,0206,1277,494,1771,2965,59.73%,482,1173,1655
County Attorney,0207,605,212,817,1166,70.07%,237,533,770
County Attorney,0208,909,338,1247,2256,55.27%,276,891,1167
County Attorney,0209,0,0,0,0,0.00%,0,0,0
County Attorney,0210,1259,489,1748,2781,62.86%,256,1417,1673
County Attorney,0211,964,595,1559,3130,49.81%,401,1053,1454
County Attorney,0212,309,323,632,1370,46.13%,99,496,595
County Attorney,0213,1782,795,2577,3406,75.66%,1867,613,2480
County Attorney,0214,1016,418,1434,1911,75.04%,760,581,1341
County Attorney,0215,1096,636,1732,2286,75.77%,881,766,1647
County Attorney,0216,778,244,1022,1966,51.98%,54,926,980
County Attorney,0217,1545,618,2163,2736,79.06%,1193,866,2059
County Attorney,0218,1099,457,1555,2467,63.07%,351,1091,1442
County Attorney,0219,1117,515,1632,2868,56.90%,135,1418,1553
County Attorney,0220,832,306,1138,2362,48.18%,688,387,1075
County Attorney,0221,1032,473,1505,2598,57.93%,459,962,1421
County Attorney,0222,1460,671,2131,2728,78.12%,837,1161,1998
County Attorney,0223,1750,517,2267,3664,61.87%,543,1578,2121
County Attorney,0224,1155,495,1551,2313,71.81%,658,905,1563
County Attorney,0225,1353,596,1949,3689,52.83%,793,1075,1868
County Attorney,0226,840,421,1261,2554,49.37%,225,976,1201
County Attorney,0227,1071,359,1430,1810,79.01%,938,426,1364
County Attorney,0228,625,159,784,1175,66.72%,47,724,771
County Attorney,0229,227,168,395,828,47.71%,99,273,372
County Attorney,0230,353,155,518,1094,47.35%,24,477,501
County Attorney,0231,801,445,1246,2376,52.44%,241,946,1187
County Attorney,0232,941,438,1379,1826,75.52%,660,657,1317
County Attorney,0233,2571,703,3274,4713,69.47%,1378,1701,3079
County Attorney,0234,2419,728,3147,4042,77.86%,2132,877,3009
County Attorney,0235,461,203,664,1421,46.73%,22,615,637
County Attorney,0236,555,308,964,2104,45.82%,42,892,934
County Attorney,0237,739,312,1051,2146,48.97%,24,998,1022
County Attorney,0238,606,317,923,1948,47.38%,25,863,888
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0239,694,334,1028,1984,51.81,%,32,974,1006
County Attorney,0240,1007,292,1299,2601,49.94%,26,1237,1263
County Attorney,0241,651,383,1034,2466,41.93%,307,689,996
County Attorney,0242,506,314,820,1744,47.02%,341,420,761
County Attorney,0243,244,42,286,475,60.21%,5,278,283
County Attorney,0244,1409,538,1947,3296,59.07%,904,960,1864
