Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0321,867,363,1230,2483,49.54%,325,814,1139
"District Judge, 125th Judicial District",0322,426,124,550,1210,45.45%,150,382,532
"District Judge, 125th Judicial District",0323,700,296,996,1793,55.55%,358,591,949
"District Judge, 125th Judicial District",0324,1444,560,2004,2607,76.87%,1151,723,1874
"District Judge, 125th Judicial District",0325,802,257,1059,2176,48.67%,180,818,998
"District Judge, 125th Judicial District",0326,271,129,400,736,54.35%,139,231,370
"District Judge, 125th Judicial District",0327,738,141,879,1758,50.00%,26,823,849
"District Judge, 125th Judicial District",0328,425,286,711,1631,43.59%,205,468,673
"District Judge, 125th Judicial District",0329,589,260,849,1621,52.38%,243,558,801
"District Judge, 125th Judicial District",0330,863,326,1189,2146,55.41%,502,620,1122
"District Judge, 125th Judicial District",0331,884,234,1118,1612,69.35%,687,369,1056
"District Judge, 125th Judicial District",0332,1355,503,1858,2926,63.50%,184,1597,1781
"District Judge, 125th Judicial District",0333,1385,942,2327,3296,70.60%,1592,612,2204
"District Judge, 125th Judicial District",0334,246,104,350,786,44.53%,54,283,337
"District Judge, 125th Judicial District",0335,489,293,782,1679,46.58%,184,544,728
"District Judge, 125th Judicial District",0336,2489,689,3178,4771,66.61%,314,2770,3084
"District Judge, 125th Judicial District",0337,367,155,522,1108,47.11%,75,413,488
"District Judge, 125th Judicial District",0338,1626,632,2258,5001,45.15%,575,1568,2143
"District Judge, 125th Judicial District",0339,704,303,1007,1909,52.75%,189,750,939
"District Judge, 125th Judicial District",0340,2040,654,2694,4012,67.15%,1851,710,2561
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0341,380,278,658,1372,47.96%,148,473,621
"District Judge, 125th Judicial District",0342,311,225,536,1092,49.08%,108,401,509
"District Judge, 125th Judicial District",0343,722,370,1092,2099,52.02%,195,822,1017
"District Judge, 125th Judicial District",0344,381,207,588,1225,48.00%,20,542,562
"District Judge, 125th Judicial District",0345,575,349,924,1945,47.51%,179,688,867
"District Judge, 125th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 125th Judicial District",0347,1461,618,2079,3614,57.53%,1175,819,1994
"District Judge, 125th Judicial District",0348,830,242,1072,1796,59.69%,705,323,1028
"District Judge, 125th Judicial District",0349,458,369,827,1372,60.28%,483,315,798
"District Judge, 125th Judicial District",0350,1574,582,2256,3269,69.01%,752,1329,2081
"District Judge, 125th Judicial District",0351,2855,570,3425,4799,71.37%,2492,790,3282
"District Judge, 125th Judicial District",0352,2023,538,2561,4278,59.86%,1742,719,2461
"District Judge, 125th Judicial District",0353,1715,659,2374,4156,57.12%,401,1879,2280
"District Judge, 125th Judicial District",0354,1569,429,1998,3520,56.76%,453,1455,1908
"District Judge, 125th Judicial District",0355,821,239,1060,1714,61.84%,108,916,1024
"District Judge, 125th Judicial District",0356,1542,582,2124,3126,67.95%,1105,909,2014
"District Judge, 125th Judicial District",0357,1882,557,2439,3685,66.19%,1712,616,2328
"District Judge, 125th Judicial District",0358,775,376,1151,2634,43.70%,126,984,1110
"District Judge, 125th Judicial District",0359,803,496,1299,3320,39.13%,132,1127,1259
"District Judge, 125th Judicial District",0360,1858,597,2455,3309,74.19%,1077,1208,2285
"District Judge, 125th Judicial District",0361,323,688,1011,1808,55.92%,143,766,909
"District Judge, 125th Judicial District",0362,2865,553,3418,5161,66.23%,2329,940,3269
"District Judge, 125th Judicial District",0363,1826,635,2461,4160,59.16%,967,1419,2386
"District Judge, 125th Judicial District",0364,1190,528,1718,2827,60.77%,763,848,1611
"District Judge, 125th Judicial District",0365,827,174,1001,1348,74.26%,109,862,971
"District Judge, 125th Judicial District",0366,988,524,1512,2887,52.37%,327,1124,1451
"District Judge, 125th Judicial District",0367,453,204,657,1256,52.31%,151,474,625
"District Judge, 125th Judicial District",0368,433,122,555,1024,54.20%,143,393,536
"District Judge, 125th Judicial District",0369,132,29,161,678,23.75%,57,90,147
"District Judge, 125th Judicial District",0370,2525,627,3152,4531,69.57%,2215,807,3022
"District Judge, 125th Judicial District",0371,210,78,288,537,53.63%,12,270,282
"District Judge, 125th Judicial District",0372,509,180,689,1274,54.08%,75,591,666
"District Judge, 125th Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 125th Judicial District",0374,175,165,341,720,47.36%,78,246,324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0375,745,510,1255,2836,44.25%,414,771,1185
"District Judge, 125th Judicial District",0376,753,344,1097,2060,53.25%,391,641,1032
"District Judge, 125th Judicial District",0377,1381,643,2024,3137,64.52%,1497,429,1926
"District Judge, 125th Judicial District",0378,621,447,1068,1856,57.54%,640,382,1022
"District Judge, 125th Judicial District",0379,857,388,1245,2149,57.93%,113,1095,1208
"District Judge, 125th Judicial District",0380,2732,551,3283,4380,74.95%,1680,1478,3158
"District Judge, 125th Judicial District",0381,1185,432,1617,3141,51.48%,595,944,1539
"District Judge, 125th Judicial District",0382,429,206,635,1035,61.35%,385,222,607
"District Judge, 125th Judicial District",0383,722,458,1180,2373,49.73%,342,775,1117
"District Judge, 125th Judicial District",0384,1152,444,1596,2725,58.57%,336,1181,1517
"District Judge, 125th Judicial District",0385,1141,561,1702,2207,77.12%,1202,410,1612
"District Judge, 125th Judicial District",0386,1658,419,2077,3105,66.89%,1454,559,2013
"District Judge, 125th Judicial District",0387,1702,780,2482,4340,57.19%,1623,752,2375
"District Judge, 125th Judicial District",0388,2899,711,3510,5413,66.69%,1674,1799,3473
"District Judge, 125th Judicial District",0389,397,293,690,1359,50.77%,90,559,649
"District Judge, 125th Judicial District",0390,698,271,969,1482,65.38%,125,810,935
"District Judge, 125th Judicial District",0391,986,336,1322,1978,66.84%,749,513,1262
"District Judge, 125th Judicial District",0392,652,145,797,1426,55.89%,16,755,771
"District Judge, 125th Judicial District",0393,427,257,684,1274,53.69%,308,337,645
"District Judge, 125th Judicial District",0394,236,126,362,914,39.61%,117,226,343
"District Judge, 125th Judicial District",0395,1007,371,1378,1875,73.49%,887,421,1308
"District Judge, 125th Judicial District",0396,1035,204,1239,2072,59.80%,38,1160,1198
"District Judge, 125th Judicial District",0397,204,117,321,796,40.33%,110,189,299
"District Judge, 125th Judicial District",0398,1761,654,2415,4200,57.50%,1056,1243,2299
"District Judge, 125th Judicial District",0399,1291,546,1837,3340,55.00%,689,1082,1771
"District Judge, 125th Judicial District",0400,1457,372,1839,2661,69.11%,1157,615,1772
"District Judge, 125th Judicial District",0401,703,257,960,1971,48.71%,47,865,912
"District Judge, 125th Judicial District",0402,897,262,1159,1911,60.65%,72,1053,1125
"District Judge, 125th Judicial District",0403,959,387,1346,1719,78.30%,651,602,1253
"District Judge, 125th Judicial District",0404,1033,445,1478,2717,54.40%,679,744,1423
"District Judge, 125th Judicial District",0405,1910,457,2367,3067,77.18%,1746,550,2296
"District Judge, 125th Judicial District",0406,275,65,340,649,52.39%,13,315,328
"District Judge, 125th Judicial District",0407,1703,860,2563,3969,64.58%,1463,953,2416
"District Judge, 125th Judicial District",0408,520,313,833,1740,47.87%,245,540,785
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0409,501,280,781,1608,48.57%,237,496,733
"District Judge, 125th Judicial District",0410,381,96,477,934,51.07%,83,375,458
"District Judge, 125th Judicial District",0411,699,418,1117,2426,46.04%,265,784,1049
"District Judge, 125th Judicial District",0412,156,80,236,478,49.37%,12,216,228
"District Judge, 125th Judicial District",0413,1546,456,2002,3081,64.98%,698,1206,1904
"District Judge, 125th Judicial District",0414,1573,514,2087,3586,58.20%,1485,512,1997
"District Judge, 125th Judicial District",0415,1076,573,1649,2284,72.20%,1085,481,1566
"District Judge, 125th Judicial District",0416,1443,845,2288,4009,57.07%,1086,1084,2170
"District Judge, 125th Judicial District",0417,1104,397,1501,2589,57.98%,603,826,1429
"District Judge, 125th Judicial District",0418,1336,663,1999,3940,50.74%,629,1248,1877
"District Judge, 125th Judicial District",0419,1166,477,1643,2702,60.81%,912,656,1568
"District Judge, 125th Judicial District",0420,2687,731,3418,4946,69.11%,2722,571,3293
"District Judge, 125th Judicial District",0421,1240,273,1513,2023,74.79%,700,756,1456
"District Judge, 125th Judicial District",0422,1357,401,1758,3348,52.81%,61,1657,1718
"District Judge, 125th Judicial District",0423,31,e,288,604,1423,42.45%,123,453,576
"District Judge, 125th Judicial District",0424,548,158,706,1079,65.43%,349,325,674
"District Judge, 125th Judicial District",0425,257,139,396,878,45.10%,111,266,377
"District Judge, 125th Judicial District",0426,485,228,713,1266,56.32%,335,338,673
"District Judge, 125th Judicial District",0427,437,155,592,1120,52.86%,184,367,551
"District Judge, 125th Judicial District",0428,1588,855,2553,5151,49.56%,628,1788,2416
"District Judge, 125th Judicial District",0429,947,649,1596,3311,48.20%,324,1194,1518
"District Judge, 125th Judicial District",0430,524,291,815,1794,45.43%,132,625,757
"District Judge, 125th Judicial District",0431,1218,604,1822,3860,47.20%,373,1356,1729
"District Judge, 125th Judicial District",0432,456,249,705,1568,44.96%,203,457,660
"District Judge, 125th Judicial District",0433,163,88,251,561,44.74%,55,180,235
"District Judge, 125th Judicial District",0434,831,293,1124,1557,72.19%,592,456,1048
"District Judge, 125th Judicial District",0435,1951,567,2518,3363,74.87%,1473,899,2372
"District Judge, 125th Judicial District",0436,2008,678,2686,3809,70.52%,1402,1131,2533
"District Judge, 125th Judicial District",0437,1148,425,1573,2094,75.12%,991,505,1496
"District Judge, 125th Judicial District",0438,2288,475,2763,3789,72.92%,1808,815,2623
"District Judge, 125th Judicial District",0439,1854,749,2603,3701,70.33%,1669,795,2464
"District Judge, 125th Judicial District",0440,1498,749,2247,2973,75.58%,1627,503,2130
"District Judge, 125th Judicial District",0441,824,408,1232,1695,72.68%,817,354,1171
"District Judge, 125th Judicial District",0442,2441,685,3126,4315,72.44%,2473,521,2994
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0443,415,83,498,642,77.57%,341,131,472
"District Judge, 125th Judicial District",0444,1620,679,2299,3625,63.42%,1187,962,2149
"District Judge, 125th Judicial District",0445,1036,382,1418,2134,66.45%,811,532,1343
"District Judge, 125th Judicial District",0446,89,45,134,309,43.37%,44,86,130
"District Judge, 125th Judicial District",0447,2411,464,2875,3727,77.14%,1831,910,2741
"District Judge, 125th Judicial District",0448,1763,529,2292,3155,72.65%,1216,909,2125
"District Judge, 125th Judicial District",0449,73,26,99,225,44.00%,11,86,97
"District Judge, 125th Judicial District",0450,1104,394,1498,2890,51.83%,374,1071,1445
"District Judge, 125th Judicial District",0451,1719,367,2086,2771,75.28%,1603,411,2014
"District Judge, 125th Judicial District",0452,1871,662,2533,3789,66.85%,1670,759,2429
"District Judge, 125th Judicial District",0453,661,417,1078,2039,52.87%,282,731,1013
"District Judge, 125th Judicial District",0454,1043,288,1331,2509,53.05%,31,1259,1290
"District Judge, 125th Judicial District",0455,669,173,842,1713,49.15%,31,783,814
"District Judge, 125th Judicial District",0456,1404,553,1957,3793,51.60%,1018,845,1863
"District Judge, 125th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0458,914,253,1167,2025,57.63%,78,1045,1123
"District Judge, 125th Judicial District",0459,2362,432,2794,3942,70.88%,2070,613,2683
"District Judge, 125th Judicial District",0460,1613,472,2085,3280,63.57%,504,1511,2015
"District Judge, 125th Judicial District",0461,2242,669,2911,4054,71.81%,1701,1024,2725
"District Judge, 125th Judicial District",0462,1474,738,2212,3507,63.07%,706,1415,2121
"District Judge, 125th Judicial District",0463,1673,564,2237,3773,59.29%,831,1337,2168
"District Judge, 125th Judicial District",0464,967,582,1549,2343,66.11%,930,527,1457
"District Judge, 125th Judicial District",0465,1628,594,2222,3778,58.81%,978,1149,2127
"District Judge, 125th Judicial District",0466,2274,509,2783,4327,64.32%,1375,1300,2675
"District Judge, 125th Judicial District",0467,501,225,726,1320,55.00%,149,541,690
"District Judge, 125th Judicial District",0468,1379,747,2126,4040,52.62%,512,1510,2022
"District Judge, 125th Judicial District",0469,1867,462,2329,3257,71.51%,1739,492,2231
"District Judge, 125th Judicial District",0470,555,232,787,1358,57.95%,560,188,748
"District Judge, 125th Judicial District",0471,1057,458,1515,2473,61.26%,1116,341,1457
"District Judge, 125th Judicial District",0472,463,339,802,1131,70.91%,314,432,746
"District Judge, 125th Judicial District",0473,944,390,1334,1787,74.65%,868,395,1263
"District Judge, 125th Judicial District",0474,1417,624,2041,3127,65.27%,1309,647,1956
"District Judge, 125th Judicial District",0475,791,261,1052,1936,54.34%,401,594,995
"District Judge, 125th Judicial District",0476,1077,405,1482,2458,60.29%,746,665,1411
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0477,2027,640,2667,4010,66.51%,1778,760,2538
"District Judge, 125th Judicial District",0478,2271,683,2954,4696,62.90%,1787,1036,2823
"District Judge, 125th Judicial District",0479,1978,755,2733,3851,70.97%,1953,681,2634
"District Judge, 125th Judicial District",0480,1445,538,1983,2978,66.59%,1315,590,1905
"District Judge, 125th Judicial District",0481,1756,667,2423,3609,67.14%,1698,601,2299
"District Judge, 125th Judicial District",0482,2259,618,2877,4405,65.31%,1887,869,2756
"District Judge, 125th Judicial District",0483,2305,538,2843,4495,63.25%,1403,1296,2699
"District Judge, 125th Judicial District",0484,2020,700,2720,3981,68.32%,1670,941,2611
"District Judge, 125th Judicial District",0485,2118,567,2685,4051,66.28%,1875,718,2593
"District Judge, 125th Judicial District",0486,2310,721,3031,4195,72.25%,2241,671,2912
"District Judge, 125th Judicial District",0487,1405,527,1932,4142,46.64%,457,1311,1768
"District Judge, 125th Judicial District",0488,842,511,1353,2382,56.80%,372,916,1288
"District Judge, 125th Judicial District",0489,865,344,1209,1958,61.75%,326,828,1154
"District Judge, 125th Judicial District",0490,980,346,1326,2105,62.99%,387,869,1256
"District Judge, 125th Judicial District",0491,937,488,1425,2110,67.54%,724,620,1344
"District Judge, 125th Judicial District",0492,1217,396,1613,2552,63.21%,778,766,1544
"District Judge, 125th Judicial District",0493,1404,555,1959,3338,58.69%,694,1145,1839
"District Judge, 125th Judicial District",0494,1079,419,1498,2787,53.75%,184,1260,1444
"District Judge, 125th Judicial District",0495,1414,376,1790,2488,71.95%,1162,532,1694
"District Judge, 125th Judicial District",0496,687,549,1236,2325,53.16%,414,763,1177
"District Judge, 125th Judicial District",0497,915,281,1197,2148,55.73%,54,1105,1159
"District Judge, 125th Judicial District",0498,1069,423,1492,2527,59.04%,491,925,1416
"District Judge, 125th Judicial District",0499,1433,397,1830,2336,78.34%,1229,515,1744
"District Judge, 125th Judicial District",0500,1869,651,2520,3698,68.14%,1528,882,2410
"District Judge, 125th Judicial District",0501,1146,406,1552,2016,76.98%,598,859,1457
"District Judge, 125th Judicial District",0502,1,355,293,1559,2595,63.93%,1247,335,1582
"District Judge, 125th Judicial District",0503,1397,306,1703,2236,76.16%,1244,372,1616
"District Judge, 125th Judicial District",0504,1270,482,1752,2318,75.58%,1064,597,1661
"District Judge, 125th Judicial District",0505,1750,735,2485,4076,60.97%,1047,1278,2325
"District Judge, 125th Judicial District",0506,1513,696,2209,3544,62.33%,338,1797,2135
"District Judge, 125th Judicial District",0507,599,319,918,2562,35.83%,198,615,813
"District Judge, 125th Judicial District",0508,1519,828,2347,4767,49.23%,635,1537,2172
"District Judge, 125th Judicial District",0509,2504,669,3173,5153,61.58%,1951,1099,3050
"District Judge, 125th Judicial District",0510,1701,666,2367,3822,61.93%,972,1310,2282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0511,2933,574,3507,4620,75.91%,2088,1294,3382
"District Judge, 125th Judicial District",0512,1668,871,2539,4559,55.69%,949,1482,2431
"District Judge, 125th Judicial District",0513,1754,413,2187,3003,72.16%,1499,572,2071
"District Judge, 125th Judicial District",0514,2288,613,2899,4378,66.22%,1932,839,2771
"District Judge, 125th Judicial District",0515,1836,468,2304,3182,72.41%,1776,432,2208
"District Judge, 125th Judicial District",0516,1316,363,1679,2799,59.99%,800,809,1609
"District Judge, 125th Judicial District",0517,1610,509,2119,3744,56.60%,901,1127,2028
"District Judge, 125th Judicial District",0518,1886,676,2562,4049,63.27%,1443,999,2442
"District Judge, 125th Judicial District",0519,1421,518,1939,3098,62.59%,1295,563,1858
"District Judge, 125th Judicial District",0520,1788,670,2456,5202,47.21%,389,2008,2397
"District Judge, 125th Judicial District",0521,1350,578,1928,3070,62.80%,882,972,1854
"District Judge, 125th Judicial District",0522,1508,464,1972,2815,70.05%,1397,515,1912
"District Judge, 125th Judicial District",0523,1978,537,2515,4027,62.45%,1488,887,2375
"District Judge, 125th Judicial District",0524,1392,637,2029,3598,56.39%,528,1411,1939
"District Judge, 125th Judicial District",0525,1440,574,2014,3260,61.78%,409,1507,1916
"District Judge, 125th Judicial District",0526,235,157,392,820,47.80%,88,280,368
"District Judge, 125th Judicial District",0527,156,38,194,580,33.45%,72,110,182
"District Judge, 125th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 125th Judicial District",0529,2107,434,2541,3842,66.14%,2064,368,2432
"District Judge, 125th Judicial District",0530,375,212,587,1236,47.49%,116,422,538
"District Judge, 125th Judicial District",0531,1234,166,1400,2250,62.22%,1004,323,1327
"District Judge, 125th Judicial District",0532,478,140,618,1058,58.41%,409,197,606
"District Judge, 125th Judicial District",0533,352,169,521,1164,44.76%,254,237,491
"District Judge, 125th Judicial District",0534,1895,577,2472,3918,63.09%,1675,682,2357
"District Judge, 125th Judicial District",0535,132,62,194,413,46.97%,57,122,179
"District Judge, 125th Judicial District",0536,2104,1053,3157,5637,56.00%,992,1985,2977
"District Judge, 125th Judicial District",0537,1958,464,2422,3174,76.31%,1668,654,2322
"District Judge, 125th Judicial District",0538,371,203,574,1332,43.09%,16,545,561
"District Judge, 125th Judicial District",0539,811,234,1045,1535,68.08%,551,442,993
"District Judge, 125th Judicial District",0540,997,349,1346,1759,76.52%,442,807,1249
"District Judge, 125th Judicial District",0541,2157,761,2918,5001,58.35%,462,2330,2792
"District Judge, 125th Judicial District",0542,1156,406,1562,2654,58.85%,102,1406,1508
"District Judge, 125th Judicial District",0543,553,321,874,1658,52.71%,202,624,826
"District Judge, 125th Judicial District",0544,84,54,138,313,44.09%,14,120,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0545,2015,468,2483,3949,62.88%,1067,1282,2349
"District Judge, 125th Judicial District",0546,1524,278,1802,2471,72.93%,1484,269,1753
"District Judge, 125th Judicial District",0547,1413,270,1683,2534,66.42%,1089,520,1609
"District Judge, 125th Judicial District",0548,882,395,1277,2339,54.60%,549,685,1234
"District Judge, 125th Judicial District",0549,1105,447,1552,2786,55.71%,192,1324,1516
"District Judge, 125th Judicial District",0550,1171,553,1724,3245,53.13%,710,957,1667
"District Judge, 125th Judicial District",0551,2586,793,3379,4428,76.31%,2475,761,3236
"District Judge, 125th Judicial District",0552,2090,784,2874,3762,76.40%,2244,518,2762
"District Judge, 125th Judicial District",0553,962,317,1279,2193,58.32%,475,763,1238
"District Judge, 125th Judicial District",0554,597,271,868,1774,48.93%,165,667,832
"District Judge, 125th Judicial District",0555,639,390,1029,2286,45.01%,169,815,984
"District Judge, 125th Judicial District",0556,759,435,1194,2491,47.93%,232,911,1143
"District Judge, 125th Judicial District",0557,925,460,1385,2955,46.87%,377,897,1274
"District Judge, 125th Judicial District",0558,1812,721,2533,4718,53.69%,735,1697,2432
"District Judge, 125th Judicial District",0559,1901,701,2602,4984,52.21%,567,1918,2485
"District Judge, 125th Judicial District",0560,290,247,537,1141,47.06%,94,409,503
"District Judge, 125th Judicial District",0561,1023,624,1647,3138,52.49%,928,636,1564
"District Judge, 125th Judicial District",0562,222,116,338,691,48.91%,38,270,308
"District Judge, 125th Judicial District",0563,2069,337,2406,3468,69.38%,1794,515,2309
"District Judge, 125th Judicial District",0564,1551,526,2077,3240,64.10%,528,1434,1962
"District Judge, 125th Judicial District",0565,335,148,484,1414,34.23%,79,382,461
"District Judge, 125th Judicial District",0566,1183,441,1624,3029,53.62%,394,1159,1553
"District Judge, 125th Judicial District",0567,965,390,1355,2851,47.53%,314,946,1260
"District Judge, 125th Judicial District",0568,1833,697,2530,3638,69.54%,1528,840,2368
"District Judge, 125th Judicial District",0569,2027,747,2774,4125,67.25%,1263,1340,2603
"District Judge, 125th Judicial District",0570,766,278,1044,1598,65.33%,354,616,970
"District Judge, 125th Judicial District",0571,521,314,835,1950,42.82%,243,552,795
"District Judge, 125th Judicial District",0572,1522,444,1966,3308,59.43%,818,1053,1871
"District Judge, 125th Judicial District",0573,489,215,704,1625,43.32%,16,676,692
"District Judge, 125th Judicial District",0574,112,74,186,391,47.57%,23,155,178
"District Judge, 125th Judicial District",0575,1905,535,2440,3557,68.60%,1315,1018,2333
"District Judge, 125th Judicial District",0576,1107,375,1482,2830,52.37%,85,1347,1432
"District Judge, 125th Judicial District",0577,885,205,1090,1586,68.73%,606,420,1026
"District Judge, 125th Judicial District",0578,1026,405,1431,1862,76.85%,817,521,1338
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0579,287,181,468,1139,41.09%,80,362,442
"District Judge, 125th Judicial District",0580,366,108,474,985,48.12%,21,446,467
"District Judge, 125th Judicial District",0581,456,137,593,1033,57.41%,20,553,573
"District Judge, 125th Judicial District",0582,543,232,775,1607,48.23%,48,694,742
"District Judge, 125th Judicial District",0583,433,155,588,1286,45.72%,19,555,574
"District Judge, 125th Judicial District",0584,367,120,487,1062,45.86%,37,428,465
"District Judge, 125th Judicial District",0585,829,280,1109,2346,47.27%,53,1018,1071
"District Judge, 125th Judicial District",0586,1790,790,2580,4521,57.07%,1414,1055,2469
"District Judge, 125th Judicial District",0587,1204,431,1635,2870,56.97%,525,1048,1573
"District Judge, 125th Judicial District",0588,1940,606,2546,3780,67.35%,1635,810,2445
"District Judge, 125th Judicial District",0589,1539,545,2084,3780,55.13%,961,1038,1999
"District Judge, 125th Judicial District",0590,1230,400,1630,2176,74.91%,1187,368,1555
"District Judge, 125th Judicial District",0591,651,462,1113,2274,48.94%,267,785,1052
"District Judge, 125th Judicial District",0592,449,272,721,1446,49.86%,144,541,685
"District Judge, 125th Judicial District",0593,1581,755,2316,4179,55.42%,875,1318,2193
"District Judge, 125th Judicial District",0594,1243,316,1559,2578,60.47%,404,1112,1516
"District Judge, 125th Judicial District",0595,600,299,899,1833,49.05%,139,727,866
"District Judge, 125th Judicial District",0596,1377,501,1878,3574,52.55%,824,949,1773
"District Judge, 125th Judicial District",0597,1204,609,1813,3587,50.54%,607,1109,1716
"District Judge, 125th Judicial District",0598,2389,731,3120,5253,59.39%,1036,1948,2984
"District Judge, 125th Judicial District",0599,1378,493,1871,3005,62.26%,624,1192,1816
"District Judge, 125th Judicial District",0600,1602,776,2378,4204,56.57%,769,1491,2260
"District Judge, 125th Judicial District",0601,2220,670,2890,4151,69.62%,2034,752,2786
"District Judge, 125th Judicial District",0602,754,234,988,1441,68.56%,645,301,946
"District Judge, 125th Judicial District",0603,2335,725,3060,4666,65.58%,1705,1226,2931
"District Judge, 125th Judicial District",0604,1816,375,2191,3189,68.70%,1783,308,2091
"District Judge, 125th Judicial District",0605,1711,599,2310,4217,54.78%,516,1682,2198
"District Judge, 125th Judicial District",0606,319,111,430,970,44.33%,9,408,417
"District Judge, 125th Judicial District",0607,163,51,214,712,30.06%,25,180,205
"District Judge, 125th Judicial District",0608,156,77,233,570,40.88%,74,145,219
"District Judge, 125th Judicial District",0609,2037,729,2766,4305,64.25%,1545,1095,2640
"District Judge, 125th Judicial District",0610,665,343,1008,2086,48.32%,392,555,947
"District Judge, 125th Judicial District",0611,980,229,1209,2527,47.84%,53,1130,1183
"District Judge, 125th Judicial District",0612,1927,431,2358,3388,69.60%,1707,540,2247
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0613,937,339,1276,2368,53.89%,210,1017,1227
"District Judge, 125th Judicial District",0614,1949,645,2594,4566,56.81%,739,1729,2468
"District Judge, 125th Judicial District",0615,1075,301,1376,2086,65.96%,697,620,1317
"District Judge, 125th Judicial District",0616,1809,611,2420,3516,68.83%,1551,751,2302
"District Judge, 125th Judicial District",0617,1704,650,2354,4179,56.33%,768,1490,2258
"District Judge, 125th Judicial District",0618,1698,545,2243,3801,59.01%,895,1269,2164
"District Judge, 125th Judicial District",0619,2792,663,3455,4916,70.28%,2433,920,3353
"District Judge, 125th Judicial District",0620,1747,333,2080,3318,62.69%,1016,966,1982
"District Judge, 125th Judicial District",0621,536,200,736,1272,57.86%,292,400,692
"District Judge, 125th Judicial District",0622,2129,591,2720,4562,59.62%,1409,1179,2588
"District Judge, 125th Judicial District",0623,1960,461,2421,3919,61.78%,1472,841,2313
"District Judge, 125th Judicial District",0624,297,59,356,456,78.07%,262,81,343
"District Judge, 125th Judicial District",0625,924,372,1296,1864,69.53%,665,566,1231
"District Judge, 125th Judicial District",0626,2280,784,3054,4816,63.62%,1526,1383,2909
"District Judge, 125th Judicial District",0627,935,649,1584,3235,48.96%,400,1105,1505
"District Judge, 125th Judicial District",0628,716,545,1261,2420,52.11%,419,763,1182
"District Judge, 125th Judicial District",0629,162,96,258,750,34.40%,34,213,247
"District Judge, 125th Judicial District",0630,2662,541,3203,4738,67.60%,336,2781,3117
"District Judge, 125th Judicial District",0631,1841,398,2239,3263,68.62%,1416,722,2138
"District Judge, 125th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 125th Judicial District",0633,2285,601,2887,3912,73.80%,1905,867,2772
"District Judge, 125th Judicial District",0634,1435,499,1934,3259,59.34%,1062,794,1856
"District Judge, 125th Judicial District",0635,1645,520,2165,3512,61.65%,1553,510,2063
"District Judge, 125th Judicial District",0636,2303,922,3225,4569,70.58%,2744,368,3112
"District Judge, 125th Judicial District",0637,1095,423,1518,2591,58.59%,305,1095,1400
"District Judge, 125th Judicial District",0638,850,348,1198,2310,51.86%,103,1065,1168
"District Judge, 125th Judicial District",0639,1385,284,1670,2560,65.23%,1252,342,1594
"District Judge, 125th Judicial District",0640,1619,615,2234,3927,56.89%,1221,927,2148
"District Judge, 125th Judicial District",0641,1637,683,2320,3840,60.42%,1320,896,2216
"District Judge, 125th Judicial District",0642,1030,270,1300,1783,72.91%,988,264,1252
"District Judge, 125th Judicial District",0643,1948,593,2541,4189,60.66%,1164,1280,2444
"District Judge, 125th Judicial District",0644,2087,689,2776,4446,62.44%,1554,1115,2669
"District Judge, 125th Judicial District",0645,2145,769,2914,4517,64.51%,1151,1615,2766
