Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0074,2503,268,2771,3578,77.45%,2032,608,2640
"District Judge, 339th Judicial District",0075,1000,286,1286,1684,76.37%,563,621,1184
"District Judge, 339th Judicial District",0076,1015,427,1442,2441,59.07%,680,680,1360
"District Judge, 339th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 339th Judicial District",0078,618,254,872,1608,54.23%,204,593,797
"District Judge, 339th Judicial District",0079,831,602,1433,2963,48.36%,233,1084,1317
"District Judge, 339th Judicial District",0080,1174,466,1640,2840,57.75%,347,1199,1546
"District Judge, 339th Judicial District",0081,776,273,1049,1964,53.41%,293,695,988
"District Judge, 339th Judicial District",0082,1585,756,2341,3539,66.15%,1650,590,2240
"District Judge, 339th Judicial District",0083,1829,540,2369,4174,56.76%,866,1404,2270
"District Judge, 339th Judicial District",0084,573,257,830,1421,58.41%,569,230,799
"District Judge, 339th Judicial District",0085,587,329,916,2169,42.23%,42,840,882
"District Judge, 339th Judicial District",0086,2032,493,2525,3449,73.21%,1143,1212,2355
"District Judge, 339th Judicial District",0087,1451,719,2170,2839,76.44%,1295,736,2031
"District Judge, 339th Judicial District",0088,338,141,479,784,61.10%,307,144,451
"District Judge, 339th Judicial District",0089,398,424,822,1094,75.14%,419,332,751
"District Judge, 339th Judicial District",0090,1856,890,2746,3883,70.72%,1969,649,2618
"District Judge, 339th Judicial District",0091,673,339,1012,1724,58.70%,555,387,942
"District Judge, 339th Judicial District",0092,1263,474,1737,2260,76.86%,1086,543,1629
"District Judge, 339th Judicial District",0093,1048,619,1667,3536,47.14%,458,1120,1578
"District Judge, 339th Judicial District",0094,202,63,265,580,45.69%,46,205,251
"District Judge, 339th Judicial District",0095,2022,534,2556,3394,75.31%,1591,830,2421
"District Judge, 339th Judicial District",0096,828,306,1134,2060,55.05%,153,931,1084
"District Judge, 339th Judicial District",0097,2511,467,2978,4414,67.47%,2170,661,2831
"District Judge, 339th Judicial District",0098,1385,594,1979,3161,62.61%,1593,304,1897
"District Judge, 339th Judicial District",0099,681,295,976,2192,44.53%,401,525,926
"District Judge, 339th Judicial District",0100,529,276,805,1825,44.11%,320,453,773
"District Judge, 339th Judicial District",0101,221,129,350,988,35.43%,79,254,333
"District Judge, 339th Judicial District",0102,580,227,807,1907,42.32%,193,566,759
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0103,2140,985,3125,5097,61.31%,1475,1542,3017
"District Judge, 339th Judicial District",0104,913,211,1124,1920,58.54%,27,1064,1091
"District Judge, 339th Judicial District",0105,709,433,1142,2304,49.57%,271,791,1062
"District Judge, 339th Judicial District",0106,73,59,132,299,44.15%,40,89,129
"District Judge, 339th Judicial District",0107,592,403,995,2230,44.62%,144,808,952
"District Judge, 339th Judicial District",0108,1461,448,1909,3674,51.96%,885,903,1788
"District Judge, 339th Judicial District",0109,1098,278,1376,2909,47.30%,31,1298,1329
"District Judge, 339th Judicial District",0110,1661,481,2142,3222,66.48%,1195,855,2050
"District Judge, 339th Judicial District",0111,2699,866,3565,4792,74.39%,2416,976,3392
"District Judge, 339th Judicial District",0112,1507,598,2105,3188,66.03%,1350,654,2004
"District Judge, 339th Judicial District",0113,1307,418,1725,2718,63.47%,874,784,1658
"District Judge, 339th Judicial District",0114,2290,506,2796,3885,71.97%,1982,685,2667
"District Judge, 339th Judicial District",0115,609,272,881,1843,47.80%,81,762,843
"District Judge, 339th Judicial District",0116,1898,599,2497,3194,78.18%,1818,559,2377
"District Judge, 339th Judicial District",0117,573,379,952,1900,50.11%,315,573,888
"District Judge, 339th Judicial District",0118,1823,530,2353,3181,73.97%,1199,1028,2227
"District Judge, 339th Judicial District",0119,2755,409,3164,4682,67.58%,2401,615,3016
"District Judge, 339th Judicial District",0120,1804,588,2392,3732,64.09%,1383,885,2268
"District Judge, 339th Judicial District",0121,354,221,575,966,59.52%,347,210,557
"District Judge, 339th Judicial District",0122,732,284,1016,1904,53.36%,50,922,972
"District Judge, 339th Judicial District",0123,749,287,1036,1585,65.36%,265,711,976
