Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0318,1726,529,2255,3776,59.72%,121,2051,2172
"District Judge, 339th Judicial District",0319,994,271,1265,2199,57.53%,73,1152,1225
"District Judge, 339th Judicial District",0320,554,238,792,1570,50.45%,277,468,745
"District Judge, 339th Judicial District",0321,857,363,1230,2483,49.54%,323,809,1132
"District Judge, 339th Judicial District",0322,426,124,550,1210,45.45%,154,376,530
"District Judge, 339th Judicial District",0323,700,296,996,1793,55.55%,365,579,944
"District Judge, 339th Judicial District",0324,1444,560,2004,2607,76.87%,1193,686,1879
"District Judge, 339th Judicial District",0325,802,257,1059,2176,48.67%,178,815,993
"District Judge, 339th Judicial District",0326,271,129,400,736,54.35%,133,234,367
"District Judge, 339th Judicial District",0327,738,141,879,1758,50.00%,28,819,847
"District Judge, 339th Judicial District",0328,425,286,711,1631,43.59%,207,466,673
"District Judge, 339th Judicial District",0329,589,260,849,1621,52.38%,237,563,800
"District Judge, 339th Judicial District",0330,863,326,1189,2146,55.41%,506,616,1122
"District Judge, 339th Judicial District",0331,884,234,1118,1612,69.35%,680,375,1055
"District Judge, 339th Judicial District",0332,1355,503,1858,2926,63.50%,176,1600,1776
"District Judge, 339th Judicial District",0333,1385,942,2327,3296,70.60%,1608,582,2190
"District Judge, 339th Judicial District",0334,246,104,350,786,44.53%,56,278,334
"District Judge, 339th Judicial District",0335,489,293,782,1679,46.58%,184,539,723
"District Judge, 339th Judicial District",0336,2489,689,3178,4771,66.61%,310,2768,3078
"District Judge, 339th Judicial District",0337,367,155,522,1108,47.11%,72,417,489
"District Judge, 339th Judicial District",0338,1626,632,2258,5001,45.15%,578,1565,2143
"District Judge, 339th Judicial District",0339,704,303,1007,1909,52.75%,192,744,936
"District Judge, 339th Judicial District",0340,2040,654,2694,4012,67.15%,1854,699,2553
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0341,380,278,658,1372,47.96%,144,475,619
"District Judge, 339th Judicial District",0342,311,225,536,1092,49.08%,108,398,506
"District Judge, 339th Judicial District",0343,722,370,1092,2099,52.02%,202,812,1014
"District Judge, 339th Judicial District",0344,381,207,588,1225,48.00%,19,538,557
"District Judge, 339th Judicial District",0345,575,349,924,1945,47.51%,169,692,861
"District Judge, 339th Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 339th Judicial District",0347,1461,618,2079,3614,57.53%,1177,815,1992
"District Judge, 339th Judicial District",0348,830,242,1072,1796,59.69%,716,313,1029
"District Judge, 339th Judicial District",0349,458,369,827,1372,60.28%,483,310,793
"District Judge, 339th Judicial District",0350,1674,582,2256,3269,69.01%,770,1295,2065
"District Judge, 339th Judicial District",0351,2855,570,3425,4799,71.37%,2530,748,3278
"District Judge, 339th Judicial District",0352,2023,538,2561,4278,59.86%,1739,714,2453
"District Judge, 339th Judicial District",0353,1715,659,2374,4156,57.12%,386,1894,2280
"District Judge, 339th Judicial District",0354,1569,429,1998,3520,56.76%,441,1450,1891
"District Judge, 339th Judicial District",0355,821,239,1060,1714,61.84%,109,915,1024
"District Judge, 339th Judicial District",0356,1542,582,2124,3126,67.95%,1114,884,1998
"District Judge, 339th Judicial District",0357,1882,557,2439,3685,66.19%,1715,592,2307
"District Judge, 339th Judicial District",0358,775,376,1151,2634,43.70%,116,989,1105
"District Judge, 339th Judicial District",0359,803,496,1299,3320,39.13%,128,1127,1255
"District Judge, 339th Judicial District",0360,1858,597,2455,3309,74.19%,1110,1156,2266
"District Judge, 339th Judicial District",0361,323,688,1011,1808,55.92%,136,766,902
"District Judge, 339th Judicial District",0362,2865,553,3418,5161,66.23%,2318,947,3265
"District Judge, 339th Judicial District",0363,1826,635,2461,4160,59.16%,949,1432,2381
"District Judge, 339th Judicial District",0364,1190,528,1718,2827,60.77%,762,848,1610
"District Judge, 339th Judicial District",0365,827,174,1001,1348,74.26%,109,866,975
"District Judge, 339th Judicial District",0366,988,524,1512,2887,52.37%,297,1146,1443
"District Judge, 339th Judicial District",0367,453,204,657,1256,52.31%,150,469,619
"District Judge, 339th Judicial District",0368,433,122,555,1024,54.20%,143,391,534
"District Judge, 339th Judicial District",0369,132,29,161,678,23.75%,58,90,148
"District Judge, 339th Judicial District",0370,2525,627,3152,4531,69.57%,2209,803,3012
"District Judge, 339th Judicial District",0371,210,78,288,537,53.63%,11,271,282
"District Judge, 339th Judicial District",0372,509,180,689,1274,54.08%,71,591,662
"District Judge, 339th Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 339th Judicial District",0374,176,165,341,720,47.36%,85,238,323
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0375,745,510,1255,2836,44.25%,419,762,1181
"District Judge, 339th Judicial District",0376,753,344,1097,2060,53.25%,394,635,1029
"District Judge, 339th Judicial District",0377,1381,643,2024,3137,64.52%,1508,417,1925
"District Judge, 339th Judicial District",0378,621,447,1068,1856,57.54%,636,380,1016
"District Judge, 339th Judicial District",0379,857,388,1245,2149,57.93%,106,1100,1206
"District Judge, 339th Judicial District",0380,2732,551,3283,4380,74.95%,1679,1474,3153
"District Judge, 339th Judicial District",0381,1185,432,1617,3141,51.48%,598,932,1530
"District Judge, 339th Judicial District",0382,429,206,635,1035,61.35%,388,220,608
"District Judge, 339th Judicial District",0383,722,458,1180,2373,49.73%,339,776,1115
"District Judge, 339th Judicial District",0384,1152,444,1596,2725,58.57%,339,1178,1517
"District Judge, 339th Judicial District",0385,1141,561,1702,2207,77.12%,1237,377,1614
"District Judge, 339th Judicial District",0386,1658,419,2077,3105,66.89%,1441,565,2006
"District Judge, 339th Judicial District",0387,1702,780,2482,4340,57.19%,1627,730,2357
"District Judge, 339th Judicial District",0388,2899,711,3510,5413,66.69%,1667,1804,3471
"District Judge, 339th Judicial District",0389,397,293,690,1359,50.77%,85,558,643
"District Judge, 339th Judicial District",0390,698,271,969,1482,65.38%,125,809,934
"District Judge, 339th Judicial District",0391,986,336,1322,1978,66.84%,746,514,1260
"District Judge, 339th Judicial District",0392,652,145,797,1426,55.89%,12,762,774
"District Judge, 339th Judicial District",0393,427,257,684,1274,53.69%,307,337,644
"District Judge, 339th Judicial District",0394,236,126,362,914,39.61%,117,224,341
"District Judge, 339th Judicial District",0395,1007,371,1378,1875,73.49%,902,395,1297
"District Judge, 339th Judicial District",0396,1035,204,1239,2072,59.80%,33,1164,1197
"District Judge, 339th Judicial District",0397,204,117,321,796,40.33%,105,194,299
"District Judge, 339th Judicial District",0398,1761,654,2415,4200,57.50%,1044,1255,2299
"District Judge, 339th Judicial District",0399,1291,546,1837,3340,55.00%,672,1099,1771
"District Judge, 339th Judicial District",0400,1457,372,1839,2661,69.11%,1165,599,1764
"District Judge, 339th Judicial District",0401,703,257,960,1971,48.71%,51,865,916
"District Judge, 339th Judicial District",0402,897,262,1159,1911,60.65%,67,1056,1123
"District Judge, 339th Judicial District",0403,959,387,1346,1719,78.30%,674,559,1233
"District Judge, 339th Judicial District",0404,1033,445,1478,2717,54.40%,693,728,1421
"District Judge, 339th Judicial District",0405,1910,457,2367,3067,77.18%,1744,556,2300
"District Judge, 339th Judicial District",0406,275,65,340,649,52.39%,9,321,330
"District Judge, 339th Judicial District",0407,1703,860,2563,3969,64.58%,1464,948,2412
"District Judge, 339th Judicial District",0408,520,313,833,1740,47.87%,248,528,776
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0409,501,280,781,1608,48.57%,226,510,736
"District Judge, 339th Judicial District",0410,381,96,477,934,51.07%,86,372,458
"District Judge, 339th Judicial District",0411,699,418,1117,2426,46.04%,273,775,1048
"District Judge, 339th Judicial District",0412,156,80,236,478,49.37%,8,219,227
"District Judge, 339th Judicial District",0413,1546,456,2002,3081,64.98%,716,1178,1894
"District Judge, 339th Judicial District",0414,1573,514,2087,3586,58.20%,1488,504,1992
"District Judge, 339th Judicial District",0415,1076,573,1649,2284,72.20%,1067,489,1556
"District Judge, 339th Judicial District",0416,1443,845,2288,4009,57.07%,1083,1075,2158
"District Judge, 339th Judicial District",0417,1104,397,1501,2589,57.98%,612,813,1425
"District Judge, 339th Judicial District",0418,1336,663,1999,3940,50.74%,617,1253,1870
"District Judge, 339th Judicial District",0419,1166,477,1643,2702,60.81%,929,639,1568
"District Judge, 339th Judicial District",0420,2687,731,3418,4946,69.11%,2723,551,3274
"District Judge, 339th Judicial District",0421,1240,273,1513,2023,74.79%,687,763,1450
"District Judge, 339th Judicial District",0422,1357,401,1758,3348,52.81%,56,1659,1715
"District Judge, 339th Judicial District",0423,31,e,288,604,1423,42.45%,127,449,576
"District Judge, 339th Judicial District",0424,548,158,706,1079,65.43%,353,312,665
"District Judge, 339th Judicial District",0425,257,139,396,878,45.10%,107,269,376
"District Judge, 339th Judicial District",0426,485,228,713,1266,56.32%,348,322,670
"District Judge, 339th Judicial District",0427,437,155,592,1120,52.86%,187,366,553
"District Judge, 339th Judicial District",0428,1588,855,2553,5151,49.56%,624,1788,2412
"District Judge, 339th Judicial District",0429,947,649,1596,3311,48.20%,324,1198,1522
"District Judge, 339th Judicial District",0430,524,291,815,1794,45.43%,135,622,757
"District Judge, 339th Judicial District",0431,1218,604,1822,3860,47.20%,371,1361,1732
"District Judge, 339th Judicial District",0432,456,249,705,1568,44.96%,198,455,653
"District Judge, 339th Judicial District",0433,163,88,251,561,44.74%,53,184,237
"District Judge, 339th Judicial District",0434,831,293,1124,1557,72.19%,603,431,1034
"District Judge, 339th Judicial District",0435,1951,567,2518,3363,74.87%,1512,846,2358
"District Judge, 339th Judicial District",0436,2008,678,2686,3809,70.52%,1405,1104,2509
"District Judge, 339th Judicial District",0437,1148,425,1573,2094,75.12%,1002,488,1490
"District Judge, 339th Judicial District",0438,2288,475,2763,3789,72.92%,1812,789,2601
"District Judge, 339th Judicial District",0439,1854,749,2603,3701,70.33%,1671,775,2446
"District Judge, 339th Judicial District",0440,1498,749,2247,2973,75.58%,1652,461,2113
"District Judge, 339th Judicial District",0441,824,408,1232,1695,72.68%,828,329,1157
"District Judge, 339th Judicial District",0442,2441,685,3126,4315,72.44%,2469,522,2991
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0443,415,83,498,642,77.57%,346,124,470
"District Judge, 339th Judicial District",0444,1620,679,2299,3625,63.42%,1196,958,2154
"District Judge, 339th Judicial District",0445,1036,382,1418,2134,66.45%,821,521,1342
"District Judge, 339th Judicial District",0446,89,45,134,309,43.37%,47,82,129
"District Judge, 339th Judicial District",0447,2411,464,2875,3727,77.14%,1829,898,2727
"District Judge, 339th Judicial District",0448,1763,529,2292,3155,72.65%,1224,887,2111
"District Judge, 339th Judicial District",0449,73,26,99,225,44.00%,10,87,97
"District Judge, 339th Judicial District",0450,1104,394,1498,2890,51.83%,371,1064,1435
"District Judge, 339th Judicial District",0451,1719,367,2086,2771,75.28%,1620,382,2002
"District Judge, 339th Judicial District",0452,1871,662,2533,3789,66.85%,1662,755,2417
"District Judge, 339th Judicial District",0453,661,417,1078,2039,52.87%,279,735,1014
"District Judge, 339th Judicial District",0454,1043,288,1331,2509,53.05%,25,1265,1290
"District Judge, 339th Judicial District",0455,669,173,842,1713,49.15%,32,779,811
"District Judge, 339th Judicial District",0456,1404,553,1957,3793,51.60%,1021,840,1861
"District Judge, 339th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0458,914,253,1167,2025,57.63%,78,1040,1118
"District Judge, 339th Judicial District",0459,2362,432,2794,3942,70.88%,2069,601,2670
"District Judge, 339th Judicial District",0460,1613,472,2085,3280,63.57%,487,1518,2005
"District Judge, 339th Judicial District",0461,2242,669,2911,4054,71.81%,1710,1000,2710
"District Judge, 339th Judicial District",0462,1474,738,2212,3507,63.07%,723,1391,2114
"District Judge, 339th Judicial District",0463,1673,564,2237,3773,59.29%,836,1329,2165
"District Judge, 339th Judicial District",0464,967,582,1549,2343,66.11%,932,519,1451
"District Judge, 339th Judicial District",0465,1628,594,2222,3778,58.81%,962,1163,2125
"District Judge, 339th Judicial District",0466,2274,509,2783,4327,64.32%,1375,1295,2670
"District Judge, 339th Judicial District",0467,501,225,726,1320,55.00%,141,545,686
"District Judge, 339th Judicial District",0468,1379,747,2126,4040,52.62%,487,1529,2016
"District Judge, 339th Judicial District",0469,1867,462,2329,3257,71.51%,1745,473,2218
"District Judge, 339th Judicial District",0470,555,232,787,1358,57.95%,557,196,753
"District Judge, 339th Judicial District",0471,1057,458,1515,2473,61.26%,1114,337,1451
"District Judge, 339th Judicial District",0472,463,339,802,1131,70.91%,333,409,742
"District Judge, 339th Judicial District",0473,944,390,1334,1787,74.65%,881,383,1264
"District Judge, 339th Judicial District",0474,1417,624,2041,3127,65.27%,1304,645,1949
"District Judge, 339th Judicial District",0475,791,261,1052,1936,54.34%,402,591,993
"District Judge, 339th Judicial District",0476,1077,405,1482,2458,60.29%,750,660,1410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0477,2027,640,2667,4010,66.51%,1782,752,2534
"District Judge, 339th Judicial District",0478,2271,683,2954,4696,62.90%,1790,1022,2812
"District Judge, 339th Judicial District",0479,1978,755,2733,3851,70.97%,1947,680,2627
"District Judge, 339th Judicial District",0480,1445,538,1983,2978,66.59%,1320,589,1909
"District Judge, 339th Judicial District",0481,1756,667,2423,3609,67.14%,1706,590,2296
"District Judge, 339th Judicial District",0482,2259,618,2877,4405,65.31%,1896,851,2747
"District Judge, 339th Judicial District",0483,2305,538,2843,4495,63.25%,1410,1277,2687
"District Judge, 339th Judicial District",0484,2020,700,2720,3981,68.32%,1661,940,2601
"District Judge, 339th Judicial District",0485,2118,567,2685,4051,66.28%,1867,709,2576
"District Judge, 339th Judicial District",0486,2310,721,3031,4195,72.25%,2234,660,2894
"District Judge, 339th Judicial District",0487,1405,527,1932,4142,46.64%,454,1311,1765
"District Judge, 339th Judicial District",0488,842,511,1353,2382,56.80%,365,921,1286
"District Judge, 339th Judicial District",0489,865,344,1209,1958,61.75%,324,825,1149
"District Judge, 339th Judicial District",0490,980,346,1326,2105,62.99%,395,856,1251
"District Judge, 339th Judicial District",0491,937,488,1425,2110,67.54%,731,607,1338
"District Judge, 339th Judicial District",0492,1217,396,1613,2552,63.21%,787,747,1534
"District Judge, 339th Judicial District",0493,1404,555,1959,3338,58.69%,692,1149,1841
"District Judge, 339th Judicial District",0494,1079,419,1498,2787,53.75%,176,1262,1438
"District Judge, 339th Judicial District",0495,1414,376,1790,2488,71.95%,1172,516,1688
"District Judge, 339th Judicial District",0496,687,549,1235,2325,53.16%,406,771,1177
"District Judge, 339th Judicial District",0497,915,281,1197,2148,55.73%,48,1107,1155
"District Judge, 339th Judicial District",0498,1069,423,1492,2527,59.04%,491,928,1419
"District Judge, 339th Judicial District",0499,1433,397,1830,2336,78.34%,1254,494,1748
"District Judge, 339th Judicial District",0500,1869,651,2520,3698,68.14%,1530,877,2407
"District Judge, 339th Judicial District",0501,1146,406,1552,2016,76.98%,621,822,1443
"District Judge, 339th Judicial District",0502,1,355,293,1559,2595,63.93%,1243,333,1576
"District Judge, 339th Judicial District",0503,1397,306,1703,2236,76.16%,1234,380,1614
"District Judge, 339th Judicial District",0504,1270,482,1752,2318,75.58%,1067,586,1653
"District Judge, 339th Judicial District",0505,1750,735,2485,4076,60.97%,1042,1259,2301
"District Judge, 339th Judicial District",0506,1513,696,2209,3544,62.33%,319,1809,2128
"District Judge, 339th Judicial District",0507,599,319,918,2562,35.83%,198,622,820
"District Judge, 339th Judicial District",0508,1519,828,2347,4767,49.23%,641,1522,2163
"District Judge, 339th Judicial District",0509,2504,669,3173,5153,61.58%,1952,1086,3038
"District Judge, 339th Judicial District",0510,1701,666,2367,3822,61.93%,973,1303,2276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0511,2933,574,3507,4620,75.91%,2067,1312,3379
"District Judge, 339th Judicial District",0512,1668,871,2539,4559,55.69%,932,1488,2420
"District Judge, 339th Judicial District",0513,1754,413,2187,3003,72.16%,1503,562,2065
"District Judge, 339th Judicial District",0514,2288,613,2899,4378,66.22%,1933,830,2763
"District Judge, 339th Judicial District",0515,1836,468,2304,3182,72.41%,1775,423,2198
"District Judge, 339th Judicial District",0516,1316,363,1679,2799,59.99%,782,824,1606
"District Judge, 339th Judicial District",0517,1610,509,2119,3744,56.60%,883,1136,2019
"District Judge, 339th Judicial District",0518,1886,676,2562,4049,63.27%,1433,1001,2434
"District Judge, 339th Judicial District",0519,1421,518,1939,3098,62.59%,1293,563,1856
"District Judge, 339th Judicial District",0520,1785,670,2456,5202,47.21%,357,2029,2386
"District Judge, 339th Judicial District",0521,1350,578,1928,3070,62.80%,871,976,1847
"District Judge, 339th Judicial District",0522,1508,464,1972,2815,70.05%,1406,504,1910
"District Judge, 339th Judicial District",0523,1978,537,2515,4027,62.45%,1483,891,2374
"District Judge, 339th Judicial District",0524,1392,637,2029,3598,56.39%,518,1412,1930
"District Judge, 339th Judicial District",0525,1440,574,2014,3260,61.78%,417,1490,1907
"District Judge, 339th Judicial District",0526,235,157,392,820,47.80%,76,291,367
"District Judge, 339th Judicial District",0527,156,38,194,580,33.45%,70,110,180
"District Judge, 339th Judicial District",0528,17,8,25,78,32.05%,2,22,24
"District Judge, 339th Judicial District",0529,2107,434,2541,3842,66.14%,2062,368,2430
"District Judge, 339th Judicial District",0530,375,212,587,1236,47.49%,108,430,538
"District Judge, 339th Judicial District",0531,1234,166,1400,2250,62.22%,1007,310,1317
"District Judge, 339th Judicial District",0532,478,140,618,1058,58.41%,407,197,604
"District Judge, 339th Judicial District",0533,352,169,521,1164,44.76%,251,237,488
"District Judge, 339th Judicial District",0534,1895,577,2472,3918,63.09%,1667,678,2345
"District Judge, 339th Judicial District",0535,132,62,194,413,46.97%,60,119,179
"District Judge, 339th Judicial District",0536,2104,1053,3157,5637,56.00%,978,1989,2967
"District Judge, 339th Judicial District",0537,1958,464,2422,3174,76.31%,1673,643,2316
"District Judge, 339th Judicial District",0538,371,203,574,1332,43.09%,13,542,555
"District Judge, 339th Judicial District",0539,811,234,1045,1535,68.08%,545,443,988
"District Judge, 339th Judicial District",0540,997,349,1346,1759,76.52%,442,794,1236
"District Judge, 339th Judicial District",0541,2157,761,2918,5001,58.35%,450,2328,2778
"District Judge, 339th Judicial District",0542,1156,406,1562,2654,58.85%,97,1410,1507
"District Judge, 339th Judicial District",0543,553,321,874,1658,52.71%,204,623,827
"District Judge, 339th Judicial District",0544,84,54,138,313,44.09%,15,120,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0545,2015,468,2483,3949,62.88%,1058,1287,2345
"District Judge, 339th Judicial District",0546,1524,278,1802,2471,72.93%,1489,258,1747
"District Judge, 339th Judicial District",0547,1413,270,1683,2534,66.42%,1094,511,1605
"District Judge, 339th Judicial District",0548,882,395,1277,2339,54.60%,553,676,1229
"District Judge, 339th Judicial District",0549,1105,447,1552,2786,55.71%,187,1318,1505
"District Judge, 339th Judicial District",0550,1171,553,1724,3245,53.13%,702,962,1664
"District Judge, 339th Judicial District",0551,2586,793,3379,4428,76.31%,2478,748,3226
"District Judge, 339th Judicial District",0552,2090,784,2874,3762,76.40%,2247,508,2755
"District Judge, 339th Judicial District",0553,962,317,1279,2193,58.32%,466,766,1232
"District Judge, 339th Judicial District",0554,597,271,868,1774,48.93%,165,666,831
"District Judge, 339th Judicial District",0555,639,390,1029,2286,45.01%,164,815,979
"District Judge, 339th Judicial District",0556,759,435,1194,2491,47.93%,236,907,1143
"District Judge, 339th Judicial District",0557,925,460,1385,2955,46.87%,364,908,1272
"District Judge, 339th Judicial District",0558,1812,721,2533,4718,53.69%,725,1705,2430
"District Judge, 339th Judicial District",0559,1901,701,2602,4984,52.21%,568,1917,2485
"District Judge, 339th Judicial District",0560,290,247,537,1141,47.06%,91,407,498
"District Judge, 339th Judicial District",0561,1023,624,1647,3138,52.49%,926,629,1555
"District Judge, 339th Judicial District",0562,222,116,338,691,48.91%,40,269,309
"District Judge, 339th Judicial District",0563,2069,337,2406,3468,69.38%,1789,510,2299
"District Judge, 339th Judicial District",0564,1551,528,2077,3240,64.10%,540,1414,1954
"District Judge, 339th Judicial District",0565,335,148,484,1414,34.23%,75,386,461
"District Judge, 339th Judicial District",0566,1183,441,1624,3029,53.62%,388,1166,1554
"District Judge, 339th Judicial District",0567,965,390,1355,2851,47.53%,322,937,1259
"District Judge, 339th Judicial District",0568,1833,697,2530,3638,69.54%,1541,803,2344
"District Judge, 339th Judicial District",0569,2027,747,2774,4125,67.25%,1264,1322,2586
"District Judge, 339th Judicial District",0570,766,278,1044,1598,65.33%,363,601,964
"District Judge, 339th Judicial District",0571,521,314,835,1950,42.82%,235,552,787
"District Judge, 339th Judicial District",0572,1522,444,1966,3308,59.43%,819,1046,1865
"District Judge, 339th Judicial District",0573,489,215,704,1625,43.32%,13,677,690
"District Judge, 339th Judicial District",0574,112,74,186,391,47.57%,21,156,177
"District Judge, 339th Judicial District",0575,1905,535,2440,3557,68.60%,1308,1015,2323
"District Judge, 339th Judicial District",0576,1107,375,1482,2830,52.37%,79,1354,1433
"District Judge, 339th Judicial District",0577,885,205,1090,1586,68.73%,628,403,1031
"District Judge, 339th Judicial District",0578,1026,405,1431,1862,76.85%,836,487,1323
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0579,287,181,468,1139,41.09%,78,366,444
"District Judge, 339th Judicial District",0580,366,108,474,985,48.12%,20,446,466
"District Judge, 339th Judicial District",0581,456,137,593,1033,57.41%,15,555,570
"District Judge, 339th Judicial District",0582,543,232,775,1607,48.23%,47,693,740
"District Judge, 339th Judicial District",0583,433,155,588,1286,45.72%,14,561,575
"District Judge, 339th Judicial District",0584,367,120,487,1062,45.86%,39,426,465
"District Judge, 339th Judicial District",0585,829,280,1109,2346,47.27%,53,1018,1071
"District Judge, 339th Judicial District",0586,1790,790,2580,4521,57.07%,1416,1048,2464
"District Judge, 339th Judicial District",0587,1204,431,1635,2870,56.97%,512,1055,1567
"District Judge, 339th Judicial District",0588,1940,606,2546,3780,67.35%,1633,812,2445
"District Judge, 339th Judicial District",0589,1539,545,2084,3780,55.13%,957,1036,1993
"District Judge, 339th Judicial District",0590,1230,400,1630,2176,74.91%,1198,349,1547
"District Judge, 339th Judicial District",0591,651,462,1113,2274,48.94%,262,780,1042
"District Judge, 339th Judicial District",0592,449,272,721,1446,49.86%,144,539,683
"District Judge, 339th Judicial District",0593,1551,755,2316,4179,55.42%,877,1310,2187
"District Judge, 339th Judicial District",0594,1243,316,1559,2578,60.47%,401,1114,1515
"District Judge, 339th Judicial District",0595,600,299,899,1833,49.05%,132,730,862
"District Judge, 339th Judicial District",0596,1377,501,1878,3574,52.55%,825,952,1777
"District Judge, 339th Judicial District",0597,1204,609,1813,3587,50.54%,607,1114,1721
"District Judge, 339th Judicial District",0598,2389,731,3120,5253,59.39%,1040,1944,2984
"District Judge, 339th Judicial District",0599,1378,493,1871,3005,62.26%,618,1190,1808
"District Judge, 339th Judicial District",0600,1602,776,2378,4204,56.57%,757,1489,2246
"District Judge, 339th Judicial District",0601,2220,670,2890,4151,69.62%,2032,747,2779
"District Judge, 339th Judicial District",0602,754,234,988,1441,68.56%,650,298,948
"District Judge, 339th Judicial District",0603,2335,725,3060,4666,65.58%,1700,1235,2935
"District Judge, 339th Judicial District",0604,1816,375,2191,3189,68.70%,1791,295,2086
"District Judge, 339th Judicial District",0605,1711,599,2310,4217,54.78%,507,1682,2189
"District Judge, 339th Judicial District",0606,319,111,430,970,44.33%,9,409,418
"District Judge, 339th Judicial District",0607,163,51,214,712,30.06%,23,183,206
"District Judge, 339th Judicial District",0608,156,77,233,570,40.88%,73,146,219
"District Judge, 339th Judicial District",0609,2037,729,2766,4305,64.25%,1539,1087,2626
"District Judge, 339th Judicial District",0610,665,343,1008,2086,48.32%,388,552,940
"District Judge, 339th Judicial District",0611,980,229,1209,2527,47.84%,45,1134,1179
"District Judge, 339th Judicial District",0612,1927,431,2358,3388,69.60%,1724,517,2241
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0613,937,339,1276,2368,53.89%,205,1014,1219
"District Judge, 339th Judicial District",0614,1949,645,2594,4566,56.81%,718,1755,2473
"District Judge, 339th Judicial District",0615,1075,301,1376,2086,65.96%,692,622,1314
"District Judge, 339th Judicial District",0616,1809,611,2420,3516,68.83%,1539,746,2285
"District Judge, 339th Judicial District",0617,1704,650,2354,4179,56.33%,750,1508,2258
"District Judge, 339th Judicial District",0618,1698,545,2243,3801,59.01%,878,1281,2159
"District Judge, 339th Judicial District",0619,2792,663,3455,4916,70.28%,2471,875,3346
"District Judge, 339th Judicial District",0620,1747,333,2080,3318,62.69%,1033,940,1973
"District Judge, 339th Judicial District",0621,536,200,736,1272,57.86%,291,402,693
"District Judge, 339th Judicial District",0622,2129,591,2720,4562,59.62%,1397,1194,2591
"District Judge, 339th Judicial District",0623,1960,461,2421,3919,61.78%,1459,845,2304
"District Judge, 339th Judicial District",0624,297,59,356,456,78.07%,268,74,342
"District Judge, 339th Judicial District",0625,924,372,1296,1864,69.53%,676,550,1226
"District Judge, 339th Judicial District",0626,2280,784,3054,4816,63.62%,1543,1366,2909
"District Judge, 339th Judicial District",0627,935,649,1584,3235,48.96%,405,1098,1503
"District Judge, 339th Judicial District",0628,716,545,1261,2420,52.11%,411,761,1172
"District Judge, 339th Judicial District",0629,162,96,258,750,34.40%,28,221,249
"District Judge, 339th Judicial District",0630,2662,541,3203,4738,67.60%,317,2795,3112
"District Judge, 339th Judicial District",0631,1841,398,2239,3263,68.62%,1436,700,2136
"District Judge, 339th Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 339th Judicial District",0633,2285,601,2887,3912,73.80%,1922,842,2764
"District Judge, 339th Judicial District",0634,1435,499,1934,3259,59.34%,1056,795,1851
"District Judge, 339th Judicial District",0635,1645,520,2165,3512,61.65%,1560,498,2058
"District Judge, 339th Judicial District",0636,2303,922,3225,4569,70.58%,2742,354,3096
"District Judge, 339th Judicial District",0637,1095,423,1518,2591,58.59%,310,1086,1396
"District Judge, 339th Judicial District",0638,850,348,1198,2310,51.86%,95,1073,1168
"District Judge, 339th Judicial District",0639,1385,284,1670,2560,65.23%,1253,342,1595
"District Judge, 339th Judicial District",0640,1619,615,2234,3927,56.89%,1220,921,2141
"District Judge, 339th Judicial District",0641,1637,683,2320,3840,60.42%,1314,900,2214
