Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
SAINT GEORGE PLACE MANAGEMENT DISTRICT PROPOSITION,0272,33,4,37,61,60.66%,23,10,33
SAINT GEORGE PLACE MANAGEMENT DISTRICT PROPOSITION,0569,330,232,562,699,80.40%,300,189,489
