Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tom Zakes,DEM Joe Stephens,Totals
"Justice of the Peace, Precinct 3, Place 1",0725,976,294,1270,2336,54.37%,430,792,1222
"Justice of the Peace, Precinct 3, Place 1",0733,55,25,80,303,26.40%,24,54,78
"Justice of the Peace, Precinct 3, Place 1",0739,978,440,1418,2971,47.73%,582,775,1357
"Justice of the Peace, Precinct 3, Place 1",0740,280,169,449,1005,44.68%,220,205,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tom Zakes,DEM Joe Stephens,Totals
"Justice of the Peace, Precinct 3, Place 1",0741,923,262,1185,1895,62.53%,256,875,1131
"Justice of the Peace, Precinct 3, Place 1",0743,54,60,114,234,48.72%,34,71,105
"Justice of the Peace, Precinct 3, Place 1",0784,408,119,527,1062,49.62%,12,498,510
"Justice of the Peace, Precinct 3, Place 1",0799,58,26,84,171,49.12%,14,69,83
"Justice of the Peace, Precinct 3, Place 1",0824,1057,410,1467,2762,53.11%,272,1147,1419
"Justice of the Peace, Precinct 3, Place 1",0827,218,234,452,1042,43.38%,128,311,439
"Justice of the Peace, Precinct 3, Place 1",0831,8,5,13,36,36.11%,5,7,12
"Justice of the Peace, Precinct 3, Place 1",0832,124,50,174,364,47.80%,40,126,166
"Justice of the Peace, Precinct 3, Place 1",0847,993,330,1323,2310,57.27%,334,936,1270
"Justice of the Peace, Precinct 3, Place 1",0872,15,6,22,68,32.35%,11,11,22
"Justice of the Peace, Precinct 3, Place 1",0937,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 3, Place 1",0954,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 3, Place 1",0963,225,91,316,528,59.85%,125,173,298
"Justice of the Peace, Precinct 3, Place 1",0954,2145,325,2470,3179,77.70%,1364,1015,2379
"Justice of the Peace, Precinct 3, Place 1",0965,101,35,136,345,39.42%,82,49,131
"Justice of the Peace, Precinct 3, Place 1",0976,190,152,342,712,48.03%,155,164,319
"Justice of the Peace, Precinct 3, Place 1",0988,52,15,77,117,65.81%,66,8,74
"Justice of the Peace, Precinct 3, Place 1",1008,620,107,727,1011,71.91%,532,171,703
"Justice of the Peace, Precinct 3, Place 1",Totals;,76579,26088,102667,180444,69824,58976,98797
