Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0424,548,158,706,1079,65.43%,385,293,678
"County Commissioner, Precinct 3",0425,257,139,396,878,45.10%,118,262,380
"County Commissioner, Precinct 3",0426,485,228,713,1266,56.32%,376,305,681
"County Commissioner, Precinct 3",0427,437,155,592,1120,52.86%,199,360,559
"County Commissioner, Precinct 3",0428,1588,865,2553,5151,49.56%,654,1762,2416
"County Commissioner, Precinct 3",0430,524,291,815,1794,45.43%,146,618,764
"County Commissioner, Precinct 3",0431,1218,604,1822,3860,47.20%,378,1365,1743
"County Commissioner, Precinct 3",0432,456,249,705,1568,44.96%,200,457,657
"County Commissioner, Precinct 3",0433,163,88,251,561,44.74%,57,180,237
"County Commissioner, Precinct 3",0435,1951,567,2518,3363,74.87%,1604,794,2398
"County Commissioner, Precinct 3",0436,2008,578,2585,3809,70.52%,1514,1038,2552
"County Commissioner, Precinct 3",0437,1148,425,1573,2094,75.12%,1075,450,1525
"County Commissioner, Precinct 3",0438,2288,475,2763,3789,72.92%,1938,708,2646
"County Commissioner, Precinct 3",0439,1854,749,2603,3701,70.33%,1766,723,2489
"County Commissioner, Precinct 3",0440,1498,749,2247,2973,75.58%,1742,422,2164
"County Commissioner, Precinct 3",0441,824,408,1232,1695,72.68%,876,311,1187
"County Commissioner, Precinct 3",0443,415,83,498,642,77.57%,374,108,482
"County Commissioner, Precinct 3",0461,2242,669,2911,4054,71.81%,1873,904,2777
"County Commissioner, Precinct 3",0463,1673,564,2237,3773,59.29%,870,1308,2178
"County Commissioner, Precinct 3",0480,1445,538,1983,2978,66.59%,1322,612,1934
"County Commissioner, Precinct 3",0481,1756,667,2423,3609,67.14%,1733,598,2331
"County Commissioner, Precinct 3",0483,2305,538,2843,4495,63.25%,1476,1246,2722
"County Commissioner, Precinct 3",0487,1,1405,527,1932,4142,46.64%,482,1303,1785
"County Commissioner, Precinct 3",0488,842,511,1353,2382,56.80%,386,912,1298
"County Commissioner, Precinct 3",0490,980,346,1326,2105,62.99%,438,837,1275
"County Commissioner, Precinct 3",0491,937,488,1425,2110,67.54%,763,591,1354
"County Commissioner, Precinct 3",0492,1217,396,1613,2552,63.21%,845,718,1563
"County Commissioner, Precinct 3",0499,1433,397,1830,2336,78.34%,1326,445,1771
"County Commissioner, Precinct 3",0504,1270,482,1752,2318,75.58%,1156,531,1687
"County Commissioner, Precinct 3",0507,599,319,918,2562,35.83%,199,622,821
"County Commissioner, Precinct 3",0508,1519,828,2347,4767,49.23%,669,1508,2177
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0509,2504,669,3173,5153,61.58%,2016,1052,3068
"County Commissioner, Precinct 3",0510,1701,666,2367,3822,61.93%,1034,1266,2300
"County Commissioner, Precinct 3",0511,2933,574,3507,4620,75.91%,2133,1275,3408
"County Commissioner, Precinct 3",0519,1421,518,1939,3098,62.59%,1298,574,1872
