Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0401,703,257,960,1971,48.71%,880,23,903
"State Senator, District 13",0402,897,262,1159,1911,60.65%,1054,31,1085
"State Senator, District 13",0406,275,65,340,649,52.39%,324,6,330
"State Senator, District 13",0412,155,80,236,478,49.37%,214,11,225
"State Senator, District 13",0422,1367,401,1768,3348,52.81%,1669,28,1697
"State Senator, District 13",0425,257,139,396,878,45.10%,274,33,307
"State Senator, District 13",0426,485,228,713,1266,56.32%,370,104,474
"State Senator, District 13",0427,437,155,592,1120,52.86%,396,53,449
"State Senator, District 13",0429,948,649,1597,3311,48.23%,1211,97,1308
"State Senator, District 13",0430,524,291,815,1794,45.43%,645,48,693
"State Senator, District 13",0431,1219,604,1823,3860,47.23%,1391,143,1534
"State Senator, District 13",0432,456,249,705,1568,44.96%,483,92,575
"State Senator, District 13",0433,163,88,251,561,44.74%,197,17,214
"State Senator, District 13",0453,661,417,1078,2039,52.87%,768,85,853
"State Senator, District 13",0454,1043,288,1331,2509,53.05%,1263,22,1285
"State Senator, District 13",0455,669,173,842,1713,49.15%,785,17,802
"State Senator, District 13",0458,916,253,1169,2025,57.73%,1056,34,1090
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0462,1474,738,2212,3507,63.07%,1462,245,1707
"State Senator, District 13",0487,1405,527,1932,4142,46.64%,1345,135,1480
"State Senator, District 13",0489,865,344,1209,1958,61.75%,864,110,974
"State Senator, District 13",0490,980,346,1326,2105,62.99%,890,158,1048
"State Senator, District 13",0506,1513,696,2209,3544,62.33%,1818,129,1947
"State Senator, District 13",0507,599,319,918,2562,35.83%,633,51,684
"State Senator, District 13",0508,1519,828,2347,4767,49.23%,1612,179,1791
"State Senator, District 13",0525,1442,574,2016,3260,61.84%,1558,149,1707
"State Senator, District 13",0538,371,203,574,1332,43.09%,549,12,561
"State Senator, District 13",0540,997,349,1346,1759,76.52%,866,180,1046
"State Senator, District 13",0541,2158,761,2919,5001,58.37%,2364,267,2631
"State Senator, District 13",0542,1156,406,1562,2654,58.85%,1416,48,1464
"State Senator, District 13",0554,597,271,868,1774,48.93%,681,55,736
"State Senator, District 13",0555,542,390,1032,2286,45.14%,836,56,892
"State Senator, District 13",0556,750,435,1195,2491,47.97%,922,75,997
"State Senator, District 13",0557,925,460,1385,2955,46.87%,939,106,1045
"State Senator, District 13",0559,1904,701,2605,4984,52.27%,1945,294,2239
