Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0352,2025,538,2563,4278,59.91%,1696,674,60,57,2487
"Judge, Court of Criminal Appeals, Place 5",0353,1715,659,2374,4156,57.12%,368,1847,26,52,2293
"Judge, Court of Criminal Appeals, Place 5",0354,1572,429,2001,3520,56.85%,426,1425,22,56,1929
"Judge, Court of Criminal Appeals, Place 5",0355,821,239,1050,1714,61.84%,104,894,13,16,1027
"Judge, Court of Criminal Appeals, Place 5",0356,1544,582,2126,3126,68.01%,1126,820,53,33,2032
"Judge, Court of Criminal Appeals, Place 5",0357,1886,557,2443,3685,66.30%,1702,567,63,30,2362
"Judge, Court of Criminal Appeals, Place 5",0358,775,376,1151,2634,43.70%,116,963,13,24,1116
"Judge, Court of Criminal Appeals, Place 5",0359,805,496,1301,3320,39.19%,115,1114,16,24,1269
"Judge, Court of Criminal Appeals, Place 5",0360,1867,597,2464,3309,74.46%,1116,1096,54,44,2310
"Judge, Court of Criminal Appeals, Place 5",0361,332,688,1020,1808,56.42%,147,743,27,21,938
"Judge, Court of Criminal Appeals, Place 5",0362,2865,553,3418,5161,66.23%,2294,881,90,43,3308
"Judge, Court of Criminal Appeals, Place 5",0363,1826,635,2461,4160,59.16%,944,1372,41,52,2409
"Judge, Court of Criminal Appeals, Place 5",0364,1190,528,1718,2827,60.77%,734,811,47,48,1640
"Judge, Court of Criminal Appeals, Place 5",0365,828,174,1002,1348,74.33%,108,852,9,12,981
"Judge, Court of Criminal Appeals, Place 5",0366,989,524,1513,2887,52.41%,296,1076,32,52,1456
"Judge, Court of Criminal Appeals, Place 5",0367,455,204,659,1256,52.47%,136,458,18,17,629
"Judge, Court of Criminal Appeals, Place 5",0368,433,122,555,1024,54.20%,133,393,3,11,540
"Judge, Court of Criminal Appeals, Place 5",0369,136,29,165,678,24.34%,50,80,14,8,152
"Judge, Court of Criminal Appeals, Place 5",0370,2525,627,3152,4531,69.57%,2179,763,70,46,3058
"Judge, Court of Criminal Appeals, Place 5",0371,210,78,288,537,53.63%,11,268,2,3,284
"Judge, Court of Criminal Appeals, Place 5",0372,510,180,690,1274,54.16%,66,580,7,16,669
"Judge, Court of Criminal Appeals, Place 5",0373,61,13,74,163,45.40%,2,66,1,2,71
"Judge, Court of Criminal Appeals, Place 5",0374,175,165,341,720,47.36%,75,244,3,7,329
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0375,747,510,1257,2836,44.32%,391,743,19,43,1196
"Judge, Court of Criminal Appeals, Place 5",0376,755,344,1099,2060,53.35%,372,632,20,23,1047
"Judge, Court of Criminal Appeals, Place 5",0377,1382,643,2025,3137,64.55%,1454,405,66,32,1957
"Judge, Court of Criminal Appeals, Place 5",0378,622,447,1069,1856,57.60%,612,360,38,26,1036
"Judge, Court of Criminal Appeals, Place 5",0379,857,388,1245,2149,57.93%,101,1056,19,37,1213
"Judge, Court of Criminal Appeals, Place 5",0380,2736,551,3287,4380,75.05%,1646,1435,76,41,3198
"Judge, Court of Criminal Appeals, Place 5",0381,1185,432,1518,3141,51.51%,582,900,26,48,1556
"Judge, Court of Criminal Appeals, Place 5",0382,429,206,635,1035,61.35%,367,217,15,16,615
"Judge, Court of Criminal Appeals, Place 5",0383,723,458,1181,2373,49.77%,332,731,28,40,1131
"Judge, Court of Criminal Appeals, Place 5",0384,1153,444,1597,2725,58.61%,344,1161,12,20,1537
"Judge, Court of Criminal Appeals, Place 5",0385,1142,561,1703,2207,77.16%,1276,319,18,12,1625
"Judge, Court of Criminal Appeals, Place 5",0386,1658,419,2077,3105,66.89%,1441,524,32,30,2027
"Judge, Court of Criminal Appeals, Place 5",0387,1706,780,2486,4340,57.28%,1597,714,49,46,2406
"Judge, Court of Criminal Appeals, Place 5",0388,2899,711,3510,5413,66.69%,1635,1738,73,59,3505
"Judge, Court of Criminal Appeals, Place 5",0389,408,293,701,1359,51.58%,84,531,28,26,669
"Judge, Court of Criminal Appeals, Place 5",0390,708,271,979,1482,66.06%,120,780,21,26,947
"Judge, Court of Criminal Appeals, Place 5",0391,992,336,1328,1978,67.14%,760,462,30,30,1282
"Judge, Court of Criminal Appeals, Place 5",0392,653,145,798,1426,55.96%,13,746,8,9,776
"Judge, Court of Criminal Appeals, Place 5",0393,427,257,684,1274,53.69%,290,323,23,19,655
"Judge, Court of Criminal Appeals, Place 5",0394,236,126,362,914,39.61%,111,218,5,11,345
"Judge, Court of Criminal Appeals, Place 5",0395,1007,371,1378,1875,73.49%,873,369,53,21,1316
"Judge, Court of Criminal Appeals, Place 5",0396,1036,204,1240,2072,59.85%,30,1163,2,9,1204
"Judge, Court of Criminal Appeals, Place 5",0397,204,117,321,796,40.33%,103,181,7,14,305
"Judge, Court of Criminal Appeals, Place 5",0398,1762,654,2416,4200,57.52%,1025,1188,59,56,2328
"Judge, Court of Criminal Appeals, Place 5",0399,1294,546,1840,3340,55.09%,658,1061,33,39,1791
"Judge, Court of Criminal Appeals, Place 5",0400,1467,372,1839,2661,69.11%,1162,550,46,26,1784
"Judge, Court of Criminal Appeals, Place 5",0401,703,257,960,1971,48.71%,40,864,8,8,920
"Judge, Court of Criminal Appeals, Place 5",0402,898,262,1160,1911,60.70%,65,1042,9,12,1128
"Judge, Court of Criminal Appeals, Place 5",0403,959,387,1346,1719,78.30%,699,510,30,26,1265
"Judge, Court of Criminal Appeals, Place 5",0404,1034,445,1479,2717,54.44%,657,697,30,43,1427
"Judge, Court of Criminal Appeals, Place 5",0405,1914,457,2371,3067,77.31%,1729,538,38,15,2320
"Judge, Court of Criminal Appeals, Place 5",0406,275,65,340,649,52.39%,8,316,3,3,330
"Judge, Court of Criminal Appeals, Place 5",0407,1704,860,2564,3969,64.60%,1454,860,73,55,2442
"Judge, Court of Criminal Appeals, Place 5",0408,521,313,834,1740,47.93%,233,504,27,28,792
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0409,501,280,781,1608,48.57%,211,486,25,21,743
"Judge, Court of Criminal Appeals, Place 5",0410,382,96,478,934,51.18%,78,366,5,12,461
"Judge, Court of Criminal Appeals, Place 5",0411,699,418,1117,2426,46.04%,252,747,23,47,1069
"Judge, Court of Criminal Appeals, Place 5",0412,156,80,236,478,49.37%,8,216,3,3,230
"Judge, Court of Criminal Appeals, Place 5",0413,1549,456,2005,3081,65.08%,707,1151,33,42,1933
"Judge, Court of Criminal Appeals, Place 5",0414,1577,514,2091,3586,58.31%,1462,486,47,28,2023
"Judge, Court of Criminal Appeals, Place 5",0415,1076,573,1649,2284,72.20%,1079,437,49,24,1589
"Judge, Court of Criminal Appeals, Place 5",0416,1444,845,2289,4009,57.10%,1040,1023,74,61,2198
"Judge, Court of Criminal Appeals, Place 5",0417,1105,397,1502,2589,58.01%,591,784,37,42,1454
"Judge, Court of Criminal Appeals, Place 5",0418,1337,663,2000,3940,50.76%,597,1189,40,78,1904
"Judge, Court of Criminal Appeals, Place 5",0419,1166,477,1643,2702,60.81%,896,618,38,33,1585
"Judge, Court of Criminal Appeals, Place 5",0420,2690,731,3421,4946,69.17%,2684,539,66,42,3331
"Judge, Court of Criminal Appeals, Place 5",0421,1242,273,1515,2023,74.89%,673,738,40,24,1475
"Judge, Court of Criminal Appeals, Place 5",0422,1357,401,1758,3348,52.81%,63,1628,11,20,1722
"Judge, Court of Criminal Appeals, Place 5",0423,31,e,288,604,1423,42.45%,117,432,7,28,584
"Judge, Court of Criminal Appeals, Place 5",0424,548,158,706,1079,65.43%,358,298,16,11,683
"Judge, Court of Criminal Appeals, Place 5",0425,257,139,396,878,45.10%,112,251,10,10,383
"Judge, Court of Criminal Appeals, Place 5",0426,487,228,715,1266,56.48%,348,301,16,17,682
"Judge, Court of Criminal Appeals, Place 5",0427,439,155,594,1120,53.04%,186,354,7,9,556
"Judge, Court of Criminal Appeals, Place 5",0428,1689,865,2554,5151,49.58%,604,1748,29,42,2423
"Judge, Court of Criminal Appeals, Place 5",0429,948,649,1597,3311,48.23%,308,1147,27,38,1520
"Judge, Court of Criminal Appeals, Place 5",0430,527,291,818,1794,45.60%,127,616,14,21,778
"Judge, Court of Criminal Appeals, Place 5",0431,1222,604,1826,3860,47.31%,353,1303,37,58,1751
"Judge, Court of Criminal Appeals, Place 5",0432,458,249,707,1568,45.09%,197,431,23,17,668
"Judge, Court of Criminal Appeals, Place 5",0433,163,88,251,561,44.74%,47,174,8,9,238
"Judge, Court of Criminal Appeals, Place 5",0434,834,293,1127,1557,72.38%,641,391,22,22,1076
"Judge, Court of Criminal Appeals, Place 5",0435,1952,567,2519,3363,74.90%,1496,789,65,41,2391
"Judge, Court of Criminal Appeals, Place 5",0436,2013,678,2691,3809,70.65%,1424,1021,64,57,2566
"Judge, Court of Criminal Appeals, Place 5",0437,1148,425,1573,2094,75.12%,1025,434,34,19,1512
"Judge, Court of Criminal Appeals, Place 5",0438,2292,475,2767,3789,73.03%,1864,681,55,35,2635
"Judge, Court of Criminal Appeals, Place 5",0439,1856,749,2605,3701,70.39%,1698,695,63,26,2482
"Judge, Court of Criminal Appeals, Place 5",0440,1499,749,2248,2973,75.61%,1668,429,44,12,2153
"Judge, Court of Criminal Appeals, Place 5",0441,824,408,1232,1695,72.68%,820,322,27,10,1179
"Judge, Court of Criminal Appeals, Place 5",0442,2442,685,3127,4315,72.47%,2436,482,84,23,3025
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0443,415,83,498,642,77.57%,351,109,9,7,476
"Judge, Court of Criminal Appeals, Place 5",0444,1623,679,2302,3625,63.50%,1183,898,62,47,2190
"Judge, Court of Criminal Appeals, Place 5",0445,1035,382,1418,2134,66.45%,814,495,29,27,1365
"Judge, Court of Criminal Appeals, Place 5",0446,89,45,134,309,43.37%,47,77,2,3,129
"Judge, Court of Criminal Appeals, Place 5",0447,2416,464,2880,3727,77.27%,1802,870,69,42,2783
"Judge, Court of Criminal Appeals, Place 5",0448,1766,529,2295,3155,72.74%,1209,834,77,45,2165
"Judge, Court of Criminal Appeals, Place 5",0449,73,26,99,225,44.00%,10,87,1,0,98
"Judge, Court of Criminal Appeals, Place 5",0450,1106,394,1500,2890,51.90%,366,1032,29,29,1456
"Judge, Court of Criminal Appeals, Place 5",0451,1720,367,2087,2771,75.32%,1623,358,31,11,2023
"Judge, Court of Criminal Appeals, Place 5",0452,1875,662,2537,3789,66.96%,1613,714,63,54,2444
"Judge, Court of Criminal Appeals, Place 5",0453,663,417,1080,2039,52.97%,272,703,19,37,1031
"Judge, Court of Criminal Appeals, Place 5",0454,1043,288,1331,2509,53.05%,23,1257,9,5,1294
"Judge, Court of Criminal Appeals, Place 5",0455,669,173,842,1713,49.15%,31,770,3,10,814
"Judge, Court of Criminal Appeals, Place 5",0456,1407,553,1960,3793,51.67%,1002,813,38,37,1890
"Judge, Court of Criminal Appeals, Place 5",0457,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0458,918,253,1171,2025,57.83%,77,1026,15,17,1135
"Judge, Court of Criminal Appeals, Place 5",0459,2362,432,2794,3942,70.88%,2064,564,73,22,2723
"Judge, Court of Criminal Appeals, Place 5",0460,1615,472,2087,3280,63.63%,465,1481,33,56,2035
"Judge, Court of Criminal Appeals, Place 5",0461,2244,669,2913,4054,71.85%,1743,910,62,45,2760
"Judge, Court of Criminal Appeals, Place 5",0462,1478,738,2216,3507,63.19%,715,1355,36,42,2148
"Judge, Court of Criminal Appeals, Place 5",0463,1575,564,2239,3773,59.34%,796,1286,48,52,2182
"Judge, Court of Criminal Appeals, Place 5",0464,967,582,1549,2343,66.11%,909,500,56,22,1487
"Judge, Court of Criminal Appeals, Place 5",0465,1629,594,2223,3778,58.84%,963,1089,58,33,2143
"Judge, Court of Criminal Appeals, Place 5",0466,2278,509,2787,4327,64.41%,1368,1256,40,42,2706
"Judge, Court of Criminal Appeals, Place 5",0467,502,225,727,1320,55.08%,144,531,12,13,700
"Judge, Court of Criminal Appeals, Place 5",0468,1380,747,2127,4040,52.65%,478,1477,35,55,2045
"Judge, Court of Criminal Appeals, Place 5",0469,1858,462,2330,3257,71.54%,1745,438,53,20,2256
"Judge, Court of Criminal Appeals, Place 5",0470,555,232,787,1358,57.95%,541,177,20,17,755
"Judge, Court of Criminal Appeals, Place 5",0471,1057,458,1515,2473,61.26%,1094,316,41,22,1473
"Judge, Court of Criminal Appeals, Place 5",0472,463,339,802,1131,70.91%,349,374,18,17,758
"Judge, Court of Criminal Appeals, Place 5",0473,944,390,1334,1787,74.65%,887,342,38,18,1285
"Judge, Court of Criminal Appeals, Place 5",0474,1421,624,2045,3127,65.40%,1255,622,76,30,1983
"Judge, Court of Criminal Appeals, Place 5",0475,791,251,1052,1936,54.34%,390,572,16,28,1006
"Judge, Court of Criminal Appeals, Place 5",0476,1078,405,1483,2458,60.33%,715,646,34,39,1434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0477,2032,640,2672,4010,66.63%,1725,730,78,34,2567
"Judge, Court of Criminal Appeals, Place 5",0478,2273,683,2956,4696,62.95%,1758,977,75,46,2856
"Judge, Court of Criminal Appeals, Place 5",0479,1978,755,2733,3851,70.97%,1907,627,83,33,2650
"Judge, Court of Criminal Appeals, Place 5",0480,1448,538,1986,2978,66.69%,1285,571,47,24,1927
"Judge, Court of Criminal Appeals, Place 5",0481,1759,667,2426,3609,67.22%,1673,547,64,44,2328
"Judge, Court of Criminal Appeals, Place 5",0482,2260,618,2878,4405,65.33%,1845,818,82,47,2792
"Judge, Court of Criminal Appeals, Place 5",0483,2312,538,2850,4495,63.40%,1378,1211,87,61,2737
"Judge, Court of Criminal Appeals, Place 5",0484,2021,700,2721,3981,68.35%,1642,872,76,50,2640
"Judge, Court of Criminal Appeals, Place 5",0485,2121,567,2588,4051,66.35%,1808,685,89,29,2611
"Judge, Court of Criminal Appeals, Place 5",0486,2310,721,3031,4195,72.25%,2209,623,75,30,2937
"Judge, Court of Criminal Appeals, Place 5",0487,1407,527,1934,4142,46.69%,443,1269,28,44,1784
"Judge, Court of Criminal Appeals, Place 5",0488,843,511,1354,2382,56.84%,346,886,25,34,1291
"Judge, Court of Criminal Appeals, Place 5",0489,865,344,1209,1958,61.75%,309,807,17,32,1165
"Judge, Court of Criminal Appeals, Place 5",0490,982,346,1328,2105,63.09%,391,817,38,25,1271
"Judge, Court of Criminal Appeals, Place 5",0491,947,488,1435,2110,68.01%,732,573,38,29,1372
"Judge, Court of Criminal Appeals, Place 5",0492,1222,396,1618,2552,63.40%,795,702,42,22,1561
"Judge, Court of Criminal Appeals, Place 5",0493,1404,555,1959,3338,58.69%,662,1102,49,47,1860
"Judge, Court of Criminal Appeals, Place 5",0494,1079,419,1498,2787,53.75%,165,1217,20,43,1445
"Judge, Court of Criminal Appeals, Place 5",0495,1414,376,1790,2488,71.95%,1162,495,44,18,1719
"Judge, Court of Criminal Appeals, Place 5",0496,687,549,1236,2325,53.16%,399,730,19,40,1188
"Judge, Court of Criminal Appeals, Place 5",0497,91,e,281,1197,2148,55.73%,52,1099,6,7,1164
"Judge, Court of Criminal Appeals, Place 5",0498,1072,423,1495,2527,59.16%,478,879,44,42,1443
"Judge, Court of Criminal Appeals, Place 5",0499,1434,397,1831,2336,78.38%,1266,455,31,21,1773
"Judge, Court of Criminal Appeals, Place 5",0500,1870,651,2521,3698,68.17%,1496,828,64,49,2437
"Judge, Court of Criminal Appeals, Place 5",0501,1149,406,1555,2016,77.13%,615,765,70,28,1478
"Judge, Court of Criminal Appeals, Place 5",0502,1355,293,1559,2595,63.93%,1225,323,31,16,1595
"Judge, Court of Criminal Appeals, Place 5",0503,1398,306,1704,2236,76.21%,1208,372,39,21,1640
"Judge, Court of Criminal Appeals, Place 5",0504,1271,482,1753,2318,75.63%,1075,513,65,27,1680
"Judge, Court of Criminal Appeals, Place 5",0505,1755,735,2490,4076,61.09%,1024,1195,72,80,2371
"Judge, Court of Criminal Appeals, Place 5",0506,1513,696,2209,3544,62.33%,319,1753,33,38,2143
"Judge, Court of Criminal Appeals, Place 5",0507,599,319,918,2562,35.83%,196,603,8,11,818
"Judge, Court of Criminal Appeals, Place 5",0508,1520,828,2348,4767,49.26%,611,1471,45,64,2191
"Judge, Court of Criminal Appeals, Place 5",0509,2507,669,3175,5153,61.63%,1869,1058,94,52,3073
"Judge, Court of Criminal Appeals, Place 5",0510,1707,666,2373,3822,62.09%,936,1246,74,54,2310
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0511,2935,574,3509,4620,75.95%,2029,1267,79,36,3411
"Judge, Court of Criminal Appeals, Place 5",0512,1669,871,2540,4559,55.71%,906,1419,61,58,2444
"Judge, Court of Criminal Appeals, Place 5",0513,1758,413,2171,3003,72.29%,1512,535,37,18,2102
"Judge, Court of Criminal Appeals, Place 5",0514,2289,613,2902,4378,66.29%,1911,789,84,31,2815
"Judge, Court of Criminal Appeals, Place 5",0515,1838,468,2306,3182,72.47%,1775,408,42,21,2246
"Judge, Court of Criminal Appeals, Place 5",0516,1317,363,1680,2799,60.02%,772,775,40,40,1627
"Judge, Court of Criminal Appeals, Place 5",0517,1612,509,2121,3744,56.65%,864,1060,62,62,2048
"Judge, Court of Criminal Appeals, Place 5",0518,1887,676,2563,4049,63.30%,1410,966,56,35,2467
"Judge, Court of Criminal Appeals, Place 5",0519,1423,518,1941,3098,62.65%,1254,527,56,46,1883
"Judge, Court of Criminal Appeals, Place 5",0520,1798,670,2468,5202,47.44%,348,1984,28,51,2411
"Judge, Court of Criminal Appeals, Place 5",0521,1352,578,1930,3070,62.87%,840,951,50,33,1874
"Judge, Court of Criminal Appeals, Place 5",0522,1508,464,1972,2815,70.05%,1379,462,59,24,1924
"Judge, Court of Criminal Appeals, Place 5",0523,1978,537,2515,4027,62.45%,1482,812,71,47,2412
"Judge, Court of Criminal Appeals, Place 5",0524,1396,637,2033,3598,56.50%,509,1370,36,39,1954
"Judge, Court of Criminal Appeals, Place 5",0525,1442,574,2015,3260,61.84%,405,1467,24,35,1931
"Judge, Court of Criminal Appeals, Place 5",0526,236,157,393,820,47.93%,76,268,12,18,374
"Judge, Court of Criminal Appeals, Place 5",0527,156,38,194,580,33.45%,69,107,3,4,183
"Judge, Court of Criminal Appeals, Place 5",0528,17,8,25,78,32.05%,1,20,1,2,24
"Judge, Court of Criminal Appeals, Place 5",0529,2108,434,2542,3842,66.16%,2040,324,75,29,2468
"Judge, Court of Criminal Appeals, Place 5",0530,376,212,588,1236,47.57%,97,407,11,28,543
"Judge, Court of Criminal Appeals, Place 5",0531,1235,166,1401,2250,62.27%,992,308,20,13,1333
"Judge, Court of Criminal Appeals, Place 5",0532,478,140,618,1058,58.41%,397,192,12,8,609
"Judge, Court of Criminal Appeals, Place 5",0533,353,169,522,1164,44.85%,242,227,13,13,495
"Judge, Court of Criminal Appeals, Place 5",0534,1898,577,2475,3918,63.17%,1641,637,42,52,2372
"Judge, Court of Criminal Appeals, Place 5",0535,132,62,194,413,46.97%,57,113,2,9,181
"Judge, Court of Criminal Appeals, Place 5",0536,2107,1053,3150,5637,56.06%,940,1889,56,125,3010
"Judge, Court of Criminal Appeals, Place 5",0537,1959,464,2423,3174,76.34%,1679,618,31,18,2346
"Judge, Court of Criminal Appeals, Place 5",0538,372,203,575,1332,43.17%,14,542,2,6,564
"Judge, Court of Criminal Appeals, Place 5",0539,811,234,1045,1535,68.08%,536,426,16,22,1000
"Judge, Court of Criminal Appeals, Place 5",0540,1008,349,1357,1759,77.15%,458,758,31,26,1273
"Judge, Court of Criminal Appeals, Place 5",0541,2172,761,2933,5001,58.65%,428,2283,59,62,2832
"Judge, Court of Criminal Appeals, Place 5",0542,1156,406,1562,2654,58.85%,88,1371,19,40,1518
"Judge, Court of Criminal Appeals, Place 5",0543,554,321,875,1658,52.77%,192,591,14,40,837
"Judge, Court of Criminal Appeals, Place 5",0544,84,54,138,313,44.09%,14,121,1,1,137
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0545,2020,468,2488,3949,63.00%,1037,1252,50,49,2388
"Judge, Court of Criminal Appeals, Place 5",0546,1524,278,1802,2471,72.93%,1485,250,24,6,1765
"Judge, Court of Criminal Appeals, Place 5",0547,1414,270,1684,2534,66.46%,1046,485,60,28,1619
"Judge, Court of Criminal Appeals, Place 5",0548,882,395,1277,2339,54.60%,530,648,25,35,1238
"Judge, Court of Criminal Appeals, Place 5",0549,1106,447,1553,2786,55.74%,178,1287,16,34,1515
"Judge, Court of Criminal Appeals, Place 5",0550,1175,553,1728,3245,53.25%,689,915,39,38,1681
"Judge, Court of Criminal Appeals, Place 5",0551,2588,793,3381,4428,76.36%,2476,714,55,19,3264
"Judge, Court of Criminal Appeals, Place 5",0552,2093,784,2877,3762,76.48%,2236,477,63,17,2793
"Judge, Court of Criminal Appeals, Place 5",0553,964,317,1281,2193,58.41%,440,737,37,33,1247
"Judge, Court of Criminal Appeals, Place 5",0554,597,271,868,1774,48.93%,162,655,11,12,840
"Judge, Court of Criminal Appeals, Place 5",0555,642,390,1032,2286,45.14%,171,797,14,17,999
"Judge, Court of Criminal Appeals, Place 5",0556,760,435,1195,2491,47.97%,220,893,20,16,1149
"Judge, Court of Criminal Appeals, Place 5",0557,925,460,1385,2955,46.87%,347,861,25,44,1277
"Judge, Court of Criminal Appeals, Place 5",0558,1815,721,2536,4718,53.75%,699,1655,52,58,2464
"Judge, Court of Criminal Appeals, Place 5",0559,1917,701,2618,4984,52.53%,539,1859,70,55,2523
"Judge, Court of Criminal Appeals, Place 5",0560,290,247,537,1141,47.06%,82,385,4,36,507
"Judge, Court of Criminal Appeals, Place 5",0561,1025,624,1649,3138,52.55%,899,591,45,50,1585
"Judge, Court of Criminal Appeals, Place 5",0562,222,116,338,691,48.91%,38,257,1,14,310
"Judge, Court of Criminal Appeals, Place 5",0563,2075,337,2412,3468,69.55%,1780,485,54,16,2335
"Judge, Court of Criminal Appeals, Place 5",0564,1567,526,2093,3240,64.60%,519,1358,63,61,2001
"Judge, Court of Criminal Appeals, Place 5",0565,336,148,484,1414,34.23%,68,374,9,12,463
"Judge, Court of Criminal Appeals, Place 5",0566,1189,441,1630,3029,53.81%,370,1140,37,30,1577
"Judge, Court of Criminal Appeals, Place 5",0567,966,390,1356,2851,47.56%,323,905,17,22,1267
"Judge, Court of Criminal Appeals, Place 5",0568,1836,697,2533,3638,69.63%,1531,763,69,50,2413
"Judge, Court of Criminal Appeals, Place 5",0569,2036,747,2783,4125,67.47%,1252,1249,83,63,2647
"Judge, Court of Criminal Appeals, Place 5",0570,771,278,1049,1598,65.64%,356,571,39,25,991
"Judge, Court of Criminal Appeals, Place 5",0571,521,314,835,1950,42.82%,219,514,13,49,795
"Judge, Court of Criminal Appeals, Place 5",0572,1531,444,1975,3308,59.70%,804,1010,59,33,1906
"Judge, Court of Criminal Appeals, Place 5",0573,490,215,705,1625,43.38%,13,674,3,7,697
"Judge, Court of Criminal Appeals, Place 5",0574,112,74,186,391,47.57%,19,150,0,7,176
"Judge, Court of Criminal Appeals, Place 5",0575,1906,535,2441,3557,68.63%,1265,969,77,43,2354
"Judge, Court of Criminal Appeals, Place 5",0576,1110,375,1485,2830,52.47%,77,1323,20,29,1449
"Judge, Court of Criminal Appeals, Place 5",0577,887,205,1092,1586,68.85%,621,381,22,22,1046
"Judge, Court of Criminal Appeals, Place 5",0578,1026,405,1431,1862,76.85%,848,440,38,22,1348
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0579,287,181,468,1139,41.09%,73,354,7,12,446
"Judge, Court of Criminal Appeals, Place 5",0580,366,108,474,985,48.12%,15,441,5,6,467
"Judge, Court of Criminal Appeals, Place 5",0581,457,137,594,1033,57.50%,12,552,1,13,578
"Judge, Court of Criminal Appeals, Place 5",0582,543,232,775,1607,48.23%,42,685,9,10,746
"Judge, Court of Criminal Appeals, Place 5",0583,434,155,589,1286,45.80%,14,556,0,6,576
"Judge, Court of Criminal Appeals, Place 5",0584,367,120,487,1062,45.86%,32,422,5,9,468
"Judge, Court of Criminal Appeals, Place 5",0585,830,280,1110,2346,47.31%,53,1012,10,8,1083
"Judge, Court of Criminal Appeals, Place 5",0586,1793,790,2583,4521,57.13%,1369,993,73,65,2500
"Judge, Court of Criminal Appeals, Place 5",0587,1208,431,1639,2870,57.11%,485,1029,40,32,1586
"Judge, Court of Criminal Appeals, Place 5",0588,1941,606,2547,3780,67.38%,1591,770,67,42,2470
"Judge, Court of Criminal Appeals, Place 5",0589,1540,545,2085,3780,55.16%,928,990,51,55,2024
"Judge, Court of Criminal Appeals, Place 5",0590,1230,400,1630,2176,74.91%,1212,291,41,23,1567
"Judge, Court of Criminal Appeals, Place 5",0591,652,462,1114,2274,48.99%,246,752,16,46,1060
"Judge, Court of Criminal Appeals, Place 5",0592,449,272,721,1446,49.86%,131,509,19,28,687
"Judge, Court of Criminal Appeals, Place 5",0593,1581,755,2316,4179,55.42%,850,1250,54,69,2223
"Judge, Court of Criminal Appeals, Place 5",0594,1244,316,1560,2578,60.51%,404,1071,19,34,1528
"Judge, Court of Criminal Appeals, Place 5",0595,601,299,900,1833,49.10%,124,717,11,26,878
"Judge, Court of Criminal Appeals, Place 5",0596,1380,501,1881,3574,52.63%,772,899,71,60,1802
"Judge, Court of Criminal Appeals, Place 5",0597,1205,609,1814,3587,50.57%,581,1079,44,32,1736
"Judge, Court of Criminal Appeals, Place 5",0598,2389,731,3120,5253,59.39%,971,1888,80,75,3014
"Judge, Court of Criminal Appeals, Place 5",0599,1380,493,1873,3005,62.33%,596,1138,40,48,1822
"Judge, Court of Criminal Appeals, Place 5",0600,1603,776,2379,4204,56.59%,724,1452,49,57,2282
"Judge, Court of Criminal Appeals, Place 5",0601,2223,670,2893,4151,69.69%,1988,718,67,35,2808
"Judge, Court of Criminal Appeals, Place 5",0602,756,234,990,1441,68.70%,646,273,24,17,960
"Judge, Court of Criminal Appeals, Place 5",0603,2344,725,3069,4666,65.77%,1638,1161,110,64,2973
"Judge, Court of Criminal Appeals, Place 5",0604,1818,375,2193,3189,68.77%,1762,285,48,22,2117
"Judge, Court of Criminal Appeals, Place 5",0605,1714,599,2313,4217,54.85%,483,1634,45,61,2223
