Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0158,1145,365,1510,3049,49.52%,35,1427,6,8,1476
"Judge, Court of Criminal Appeals, Place 5",0159,350,147,497,997,49.85%,69,391,9,10,479
"Judge, Court of Criminal Appeals, Place 5",0160,286,67,353,717,49.23%,13,320,4,5,342
"Judge, Court of Criminal Appeals, Place 5",0161,378,173,551,992,55.54%,17,510,2,2,531
"Judge, Court of Criminal Appeals, Place 5",0162,364,257,531,1312,48.09%,141,417,15,22,595
"Judge, Court of Criminal Appeals, Place 5",0163,1083,524,1507,3075,52.26%,422,966,25,62,1475
"Judge, Court of Criminal Appeals, Place 5",0164,441,258,699,1407,49.68%,21,638,4,5,668
"Judge, Court of Criminal Appeals, Place 5",0165,1172,469,1641,2460,66.71%,894,579,54,45,1572
"Judge, Court of Criminal Appeals, Place 5",0166,563,261,824,1171,70.37%,254,453,31,35,773
"Judge, Court of Criminal Appeals, Place 5",0167,5,2,7,24,29.17%,0,6,0,0,6
"Judge, Court of Criminal Appeals, Place 5",0168,196,59,255,512,49.80%,4,245,1,2,252
"Judge, Court of Criminal Appeals, Place 5",0169,985,247,1232,2548,48.35%,31,1145,9,9,1194
"Judge, Court of Criminal Appeals, Place 5",0170,554,262,925,1958,47.29%,396,436,21,25,878
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0171,482,283,765,1648,46.42%,34,683,6,11,734
"Judge, Court of Criminal Appeals, Place 5",0172,245,103,348,661,52.65%,77,226,13,20,336
"Judge, Court of Criminal Appeals, Place 5",0173,2262,683,2945,3966,74.26%,2101,637,79,30,2847
"Judge, Court of Criminal Appeals, Place 5",0174,1718,707,2425,3389,71.56%,1529,660,63,53,2305
"Judge, Court of Criminal Appeals, Place 5",0175,1403,691,2094,2711,77.24%,1046,843,38,31,1958
"Judge, Court of Criminal Appeals, Place 5",0176,767,375,1142,1533,74.49%,531,498,27,8,1064
"Judge, Court of Criminal Appeals, Place 5",0177,943,333,1276,1715,74.40%,648,477,46,26,1197
"Judge, Court of Criminal Appeals, Place 5",0178,1116,273,1389,1795,77.38%,876,385,38,15,1314
"Judge, Court of Criminal Appeals, Place 5",0179,773,244,1017,1673,60.79%,438,472,32,28,970
"Judge, Court of Criminal Appeals, Place 5",0180,930,463,1393,2914,47.80%,45,1257,12,21,1335
"Judge, Court of Criminal Appeals, Place 5",0181,698,439,1137,2195,51.80%,231,791,19,48,1089
"Judge, Court of Criminal Appeals, Place 5",0182,1952,994,2946,4071,72.37%,1526,1148,53,35,2762
"Judge, Court of Criminal Appeals, Place 5",0183,1289,715,2004,2535,79.05%,1232,613,36,21,1902
"Judge, Court of Criminal Appeals, Place 5",0184,278,219,497,1048,47.42%,116,323,14,17,470
"Judge, Court of Criminal Appeals, Place 5",0185,709,444,1153,2054,56.13%,279,753,17,45,1094
"Judge, Court of Criminal Appeals, Place 5",0186,252,150,402,798,50.38%,28,343,4,15,390
"Judge, Court of Criminal Appeals, Place 5",0187,95,51,147,309,47.57%,22,99,1,12,134
"Judge, Court of Criminal Appeals, Place 5",0188,499,306,805,1711,47.05%,229,501,16,28,774
"Judge, Court of Criminal Appeals, Place 5",0189,805,279,1084,1505,72.03%,572,400,36,20,1028
"Judge, Court of Criminal Appeals, Place 5",0190,571,326,897,1849,48.51%,236,552,23,42,853
"Judge, Court of Criminal Appeals, Place 5",0191,327,259,586,1408,41.62%,157,360,14,30,561
"Judge, Court of Criminal Appeals, Place 5",0192,757,259,1016,1959,51.86%,55,895,17,15,982
"Judge, Court of Criminal Appeals, Place 5",0193,376,211,587,1099,53.41%,17,521,11,16,565
"Judge, Court of Criminal Appeals, Place 5",0194,1144,449,1593,2172,73.34%,419,985,62,43,1509
"Judge, Court of Criminal Appeals, Place 5",0195,606,344,950,1739,54.63%,41,846,7,16,910
"Judge, Court of Criminal Appeals, Place 5",0196,133,37,170,313,54.31%,15,135,5,6,161
"Judge, Court of Criminal Appeals, Place 5",0197,995,372,1368,2969,46.08%,34,1258,14,22,1328
"Judge, Court of Criminal Appeals, Place 5",0198,161,82,243,619,39.26%,8,219,3,5,235
"Judge, Court of Criminal Appeals, Place 5",0199,1932,815,2747,4063,67.61%,1988,555,89,31,2663
"Judge, Court of Criminal Appeals, Place 5",0200,2317,377,2694,3692,72.97%,1163,1252,89,52,2556
"Judge, Court of Criminal Appeals, Place 5",0201,222,105,327,773,42.30%,9,304,4,3,320
"Judge, Court of Criminal Appeals, Place 5",0202,421,233,654,1410,46.38%,22,596,3,8,629
"Judge, Court of Criminal Appeals, Place 5",0203,298,111,409,988,41.40%,51,306,15,16,388
"Judge, Court of Criminal Appeals, Place 5",0204,2104,577,2681,3568,75.14%,1353,1010,103,52,2518
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0205,772,171,943,1724,54.70%,21,887,7,6,921
"Judge, Court of Criminal Appeals, Place 5",0206,1278,494,1772,2965,59.76%,477,1057,66,77,1677
"Judge, Court of Criminal Appeals, Place 5",0207,606,212,818,1166,70.15%,247,469,20,40,776
"Judge, Court of Criminal Appeals, Place 5",0208,910,338,1248,2256,55.32%,275,844,14,39,1172
"Judge, Court of Criminal Appeals, Place 5",0209,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0210,1269,489,1758,2781,63.21%,253,1349,38,58,1698
"Judge, Court of Criminal Appeals, Place 5",0211,965,595,1551,3130,49.87%,391,968,37,80,1476
"Judge, Court of Criminal Appeals, Place 5",0212,309,323,632,1370,46.13%,94,476,6,24,600
"Judge, Court of Criminal Appeals, Place 5",0213,1782,795,2577,3406,75.66%,1963,467,40,19,2489
"Judge, Court of Criminal Appeals, Place 5",0214,1017,418,1435,1911,75.09%,819,478,38,18,1353
"Judge, Court of Criminal Appeals, Place 5",0215,1097,636,1733,2286,75.81%,934,636,37,35,1642
"Judge, Court of Criminal Appeals, Place 5",0216,778,244,1022,1966,51.98%,54,897,12,23,986
"Judge, Court of Criminal Appeals, Place 5",0217,1547,618,2165,2736,79.13%,1322,674,38,30,2064
"Judge, Court of Criminal Appeals, Place 5",0218,1101,457,1558,2467,63.15%,362,980,35,73,1450
"Judge, Court of Criminal Appeals, Place 5",0219,1125,515,1641,2868,57.22%,141,1377,19,31,1568
"Judge, Court of Criminal Appeals, Place 5",0220,833,306,1139,2362,48.22%,688,355,22,23,1088
"Judge, Court of Criminal Appeals, Place 5",0221,1032,473,1505,2598,57.93%,456,879,24,64,1423
"Judge, Court of Criminal Appeals, Place 5",0222,1461,671,2132,2728,78.15%,1025,928,31,22,2006
"Judge, Court of Criminal Appeals, Place 5",0223,1766,517,2283,3664,62.31%,548,1463,85,72,2168
"Judge, Court of Criminal Appeals, Place 5",0224,1165,495,1551,2313,71.81%,740,755,39,30,1564
"Judge, Court of Criminal Appeals, Place 5",0225,1357,596,1953,3689,52.94%,785,1016,52,35,1888
"Judge, Court of Criminal Appeals, Place 5",0226,840,421,1261,2554,49.37%,225,895,17,76,1213
"Judge, Court of Criminal Appeals, Place 5",0227,1071,359,1430,1810,79.01%,1019,314,24,9,1366
"Judge, Court of Criminal Appeals, Place 5",0228,628,159,787,1175,66.98%,48,712,7,7,774
"Judge, Court of Criminal Appeals, Place 5",0229,229,168,397,828,47.95%,106,244,4,21,375
"Judge, Court of Criminal Appeals, Place 5",0230,354,155,519,1094,47.44%,21,472,5,6,504
"Judge, Court of Criminal Appeals, Place 5",0231,802,445,1247,2376,52.48%,234,873,23,59,1189
"Judge, Court of Criminal Appeals, Place 5",0232,942,438,1380,1826,75.58%,741,516,26,19,1302
"Judge, Court of Criminal Appeals, Place 5",0233,2583,703,3286,4713,69.72%,1441,1463,123,78,3105
"Judge, Court of Criminal Appeals, Place 5",0234,2425,728,3153,4042,78.01%,2243,703,45,19,3010
"Judge, Court of Criminal Appeals, Place 5",0235,461,203,664,1421,46.73%,24,598,7,10,639
"Judge, Court of Criminal Appeals, Place 5",0236,555,308,964,2104,45.82%,39,874,12,17,942
"Judge, Court of Criminal Appeals, Place 5",0237,740,312,1052,2146,49.02%,25,987,8,13,1033
"Judge, Court of Criminal Appeals, Place 5",0238,607,317,924,1948,47.43%,28,840,9,13,890
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0239,694,334,1028,1984,51.81%,32,956,8,16,1012
"Judge, Court of Criminal Appeals, Place 5",0240,1008,292,1300,2601,49.98%,30,1223,7,9,1269
"Judge, Court of Criminal Appeals, Place 5",0241,652,383,1035,2466,41.97%,313,636,11,38,998
"Judge, Court of Criminal Appeals, Place 5",0242,507,314,821,1744,47.08%,343,386,14,32,775
"Judge, Court of Criminal Appeals, Place 5",0243,245,42,287,475,60.42%,5,278,1,0,284
"Judge, Court of Criminal Appeals, Place 5",0244,1412,538,1950,3296,59.16%,870,914,52,38,1874
"Judge, Court of Criminal Appeals, Place 5",0245,2103,811,2914,4679,62.28%,1736,940,79,51,2806
"Judge, Court of Criminal Appeals, Place 5",0246,2214,482,2696,3971,67.89%,1602,909,51,46,2608
"Judge, Court of Criminal Appeals, Place 5",0247,441,376,817,1595,51.22%,22,757,8,17,804
"Judge, Court of Criminal Appeals, Place 5",0248,454,347,801,2147,37.31%,160,565,14,29,768
"Judge, Court of Criminal Appeals, Place 5",0249,1127,365,1492,2825,52.81%,913,496,28,24,1461
"Judge, Court of Criminal Appeals, Place 5",0250,288,183,471,925,50.92%,15,442,4,4,465
"Judge, Court of Criminal Appeals, Place 5",0251,806,378,1184,2132,55.53%,60,1072,10,7,1149
"Judge, Court of Criminal Appeals, Place 5",0252,927,309,1236,2292,53.93%,24,1159,7,13,1203
"Judge, Court of Criminal Appeals, Place 5",0253,760,311,1071,2154,49.72%,27,1005,8,13,1053
"Judge, Court of Criminal Appeals, Place 5",0254,411,280,691,1675,41.25%,135,493,13,20,661
"Judge, Court of Criminal Appeals, Place 5",0255,1257,586,1843,2489,74.05%,779,888,45,30,1742
"Judge, Court of Criminal Appeals, Place 5",0256,1398,583,1981,3321,59.65%,636,1145,35,73,1889
"Judge, Court of Criminal Appeals, Place 5",0257,999,622,1621,3497,46.35%,345,1147,24,48,1564
"Judge, Court of Criminal Appeals, Place 5",0258,1948,606,2556,3346,76.39%,1799,568,53,21,2441
