Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0314,2997,817,3814,5606,68.03%,2141,1528,3669
"District Judge, 351 st Judicial District",0315,801,353,1154,1636,70.54%,653,420,1073
"District Judge, 351 st Judicial District",0316,739,340,1079,1513,71.32%,592,399,991
"District Judge, 351 st Judicial District",0317,593,252,845,1661,50.87%,217,575,792
"District Judge, 351 st Judicial District",0318,1726,529,2255,3776,59.72%,129,2047,2176
"District Judge, 351 st Judicial District",0319,994,271,1265,2199,57.53%,69,1156,1225
"District Judge, 351 st Judicial District",0320,554,238,792,1570,50.45%,271,472,743
"District Judge, 351 st Judicial District",0321,867,363,1230,2483,49.54%,329,801,1130
"District Judge, 351 st Judicial District",0322,426,124,550,1210,45.45%,158,376,534
"District Judge, 351 st Judicial District",0323,700,296,996,1793,55.55%,376,567,943
"District Judge, 351 st Judicial District",0324,1444,560,2004,2607,76.87%,1239,634,1873
"District Judge, 351 st Judicial District",0325,802,257,1059,2176,48.67%,183,810,993
"District Judge, 351 st Judicial District",0326,271,129,400,736,54.35%,140,227,367
"District Judge, 351 st Judicial District",0327,738,141,879,1758,50.00%,23,823,846
"District Judge, 351 st Judicial District",0328,425,286,711,1631,43.59%,210,461,671
"District Judge, 351 st Judicial District",0329,589,260,849,1621,52.38%,251,549,800
"District Judge, 351 st Judicial District",0330,863,326,1189,2146,55.41%,525,593,1118
"District Judge, 351 st Judicial District",0331,884,234,1118,1612,69.35%,684,368,1052
"District Judge, 351 st Judicial District",0332,1355,503,1858,2926,63.50%,177,1601,1778
"District Judge, 351 st Judicial District",0333,1385,942,2327,3296,70.60%,1620,573,2193
"District Judge, 351 st Judicial District",0334,246,104,350,786,44.53%,58,274,332
"District Judge, 351 st Judicial District",0335,489,293,782,1679,46.58%,187,538,725
"District Judge, 351 st Judicial District",0336,2489,689,3178,4771,66.61%,309,2766,3075
"District Judge, 351 st Judicial District",0337,367,155,522,1108,47.11%,74,412,486
"District Judge, 351 st Judicial District",0338,1626,632,2258,5001,45.15%,575,1568,2143
"District Judge, 351 st Judicial District",0339,704,303,1007,1909,52.75%,196,740,936
"District Judge, 351 st Judicial District",0340,2040,654,2694,4012,67.15%,1878,674,2552
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0341,380,278,658,1372,47.96%,151,468,619
"District Judge, 351 st Judicial District",0342,311,225,536,1092,49.08%,114,389,503
"District Judge, 351 st Judicial District",0343,722,370,1092,2099,52.02%,207,809,1016
"District Judge, 351 st Judicial District",0344,381,207,588,1225,48.00%,25,532,557
"District Judge, 351 st Judicial District",0345,575,349,924,1945,47.51%,179,684,863
"District Judge, 351 st Judicial District",0346,1,0,1,1,100.00%,0,0,0
"District Judge, 351 st Judicial District",0347,1461,618,2079,3614,57.53%,1184,810,1994
"District Judge, 351 st Judicial District",0348,830,242,1072,1796,59.69%,717,308,1025
"District Judge, 351 st Judicial District",0349,458,369,827,1372,60.28%,485,311,796
"District Judge, 351 st Judicial District",0350,1574,582,2256,3269,69.01%,829,1233,2062
"District Judge, 351 st Judicial District",0351,2855,570,3425,4799,71.37%,2578,699,3277
"District Judge, 351 st Judicial District",0352,2023,538,2561,4278,59.86%,1753,705,2458
"District Judge, 351 st Judicial District",0353,1715,659,2374,4156,57.12%,393,1889,2282
"District Judge, 351 st Judicial District",0354,1569,429,1998,3520,56.76%,452,1434,1886
"District Judge, 351 st Judicial District",0355,821,239,1050,1714,61.84%,107,914,1021
"District Judge, 351 st Judicial District",0356,1542,582,2124,3126,67.95%,1173,827,2000
"District Judge, 351 st Judicial District",0357,1882,557,2439,3685,66.19%,1723,592,2315
"District Judge, 351 st Judicial District",0358,775,376,1151,2634,43.70%,122,982,1104
"District Judge, 351 st Judicial District",0359,803,496,1299,3320,39.13%,132,1125,1257
"District Judge, 351 st Judicial District",0360,1858,597,2455,3309,74.19%,1163,1092,2255
"District Judge, 351 st Judicial District",0361,323,688,1011,1808,55.92%,148,755,903
"District Judge, 351 st Judicial District",0362,2865,553,3418,5161,66.23%,2335,934,3269
"District Judge, 351 st Judicial District",0363,1826,635,2461,4160,59.16%,962,1416,2378
"District Judge, 351 st Judicial District",0364,1190,528,1718,2827,60.77%,762,849,1611
"District Judge, 351 st Judicial District",0365,827,174,1001,1348,74.26%,119,847,966
"District Judge, 351 st Judicial District",0366,988,524,1512,2887,52.37%,314,1127,1441
"District Judge, 351 st Judicial District",0367,453,204,657,1256,52.31%,149,469,618
"District Judge, 351 st Judicial District",0368,433,122,555,1024,54.20%,141,392,533
"District Judge, 351 st Judicial District",0369,132,29,161,678,23.75%,57,91,148
"District Judge, 351 st Judicial District",0370,2525,627,3152,4531,69.57%,2226,782,3008
"District Judge, 351 st Judicial District",0371,210,78,288,537,53.63%,12,270,282
"District Judge, 351 st Judicial District",0372,509,180,689,1274,54.08%,71,590,661
"District Judge, 351 st Judicial District",0373,61,13,74,163,45.40%,1,69,70
"District Judge, 351 st Judicial District",0374,175,165,341,720,47.36%,77,247,324
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0375,745,510,1255,2836,44.25%,413,763,1176
"District Judge, 351 st Judicial District",0376,753,344,1097,2060,53.25%,391,638,1029
"District Judge, 351 st Judicial District",0377,1381,643,2024,3137,64.52%,1495,429,1924
"District Judge, 351 st Judicial District",0378,621,447,1068,1856,57.54%,645,374,1019
"District Judge, 351 st Judicial District",0379,857,388,1245,2149,57.93%,108,1099,1207
"District Judge, 351 st Judicial District",0380,2732,551,3283,4380,74.95%,1696,1454,3150
"District Judge, 351 st Judicial District",0381,1185,432,1517,3141,51.48%,600,931,1531
"District Judge, 351 st Judicial District",0382,429,206,635,1035,61.35%,378,229,607
"District Judge, 351 st Judicial District",0383,722,458,1180,2373,49.73%,345,768,1113
"District Judge, 351 st Judicial District",0384,1152,444,1596,2725,58.57%,350,1166,1516
"District Judge, 351 st Judicial District",0385,1141,561,1702,2207,77.12%,1294,317,1611
"District Judge, 351 st Judicial District",0386,1658,419,2077,3105,66.89%,1457,550,2007
"District Judge, 351 st Judicial District",0387,1702,780,2482,4340,57.19%,1615,740,2355
"District Judge, 351 st Judicial District",0388,2899,711,3510,5413,66.69%,1682,1781,3463
"District Judge, 351 st Judicial District",0389,397,293,690,1359,50.77%,96,547,643
"District Judge, 351 st Judicial District",0390,698,271,969,1482,65.38%,138,794,932
"District Judge, 351 st Judicial District",0391,986,336,1322,1978,66.84%,783,475,1258
"District Judge, 351 st Judicial District",0392,652,145,797,1426,55.89%,15,757,772
"District Judge, 351 st Judicial District",0393,427,257,684,1274,53.69%,299,344,643
"District Judge, 351 st Judicial District",0394,236,126,362,914,39.61%,116,223,339
"District Judge, 351 st Judicial District",0395,1007,371,1378,1875,73.49%,921,376,1297
"District Judge, 351 st Judicial District",0396,1035,204,1239,2072,59.80%,33,1166,1199
"District Judge, 351 st Judicial District",0397,204,117,321,796,40.33%,111,189,300
"District Judge, 351 st Judicial District",0398,1761,654,2415,4200,57.50%,1054,1244,2298
"District Judge, 351 st Judicial District",0399,1291,546,1837,3340,55.00%,681,1087,1768
"District Judge, 351 st Judicial District",0400,1457,372,1839,2661,69.11%,1183,576,1759
"District Judge, 351 st Judicial District",0401,703,257,960,1971,48.71%,49,868,917
"District Judge, 351 st Judicial District",0402,897,262,1159,1911,60.65%,65,1057,1122
"District Judge, 351 st Judicial District",0403,959,387,1346,1719,78.30%,739,492,1231
"District Judge, 351 st Judicial District",0404,1033,445,1478,2717,54.40%,693,729,1422
"District Judge, 351 st Judicial District",0405,1910,457,2367,3067,77.18%,1744,551,2295
"District Judge, 351 st Judicial District",0406,275,65,340,649,52.39%,9,318,327
"District Judge, 351 st Judicial District",0407,1703,860,2563,3969,64.58%,1504,908,2412
"District Judge, 351 st Judicial District",0408,520,313,833,1740,47.87%,238,534,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0409,501,280,781,1608,48.57%,227,504,731
"District Judge, 351 st Judicial District",0410,381,96,477,934,51.07%,88,368,456
"District Judge, 351 st Judicial District",0411,699,418,1117,2426,46.04%,270,774,1044
"District Judge, 351 st Judicial District",0412,156,80,236,478,49.37%,10,218,228
"District Judge, 351 st Judicial District",0413,1546,456,2002,3081,64.98%,715,1178,1893
"District Judge, 351 st Judicial District",0414,1573,514,2087,3586,58.20%,1488,500,1988
"District Judge, 351 st Judicial District",0415,1076,573,1649,2284,72.20%,1096,459,1555
"District Judge, 351 st Judicial District",0416,1443,845,2288,4009,57.07%,1091,1066,2157
"District Judge, 351 st Judicial District",0417,1104,397,1501,2589,57.98%,611,811,1422
"District Judge, 351 st Judicial District",0418,1336,663,1999,3940,50.74%,631,1235,1866
"District Judge, 351 st Judicial District",0419,1166,477,1643,2702,60.81%,936,631,1567
"District Judge, 351 st Judicial District",0420,2687,731,3418,4946,69.11%,2727,547,3274
"District Judge, 351 st Judicial District",0421,1240,273,1513,2023,74.79%,694,755,1449
"District Judge, 351 st Judicial District",0422,1357,401,1768,3348,52.81%,61,1653,1714
"District Judge, 351 st Judicial District",0423,316,288,604,1423,42.45%,124,452,576
"District Judge, 351 st Judicial District",0424,548,158,706,1079,65.43%,371,297,668
"District Judge, 351 st Judicial District",0425,257,139,396,878,45.10%,108,266,374
"District Judge, 351 st Judicial District",0426,485,228,713,1266,56.32%,356,312,668
"District Judge, 351 st Judicial District",0427,437,155,592,1120,52.86%,192,362,554
"District Judge, 351 st Judicial District",0428,1588,865,2553,5151,49.56%,618,1793,2411
"District Judge, 351 st Judicial District",0429,947,649,1596,3311,48.20%,319,1201,1520
"District Judge, 351 st Judicial District",0430,524,291,815,1794,45.43%,138,619,757
"District Judge, 351 st Judicial District",0431,1218,604,1822,3860,47.20%,381,1350,1731
"District Judge, 351 st Judicial District",0432,456,249,705,1568,44.96%,207,445,652
"District Judge, 351 st Judicial District",0433,163,88,251,561,44.74%,56,181,237
"District Judge, 351 st Judicial District",0434,831,293,1124,1557,72.19%,636,396,1032
"District Judge, 351 st Judicial District",0435,1951,567,2518,3363,74.87%,1585,775,2360
"District Judge, 351 st Judicial District",0436,2008,678,2686,3809,70.52%,1490,1011,2501
"District Judge, 351 st Judicial District",0437,1148,425,1573,2094,75.12%,1042,444,1486
"District Judge, 351 st Judicial District",0438,2288,475,2763,3789,72.92%,1897,699,2596
"District Judge, 351 st Judicial District",0439,1854,749,2603,3701,70.33%,1745,697,2442
"District Judge, 351 st Judicial District",0440,1498,749,2247,2973,75.58%,1703,417,2120
"District Judge, 351 st Judicial District",0441,824,408,1232,1695,72.68%,855,306,1161
"District Judge, 351 st Judicial District",0442,2441,685,3126,4315,72.44%,2520,472,2992
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0443,415,83,498,642,77.57%,362,108,470
"District Judge, 351 st Judicial District",0444,1620,679,2299,3625,63.42%,1231,920,2151
"District Judge, 351 st Judicial District",0445,1036,382,1418,2134,66.45%,836,505,1341
"District Judge, 351 st Judicial District",0446,89,45,134,309,43.37%,49,78,127
"District Judge, 351 st Judicial District",0447,2411,464,2875,3727,77.14%,1851,873,2724
"District Judge, 351 st Judicial District",0448,1763,529,2292,3155,72.65%,1271,831,2102
"District Judge, 351 st Judicial District",0449,73,26,99,225,44.00%,11,86,97
"District Judge, 351 st Judicial District",0450,1104,394,1498,2890,51.83%,382,1052,1434
"District Judge, 351 st Judicial District",0451,1719,367,2086,2771,75.28%,1648,352,2000
"District Judge, 351 st Judicial District",0452,1871,662,2533,3789,66.85%,1658,761,2419
"District Judge, 351 st Judicial District",0453,661,417,1078,2039,52.87%,284,732,1016
"District Judge, 351 st Judicial District",0454,1043,288,1331,2509,53.05%,21,1269,1290
"District Judge, 351 st Judicial District",0455,669,173,842,1713,49.15%,35,777,812
"District Judge, 351 st Judicial District",0456,1404,553,1957,3793,51.60%,1009,848,1857
"District Judge, 351 st Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0458,914,253,1167,2025,57.63%,79,1037,1116
"District Judge, 351 st Judicial District",0459,2362,432,2794,3942,70.88%,2096,573,2669
"District Judge, 351 st Judicial District",0460,1613,472,2085,3280,63.57%,495,1503,1998
"District Judge, 351 st Judicial District",0461,2242,669,2911,4054,71.81%,1793,912,2705
"District Judge, 351 st Judicial District",0462,1474,738,2212,3507,63.07%,740,1373,2113
"District Judge, 351 st Judicial District",0463,1673,564,2237,3773,59.29%,842,1323,2165
"District Judge, 351 st Judicial District",0464,967,582,1549,2343,66.11%,944,505,1449
"District Judge, 351 st Judicial District",0465,1628,594,2222,3778,58.81%,988,1137,2125
"District Judge, 351 st Judicial District",0466,2274,509,2783,4327,64.32%,1382,1292,2674
"District Judge, 351 st Judicial District",0467,501,225,726,1320,55.00%,150,538,688
"District Judge, 351 st Judicial District",0468,1379,747,2126,4040,52.62%,501,1519,2020
"District Judge, 351 st Judicial District",0469,1867,462,2329,3257,71.51%,1776,444,2220
"District Judge, 351 st Judicial District",0470,555,232,787,1358,57.95%,559,192,751
"District Judge, 351 st Judicial District",0471,1057,458,1515,2473,61.26%,1115,341,1456
"District Judge, 351 st Judicial District",0472,463,339,802,1131,70.91%,364,381,745
"District Judge, 351 st Judicial District",0473,944,390,1334,1787,74.65%,897,362,1259
"District Judge, 351 st Judicial District",0474,1417,624,2041,3127,65.27%,1296,653,1949
"District Judge, 351 st Judicial District",0475,791,261,1052,1936,54.34%,400,592,992
"District Judge, 351 st Judicial District",0476,1077,405,1482,2458,60.29%,755,651,1406
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0477,2027,640,2667,4010,66.51%,1787,744,2531
"District Judge, 351 st Judicial District",0478,2271,683,2954,4696,62.90%,1827,979,2806
"District Judge, 351 st Judicial District",0479,1978,755,2733,3851,70.97%,1975,651,2626
"District Judge, 351 st Judicial District",0480,1445,538,1983,2978,66.59%,1321,590,1911
"District Judge, 351 st Judicial District",0481,1756,667,2423,3609,67.14%,1721,574,2295
"District Judge, 351 st Judicial District",0482,2259,618,2877,4405,65.31%,1896,848,2744
"District Judge, 351 st Judicial District",0483,2305,538,2843,4495,63.25%,1428,1256,2684
"District Judge, 351 st Judicial District",0484,2020,700,2720,3981,68.32%,1682,918,2600
"District Judge, 351 st Judicial District",0485,2118,567,2685,4051,66.28%,1869,708,2577
"District Judge, 351 st Judicial District",0486,2310,721,3031,4195,72.25%,2265,627,2892
"District Judge, 351 st Judicial District",0487,1405,527,1932,4142,46.64%,457,1308,1765
"District Judge, 351 st Judicial District",0488,842,511,1353,2382,56.80%,370,916,1286
"District Judge, 351 st Judicial District",0489,865,344,1209,1958,61.75%,330,815,1145
"District Judge, 351 st Judicial District",0490,980,346,1326,2105,62.99%,405,841,1246
"District Judge, 351 st Judicial District",0491,937,488,1425,2110,67.54%,760,578,1338
"District Judge, 351 st Judicial District",0492,1217,396,1613,2552,63.21%,822,711,1533
"District Judge, 351 st Judicial District",0493,1404,555,1959,3338,58.69%,704,1141,1845
"District Judge, 351 st Judicial District",0494,1079,419,1498,2787,53.75%,179,1260,1439
"District Judge, 351 st Judicial District",0495,1414,376,1790,2488,71.95%,1178,512,1690
"District Judge, 351 st Judicial District",0496,687,549,1235,2325,53.16%,411,766,1177
"District Judge, 351 st Judicial District",0497,915,281,1197,2148,55.73%,52,1100,1152
"District Judge, 351 st Judicial District",0498,1069,423,1492,2527,59.04%,500,914,1414
"District Judge, 351 st Judicial District",0499,1433,397,1830,2336,78.34%,1288,458,1746
"District Judge, 351 st Judicial District",0500,1869,651,2520,3698,68.14%,1541,864,2405
"District Judge, 351 st Judicial District",0501,1146,406,1552,2016,76.98%,671,771,1442
"District Judge, 351 st Judicial District",0502,1,355,293,1559,2595,63.93%,1248,331,1579
"District Judge, 351 st Judicial District",0503,1397,306,1703,2236,76.16%,1235,380,1615
"District Judge, 351 st Judicial District",0504,1270,482,1752,2318,75.58%,1118,528,1646
"District Judge, 351 st Judicial District",0505,1750,735,2485,4076,60.97%,1076,1226,2302
"District Judge, 351 st Judicial District",0506,1513,696,2209,3544,62.33%,321,1805,2126
"District Judge, 351 st Judicial District",0507,599,319,918,2562,35.83%,198,618,816
"District Judge, 351 st Judicial District",0508,1519,828,2347,4767,49.23%,633,1536,2169
"District Judge, 351 st Judicial District",0509,2504,669,3173,5153,61.58%,1949,1089,3038
"District Judge, 351 st Judicial District",0510,1701,666,2367,3822,61.93%,992,1285,2277
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0511,2933,574,3507,4620,75.91%,2083,1292,3375
"District Judge, 351 st Judicial District",0512,1668,871,2539,4559,55.69%,958,1456,2414
"District Judge, 351 st Judicial District",0513,1754,413,2187,3003,72.16%,1539,529,2068
"District Judge, 351 st Judicial District",0514,2288,613,2899,4378,66.22%,1940,825,2765
"District Judge, 351 st Judicial District",0515,1836,468,2304,3182,72.41%,1799,405,2204
"District Judge, 351 st Judicial District",0516,1316,363,1679,2799,59.99%,803,804,1607
"District Judge, 351 st Judicial District",0517,1610,509,2119,3744,56.60%,889,1130,2019
"District Judge, 351 st Judicial District",0518,1886,676,2562,4049,63.27%,1464,968,2432
"District Judge, 351 st Judicial District",0519,1421,518,1939,3098,62.59%,1289,564,1853
"District Judge, 351 st Judicial District",0520,1788,670,2456,5202,47.21%,362,2024,2386
"District Judge, 351 st Judicial District",0521,1350,578,1928,3070,62.80%,876,973,1849
"District Judge, 351 st Judicial District",0522,1508,464,1972,2815,70.05%,1437,473,1910
"District Judge, 351 st Judicial District",0523,1978,537,2515,4027,62.45%,1512,863,2375
"District Judge, 351 st Judicial District",0524,1392,637,2029,3598,56.39%,531,1401,1932
"District Judge, 351 st Judicial District",0525,1440,574,2014,3260,61.78%,420,1487,1907
"District Judge, 351 st Judicial District",0526,235,157,392,820,47.80%,78,283,361
"District Judge, 351 st Judicial District",0527,156,38,194,580,33.45%,72,109,181
"District Judge, 351 st Judicial District",0528,17,8,25,78,32.05%,1,23,24
"District Judge, 351 st Judicial District",0529,2107,434,2541,3842,66.14%,2075,351,2426
"District Judge, 351 st Judicial District",0530,375,212,587,1236,47.49%,108,428,536
"District Judge, 351 st Judicial District",0531,1234,166,1400,2250,62.22%,1002,314,1316
"District Judge, 351 st Judicial District",0532,478,140,618,1058,58.41%,404,200,604
"District Judge, 351 st Judicial District",0533,352,169,521,1164,44.76%,254,234,488
"District Judge, 351 st Judicial District",0534,1895,577,2472,3918,63.09%,1694,657,2351
"District Judge, 351 st Judicial District",0535,132,62,194,413,46.97%,58,120,178
"District Judge, 351 st Judicial District",0536,2104,1053,3157,5637,56.00%,991,1973,2964
"District Judge, 351 st Judicial District",0537,1958,464,2422,3174,76.31%,1690,624,2314
"District Judge, 351 st Judicial District",0538,371,203,574,1332,43.09%,14,540,554
"District Judge, 351 st Judicial District",0539,811,234,1045,1535,68.08%,549,439,988
"District Judge, 351 st Judicial District",0540,997,349,1346,1759,76.52%,498,731,1229
"District Judge, 351 st Judicial District",0541,2157,761,2918,5001,58.35%,451,2322,2773
"District Judge, 351 st Judicial District",0542,1156,406,1562,2654,58.85%,98,1399,1497
"District Judge, 351 st Judicial District",0543,553,321,874,1658,52.71%,210,616,826
"District Judge, 351 st Judicial District",0544,84,54,138,313,44.09%,14,121,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0545,2015,468,2483,3949,62.88%,1060,1281,2341
"District Judge, 351 st Judicial District",0546,1524,278,1802,2471,72.93%,1511,239,1750
"District Judge, 351 st Judicial District",0547,1413,270,1683,2534,66.42%,1084,518,1602
"District Judge, 351 st Judicial District",0548,882,395,1277,2339,54.60%,551,681,1232
"District Judge, 351 st Judicial District",0549,1105,447,1552,2786,55.71%,188,1316,1504
"District Judge, 351 st Judicial District",0550,1171,553,1724,3245,53.13%,716,947,1663
"District Judge, 351 st Judicial District",0551,2586,793,3379,4428,76.31%,2501,723,3224
"District Judge, 351 st Judicial District",0552,2090,784,2874,3762,76.40%,2271,488,2759
"District Judge, 351 st Judicial District",0553,962,317,1279,2193,58.32%,475,752,1227
"District Judge, 351 st Judicial District",0554,597,271,868,1774,48.93%,169,665,834
"District Judge, 351 st Judicial District",0555,639,390,1029,2286,45.01%,174,809,983
"District Judge, 351 st Judicial District",0556,759,435,1194,2491,47.93%,233,906,1139
"District Judge, 351 st Judicial District",0557,925,460,1385,2955,46.87%,369,901,1270
"District Judge, 351 st Judicial District",0558,1812,721,2533,4718,53.69%,739,1691,2430
"District Judge, 351 st Judicial District",0559,1901,701,2602,4984,52.21%,575,1908,2483
"District Judge, 351 st Judicial District",0560,290,247,537,1141,47.06%,88,410,498
"District Judge, 351 st Judicial District",0561,1023,624,1647,3138,52.49%,932,624,1556
"District Judge, 351 st Judicial District",0562,222,116,338,691,48.91%,36,274,310
"District Judge, 351 st Judicial District",0563,2069,337,2406,3468,69.38%,1809,486,2295
"District Judge, 351 st Judicial District",0564,1551,526,2077,3240,64.10%,558,1389,1947
"District Judge, 351 st Judicial District",0565,336,148,484,1414,34.23%,73,389,462
"District Judge, 351 st Judicial District",0566,1183,441,1624,3029,53.62%,398,1155,1553
"District Judge, 351 st Judicial District",0567,965,390,1355,2851,47.53%,343,919,1262
"District Judge, 351 st Judicial District",0568,1833,697,2530,3638,69.54%,1578,770,2348
"District Judge, 351 st Judicial District",0569,2027,747,2774,4125,67.25%,1313,1274,2587
"District Judge, 351 st Judicial District",0570,766,278,1044,1598,65.33%,376,587,963
"District Judge, 351 st Judicial District",0571,521,314,835,1950,42.82%,231,559,790
"District Judge, 351 st Judicial District",0572,1522,444,1966,3308,59.43%,843,1018,1861
"District Judge, 351 st Judicial District",0573,489,215,704,1625,43.32%,14,676,690
"District Judge, 351 st Judicial District",0574,112,74,186,391,47.57%,23,154,177
"District Judge, 351 st Judicial District",0575,1905,535,2440,3557,68.60%,1307,1014,2321
"District Judge, 351 st Judicial District",0576,1107,375,1482,2830,52.37%,83,1347,1430
"District Judge, 351 st Judicial District",0577,885,205,1090,1586,68.73%,634,394,1028
"District Judge, 351 st Judicial District",0578,1026,405,1431,1862,76.85%,882,446,1328
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0579,287,181,468,1139,41.09%,76,368,444
"District Judge, 351 st Judicial District",0580,366,108,474,985,48.12%,20,448,468
"District Judge, 351 st Judicial District",0581,456,137,593,1033,57.41%,18,551,569
"District Judge, 351 st Judicial District",0582,543,232,775,1607,48.23%,50,691,741
"District Judge, 351 st Judicial District",0583,433,155,588,1286,45.72%,15,559,574
"District Judge, 351 st Judicial District",0584,367,120,487,1062,45.86%,35,430,465
"District Judge, 351 st Judicial District",0585,829,280,1109,2346,47.27%,58,1014,1072
"District Judge, 351 st Judicial District",0586,1790,790,2580,4521,57.07%,1423,1042,2465
"District Judge, 351 st Judicial District",0587,1204,431,1635,2870,56.97%,513,1052,1565
"District Judge, 351 st Judicial District",0588,1940,606,2546,3780,67.35%,1644,798,2442
"District Judge, 351 st Judicial District",0589,1539,545,2084,3780,55.13%,965,1026,1991
"District Judge, 351 st Judicial District",0590,1230,400,1630,2176,74.91%,1254,291,1545
"District Judge, 351 st Judicial District",0591,651,462,1113,2274,48.94%,264,781,1045
"District Judge, 351 st Judicial District",0592,449,272,721,1446,49.86%,149,535,684
"District Judge, 351 st Judicial District",0593,1581,755,2316,4179,55.42%,885,1301,2186
"District Judge, 351 st Judicial District",0594,1243,316,1559,2578,60.47%,411,1102,1513
"District Judge, 351 st Judicial District",0595,600,299,899,1833,49.05%,131,731,862
"District Judge, 351 st Judicial District",0596,1377,501,1878,3574,52.55%,824,954,1778
"District Judge, 351 st Judicial District",0597,1204,609,1813,3587,50.54%,604,1120,1724
"District Judge, 351 st Judicial District",0598,2389,731,3120,5253,59.39%,1032,1948,2980
"District Judge, 351 st Judicial District",0599,1378,493,1871,3005,62.26%,618,1185,1803
"District Judge, 351 st Judicial District",0600,1602,776,2378,4204,56.57%,760,1489,2249
"District Judge, 351 st Judicial District",0601,2220,670,2890,4151,69.62%,2059,716,2775
"District Judge, 351 st Judicial District",0602,754,234,988,1441,68.56%,655,291,946
"District Judge, 351 st Judicial District",0603,2335,725,3060,4666,65.58%,1700,1228,2928
"District Judge, 351 st Judicial District",0604,1816,375,2191,3189,68.70%,1786,299,2085
"District Judge, 351 st Judicial District",0605,1711,599,2310,4217,54.78%,516,1675,2191
"District Judge, 351 st Judicial District",0606,319,111,430,970,44.33%,8,411,419
"District Judge, 351 st Judicial District",0607,163,51,214,712,30.06%,22,184,206
"District Judge, 351 st Judicial District",0608,156,77,233,570,40.88%,73,146,219
"District Judge, 351 st Judicial District",0609,2037,729,2766,4305,64.25%,1561,1068,2629
"District Judge, 351 st Judicial District",0610,665,343,1008,2086,48.32%,396,543,939
"District Judge, 351 st Judicial District",0611,980,229,1209,2527,47.84%,44,1137,1181
"District Judge, 351 st Judicial District",0612,1927,431,2358,3388,69.60%,1743,500,2243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0613,937,339,1276,2368,53.89%,209,1011,1220
"District Judge, 351 st Judicial District",0614,1949,645,2594,4566,56.81%,743,1726,2469
"District Judge, 351 st Judicial District",0615,1075,301,1376,2086,65.96%,707,607,1314
"District Judge, 351 st Judicial District",0616,1809,611,2420,3516,68.83%,1550,734,2284
"District Judge, 351 st Judicial District",0617,1704,650,2354,4179,56.33%,754,1502,2256
"District Judge, 351 st Judicial District",0618,1698,545,2243,3801,59.01%,878,1280,2158
"District Judge, 351 st Judicial District",0619,2792,663,3455,4916,70.28%,2496,848,3344
"District Judge, 351 st Judicial District",0620,1747,333,2080,3318,62.69%,1053,918,1971
"District Judge, 351 st Judicial District",0621,536,200,736,1272,57.86%,299,389,688
"District Judge, 351 st Judicial District",0622,2129,591,2720,4562,59.62%,1431,1161,2592
"District Judge, 351 st Judicial District",0623,1960,461,2421,3919,61.78%,1476,831,2307
"District Judge, 351 st Judicial District",0624,297,59,356,456,78.07%,262,80,342
"District Judge, 351 st Judicial District",0625,924,372,1296,1864,69.53%,693,531,1224
"District Judge, 351 st Judicial District",0626,2280,784,3054,4816,63.62%,1586,1320,2906
"District Judge, 351 st Judicial District",0627,935,649,1584,3235,48.96%,408,1096,1504
"District Judge, 351 st Judicial District",0628,716,545,1261,2420,52.11%,416,759,1175
"District Judge, 351 st Judicial District",0629,162,96,258,750,34.40%,32,218,250
"District Judge, 351 st Judicial District",0630,2662,541,3203,4738,67.60%,317,2790,3107
"District Judge, 351 st Judicial District",0631,1841,398,2239,3263,68.62%,1456,675,2131
