Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0073,813,282,1095,1621,67.55%,573,441,1014
"District Judge, 351 st Judicial District",0074,2503,268,2771,3578,77.45%,2065,575,2640
"District Judge, 351 st Judicial District",0075,1000,286,1286,1684,76.37%,579,605,1184
"District Judge, 351 st Judicial District",0076,1015,427,1442,2441,59.07%,686,665,1351
"District Judge, 351 st Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 351 st Judicial District",0078,618,254,872,1608,54.23%,207,590,797
"District Judge, 351 st Judicial District",0079,831,602,1433,2963,48.36%,241,1079,1320
"District Judge, 351 st Judicial District",0080,1174,466,1640,2840,57.75%,352,1194,1546
"District Judge, 351 st Judicial District",0081,776,273,1049,1964,53.41%,293,694,987
"District Judge, 351 st Judicial District",0082,1585,756,2341,3539,66.15%,1660,581,2241
"District Judge, 351 st Judicial District",0083,1829,540,2369,4174,56.76%,867,1403,2270
"District Judge, 351 st Judicial District",0084,573,257,830,1421,58.41%,572,228,800
"District Judge, 351 st Judicial District",0085,587,329,916,2169,42.23%,41,838,879
"District Judge, 351 st Judicial District",0086,2032,493,2525,3449,73.21%,1177,1175,2352
"District Judge, 351 st Judicial District",0087,1451,719,2170,2839,76.44%,1427,604,2031
"District Judge, 351 st Judicial District",0088,338,141,479,784,61.10%,306,144,450
"District Judge, 351 st Judicial District",0089,398,424,822,1094,75.14%,483,272,755
"District Judge, 351 st Judicial District",0090,1856,890,2746,3883,70.72%,1989,624,2613
"District Judge, 351 st Judicial District",0091,673,339,1012,1724,58.70%,547,393,940
"District Judge, 351 st Judicial District",0092,1263,474,1737,2260,76.86%,1112,515,1627
"District Judge, 351 st Judicial District",0093,1048,619,1667,3536,47.14%,454,1123,1577
"District Judge, 351 st Judicial District",0094,202,63,265,580,45.69%,45,206,251
"District Judge, 351 st Judicial District",0095,2022,534,2556,3394,75.31%,1648,776,2424
"District Judge, 351 st Judicial District",0096,828,306,1134,2060,55.05%,152,930,1082
"District Judge, 351 st Judicial District",0097,2511,467,2978,4414,67.47%,2176,648,2824
"District Judge, 351 st Judicial District",0098,1385,594,1979,3161,62.61%,1600,298,1898
"District Judge, 351 st Judicial District",0099,681,295,976,2192,44.53%,397,530,927
"District Judge, 351 st Judicial District",0100,529,276,805,1825,44.11%,320,455,775
"District Judge, 351 st Judicial District",0101,221,129,350,988,35.43%,83,250,333
"District Judge, 351 st Judicial District",0102,580,227,807,1907,42.32%,207,556,763
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0103,2140,985,3125,5097,61.31%,1482,1525,3007
"District Judge, 351 st Judicial District",0104,913,211,1124,1920,58.54%,29,1061,1090
"District Judge, 351 st Judicial District",0105,709,433,1142,2304,49.57%,273,783,1056
"District Judge, 351 st Judicial District",0106,73,59,132,299,44.15%,42,87,129
"District Judge, 351 st Judicial District",0107,592,403,995,2230,44.62%,146,804,950
"District Judge, 351 st Judicial District",0108,1461,448,1909,3674,51.96%,886,902,1788
"District Judge, 351 st Judicial District",0109,1098,278,1376,2909,47.30%,31,1296,1327
"District Judge, 351 st Judicial District",0110,1661,481,2142,3222,66.48%,1204,840,2044
"District Judge, 351 st Judicial District",0111,2699,866,3565,4792,74.39%,2450,946,3396
"District Judge, 351 st Judicial District",0112,1507,598,2105,3188,66.03%,1375,629,2004
"District Judge, 351 st Judicial District",0113,1307,418,1725,2718,63.47%,893,761,1654
"District Judge, 351 st Judicial District",0114,2290,506,2796,3885,71.97%,1988,684,2672
"District Judge, 351 st Judicial District",0115,609,272,881,1843,47.80%,83,759,842
"District Judge, 351 st Judicial District",0116,1898,599,2497,3194,78.18%,1874,505,2379
"District Judge, 351 st Judicial District",0117,573,379,952,1900,50.11%,320,567,887
"District Judge, 351 st Judicial District",0118,1823,530,2353,3181,73.97%,1221,1010,2231
"District Judge, 351 st Judicial District",0119,2755,409,3164,4682,67.58%,2443,581,3024
"District Judge, 351 st Judicial District",0120,1804,588,2392,3732,64.09%,1399,862,2261
"District Judge, 351 st Judicial District",0121,354,221,575,966,59.52%,351,207,558
"District Judge, 351 st Judicial District",0122,732,284,1016,1904,53.36%,48,924,972
