Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0803,2665,547,3212,4514,71.16%,2132,907,72,3111
"Member, State Board of Education, District 6",0804,2703,682,3385,5303,63.83%,1688,1479,124,3291
"Member, State Board of Education, District 6",0805,1597,454,2051,2874,71.36%,1511,402,64,1977
"Member, State Board of Education, District 6",0806,1001,324,1325,1889,70.14%,755,487,47,1289
"Member, State Board of Education, District 6",0807,792,349,1141,2163,52.75%,182,892,34,1108
"Member, State Board of Education, District 6",0809,19,7,26,98,26.53%,12,12,1,25
"Member, State Board of Education, District 6",0814,1968,827,2795,5483,50.98%,518,2104,76,2698
"Member, State Board of Education, District 6",0817,2787,550,3337,4700,71.00%,2221,946,88,3255
"Member, State Board of Education, District 6",0819,108,31,139,228,60.96%,62,62,1,125
"Member, State Board of Education, District 6",0823,1339,410,1749,3017,57.97%,863,747,74,1684
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0825,9,7,16,21,76.19%,3,11,2,16
"Member, State Board of Education, District 6",0826,177,70,247,355,69.58%,118,101,8,227
"Member, State Board of Education, District 6",0828,1174,281,1455,1965,74.05%,1077,282,47,1406
"Member, State Board of Education, District 6",0837,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",0839,419,174,593,1190,49.83%,112,427,34,573
"Member, State Board of Education, District 6",0851,1885,441,2326,3597,64.66%,1450,683,107,2240
"Member, State Board of Education, District 6",0853,1637,487,2124,2986,71.13%,1495,496,74,2065
"Member, State Board of Education, District 6",0862,1989,508,2497,3739,66.78%,1399,940,77,2416
"Member, State Board of Education, District 6",0870,0,2,2,0,0.00%,1,1,0,2
"Member, State Board of Education, District 6",0874,1681,670,2351,3294,71.37%,1609,584,79,2272
"Member, State Board of Education, District 6",0876,1945,577,2522,3485,72.37%,1677,700,69,2446
"Member, State Board of Education, District 6",0878,685,110,795,1039,76.52%,614,133,19,766
"Member, State Board of Education, District 6",0880,1354,471,1825,2467,73.98%,1316,425,38,1779
"Member, State Board of Education, District 6",0882,1952,595,2547,4317,59.00%,710,1669,70,2449
"Member, State Board of Education, District 6",0886,495,152,647,906,71.41,%,306,262,46,614
"Member, State Board of Education, District 6",0887,234,95,329,492,66.87%,153,133,23,309
"Member, State Board of Education, District 6",0891,753,194,947,1376,68.82%,304,575,23,902
"Member, State Board of Education, District 6",0895,417,252,669,834,80.22%,238,377,15,630
"Member, State Board of Education, District 6",0896,838,254,1092,1467,74.44%,330,688,23,1041
"Member, State Board of Education, District 6",0899,746,165,911,1264,72.07%,547,319,27,893
"Member, State Board of Education, District 6",0902,1310,361,1671,2217,75.37%,789,731,76,1596
"Member, State Board of Education, District 6",0903,1314,354,1668,2558,65.21%,1167,399,53,1619
"Member, State Board of Education, District 6",0904,2,0,2,8,25.00%,1,1,0,2
"Member, State Board of Education, District 6",0906,19,3,22,28,78.57%,12,10,0,22
"Member, State Board of Education, District 6",0915,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",0916,1472,308,1780,2205,80.73%,1278,363,80,1721
"Member, State Board of Education, District 6",0926,550,149,699,967,72.29%,454,197,25,676
"Member, State Board of Education, District 6",0931,87,28,115,141,81.56%,46,56,2,104
"Member, State Board of Education, District 6",0932,0,1,1,0,0.00%,0,1,0,1
"Member, State Board of Education, District 6",0933,297,93,390,668,58.38%,117,246,13,376
"Member, State Board of Education, District 6",0938,72,19,91,255,35.69%,25,63,2,90
"Member, State Board of Education, District 6",0939,1,1,2,4,50.00%,1,1,0,2
"Member, State Board of Education, District 6",0942,102,16,118,152,77.63%,78,36,4,118
"Member, State Board of Education, District 6",0944,1,0,1,1,100.00%,0,1,0,1
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0952,32,15,47,65,72.31%,22,22,1,45
"Member, State Board of Education, District 6",0955,3528,572,4100,5108,80.27%,2775,1069,107,3951
"Member, State Board of Education, District 6",0956,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",0966,358,189,557,1332,41.82%,130,384,17,531
"Member, State Board of Education, District 6",0971,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",0973,504,138,642,999,64.26%,390,206,22,618
"Member, State Board of Education, District 6",0980,686,333,1019,1412,72.17%,677,272,28,977
"Member, State Board of Education, District 6",0981,12,2,14,31,45.16%,1,12,0,13
"Member, State Board of Education, District 6",0982,1898,501,2399,2916,82.27%,1736,503,93,2332
"Member, State Board of Education, District 6",0983,55,17,82,198,41.41,%,35,37,8,80
"Member, State Board of Education, District 6",0984,76,57,133,341,39.00%,10,118,2,130
"Member, State Board of Education, District 6",0991,0,1,1,2,50.00%,0,1,0,1
"Member, State Board of Education, District 6",0998,24,12,36,68,52.94%,20,13,2,35
"Member, State Board of Education, District 6",0999,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",1001,519,280,799,1654,48.31%,136,605,17,758
"Member, State Board of Education, District 6",1002,480,270,750,1804,41.57%,99,591,19,709
"Member, State Board of Education, District 6",1003,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",1011,9,6,15,31,48.39%,9,6,0,15
"Member, State Board of Education, District 6",Totals;,469904,160615,660519,961019,626112,256195,21996,604600
