Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0183,1286,715,2001,2535,78.93%,1132,705,41,1878
"Member, State Board of Education, District 6",0200,2307,377,2684,3692,72.70%,1076,1380,103,2559
"Member, State Board of Education, District 6",0204,2099,577,2676,3568,75.00%,1287,1102,128,2517
"Member, State Board of Education, District 6",0206,1277,494,1771,2965,59.73%,451,1131,96,1678
"Member, State Board of Education, District 6",0209,0,0,0,0,0.00%,0,0,0,0
"Member, State Board of Education, District 6",0213,1782,795,2577,3406,75.66%,1877,550,55,2482
"Member, State Board of Education, District 6",0214,1016,418,1434,1911,75.04%,775,520,49,1344
"Member, State Board of Education, District 6",0215,1095,636,1732,2286,75.77%,880,697,59,1636
"Member, State Board of Education, District 6",0217,1545,618,2163,2736,79.06%,1217,781,53,2051
"Member, State Board of Education, District 6",0222,1460,671,2131,2728,78.12%,874,1093,48,2015
"Member, State Board of Education, District 6",0224,1166,495,1661,2313,71.81%,665,854,52,1571
"Member, State Board of Education, District 6",0225,1353,596,1949,3689,52.83%,788,1023,71,1882
"Member, State Board of Education, District 6",0227,1071,359,1430,1810,79.01%,949,375,33,1357
"Member, State Board of Education, District 6",0232,941,438,1379,1826,75.52%,664,601,39,1304
"Member, State Board of Education, District 6",0233,2571,703,3274,4713,69.47%,1326,1572,176,3074
"Member, State Board of Education, District 6",0234,2419,728,3147,4042,77.86%,2150,779,59,2988
"Member, State Board of Education, District 6",0244,1409,538,1947,3296,59.07%,868,924,78,1870
"Member, State Board of Education, District 6",0245,2100,811,2911,4679,62.21%,1715,960,125,2800
"Member, State Board of Education, District 6",0246,2209,482,2691,3971,67.77%,1612,939,67,2618
"Member, State Board of Education, District 6",0256,1398,583,1981,3321,59.65%,620,1209,52,1881
"Member, State Board of Education, District 6",0258,1948,608,2556,3346,76.39%,1692,685,70,2447
"Member, State Board of Education, District 6",0260,547,227,774,1300,59.54%,362,359,20,741
"Member, State Board of Education, District 6",0262,1847,676,2523,4397,57.38%,1257,1053,104,2414
"Member, State Board of Education, District 6",0263,2208,665,2873,4016,71.54%,1944,745,85,2774
"Member, State Board of Education, District 6",0264,1110,627,1737,3101,56.01%,817,772,73,1662
"Member, State Board of Education, District 6",0265,1991,608,2599,3582,72.56%,1718,693,69,2480
"Member, State Board of Education, District 6",0268,1174,689,1863,2528,73.69%,941,752,49,1742
"Member, State Board of Education, District 6",0269,1305,365,1670,2114,79.00%,1177,376,29,1582
"Member, State Board of Education, District 6",0272,870,415,1285,2334,55.06%,413,764,52,1229
"Member, State Board of Education, District 6",0273,1175,647,1822,2485,73.32%,1349,374,38,1761
"Member, State Board of Education, District 6",0274,1261,311,1572,2223,70.72%,897,534,53,1484
"Member, State Board of Education, District 6",0281,1287,590,1877,2507,74.87%,768,897,54,1719
"Member, State Board of Education, District 6",0282,773,604,1377,2144,64.23%,711,558,53,1322
"Member, State Board of Education, District 6",0284,1585,574,2159,4079,52.93%,657,1325,63,2045
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0296,701,385,1086,1705,63.70%,519,472,24,1015
"Member, State Board of Education, District 6",0297,729,341,1070,2055,52.07%,346,643,34,1023
"Member, State Board of Education, District 6",0298,1095,387,1482,2236,66.28%,676,682,70,1428
"Member, State Board of Education, District 6",0299,499,236,735,1506,48.80%,214,463,22,699
"Member, State Board of Education, District 6",0300,3385,728,4113,5480,75.05%,2970,900,117,3987
"Member, State Board of Education, District 6",0303,1896,692,2588,3375,76.68%,1865,585,40,2490
"Member, State Board of Education, District 6",0304,1190,474,1664,2326,71.54%,817,691,58,1566
"Member, State Board of Education, District 6",0309,2160,591,2751,3495,78.71%,1970,616,54,2640
"Member, State Board of Education, District 6",0310,709,326,1035,1464,70.70%,598,353,33,984
"Member, State Board of Education, District 6",0311,930,643,1573,3222,48.82%,670,747,48,1465
"Member, State Board of Education, District 6",0312,1705,552,2257,3724,60.61%,1081,989,93,2163
"Member, State Board of Education, District 6",0314,2997,817,3814,5606,68.03%,2063,1495,137,3695
"Member, State Board of Education, District 6",0315,801,353,1154,1636,70.54%,588,475,26,1089
